context: These are the results for the real deal. response:	The readers sure showed him, eh?
context: KIYOSHI Knight, hideout door...\Gitantei TRAP! We won't lose!\They announce the results for the Golden Future Cup in November, don't they?\Yeah.\Although the actual deciding takes place at the end of this month.\Well, they said that they were counting the results a second time with 5000 questionnaires.\Yeah.\A second time? response:	Why would they have to count them a second time?
context: Gitantei TRAP! We won't lose!\They announce the results for the Golden Future Cup in November, don't they?\Yeah.\Although the actual deciding takes place at the end of this month.\Well, they said that they were counting the results a second time with 5000 questionnaires.\Yeah.\A second time?\Why would they have to count them a second time? response:	Well, they don't have to,
context: They announce the results for the Golden Future Cup in November, don't they?\Yeah.\Although the actual deciding takes place at the end of this month.\Well, they said that they were counting the results a second time with 5000 questionnaires.\Yeah.\A second time?\Why would they have to count them a second time?\Well, they don't have to, response:	but counting 5000 questionnaires will be...
context: Yeah.\Although the actual deciding takes place at the end of this month.\Well, they said that they were counting the results a second time with 5000 questionnaires.\Yeah.\A second time?\Why would they have to count them a second time?\Well, they don't have to,\but counting 5000 questionnaires will be... response:	more precise than just the 1000 they count for the real deal.
context: Although the actual deciding takes place at the end of this month.\Well, they said that they were counting the results a second time with 5000 questionnaires.\Yeah.\A second time?\Why would they have to count them a second time?\Well, they don't have to,\but counting 5000 questionnaires will be...\more precise than just the 1000 they count for the real deal. response:	Endorsement percentage, male/female percentages,
context: Well, they said that they were counting the results a second time with 5000 questionnaires.\Yeah.\A second time?\Why would they have to count them a second time?\Well, they don't have to,\but counting 5000 questionnaires will be...\more precise than just the 1000 they count for the real deal.\Endorsement percentage, male/female percentages, response:	even the ranking could change.
context: Yeah.\A second time?\Why would they have to count them a second time?\Well, they don't have to,\but counting 5000 questionnaires will be...\more precise than just the 1000 they count for the real deal.\Endorsement percentage, male/female percentages,\even the ranking could change. response:	Really?
context: A second time?\Why would they have to count them a second time?\Well, they don't have to,\but counting 5000 questionnaires will be...\more precise than just the 1000 they count for the real deal.\Endorsement percentage, male/female percentages,\even the ranking could change.\Really? response:	I sent one in too, but I thought it was a bit weird.
context: Why would they have to count them a second time?\Well, they don't have to,\but counting 5000 questionnaires will be...\more precise than just the 1000 they count for the real deal.\Endorsement percentage, male/female percentages,\even the ranking could change.\Really?\I sent one in too, but I thought it was a bit weird. response:	Since it was to decide the Golden Future Cup, why did it have to be compared to serialized works?
context: Well, they don't have to,\but counting 5000 questionnaires will be...\more precise than just the 1000 they count for the real deal.\Endorsement percentage, male/female percentages,\even the ranking could change.\Really?\I sent one in too, but I thought it was a bit weird.\Since it was to decide the Golden Future Cup, why did it have to be compared to serialized works? response:	It'd be better if it was only between the Cup entries, wouldn't it?
context: but counting 5000 questionnaires will be...\more precise than just the 1000 they count for the real deal.\Endorsement percentage, male/female percentages,\even the ranking could change.\Really?\I sent one in too, but I thought it was a bit weird.\Since it was to decide the Golden Future Cup, why did it have to be compared to serialized works?\It'd be better if it was only between the Cup entries, wouldn't it? response:	I told you, that's why...
context: more precise than just the 1000 they count for the real deal.\Endorsement percentage, male/female percentages,\even the ranking could change.\Really?\I sent one in too, but I thought it was a bit weird.\Since it was to decide the Golden Future Cup, why did it have to be compared to serialized works?\It'd be better if it was only between the Cup entries, wouldn't it?\I told you, that's why... response:	there's a separate item where you choose to endorse or not endorse the entries.
context: Endorsement percentage, male/female percentages,\even the ranking could change.\Really?\I sent one in too, but I thought it was a bit weird.\Since it was to decide the Golden Future Cup, why did it have to be compared to serialized works?\It'd be better if it was only between the Cup entries, wouldn't it?\I told you, that's why...\there's a separate item where you choose to endorse or not endorse the entries. response:	But where it places in the whole magazine is also important.
context: even the ranking could change.\Really?\I sent one in too, but I thought it was a bit weird.\Since it was to decide the Golden Future Cup, why did it have to be compared to serialized works?\It'd be better if it was only between the Cup entries, wouldn't it?\I told you, that's why...\there's a separate item where you choose to endorse or not endorse the entries.\But where it places in the whole magazine is also important. response:	It's not that simple.
context: Really?\I sent one in too, but I thought it was a bit weird.\Since it was to decide the Golden Future Cup, why did it have to be compared to serialized works?\It'd be better if it was only between the Cup entries, wouldn't it?\I told you, that's why...\there's a separate item where you choose to endorse or not endorse the entries.\But where it places in the whole magazine is also important.\It's not that simple. response:	But in that case, if the endorsement percentage is high and the ranking is low or something...
context: I sent one in too, but I thought it was a bit weird.\Since it was to decide the Golden Future Cup, why did it have to be compared to serialized works?\It'd be better if it was only between the Cup entries, wouldn't it?\I told you, that's why...\there's a separate item where you choose to endorse or not endorse the entries.\But where it places in the whole magazine is also important.\It's not that simple.\But in that case, if the endorsement percentage is high and the ranking is low or something... response:	Like I said, then to decide it...
context: Since it was to decide the Golden Future Cup, why did it have to be compared to serialized works?\It'd be better if it was only between the Cup entries, wouldn't it?\I told you, that's why...\there's a separate item where you choose to endorse or not endorse the entries.\But where it places in the whole magazine is also important.\It's not that simple.\But in that case, if the endorsement percentage is high and the ranking is low or something...\Like I said, then to decide it... response:	Shuujin!
context: It'd be better if it was only between the Cup entries, wouldn't it?\I told you, that's why...\there's a separate item where you choose to endorse or not endorse the entries.\But where it places in the whole magazine is also important.\It's not that simple.\But in that case, if the endorsement percentage is high and the ranking is low or something...\Like I said, then to decide it...\Shuujin! response:	The name.
context: I told you, that's why...\there's a separate item where you choose to endorse or not endorse the entries.\But where it places in the whole magazine is also important.\It's not that simple.\But in that case, if the endorsement percentage is high and the ranking is low or something...\Like I said, then to decide it...\Shuujin!\The name. response:	We've done everything we can already.
context: there's a separate item where you choose to endorse or not endorse the entries.\But where it places in the whole magazine is also important.\It's not that simple.\But in that case, if the endorsement percentage is high and the ranking is low or something...\Like I said, then to decide it...\Shuujin!\The name.\We've done everything we can already. response:	All we can do now is not worry about it...
context: But where it places in the whole magazine is also important.\It's not that simple.\But in that case, if the endorsement percentage is high and the ranking is low or something...\Like I said, then to decide it...\Shuujin!\The name.\We've done everything we can already.\All we can do now is not worry about it... response:	and concentrate on our name for the serialization meeting in December.
context: It's not that simple.\But in that case, if the endorsement percentage is high and the ranking is low or something...\Like I said, then to decide it...\Shuujin!\The name.\We've done everything we can already.\All we can do now is not worry about it...\and concentrate on our name for the serialization meeting in December. response:	Right.
context: But in that case, if the endorsement percentage is high and the ranking is low or something...\Like I said, then to decide it...\Shuujin!\The name.\We've done everything we can already.\All we can do now is not worry about it...\and concentrate on our name for the serialization meeting in December.\Right. response:	Anyway, in that case it's up to the editorial department to decide.
context: Like I said, then to decide it...\Shuujin!\The name.\We've done everything we can already.\All we can do now is not worry about it...\and concentrate on our name for the serialization meeting in December.\Right.\Anyway, in that case it's up to the editorial department to decide. response:	That's why it's better to have more accurate data, right?
context: Shuujin!\The name.\We've done everything we can already.\All we can do now is not worry about it...\and concentrate on our name for the serialization meeting in December.\Right.\Anyway, in that case it's up to the editorial department to decide.\That's why it's better to have more accurate data, right? response:	What do we do here?
context: The name.\We've done everything we can already.\All we can do now is not worry about it...\and concentrate on our name for the serialization meeting in December.\Right.\Anyway, in that case it's up to the editorial department to decide.\That's why it's better to have more accurate data, right?\What do we do here? response:	KIYOSHI Knight. 1312 votes. 3rd place. Endorsement percentage, 79.
context: We've done everything we can already.\All we can do now is not worry about it...\and concentrate on our name for the serialization meeting in December.\Right.\Anyway, in that case it's up to the editorial department to decide.\That's why it's better to have more accurate data, right?\What do we do here?\KIYOSHI Knight. 1312 votes. 3rd place. Endorsement percentage, 79. response:	Gitantei TRAP. 1321 votes. 3rd place. Endorsement percentage 76.
context: All we can do now is not worry about it...\and concentrate on our name for the serialization meeting in December.\Right.\Anyway, in that case it's up to the editorial department to decide.\That's why it's better to have more accurate data, right?\What do we do here?\KIYOSHI Knight. 1312 votes. 3rd place. Endorsement percentage, 79.\Gitantei TRAP. 1321 votes. 3rd place. Endorsement percentage 76. response:	hideout door. 1103 votes. 3rd place. Endorsement percentage 69.
context: and concentrate on our name for the serialization meeting in December.\Right.\Anyway, in that case it's up to the editorial department to decide.\That's why it's better to have more accurate data, right?\What do we do here?\KIYOSHI Knight. 1312 votes. 3rd place. Endorsement percentage, 79.\Gitantei TRAP. 1321 votes. 3rd place. Endorsement percentage 76.\hideout door. 1103 votes. 3rd place. Endorsement percentage 69. response:	Colorfusical. 482 votes. 14th place. Endorsement percentage 53.
context: Right.\Anyway, in that case it's up to the editorial department to decide.\That's why it's better to have more accurate data, right?\What do we do here?\KIYOSHI Knight. 1312 votes. 3rd place. Endorsement percentage, 79.\Gitantei TRAP. 1321 votes. 3rd place. Endorsement percentage 76.\hideout door. 1103 votes. 3rd place. Endorsement percentage 69.\Colorfusical. 482 votes. 14th place. Endorsement percentage 53. response:	With the exception of Colorfusical, the margins are pretty narrow.
context: Anyway, in that case it's up to the editorial department to decide.\That's why it's better to have more accurate data, right?\What do we do here?\KIYOSHI Knight. 1312 votes. 3rd place. Endorsement percentage, 79.\Gitantei TRAP. 1321 votes. 3rd place. Endorsement percentage 76.\hideout door. 1103 votes. 3rd place. Endorsement percentage 69.\Colorfusical. 482 votes. 14th place. Endorsement percentage 53.\With the exception of Colorfusical, the margins are pretty narrow. response:	If everyone who endorsed them put them as one of their three most interesting,
context: That's why it's better to have more accurate data, right?\What do we do here?\KIYOSHI Knight. 1312 votes. 3rd place. Endorsement percentage, 79.\Gitantei TRAP. 1321 votes. 3rd place. Endorsement percentage 76.\hideout door. 1103 votes. 3rd place. Endorsement percentage 69.\Colorfusical. 482 votes. 14th place. Endorsement percentage 53.\With the exception of Colorfusical, the margins are pretty narrow.\If everyone who endorsed them put them as one of their three most interesting, response:	and the ones who hadn't endorsed them...
context: What do we do here?\KIYOSHI Knight. 1312 votes. 3rd place. Endorsement percentage, 79.\Gitantei TRAP. 1321 votes. 3rd place. Endorsement percentage 76.\hideout door. 1103 votes. 3rd place. Endorsement percentage 69.\Colorfusical. 482 votes. 14th place. Endorsement percentage 53.\With the exception of Colorfusical, the margins are pretty narrow.\If everyone who endorsed them put them as one of their three most interesting,\and the ones who hadn't endorsed them... response:	didn't put them in their three most interesting, it'd be easier to decide.
context: KIYOSHI Knight. 1312 votes. 3rd place. Endorsement percentage, 79.\Gitantei TRAP. 1321 votes. 3rd place. Endorsement percentage 76.\hideout door. 1103 votes. 3rd place. Endorsement percentage 69.\Colorfusical. 482 votes. 14th place. Endorsement percentage 53.\With the exception of Colorfusical, the margins are pretty narrow.\If everyone who endorsed them put them as one of their three most interesting,\and the ones who hadn't endorsed them...\didn't put them in their three most interesting, it'd be easier to decide. response:	That's why I said the endorsement item isn't needed.
context: Gitantei TRAP. 1321 votes. 3rd place. Endorsement percentage 76.\hideout door. 1103 votes. 3rd place. Endorsement percentage 69.\Colorfusical. 482 votes. 14th place. Endorsement percentage 53.\With the exception of Colorfusical, the margins are pretty narrow.\If everyone who endorsed them put them as one of their three most interesting,\and the ones who hadn't endorsed them...\didn't put them in their three most interesting, it'd be easier to decide.\That's why I said the endorsement item isn't needed. response:	But then we couldn't compare them separately from the currently serialized works.
context: hideout door. 1103 votes. 3rd place. Endorsement percentage 69.\Colorfusical. 482 votes. 14th place. Endorsement percentage 53.\With the exception of Colorfusical, the margins are pretty narrow.\If everyone who endorsed them put them as one of their three most interesting,\and the ones who hadn't endorsed them...\didn't put them in their three most interesting, it'd be easier to decide.\That's why I said the endorsement item isn't needed.\But then we couldn't compare them separately from the currently serialized works. response:	Well, in reality they don't get really get compared to each other anyway.
context: Colorfusical. 482 votes. 14th place. Endorsement percentage 53.\With the exception of Colorfusical, the margins are pretty narrow.\If everyone who endorsed them put them as one of their three most interesting,\and the ones who hadn't endorsed them...\didn't put them in their three most interesting, it'd be easier to decide.\That's why I said the endorsement item isn't needed.\But then we couldn't compare them separately from the currently serialized works.\Well, in reality they don't get really get compared to each other anyway. response:	If we break it down to being between KIYOSHI and TRAP,
context: With the exception of Colorfusical, the margins are pretty narrow.\If everyone who endorsed them put them as one of their three most interesting,\and the ones who hadn't endorsed them...\didn't put them in their three most interesting, it'd be easier to decide.\That's why I said the endorsement item isn't needed.\But then we couldn't compare them separately from the currently serialized works.\Well, in reality they don't get really get compared to each other anyway.\If we break it down to being between KIYOSHI and TRAP, response:	the voter's average age is 14.3 for TRAP.
context: If everyone who endorsed them put them as one of their three most interesting,\and the ones who hadn't endorsed them...\didn't put them in their three most interesting, it'd be easier to decide.\That's why I said the endorsement item isn't needed.\But then we couldn't compare them separately from the currently serialized works.\Well, in reality they don't get really get compared to each other anyway.\If we break it down to being between KIYOSHI and TRAP,\the voter's average age is 14.3 for TRAP. response:	Yeah. The average for KIYOSHI, 17.5, is too high.
context: and the ones who hadn't endorsed them...\didn't put them in their three most interesting, it'd be easier to decide.\That's why I said the endorsement item isn't needed.\But then we couldn't compare them separately from the currently serialized works.\Well, in reality they don't get really get compared to each other anyway.\If we break it down to being between KIYOSHI and TRAP,\the voter's average age is 14.3 for TRAP.\Yeah. The average for KIYOSHI, 17.5, is too high. response:	TL Note: Seinen is a genre that is aimed toward the adult male demographic.
context: didn't put them in their three most interesting, it'd be easier to decide.\That's why I said the endorsement item isn't needed.\But then we couldn't compare them separately from the currently serialized works.\Well, in reality they don't get really get compared to each other anyway.\If we break it down to being between KIYOSHI and TRAP,\the voter's average age is 14.3 for TRAP.\Yeah. The average for KIYOSHI, 17.5, is too high.\TL Note: Seinen is a genre that is aimed toward the adult male demographic. response:	It's not a shounen manga, it's a seinen manga.
context: That's why I said the endorsement item isn't needed.\But then we couldn't compare them separately from the currently serialized works.\Well, in reality they don't get really get compared to each other anyway.\If we break it down to being between KIYOSHI and TRAP,\the voter's average age is 14.3 for TRAP.\Yeah. The average for KIYOSHI, 17.5, is too high.\TL Note: Seinen is a genre that is aimed toward the adult male demographic.\It's not a shounen manga, it's a seinen manga. response:	Well if you're going to argue about whether it's enough of a shounen manga,
context: But then we couldn't compare them separately from the currently serialized works.\Well, in reality they don't get really get compared to each other anyway.\If we break it down to being between KIYOSHI and TRAP,\the voter's average age is 14.3 for TRAP.\Yeah. The average for KIYOSHI, 17.5, is too high.\TL Note: Seinen is a genre that is aimed toward the adult male demographic.\It's not a shounen manga, it's a seinen manga.\Well if you're going to argue about whether it's enough of a shounen manga, response:	KIYOSHI wins in the boys-to-girls ratio.
context: Well, in reality they don't get really get compared to each other anyway.\If we break it down to being between KIYOSHI and TRAP,\the voter's average age is 14.3 for TRAP.\Yeah. The average for KIYOSHI, 17.5, is too high.\TL Note: Seinen is a genre that is aimed toward the adult male demographic.\It's not a shounen manga, it's a seinen manga.\Well if you're going to argue about whether it's enough of a shounen manga,\KIYOSHI wins in the boys-to-girls ratio. response:	More than 90 of votes were from males. That's quite an incredible figure.
context: If we break it down to being between KIYOSHI and TRAP,\the voter's average age is 14.3 for TRAP.\Yeah. The average for KIYOSHI, 17.5, is too high.\TL Note: Seinen is a genre that is aimed toward the adult male demographic.\It's not a shounen manga, it's a seinen manga.\Well if you're going to argue about whether it's enough of a shounen manga,\KIYOSHI wins in the boys-to-girls ratio.\More than 90 of votes were from males. That's quite an incredible figure. response:	Right now, the boys-to-girls ratio doesn't matter.
context: the voter's average age is 14.3 for TRAP.\Yeah. The average for KIYOSHI, 17.5, is too high.\TL Note: Seinen is a genre that is aimed toward the adult male demographic.\It's not a shounen manga, it's a seinen manga.\Well if you're going to argue about whether it's enough of a shounen manga,\KIYOSHI wins in the boys-to-girls ratio.\More than 90 of votes were from males. That's quite an incredible figure.\Right now, the boys-to-girls ratio doesn't matter. response:	The total number of votes from girls wasn't even that high.
context: Yeah. The average for KIYOSHI, 17.5, is too high.\TL Note: Seinen is a genre that is aimed toward the adult male demographic.\It's not a shounen manga, it's a seinen manga.\Well if you're going to argue about whether it's enough of a shounen manga,\KIYOSHI wins in the boys-to-girls ratio.\More than 90 of votes were from males. That's quite an incredible figure.\Right now, the boys-to-girls ratio doesn't matter.\The total number of votes from girls wasn't even that high. response:	In terms of vote total, TRAP is higher.
context: TL Note: Seinen is a genre that is aimed toward the adult male demographic.\It's not a shounen manga, it's a seinen manga.\Well if you're going to argue about whether it's enough of a shounen manga,\KIYOSHI wins in the boys-to-girls ratio.\More than 90 of votes were from males. That's quite an incredible figure.\Right now, the boys-to-girls ratio doesn't matter.\The total number of votes from girls wasn't even that high.\In terms of vote total, TRAP is higher. response:	And KIYOSHI has a higher endorsement percentage.
context: It's not a shounen manga, it's a seinen manga.\Well if you're going to argue about whether it's enough of a shounen manga,\KIYOSHI wins in the boys-to-girls ratio.\More than 90 of votes were from males. That's quite an incredible figure.\Right now, the boys-to-girls ratio doesn't matter.\The total number of votes from girls wasn't even that high.\In terms of vote total, TRAP is higher.\And KIYOSHI has a higher endorsement percentage. response:	And hideout door isn't nothing, either.
context: Well if you're going to argue about whether it's enough of a shounen manga,\KIYOSHI wins in the boys-to-girls ratio.\More than 90 of votes were from males. That's quite an incredible figure.\Right now, the boys-to-girls ratio doesn't matter.\The total number of votes from girls wasn't even that high.\In terms of vote total, TRAP is higher.\And KIYOSHI has a higher endorsement percentage.\And hideout door isn't nothing, either. response:	The few female votes are mostly centered around that one.
context: KIYOSHI wins in the boys-to-girls ratio.\More than 90 of votes were from males. That's quite an incredible figure.\Right now, the boys-to-girls ratio doesn't matter.\The total number of votes from girls wasn't even that high.\In terms of vote total, TRAP is higher.\And KIYOSHI has a higher endorsement percentage.\And hideout door isn't nothing, either.\The few female votes are mostly centered around that one. response:	There's certainly no work like any of these in Jack right now, huh?
context: More than 90 of votes were from males. That's quite an incredible figure.\Right now, the boys-to-girls ratio doesn't matter.\The total number of votes from girls wasn't even that high.\In terms of vote total, TRAP is higher.\And KIYOSHI has a higher endorsement percentage.\And hideout door isn't nothing, either.\The few female votes are mostly centered around that one.\There's certainly no work like any of these in Jack right now, huh? response:	It's already six o'clock.
context: Right now, the boys-to-girls ratio doesn't matter.\The total number of votes from girls wasn't even that high.\In terms of vote total, TRAP is higher.\And KIYOSHI has a higher endorsement percentage.\And hideout door isn't nothing, either.\The few female votes are mostly centered around that one.\There's certainly no work like any of these in Jack right now, huh?\It's already six o'clock. response:	I'm about to burst.
context: The total number of votes from girls wasn't even that high.\In terms of vote total, TRAP is higher.\And KIYOSHI has a higher endorsement percentage.\And hideout door isn't nothing, either.\The few female votes are mostly centered around that one.\There's certainly no work like any of these in Jack right now, huh?\It's already six o'clock.\I'm about to burst. response:	Is the meeting still going on?
context: In terms of vote total, TRAP is higher.\And KIYOSHI has a higher endorsement percentage.\And hideout door isn't nothing, either.\The few female votes are mostly centered around that one.\There's certainly no work like any of these in Jack right now, huh?\It's already six o'clock.\I'm about to burst.\Is the meeting still going on? response:	He said he'd call you as soon as the results came out, right?
context: And KIYOSHI has a higher endorsement percentage.\And hideout door isn't nothing, either.\The few female votes are mostly centered around that one.\There's certainly no work like any of these in Jack right now, huh?\It's already six o'clock.\I'm about to burst.\Is the meeting still going on?\He said he'd call you as soon as the results came out, right? response:	Calm down.
context: And hideout door isn't nothing, either.\The few female votes are mostly centered around that one.\There's certainly no work like any of these in Jack right now, huh?\It's already six o'clock.\I'm about to burst.\Is the meeting still going on?\He said he'd call you as soon as the results came out, right?\Calm down. response:	Eh? I'm totally cool.
context: The few female votes are mostly centered around that one.\There's certainly no work like any of these in Jack right now, huh?\It's already six o'clock.\I'm about to burst.\Is the meeting still going on?\He said he'd call you as soon as the results came out, right?\Calm down.\Eh? I'm totally cool. response:	You call that being cool?
context: There's certainly no work like any of these in Jack right now, huh?\It's already six o'clock.\I'm about to burst.\Is the meeting still going on?\He said he'd call you as soon as the results came out, right?\Calm down.\Eh? I'm totally cool.\You call that being cool? response:	Yeah, yeah. Keep it together, keep it together, hey!
context: It's already six o'clock.\I'm about to burst.\Is the meeting still going on?\He said he'd call you as soon as the results came out, right?\Calm down.\Eh? I'm totally cool.\You call that being cool?\Yeah, yeah. Keep it together, keep it together, hey! response:	It's late.
context: I'm about to burst.\Is the meeting still going on?\He said he'd call you as soon as the results came out, right?\Calm down.\Eh? I'm totally cool.\You call that being cool?\Yeah, yeah. Keep it together, keep it together, hey!\It's late. response:	It's so damn late.
context: Is the meeting still going on?\He said he'd call you as soon as the results came out, right?\Calm down.\Eh? I'm totally cool.\You call that being cool?\Yeah, yeah. Keep it together, keep it together, hey!\It's late.\It's so damn late. response:	That Yuujirou guy better not have forgotten.
context: He said he'd call you as soon as the results came out, right?\Calm down.\Eh? I'm totally cool.\You call that being cool?\Yeah, yeah. Keep it together, keep it together, hey!\It's late.\It's so damn late.\That Yuujirou guy better not have forgotten. response:	He's supporting me, so he wouldn't do that, right?
context: Calm down.\Eh? I'm totally cool.\You call that being cool?\Yeah, yeah. Keep it together, keep it together, hey!\It's late.\It's so damn late.\That Yuujirou guy better not have forgotten.\He's supporting me, so he wouldn't do that, right? response:	WWell, I think it's between your work and Ashirogi-kun's work.
context: Eh? I'm totally cool.\You call that being cool?\Yeah, yeah. Keep it together, keep it together, hey!\It's late.\It's so damn late.\That Yuujirou guy better not have forgotten.\He's supporting me, so he wouldn't do that, right?\WWell, I think it's between your work and Ashirogi-kun's work. response:	I dunno.
context: You call that being cool?\Yeah, yeah. Keep it together, keep it together, hey!\It's late.\It's so damn late.\That Yuujirou guy better not have forgotten.\He's supporting me, so he wouldn't do that, right?\WWell, I think it's between your work and Ashirogi-kun's work.\I dunno. response:	In the real deal, Ashirogi-kun and I both ranked 2nd.
context: Yeah, yeah. Keep it together, keep it together, hey!\It's late.\It's so damn late.\That Yuujirou guy better not have forgotten.\He's supporting me, so he wouldn't do that, right?\WWell, I think it's between your work and Ashirogi-kun's work.\I dunno.\In the real deal, Ashirogi-kun and I both ranked 2nd. response:	And your pair got 3rd.
context: It's late.\It's so damn late.\That Yuujirou guy better not have forgotten.\He's supporting me, so he wouldn't do that, right?\WWell, I think it's between your work and Ashirogi-kun's work.\I dunno.\In the real deal, Ashirogi-kun and I both ranked 2nd.\And your pair got 3rd. response:	But since they're taking 5000 votes now, it wouldn't be odd for those results to change.
context: It's so damn late.\That Yuujirou guy better not have forgotten.\He's supporting me, so he wouldn't do that, right?\WWell, I think it's between your work and Ashirogi-kun's work.\I dunno.\In the real deal, Ashirogi-kun and I both ranked 2nd.\And your pair got 3rd.\But since they're taking 5000 votes now, it wouldn't be odd for those results to change. response:	Damn, how many times do they need to count them?
context: That Yuujirou guy better not have forgotten.\He's supporting me, so he wouldn't do that, right?\WWell, I think it's between your work and Ashirogi-kun's work.\I dunno.\In the real deal, Ashirogi-kun and I both ranked 2nd.\And your pair got 3rd.\But since they're taking 5000 votes now, it wouldn't be odd for those results to change.\Damn, how many times do they need to count them? response:	Different results, huh?
context: He's supporting me, so he wouldn't do that, right?\WWell, I think it's between your work and Ashirogi-kun's work.\I dunno.\In the real deal, Ashirogi-kun and I both ranked 2nd.\And your pair got 3rd.\But since they're taking 5000 votes now, it wouldn't be odd for those results to change.\Damn, how many times do they need to count them?\Different results, huh? response:	But we've come this far. Sorry Nakai-san, but I'm gonna take this.
context: WWell, I think it's between your work and Ashirogi-kun's work.\I dunno.\In the real deal, Ashirogi-kun and I both ranked 2nd.\And your pair got 3rd.\But since they're taking 5000 votes now, it wouldn't be odd for those results to change.\Damn, how many times do they need to count them?\Different results, huh?\But we've come this far. Sorry Nakai-san, but I'm gonna take this. response:	No, I will!
context: I dunno.\In the real deal, Ashirogi-kun and I both ranked 2nd.\And your pair got 3rd.\But since they're taking 5000 votes now, it wouldn't be odd for those results to change.\Damn, how many times do they need to count them?\Different results, huh?\But we've come this far. Sorry Nakai-san, but I'm gonna take this.\No, I will! response:	We will...
context: In the real deal, Ashirogi-kun and I both ranked 2nd.\And your pair got 3rd.\But since they're taking 5000 votes now, it wouldn't be odd for those results to change.\Damn, how many times do they need to count them?\Different results, huh?\But we've come this far. Sorry Nakai-san, but I'm gonna take this.\No, I will!\We will... response:	It's here!
context: And your pair got 3rd.\But since they're taking 5000 votes now, it wouldn't be odd for those results to change.\Damn, how many times do they need to count them?\Different results, huh?\But we've come this far. Sorry Nakai-san, but I'm gonna take this.\No, I will!\We will...\It's here! response:	Yes, it's Fukuda!
context: But since they're taking 5000 votes now, it wouldn't be odd for those results to change.\Damn, how many times do they need to count them?\Different results, huh?\But we've come this far. Sorry Nakai-san, but I'm gonna take this.\No, I will!\We will...\It's here!\Yes, it's Fukuda! response:	Yes?
context: Damn, how many times do they need to count them?\Different results, huh?\But we've come this far. Sorry Nakai-san, but I'm gonna take this.\No, I will!\We will...\It's here!\Yes, it's Fukuda!\Yes? response:	Hello?
context: Different results, huh?\But we've come this far. Sorry Nakai-san, but I'm gonna take this.\No, I will!\We will...\It's here!\Yes, it's Fukuda!\Yes?\Hello? response:	So?
