context: Maka! response:	What's up with this wavelength?
context: I can't back down now!\Maka, what's wrong?\My...\My body...\Splat her entrails around!\What's going on?\Maka!\What happened all of sudden? response:	My body... it won't move!
context: Maka, what's wrong?\My...\My body...\Splat her entrails around!\What's going on?\Maka!\What happened all of sudden?\My body... it won't move! response:	My body... it won't move!
context: My...\My body...\Splat her entrails around!\What's going on?\Maka!\What happened all of sudden?\My body... it won't move!\My body... it won't move! response:	What?
context: My body...\Splat her entrails around!\What's going on?\Maka!\What happened all of sudden?\My body... it won't move!\My body... it won't move!\What? response:	Damn it!
context: Splat her entrails around!\What's going on?\Maka!\What happened all of sudden?\My body... it won't move!\My body... it won't move!\What?\Damn it! response:	Why?
context: What's going on?\Maka!\What happened all of sudden?\My body... it won't move!\My body... it won't move!\What?\Damn it!\Why? response:	Crap!
context: Maka!\What happened all of sudden?\My body... it won't move!\My body... it won't move!\What?\Damn it!\Why?\Crap! response:	What should I do?
context: What happened all of sudden?\My body... it won't move!\My body... it won't move!\What?\Damn it!\Why?\Crap!\What should I do? response:	What's this?
context: My body... it won't move!\My body... it won't move!\What?\Damn it!\Why?\Crap!\What should I do?\What's this? response:	Strings?
context: My body... it won't move!\What?\Damn it!\Why?\Crap!\What should I do?\What's this?\Strings? response:	This is it!
context: What?\Damn it!\Why?\Crap!\What should I do?\What's this?\Strings?\This is it! response:	A large-scale phenomena in the center of the Czech Republic.
context: Damn it!\Why?\Crap!\What should I do?\What's this?\Strings?\This is it!\A large-scale phenomena in the center of the Czech Republic. response:	Regardless of whether they were indoors or outdoors, roughly 50,000 people witnessed a mysterious, black object.
context: Why?\Crap!\What should I do?\What's this?\Strings?\This is it!\A large-scale phenomena in the center of the Czech Republic.\Regardless of whether they were indoors or outdoors, roughly 50,000 people witnessed a mysterious, black object. response:	However, no one ever learned what it was,
context: Crap!\What should I do?\What's this?\Strings?\This is it!\A large-scale phenomena in the center of the Czech Republic.\Regardless of whether they were indoors or outdoors, roughly 50,000 people witnessed a mysterious, black object.\However, no one ever learned what it was, response:	The witnesses of the black mass stated it resembled a spider.
context: What should I do?\What's this?\Strings?\This is it!\A large-scale phenomena in the center of the Czech Republic.\Regardless of whether they were indoors or outdoors, roughly 50,000 people witnessed a mysterious, black object.\However, no one ever learned what it was,\The witnesses of the black mass stated it resembled a spider. response:	A spider...
context: What's this?\Strings?\This is it!\A large-scale phenomena in the center of the Czech Republic.\Regardless of whether they were indoors or outdoors, roughly 50,000 people witnessed a mysterious, black object.\However, no one ever learned what it was,\The witnesses of the black mass stated it resembled a spider.\A spider... response:	The place where the majority of the reports originated from...
context: Strings?\This is it!\A large-scale phenomena in the center of the Czech Republic.\Regardless of whether they were indoors or outdoors, roughly 50,000 people witnessed a mysterious, black object.\However, no one ever learned what it was,\The witnesses of the black mass stated it resembled a spider.\A spider...\The place where the majority of the reports originated from... response:	The village of Loew!
context: This is it!\A large-scale phenomena in the center of the Czech Republic.\Regardless of whether they were indoors or outdoors, roughly 50,000 people witnessed a mysterious, black object.\However, no one ever learned what it was,\The witnesses of the black mass stated it resembled a spider.\A spider...\The place where the majority of the reports originated from...\The village of Loew! response:	I'm sure of it now!
context: A large-scale phenomena in the center of the Czech Republic.\Regardless of whether they were indoors or outdoors, roughly 50,000 people witnessed a mysterious, black object.\However, no one ever learned what it was,\The witnesses of the black mass stated it resembled a spider.\A spider...\The place where the majority of the reports originated from...\The village of Loew!\I'm sure of it now! response:	This was no illusion.
context: Regardless of whether they were indoors or outdoors, roughly 50,000 people witnessed a mysterious, black object.\However, no one ever learned what it was,\The witnesses of the black mass stated it resembled a spider.\A spider...\The place where the majority of the reports originated from...\The village of Loew!\I'm sure of it now!\This was no illusion. response:	800 years ago, the Heretic destroyed her body to hide herself...
context: However, no one ever learned what it was,\The witnesses of the black mass stated it resembled a spider.\A spider...\The place where the majority of the reports originated from...\The village of Loew!\I'm sure of it now!\This was no illusion.\800 years ago, the Heretic destroyed her body to hide herself... response:	W-What?
context: The witnesses of the black mass stated it resembled a spider.\A spider...\The place where the majority of the reports originated from...\The village of Loew!\I'm sure of it now!\This was no illusion.\800 years ago, the Heretic destroyed her body to hide herself...\W-What? response:	This is bad...
context: A spider...\The place where the majority of the reports originated from...\The village of Loew!\I'm sure of it now!\This was no illusion.\800 years ago, the Heretic destroyed her body to hide herself...\W-What?\This is bad... response:	A spider?
context: The place where the majority of the reports originated from...\The village of Loew!\I'm sure of it now!\This was no illusion.\800 years ago, the Heretic destroyed her body to hide herself...\W-What?\This is bad...\A spider? response:	The spiders scattered around the world are gathering here.
context: The village of Loew!\I'm sure of it now!\This was no illusion.\800 years ago, the Heretic destroyed her body to hide herself...\W-What?\This is bad...\A spider?\The spiders scattered around the world are gathering here. response:	I've been waiting...
context: I'm sure of it now!\This was no illusion.\800 years ago, the Heretic destroyed her body to hide herself...\W-What?\This is bad...\A spider?\The spiders scattered around the world are gathering here.\I've been waiting... response:	Shinigami-sama, I bring news.
context: This was no illusion.\800 years ago, the Heretic destroyed her body to hide herself...\W-What?\This is bad...\A spider?\The spiders scattered around the world are gathering here.\I've been waiting...\Shinigami-sama, I bring news. response:	Hey! Greets! Hey!
context: 800 years ago, the Heretic destroyed her body to hide herself...\W-What?\This is bad...\A spider?\The spiders scattered around the world are gathering here.\I've been waiting...\Shinigami-sama, I bring news.\Hey! Greets! Hey! response:	Good work.
context: W-What?\This is bad...\A spider?\The spiders scattered around the world are gathering here.\I've been waiting...\Shinigami-sama, I bring news.\Hey! Greets! Hey!\Good work. response:	How's it?
context: This is bad...\A spider?\The spiders scattered around the world are gathering here.\I've been waiting...\Shinigami-sama, I bring news.\Hey! Greets! Hey!\Good work.\How's it? response:	Were you able to discover something?
context: A spider?\The spiders scattered around the world are gathering here.\I've been waiting...\Shinigami-sama, I bring news.\Hey! Greets! Hey!\Good work.\How's it?\Were you able to discover something? response:	Yes.
context: The spiders scattered around the world are gathering here.\I've been waiting...\Shinigami-sama, I bring news.\Hey! Greets! Hey!\Good work.\How's it?\Were you able to discover something?\Yes. response:	It's likely that the soul of the Heretic Witch, Arachne, resides within the rampaging golem.
context: I've been waiting...\Shinigami-sama, I bring news.\Hey! Greets! Hey!\Good work.\How's it?\Were you able to discover something?\Yes.\It's likely that the soul of the Heretic Witch, Arachne, resides within the rampaging golem. response:	Arachne?
context: Shinigami-sama, I bring news.\Hey! Greets! Hey!\Good work.\How's it?\Were you able to discover something?\Yes.\It's likely that the soul of the Heretic Witch, Arachne, resides within the rampaging golem.\Arachne? response:	Yes.
context: Hey! Greets! Hey!\Good work.\How's it?\Were you able to discover something?\Yes.\It's likely that the soul of the Heretic Witch, Arachne, resides within the rampaging golem.\Arachne?\Yes. response:	If it's it her, it explains the sudden response to the Wavelength of Madness.
context: Good work.\How's it?\Were you able to discover something?\Yes.\It's likely that the soul of the Heretic Witch, Arachne, resides within the rampaging golem.\Arachne?\Yes.\If it's it her, it explains the sudden response to the Wavelength of Madness. response:	I can feel it even now...
context: How's it?\Were you able to discover something?\Yes.\It's likely that the soul of the Heretic Witch, Arachne, resides within the rampaging golem.\Arachne?\Yes.\If it's it her, it explains the sudden response to the Wavelength of Madness.\I can feel it even now... response:	The madness inside me...
context: Were you able to discover something?\Yes.\It's likely that the soul of the Heretic Witch, Arachne, resides within the rampaging golem.\Arachne?\Yes.\If it's it her, it explains the sudden response to the Wavelength of Madness.\I can feel it even now...\The madness inside me... response:	Bear with it, Stein-kun.
context: Yes.\It's likely that the soul of the Heretic Witch, Arachne, resides within the rampaging golem.\Arachne?\Yes.\If it's it her, it explains the sudden response to the Wavelength of Madness.\I can feel it even now...\The madness inside me...\Bear with it, Stein-kun. response:	This incident is too much of a burden for Maka's group.
context: It's likely that the soul of the Heretic Witch, Arachne, resides within the rampaging golem.\Arachne?\Yes.\If it's it her, it explains the sudden response to the Wavelength of Madness.\I can feel it even now...\The madness inside me...\Bear with it, Stein-kun.\This incident is too much of a burden for Maka's group. response:	I will go to the Czech Republic immediately.
context: Arachne?\Yes.\If it's it her, it explains the sudden response to the Wavelength of Madness.\I can feel it even now...\The madness inside me...\Bear with it, Stein-kun.\This incident is too much of a burden for Maka's group.\I will go to the Czech Republic immediately. response:	Now, now, don't rush.
context: Yes.\If it's it her, it explains the sudden response to the Wavelength of Madness.\I can feel it even now...\The madness inside me...\Bear with it, Stein-kun.\This incident is too much of a burden for Maka's group.\I will go to the Czech Republic immediately.\Now, now, don't rush. response:	I had a bad feeling, too...
context: If it's it her, it explains the sudden response to the Wavelength of Madness.\I can feel it even now...\The madness inside me...\Bear with it, Stein-kun.\This incident is too much of a burden for Maka's group.\I will go to the Czech Republic immediately.\Now, now, don't rush.\I had a bad feeling, too... response:	So I sent help earlier.
context: I can feel it even now...\The madness inside me...\Bear with it, Stein-kun.\This incident is too much of a burden for Maka's group.\I will go to the Czech Republic immediately.\Now, now, don't rush.\I had a bad feeling, too...\So I sent help earlier. response:	The spiders are climbing.
context: The madness inside me...\Bear with it, Stein-kun.\This incident is too much of a burden for Maka's group.\I will go to the Czech Republic immediately.\Now, now, don't rush.\I had a bad feeling, too...\So I sent help earlier.\The spiders are climbing. response:	They're being attracted by the soul inside the golem.
context: Bear with it, Stein-kun.\This incident is too much of a burden for Maka's group.\I will go to the Czech Republic immediately.\Now, now, don't rush.\I had a bad feeling, too...\So I sent help earlier.\The spiders are climbing.\They're being attracted by the soul inside the golem. response:	Crona?
context: This incident is too much of a burden for Maka's group.\I will go to the Czech Republic immediately.\Now, now, don't rush.\I had a bad feeling, too...\So I sent help earlier.\The spiders are climbing.\They're being attracted by the soul inside the golem.\Crona? response:	I'll protect you, Maka.
context: I will go to the Czech Republic immediately.\Now, now, don't rush.\I had a bad feeling, too...\So I sent help earlier.\The spiders are climbing.\They're being attracted by the soul inside the golem.\Crona?\I'll protect you, Maka. response:	The Kishin has been resurrected...
context: Now, now, don't rush.\I had a bad feeling, too...\So I sent help earlier.\The spiders are climbing.\They're being attracted by the soul inside the golem.\Crona?\I'll protect you, Maka.\The Kishin has been resurrected... response:	The world is now driven by madness.
context: I had a bad feeling, too...\So I sent help earlier.\The spiders are climbing.\They're being attracted by the soul inside the golem.\Crona?\I'll protect you, Maka.\The Kishin has been resurrected...\The world is now driven by madness. response:	While you were asleep this became quite a place.
context: So I sent help earlier.\The spiders are climbing.\They're being attracted by the soul inside the golem.\Crona?\I'll protect you, Maka.\The Kishin has been resurrected...\The world is now driven by madness.\While you were asleep this became quite a place. response:	Right...?
context: The spiders are climbing.\They're being attracted by the soul inside the golem.\Crona?\I'll protect you, Maka.\The Kishin has been resurrected...\The world is now driven by madness.\While you were asleep this became quite a place.\Right...? response:	Arachne?
context: They're being attracted by the soul inside the golem.\Crona?\I'll protect you, Maka.\The Kishin has been resurrected...\The world is now driven by madness.\While you were asleep this became quite a place.\Right...?\Arachne? response:	Now, let's see...
context: Crona?\I'll protect you, Maka.\The Kishin has been resurrected...\The world is now driven by madness.\While you were asleep this became quite a place.\Right...?\Arachne?\Now, let's see... response:	I wonder if a single coffin will be enough...
context: I'll protect you, Maka.\The Kishin has been resurrected...\The world is now driven by madness.\While you were asleep this became quite a place.\Right...?\Arachne?\Now, let's see...\I wonder if a single coffin will be enough... response:	What's up, Maka?
context: The Kishin has been resurrected...\The world is now driven by madness.\While you were asleep this became quite a place.\Right...?\Arachne?\Now, let's see...\I wonder if a single coffin will be enough...\What's up, Maka? response:	With the program already half-way through, more and more popular characters have popped up, one after another.
context: The world is now driven by madness.\While you were asleep this became quite a place.\Right...?\Arachne?\Now, let's see...\I wonder if a single coffin will be enough...\What's up, Maka?\With the program already half-way through, more and more popular characters have popped up, one after another. response:	And that's why we, as the main characters, have to make sure we clearly stand out from the crowd.
context: While you were asleep this became quite a place.\Right...?\Arachne?\Now, let's see...\I wonder if a single coffin will be enough...\What's up, Maka?\With the program already half-way through, more and more popular characters have popped up, one after another.\And that's why we, as the main characters, have to make sure we clearly stand out from the crowd. response:	You mean we have to do something new?
context: Right...?\Arachne?\Now, let's see...\I wonder if a single coffin will be enough...\What's up, Maka?\With the program already half-way through, more and more popular characters have popped up, one after another.\And that's why we, as the main characters, have to make sure we clearly stand out from the crowd.\You mean we have to do something new? response:	Yes, and that's why I've prepared our new and unique Ultimate Move.
context: Arachne?\Now, let's see...\I wonder if a single coffin will be enough...\What's up, Maka?\With the program already half-way through, more and more popular characters have popped up, one after another.\And that's why we, as the main characters, have to make sure we clearly stand out from the crowd.\You mean we have to do something new?\Yes, and that's why I've prepared our new and unique Ultimate Move. response:	A new Ultimate Move?
context: Now, let's see...\I wonder if a single coffin will be enough...\What's up, Maka?\With the program already half-way through, more and more popular characters have popped up, one after another.\And that's why we, as the main characters, have to make sure we clearly stand out from the crowd.\You mean we have to do something new?\Yes, and that's why I've prepared our new and unique Ultimate Move.\A new Ultimate Move? response:	Let's go, Soul!
context: I wonder if a single coffin will be enough...\What's up, Maka?\With the program already half-way through, more and more popular characters have popped up, one after another.\And that's why we, as the main characters, have to make sure we clearly stand out from the crowd.\You mean we have to do something new?\Yes, and that's why I've prepared our new and unique Ultimate Move.\A new Ultimate Move?\Let's go, Soul! response:	Ultimate Move, Polygon Resonance!
context: What's up, Maka?\With the program already half-way through, more and more popular characters have popped up, one after another.\And that's why we, as the main characters, have to make sure we clearly stand out from the crowd.\You mean we have to do something new?\Yes, and that's why I've prepared our new and unique Ultimate Move.\A new Ultimate Move?\Let's go, Soul!\Ultimate Move, Polygon Resonance! response:	What the hell is this?
context: With the program already half-way through, more and more popular characters have popped up, one after another.\And that's why we, as the main characters, have to make sure we clearly stand out from the crowd.\You mean we have to do something new?\Yes, and that's why I've prepared our new and unique Ultimate Move.\A new Ultimate Move?\Let's go, Soul!\Ultimate Move, Polygon Resonance!\What the hell is this? response:	Mother of Demonic Weapons, Arachne.
context: And that's why we, as the main characters, have to make sure we clearly stand out from the crowd.\You mean we have to do something new?\Yes, and that's why I've prepared our new and unique Ultimate Move.\A new Ultimate Move?\Let's go, Soul!\Ultimate Move, Polygon Resonance!\What the hell is this?\Mother of Demonic Weapons, Arachne. response:	Mother of Demonic Weapons, Arachne.
context: You mean we have to do something new?\Yes, and that's why I've prepared our new and unique Ultimate Move.\A new Ultimate Move?\Let's go, Soul!\Ultimate Move, Polygon Resonance!\What the hell is this?\Mother of Demonic Weapons, Arachne.\Mother of Demonic Weapons, Arachne. response:	She was awakened by the Wavelength of Madness...
context: Yes, and that's why I've prepared our new and unique Ultimate Move.\A new Ultimate Move?\Let's go, Soul!\Ultimate Move, Polygon Resonance!\What the hell is this?\Mother of Demonic Weapons, Arachne.\Mother of Demonic Weapons, Arachne.\She was awakened by the Wavelength of Madness... response:	From an 800 year slumber.
context: A new Ultimate Move?\Let's go, Soul!\Ultimate Move, Polygon Resonance!\What the hell is this?\Mother of Demonic Weapons, Arachne.\Mother of Demonic Weapons, Arachne.\She was awakened by the Wavelength of Madness...\From an 800 year slumber. response:	I didn't think she was alive.
context: Let's go, Soul!\Ultimate Move, Polygon Resonance!\What the hell is this?\Mother of Demonic Weapons, Arachne.\Mother of Demonic Weapons, Arachne.\She was awakened by the Wavelength of Madness...\From an 800 year slumber.\I didn't think she was alive. response:	That witch, you know,
context: Ultimate Move, Polygon Resonance!\What the hell is this?\Mother of Demonic Weapons, Arachne.\Mother of Demonic Weapons, Arachne.\She was awakened by the Wavelength of Madness...\From an 800 year slumber.\I didn't think she was alive.\That witch, you know, response:	She killed fellow witches and sacrificed their souls.
context: What the hell is this?\Mother of Demonic Weapons, Arachne.\Mother of Demonic Weapons, Arachne.\She was awakened by the Wavelength of Madness...\From an 800 year slumber.\I didn't think she was alive.\That witch, you know,\She killed fellow witches and sacrificed their souls. response:	Therefore...
context: Mother of Demonic Weapons, Arachne.\Mother of Demonic Weapons, Arachne.\She was awakened by the Wavelength of Madness...\From an 800 year slumber.\I didn't think she was alive.\That witch, you know,\She killed fellow witches and sacrificed their souls.\Therefore... response:	She has been hunted by both me and the witches.
context: Mother of Demonic Weapons, Arachne.\She was awakened by the Wavelength of Madness...\From an 800 year slumber.\I didn't think she was alive.\That witch, you know,\She killed fellow witches and sacrificed their souls.\Therefore...\She has been hunted by both me and the witches. response:	Where did you go?
context: She was awakened by the Wavelength of Madness...\From an 800 year slumber.\I didn't think she was alive.\That witch, you know,\She killed fellow witches and sacrificed their souls.\Therefore...\She has been hunted by both me and the witches.\Where did you go? response:	This person...
context: From an 800 year slumber.\I didn't think she was alive.\That witch, you know,\She killed fellow witches and sacrificed their souls.\Therefore...\She has been hunted by both me and the witches.\Where did you go?\This person... response:	This wavelength...
context: I didn't think she was alive.\That witch, you know,\She killed fellow witches and sacrificed their souls.\Therefore...\She has been hunted by both me and the witches.\Where did you go?\This person...\This wavelength... response:	M- Medusa-sama.
context: That witch, you know,\She killed fellow witches and sacrificed their souls.\Therefore...\She has been hunted by both me and the witches.\Where did you go?\This person...\This wavelength...\M- Medusa-sama. response:	M-Medusa-sama.
context: She killed fellow witches and sacrificed their souls.\Therefore...\She has been hunted by both me and the witches.\Where did you go?\This person...\This wavelength...\M- Medusa-sama.\M-Medusa-sama. response:	I'm well aware of all of you...
context: Therefore...\She has been hunted by both me and the witches.\Where did you go?\This person...\This wavelength...\M- Medusa-sama.\M-Medusa-sama.\I'm well aware of all of you... response:	Maka, Soul...
context: She has been hunted by both me and the witches.\Where did you go?\This person...\This wavelength...\M- Medusa-sama.\M-Medusa-sama.\I'm well aware of all of you...\Maka, Soul... response:	You argued over who burned the curry last night, correct?
context: Where did you go?\This person...\This wavelength...\M- Medusa-sama.\M-Medusa-sama.\I'm well aware of all of you...\Maka, Soul...\You argued over who burned the curry last night, correct? response:	How does she know about this?
context: This person...\This wavelength...\M- Medusa-sama.\M-Medusa-sama.\I'm well aware of all of you...\Maka, Soul...\You argued over who burned the curry last night, correct?\How does she know about this? response:	That happened because Soul forgot to turn off the stove.
context: This wavelength...\M- Medusa-sama.\M-Medusa-sama.\I'm well aware of all of you...\Maka, Soul...\You argued over who burned the curry last night, correct?\How does she know about this?\That happened because Soul forgot to turn off the stove. response:	I've been observing... Not just you, but the entire world.
context: M- Medusa-sama.\M-Medusa-sama.\I'm well aware of all of you...\Maka, Soul...\You argued over who burned the curry last night, correct?\How does she know about this?\That happened because Soul forgot to turn off the stove.\I've been observing... Not just you, but the entire world. response:	For 800 years, scattering my spiders...
context: M-Medusa-sama.\I'm well aware of all of you...\Maka, Soul...\You argued over who burned the curry last night, correct?\How does she know about this?\That happened because Soul forgot to turn off the stove.\I've been observing... Not just you, but the entire world.\For 800 years, scattering my spiders... response:	And Crona...
context: I'm well aware of all of you...\Maka, Soul...\You argued over who burned the curry last night, correct?\How does she know about this?\That happened because Soul forgot to turn off the stove.\I've been observing... Not just you, but the entire world.\For 800 years, scattering my spiders...\And Crona... response:	The child of my younger sister, Medusa?
context: Maka, Soul...\You argued over who burned the curry last night, correct?\How does she know about this?\That happened because Soul forgot to turn off the stove.\I've been observing... Not just you, but the entire world.\For 800 years, scattering my spiders...\And Crona...\The child of my younger sister, Medusa? response:	How pleasant...
context: You argued over who burned the curry last night, correct?\How does she know about this?\That happened because Soul forgot to turn off the stove.\I've been observing... Not just you, but the entire world.\For 800 years, scattering my spiders...\And Crona...\The child of my younger sister, Medusa?\How pleasant... response:	It seems you didn't get enough love as a child.
context: How does she know about this?\That happened because Soul forgot to turn off the stove.\I've been observing... Not just you, but the entire world.\For 800 years, scattering my spiders...\And Crona...\The child of my younger sister, Medusa?\How pleasant...\It seems you didn't get enough love as a child. response:	How about it? Do you want me to caress you?
context: That happened because Soul forgot to turn off the stove.\I've been observing... Not just you, but the entire world.\For 800 years, scattering my spiders...\And Crona...\The child of my younger sister, Medusa?\How pleasant...\It seems you didn't get enough love as a child.\How about it? Do you want me to caress you? response:	How pleasant...
context: I've been observing... Not just you, but the entire world.\For 800 years, scattering my spiders...\And Crona...\The child of my younger sister, Medusa?\How pleasant...\It seems you didn't get enough love as a child.\How about it? Do you want me to caress you?\How pleasant... response:	Go, Crona! Kill her!
context: For 800 years, scattering my spiders...\And Crona...\The child of my younger sister, Medusa?\How pleasant...\It seems you didn't get enough love as a child.\How about it? Do you want me to caress you?\How pleasant...\Go, Crona! Kill her! response:	I'm starting to feel good!
context: And Crona...\The child of my younger sister, Medusa?\How pleasant...\It seems you didn't get enough love as a child.\How about it? Do you want me to caress you?\How pleasant...\Go, Crona! Kill her!\I'm starting to feel good! response:	Shock...
