context: Ladies and gentlemen, good evening. response:	At long last, the time has come for my friend to bid farewell to things of beauty.
context: Something terrible has happened to my friend's family, and you're telling me...\You little fool! If you went out there now, those journalists would eat you alive!\They'll write about your relationship with Albert, blending fact and fiction until it becomes a farce,\Can't you see that?!\I don't care about any of that!\Listen, this matter isn't just about you!\I won't tolerate anything that might lower your value, whatever it might be!\Keep a close eye on her to make sure that she doesn't leave the house! response:	Are you truly that worried about Viscount Morcerf?
context: You little fool! If you went out there now, those journalists would eat you alive!\They'll write about your relationship with Albert, blending fact and fiction until it becomes a farce,\Can't you see that?!\I don't care about any of that!\Listen, this matter isn't just about you!\I won't tolerate anything that might lower your value, whatever it might be!\Keep a close eye on her to make sure that she doesn't leave the house!\Are you truly that worried about Viscount Morcerf? response:	If you like, I will go in your place to inquire after Monsieur Albert's well-being.
context: They'll write about your relationship with Albert, blending fact and fiction until it becomes a farce,\Can't you see that?!\I don't care about any of that!\Listen, this matter isn't just about you!\I won't tolerate anything that might lower your value, whatever it might be!\Keep a close eye on her to make sure that she doesn't leave the house!\Are you truly that worried about Viscount Morcerf?\If you like, I will go in your place to inquire after Monsieur Albert's well-being. response:	But I...
context: Can't you see that?!\I don't care about any of that!\Listen, this matter isn't just about you!\I won't tolerate anything that might lower your value, whatever it might be!\Keep a close eye on her to make sure that she doesn't leave the house!\Are you truly that worried about Viscount Morcerf?\If you like, I will go in your place to inquire after Monsieur Albert's well-being.\But I... response:	You should stay here.
context: I don't care about any of that!\Listen, this matter isn't just about you!\I won't tolerate anything that might lower your value, whatever it might be!\Keep a close eye on her to make sure that she doesn't leave the house!\Are you truly that worried about Viscount Morcerf?\If you like, I will go in your place to inquire after Monsieur Albert's well-being.\But I...\You should stay here. response:	I can't bear the thought of a wonderful person like you being disgraced by heartless people.
context: Listen, this matter isn't just about you!\I won't tolerate anything that might lower your value, whatever it might be!\Keep a close eye on her to make sure that she doesn't leave the house!\Are you truly that worried about Viscount Morcerf?\If you like, I will go in your place to inquire after Monsieur Albert's well-being.\But I...\You should stay here.\I can't bear the thought of a wonderful person like you being disgraced by heartless people. response:	I've been looking everywhere for you, Albert.
context: I won't tolerate anything that might lower your value, whatever it might be!\Keep a close eye on her to make sure that she doesn't leave the house!\Are you truly that worried about Viscount Morcerf?\If you like, I will go in your place to inquire after Monsieur Albert's well-being.\But I...\You should stay here.\I can't bear the thought of a wonderful person like you being disgraced by heartless people.\I've been looking everywhere for you, Albert. response:	We're in the middle of a huge scandal, and you walk right into military HQ, the belly of the beast.
context: Keep a close eye on her to make sure that she doesn't leave the house!\Are you truly that worried about Viscount Morcerf?\If you like, I will go in your place to inquire after Monsieur Albert's well-being.\But I...\You should stay here.\I can't bear the thought of a wonderful person like you being disgraced by heartless people.\I've been looking everywhere for you, Albert.\We're in the middle of a huge scandal, and you walk right into military HQ, the belly of the beast. response:	That was one stupid stunt, you know that?
context: Are you truly that worried about Viscount Morcerf?\If you like, I will go in your place to inquire after Monsieur Albert's well-being.\But I...\You should stay here.\I can't bear the thought of a wonderful person like you being disgraced by heartless people.\I've been looking everywhere for you, Albert.\We're in the middle of a huge scandal, and you walk right into military HQ, the belly of the beast.\That was one stupid stunt, you know that? response:	A Word of Advice to General Fernand Morcerf. By Robert Beauchamp.
context: If you like, I will go in your place to inquire after Monsieur Albert's well-being.\But I...\You should stay here.\I can't bear the thought of a wonderful person like you being disgraced by heartless people.\I've been looking everywhere for you, Albert.\We're in the middle of a huge scandal, and you walk right into military HQ, the belly of the beast.\That was one stupid stunt, you know that?\A Word of Advice to General Fernand Morcerf. By Robert Beauchamp. response:	I want you to take me to Beauchamp's place.
context: But I...\You should stay here.\I can't bear the thought of a wonderful person like you being disgraced by heartless people.\I've been looking everywhere for you, Albert.\We're in the middle of a huge scandal, and you walk right into military HQ, the belly of the beast.\That was one stupid stunt, you know that?\A Word of Advice to General Fernand Morcerf. By Robert Beauchamp.\I want you to take me to Beauchamp's place. response:	Right now!
context: You should stay here.\I can't bear the thought of a wonderful person like you being disgraced by heartless people.\I've been looking everywhere for you, Albert.\We're in the middle of a huge scandal, and you walk right into military HQ, the belly of the beast.\That was one stupid stunt, you know that?\A Word of Advice to General Fernand Morcerf. By Robert Beauchamp.\I want you to take me to Beauchamp's place.\Right now! response:	Hey, sorry I kept you guys waiting.
context: I can't bear the thought of a wonderful person like you being disgraced by heartless people.\I've been looking everywhere for you, Albert.\We're in the middle of a huge scandal, and you walk right into military HQ, the belly of the beast.\That was one stupid stunt, you know that?\A Word of Advice to General Fernand Morcerf. By Robert Beauchamp.\I want you to take me to Beauchamp's place.\Right now!\Hey, sorry I kept you guys waiting. response:	Albert, what are you...
context: I've been looking everywhere for you, Albert.\We're in the middle of a huge scandal, and you walk right into military HQ, the belly of the beast.\That was one stupid stunt, you know that?\A Word of Advice to General Fernand Morcerf. By Robert Beauchamp.\I want you to take me to Beauchamp's place.\Right now!\Hey, sorry I kept you guys waiting.\Albert, what are you... response:	You bastard! All this time, you were only pretending to be my friend!
context: We're in the middle of a huge scandal, and you walk right into military HQ, the belly of the beast.\That was one stupid stunt, you know that?\A Word of Advice to General Fernand Morcerf. By Robert Beauchamp.\I want you to take me to Beauchamp's place.\Right now!\Hey, sorry I kept you guys waiting.\Albert, what are you...\You bastard! All this time, you were only pretending to be my friend! response:	Watch out for scandals, my ass!
context: That was one stupid stunt, you know that?\A Word of Advice to General Fernand Morcerf. By Robert Beauchamp.\I want you to take me to Beauchamp's place.\Right now!\Hey, sorry I kept you guys waiting.\Albert, what are you...\You bastard! All this time, you were only pretending to be my friend!\Watch out for scandals, my ass! response:	You were planning all along to sell out my father to get your big scoop!
context: A Word of Advice to General Fernand Morcerf. By Robert Beauchamp.\I want you to take me to Beauchamp's place.\Right now!\Hey, sorry I kept you guys waiting.\Albert, what are you...\You bastard! All this time, you were only pretending to be my friend!\Watch out for scandals, my ass!\You were planning all along to sell out my father to get your big scoop! response:	Isn't that right?! Right?!
context: I want you to take me to Beauchamp's place.\Right now!\Hey, sorry I kept you guys waiting.\Albert, what are you...\You bastard! All this time, you were only pretending to be my friend!\Watch out for scandals, my ass!\You were planning all along to sell out my father to get your big scoop!\Isn't that right?! Right?! response:	Listen, Albert, I'm going tell you everything that I uncovered in my investigation.
context: Right now!\Hey, sorry I kept you guys waiting.\Albert, what are you...\You bastard! All this time, you were only pretending to be my friend!\Watch out for scandals, my ass!\You were planning all along to sell out my father to get your big scoop!\Isn't that right?! Right?!\Listen, Albert, I'm going tell you everything that I uncovered in my investigation. response:	Just the plain truth. No lies.
context: Hey, sorry I kept you guys waiting.\Albert, what are you...\You bastard! All this time, you were only pretending to be my friend!\Watch out for scandals, my ass!\You were planning all along to sell out my father to get your big scoop!\Isn't that right?! Right?!\Listen, Albert, I'm going tell you everything that I uncovered in my investigation.\Just the plain truth. No lies. response:	So before you do anything rash, just hear me out.
context: Albert, what are you...\You bastard! All this time, you were only pretending to be my friend!\Watch out for scandals, my ass!\You were planning all along to sell out my father to get your big scoop!\Isn't that right?! Right?!\Listen, Albert, I'm going tell you everything that I uncovered in my investigation.\Just the plain truth. No lies.\So before you do anything rash, just hear me out. response:	Take a look at this.
context: You bastard! All this time, you were only pretending to be my friend!\Watch out for scandals, my ass!\You were planning all along to sell out my father to get your big scoop!\Isn't that right?! Right?!\Listen, Albert, I'm going tell you everything that I uncovered in my investigation.\Just the plain truth. No lies.\So before you do anything rash, just hear me out.\Take a look at this. response:	This is a copy of a title deed that I bought from a black-market merchant in the Empire.
context: Watch out for scandals, my ass!\You were planning all along to sell out my father to get your big scoop!\Isn't that right?! Right?!\Listen, Albert, I'm going tell you everything that I uncovered in my investigation.\Just the plain truth. No lies.\So before you do anything rash, just hear me out.\Take a look at this.\This is a copy of a title deed that I bought from a black-market merchant in the Empire. response:	I cede ownership of Queen Vasiliki of Janina and Princess Haidee...
context: You were planning all along to sell out my father to get your big scoop!\Isn't that right?! Right?!\Listen, Albert, I'm going tell you everything that I uncovered in my investigation.\Just the plain truth. No lies.\So before you do anything rash, just hear me out.\Take a look at this.\This is a copy of a title deed that I bought from a black-market merchant in the Empire.\I cede ownership of Queen Vasiliki of Janina and Princess Haidee... response:	Seller, Fernand Mondego.
context: Isn't that right?! Right?!\Listen, Albert, I'm going tell you everything that I uncovered in my investigation.\Just the plain truth. No lies.\So before you do anything rash, just hear me out.\Take a look at this.\This is a copy of a title deed that I bought from a black-market merchant in the Empire.\I cede ownership of Queen Vasiliki of Janina and Princess Haidee...\Seller, Fernand Mondego. response:	What's this supposed to prove?!
context: Listen, Albert, I'm going tell you everything that I uncovered in my investigation.\Just the plain truth. No lies.\So before you do anything rash, just hear me out.\Take a look at this.\This is a copy of a title deed that I bought from a black-market merchant in the Empire.\I cede ownership of Queen Vasiliki of Janina and Princess Haidee...\Seller, Fernand Mondego.\What's this supposed to prove?! response:	I followed the tracks of this Mondego person.
context: Just the plain truth. No lies.\So before you do anything rash, just hear me out.\Take a look at this.\This is a copy of a title deed that I bought from a black-market merchant in the Empire.\I cede ownership of Queen Vasiliki of Janina and Princess Haidee...\Seller, Fernand Mondego.\What's this supposed to prove?!\I followed the tracks of this Mondego person. response:	But every last bit of information on him had been erased.
context: So before you do anything rash, just hear me out.\Take a look at this.\This is a copy of a title deed that I bought from a black-market merchant in the Empire.\I cede ownership of Queen Vasiliki of Janina and Princess Haidee...\Seller, Fernand Mondego.\What's this supposed to prove?!\I followed the tracks of this Mondego person.\But every last bit of information on him had been erased. response:	It was almost as if he had never existed.
context: Take a look at this.\This is a copy of a title deed that I bought from a black-market merchant in the Empire.\I cede ownership of Queen Vasiliki of Janina and Princess Haidee...\Seller, Fernand Mondego.\What's this supposed to prove?!\I followed the tracks of this Mondego person.\But every last bit of information on him had been erased.\It was almost as if he had never existed. response:	But Mondego existed, all right.
context: This is a copy of a title deed that I bought from a black-market merchant in the Empire.\I cede ownership of Queen Vasiliki of Janina and Princess Haidee...\Seller, Fernand Mondego.\What's this supposed to prove?!\I followed the tracks of this Mondego person.\But every last bit of information on him had been erased.\It was almost as if he had never existed.\But Mondego existed, all right. response:	When he returned to Marseilles,
