context: Hey, the float's coming along pretty nicely. response:	How's the cafe going?
context: Huh? Yeah, he's been there. Why?\Ah, well... I was a little worried he might be slacking off or something.\After all, that's all he did last year.\After what happened, he completely stopped coming to see me...\I see... he's been showing up...\Hey, gimme a break!\You're so clumsy!\Thank goodness... he's the same as always... response:	So full of life...
context: Ah, well... I was a little worried he might be slacking off or something.\After all, that's all he did last year.\After what happened, he completely stopped coming to see me...\I see... he's been showing up...\Hey, gimme a break!\You're so clumsy!\Thank goodness... he's the same as always...\So full of life... response:	Even though we broke up...
context: After all, that's all he did last year.\After what happened, he completely stopped coming to see me...\I see... he's been showing up...\Hey, gimme a break!\You're so clumsy!\Thank goodness... he's the same as always...\So full of life...\Even though we broke up... response:	Even though I broke up with him, why is it that I still don't want to hurt him?
context: After what happened, he completely stopped coming to see me...\I see... he's been showing up...\Hey, gimme a break!\You're so clumsy!\Thank goodness... he's the same as always...\So full of life...\Even though we broke up...\Even though I broke up with him, why is it that I still don't want to hurt him? response:	Usotsuki na anata nakimushi no atashi
context: I see... he's been showing up...\Hey, gimme a break!\You're so clumsy!\Thank goodness... he's the same as always...\So full of life...\Even though we broke up...\Even though I broke up with him, why is it that I still don't want to hurt him?\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: Hey, gimme a break!\You're so clumsy!\Thank goodness... he's the same as always...\So full of life...\Even though we broke up...\Even though I broke up with him, why is it that I still don't want to hurt him?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: You're so clumsy!\Thank goodness... he's the same as always...\So full of life...\Even though we broke up...\Even though I broke up with him, why is it that I still don't want to hurt him?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Thank goodness... he's the same as always...\So full of life...\Even though we broke up...\Even though I broke up with him, why is it that I still don't want to hurt him?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: So full of life...\Even though we broke up...\Even though I broke up with him, why is it that I still don't want to hurt him?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: Even though we broke up...\Even though I broke up with him, why is it that I still don't want to hurt him?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: Even though I broke up with him, why is it that I still don't want to hurt him?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 15 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 15 ... response:	Nana! Over here, over here!
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 15 ...\Nana! Over here, over here! response:	You didn't come in a yukata this year.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 15 ...\Nana! Over here, over here!\You didn't come in a yukata this year. response:	Neither did you.
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 15 ...\Nana! Over here, over here!\You didn't come in a yukata this year.\Neither did you. response:	Well, it's just us girls tonight.
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 15 ...\Nana! Over here, over here!\You didn't come in a yukata this year.\Neither did you.\Well, it's just us girls tonight. response:	But Nana, didn't a certain someone invite you to come?
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 15 ...\Nana! Over here, over here!\You didn't come in a yukata this year.\Neither did you.\Well, it's just us girls tonight.\But Nana, didn't a certain someone invite you to come? response:	Like Yano?
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 15 ...\Nana! Over here, over here!\You didn't come in a yukata this year.\Neither did you.\Well, it's just us girls tonight.\But Nana, didn't a certain someone invite you to come?\Like Yano? response:	N-No... actually, I was wondering how to decline the invitation if he had asked me...
context: Episode 15 ...\Nana! Over here, over here!\You didn't come in a yukata this year.\Neither did you.\Well, it's just us girls tonight.\But Nana, didn't a certain someone invite you to come?\Like Yano?\N-No... actually, I was wondering how to decline the invitation if he had asked me... response:	But he didn't.
context: Nana! Over here, over here!\You didn't come in a yukata this year.\Neither did you.\Well, it's just us girls tonight.\But Nana, didn't a certain someone invite you to come?\Like Yano?\N-No... actually, I was wondering how to decline the invitation if he had asked me...\But he didn't. response:	Seriously?!
context: You didn't come in a yukata this year.\Neither did you.\Well, it's just us girls tonight.\But Nana, didn't a certain someone invite you to come?\Like Yano?\N-No... actually, I was wondering how to decline the invitation if he had asked me...\But he didn't.\Seriously?! response:	How about Takeuchi-kun?
context: Neither did you.\Well, it's just us girls tonight.\But Nana, didn't a certain someone invite you to come?\Like Yano?\N-No... actually, I was wondering how to decline the invitation if he had asked me...\But he didn't.\Seriously?!\How about Takeuchi-kun? response:	There's no way he would, Mizu-chin. Don't make me repeat myself.
context: Well, it's just us girls tonight.\But Nana, didn't a certain someone invite you to come?\Like Yano?\N-No... actually, I was wondering how to decline the invitation if he had asked me...\But he didn't.\Seriously?!\How about Takeuchi-kun?\There's no way he would, Mizu-chin. Don't make me repeat myself. response:	I had decided to decline anyway...
context: But Nana, didn't a certain someone invite you to come?\Like Yano?\N-No... actually, I was wondering how to decline the invitation if he had asked me...\But he didn't.\Seriously?!\How about Takeuchi-kun?\There's no way he would, Mizu-chin. Don't make me repeat myself.\I had decided to decline anyway... response:	All right! Since it's just us girls, let's make something of this!
context: Like Yano?\N-No... actually, I was wondering how to decline the invitation if he had asked me...\But he didn't.\Seriously?!\How about Takeuchi-kun?\There's no way he would, Mizu-chin. Don't make me repeat myself.\I had decided to decline anyway...\All right! Since it's just us girls, let's make something of this! response:	Yeah!
context: N-No... actually, I was wondering how to decline the invitation if he had asked me...\But he didn't.\Seriously?!\How about Takeuchi-kun?\There's no way he would, Mizu-chin. Don't make me repeat myself.\I had decided to decline anyway...\All right! Since it's just us girls, let's make something of this!\Yeah! response:	What's up with that? That's awesome!
context: But he didn't.\Seriously?!\How about Takeuchi-kun?\There's no way he would, Mizu-chin. Don't make me repeat myself.\I had decided to decline anyway...\All right! Since it's just us girls, let's make something of this!\Yeah!\What's up with that? That's awesome! response:	Y-Yano-senpai...
context: Seriously?!\How about Takeuchi-kun?\There's no way he would, Mizu-chin. Don't make me repeat myself.\I had decided to decline anyway...\All right! Since it's just us girls, let's make something of this!\Yeah!\What's up with that? That's awesome!\Y-Yano-senpai... response:	U-Umm...
context: How about Takeuchi-kun?\There's no way he would, Mizu-chin. Don't make me repeat myself.\I had decided to decline anyway...\All right! Since it's just us girls, let's make something of this!\Yeah!\What's up with that? That's awesome!\Y-Yano-senpai...\U-Umm... response:	Would you please do a round of goldfish scooping for me?
context: There's no way he would, Mizu-chin. Don't make me repeat myself.\I had decided to decline anyway...\All right! Since it's just us girls, let's make something of this!\Yeah!\What's up with that? That's awesome!\Y-Yano-senpai...\U-Umm...\Would you please do a round of goldfish scooping for me? response:	I heard you were really good at it...
context: I had decided to decline anyway...\All right! Since it's just us girls, let's make something of this!\Yeah!\What's up with that? That's awesome!\Y-Yano-senpai...\U-Umm...\Would you please do a round of goldfish scooping for me?\I heard you were really good at it... response:	It'd be cheaper to just buy one at a goldfish store.
context: All right! Since it's just us girls, let's make something of this!\Yeah!\What's up with that? That's awesome!\Y-Yano-senpai...\U-Umm...\Would you please do a round of goldfish scooping for me?\I heard you were really good at it...\It'd be cheaper to just buy one at a goldfish store. response:	P-Please...
context: Yeah!\What's up with that? That's awesome!\Y-Yano-senpai...\U-Umm...\Would you please do a round of goldfish scooping for me?\I heard you were really good at it...\It'd be cheaper to just buy one at a goldfish store.\P-Please... response:	Who's that? One of the underclassmen?
context: What's up with that? That's awesome!\Y-Yano-senpai...\U-Umm...\Would you please do a round of goldfish scooping for me?\I heard you were really good at it...\It'd be cheaper to just buy one at a goldfish store.\P-Please...\Who's that? One of the underclassmen? response:	She said senpai really loud.
context: Y-Yano-senpai...\U-Umm...\Would you please do a round of goldfish scooping for me?\I heard you were really good at it...\It'd be cheaper to just buy one at a goldfish store.\P-Please...\Who's that? One of the underclassmen?\She said senpai really loud. response:	Is she a first year?
context: U-Umm...\Would you please do a round of goldfish scooping for me?\I heard you were really good at it...\It'd be cheaper to just buy one at a goldfish store.\P-Please...\Who's that? One of the underclassmen?\She said senpai really loud.\Is she a first year? response:	I'm so much better with the wafer plates than these pois...
context: Would you please do a round of goldfish scooping for me?\I heard you were really good at it...\It'd be cheaper to just buy one at a goldfish store.\P-Please...\Who's that? One of the underclassmen?\She said senpai really loud.\Is she a first year?\I'm so much better with the wafer plates than these pois... response:	Oh, well.
context: I heard you were really good at it...\It'd be cheaper to just buy one at a goldfish store.\P-Please...\Who's that? One of the underclassmen?\She said senpai really loud.\Is she a first year?\I'm so much better with the wafer plates than these pois...\Oh, well. response:	Wow!
context: It'd be cheaper to just buy one at a goldfish store.\P-Please...\Who's that? One of the underclassmen?\She said senpai really loud.\Is she a first year?\I'm so much better with the wafer plates than these pois...\Oh, well.\Wow! response:	He got me one! Yano-san got me one!
context: P-Please...\Who's that? One of the underclassmen?\She said senpai really loud.\Is she a first year?\I'm so much better with the wafer plates than these pois...\Oh, well.\Wow!\He got me one! Yano-san got me one! response:	No way! Are you serious? Lemme see!
context: Who's that? One of the underclassmen?\She said senpai really loud.\Is she a first year?\I'm so much better with the wafer plates than these pois...\Oh, well.\Wow!\He got me one! Yano-san got me one!\No way! Are you serious? Lemme see! response:	Even if it's cheaper at a goldfish store, it wouldn't mean anything!
context: She said senpai really loud.\Is she a first year?\I'm so much better with the wafer plates than these pois...\Oh, well.\Wow!\He got me one! Yano-san got me one!\No way! Are you serious? Lemme see!\Even if it's cheaper at a goldfish store, it wouldn't mean anything! response:	Look! It's a big pop-eyed goldfish!
context: Is she a first year?\I'm so much better with the wafer plates than these pois...\Oh, well.\Wow!\He got me one! Yano-san got me one!\No way! Are you serious? Lemme see!\Even if it's cheaper at a goldfish store, it wouldn't mean anything!\Look! It's a big pop-eyed goldfish! response:	He's so nice!
context: I'm so much better with the wafer plates than these pois...\Oh, well.\Wow!\He got me one! Yano-san got me one!\No way! Are you serious? Lemme see!\Even if it's cheaper at a goldfish store, it wouldn't mean anything!\Look! It's a big pop-eyed goldfish!\He's so nice! response:	So Yano's here, too...
context: Oh, well.\Wow!\He got me one! Yano-san got me one!\No way! Are you serious? Lemme see!\Even if it's cheaper at a goldfish store, it wouldn't mean anything!\Look! It's a big pop-eyed goldfish!\He's so nice!\So Yano's here, too... response:	Looks that way.
context: Wow!\He got me one! Yano-san got me one!\No way! Are you serious? Lemme see!\Even if it's cheaper at a goldfish store, it wouldn't mean anything!\Look! It's a big pop-eyed goldfish!\He's so nice!\So Yano's here, too...\Looks that way. response:	I see... Yano's also here...
context: He got me one! Yano-san got me one!\No way! Are you serious? Lemme see!\Even if it's cheaper at a goldfish store, it wouldn't mean anything!\Look! It's a big pop-eyed goldfish!\He's so nice!\So Yano's here, too...\Looks that way.\I see... Yano's also here... response:	I'm going to treat it well for the rest of my life!
context: No way! Are you serious? Lemme see!\Even if it's cheaper at a goldfish store, it wouldn't mean anything!\Look! It's a big pop-eyed goldfish!\He's so nice!\So Yano's here, too...\Looks that way.\I see... Yano's also here...\I'm going to treat it well for the rest of my life! response:	Yeah!
context: Even if it's cheaper at a goldfish store, it wouldn't mean anything!\Look! It's a big pop-eyed goldfish!\He's so nice!\So Yano's here, too...\Looks that way.\I see... Yano's also here...\I'm going to treat it well for the rest of my life!\Yeah! response:	He's here...
context: Look! It's a big pop-eyed goldfish!\He's so nice!\So Yano's here, too...\Looks that way.\I see... Yano's also here...\I'm going to treat it well for the rest of my life!\Yeah!\He's here... response:	Hey! We should be having a blast, too!
context: He's so nice!\So Yano's here, too...\Looks that way.\I see... Yano's also here...\I'm going to treat it well for the rest of my life!\Yeah!\He's here...\Hey! We should be having a blast, too! response:	Let's beat them with some turtle scooping!
context: So Yano's here, too...\Looks that way.\I see... Yano's also here...\I'm going to treat it well for the rest of my life!\Yeah!\He's here...\Hey! We should be having a blast, too!\Let's beat them with some turtle scooping! response:	T-Turtle?
context: Looks that way.\I see... Yano's also here...\I'm going to treat it well for the rest of my life!\Yeah!\He's here...\Hey! We should be having a blast, too!\Let's beat them with some turtle scooping!\T-Turtle? response:	He's here with other people...
context: I see... Yano's also here...\I'm going to treat it well for the rest of my life!\Yeah!\He's here...\Hey! We should be having a blast, too!\Let's beat them with some turtle scooping!\T-Turtle?\He's here with other people... response:	Hey, twilight in the summer really makes you want to see the one you love, don't you think?
context: I'm going to treat it well for the rest of my life!\Yeah!\He's here...\Hey! We should be having a blast, too!\Let's beat them with some turtle scooping!\T-Turtle?\He's here with other people...\Hey, twilight in the summer really makes you want to see the one you love, don't you think? response:	Twilight in the summer?
context: Yeah!\He's here...\Hey! We should be having a blast, too!\Let's beat them with some turtle scooping!\T-Turtle?\He's here with other people...\Hey, twilight in the summer really makes you want to see the one you love, don't you think?\Twilight in the summer? response:	Or on rainy days, or during the season when cherry blossoms fall, or in those long nights...
context: He's here...\Hey! We should be having a blast, too!\Let's beat them with some turtle scooping!\T-Turtle?\He's here with other people...\Hey, twilight in the summer really makes you want to see the one you love, don't you think?\Twilight in the summer?\Or on rainy days, or during the season when cherry blossoms fall, or in those long nights... response:	Being single is so lonely!
context: Hey! We should be having a blast, too!\Let's beat them with some turtle scooping!\T-Turtle?\He's here with other people...\Hey, twilight in the summer really makes you want to see the one you love, don't you think?\Twilight in the summer?\Or on rainy days, or during the season when cherry blossoms fall, or in those long nights...\Being single is so lonely! response:	That's all year round for you...
context: Let's beat them with some turtle scooping!\T-Turtle?\He's here with other people...\Hey, twilight in the summer really makes you want to see the one you love, don't you think?\Twilight in the summer?\Or on rainy days, or during the season when cherry blossoms fall, or in those long nights...\Being single is so lonely!\That's all year round for you... response:	Whoa! It's alive?!
context: T-Turtle?\He's here with other people...\Hey, twilight in the summer really makes you want to see the one you love, don't you think?\Twilight in the summer?\Or on rainy days, or during the season when cherry blossoms fall, or in those long nights...\Being single is so lonely!\That's all year round for you...\Whoa! It's alive?! response:	Shoot, I messed up.
context: He's here with other people...\Hey, twilight in the summer really makes you want to see the one you love, don't you think?\Twilight in the summer?\Or on rainy days, or during the season when cherry blossoms fall, or in those long nights...\Being single is so lonely!\That's all year round for you...\Whoa! It's alive?!\Shoot, I messed up. response:	It's harder than it looks, huh?
context: Hey, twilight in the summer really makes you want to see the one you love, don't you think?\Twilight in the summer?\Or on rainy days, or during the season when cherry blossoms fall, or in those long nights...\Being single is so lonely!\That's all year round for you...\Whoa! It's alive?!\Shoot, I messed up.\It's harder than it looks, huh? response:	Hey mister, one try please.
context: Twilight in the summer?\Or on rainy days, or during the season when cherry blossoms fall, or in those long nights...\Being single is so lonely!\That's all year round for you...\Whoa! It's alive?!\Shoot, I messed up.\It's harder than it looks, huh?\Hey mister, one try please. response:	Being single... is so lonely...
context: Or on rainy days, or during the season when cherry blossoms fall, or in those long nights...\Being single is so lonely!\That's all year round for you...\Whoa! It's alive?!\Shoot, I messed up.\It's harder than it looks, huh?\Hey mister, one try please.\Being single... is so lonely... response:	Oh... he's pretty good at this.
context: Being single is so lonely!\That's all year round for you...\Whoa! It's alive?!\Shoot, I messed up.\It's harder than it looks, huh?\Hey mister, one try please.\Being single... is so lonely...\Oh... he's pretty good at this. response:	Hey, what do you wanna do next?
context: That's all year round for you...\Whoa! It's alive?!\Shoot, I messed up.\It's harder than it looks, huh?\Hey mister, one try please.\Being single... is so lonely...\Oh... he's pretty good at this.\Hey, what do you wanna do next? response:	I'll give you one.
context: Whoa! It's alive?!\Shoot, I messed up.\It's harder than it looks, huh?\Hey mister, one try please.\Being single... is so lonely...\Oh... he's pretty good at this.\Hey, what do you wanna do next?\I'll give you one. response:	Since you're such a cutie.
context: Shoot, I messed up.\It's harder than it looks, huh?\Hey mister, one try please.\Being single... is so lonely...\Oh... he's pretty good at this.\Hey, what do you wanna do next?\I'll give you one.\Since you're such a cutie. response:	Nice! Go on and take it.
context: It's harder than it looks, huh?\Hey mister, one try please.\Being single... is so lonely...\Oh... he's pretty good at this.\Hey, what do you wanna do next?\I'll give you one.\Since you're such a cutie.\Nice! Go on and take it. response:	Go on and take it, miss.
context: Hey mister, one try please.\Being single... is so lonely...\Oh... he's pretty good at this.\Hey, what do you wanna do next?\I'll give you one.\Since you're such a cutie.\Nice! Go on and take it.\Go on and take it, miss. response:	I-Is it really all right...?
context: Being single... is so lonely...\Oh... he's pretty good at this.\Hey, what do you wanna do next?\I'll give you one.\Since you're such a cutie.\Nice! Go on and take it.\Go on and take it, miss.\I-Is it really all right...? response:	Excuse me.
context: Oh... he's pretty good at this.\Hey, what do you wanna do next?\I'll give you one.\Since you're such a cutie.\Nice! Go on and take it.\Go on and take it, miss.\I-Is it really all right...?\Excuse me. response:	She's my girlfriend, so would you please not do that?
context: Hey, what do you wanna do next?\I'll give you one.\Since you're such a cutie.\Nice! Go on and take it.\Go on and take it, miss.\I-Is it really all right...?\Excuse me.\She's my girlfriend, so would you please not do that? response:	Let's go!
context: I'll give you one.\Since you're such a cutie.\Nice! Go on and take it.\Go on and take it, miss.\I-Is it really all right...?\Excuse me.\She's my girlfriend, so would you please not do that?\Let's go! response:	That guy was a decoy.
context: Since you're such a cutie.\Nice! Go on and take it.\Go on and take it, miss.\I-Is it really all right...?\Excuse me.\She's my girlfriend, so would you please not do that?\Let's go!\That guy was a decoy. response:	He was working with the guy in the stall.
context: Nice! Go on and take it.\Go on and take it, miss.\I-Is it really all right...?\Excuse me.\She's my girlfriend, so would you please not do that?\Let's go!\That guy was a decoy.\He was working with the guy in the stall. response:	He would give you the turtle for free, then try to sell you expensive food for it.
context: Go on and take it, miss.\I-Is it really all right...?\Excuse me.\She's my girlfriend, so would you please not do that?\Let's go!\That guy was a decoy.\He was working with the guy in the stall.\He would give you the turtle for free, then try to sell you expensive food for it. response:	It's hard to decline something you're getting for free, right?
context: I-Is it really all right...?\Excuse me.\She's my girlfriend, so would you please not do that?\Let's go!\That guy was a decoy.\He was working with the guy in the stall.\He would give you the turtle for free, then try to sell you expensive food for it.\It's hard to decline something you're getting for free, right? response:	I see...
context: Excuse me.\She's my girlfriend, so would you please not do that?\Let's go!\That guy was a decoy.\He was working with the guy in the stall.\He would give you the turtle for free, then try to sell you expensive food for it.\It's hard to decline something you're getting for free, right?\I see... response:	Why is Takeuchi-kun looking at me so gently?
context: She's my girlfriend, so would you please not do that?\Let's go!\That guy was a decoy.\He was working with the guy in the stall.\He would give you the turtle for free, then try to sell you expensive food for it.\It's hard to decline something you're getting for free, right?\I see...\Why is Takeuchi-kun looking at me so gently? response:	You sure know a lot about this stuff.
context: Let's go!\That guy was a decoy.\He was working with the guy in the stall.\He would give you the turtle for free, then try to sell you expensive food for it.\It's hard to decline something you're getting for free, right?\I see...\Why is Takeuchi-kun looking at me so gently?\You sure know a lot about this stuff. response:	Ah... a friend of mine was asked to do it part-time a long time ago.
context: That guy was a decoy.\He was working with the guy in the stall.\He would give you the turtle for free, then try to sell you expensive food for it.\It's hard to decline something you're getting for free, right?\I see...\Why is Takeuchi-kun looking at me so gently?\You sure know a lot about this stuff.\Ah... a friend of mine was asked to do it part-time a long time ago. response:	Ah, and I'm sorry about calling you my girlfriend!
context: He was working with the guy in the stall.\He would give you the turtle for free, then try to sell you expensive food for it.\It's hard to decline something you're getting for free, right?\I see...\Why is Takeuchi-kun looking at me so gently?\You sure know a lot about this stuff.\Ah... a friend of mine was asked to do it part-time a long time ago.\Ah, and I'm sorry about calling you my girlfriend! response:	I-It's fine. Thanks.
context: He would give you the turtle for free, then try to sell you expensive food for it.\It's hard to decline something you're getting for free, right?\I see...\Why is Takeuchi-kun looking at me so gently?\You sure know a lot about this stuff.\Ah... a friend of mine was asked to do it part-time a long time ago.\Ah, and I'm sorry about calling you my girlfriend!\I-It's fine. Thanks. response:	It's just such a pain once you get mixed up with them.
context: It's hard to decline something you're getting for free, right?\I see...\Why is Takeuchi-kun looking at me so gently?\You sure know a lot about this stuff.\Ah... a friend of mine was asked to do it part-time a long time ago.\Ah, and I'm sorry about calling you my girlfriend!\I-It's fine. Thanks.\It's just such a pain once you get mixed up with them. response:	Yeah.
context: I see...\Why is Takeuchi-kun looking at me so gently?\You sure know a lot about this stuff.\Ah... a friend of mine was asked to do it part-time a long time ago.\Ah, and I'm sorry about calling you my girlfriend!\I-It's fine. Thanks.\It's just such a pain once you get mixed up with them.\Yeah. response:	Y-You got separated from your friends because of me...
