context: What's Kuro-senpai doing here? response:	His steps are so clumsy.
context: Why is Kuro-kun...\If you get any closer, you might get caught in the middle.\Let's just watch for a bit.\But it looks like he could go down at any moment.\He's tripping over his own feet!\Yes, but it doesn't seem like she's that much stronger than he is.\It should be simple, then.\Especially if he's willing to take a steel beam to the face. response:	Even if he's close to death,
context: If you get any closer, you might get caught in the middle.\Let's just watch for a bit.\But it looks like he could go down at any moment.\He's tripping over his own feet!\Yes, but it doesn't seem like she's that much stronger than he is.\It should be simple, then.\Especially if he's willing to take a steel beam to the face.\Even if he's close to death, response:	he'll be able to get back up immediately
context: Let's just watch for a bit.\But it looks like he could go down at any moment.\He's tripping over his own feet!\Yes, but it doesn't seem like she's that much stronger than he is.\It should be simple, then.\Especially if he's willing to take a steel beam to the face.\Even if he's close to death,\he'll be able to get back up immediately response:	thanks to the immortality he gained by eating mermaid flesh.
context: But it looks like he could go down at any moment.\He's tripping over his own feet!\Yes, but it doesn't seem like she's that much stronger than he is.\It should be simple, then.\Especially if he's willing to take a steel beam to the face.\Even if he's close to death,\he'll be able to get back up immediately\thanks to the immortality he gained by eating mermaid flesh. response:	Is this the first time you've seen Kuro-senpai die?
context: He's tripping over his own feet!\Yes, but it doesn't seem like she's that much stronger than he is.\It should be simple, then.\Especially if he's willing to take a steel beam to the face.\Even if he's close to death,\he'll be able to get back up immediately\thanks to the immortality he gained by eating mermaid flesh.\Is this the first time you've seen Kuro-senpai die? response:	Of course it is.
context: Yes, but it doesn't seem like she's that much stronger than he is.\It should be simple, then.\Especially if he's willing to take a steel beam to the face.\Even if he's close to death,\he'll be able to get back up immediately\thanks to the immortality he gained by eating mermaid flesh.\Is this the first time you've seen Kuro-senpai die?\Of course it is. response:	Then why did you break up with him?
context: It should be simple, then.\Especially if he's willing to take a steel beam to the face.\Even if he's close to death,\he'll be able to get back up immediately\thanks to the immortality he gained by eating mermaid flesh.\Is this the first time you've seen Kuro-senpai die?\Of course it is.\Then why did you break up with him? response:	I saw a cut on his hand disappear immediately.
context: Especially if he's willing to take a steel beam to the face.\Even if he's close to death,\he'll be able to get back up immediately\thanks to the immortality he gained by eating mermaid flesh.\Is this the first time you've seen Kuro-senpai die?\Of course it is.\Then why did you break up with him?\I saw a cut on his hand disappear immediately. response:	I saw his severed fingers grow back.
context: Even if he's close to death,\he'll be able to get back up immediately\thanks to the immortality he gained by eating mermaid flesh.\Is this the first time you've seen Kuro-senpai die?\Of course it is.\Then why did you break up with him?\I saw a cut on his hand disappear immediately.\I saw his severed fingers grow back. response:	And yet Kuro-kun acted like nothing even happened.
context: he'll be able to get back up immediately\thanks to the immortality he gained by eating mermaid flesh.\Is this the first time you've seen Kuro-senpai die?\Of course it is.\Then why did you break up with him?\I saw a cut on his hand disappear immediately.\I saw his severed fingers grow back.\And yet Kuro-kun acted like nothing even happened. response:	Well, he is immortal. You should expect that.
context: thanks to the immortality he gained by eating mermaid flesh.\Is this the first time you've seen Kuro-senpai die?\Of course it is.\Then why did you break up with him?\I saw a cut on his hand disappear immediately.\I saw his severed fingers grow back.\And yet Kuro-kun acted like nothing even happened.\Well, he is immortal. You should expect that. response:	An able-bodied boyfriend.
context: Is this the first time you've seen Kuro-senpai die?\Of course it is.\Then why did you break up with him?\I saw a cut on his hand disappear immediately.\I saw his severed fingers grow back.\And yet Kuro-kun acted like nothing even happened.\Well, he is immortal. You should expect that.\An able-bodied boyfriend. response:	Couldn't she just accept that he would've made a great husband?
context: Of course it is.\Then why did you break up with him?\I saw a cut on his hand disappear immediately.\I saw his severed fingers grow back.\And yet Kuro-kun acted like nothing even happened.\Well, he is immortal. You should expect that.\An able-bodied boyfriend.\Couldn't she just accept that he would've made a great husband? response:	That she'd never have to worry about him being injured or sick?
context: Then why did you break up with him?\I saw a cut on his hand disappear immediately.\I saw his severed fingers grow back.\And yet Kuro-kun acted like nothing even happened.\Well, he is immortal. You should expect that.\An able-bodied boyfriend.\Couldn't she just accept that he would've made a great husband?\That she'd never have to worry about him being injured or sick? response:	The way she's acting now, I guess not.
context: I saw a cut on his hand disappear immediately.\I saw his severed fingers grow back.\And yet Kuro-kun acted like nothing even happened.\Well, he is immortal. You should expect that.\An able-bodied boyfriend.\Couldn't she just accept that he would've made a great husband?\That she'd never have to worry about him being injured or sick?\The way she's acting now, I guess not. response:	Is it so strange to suddenly feel scared at the thought
context: I saw his severed fingers grow back.\And yet Kuro-kun acted like nothing even happened.\Well, he is immortal. You should expect that.\An able-bodied boyfriend.\Couldn't she just accept that he would've made a great husband?\That she'd never have to worry about him being injured or sick?\The way she's acting now, I guess not.\Is it so strange to suddenly feel scared at the thought response:	of becoming family with someone like that?
context: And yet Kuro-kun acted like nothing even happened.\Well, he is immortal. You should expect that.\An able-bodied boyfriend.\Couldn't she just accept that he would've made a great husband?\That she'd never have to worry about him being injured or sick?\The way she's acting now, I guess not.\Is it so strange to suddenly feel scared at the thought\of becoming family with someone like that? response:	Am I not allowed to reconsider marriage?
context: Well, he is immortal. You should expect that.\An able-bodied boyfriend.\Couldn't she just accept that he would've made a great husband?\That she'd never have to worry about him being injured or sick?\The way she's acting now, I guess not.\Is it so strange to suddenly feel scared at the thought\of becoming family with someone like that?\Am I not allowed to reconsider marriage? response:	Dozens of his relatives and extended family have died of illness or unusual causes.
context: An able-bodied boyfriend.\Couldn't she just accept that he would've made a great husband?\That she'd never have to worry about him being injured or sick?\The way she's acting now, I guess not.\Is it so strange to suddenly feel scared at the thought\of becoming family with someone like that?\Am I not allowed to reconsider marriage?\Dozens of his relatives and extended family have died of illness or unusual causes. response:	Kuro-kun's the only one living a decent life.
context: Couldn't she just accept that he would've made a great husband?\That she'd never have to worry about him being injured or sick?\The way she's acting now, I guess not.\Is it so strange to suddenly feel scared at the thought\of becoming family with someone like that?\Am I not allowed to reconsider marriage?\Dozens of his relatives and extended family have died of illness or unusual causes.\Kuro-kun's the only one living a decent life. response:	Looks like Kuro-senpai's back.
context: That she'd never have to worry about him being injured or sick?\The way she's acting now, I guess not.\Is it so strange to suddenly feel scared at the thought\of becoming family with someone like that?\Am I not allowed to reconsider marriage?\Dozens of his relatives and extended family have died of illness or unusual causes.\Kuro-kun's the only one living a decent life.\Looks like Kuro-senpai's back. response:	I-If he gets that close, he's going to get killed again!
context: The way she's acting now, I guess not.\Is it so strange to suddenly feel scared at the thought\of becoming family with someone like that?\Am I not allowed to reconsider marriage?\Dozens of his relatives and extended family have died of illness or unusual causes.\Kuro-kun's the only one living a decent life.\Looks like Kuro-senpai's back.\I-If he gets that close, he's going to get killed again! response:	He stopped right before the steel beam could hit him.
context: Is it so strange to suddenly feel scared at the thought\of becoming family with someone like that?\Am I not allowed to reconsider marriage?\Dozens of his relatives and extended family have died of illness or unusual causes.\Kuro-kun's the only one living a decent life.\Looks like Kuro-senpai's back.\I-If he gets that close, he's going to get killed again!\He stopped right before the steel beam could hit him. response:	Kuro-kun and Steel Lady Nanase look like they're following a script.
context: of becoming family with someone like that?\Am I not allowed to reconsider marriage?\Dozens of his relatives and extended family have died of illness or unusual causes.\Kuro-kun's the only one living a decent life.\Looks like Kuro-senpai's back.\I-If he gets that close, he's going to get killed again!\He stopped right before the steel beam could hit him.\Kuro-kun and Steel Lady Nanase look like they're following a script. response:	Everything seems calculated.
context: Am I not allowed to reconsider marriage?\Dozens of his relatives and extended family have died of illness or unusual causes.\Kuro-kun's the only one living a decent life.\Looks like Kuro-senpai's back.\I-If he gets that close, he's going to get killed again!\He stopped right before the steel beam could hit him.\Kuro-kun and Steel Lady Nanase look like they're following a script.\Everything seems calculated. response:	I can't believe he grabbed her so easily...
context: Dozens of his relatives and extended family have died of illness or unusual causes.\Kuro-kun's the only one living a decent life.\Looks like Kuro-senpai's back.\I-If he gets that close, he's going to get killed again!\He stopped right before the steel beam could hit him.\Kuro-kun and Steel Lady Nanase look like they're following a script.\Everything seems calculated.\I can't believe he grabbed her so easily... response:	Well, Steel Lady Nanase is mostly just swinging the steel beam without thinking.
context: Kuro-kun's the only one living a decent life.\Looks like Kuro-senpai's back.\I-If he gets that close, he's going to get killed again!\He stopped right before the steel beam could hit him.\Kuro-kun and Steel Lady Nanase look like they're following a script.\Everything seems calculated.\I can't believe he grabbed her so easily...\Well, Steel Lady Nanase is mostly just swinging the steel beam without thinking. response:	The probability of something like this happening is rather high.
context: Looks like Kuro-senpai's back.\I-If he gets that close, he's going to get killed again!\He stopped right before the steel beam could hit him.\Kuro-kun and Steel Lady Nanase look like they're following a script.\Everything seems calculated.\I can't believe he grabbed her so easily...\Well, Steel Lady Nanase is mostly just swinging the steel beam without thinking.\The probability of something like this happening is rather high. response:	And if it's likely to happen,
context: I-If he gets that close, he's going to get killed again!\He stopped right before the steel beam could hit him.\Kuro-kun and Steel Lady Nanase look like they're following a script.\Everything seems calculated.\I can't believe he grabbed her so easily...\Well, Steel Lady Nanase is mostly just swinging the steel beam without thinking.\The probability of something like this happening is rather high.\And if it's likely to happen, response:	it's not hard for Kuro-senpai to set that future in stone.
context: He stopped right before the steel beam could hit him.\Kuro-kun and Steel Lady Nanase look like they're following a script.\Everything seems calculated.\I can't believe he grabbed her so easily...\Well, Steel Lady Nanase is mostly just swinging the steel beam without thinking.\The probability of something like this happening is rather high.\And if it's likely to happen,\it's not hard for Kuro-senpai to set that future in stone. response:	That's another one of Kuro-senpai's abilities.
context: Kuro-kun and Steel Lady Nanase look like they're following a script.\Everything seems calculated.\I can't believe he grabbed her so easily...\Well, Steel Lady Nanase is mostly just swinging the steel beam without thinking.\The probability of something like this happening is rather high.\And if it's likely to happen,\it's not hard for Kuro-senpai to set that future in stone.\That's another one of Kuro-senpai's abilities. response:	The powers of the prophet beast,
context: Everything seems calculated.\I can't believe he grabbed her so easily...\Well, Steel Lady Nanase is mostly just swinging the steel beam without thinking.\The probability of something like this happening is rather high.\And if it's likely to happen,\it's not hard for Kuro-senpai to set that future in stone.\That's another one of Kuro-senpai's abilities.\The powers of the prophet beast, response:	the kudan, whose flesh he ate along with the mermaid's.
context: I can't believe he grabbed her so easily...\Well, Steel Lady Nanase is mostly just swinging the steel beam without thinking.\The probability of something like this happening is rather high.\And if it's likely to happen,\it's not hard for Kuro-senpai to set that future in stone.\That's another one of Kuro-senpai's abilities.\The powers of the prophet beast,\the kudan, whose flesh he ate along with the mermaid's. response:	The ability to determine the future.
context: Well, Steel Lady Nanase is mostly just swinging the steel beam without thinking.\The probability of something like this happening is rather high.\And if it's likely to happen,\it's not hard for Kuro-senpai to set that future in stone.\That's another one of Kuro-senpai's abilities.\The powers of the prophet beast,\the kudan, whose flesh he ate along with the mermaid's.\The ability to determine the future. response:	He said that he hadn't told Saki-san everything
context: The probability of something like this happening is rather high.\And if it's likely to happen,\it's not hard for Kuro-senpai to set that future in stone.\That's another one of Kuro-senpai's abilities.\The powers of the prophet beast,\the kudan, whose flesh he ate along with the mermaid's.\The ability to determine the future.\He said that he hadn't told Saki-san everything response:	about the secrets of the Sakuragawa family.
context: And if it's likely to happen,\it's not hard for Kuro-senpai to set that future in stone.\That's another one of Kuro-senpai's abilities.\The powers of the prophet beast,\the kudan, whose flesh he ate along with the mermaid's.\The ability to determine the future.\He said that he hadn't told Saki-san everything\about the secrets of the Sakuragawa family. response:	It all started ten odd generations before Kuro-senpai, with the head of
context: it's not hard for Kuro-senpai to set that future in stone.\That's another one of Kuro-senpai's abilities.\The powers of the prophet beast,\the kudan, whose flesh he ate along with the mermaid's.\The ability to determine the future.\He said that he hadn't told Saki-san everything\about the secrets of the Sakuragawa family.\It all started ten odd generations before Kuro-senpai, with the head of response:	the Sakuragawa family at that time.
context: That's another one of Kuro-senpai's abilities.\The powers of the prophet beast,\the kudan, whose flesh he ate along with the mermaid's.\The ability to determine the future.\He said that he hadn't told Saki-san everything\about the secrets of the Sakuragawa family.\It all started ten odd generations before Kuro-senpai, with the head of\the Sakuragawa family at that time. response:	If your liver is bad, eat the liver of a creature with a strong one.
context: The powers of the prophet beast,\the kudan, whose flesh he ate along with the mermaid's.\The ability to determine the future.\He said that he hadn't told Saki-san everything\about the secrets of the Sakuragawa family.\It all started ten odd generations before Kuro-senpai, with the head of\the Sakuragawa family at that time.\If your liver is bad, eat the liver of a creature with a strong one. response:	If your eyes are bad, eat the eyes of a creature with good vision.
context: the kudan, whose flesh he ate along with the mermaid's.\The ability to determine the future.\He said that he hadn't told Saki-san everything\about the secrets of the Sakuragawa family.\It all started ten odd generations before Kuro-senpai, with the head of\the Sakuragawa family at that time.\If your liver is bad, eat the liver of a creature with a strong one.\If your eyes are bad, eat the eyes of a creature with good vision. response:	Then, perhaps, if you ate the flesh of a kudan,
context: The ability to determine the future.\He said that he hadn't told Saki-san everything\about the secrets of the Sakuragawa family.\It all started ten odd generations before Kuro-senpai, with the head of\the Sakuragawa family at that time.\If your liver is bad, eat the liver of a creature with a strong one.\If your eyes are bad, eat the eyes of a creature with good vision.\Then, perhaps, if you ate the flesh of a kudan, response:	you could acquire its prophetic powers!
context: He said that he hadn't told Saki-san everything\about the secrets of the Sakuragawa family.\It all started ten odd generations before Kuro-senpai, with the head of\the Sakuragawa family at that time.\If your liver is bad, eat the liver of a creature with a strong one.\If your eyes are bad, eat the eyes of a creature with good vision.\Then, perhaps, if you ate the flesh of a kudan,\you could acquire its prophetic powers! response:	If I could freely see into the future,
context: about the secrets of the Sakuragawa family.\It all started ten odd generations before Kuro-senpai, with the head of\the Sakuragawa family at that time.\If your liver is bad, eat the liver of a creature with a strong one.\If your eyes are bad, eat the eyes of a creature with good vision.\Then, perhaps, if you ate the flesh of a kudan,\you could acquire its prophetic powers!\If I could freely see into the future, response:	I could gain an unfathomable amount of wealth and knowledge!
context: It all started ten odd generations before Kuro-senpai, with the head of\the Sakuragawa family at that time.\If your liver is bad, eat the liver of a creature with a strong one.\If your eyes are bad, eat the eyes of a creature with good vision.\Then, perhaps, if you ate the flesh of a kudan,\you could acquire its prophetic powers!\If I could freely see into the future,\I could gain an unfathomable amount of wealth and knowledge! response:	Kudan
context: the Sakuragawa family at that time.\If your liver is bad, eat the liver of a creature with a strong one.\If your eyes are bad, eat the eyes of a creature with good vision.\Then, perhaps, if you ate the flesh of a kudan,\you could acquire its prophetic powers!\If I could freely see into the future,\I could gain an unfathomable amount of wealth and knowledge!\Kudan response:	The kudan.
context: If your liver is bad, eat the liver of a creature with a strong one.\If your eyes are bad, eat the eyes of a creature with good vision.\Then, perhaps, if you ate the flesh of a kudan,\you could acquire its prophetic powers!\If I could freely see into the future,\I could gain an unfathomable amount of wealth and knowledge!\Kudan\The kudan. response:	A yokai with the head of a human and the body of a cow.
context: If your eyes are bad, eat the eyes of a creature with good vision.\Then, perhaps, if you ate the flesh of a kudan,\you could acquire its prophetic powers!\If I could freely see into the future,\I could gain an unfathomable amount of wealth and knowledge!\Kudan\The kudan.\A yokai with the head of a human and the body of a cow. response:	It can speak human language, and once it predicts the future, it dies.
context: Then, perhaps, if you ate the flesh of a kudan,\you could acquire its prophetic powers!\If I could freely see into the future,\I could gain an unfathomable amount of wealth and knowledge!\Kudan\The kudan.\A yokai with the head of a human and the body of a cow.\It can speak human language, and once it predicts the future, it dies. response:	On occasion, it would predict good futures,
context: you could acquire its prophetic powers!\If I could freely see into the future,\I could gain an unfathomable amount of wealth and knowledge!\Kudan\The kudan.\A yokai with the head of a human and the body of a cow.\It can speak human language, and once it predicts the future, it dies.\On occasion, it would predict good futures, response:	such as a good harvest or prosperity for a family,
context: If I could freely see into the future,\I could gain an unfathomable amount of wealth and knowledge!\Kudan\The kudan.\A yokai with the head of a human and the body of a cow.\It can speak human language, and once it predicts the future, it dies.\On occasion, it would predict good futures,\such as a good harvest or prosperity for a family, response:	but most of its predictions would be misfortunes, and they were 100 accurate.
context: I could gain an unfathomable amount of wealth and knowledge!\Kudan\The kudan.\A yokai with the head of a human and the body of a cow.\It can speak human language, and once it predicts the future, it dies.\On occasion, it would predict good futures,\such as a good harvest or prosperity for a family,\but most of its predictions would be misfortunes, and they were 100 accurate. response:	He got his hands on kudan meat and had several in his household eat it.
context: Kudan\The kudan.\A yokai with the head of a human and the body of a cow.\It can speak human language, and once it predicts the future, it dies.\On occasion, it would predict good futures,\such as a good harvest or prosperity for a family,\but most of its predictions would be misfortunes, and they were 100 accurate.\He got his hands on kudan meat and had several in his household eat it. response:	Some died instantly after having a bad reaction to the meat.
context: The kudan.\A yokai with the head of a human and the body of a cow.\It can speak human language, and once it predicts the future, it dies.\On occasion, it would predict good futures,\such as a good harvest or prosperity for a family,\but most of its predictions would be misfortunes, and they were 100 accurate.\He got his hands on kudan meat and had several in his household eat it.\Some died instantly after having a bad reaction to the meat. response:	Some died after being bedridden for a month.
context: A yokai with the head of a human and the body of a cow.\It can speak human language, and once it predicts the future, it dies.\On occasion, it would predict good futures,\such as a good harvest or prosperity for a family,\but most of its predictions would be misfortunes, and they were 100 accurate.\He got his hands on kudan meat and had several in his household eat it.\Some died instantly after having a bad reaction to the meat.\Some died after being bedridden for a month. response:	And others died after they predicted the future.
context: It can speak human language, and once it predicts the future, it dies.\On occasion, it would predict good futures,\such as a good harvest or prosperity for a family,\but most of its predictions would be misfortunes, and they were 100 accurate.\He got his hands on kudan meat and had several in his household eat it.\Some died instantly after having a bad reaction to the meat.\Some died after being bedridden for a month.\And others died after they predicted the future. response:	They say those predictions turned out to be accurate.
context: On occasion, it would predict good futures,\such as a good harvest or prosperity for a family,\but most of its predictions would be misfortunes, and they were 100 accurate.\He got his hands on kudan meat and had several in his household eat it.\Some died instantly after having a bad reaction to the meat.\Some died after being bedridden for a month.\And others died after they predicted the future.\They say those predictions turned out to be accurate. response:	The head of the household continued this over and over.
context: such as a good harvest or prosperity for a family,\but most of its predictions would be misfortunes, and they were 100 accurate.\He got his hands on kudan meat and had several in his household eat it.\Some died instantly after having a bad reaction to the meat.\Some died after being bedridden for a month.\And others died after they predicted the future.\They say those predictions turned out to be accurate.\The head of the household continued this over and over. response:	But even those who obtained the ability to see the future died immediately...
context: but most of its predictions would be misfortunes, and they were 100 accurate.\He got his hands on kudan meat and had several in his household eat it.\Some died instantly after having a bad reaction to the meat.\Some died after being bedridden for a month.\And others died after they predicted the future.\They say those predictions turned out to be accurate.\The head of the household continued this over and over.\But even those who obtained the ability to see the future died immediately... response:	Just like the kudan.
context: He got his hands on kudan meat and had several in his household eat it.\Some died instantly after having a bad reaction to the meat.\Some died after being bedridden for a month.\And others died after they predicted the future.\They say those predictions turned out to be accurate.\The head of the household continued this over and over.\But even those who obtained the ability to see the future died immediately...\Just like the kudan. response:	I'm so close... I'm so close, and now...
context: Some died instantly after having a bad reaction to the meat.\Some died after being bedridden for a month.\And others died after they predicted the future.\They say those predictions turned out to be accurate.\The head of the household continued this over and over.\But even those who obtained the ability to see the future died immediately...\Just like the kudan.\I'm so close... I'm so close, and now... response:	Damn it!
context: Some died after being bedridden for a month.\And others died after they predicted the future.\They say those predictions turned out to be accurate.\The head of the household continued this over and over.\But even those who obtained the ability to see the future died immediately...\Just like the kudan.\I'm so close... I'm so close, and now...\Damn it! response:	And then he realized...
context: And others died after they predicted the future.\They say those predictions turned out to be accurate.\The head of the household continued this over and over.\But even those who obtained the ability to see the future died immediately...\Just like the kudan.\I'm so close... I'm so close, and now...\Damn it!\And then he realized... response:	Mermaid
context: They say those predictions turned out to be accurate.\The head of the household continued this over and over.\But even those who obtained the ability to see the future died immediately...\Just like the kudan.\I'm so close... I'm so close, and now...\Damn it!\And then he realized...\Mermaid response:	Those with the ability to predict
context: The head of the household continued this over and over.\But even those who obtained the ability to see the future died immediately...\Just like the kudan.\I'm so close... I'm so close, and now...\Damn it!\And then he realized...\Mermaid\Those with the ability to predict response:	the future just needed to have immortal bodies.
context: But even those who obtained the ability to see the future died immediately...\Just like the kudan.\I'm so close... I'm so close, and now...\Damn it!\And then he realized...\Mermaid\Those with the ability to predict\the future just needed to have immortal bodies. response:	So then he started having people consume
context: Just like the kudan.\I'm so close... I'm so close, and now...\Damn it!\And then he realized...\Mermaid\Those with the ability to predict\the future just needed to have immortal bodies.\So then he started having people consume response:	mermaid flesh along with the kudan meat.
context: I'm so close... I'm so close, and now...\Damn it!\And then he realized...\Mermaid\Those with the ability to predict\the future just needed to have immortal bodies.\So then he started having people consume\mermaid flesh along with the kudan meat. response:	But the number of victims skyrocketed,
context: Damn it!\And then he realized...\Mermaid\Those with the ability to predict\the future just needed to have immortal bodies.\So then he started having people consume\mermaid flesh along with the kudan meat.\But the number of victims skyrocketed, response:	and the experiment never worked.
context: And then he realized...\Mermaid\Those with the ability to predict\the future just needed to have immortal bodies.\So then he started having people consume\mermaid flesh along with the kudan meat.\But the number of victims skyrocketed,\and the experiment never worked. response:	Time passed, and such nightmarish experiments were forgotten.
context: Mermaid\Those with the ability to predict\the future just needed to have immortal bodies.\So then he started having people consume\mermaid flesh along with the kudan meat.\But the number of victims skyrocketed,\and the experiment never worked.\Time passed, and such nightmarish experiments were forgotten. response:	But...
context: Those with the ability to predict\the future just needed to have immortal bodies.\So then he started having people consume\mermaid flesh along with the kudan meat.\But the number of victims skyrocketed,\and the experiment never worked.\Time passed, and such nightmarish experiments were forgotten.\But... response:	Kuro.
context: the future just needed to have immortal bodies.\So then he started having people consume\mermaid flesh along with the kudan meat.\But the number of victims skyrocketed,\and the experiment never worked.\Time passed, and such nightmarish experiments were forgotten.\But...\Kuro. response:	Grandmother.
context: So then he started having people consume\mermaid flesh along with the kudan meat.\But the number of victims skyrocketed,\and the experiment never worked.\Time passed, and such nightmarish experiments were forgotten.\But...\Kuro.\Grandmother. response:	Dinner is ready.
context: mermaid flesh along with the kudan meat.\But the number of victims skyrocketed,\and the experiment never worked.\Time passed, and such nightmarish experiments were forgotten.\But...\Kuro.\Grandmother.\Dinner is ready. response:	Okay.
context: But the number of victims skyrocketed,\and the experiment never worked.\Time passed, and such nightmarish experiments were forgotten.\But...\Kuro.\Grandmother.\Dinner is ready.\Okay. response:	Let's eat.
context: and the experiment never worked.\Time passed, and such nightmarish experiments were forgotten.\But...\Kuro.\Grandmother.\Dinner is ready.\Okay.\Let's eat. response:	Nii-san?
