context: Fly response:	A tall, tall wall looms in front of me.
context: Chance ball!\Got it!\It's coming again.\It's funny how you keep falling for that.\What'd you say?!\Now, now...\Nice serve!\I just can't get it. response:	Which will it be this time?
context: Got it!\It's coming again.\It's funny how you keep falling for that.\What'd you say?!\Now, now...\Nice serve!\I just can't get it.\Which will it be this time? response:	Gah!
context: It's coming again.\It's funny how you keep falling for that.\What'd you say?!\Now, now...\Nice serve!\I just can't get it.\Which will it be this time?\Gah! response:	Was that Rolling Thunder?!
context: It's funny how you keep falling for that.\What'd you say?!\Now, now...\Nice serve!\I just can't get it.\Which will it be this time?\Gah!\Was that Rolling Thunder?! response:	Yeah!
context: What'd you say?!\Now, now...\Nice serve!\I just can't get it.\Which will it be this time?\Gah!\Was that Rolling Thunder?!\Yeah! response:	Rolling... Thunder!
context: Now, now...\Nice serve!\I just can't get it.\Which will it be this time?\Gah!\Was that Rolling Thunder?!\Yeah!\Rolling... Thunder! response:	Sorry! I was completely open!
context: Nice serve!\I just can't get it.\Which will it be this time?\Gah!\Was that Rolling Thunder?!\Yeah!\Rolling... Thunder!\Sorry! I was completely open! response:	Rolling Thunder's so cool!
context: I just can't get it.\Which will it be this time?\Gah!\Was that Rolling Thunder?!\Yeah!\Rolling... Thunder!\Sorry! I was completely open!\Rolling Thunder's so cool! response:	So annoying...
context: Which will it be this time?\Gah!\Was that Rolling Thunder?!\Yeah!\Rolling... Thunder!\Sorry! I was completely open!\Rolling Thunder's so cool!\So annoying... response:	All right! Let's change things up!
context: Gah!\Was that Rolling Thunder?!\Yeah!\Rolling... Thunder!\Sorry! I was completely open!\Rolling Thunder's so cool!\So annoying...\All right! Let's change things up! response:	Yeah!
context: Was that Rolling Thunder?!\Yeah!\Rolling... Thunder!\Sorry! I was completely open!\Rolling Thunder's so cool!\So annoying...\All right! Let's change things up!\Yeah! response:	Nice serve, Yamaguchi!
context: Yeah!\Rolling... Thunder!\Sorry! I was completely open!\Rolling Thunder's so cool!\So annoying...\All right! Let's change things up!\Yeah!\Nice serve, Yamaguchi! response:	Hinata!
context: Rolling... Thunder!\Sorry! I was completely open!\Rolling Thunder's so cool!\So annoying...\All right! Let's change things up!\Yeah!\Nice serve, Yamaguchi!\Hinata! response:	We're gonna stop it!
context: Sorry! I was completely open!\Rolling Thunder's so cool!\So annoying...\All right! Let's change things up!\Yeah!\Nice serve, Yamaguchi!\Hinata!\We're gonna stop it! response:	Nice cover!
context: Rolling Thunder's so cool!\So annoying...\All right! Let's change things up!\Yeah!\Nice serve, Yamaguchi!\Hinata!\We're gonna stop it!\Nice cover! response:	Red White
context: So annoying...\All right! Let's change things up!\Yeah!\Nice serve, Yamaguchi!\Hinata!\We're gonna stop it!\Nice cover!\Red White response:	All right!
context: All right! Let's change things up!\Yeah!\Nice serve, Yamaguchi!\Hinata!\We're gonna stop it!\Nice cover!\Red White\All right! response:	All right. That's enough for today.
context: Yeah!\Nice serve, Yamaguchi!\Hinata!\We're gonna stop it!\Nice cover!\Red White\All right!\All right. That's enough for today. response:	Let us play one more set, please!
context: Nice serve, Yamaguchi!\Hinata!\We're gonna stop it!\Nice cover!\Red White\All right!\All right. That's enough for today.\Let us play one more set, please! response:	Huh?
context: Hinata!\We're gonna stop it!\Nice cover!\Red White\All right!\All right. That's enough for today.\Let us play one more set, please!\Huh? response:	Please!
context: We're gonna stop it!\Nice cover!\Red White\All right!\All right. That's enough for today.\Let us play one more set, please!\Huh?\Please! response:	Guys, playing until you drop isn't the answer.
context: Nice cover!\Red White\All right!\All right. That's enough for today.\Let us play one more set, please!\Huh?\Please!\Guys, playing until you drop isn't the answer. response:	Captain, you need to tell these guys
context: Red White\All right!\All right. That's enough for today.\Let us play one more set, please!\Huh?\Please!\Guys, playing until you drop isn't the answer.\Captain, you need to tell these guys response:	You guys...
context: All right!\All right. That's enough for today.\Let us play one more set, please!\Huh?\Please!\Guys, playing until you drop isn't the answer.\Captain, you need to tell these guys\You guys... response:	Miyazaki Prefecture Karasuno High School
context: All right. That's enough for today.\Let us play one more set, please!\Huh?\Please!\Guys, playing until you drop isn't the answer.\Captain, you need to tell these guys\You guys...\Miyazaki Prefecture Karasuno High School response:	Red White
context: Let us play one more set, please!\Huh?\Please!\Guys, playing until you drop isn't the answer.\Captain, you need to tell these guys\You guys...\Miyazaki Prefecture Karasuno High School\Red White response:	I haven't practiced hitting enough... Not yet.
context: Huh?\Please!\Guys, playing until you drop isn't the answer.\Captain, you need to tell these guys\You guys...\Miyazaki Prefecture Karasuno High School\Red White\I haven't practiced hitting enough... Not yet. response:	Kageyama! You can still go, right?
context: Please!\Guys, playing until you drop isn't the answer.\Captain, you need to tell these guys\You guys...\Miyazaki Prefecture Karasuno High School\Red White\I haven't practiced hitting enough... Not yet.\Kageyama! You can still go, right? response:	Give me some tosses!
context: Guys, playing until you drop isn't the answer.\Captain, you need to tell these guys\You guys...\Miyazaki Prefecture Karasuno High School\Red White\I haven't practiced hitting enough... Not yet.\Kageyama! You can still go, right?\Give me some tosses! response:	Right.
context: Captain, you need to tell these guys\You guys...\Miyazaki Prefecture Karasuno High School\Red White\I haven't practiced hitting enough... Not yet.\Kageyama! You can still go, right?\Give me some tosses!\Right. response:	You guys are still gonna practice?
context: You guys...\Miyazaki Prefecture Karasuno High School\Red White\I haven't practiced hitting enough... Not yet.\Kageyama! You can still go, right?\Give me some tosses!\Right.\You guys are still gonna practice? response:	Hey! We've still got to clean up,
context: Miyazaki Prefecture Karasuno High School\Red White\I haven't practiced hitting enough... Not yet.\Kageyama! You can still go, right?\Give me some tosses!\Right.\You guys are still gonna practice?\Hey! We've still got to clean up, response:	They're all definitely realizing their own potential,
context: Red White\I haven't practiced hitting enough... Not yet.\Kageyama! You can still go, right?\Give me some tosses!\Right.\You guys are still gonna practice?\Hey! We've still got to clean up,\They're all definitely realizing their own potential, response:	so that's enough for today!
context: I haven't practiced hitting enough... Not yet.\Kageyama! You can still go, right?\Give me some tosses!\Right.\You guys are still gonna practice?\Hey! We've still got to clean up,\They're all definitely realizing their own potential,\so that's enough for today! response:	but what our team lacks is experience.
context: Kageyama! You can still go, right?\Give me some tosses!\Right.\You guys are still gonna practice?\Hey! We've still got to clean up,\They're all definitely realizing their own potential,\so that's enough for today!\but what our team lacks is experience. response:	Right...
context: Give me some tosses!\Right.\You guys are still gonna practice?\Hey! We've still got to clean up,\They're all definitely realizing their own potential,\so that's enough for today!\but what our team lacks is experience.\Right... response:	Ow, ow! Hey, Nishinoya!
context: Right.\You guys are still gonna practice?\Hey! We've still got to clean up,\They're all definitely realizing their own potential,\so that's enough for today!\but what our team lacks is experience.\Right...\Ow, ow! Hey, Nishinoya! response:	Hey, make sure you cool down properly.
context: You guys are still gonna practice?\Hey! We've still got to clean up,\They're all definitely realizing their own potential,\so that's enough for today!\but what our team lacks is experience.\Right...\Ow, ow! Hey, Nishinoya!\Hey, make sure you cool down properly. response:	They definitely haven't had enough practice matches with other teams.
context: Hey! We've still got to clean up,\They're all definitely realizing their own potential,\so that's enough for today!\but what our team lacks is experience.\Right...\Ow, ow! Hey, Nishinoya!\Hey, make sure you cool down properly.\They definitely haven't had enough practice matches with other teams. response:	Ow!
context: They're all definitely realizing their own potential,\so that's enough for today!\but what our team lacks is experience.\Right...\Ow, ow! Hey, Nishinoya!\Hey, make sure you cool down properly.\They definitely haven't had enough practice matches with other teams.\Ow! response:	I can't count on the neighborhood association being able to show up.
context: so that's enough for today!\but what our team lacks is experience.\Right...\Ow, ow! Hey, Nishinoya!\Hey, make sure you cool down properly.\They definitely haven't had enough practice matches with other teams.\Ow!\I can't count on the neighborhood association being able to show up. response:	What should I do?
context: but what our team lacks is experience.\Right...\Ow, ow! Hey, Nishinoya!\Hey, make sure you cool down properly.\They definitely haven't had enough practice matches with other teams.\Ow!\I can't count on the neighborhood association being able to show up.\What should I do? response:	Sensei?
context: Right...\Ow, ow! Hey, Nishinoya!\Hey, make sure you cool down properly.\They definitely haven't had enough practice matches with other teams.\Ow!\I can't count on the neighborhood association being able to show up.\What should I do?\Sensei? response:	Take-chan?
context: Ow, ow! Hey, Nishinoya!\Hey, make sure you cool down properly.\They definitely haven't had enough practice matches with other teams.\Ow!\I can't count on the neighborhood association being able to show up.\What should I do?\Sensei?\Take-chan? response:	You okay?
context: Hey, make sure you cool down properly.\They definitely haven't had enough practice matches with other teams.\Ow!\I can't count on the neighborhood association being able to show up.\What should I do?\Sensei?\Take-chan?\You okay? response:	W-We're going, right?
context: They definitely haven't had enough practice matches with other teams.\Ow!\I can't count on the neighborhood association being able to show up.\What should I do?\Sensei?\Take-chan?\You okay?\W-We're going, right? response:	Where?
context: Ow!\I can't count on the neighborhood association being able to show up.\What should I do?\Sensei?\Take-chan?\You okay?\W-We're going, right?\Where? response:	Your nose is bleeding!
context: I can't count on the neighborhood association being able to show up.\What should I do?\Sensei?\Take-chan?\You okay?\W-We're going, right?\Where?\Your nose is bleeding! response:	Tokyo!
context: What should I do?\Sensei?\Take-chan?\You okay?\W-We're going, right?\Where?\Your nose is bleeding!\Tokyo! response:	Tokyo?
context: Sensei?\Take-chan?\You okay?\W-We're going, right?\Where?\Your nose is bleeding!\Tokyo!\Tokyo? response:	Tokyo?
context: Take-chan?\You okay?\W-We're going, right?\Where?\Your nose is bleeding!\Tokyo!\Tokyo?\Tokyo? response:	You mean...
context: You okay?\W-We're going, right?\Where?\Your nose is bleeding!\Tokyo!\Tokyo?\Tokyo?\You mean... response:	Volleyball Team (Boys)
context: W-We're going, right?\Where?\Your nose is bleeding!\Tokyo!\Tokyo?\Tokyo?\You mean...\Volleyball Team (Boys) response:	Nekoma?!
context: Where?\Your nose is bleeding!\Tokyo!\Tokyo?\Tokyo?\You mean...\Volleyball Team (Boys)\Nekoma?! response:	Gross!
context: Your nose is bleeding!\Tokyo!\Tokyo?\Tokyo?\You mean...\Volleyball Team (Boys)\Nekoma?!\Gross! response:	Tissue!
context: Tokyo!\Tokyo?\Tokyo?\You mean...\Volleyball Team (Boys)\Nekoma?!\Gross!\Tissue! response:	A practice match?
context: Tokyo?\Tokyo?\You mean...\Volleyball Team (Boys)\Nekoma?!\Gross!\Tissue!\A practice match? response:	Yeah! But it won't just be Nekoma this time.
context: Tokyo?\You mean...\Volleyball Team (Boys)\Nekoma?!\Gross!\Tissue!\A practice match?\Yeah! But it won't just be Nekoma this time. response:	The Fukurodani Academy Group.
context: You mean...\Volleyball Team (Boys)\Nekoma?!\Gross!\Tissue!\A practice match?\Yeah! But it won't just be Nekoma this time.\The Fukurodani Academy Group. response:	It's a group of schools from the Kanto region that includes Nekoma.
context: Volleyball Team (Boys)\Nekoma?!\Gross!\Tissue!\A practice match?\Yeah! But it won't just be Nekoma this time.\The Fukurodani Academy Group.\It's a group of schools from the Kanto region that includes Nekoma. response:	Apparently, they hold practice matches all the time.
context: Nekoma?!\Gross!\Tissue!\A practice match?\Yeah! But it won't just be Nekoma this time.\The Fukurodani Academy Group.\It's a group of schools from the Kanto region that includes Nekoma.\Apparently, they hold practice matches all the time. response:	This time, because of Coach Nekomata,
context: Gross!\Tissue!\A practice match?\Yeah! But it won't just be Nekoma this time.\The Fukurodani Academy Group.\It's a group of schools from the Kanto region that includes Nekoma.\Apparently, they hold practice matches all the time.\This time, because of Coach Nekomata, response:	Karasuno will also be able to participate in their practice matches.
context: Tissue!\A practice match?\Yeah! But it won't just be Nekoma this time.\The Fukurodani Academy Group.\It's a group of schools from the Kanto region that includes Nekoma.\Apparently, they hold practice matches all the time.\This time, because of Coach Nekomata,\Karasuno will also be able to participate in their practice matches. response:	Groups like that are created through relationships built up over years,
context: A practice match?\Yeah! But it won't just be Nekoma this time.\The Fukurodani Academy Group.\It's a group of schools from the Kanto region that includes Nekoma.\Apparently, they hold practice matches all the time.\This time, because of Coach Nekomata,\Karasuno will also be able to participate in their practice matches.\Groups like that are created through relationships built up over years, response:	so it's not easy to get in without connections.
context: Yeah! But it won't just be Nekoma this time.\The Fukurodani Academy Group.\It's a group of schools from the Kanto region that includes Nekoma.\Apparently, they hold practice matches all the time.\This time, because of Coach Nekomata,\Karasuno will also be able to participate in their practice matches.\Groups like that are created through relationships built up over years,\so it's not easy to get in without connections. response:	We've got to make sure to thank Coach Nekomata.
context: The Fukurodani Academy Group.\It's a group of schools from the Kanto region that includes Nekoma.\Apparently, they hold practice matches all the time.\This time, because of Coach Nekomata,\Karasuno will also be able to participate in their practice matches.\Groups like that are created through relationships built up over years,\so it's not easy to get in without connections.\We've got to make sure to thank Coach Nekomata. response:	And Sensei, too, who I'm sure kept persistently asking him.
context: It's a group of schools from the Kanto region that includes Nekoma.\Apparently, they hold practice matches all the time.\This time, because of Coach Nekomata,\Karasuno will also be able to participate in their practice matches.\Groups like that are created through relationships built up over years,\so it's not easy to get in without connections.\We've got to make sure to thank Coach Nekomata.\And Sensei, too, who I'm sure kept persistently asking him. response:	No, I didn't, really...
context: Apparently, they hold practice matches all the time.\This time, because of Coach Nekomata,\Karasuno will also be able to participate in their practice matches.\Groups like that are created through relationships built up over years,\so it's not easy to get in without connections.\We've got to make sure to thank Coach Nekomata.\And Sensei, too, who I'm sure kept persistently asking him.\No, I didn't, really... response:	Your name helped a lot, Coach Ukai.
context: This time, because of Coach Nekomata,\Karasuno will also be able to participate in their practice matches.\Groups like that are created through relationships built up over years,\so it's not easy to get in without connections.\We've got to make sure to thank Coach Nekomata.\And Sensei, too, who I'm sure kept persistently asking him.\No, I didn't, really...\Your name helped a lot, Coach Ukai. response:	Thank you!
context: Karasuno will also be able to participate in their practice matches.\Groups like that are created through relationships built up over years,\so it's not easy to get in without connections.\We've got to make sure to thank Coach Nekomata.\And Sensei, too, who I'm sure kept persistently asking him.\No, I didn't, really...\Your name helped a lot, Coach Ukai.\Thank you! response:	Over the years, we've lost our connections with other schools in the prefecture
context: Groups like that are created through relationships built up over years,\so it's not easy to get in without connections.\We've got to make sure to thank Coach Nekomata.\And Sensei, too, who I'm sure kept persistently asking him.\No, I didn't, really...\Your name helped a lot, Coach Ukai.\Thank you!\Over the years, we've lost our connections with other schools in the prefecture response:	that we were once close with.
context: so it's not easy to get in without connections.\We've got to make sure to thank Coach Nekomata.\And Sensei, too, who I'm sure kept persistently asking him.\No, I didn't, really...\Your name helped a lot, Coach Ukai.\Thank you!\Over the years, we've lost our connections with other schools in the prefecture\that we were once close with. response:	There are many schools where the coaches
context: We've got to make sure to thank Coach Nekomata.\And Sensei, too, who I'm sure kept persistently asking him.\No, I didn't, really...\Your name helped a lot, Coach Ukai.\Thank you!\Over the years, we've lost our connections with other schools in the prefecture\that we were once close with.\There are many schools where the coaches response:	that were once close to the former Coach Ukai are now gone.
context: And Sensei, too, who I'm sure kept persistently asking him.\No, I didn't, really...\Your name helped a lot, Coach Ukai.\Thank you!\Over the years, we've lost our connections with other schools in the prefecture\that we were once close with.\There are many schools where the coaches\that were once close to the former Coach Ukai are now gone. response:	We shouldn't miss this chance!
context: No, I didn't, really...\Your name helped a lot, Coach Ukai.\Thank you!\Over the years, we've lost our connections with other schools in the prefecture\that we were once close with.\There are many schools where the coaches\that were once close to the former Coach Ukai are now gone.\We shouldn't miss this chance! response:	Yeah!
context: Your name helped a lot, Coach Ukai.\Thank you!\Over the years, we've lost our connections with other schools in the prefecture\that we were once close with.\There are many schools where the coaches\that were once close to the former Coach Ukai are now gone.\We shouldn't miss this chance!\Yeah! response:	I'm going to be able to see that set up in person again.
context: Thank you!\Over the years, we've lost our connections with other schools in the prefecture\that we were once close with.\There are many schools where the coaches\that were once close to the former Coach Ukai are now gone.\We shouldn't miss this chance!\Yeah!\I'm going to be able to see that set up in person again. response:	Maybe I caught a cold...
context: Over the years, we've lost our connections with other schools in the prefecture\that we were once close with.\There are many schools where the coaches\that were once close to the former Coach Ukai are now gone.\We shouldn't miss this chance!\Yeah!\I'm going to be able to see that set up in person again.\Maybe I caught a cold... response:	I'm getting chills.
context: that we were once close with.\There are many schools where the coaches\that were once close to the former Coach Ukai are now gone.\We shouldn't miss this chance!\Yeah!\I'm going to be able to see that set up in person again.\Maybe I caught a cold...\I'm getting chills. response:	Hey! We're right before a match!
context: There are many schools where the coaches\that were once close to the former Coach Ukai are now gone.\We shouldn't miss this chance!\Yeah!\I'm going to be able to see that set up in person again.\Maybe I caught a cold...\I'm getting chills.\Hey! We're right before a match! response:	This time, I'm going to protect us'til we win!
context: that were once close to the former Coach Ukai are now gone.\We shouldn't miss this chance!\Yeah!\I'm going to be able to see that set up in person again.\Maybe I caught a cold...\I'm getting chills.\Hey! We're right before a match!\This time, I'm going to protect us'til we win! response:	Yeah... It might actually be a little cold today.
context: We shouldn't miss this chance!\Yeah!\I'm going to be able to see that set up in person again.\Maybe I caught a cold...\I'm getting chills.\Hey! We're right before a match!\This time, I'm going to protect us'til we win!\Yeah... It might actually be a little cold today. response:	You, too, Yaku-san?!
context: Yeah!\I'm going to be able to see that set up in person again.\Maybe I caught a cold...\I'm getting chills.\Hey! We're right before a match!\This time, I'm going to protect us'til we win!\Yeah... It might actually be a little cold today.\You, too, Yaku-san?! response:	We're gonna take down that City Boy Alliance!
context: I'm going to be able to see that set up in person again.\Maybe I caught a cold...\I'm getting chills.\Hey! We're right before a match!\This time, I'm going to protect us'til we win!\Yeah... It might actually be a little cold today.\You, too, Yaku-san?!\We're gonna take down that City Boy Alliance! response:	City Boy...
context: Maybe I caught a cold...\I'm getting chills.\Hey! We're right before a match!\This time, I'm going to protect us'til we win!\Yeah... It might actually be a little cold today.\You, too, Yaku-san?!\We're gonna take down that City Boy Alliance!\City Boy... response:	I'm feeling hot! I'm burning up!
context: I'm getting chills.\Hey! We're right before a match!\This time, I'm going to protect us'til we win!\Yeah... It might actually be a little cold today.\You, too, Yaku-san?!\We're gonna take down that City Boy Alliance!\City Boy...\I'm feeling hot! I'm burning up! response:	Yamamoto, shut up.
context: Hey! We're right before a match!\This time, I'm going to protect us'til we win!\Yeah... It might actually be a little cold today.\You, too, Yaku-san?!\We're gonna take down that City Boy Alliance!\City Boy...\I'm feeling hot! I'm burning up!\Yamamoto, shut up. response:	This time, I'm going to break through for sure!
context: This time, I'm going to protect us'til we win!\Yeah... It might actually be a little cold today.\You, too, Yaku-san?!\We're gonna take down that City Boy Alliance!\City Boy...\I'm feeling hot! I'm burning up!\Yamamoto, shut up.\This time, I'm going to break through for sure! response:	Um, the only thing is,
context: Yeah... It might actually be a little cold today.\You, too, Yaku-san?!\We're gonna take down that City Boy Alliance!\City Boy...\I'm feeling hot! I'm burning up!\Yamamoto, shut up.\This time, I'm going to break through for sure!\Um, the only thing is, response:	their prelims for the Inter-High start this weekend,
context: You, too, Yaku-san?!\We're gonna take down that City Boy Alliance!\City Boy...\I'm feeling hot! I'm burning up!\Yamamoto, shut up.\This time, I'm going to break through for sure!\Um, the only thing is,\their prelims for the Inter-High start this weekend, response:	so it won't be right away.
context: We're gonna take down that City Boy Alliance!\City Boy...\I'm feeling hot! I'm burning up!\Yamamoto, shut up.\This time, I'm going to break through for sure!\Um, the only thing is,\their prelims for the Inter-High start this weekend,\so it won't be right away. response:	Also, at this point, we've only received the invitation.
context: City Boy...\I'm feeling hot! I'm burning up!\Yamamoto, shut up.\This time, I'm going to break through for sure!\Um, the only thing is,\their prelims for the Inter-High start this weekend,\so it won't be right away.\Also, at this point, we've only received the invitation. response:	There are some agreements we have to work out,
context: I'm feeling hot! I'm burning up!\Yamamoto, shut up.\This time, I'm going to break through for sure!\Um, the only thing is,\their prelims for the Inter-High start this weekend,\so it won't be right away.\Also, at this point, we've only received the invitation.\There are some agreements we have to work out, response:	but I'll tell you all about the details another time.
context: Yamamoto, shut up.\This time, I'm going to break through for sure!\Um, the only thing is,\their prelims for the Inter-High start this weekend,\so it won't be right away.\Also, at this point, we've only received the invitation.\There are some agreements we have to work out,\but I'll tell you all about the details another time. response:	But it seems that all of you are...
context: This time, I'm going to break through for sure!\Um, the only thing is,\their prelims for the Inter-High start this weekend,\so it won't be right away.\Also, at this point, we've only received the invitation.\There are some agreements we have to work out,\but I'll tell you all about the details another time.\But it seems that all of you are... response:	Of course!
context: Um, the only thing is,\their prelims for the Inter-High start this weekend,\so it won't be right away.\Also, at this point, we've only received the invitation.\There are some agreements we have to work out,\but I'll tell you all about the details another time.\But it seems that all of you are...\Of course! response:	We'll go!
context: their prelims for the Inter-High start this weekend,\so it won't be right away.\Also, at this point, we've only received the invitation.\There are some agreements we have to work out,\but I'll tell you all about the details another time.\But it seems that all of you are...\Of course!\We'll go! response:	I've got a staff meeting, so I've got to get going.
context: so it won't be right away.\Also, at this point, we've only received the invitation.\There are some agreements we have to work out,\but I'll tell you all about the details another time.\But it seems that all of you are...\Of course!\We'll go!\I've got a staff meeting, so I've got to get going. response:	Ukai-kun, I'll leave the rest to you.
context: Also, at this point, we've only received the invitation.\There are some agreements we have to work out,\but I'll tell you all about the details another time.\But it seems that all of you are...\Of course!\We'll go!\I've got a staff meeting, so I've got to get going.\Ukai-kun, I'll leave the rest to you. response:	Sure.
context: There are some agreements we have to work out,\but I'll tell you all about the details another time.\But it seems that all of you are...\Of course!\We'll go!\I've got a staff meeting, so I've got to get going.\Ukai-kun, I'll leave the rest to you.\Sure. response:	Thank you!
context: but I'll tell you all about the details another time.\But it seems that all of you are...\Of course!\We'll go!\I've got a staff meeting, so I've got to get going.\Ukai-kun, I'll leave the rest to you.\Sure.\Thank you! response:	It's going to get busy.
context: But it seems that all of you are...\Of course!\We'll go!\I've got a staff meeting, so I've got to get going.\Ukai-kun, I'll leave the rest to you.\Sure.\Thank you!\It's going to get busy. response:	Yeah.
context: Of course!\We'll go!\I've got a staff meeting, so I've got to get going.\Ukai-kun, I'll leave the rest to you.\Sure.\Thank you!\It's going to get busy.\Yeah. response:	You'll be busy, too, Shimizu.
context: We'll go!\I've got a staff meeting, so I've got to get going.\Ukai-kun, I'll leave the rest to you.\Sure.\Thank you!\It's going to get busy.\Yeah.\You'll be busy, too, Shimizu. response:	This'll be your first long trip with us.
context: I've got a staff meeting, so I've got to get going.\Ukai-kun, I'll leave the rest to you.\Sure.\Thank you!\It's going to get busy.\Yeah.\You'll be busy, too, Shimizu.\This'll be your first long trip with us. response:	I'll do my best, too.
context: Ukai-kun, I'll leave the rest to you.\Sure.\Thank you!\It's going to get busy.\Yeah.\You'll be busy, too, Shimizu.\This'll be your first long trip with us.\I'll do my best, too. response:	Come on! Hurry and clean up, then go home!
context: Sure.\Thank you!\It's going to get busy.\Yeah.\You'll be busy, too, Shimizu.\This'll be your first long trip with us.\I'll do my best, too.\Come on! Hurry and clean up, then go home! response:	Right!
context: Thank you!\It's going to get busy.\Yeah.\You'll be busy, too, Shimizu.\This'll be your first long trip with us.\I'll do my best, too.\Come on! Hurry and clean up, then go home!\Right! response:	Thanks for the food!
