context: Soldier response:	Stand back, rookies.
context: Finding the answer to that... is our job for tomorrow.\But what if-? Maybe it's not nearly as bad as we thought from the start.\I'm just saying, but...\Yeah... There's barely any Titans around here.\If the wall was really broken, that is.\The only group we've really seen was during the initial sighting.\Conny? What about your village?\It was destroyed. response:	Crushed to sticks and rubble by Titans.
context: But what if-? Maybe it's not nearly as bad as we thought from the start.\I'm just saying, but...\Yeah... There's barely any Titans around here.\If the wall was really broken, that is.\The only group we've really seen was during the initial sighting.\Conny? What about your village?\It was destroyed.\Crushed to sticks and rubble by Titans. response:	I see... How awful...
context: I'm just saying, but...\Yeah... There's barely any Titans around here.\If the wall was really broken, that is.\The only group we've really seen was during the initial sighting.\Conny? What about your village?\It was destroyed.\Crushed to sticks and rubble by Titans.\I see... How awful... response:	But nobody there was eaten.
context: Yeah... There's barely any Titans around here.\If the wall was really broken, that is.\The only group we've really seen was during the initial sighting.\Conny? What about your village?\It was destroyed.\Crushed to sticks and rubble by Titans.\I see... How awful...\But nobody there was eaten. response:	I think they all escaped, so there's that to be thankful for.
context: If the wall was really broken, that is.\The only group we've really seen was during the initial sighting.\Conny? What about your village?\It was destroyed.\Crushed to sticks and rubble by Titans.\I see... How awful...\But nobody there was eaten.\I think they all escaped, so there's that to be thankful for. response:	Wasn't the village destroyed?
context: The only group we've really seen was during the initial sighting.\Conny? What about your village?\It was destroyed.\Crushed to sticks and rubble by Titans.\I see... How awful...\But nobody there was eaten.\I think they all escaped, so there's that to be thankful for.\Wasn't the village destroyed? response:	The houses and stuff were wrecked, but the villagers made it out safely.
context: Conny? What about your village?\It was destroyed.\Crushed to sticks and rubble by Titans.\I see... How awful...\But nobody there was eaten.\I think they all escaped, so there's that to be thankful for.\Wasn't the village destroyed?\The houses and stuff were wrecked, but the villagers made it out safely. response:	If anyone was eaten, then...
context: It was destroyed.\Crushed to sticks and rubble by Titans.\I see... How awful...\But nobody there was eaten.\I think they all escaped, so there's that to be thankful for.\Wasn't the village destroyed?\The houses and stuff were wrecked, but the villagers made it out safely.\If anyone was eaten, then... response:	But there wasn't any of that, so it's the only explanation.
context: Crushed to sticks and rubble by Titans.\I see... How awful...\But nobody there was eaten.\I think they all escaped, so there's that to be thankful for.\Wasn't the village destroyed?\The houses and stuff were wrecked, but the villagers made it out safely.\If anyone was eaten, then...\But there wasn't any of that, so it's the only explanation. response:	Still... I can't stop thinking about it...
context: I see... How awful...\But nobody there was eaten.\I think they all escaped, so there's that to be thankful for.\Wasn't the village destroyed?\The houses and stuff were wrecked, but the villagers made it out safely.\If anyone was eaten, then...\But there wasn't any of that, so it's the only explanation.\Still... I can't stop thinking about it... response:	There was that Titan at my house.
context: But nobody there was eaten.\I think they all escaped, so there's that to be thankful for.\Wasn't the village destroyed?\The houses and stuff were wrecked, but the villagers made it out safely.\If anyone was eaten, then...\But there wasn't any of that, so it's the only explanation.\Still... I can't stop thinking about it...\There was that Titan at my house. response:	It couldn't move on its own, but it was lying right on top of my house.
context: I think they all escaped, so there's that to be thankful for.\Wasn't the village destroyed?\The houses and stuff were wrecked, but the villagers made it out safely.\If anyone was eaten, then...\But there wasn't any of that, so it's the only explanation.\Still... I can't stop thinking about it...\There was that Titan at my house.\It couldn't move on its own, but it was lying right on top of my house. response:	But it's weird...
context: Wasn't the village destroyed?\The houses and stuff were wrecked, but the villagers made it out safely.\If anyone was eaten, then...\But there wasn't any of that, so it's the only explanation.\Still... I can't stop thinking about it...\There was that Titan at my house.\It couldn't move on its own, but it was lying right on top of my house.\But it's weird... response:	I don't know why, but it reminded me of my mother...
context: The houses and stuff were wrecked, but the villagers made it out safely.\If anyone was eaten, then...\But there wasn't any of that, so it's the only explanation.\Still... I can't stop thinking about it...\There was that Titan at my house.\It couldn't move on its own, but it was lying right on top of my house.\But it's weird...\I don't know why, but it reminded me of my mother... response:	What does that-?
context: If anyone was eaten, then...\But there wasn't any of that, so it's the only explanation.\Still... I can't stop thinking about it...\There was that Titan at my house.\It couldn't move on its own, but it was lying right on top of my house.\But it's weird...\I don't know why, but it reminded me of my mother...\What does that-? response:	Conny... You're still saying that? You-
context: But there wasn't any of that, so it's the only explanation.\Still... I can't stop thinking about it...\There was that Titan at my house.\It couldn't move on its own, but it was lying right on top of my house.\But it's weird...\I don't know why, but it reminded me of my mother...\What does that-?\Conny... You're still saying that? You- response:	What an idiot!
context: Still... I can't stop thinking about it...\There was that Titan at my house.\It couldn't move on its own, but it was lying right on top of my house.\But it's weird...\I don't know why, but it reminded me of my mother...\What does that-?\Conny... You're still saying that? You-\What an idiot! response:	You think your mother might have been that Titan?!
context: There was that Titan at my house.\It couldn't move on its own, but it was lying right on top of my house.\But it's weird...\I don't know why, but it reminded me of my mother...\What does that-?\Conny... You're still saying that? You-\What an idiot!\You think your mother might have been that Titan?! response:	Then how come you're so damn short, huh?
context: It couldn't move on its own, but it was lying right on top of my house.\But it's weird...\I don't know why, but it reminded me of my mother...\What does that-?\Conny... You're still saying that? You-\What an idiot!\You think your mother might have been that Titan?!\Then how come you're so damn short, huh? response:	Come on, Conny! I knew you were pretty stupid, but this is taking it to another level!
context: But it's weird...\I don't know why, but it reminded me of my mother...\What does that-?\Conny... You're still saying that? You-\What an idiot!\You think your mother might have been that Titan?!\Then how come you're so damn short, huh?\Come on, Conny! I knew you were pretty stupid, but this is taking it to another level! response:	Would you just shut up?
context: I don't know why, but it reminded me of my mother...\What does that-?\Conny... You're still saying that? You-\What an idiot!\You think your mother might have been that Titan?!\Then how come you're so damn short, huh?\Come on, Conny! I knew you were pretty stupid, but this is taking it to another level!\Would you just shut up? response:	This is absurd.
context: What does that-?\Conny... You're still saying that? You-\What an idiot!\You think your mother might have been that Titan?!\Then how come you're so damn short, huh?\Come on, Conny! I knew you were pretty stupid, but this is taking it to another level!\Would you just shut up?\This is absurd. response:	If this theory of yours is correct, that means your father had to be a Titan, too.
context: Conny... You're still saying that? You-\What an idiot!\You think your mother might have been that Titan?!\Then how come you're so damn short, huh?\Come on, Conny! I knew you were pretty stupid, but this is taking it to another level!\Would you just shut up?\This is absurd.\If this theory of yours is correct, that means your father had to be a Titan, too. response:	Otherwise, you know...
context: What an idiot!\You think your mother might have been that Titan?!\Then how come you're so damn short, huh?\Come on, Conny! I knew you were pretty stupid, but this is taking it to another level!\Would you just shut up?\This is absurd.\If this theory of yours is correct, that means your father had to be a Titan, too.\Otherwise, you know... response:	They couldn't do it-
context: You think your mother might have been that Titan?!\Then how come you're so damn short, huh?\Come on, Conny! I knew you were pretty stupid, but this is taking it to another level!\Would you just shut up?\This is absurd.\If this theory of yours is correct, that means your father had to be a Titan, too.\Otherwise, you know...\They couldn't do it- response:	Shut up! Go to sleep, you wench!
context: Then how come you're so damn short, huh?\Come on, Conny! I knew you were pretty stupid, but this is taking it to another level!\Would you just shut up?\This is absurd.\If this theory of yours is correct, that means your father had to be a Titan, too.\Otherwise, you know...\They couldn't do it-\Shut up! Go to sleep, you wench! response:	Ymir? What are you doing?
context: Come on, Conny! I knew you were pretty stupid, but this is taking it to another level!\Would you just shut up?\This is absurd.\If this theory of yours is correct, that means your father had to be a Titan, too.\Otherwise, you know...\They couldn't do it-\Shut up! Go to sleep, you wench!\Ymir? What are you doing? response:	Prowling at night, Reiner? Come to see me?
context: Would you just shut up?\This is absurd.\If this theory of yours is correct, that means your father had to be a Titan, too.\Otherwise, you know...\They couldn't do it-\Shut up! Go to sleep, you wench!\Ymir? What are you doing?\Prowling at night, Reiner? Come to see me? response:	I'm shocked. I was under the impression that you had no interest in women.
context: This is absurd.\If this theory of yours is correct, that means your father had to be a Titan, too.\Otherwise, you know...\They couldn't do it-\Shut up! Go to sleep, you wench!\Ymir? What are you doing?\Prowling at night, Reiner? Come to see me?\I'm shocked. I was under the impression that you had no interest in women. response:	Yeah. And it doesn't seem like you have interest in guys, either.
context: If this theory of yours is correct, that means your father had to be a Titan, too.\Otherwise, you know...\They couldn't do it-\Shut up! Go to sleep, you wench!\Ymir? What are you doing?\Prowling at night, Reiner? Come to see me?\I'm shocked. I was under the impression that you had no interest in women.\Yeah. And it doesn't seem like you have interest in guys, either. response:	I thought I'd use this time to scavenge for something that might fill my stomach.
context: Otherwise, you know...\They couldn't do it-\Shut up! Go to sleep, you wench!\Ymir? What are you doing?\Prowling at night, Reiner? Come to see me?\I'm shocked. I was under the impression that you had no interest in women.\Yeah. And it doesn't seem like you have interest in guys, either.\I thought I'd use this time to scavenge for something that might fill my stomach. response:	This'll probably end up being my last meal.
context: They couldn't do it-\Shut up! Go to sleep, you wench!\Ymir? What are you doing?\Prowling at night, Reiner? Come to see me?\I'm shocked. I was under the impression that you had no interest in women.\Yeah. And it doesn't seem like you have interest in guys, either.\I thought I'd use this time to scavenge for something that might fill my stomach.\This'll probably end up being my last meal. response:	About Conny's village...
context: Shut up! Go to sleep, you wench!\Ymir? What are you doing?\Prowling at night, Reiner? Come to see me?\I'm shocked. I was under the impression that you had no interest in women.\Yeah. And it doesn't seem like you have interest in guys, either.\I thought I'd use this time to scavenge for something that might fill my stomach.\This'll probably end up being my last meal.\About Conny's village... response:	Were you joking around on purpose?
context: Ymir? What are you doing?\Prowling at night, Reiner? Come to see me?\I'm shocked. I was under the impression that you had no interest in women.\Yeah. And it doesn't seem like you have interest in guys, either.\I thought I'd use this time to scavenge for something that might fill my stomach.\This'll probably end up being my last meal.\About Conny's village...\Were you joking around on purpose? response:	I'd appreciate if you did more of that.
context: Prowling at night, Reiner? Come to see me?\I'm shocked. I was under the impression that you had no interest in women.\Yeah. And it doesn't seem like you have interest in guys, either.\I thought I'd use this time to scavenge for something that might fill my stomach.\This'll probably end up being my last meal.\About Conny's village...\Were you joking around on purpose?\I'd appreciate if you did more of that. response:	So that he doesn't keep worrying about his family.
context: I'm shocked. I was under the impression that you had no interest in women.\Yeah. And it doesn't seem like you have interest in guys, either.\I thought I'd use this time to scavenge for something that might fill my stomach.\This'll probably end up being my last meal.\About Conny's village...\Were you joking around on purpose?\I'd appreciate if you did more of that.\So that he doesn't keep worrying about his family. response:	What are you talking about?
context: Yeah. And it doesn't seem like you have interest in guys, either.\I thought I'd use this time to scavenge for something that might fill my stomach.\This'll probably end up being my last meal.\About Conny's village...\Were you joking around on purpose?\I'd appreciate if you did more of that.\So that he doesn't keep worrying about his family.\What are you talking about? response:	This might do the trick.
context: I thought I'd use this time to scavenge for something that might fill my stomach.\This'll probably end up being my last meal.\About Conny's village...\Were you joking around on purpose?\I'd appreciate if you did more of that.\So that he doesn't keep worrying about his family.\What are you talking about?\This might do the trick. response:	Not that I like herring, but-
context: This'll probably end up being my last meal.\About Conny's village...\Were you joking around on purpose?\I'd appreciate if you did more of that.\So that he doesn't keep worrying about his family.\What are you talking about?\This might do the trick.\Not that I like herring, but- response:	Is there any more?
context: About Conny's village...\Were you joking around on purpose?\I'd appreciate if you did more of that.\So that he doesn't keep worrying about his family.\What are you talking about?\This might do the trick.\Not that I like herring, but-\Is there any more? response:	Could I see it?
context: Were you joking around on purpose?\I'd appreciate if you did more of that.\So that he doesn't keep worrying about his family.\What are you talking about?\This might do the trick.\Not that I like herring, but-\Is there any more?\Could I see it? response:	Go for it.
context: I'd appreciate if you did more of that.\So that he doesn't keep worrying about his family.\What are you talking about?\This might do the trick.\Not that I like herring, but-\Is there any more?\Could I see it?\Go for it. response:	Canned food, huh?
context: So that he doesn't keep worrying about his family.\What are you talking about?\This might do the trick.\Not that I like herring, but-\Is there any more?\Could I see it?\Go for it.\Canned food, huh? response:	What... are these letters?
context: What are you talking about?\This might do the trick.\Not that I like herring, but-\Is there any more?\Could I see it?\Go for it.\Canned food, huh?\What... are these letters? response:	I can't read any of it.
context: This might do the trick.\Not that I like herring, but-\Is there any more?\Could I see it?\Go for it.\Canned food, huh?\What... are these letters?\I can't read any of it. response:	This says herring on it?
context: Not that I like herring, but-\Is there any more?\Could I see it?\Go for it.\Canned food, huh?\What... are these letters?\I can't read any of it.\This says herring on it? response:	You... are... able to read this language?
context: Is there any more?\Could I see it?\Go for it.\Canned food, huh?\What... are these letters?\I can't read any of it.\This says herring on it?\You... are... able to read this language? response:	Ymir...
context: Could I see it?\Go for it.\Canned food, huh?\What... are these letters?\I can't read any of it.\This says herring on it?\You... are... able to read this language?\Ymir... response:	You're...
context: Go for it.\Canned food, huh?\What... are these letters?\I can't read any of it.\This says herring on it?\You... are... able to read this language?\Ymir...\You're... response:	Everyone, wake up!
context: Canned food, huh?\What... are these letters?\I can't read any of it.\This says herring on it?\You... are... able to read this language?\Ymir...\You're...\Everyone, wake up! response:	Get to the tower! Quickly!
context: What... are these letters?\I can't read any of it.\This says herring on it?\You... are... able to read this language?\Ymir...\You're...\Everyone, wake up!\Get to the tower! Quickly! response:	Gotta be fricking kidding me.
context: I can't read any of it.\This says herring on it?\You... are... able to read this language?\Ymir...\You're...\Everyone, wake up!\Get to the tower! Quickly!\Gotta be fricking kidding me. response:	I'd be drinking right now if it wasn't for you!
context: This says herring on it?\You... are... able to read this language?\Ymir...\You're...\Everyone, wake up!\Get to the tower! Quickly!\Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you! response:	This is all your fault!
context: You... are... able to read this language?\Ymir...\You're...\Everyone, wake up!\Get to the tower! Quickly!\Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault! response:	Let's go!
context: Ymir...\You're...\Everyone, wake up!\Get to the tower! Quickly!\Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Let's go! response:	Get your damn hands away from me!
context: You're...\Everyone, wake up!\Get to the tower! Quickly!\Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Let's go!\Get your damn hands away from me! response:	You piece of shit!
context: Everyone, wake up!\Get to the tower! Quickly!\Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Let's go!\Get your damn hands away from me!\You piece of shit! response:	Look at that. Those little ones got crushed by the fatty.
context: Get to the tower! Quickly!\Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Let's go!\Get your damn hands away from me!\You piece of shit!\Look at that. Those little ones got crushed by the fatty. response:	Dumb-asses.
context: Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Let's go!\Get your damn hands away from me!\You piece of shit!\Look at that. Those little ones got crushed by the fatty.\Dumb-asses. response:	That was way too reckless!
context: I'd be drinking right now if it wasn't for you!\This is all your fault!\Let's go!\Get your damn hands away from me!\You piece of shit!\Look at that. Those little ones got crushed by the fatty.\Dumb-asses.\That was way too reckless! response:	Couldn't you have avoided that without wasting your blades?
context: This is all your fault!\Let's go!\Get your damn hands away from me!\You piece of shit!\Look at that. Those little ones got crushed by the fatty.\Dumb-asses.\That was way too reckless!\Couldn't you have avoided that without wasting your blades? response:	That's just how I do things.
context: Let's go!\Get your damn hands away from me!\You piece of shit!\Look at that. Those little ones got crushed by the fatty.\Dumb-asses.\That was way too reckless!\Couldn't you have avoided that without wasting your blades?\That's just how I do things. response:	You better chalk that one up as an assist.
context: Get your damn hands away from me!\You piece of shit!\Look at that. Those little ones got crushed by the fatty.\Dumb-asses.\That was way too reckless!\Couldn't you have avoided that without wasting your blades?\That's just how I do things.\You better chalk that one up as an assist. response:	How heroic of you.
context: You piece of shit!\Look at that. Those little ones got crushed by the fatty.\Dumb-asses.\That was way too reckless!\Couldn't you have avoided that without wasting your blades?\That's just how I do things.\You better chalk that one up as an assist.\How heroic of you. response:	I'll think about it.
context: Look at that. Those little ones got crushed by the fatty.\Dumb-asses.\That was way too reckless!\Couldn't you have avoided that without wasting your blades?\That's just how I do things.\You better chalk that one up as an assist.\How heroic of you.\I'll think about it. response:	I'm too late...
context: Dumb-asses.\That was way too reckless!\Couldn't you have avoided that without wasting your blades?\That's just how I do things.\You better chalk that one up as an assist.\How heroic of you.\I'll think about it.\I'm too late... response:	The door is bashed in!
context: That was way too reckless!\Couldn't you have avoided that without wasting your blades?\That's just how I do things.\You better chalk that one up as an assist.\How heroic of you.\I'll think about it.\I'm too late...\The door is bashed in! response:	The Titans broke through.
context: Couldn't you have avoided that without wasting your blades?\That's just how I do things.\You better chalk that one up as an assist.\How heroic of you.\I'll think about it.\I'm too late...\The door is bashed in!\The Titans broke through. response:	Go back down and form some sort of barricade.
context: That's just how I do things.\You better chalk that one up as an assist.\How heroic of you.\I'll think about it.\I'm too late...\The door is bashed in!\The Titans broke through.\Go back down and form some sort of barricade. response:	If you can't block them, retreat back up here as a last resort.
context: You better chalk that one up as an assist.\How heroic of you.\I'll think about it.\I'm too late...\The door is bashed in!\The Titans broke through.\Go back down and form some sort of barricade.\If you can't block them, retreat back up here as a last resort. response:	But that doesn't mean we'll be able to help you though.
context: How heroic of you.\I'll think about it.\I'm too late...\The door is bashed in!\The Titans broke through.\Go back down and form some sort of barricade.\If you can't block them, retreat back up here as a last resort.\But that doesn't mean we'll be able to help you though. response:	I'm not sure if we'll still be alive if it comes to that.
context: I'll think about it.\I'm too late...\The door is bashed in!\The Titans broke through.\Go back down and form some sort of barricade.\If you can't block them, retreat back up here as a last resort.\But that doesn't mean we'll be able to help you though.\I'm not sure if we'll still be alive if it comes to that. response:	We've all gotta do what we're trained to do.
context: I'm too late...\The door is bashed in!\The Titans broke through.\Go back down and form some sort of barricade.\If you can't block them, retreat back up here as a last resort.\But that doesn't mean we'll be able to help you though.\I'm not sure if we'll still be alive if it comes to that.\We've all gotta do what we're trained to do. response:	Give it all we've got till we die!
context: The door is bashed in!\The Titans broke through.\Go back down and form some sort of barricade.\If you can't block them, retreat back up here as a last resort.\But that doesn't mean we'll be able to help you though.\I'm not sure if we'll still be alive if it comes to that.\We've all gotta do what we're trained to do.\Give it all we've got till we die! response:	Understand?
context: The Titans broke through.\Go back down and form some sort of barricade.\If you can't block them, retreat back up here as a last resort.\But that doesn't mean we'll be able to help you though.\I'm not sure if we'll still be alive if it comes to that.\We've all gotta do what we're trained to do.\Give it all we've got till we die!\Understand? response:	Got it!
context: Go back down and form some sort of barricade.\If you can't block them, retreat back up here as a last resort.\But that doesn't mean we'll be able to help you though.\I'm not sure if we'll still be alive if it comes to that.\We've all gotta do what we're trained to do.\Give it all we've got till we die!\Understand?\Got it! response:	I'll go see how far they've come through!
context: If you can't block them, retreat back up here as a last resort.\But that doesn't mean we'll be able to help you though.\I'm not sure if we'll still be alive if it comes to that.\We've all gotta do what we're trained to do.\Give it all we've got till we die!\Understand?\Got it!\I'll go see how far they've come through! response:	You guys grab boards or rods or whatever!
context: But that doesn't mean we'll be able to help you though.\I'm not sure if we'll still be alive if it comes to that.\We've all gotta do what we're trained to do.\Give it all we've got till we die!\Understand?\Got it!\I'll go see how far they've come through!\You guys grab boards or rods or whatever! response:	Bring everything you can carry!
context: I'm not sure if we'll still be alive if it comes to that.\We've all gotta do what we're trained to do.\Give it all we've got till we die!\Understand?\Got it!\I'll go see how far they've come through!\You guys grab boards or rods or whatever!\Bring everything you can carry! response:	Reiner!
context: We've all gotta do what we're trained to do.\Give it all we've got till we die!\Understand?\Got it!\I'll go see how far they've come through!\You guys grab boards or rods or whatever!\Bring everything you can carry!\Reiner! response:	Hey!
context: Give it all we've got till we die!\Understand?\Got it!\I'll go see how far they've come through!\You guys grab boards or rods or whatever!\Bring everything you can carry!\Reiner!\Hey! response:	Wait up, Reiner! Hold on!
context: Understand?\Got it!\I'll go see how far they've come through!\You guys grab boards or rods or whatever!\Bring everything you can carry!\Reiner!\Hey!\Wait up, Reiner! Hold on! response:	Who does he think he is, always taking the most dangerous job?
context: Got it!\I'll go see how far they've come through!\You guys grab boards or rods or whatever!\Bring everything you can carry!\Reiner!\Hey!\Wait up, Reiner! Hold on!\Who does he think he is, always taking the most dangerous job? response:	Come on, man!
context: I'll go see how far they've come through!\You guys grab boards or rods or whatever!\Bring everything you can carry!\Reiner!\Hey!\Wait up, Reiner! Hold on!\Who does he think he is, always taking the most dangerous job?\Come on, man! response:	Yeah, that's a bad habit of his.
