context: What happened?! response:	How are Bellows and the others?! What about the pirates?!
context: What was that about?\The Villainous Empress\The pirate convoy was wiped out?\Not just their fleet. All of the bastards who boarded my boat, too.\With them dead, it's a sure bet the others will come, hellbent on revenge.\They really botched this up.\Fleet Comander! We need to get rid of that boy as soon as possible.\How about handing him over to the pirates? response:	Maybe that will cool them off?
context: The Villainous Empress\The pirate convoy was wiped out?\Not just their fleet. All of the bastards who boarded my boat, too.\With them dead, it's a sure bet the others will come, hellbent on revenge.\They really botched this up.\Fleet Comander! We need to get rid of that boy as soon as possible.\How about handing him over to the pirates?\Maybe that will cool them off? response:	Hey, hold up! You're seriously talking about makin' a deal with pirates?!
context: The pirate convoy was wiped out?\Not just their fleet. All of the bastards who boarded my boat, too.\With them dead, it's a sure bet the others will come, hellbent on revenge.\They really botched this up.\Fleet Comander! We need to get rid of that boy as soon as possible.\How about handing him over to the pirates?\Maybe that will cool them off?\Hey, hold up! You're seriously talking about makin' a deal with pirates?! response:	Then what would you have us do?
context: Not just their fleet. All of the bastards who boarded my boat, too.\With them dead, it's a sure bet the others will come, hellbent on revenge.\They really botched this up.\Fleet Comander! We need to get rid of that boy as soon as possible.\How about handing him over to the pirates?\Maybe that will cool them off?\Hey, hold up! You're seriously talking about makin' a deal with pirates?!\Then what would you have us do? response:	Like I've been sayin', just keep the Yunboro and as for the kid...
context: With them dead, it's a sure bet the others will come, hellbent on revenge.\They really botched this up.\Fleet Comander! We need to get rid of that boy as soon as possible.\How about handing him over to the pirates?\Maybe that will cool them off?\Hey, hold up! You're seriously talking about makin' a deal with pirates?!\Then what would you have us do?\Like I've been sayin', just keep the Yunboro and as for the kid... response:	What we need to do right now...
context: They really botched this up.\Fleet Comander! We need to get rid of that boy as soon as possible.\How about handing him over to the pirates?\Maybe that will cool them off?\Hey, hold up! You're seriously talking about makin' a deal with pirates?!\Then what would you have us do?\Like I've been sayin', just keep the Yunboro and as for the kid...\What we need to do right now... response:	We can decide on how to deal with the boy later.
context: Fleet Comander! We need to get rid of that boy as soon as possible.\How about handing him over to the pirates?\Maybe that will cool them off?\Hey, hold up! You're seriously talking about makin' a deal with pirates?!\Then what would you have us do?\Like I've been sayin', just keep the Yunboro and as for the kid...\What we need to do right now...\We can decide on how to deal with the boy later. response:	I never imagined something like this happening...
context: How about handing him over to the pirates?\Maybe that will cool them off?\Hey, hold up! You're seriously talking about makin' a deal with pirates?!\Then what would you have us do?\Like I've been sayin', just keep the Yunboro and as for the kid...\What we need to do right now...\We can decide on how to deal with the boy later.\I never imagined something like this happening... response:	What he said about battling in outer space was true...
context: Maybe that will cool them off?\Hey, hold up! You're seriously talking about makin' a deal with pirates?!\Then what would you have us do?\Like I've been sayin', just keep the Yunboro and as for the kid...\What we need to do right now...\We can decide on how to deal with the boy later.\I never imagined something like this happening...\What he said about battling in outer space was true... response:	Maybe I shouldn't have opened my big mouth...
context: Hey, hold up! You're seriously talking about makin' a deal with pirates?!\Then what would you have us do?\Like I've been sayin', just keep the Yunboro and as for the kid...\What we need to do right now...\We can decide on how to deal with the boy later.\I never imagined something like this happening...\What he said about battling in outer space was true...\Maybe I shouldn't have opened my big mouth... response:	I've been looking for you, Amy!
context: Then what would you have us do?\Like I've been sayin', just keep the Yunboro and as for the kid...\What we need to do right now...\We can decide on how to deal with the boy later.\I never imagined something like this happening...\What he said about battling in outer space was true...\Maybe I shouldn't have opened my big mouth...\I've been looking for you, Amy! response:	I've got a little favor to ask.
context: Like I've been sayin', just keep the Yunboro and as for the kid...\What we need to do right now...\We can decide on how to deal with the boy later.\I never imagined something like this happening...\What he said about battling in outer space was true...\Maybe I shouldn't have opened my big mouth...\I've been looking for you, Amy!\I've got a little favor to ask. response:	They really hate me...
context: What we need to do right now...\We can decide on how to deal with the boy later.\I never imagined something like this happening...\What he said about battling in outer space was true...\Maybe I shouldn't have opened my big mouth...\I've been looking for you, Amy!\I've got a little favor to ask.\They really hate me... response:	Their response defies rational analysis...
context: We can decide on how to deal with the boy later.\I never imagined something like this happening...\What he said about battling in outer space was true...\Maybe I shouldn't have opened my big mouth...\I've been looking for you, Amy!\I've got a little favor to ask.\They really hate me...\Their response defies rational analysis... response:	I thought it might lead to negotiating...
context: I never imagined something like this happening...\What he said about battling in outer space was true...\Maybe I shouldn't have opened my big mouth...\I've been looking for you, Amy!\I've got a little favor to ask.\They really hate me...\Their response defies rational analysis...\I thought it might lead to negotiating... response:	A flying object is overhead.
context: What he said about battling in outer space was true...\Maybe I shouldn't have opened my big mouth...\I've been looking for you, Amy!\I've got a little favor to ask.\They really hate me...\Their response defies rational analysis...\I thought it might lead to negotiating...\A flying object is overhead. response:	It's Amy and Bellows! Lower the guns!
context: Maybe I shouldn't have opened my big mouth...\I've been looking for you, Amy!\I've got a little favor to ask.\They really hate me...\Their response defies rational analysis...\I thought it might lead to negotiating...\A flying object is overhead.\It's Amy and Bellows! Lower the guns! response:	Um, look...
context: I've been looking for you, Amy!\I've got a little favor to ask.\They really hate me...\Their response defies rational analysis...\I thought it might lead to negotiating...\A flying object is overhead.\It's Amy and Bellows! Lower the guns!\Um, look... response:	Sorry I yelled at you before. Are you mad?
context: I've got a little favor to ask.\They really hate me...\Their response defies rational analysis...\I thought it might lead to negotiating...\A flying object is overhead.\It's Amy and Bellows! Lower the guns!\Um, look...\Sorry I yelled at you before. Are you mad? response:	No problem. There is no need to apologize.
context: They really hate me...\Their response defies rational analysis...\I thought it might lead to negotiating...\A flying object is overhead.\It's Amy and Bellows! Lower the guns!\Um, look...\Sorry I yelled at you before. Are you mad?\No problem. There is no need to apologize. response:	Really? Good.
context: Their response defies rational analysis...\I thought it might lead to negotiating...\A flying object is overhead.\It's Amy and Bellows! Lower the guns!\Um, look...\Sorry I yelled at you before. Are you mad?\No problem. There is no need to apologize.\Really? Good. response:	I'm Bellows. I've been wanting to speak with you...
context: I thought it might lead to negotiating...\A flying object is overhead.\It's Amy and Bellows! Lower the guns!\Um, look...\Sorry I yelled at you before. Are you mad?\No problem. There is no need to apologize.\Really? Good.\I'm Bellows. I've been wanting to speak with you... response:	Here's a little present.
context: A flying object is overhead.\It's Amy and Bellows! Lower the guns!\Um, look...\Sorry I yelled at you before. Are you mad?\No problem. There is no need to apologize.\Really? Good.\I'm Bellows. I've been wanting to speak with you...\Here's a little present. response:	It seems she wishes you to consume the animal carcass.
context: It's Amy and Bellows! Lower the guns!\Um, look...\Sorry I yelled at you before. Are you mad?\No problem. There is no need to apologize.\Really? Good.\I'm Bellows. I've been wanting to speak with you...\Here's a little present.\It seems she wishes you to consume the animal carcass. response:	Again?!
context: Um, look...\Sorry I yelled at you before. Are you mad?\No problem. There is no need to apologize.\Really? Good.\I'm Bellows. I've been wanting to speak with you...\Here's a little present.\It seems she wishes you to consume the animal carcass.\Again?! response:	Ledo... That's your name, right?
context: Sorry I yelled at you before. Are you mad?\No problem. There is no need to apologize.\Really? Good.\I'm Bellows. I've been wanting to speak with you...\Here's a little present.\It seems she wishes you to consume the animal carcass.\Again?!\Ledo... That's your name, right? response:	Why did you slaughter the pirates?
context: No problem. There is no need to apologize.\Really? Good.\I'm Bellows. I've been wanting to speak with you...\Here's a little present.\It seems she wishes you to consume the animal carcass.\Again?!\Ledo... That's your name, right?\Why did you slaughter the pirates? response:	Does eliminating the enemy require a reason?
context: Really? Good.\I'm Bellows. I've been wanting to speak with you...\Here's a little present.\It seems she wishes you to consume the animal carcass.\Again?!\Ledo... That's your name, right?\Why did you slaughter the pirates?\Does eliminating the enemy require a reason? response:	I don't know how things are in space,
context: I'm Bellows. I've been wanting to speak with you...\Here's a little present.\It seems she wishes you to consume the animal carcass.\Again?!\Ledo... That's your name, right?\Why did you slaughter the pirates?\Does eliminating the enemy require a reason?\I don't know how things are in space, response:	but here taking a life is something that must be justified.
context: Here's a little present.\It seems she wishes you to consume the animal carcass.\Again?!\Ledo... That's your name, right?\Why did you slaughter the pirates?\Does eliminating the enemy require a reason?\I don't know how things are in space,\but here taking a life is something that must be justified. response:	It is not an issue when you kill a living thing for food?
context: It seems she wishes you to consume the animal carcass.\Again?!\Ledo... That's your name, right?\Why did you slaughter the pirates?\Does eliminating the enemy require a reason?\I don't know how things are in space,\but here taking a life is something that must be justified.\It is not an issue when you kill a living thing for food? response:	Certainly, we kill fish and birds to eat.
context: Again?!\Ledo... That's your name, right?\Why did you slaughter the pirates?\Does eliminating the enemy require a reason?\I don't know how things are in space,\but here taking a life is something that must be justified.\It is not an issue when you kill a living thing for food?\Certainly, we kill fish and birds to eat. response:	But only enough for us to survive.
context: Ledo... That's your name, right?\Why did you slaughter the pirates?\Does eliminating the enemy require a reason?\I don't know how things are in space,\but here taking a life is something that must be justified.\It is not an issue when you kill a living thing for food?\Certainly, we kill fish and birds to eat.\But only enough for us to survive. response:	We don't take lives needlessly.
context: Why did you slaughter the pirates?\Does eliminating the enemy require a reason?\I don't know how things are in space,\but here taking a life is something that must be justified.\It is not an issue when you kill a living thing for food?\Certainly, we kill fish and birds to eat.\But only enough for us to survive.\We don't take lives needlessly. response:	Furthermore, the pirates are human. We're the same species!
context: Does eliminating the enemy require a reason?\I don't know how things are in space,\but here taking a life is something that must be justified.\It is not an issue when you kill a living thing for food?\Certainly, we kill fish and birds to eat.\But only enough for us to survive.\We don't take lives needlessly.\Furthermore, the pirates are human. We're the same species! response:	You mustn't take lives lightly.
context: I don't know how things are in space,\but here taking a life is something that must be justified.\It is not an issue when you kill a living thing for food?\Certainly, we kill fish and birds to eat.\But only enough for us to survive.\We don't take lives needlessly.\Furthermore, the pirates are human. We're the same species!\You mustn't take lives lightly. response:	If it is forbidden to shed human blood,
context: but here taking a life is something that must be justified.\It is not an issue when you kill a living thing for food?\Certainly, we kill fish and birds to eat.\But only enough for us to survive.\We don't take lives needlessly.\Furthermore, the pirates are human. We're the same species!\You mustn't take lives lightly.\If it is forbidden to shed human blood, response:	why do you possess weapons?
context: It is not an issue when you kill a living thing for food?\Certainly, we kill fish and birds to eat.\But only enough for us to survive.\We don't take lives needlessly.\Furthermore, the pirates are human. We're the same species!\You mustn't take lives lightly.\If it is forbidden to shed human blood,\why do you possess weapons? response:	If someone feels like it, they could rob you of your life.
context: Certainly, we kill fish and birds to eat.\But only enough for us to survive.\We don't take lives needlessly.\Furthermore, the pirates are human. We're the same species!\You mustn't take lives lightly.\If it is forbidden to shed human blood,\why do you possess weapons?\If someone feels like it, they could rob you of your life. response:	Pirates use that threat to try to get people to do what they want.
context: But only enough for us to survive.\We don't take lives needlessly.\Furthermore, the pirates are human. We're the same species!\You mustn't take lives lightly.\If it is forbidden to shed human blood,\why do you possess weapons?\If someone feels like it, they could rob you of your life.\Pirates use that threat to try to get people to do what they want. response:	And so our attitude is that we're not just gonna roll over and die for them.
context: We don't take lives needlessly.\Furthermore, the pirates are human. We're the same species!\You mustn't take lives lightly.\If it is forbidden to shed human blood,\why do you possess weapons?\If someone feels like it, they could rob you of your life.\Pirates use that threat to try to get people to do what they want.\And so our attitude is that we're not just gonna roll over and die for them. response:	Displaying arms to each other is a kind of negotiation in itself.
context: Furthermore, the pirates are human. We're the same species!\You mustn't take lives lightly.\If it is forbidden to shed human blood,\why do you possess weapons?\If someone feels like it, they could rob you of your life.\Pirates use that threat to try to get people to do what they want.\And so our attitude is that we're not just gonna roll over and die for them.\Displaying arms to each other is a kind of negotiation in itself. response:	We have this expression. Give fresh water to the one who catches the fish.
context: You mustn't take lives lightly.\If it is forbidden to shed human blood,\why do you possess weapons?\If someone feels like it, they could rob you of your life.\Pirates use that threat to try to get people to do what they want.\And so our attitude is that we're not just gonna roll over and die for them.\Displaying arms to each other is a kind of negotiation in itself.\We have this expression. Give fresh water to the one who catches the fish. response:	Are those words a recommendation for humans to aid each other?
context: If it is forbidden to shed human blood,\why do you possess weapons?\If someone feels like it, they could rob you of your life.\Pirates use that threat to try to get people to do what they want.\And so our attitude is that we're not just gonna roll over and die for them.\Displaying arms to each other is a kind of negotiation in itself.\We have this expression. Give fresh water to the one who catches the fish.\Are those words a recommendation for humans to aid each other? response:	That's right. Because we can't survive unless everybody brings something.
context: why do you possess weapons?\If someone feels like it, they could rob you of your life.\Pirates use that threat to try to get people to do what they want.\And so our attitude is that we're not just gonna roll over and die for them.\Displaying arms to each other is a kind of negotiation in itself.\We have this expression. Give fresh water to the one who catches the fish.\Are those words a recommendation for humans to aid each other?\That's right. Because we can't survive unless everybody brings something. response:	But the pirates do not adhere to that rule.
context: If someone feels like it, they could rob you of your life.\Pirates use that threat to try to get people to do what they want.\And so our attitude is that we're not just gonna roll over and die for them.\Displaying arms to each other is a kind of negotiation in itself.\We have this expression. Give fresh water to the one who catches the fish.\Are those words a recommendation for humans to aid each other?\That's right. Because we can't survive unless everybody brings something.\But the pirates do not adhere to that rule. response:	Of course we don't agree with that.
context: Pirates use that threat to try to get people to do what they want.\And so our attitude is that we're not just gonna roll over and die for them.\Displaying arms to each other is a kind of negotiation in itself.\We have this expression. Give fresh water to the one who catches the fish.\Are those words a recommendation for humans to aid each other?\That's right. Because we can't survive unless everybody brings something.\But the pirates do not adhere to that rule.\Of course we don't agree with that. response:	We're not letting any pirates have our lives or our possessions!
context: And so our attitude is that we're not just gonna roll over and die for them.\Displaying arms to each other is a kind of negotiation in itself.\We have this expression. Give fresh water to the one who catches the fish.\Are those words a recommendation for humans to aid each other?\That's right. Because we can't survive unless everybody brings something.\But the pirates do not adhere to that rule.\Of course we don't agree with that.\We're not letting any pirates have our lives or our possessions! response:	But our message is,There's no profit in attacking us.
context: Displaying arms to each other is a kind of negotiation in itself.\We have this expression. Give fresh water to the one who catches the fish.\Are those words a recommendation for humans to aid each other?\That's right. Because we can't survive unless everybody brings something.\But the pirates do not adhere to that rule.\Of course we don't agree with that.\We're not letting any pirates have our lives or our possessions!\But our message is,There's no profit in attacking us. response:	It's enough just to communicate that to them.
context: We have this expression. Give fresh water to the one who catches the fish.\Are those words a recommendation for humans to aid each other?\That's right. Because we can't survive unless everybody brings something.\But the pirates do not adhere to that rule.\Of course we don't agree with that.\We're not letting any pirates have our lives or our possessions!\But our message is,There's no profit in attacking us.\It's enough just to communicate that to them. response:	But add death to the mix, that changes things.
context: Are those words a recommendation for humans to aid each other?\That's right. Because we can't survive unless everybody brings something.\But the pirates do not adhere to that rule.\Of course we don't agree with that.\We're not letting any pirates have our lives or our possessions!\But our message is,There's no profit in attacking us.\It's enough just to communicate that to them.\But add death to the mix, that changes things. response:	In order to regain their stance as the threatening side,
context: That's right. Because we can't survive unless everybody brings something.\But the pirates do not adhere to that rule.\Of course we don't agree with that.\We're not letting any pirates have our lives or our possessions!\But our message is,There's no profit in attacking us.\It's enough just to communicate that to them.\But add death to the mix, that changes things.\In order to regain their stance as the threatening side, response:	they're left in the position of having to spill even more blood.
context: But the pirates do not adhere to that rule.\Of course we don't agree with that.\We're not letting any pirates have our lives or our possessions!\But our message is,There's no profit in attacking us.\It's enough just to communicate that to them.\But add death to the mix, that changes things.\In order to regain their stance as the threatening side,\they're left in the position of having to spill even more blood. response:	I understand the situation.
context: Of course we don't agree with that.\We're not letting any pirates have our lives or our possessions!\But our message is,There's no profit in attacking us.\It's enough just to communicate that to them.\But add death to the mix, that changes things.\In order to regain their stance as the threatening side,\they're left in the position of having to spill even more blood.\I understand the situation. response:	Good.
context: We're not letting any pirates have our lives or our possessions!\But our message is,There's no profit in attacking us.\It's enough just to communicate that to them.\But add death to the mix, that changes things.\In order to regain their stance as the threatening side,\they're left in the position of having to spill even more blood.\I understand the situation.\Good. response:	Anyway, no matter what people say, we need your power for run-ins with the pirates.
context: But our message is,There's no profit in attacking us.\It's enough just to communicate that to them.\But add death to the mix, that changes things.\In order to regain their stance as the threatening side,\they're left in the position of having to spill even more blood.\I understand the situation.\Good.\Anyway, no matter what people say, we need your power for run-ins with the pirates. response:	This is a communication device.
context: It's enough just to communicate that to them.\But add death to the mix, that changes things.\In order to regain their stance as the threatening side,\they're left in the position of having to spill even more blood.\I understand the situation.\Good.\Anyway, no matter what people say, we need your power for run-ins with the pirates.\This is a communication device. response:	Eventually, I'll want you to speak to the others.
context: But add death to the mix, that changes things.\In order to regain their stance as the threatening side,\they're left in the position of having to spill even more blood.\I understand the situation.\Good.\Anyway, no matter what people say, we need your power for run-ins with the pirates.\This is a communication device.\Eventually, I'll want you to speak to the others. response:	Even if it didn't end up as it should, you saved me.
context: In order to regain their stance as the threatening side,\they're left in the position of having to spill even more blood.\I understand the situation.\Good.\Anyway, no matter what people say, we need your power for run-ins with the pirates.\This is a communication device.\Eventually, I'll want you to speak to the others.\Even if it didn't end up as it should, you saved me. response:	This bird is my thanks for that. See you.
context: they're left in the position of having to spill even more blood.\I understand the situation.\Good.\Anyway, no matter what people say, we need your power for run-ins with the pirates.\This is a communication device.\Eventually, I'll want you to speak to the others.\Even if it didn't end up as it should, you saved me.\This bird is my thanks for that. See you. response:	Say, Ledo...
context: I understand the situation.\Good.\Anyway, no matter what people say, we need your power for run-ins with the pirates.\This is a communication device.\Eventually, I'll want you to speak to the others.\Even if it didn't end up as it should, you saved me.\This bird is my thanks for that. See you.\Say, Ledo... response:	If you don't have a place to go, why not stay here?
context: Good.\Anyway, no matter what people say, we need your power for run-ins with the pirates.\This is a communication device.\Eventually, I'll want you to speak to the others.\Even if it didn't end up as it should, you saved me.\This bird is my thanks for that. See you.\Say, Ledo...\If you don't have a place to go, why not stay here? response:	I think we'll find a way to make things turn out smoothly.
context: Anyway, no matter what people say, we need your power for run-ins with the pirates.\This is a communication device.\Eventually, I'll want you to speak to the others.\Even if it didn't end up as it should, you saved me.\This bird is my thanks for that. See you.\Say, Ledo...\If you don't have a place to go, why not stay here?\I think we'll find a way to make things turn out smoothly. response:	She wants me to live on this boat? Yeah, right...
context: This is a communication device.\Eventually, I'll want you to speak to the others.\Even if it didn't end up as it should, you saved me.\This bird is my thanks for that. See you.\Say, Ledo...\If you don't have a place to go, why not stay here?\I think we'll find a way to make things turn out smoothly.\She wants me to live on this boat? Yeah, right... response:	Shall I refuse?
context: Eventually, I'll want you to speak to the others.\Even if it didn't end up as it should, you saved me.\This bird is my thanks for that. See you.\Say, Ledo...\If you don't have a place to go, why not stay here?\I think we'll find a way to make things turn out smoothly.\She wants me to live on this boat? Yeah, right...\Shall I refuse? response:	No. Don't refuse.
context: Even if it didn't end up as it should, you saved me.\This bird is my thanks for that. See you.\Say, Ledo...\If you don't have a place to go, why not stay here?\I think we'll find a way to make things turn out smoothly.\She wants me to live on this boat? Yeah, right...\Shall I refuse?\No. Don't refuse. response:	I will consider it.
context: This bird is my thanks for that. See you.\Say, Ledo...\If you don't have a place to go, why not stay here?\I think we'll find a way to make things turn out smoothly.\She wants me to live on this boat? Yeah, right...\Shall I refuse?\No. Don't refuse.\I will consider it. response:	Promise?! You really will consider it?
context: Say, Ledo...\If you don't have a place to go, why not stay here?\I think we'll find a way to make things turn out smoothly.\She wants me to live on this boat? Yeah, right...\Shall I refuse?\No. Don't refuse.\I will consider it.\Promise?! You really will consider it? response:	Well, I'll be getting back...
context: If you don't have a place to go, why not stay here?\I think we'll find a way to make things turn out smoothly.\She wants me to live on this boat? Yeah, right...\Shall I refuse?\No. Don't refuse.\I will consider it.\Promise?! You really will consider it?\Well, I'll be getting back... response:	Ledo, I'm grateful to you for protecting Bellows's ship.
context: I think we'll find a way to make things turn out smoothly.\She wants me to live on this boat? Yeah, right...\Shall I refuse?\No. Don't refuse.\I will consider it.\Promise?! You really will consider it?\Well, I'll be getting back...\Ledo, I'm grateful to you for protecting Bellows's ship. response:	Bye!
context: She wants me to live on this boat? Yeah, right...\Shall I refuse?\No. Don't refuse.\I will consider it.\Promise?! You really will consider it?\Well, I'll be getting back...\Ledo, I'm grateful to you for protecting Bellows's ship.\Bye! response:	Thank you so much!
context: Shall I refuse?\No. Don't refuse.\I will consider it.\Promise?! You really will consider it?\Well, I'll be getting back...\Ledo, I'm grateful to you for protecting Bellows's ship.\Bye!\Thank you so much! response:	Such a peculiar phrase...
context: No. Don't refuse.\I will consider it.\Promise?! You really will consider it?\Well, I'll be getting back...\Ledo, I'm grateful to you for protecting Bellows's ship.\Bye!\Thank you so much!\Such a peculiar phrase... response:	I understand the situation.
context: I will consider it.\Promise?! You really will consider it?\Well, I'll be getting back...\Ledo, I'm grateful to you for protecting Bellows's ship.\Bye!\Thank you so much!\Such a peculiar phrase...\I understand the situation. response:	You can leave.
context: Promise?! You really will consider it?\Well, I'll be getting back...\Ledo, I'm grateful to you for protecting Bellows's ship.\Bye!\Thank you so much!\Such a peculiar phrase...\I understand the situation.\You can leave. response:	I never did like them,
context: Well, I'll be getting back...\Ledo, I'm grateful to you for protecting Bellows's ship.\Bye!\Thank you so much!\Such a peculiar phrase...\I understand the situation.\You can leave.\I never did like them, response:	but I didn't think they'd dare mess with us like this.
context: Ledo, I'm grateful to you for protecting Bellows's ship.\Bye!\Thank you so much!\Such a peculiar phrase...\I understand the situation.\You can leave.\I never did like them,\but I didn't think they'd dare mess with us like this. response:	Captain, that flying Yunboro worries me...
context: Bye!\Thank you so much!\Such a peculiar phrase...\I understand the situation.\You can leave.\I never did like them,\but I didn't think they'd dare mess with us like this.\Captain, that flying Yunboro worries me... response:	Marocchi...
context: Thank you so much!\Such a peculiar phrase...\I understand the situation.\You can leave.\I never did like them,\but I didn't think they'd dare mess with us like this.\Captain, that flying Yunboro worries me...\Marocchi... response:	Making a fuss over a little incident like that only makes them cockier.
context: Such a peculiar phrase...\I understand the situation.\You can leave.\I never did like them,\but I didn't think they'd dare mess with us like this.\Captain, that flying Yunboro worries me...\Marocchi...\Making a fuss over a little incident like that only makes them cockier. response:	Yes, sir...
context: I understand the situation.\You can leave.\I never did like them,\but I didn't think they'd dare mess with us like this.\Captain, that flying Yunboro worries me...\Marocchi...\Making a fuss over a little incident like that only makes them cockier.\Yes, sir... response:	And what happens to those who would get cocky with us?
context: You can leave.\I never did like them,\but I didn't think they'd dare mess with us like this.\Captain, that flying Yunboro worries me...\Marocchi...\Making a fuss over a little incident like that only makes them cockier.\Yes, sir...\And what happens to those who would get cocky with us? response:	No matter what secret weapon they may have, they're no match for me.
context: I never did like them,\but I didn't think they'd dare mess with us like this.\Captain, that flying Yunboro worries me...\Marocchi...\Making a fuss over a little incident like that only makes them cockier.\Yes, sir...\And what happens to those who would get cocky with us?\No matter what secret weapon they may have, they're no match for me. response:	Captain, fleet at 3 o'clock... and there's a ton of ships!
context: but I didn't think they'd dare mess with us like this.\Captain, that flying Yunboro worries me...\Marocchi...\Making a fuss over a little incident like that only makes them cockier.\Yes, sir...\And what happens to those who would get cocky with us?\No matter what secret weapon they may have, they're no match for me.\Captain, fleet at 3 o'clock... and there's a ton of ships! response:	What?!
context: Captain, that flying Yunboro worries me...\Marocchi...\Making a fuss over a little incident like that only makes them cockier.\Yes, sir...\And what happens to those who would get cocky with us?\No matter what secret weapon they may have, they're no match for me.\Captain, fleet at 3 o'clock... and there's a ton of ships!\What?! response:	Those are pirates!
context: Marocchi...\Making a fuss over a little incident like that only makes them cockier.\Yes, sir...\And what happens to those who would get cocky with us?\No matter what secret weapon they may have, they're no match for me.\Captain, fleet at 3 o'clock... and there's a ton of ships!\What?!\Those are pirates! response:	Commander Worm, incoming message from the cargo ship Atuy!
context: Making a fuss over a little incident like that only makes them cockier.\Yes, sir...\And what happens to those who would get cocky with us?\No matter what secret weapon they may have, they're no match for me.\Captain, fleet at 3 o'clock... and there's a ton of ships!\What?!\Those are pirates!\Commander Worm, incoming message from the cargo ship Atuy! response:	They've spotted a large pirate fleet in neighboring waters!
context: Yes, sir...\And what happens to those who would get cocky with us?\No matter what secret weapon they may have, they're no match for me.\Captain, fleet at 3 o'clock... and there's a ton of ships!\What?!\Those are pirates!\Commander Worm, incoming message from the cargo ship Atuy!\They've spotted a large pirate fleet in neighboring waters! response:	So they're here?
context: And what happens to those who would get cocky with us?\No matter what secret weapon they may have, they're no match for me.\Captain, fleet at 3 o'clock... and there's a ton of ships!\What?!\Those are pirates!\Commander Worm, incoming message from the cargo ship Atuy!\They've spotted a large pirate fleet in neighboring waters!\So they're here? response:	They wish to interlock with our fleet for emergency shelter.
context: No matter what secret weapon they may have, they're no match for me.\Captain, fleet at 3 o'clock... and there's a ton of ships!\What?!\Those are pirates!\Commander Worm, incoming message from the cargo ship Atuy!\They've spotted a large pirate fleet in neighboring waters!\So they're here?\They wish to interlock with our fleet for emergency shelter. response:	He said the pirate fleet has at least 30 ships.
