context: It's not here either. response:	We may not be able to find it.
context: Um... if this evidence is lost, th-the investigation will...\Um... something really bad will happen to it! So cooperate with the police investigation!\Please, grant me mercy!\Grant me salvation!\O'Neill, I came here to ask you something!\Look at this. It's the tip you gave me.\I need to know more about the guy you said is working with the smuggler...\The patient is in pain. Stop it. response:	It's just a hangover.
context: Um... something really bad will happen to it! So cooperate with the police investigation!\Please, grant me mercy!\Grant me salvation!\O'Neill, I came here to ask you something!\Look at this. It's the tip you gave me.\I need to know more about the guy you said is working with the smuggler...\The patient is in pain. Stop it.\It's just a hangover. response:	Hey! Look at this!
context: Please, grant me mercy!\Grant me salvation!\O'Neill, I came here to ask you something!\Look at this. It's the tip you gave me.\I need to know more about the guy you said is working with the smuggler...\The patient is in pain. Stop it.\It's just a hangover.\Hey! Look at this! response:	Is this the guy who you saw with the smuggler?
context: Grant me salvation!\O'Neill, I came here to ask you something!\Look at this. It's the tip you gave me.\I need to know more about the guy you said is working with the smuggler...\The patient is in pain. Stop it.\It's just a hangover.\Hey! Look at this!\Is this the guy who you saw with the smuggler? response:	If I tell you, will I be able to go to heaven?
context: O'Neill, I came here to ask you something!\Look at this. It's the tip you gave me.\I need to know more about the guy you said is working with the smuggler...\The patient is in pain. Stop it.\It's just a hangover.\Hey! Look at this!\Is this the guy who you saw with the smuggler?\If I tell you, will I be able to go to heaven? response:	In first class?
context: Look at this. It's the tip you gave me.\I need to know more about the guy you said is working with the smuggler...\The patient is in pain. Stop it.\It's just a hangover.\Hey! Look at this!\Is this the guy who you saw with the smuggler?\If I tell you, will I be able to go to heaven?\In first class? response:	Yeah. With all the expensive wine and cognac you can drink!
context: I need to know more about the guy you said is working with the smuggler...\The patient is in pain. Stop it.\It's just a hangover.\Hey! Look at this!\Is this the guy who you saw with the smuggler?\If I tell you, will I be able to go to heaven?\In first class?\Yeah. With all the expensive wine and cognac you can drink! response:	I never want to drink another drop of alcohol!
context: The patient is in pain. Stop it.\It's just a hangover.\Hey! Look at this!\Is this the guy who you saw with the smuggler?\If I tell you, will I be able to go to heaven?\In first class?\Yeah. With all the expensive wine and cognac you can drink!\I never want to drink another drop of alcohol! response:	Answer me, you hungover asshole!
context: It's just a hangover.\Hey! Look at this!\Is this the guy who you saw with the smuggler?\If I tell you, will I be able to go to heaven?\In first class?\Yeah. With all the expensive wine and cognac you can drink!\I never want to drink another drop of alcohol!\Answer me, you hungover asshole! response:	Detective!
context: Hey! Look at this!\Is this the guy who you saw with the smuggler?\If I tell you, will I be able to go to heaven?\In first class?\Yeah. With all the expensive wine and cognac you can drink!\I never want to drink another drop of alcohol!\Answer me, you hungover asshole!\Detective! response:	He's hyperventilating!
context: Is this the guy who you saw with the smuggler?\If I tell you, will I be able to go to heaven?\In first class?\Yeah. With all the expensive wine and cognac you can drink!\I never want to drink another drop of alcohol!\Answer me, you hungover asshole!\Detective!\He's hyperventilating! response:	Mr. O'Neill!
context: If I tell you, will I be able to go to heaven?\In first class?\Yeah. With all the expensive wine and cognac you can drink!\I never want to drink another drop of alcohol!\Answer me, you hungover asshole!\Detective!\He's hyperventilating!\Mr. O'Neill! response:	Calm down, Mr. O'Neill! Everything will be fine!
context: In first class?\Yeah. With all the expensive wine and cognac you can drink!\I never want to drink another drop of alcohol!\Answer me, you hungover asshole!\Detective!\He's hyperventilating!\Mr. O'Neill!\Calm down, Mr. O'Neill! Everything will be fine! response:	Shit.
context: Yeah. With all the expensive wine and cognac you can drink!\I never want to drink another drop of alcohol!\Answer me, you hungover asshole!\Detective!\He's hyperventilating!\Mr. O'Neill!\Calm down, Mr. O'Neill! Everything will be fine!\Shit. response:	He's gone.
context: I never want to drink another drop of alcohol!\Answer me, you hungover asshole!\Detective!\He's hyperventilating!\Mr. O'Neill!\Calm down, Mr. O'Neill! Everything will be fine!\Shit.\He's gone. response:	Kenny, do you know the girl O'Neill went on a date with a few days ago?
context: Answer me, you hungover asshole!\Detective!\He's hyperventilating!\Mr. O'Neill!\Calm down, Mr. O'Neill! Everything will be fine!\Shit.\He's gone.\Kenny, do you know the girl O'Neill went on a date with a few days ago? response:	She may have seen the smuggler.
context: Detective!\He's hyperventilating!\Mr. O'Neill!\Calm down, Mr. O'Neill! Everything will be fine!\Shit.\He's gone.\Kenny, do you know the girl O'Neill went on a date with a few days ago?\She may have seen the smuggler. response:	That would be the SM queen you just saw.
context: He's hyperventilating!\Mr. O'Neill!\Calm down, Mr. O'Neill! Everything will be fine!\Shit.\He's gone.\Kenny, do you know the girl O'Neill went on a date with a few days ago?\She may have seen the smuggler.\That would be the SM queen you just saw. response:	The one in the kitchen.
context: Mr. O'Neill!\Calm down, Mr. O'Neill! Everything will be fine!\Shit.\He's gone.\Kenny, do you know the girl O'Neill went on a date with a few days ago?\She may have seen the smuggler.\That would be the SM queen you just saw.\The one in the kitchen. response:	She had her head stuck in the fridge, right?
context: Calm down, Mr. O'Neill! Everything will be fine!\Shit.\He's gone.\Kenny, do you know the girl O'Neill went on a date with a few days ago?\She may have seen the smuggler.\That would be the SM queen you just saw.\The one in the kitchen.\She had her head stuck in the fridge, right? response:	Did she?
context: Shit.\He's gone.\Kenny, do you know the girl O'Neill went on a date with a few days ago?\She may have seen the smuggler.\That would be the SM queen you just saw.\The one in the kitchen.\She had her head stuck in the fridge, right?\Did she? response:	My name is Cecil Epps.
context: He's gone.\Kenny, do you know the girl O'Neill went on a date with a few days ago?\She may have seen the smuggler.\That would be the SM queen you just saw.\The one in the kitchen.\She had her head stuck in the fridge, right?\Did she?\My name is Cecil Epps. response:	Well, it looks real to me.
context: Kenny, do you know the girl O'Neill went on a date with a few days ago?\She may have seen the smuggler.\That would be the SM queen you just saw.\The one in the kitchen.\She had her head stuck in the fridge, right?\Did she?\My name is Cecil Epps.\Well, it looks real to me. response:	Not that I've never seen one.
context: She may have seen the smuggler.\That would be the SM queen you just saw.\The one in the kitchen.\She had her head stuck in the fridge, right?\Did she?\My name is Cecil Epps.\Well, it looks real to me.\Not that I've never seen one. response:	So, what's your address, Miss Epps?
context: That would be the SM queen you just saw.\The one in the kitchen.\She had her head stuck in the fridge, right?\Did she?\My name is Cecil Epps.\Well, it looks real to me.\Not that I've never seen one.\So, what's your address, Miss Epps? response:	172 Caster Street.
context: The one in the kitchen.\She had her head stuck in the fridge, right?\Did she?\My name is Cecil Epps.\Well, it looks real to me.\Not that I've never seen one.\So, what's your address, Miss Epps?\172 Caster Street. response:	Hunter Waste Management handles that area, so...
context: She had her head stuck in the fridge, right?\Did she?\My name is Cecil Epps.\Well, it looks real to me.\Not that I've never seen one.\So, what's your address, Miss Epps?\172 Caster Street.\Hunter Waste Management handles that area, so... response:	It's truck number 3. Right over there.
context: Did she?\My name is Cecil Epps.\Well, it looks real to me.\Not that I've never seen one.\So, what's your address, Miss Epps?\172 Caster Street.\Hunter Waste Management handles that area, so...\It's truck number 3. Right over there. response:	In front of the WCT.
context: My name is Cecil Epps.\Well, it looks real to me.\Not that I've never seen one.\So, what's your address, Miss Epps?\172 Caster Street.\Hunter Waste Management handles that area, so...\It's truck number 3. Right over there.\In front of the WCT. response:	WCT?
context: Well, it looks real to me.\Not that I've never seen one.\So, what's your address, Miss Epps?\172 Caster Street.\Hunter Waste Management handles that area, so...\It's truck number 3. Right over there.\In front of the WCT.\WCT? response:	The waste disposal terminal.
context: Not that I've never seen one.\So, what's your address, Miss Epps?\172 Caster Street.\Hunter Waste Management handles that area, so...\It's truck number 3. Right over there.\In front of the WCT.\WCT?\The waste disposal terminal. response:	Everything we collect is dumped in there.
context: So, what's your address, Miss Epps?\172 Caster Street.\Hunter Waste Management handles that area, so...\It's truck number 3. Right over there.\In front of the WCT.\WCT?\The waste disposal terminal.\Everything we collect is dumped in there. response:	Oh, no!
context: 172 Caster Street.\Hunter Waste Management handles that area, so...\It's truck number 3. Right over there.\In front of the WCT.\WCT?\The waste disposal terminal.\Everything we collect is dumped in there.\Oh, no! response:	Wait! Stop! Stop!
context: Hunter Waste Management handles that area, so...\It's truck number 3. Right over there.\In front of the WCT.\WCT?\The waste disposal terminal.\Everything we collect is dumped in there.\Oh, no!\Wait! Stop! Stop! response:	Stop it! Stop it!
context: It's truck number 3. Right over there.\In front of the WCT.\WCT?\The waste disposal terminal.\Everything we collect is dumped in there.\Oh, no!\Wait! Stop! Stop!\Stop it! Stop it! response:	What?
context: In front of the WCT.\WCT?\The waste disposal terminal.\Everything we collect is dumped in there.\Oh, no!\Wait! Stop! Stop!\Stop it! Stop it!\What? response:	Oh, jeez!
context: WCT?\The waste disposal terminal.\Everything we collect is dumped in there.\Oh, no!\Wait! Stop! Stop!\Stop it! Stop it!\What?\Oh, jeez! response:	Tilarna?
context: The waste disposal terminal.\Everything we collect is dumped in there.\Oh, no!\Wait! Stop! Stop!\Stop it! Stop it!\What?\Oh, jeez!\Tilarna? response:	Chief, it's me. Matoba.
context: Everything we collect is dumped in there.\Oh, no!\Wait! Stop! Stop!\Stop it! Stop it!\What?\Oh, jeez!\Tilarna?\Chief, it's me. Matoba. response:	About Hellmandes with the CBP...
context: Oh, no!\Wait! Stop! Stop!\Stop it! Stop it!\What?\Oh, jeez!\Tilarna?\Chief, it's me. Matoba.\About Hellmandes with the CBP... response:	I just got another call from the man.
context: Wait! Stop! Stop!\Stop it! Stop it!\What?\Oh, jeez!\Tilarna?\Chief, it's me. Matoba.\About Hellmandes with the CBP...\I just got another call from the man. response:	So you did get in a fight with him.
context: Stop it! Stop it!\What?\Oh, jeez!\Tilarna?\Chief, it's me. Matoba.\About Hellmandes with the CBP...\I just got another call from the man.\So you did get in a fight with him. response:	Just now?
context: What?\Oh, jeez!\Tilarna?\Chief, it's me. Matoba.\About Hellmandes with the CBP...\I just got another call from the man.\So you did get in a fight with him.\Just now? response:	Something about you not picking up the phone, and whether or not you were at home.
context: Oh, jeez!\Tilarna?\Chief, it's me. Matoba.\About Hellmandes with the CBP...\I just got another call from the man.\So you did get in a fight with him.\Just now?\Something about you not picking up the phone, and whether or not you were at home. response:	Hey, are you listening, Matoba?
context: Tilarna?\Chief, it's me. Matoba.\About Hellmandes with the CBP...\I just got another call from the man.\So you did get in a fight with him.\Just now?\Something about you not picking up the phone, and whether or not you were at home.\Hey, are you listening, Matoba? response:	Which means...
context: Chief, it's me. Matoba.\About Hellmandes with the CBP...\I just got another call from the man.\So you did get in a fight with him.\Just now?\Something about you not picking up the phone, and whether or not you were at home.\Hey, are you listening, Matoba?\Which means... response:	Sorry, Chief! I'll call you back!
context: About Hellmandes with the CBP...\I just got another call from the man.\So you did get in a fight with him.\Just now?\Something about you not picking up the phone, and whether or not you were at home.\Hey, are you listening, Matoba?\Which means...\Sorry, Chief! I'll call you back! response:	Cecil?
context: I just got another call from the man.\So you did get in a fight with him.\Just now?\Something about you not picking up the phone, and whether or not you were at home.\Hey, are you listening, Matoba?\Which means...\Sorry, Chief! I'll call you back!\Cecil? response:	I'm sorry, Kei...
context: So you did get in a fight with him.\Just now?\Something about you not picking up the phone, and whether or not you were at home.\Hey, are you listening, Matoba?\Which means...\Sorry, Chief! I'll call you back!\Cecil?\I'm sorry, Kei... response:	We need to talk about Tilarna...
context: Just now?\Something about you not picking up the phone, and whether or not you were at home.\Hey, are you listening, Matoba?\Which means...\Sorry, Chief! I'll call you back!\Cecil?\I'm sorry, Kei...\We need to talk about Tilarna... response:	What happened?
context: Something about you not picking up the phone, and whether or not you were at home.\Hey, are you listening, Matoba?\Which means...\Sorry, Chief! I'll call you back!\Cecil?\I'm sorry, Kei...\We need to talk about Tilarna...\What happened? response:	So Tilarna and Kuroi switched bodies?
context: Hey, are you listening, Matoba?\Which means...\Sorry, Chief! I'll call you back!\Cecil?\I'm sorry, Kei...\We need to talk about Tilarna...\What happened?\So Tilarna and Kuroi switched bodies? response:	Okay. Magic, huh? I believe it.
context: Which means...\Sorry, Chief! I'll call you back!\Cecil?\I'm sorry, Kei...\We need to talk about Tilarna...\What happened?\So Tilarna and Kuroi switched bodies?\Okay. Magic, huh? I believe it. response:	So right now it's Tilarna, or rather Kuroi, who's at my house?
context: Sorry, Chief! I'll call you back!\Cecil?\I'm sorry, Kei...\We need to talk about Tilarna...\What happened?\So Tilarna and Kuroi switched bodies?\Okay. Magic, huh? I believe it.\So right now it's Tilarna, or rather Kuroi, who's at my house? response:	-That's dangerous. -Dangerous?
context: Cecil?\I'm sorry, Kei...\We need to talk about Tilarna...\What happened?\So Tilarna and Kuroi switched bodies?\Okay. Magic, huh? I believe it.\So right now it's Tilarna, or rather Kuroi, who's at my house?\-That's dangerous. -Dangerous? response:	I need to hurry. Cecil, I'll call you back.
context: I'm sorry, Kei...\We need to talk about Tilarna...\What happened?\So Tilarna and Kuroi switched bodies?\Okay. Magic, huh? I believe it.\So right now it's Tilarna, or rather Kuroi, who's at my house?\-That's dangerous. -Dangerous?\I need to hurry. Cecil, I'll call you back. response:	Wait, Kei!
context: We need to talk about Tilarna...\What happened?\So Tilarna and Kuroi switched bodies?\Okay. Magic, huh? I believe it.\So right now it's Tilarna, or rather Kuroi, who's at my house?\-That's dangerous. -Dangerous?\I need to hurry. Cecil, I'll call you back.\Wait, Kei! response:	Kuroi's body, here at the dump, is...
context: What happened?\So Tilarna and Kuroi switched bodies?\Okay. Magic, huh? I believe it.\So right now it's Tilarna, or rather Kuroi, who's at my house?\-That's dangerous. -Dangerous?\I need to hurry. Cecil, I'll call you back.\Wait, Kei!\Kuroi's body, here at the dump, is... response:	I tried to stop her, but...
context: So Tilarna and Kuroi switched bodies?\Okay. Magic, huh? I believe it.\So right now it's Tilarna, or rather Kuroi, who's at my house?\-That's dangerous. -Dangerous?\I need to hurry. Cecil, I'll call you back.\Wait, Kei!\Kuroi's body, here at the dump, is...\I tried to stop her, but... response:	Don't worry about that.
context: Okay. Magic, huh? I believe it.\So right now it's Tilarna, or rather Kuroi, who's at my house?\-That's dangerous. -Dangerous?\I need to hurry. Cecil, I'll call you back.\Wait, Kei!\Kuroi's body, here at the dump, is...\I tried to stop her, but...\Don't worry about that. response:	It's Tilarna, right? So I'm sure she's fine.
context: So right now it's Tilarna, or rather Kuroi, who's at my house?\-That's dangerous. -Dangerous?\I need to hurry. Cecil, I'll call you back.\Wait, Kei!\Kuroi's body, here at the dump, is...\I tried to stop her, but...\Don't worry about that.\It's Tilarna, right? So I'm sure she's fine. response:	Bye.
context: -That's dangerous. -Dangerous?\I need to hurry. Cecil, I'll call you back.\Wait, Kei!\Kuroi's body, here at the dump, is...\I tried to stop her, but...\Don't worry about that.\It's Tilarna, right? So I'm sure she's fine.\Bye. response:	I found it. There's the cat!
context: I need to hurry. Cecil, I'll call you back.\Wait, Kei!\Kuroi's body, here at the dump, is...\I tried to stop her, but...\Don't worry about that.\It's Tilarna, right? So I'm sure she's fine.\Bye.\I found it. There's the cat! response:	Tilarna!
context: Wait, Kei!\Kuroi's body, here at the dump, is...\I tried to stop her, but...\Don't worry about that.\It's Tilarna, right? So I'm sure she's fine.\Bye.\I found it. There's the cat!\Tilarna! response:	Smell it. The smell of latena.
context: Kuroi's body, here at the dump, is...\I tried to stop her, but...\Don't worry about that.\It's Tilarna, right? So I'm sure she's fine.\Bye.\I found it. There's the cat!\Tilarna!\Smell it. The smell of latena. response:	Don't use your nose. Use your heart.
context: I tried to stop her, but...\Don't worry about that.\It's Tilarna, right? So I'm sure she's fine.\Bye.\I found it. There's the cat!\Tilarna!\Smell it. The smell of latena.\Don't use your nose. Use your heart. response:	There it is!
context: Don't worry about that.\It's Tilarna, right? So I'm sure she's fine.\Bye.\I found it. There's the cat!\Tilarna!\Smell it. The smell of latena.\Don't use your nose. Use your heart.\There it is! response:	It's over...
context: It's Tilarna, right? So I'm sure she's fine.\Bye.\I found it. There's the cat!\Tilarna!\Smell it. The smell of latena.\Don't use your nose. Use your heart.\There it is!\It's over... response:	Damn it...
context: Bye.\I found it. There's the cat!\Tilarna!\Smell it. The smell of latena.\Don't use your nose. Use your heart.\There it is!\It's over...\Damn it... response:	Give me the damn crossbow!
context: I found it. There's the cat!\Tilarna!\Smell it. The smell of latena.\Don't use your nose. Use your heart.\There it is!\It's over...\Damn it...\Give me the damn crossbow! response:	My life is on the line here!
context: Tilarna!\Smell it. The smell of latena.\Don't use your nose. Use your heart.\There it is!\It's over...\Damn it...\Give me the damn crossbow!\My life is on the line here! response:	This is...
context: Smell it. The smell of latena.\Don't use your nose. Use your heart.\There it is!\It's over...\Damn it...\Give me the damn crossbow!\My life is on the line here!\This is... response:	Thank you, God!
context: Don't use your nose. Use your heart.\There it is!\It's over...\Damn it...\Give me the damn crossbow!\My life is on the line here!\This is...\Thank you, God! response:	Thank you, God! Thank you, God!
context: There it is!\It's over...\Damn it...\Give me the damn crossbow!\My life is on the line here!\This is...\Thank you, God!\Thank you, God! Thank you, God! response:	You can't get out of this by pretending you're crazy-
context: It's over...\Damn it...\Give me the damn crossbow!\My life is on the line here!\This is...\Thank you, God!\Thank you, God! Thank you, God!\You can't get out of this by pretending you're crazy- response:	Don't touch me.
context: Damn it...\Give me the damn crossbow!\My life is on the line here!\This is...\Thank you, God!\Thank you, God! Thank you, God!\You can't get out of this by pretending you're crazy-\Don't touch me. response:	What?
context: Give me the damn crossbow!\My life is on the line here!\This is...\Thank you, God!\Thank you, God! Thank you, God!\You can't get out of this by pretending you're crazy-\Don't touch me.\What? response:	You saw, didn't you?
context: My life is on the line here!\This is...\Thank you, God!\Thank you, God! Thank you, God!\You can't get out of this by pretending you're crazy-\Don't touch me.\What?\You saw, didn't you? response:	Saw what?
context: This is...\Thank you, God!\Thank you, God! Thank you, God!\You can't get out of this by pretending you're crazy-\Don't touch me.\What?\You saw, didn't you?\Saw what? response:	I don't know what's going on here, but you're in for a world of pain!
context: Thank you, God!\Thank you, God! Thank you, God!\You can't get out of this by pretending you're crazy-\Don't touch me.\What?\You saw, didn't you?\Saw what?\I don't know what's going on here, but you're in for a world of pain! response:	-D-Don't hurt me! -Shut up!
context: Thank you, God! Thank you, God!\You can't get out of this by pretending you're crazy-\Don't touch me.\What?\You saw, didn't you?\Saw what?\I don't know what's going on here, but you're in for a world of pain!\-D-Don't hurt me! -Shut up! response:	-I just wanted to make some money... -I don't care!
context: You can't get out of this by pretending you're crazy-\Don't touch me.\What?\You saw, didn't you?\Saw what?\I don't know what's going on here, but you're in for a world of pain!\-D-Don't hurt me! -Shut up!\-I just wanted to make some money... -I don't care! response:	Mercy!
context: Don't touch me.\What?\You saw, didn't you?\Saw what?\I don't know what's going on here, but you're in for a world of pain!\-D-Don't hurt me! -Shut up!\-I just wanted to make some money... -I don't care!\Mercy! response:	No mercy!
context: What?\You saw, didn't you?\Saw what?\I don't know what's going on here, but you're in for a world of pain!\-D-Don't hurt me! -Shut up!\-I just wanted to make some money... -I don't care!\Mercy!\No mercy! response:	Please don't...
context: You saw, didn't you?\Saw what?\I don't know what's going on here, but you're in for a world of pain!\-D-Don't hurt me! -Shut up!\-I just wanted to make some money... -I don't care!\Mercy!\No mercy!\Please don't... response:	You're going to die like a bug, with no dignity at all...
context: Saw what?\I don't know what's going on here, but you're in for a world of pain!\-D-Don't hurt me! -Shut up!\-I just wanted to make some money... -I don't care!\Mercy!\No mercy!\Please don't...\You're going to die like a bug, with no dignity at all... response:	Curses of Beyadah upon you!
context: I don't know what's going on here, but you're in for a world of pain!\-D-Don't hurt me! -Shut up!\-I just wanted to make some money... -I don't care!\Mercy!\No mercy!\Please don't...\You're going to die like a bug, with no dignity at all...\Curses of Beyadah upon you! response:	Hey, don't kill him!
context: -D-Don't hurt me! -Shut up!\-I just wanted to make some money... -I don't care!\Mercy!\No mercy!\Please don't...\You're going to die like a bug, with no dignity at all...\Curses of Beyadah upon you!\Hey, don't kill him! response:	That's you, right, Tilarna?
context: -I just wanted to make some money... -I don't care!\Mercy!\No mercy!\Please don't...\You're going to die like a bug, with no dignity at all...\Curses of Beyadah upon you!\Hey, don't kill him!\That's you, right, Tilarna? response:	You're back?
context: Mercy!\No mercy!\Please don't...\You're going to die like a bug, with no dignity at all...\Curses of Beyadah upon you!\Hey, don't kill him!\That's you, right, Tilarna?\You're back? response:	Kei?
context: No mercy!\Please don't...\You're going to die like a bug, with no dignity at all...\Curses of Beyadah upon you!\Hey, don't kill him!\That's you, right, Tilarna?\You're back?\Kei? response:	My life... my life...
context: Please don't...\You're going to die like a bug, with no dignity at all...\Curses of Beyadah upon you!\Hey, don't kill him!\That's you, right, Tilarna?\You're back?\Kei?\My life... my life... response:	What a mess.
context: You're going to die like a bug, with no dignity at all...\Curses of Beyadah upon you!\Hey, don't kill him!\That's you, right, Tilarna?\You're back?\Kei?\My life... my life...\What a mess. response:	Clean this up.
context: Curses of Beyadah upon you!\Hey, don't kill him!\That's you, right, Tilarna?\You're back?\Kei?\My life... my life...\What a mess.\Clean this up. response:	That weird crossbow only activated because you were careless, right?
context: Hey, don't kill him!\That's you, right, Tilarna?\You're back?\Kei?\My life... my life...\What a mess.\Clean this up.\That weird crossbow only activated because you were careless, right? response:	Shut up!
context: That's you, right, Tilarna?\You're back?\Kei?\My life... my life...\What a mess.\Clean this up.\That weird crossbow only activated because you were careless, right?\Shut up! response:	What's wrong with you?
context: You're back?\Kei?\My life... my life...\What a mess.\Clean this up.\That weird crossbow only activated because you were careless, right?\Shut up!\What's wrong with you? response:	This morning I was trying my best to get your help,
context: Kei?\My life... my life...\What a mess.\Clean this up.\That weird crossbow only activated because you were careless, right?\Shut up!\What's wrong with you?\This morning I was trying my best to get your help, response:	and you left without figuring out a thing!
context: My life... my life...\What a mess.\Clean this up.\That weird crossbow only activated because you were careless, right?\Shut up!\What's wrong with you?\This morning I was trying my best to get your help,\and you left without figuring out a thing! response:	How was I supposed to know you'd swapped bodies with Kuroi?
context: What a mess.\Clean this up.\That weird crossbow only activated because you were careless, right?\Shut up!\What's wrong with you?\This morning I was trying my best to get your help,\and you left without figuring out a thing!\How was I supposed to know you'd swapped bodies with Kuroi? response:	B-But...
context: Clean this up.\That weird crossbow only activated because you were careless, right?\Shut up!\What's wrong with you?\This morning I was trying my best to get your help,\and you left without figuring out a thing!\How was I supposed to know you'd swapped bodies with Kuroi?\B-But... response:	Having you all over me dressed like that first thing in the morning was freaking me out.
context: That weird crossbow only activated because you were careless, right?\Shut up!\What's wrong with you?\This morning I was trying my best to get your help,\and you left without figuring out a thing!\How was I supposed to know you'd swapped bodies with Kuroi?\B-But...\Having you all over me dressed like that first thing in the morning was freaking me out. response:	I wanted to get out of there.
