context: July 15th (Thurs) 10:43 AM response:	Who is that? I've never seen him before.
context: I have no idea what that's about,\but I guess everyone has strange concerns and fears.\But it seems like he's safe to allow into the house.\Though there was that incident with the Janken kid, too...\Just in case, I'll write in that he can't attack me.\Huh? Did I do something just now?\No. Please, come in. Let's discuss the job.\Is something the matter? response:	The room that caught fire is the one facing the yard.
context: but I guess everyone has strange concerns and fears.\But it seems like he's safe to allow into the house.\Though there was that incident with the Janken kid, too...\Just in case, I'll write in that he can't attack me.\Huh? Did I do something just now?\No. Please, come in. Let's discuss the job.\Is something the matter?\The room that caught fire is the one facing the yard. response:	If you don't come in, we can't discuss what to do about it.
context: But it seems like he's safe to allow into the house.\Though there was that incident with the Janken kid, too...\Just in case, I'll write in that he can't attack me.\Huh? Did I do something just now?\No. Please, come in. Let's discuss the job.\Is something the matter?\The room that caught fire is the one facing the yard.\If you don't come in, we can't discuss what to do about it. response:	Oh, please, go ahead. I'll follow you.
context: Though there was that incident with the Janken kid, too...\Just in case, I'll write in that he can't attack me.\Huh? Did I do something just now?\No. Please, come in. Let's discuss the job.\Is something the matter?\The room that caught fire is the one facing the yard.\If you don't come in, we can't discuss what to do about it.\Oh, please, go ahead. I'll follow you. response:	Huh?
context: Just in case, I'll write in that he can't attack me.\Huh? Did I do something just now?\No. Please, come in. Let's discuss the job.\Is something the matter?\The room that caught fire is the one facing the yard.\If you don't come in, we can't discuss what to do about it.\Oh, please, go ahead. I'll follow you.\Huh? response:	Now, please, go ahead.
context: Huh? Did I do something just now?\No. Please, come in. Let's discuss the job.\Is something the matter?\The room that caught fire is the one facing the yard.\If you don't come in, we can't discuss what to do about it.\Oh, please, go ahead. I'll follow you.\Huh?\Now, please, go ahead. response:	July 15th (Thurs) 9:06 AM
context: No. Please, come in. Let's discuss the job.\Is something the matter?\The room that caught fire is the one facing the yard.\If you don't come in, we can't discuss what to do about it.\Oh, please, go ahead. I'll follow you.\Huh?\Now, please, go ahead.\July 15th (Thurs) 9:06 AM response:	Episode 32 July 15th (Thurs), Part 2
context: Is something the matter?\The room that caught fire is the one facing the yard.\If you don't come in, we can't discuss what to do about it.\Oh, please, go ahead. I'll follow you.\Huh?\Now, please, go ahead.\July 15th (Thurs) 9:06 AM\Episode 32 July 15th (Thurs), Part 2 response:	Of course I can escape, and rather easily.
context: The room that caught fire is the one facing the yard.\If you don't come in, we can't discuss what to do about it.\Oh, please, go ahead. I'll follow you.\Huh?\Now, please, go ahead.\July 15th (Thurs) 9:06 AM\Episode 32 July 15th (Thurs), Part 2\Of course I can escape, and rather easily. response:	You guys haven't even been able to find Yoshikage Kira, have you?
context: If you don't come in, we can't discuss what to do about it.\Oh, please, go ahead. I'll follow you.\Huh?\Now, please, go ahead.\July 15th (Thurs) 9:06 AM\Episode 32 July 15th (Thurs), Part 2\Of course I can escape, and rather easily.\You guys haven't even been able to find Yoshikage Kira, have you? response:	You guys haven't seen my face.
context: Oh, please, go ahead. I'll follow you.\Huh?\Now, please, go ahead.\July 15th (Thurs) 9:06 AM\Episode 32 July 15th (Thurs), Part 2\Of course I can escape, and rather easily.\You guys haven't even been able to find Yoshikage Kira, have you?\You guys haven't seen my face. response:	Doesn't my name seem fake, too?
context: Huh?\Now, please, go ahead.\July 15th (Thurs) 9:06 AM\Episode 32 July 15th (Thurs), Part 2\Of course I can escape, and rather easily.\You guys haven't even been able to find Yoshikage Kira, have you?\You guys haven't seen my face.\Doesn't my name seem fake, too? response:	I mean, it's Toyohiro Kanedaichi.
context: Now, please, go ahead.\July 15th (Thurs) 9:06 AM\Episode 32 July 15th (Thurs), Part 2\Of course I can escape, and rather easily.\You guys haven't even been able to find Yoshikage Kira, have you?\You guys haven't seen my face.\Doesn't my name seem fake, too?\I mean, it's Toyohiro Kanedaichi. response:	Wh-What the hell?
context: July 15th (Thurs) 9:06 AM\Episode 32 July 15th (Thurs), Part 2\Of course I can escape, and rather easily.\You guys haven't even been able to find Yoshikage Kira, have you?\You guys haven't seen my face.\Doesn't my name seem fake, too?\I mean, it's Toyohiro Kanedaichi.\Wh-What the hell? response:	Are you wearing something over your face?
context: Episode 32 July 15th (Thurs), Part 2\Of course I can escape, and rather easily.\You guys haven't even been able to find Yoshikage Kira, have you?\You guys haven't seen my face.\Doesn't my name seem fake, too?\I mean, it's Toyohiro Kanedaichi.\Wh-What the hell?\Are you wearing something over your face? response:	The fact that I thought about leaving here
context: Of course I can escape, and rather easily.\You guys haven't even been able to find Yoshikage Kira, have you?\You guys haven't seen my face.\Doesn't my name seem fake, too?\I mean, it's Toyohiro Kanedaichi.\Wh-What the hell?\Are you wearing something over your face?\The fact that I thought about leaving here response:	means I also planned on getting away.
context: You guys haven't even been able to find Yoshikage Kira, have you?\You guys haven't seen my face.\Doesn't my name seem fake, too?\I mean, it's Toyohiro Kanedaichi.\Wh-What the hell?\Are you wearing something over your face?\The fact that I thought about leaving here\means I also planned on getting away. response:	Well, I'll be leaving now.
context: You guys haven't seen my face.\Doesn't my name seem fake, too?\I mean, it's Toyohiro Kanedaichi.\Wh-What the hell?\Are you wearing something over your face?\The fact that I thought about leaving here\means I also planned on getting away.\Well, I'll be leaving now. response:	Y-You bastard!
context: Doesn't my name seem fake, too?\I mean, it's Toyohiro Kanedaichi.\Wh-What the hell?\Are you wearing something over your face?\The fact that I thought about leaving here\means I also planned on getting away.\Well, I'll be leaving now.\Y-You bastard! response:	Please don't come in, Josuke.
context: I mean, it's Toyohiro Kanedaichi.\Wh-What the hell?\Are you wearing something over your face?\The fact that I thought about leaving here\means I also planned on getting away.\Well, I'll be leaving now.\Y-You bastard!\Please don't come in, Josuke. response:	I'll remain with this pylon.
context: Wh-What the hell?\Are you wearing something over your face?\The fact that I thought about leaving here\means I also planned on getting away.\Well, I'll be leaving now.\Y-You bastard!\Please don't come in, Josuke.\I'll remain with this pylon. response:	What?! What the hell are you talking about?
context: Are you wearing something over your face?\The fact that I thought about leaving here\means I also planned on getting away.\Well, I'll be leaving now.\Y-You bastard!\Please don't come in, Josuke.\I'll remain with this pylon.\What?! What the hell are you talking about? response:	This all started because I found it,
context: The fact that I thought about leaving here\means I also planned on getting away.\Well, I'll be leaving now.\Y-You bastard!\Please don't come in, Josuke.\I'll remain with this pylon.\What?! What the hell are you talking about?\This all started because I found it, response:	and this happened because I turned into a wire
context: means I also planned on getting away.\Well, I'll be leaving now.\Y-You bastard!\Please don't come in, Josuke.\I'll remain with this pylon.\What?! What the hell are you talking about?\This all started because I found it,\and this happened because I turned into a wire response:	and climbed all the way up here.
context: Well, I'll be leaving now.\Y-You bastard!\Please don't come in, Josuke.\I'll remain with this pylon.\What?! What the hell are you talking about?\This all started because I found it,\and this happened because I turned into a wire\and climbed all the way up here. response:	I can be useful, too.
context: Y-You bastard!\Please don't come in, Josuke.\I'll remain with this pylon.\What?! What the hell are you talking about?\This all started because I found it,\and this happened because I turned into a wire\and climbed all the way up here.\I can be useful, too. response:	I wanted you guys to be proud of me, and that's why I did it.
context: Please don't come in, Josuke.\I'll remain with this pylon.\What?! What the hell are you talking about?\This all started because I found it,\and this happened because I turned into a wire\and climbed all the way up here.\I can be useful, too.\I wanted you guys to be proud of me, and that's why I did it. response:	Even though Okuyasu told me to stay out of it.
context: I'll remain with this pylon.\What?! What the hell are you talking about?\This all started because I found it,\and this happened because I turned into a wire\and climbed all the way up here.\I can be useful, too.\I wanted you guys to be proud of me, and that's why I did it.\Even though Okuyasu told me to stay out of it. response:	I got what I deserved.
context: What?! What the hell are you talking about?\This all started because I found it,\and this happened because I turned into a wire\and climbed all the way up here.\I can be useful, too.\I wanted you guys to be proud of me, and that's why I did it.\Even though Okuyasu told me to stay out of it.\I got what I deserved. response:	Please don't worry about me.
context: This all started because I found it,\and this happened because I turned into a wire\and climbed all the way up here.\I can be useful, too.\I wanted you guys to be proud of me, and that's why I did it.\Even though Okuyasu told me to stay out of it.\I got what I deserved.\Please don't worry about me. response:	If I think of it as if it were the inside of a spaceship,
context: and this happened because I turned into a wire\and climbed all the way up here.\I can be useful, too.\I wanted you guys to be proud of me, and that's why I did it.\Even though Okuyasu told me to stay out of it.\I got what I deserved.\Please don't worry about me.\If I think of it as if it were the inside of a spaceship, response:	it seems quite spacious.
context: and climbed all the way up here.\I can be useful, too.\I wanted you guys to be proud of me, and that's why I did it.\Even though Okuyasu told me to stay out of it.\I got what I deserved.\Please don't worry about me.\If I think of it as if it were the inside of a spaceship,\it seems quite spacious. response:	You're pretty weird, but also brave.
context: I can be useful, too.\I wanted you guys to be proud of me, and that's why I did it.\Even though Okuyasu told me to stay out of it.\I got what I deserved.\Please don't worry about me.\If I think of it as if it were the inside of a spaceship,\it seems quite spacious.\You're pretty weird, but also brave. response:	Though it really doesn't matter to me who stays here.
context: I wanted you guys to be proud of me, and that's why I did it.\Even though Okuyasu told me to stay out of it.\I got what I deserved.\Please don't worry about me.\If I think of it as if it were the inside of a spaceship,\it seems quite spacious.\You're pretty weird, but also brave.\Though it really doesn't matter to me who stays here. response:	As long as I get to leave, that's all that matters.
context: Even though Okuyasu told me to stay out of it.\I got what I deserved.\Please don't worry about me.\If I think of it as if it were the inside of a spaceship,\it seems quite spacious.\You're pretty weird, but also brave.\Though it really doesn't matter to me who stays here.\As long as I get to leave, that's all that matters. response:	You guys can decide the rest for yoursel
context: I got what I deserved.\Please don't worry about me.\If I think of it as if it were the inside of a spaceship,\it seems quite spacious.\You're pretty weird, but also brave.\Though it really doesn't matter to me who stays here.\As long as I get to leave, that's all that matters.\You guys can decide the rest for yoursel response:	No, you're the one who'll be staying.
context: Please don't worry about me.\If I think of it as if it were the inside of a spaceship,\it seems quite spacious.\You're pretty weird, but also brave.\Though it really doesn't matter to me who stays here.\As long as I get to leave, that's all that matters.\You guys can decide the rest for yoursel\No, you're the one who'll be staying. response:	The only time you'll ever get to hear the word goodbye
context: If I think of it as if it were the inside of a spaceship,\it seems quite spacious.\You're pretty weird, but also brave.\Though it really doesn't matter to me who stays here.\As long as I get to leave, that's all that matters.\You guys can decide the rest for yoursel\No, you're the one who'll be staying.\The only time you'll ever get to hear the word goodbye response:	is when you hear us say it!
context: it seems quite spacious.\You're pretty weird, but also brave.\Though it really doesn't matter to me who stays here.\As long as I get to leave, that's all that matters.\You guys can decide the rest for yoursel\No, you're the one who'll be staying.\The only time you'll ever get to hear the word goodbye\is when you hear us say it! response:	J-Josuke!
context: You're pretty weird, but also brave.\Though it really doesn't matter to me who stays here.\As long as I get to leave, that's all that matters.\You guys can decide the rest for yoursel\No, you're the one who'll be staying.\The only time you'll ever get to hear the word goodbye\is when you hear us say it!\J-Josuke! response:	Y-You bastard!
context: Though it really doesn't matter to me who stays here.\As long as I get to leave, that's all that matters.\You guys can decide the rest for yoursel\No, you're the one who'll be staying.\The only time you'll ever get to hear the word goodbye\is when you hear us say it!\J-Josuke!\Y-You bastard! response:	Since you cut this, I was able to fix it and climb back up here.
context: As long as I get to leave, that's all that matters.\You guys can decide the rest for yoursel\No, you're the one who'll be staying.\The only time you'll ever get to hear the word goodbye\is when you hear us say it!\J-Josuke!\Y-You bastard!\Since you cut this, I was able to fix it and climb back up here. response:	Impossible...
context: You guys can decide the rest for yoursel\No, you're the one who'll be staying.\The only time you'll ever get to hear the word goodbye\is when you hear us say it!\J-Josuke!\Y-You bastard!\Since you cut this, I was able to fix it and climb back up here.\Impossible... response:	Mikitaka, could you hold on for another ten seconds or so?
context: No, you're the one who'll be staying.\The only time you'll ever get to hear the word goodbye\is when you hear us say it!\J-Josuke!\Y-You bastard!\Since you cut this, I was able to fix it and climb back up here.\Impossible...\Mikitaka, could you hold on for another ten seconds or so? response:	After I beat the crap out of this guy
context: The only time you'll ever get to hear the word goodbye\is when you hear us say it!\J-Josuke!\Y-You bastard!\Since you cut this, I was able to fix it and climb back up here.\Impossible...\Mikitaka, could you hold on for another ten seconds or so?\After I beat the crap out of this guy response:	and drag him back into the pylon, I'll fix you right up.
context: is when you hear us say it!\J-Josuke!\Y-You bastard!\Since you cut this, I was able to fix it and climb back up here.\Impossible...\Mikitaka, could you hold on for another ten seconds or so?\After I beat the crap out of this guy\and drag him back into the pylon, I'll fix you right up. response:	Don't fall, Josuke!
context: J-Josuke!\Y-You bastard!\Since you cut this, I was able to fix it and climb back up here.\Impossible...\Mikitaka, could you hold on for another ten seconds or so?\After I beat the crap out of this guy\and drag him back into the pylon, I'll fix you right up.\Don't fall, Josuke! response:	Of course I won't fall.
context: Y-You bastard!\Since you cut this, I was able to fix it and climb back up here.\Impossible...\Mikitaka, could you hold on for another ten seconds or so?\After I beat the crap out of this guy\and drag him back into the pylon, I'll fix you right up.\Don't fall, Josuke!\Of course I won't fall. response:	I just said impossible, but that was wrong.
context: Since you cut this, I was able to fix it and climb back up here.\Impossible...\Mikitaka, could you hold on for another ten seconds or so?\After I beat the crap out of this guy\and drag him back into the pylon, I'll fix you right up.\Don't fall, Josuke!\Of course I won't fall.\I just said impossible, but that was wrong. response:	Let me rephrase that and say, you fool.
context: Impossible...\Mikitaka, could you hold on for another ten seconds or so?\After I beat the crap out of this guy\and drag him back into the pylon, I'll fix you right up.\Don't fall, Josuke!\Of course I won't fall.\I just said impossible, but that was wrong.\Let me rephrase that and say, you fool. response:	All I wanted to do was leave this pylon.
context: Mikitaka, could you hold on for another ten seconds or so?\After I beat the crap out of this guy\and drag him back into the pylon, I'll fix you right up.\Don't fall, Josuke!\Of course I won't fall.\I just said impossible, but that was wrong.\Let me rephrase that and say, you fool.\All I wanted to do was leave this pylon. response:	I wasn't planning on killing anyone...
context: After I beat the crap out of this guy\and drag him back into the pylon, I'll fix you right up.\Don't fall, Josuke!\Of course I won't fall.\I just said impossible, but that was wrong.\Let me rephrase that and say, you fool.\All I wanted to do was leave this pylon.\I wasn't planning on killing anyone... response:	But now I'm going to have to knock you off of here
context: and drag him back into the pylon, I'll fix you right up.\Don't fall, Josuke!\Of course I won't fall.\I just said impossible, but that was wrong.\Let me rephrase that and say, you fool.\All I wanted to do was leave this pylon.\I wasn't planning on killing anyone...\But now I'm going to have to knock you off of here response:	just so I can get away, you fool!
context: Don't fall, Josuke!\Of course I won't fall.\I just said impossible, but that was wrong.\Let me rephrase that and say, you fool.\All I wanted to do was leave this pylon.\I wasn't planning on killing anyone...\But now I'm going to have to knock you off of here\just so I can get away, you fool! response:	Shut up!
context: Of course I won't fall.\I just said impossible, but that was wrong.\Let me rephrase that and say, you fool.\All I wanted to do was leave this pylon.\I wasn't planning on killing anyone...\But now I'm going to have to knock you off of here\just so I can get away, you fool!\Shut up! response:	Shining Diamond...
context: I just said impossible, but that was wrong.\Let me rephrase that and say, you fool.\All I wanted to do was leave this pylon.\I wasn't planning on killing anyone...\But now I'm going to have to knock you off of here\just so I can get away, you fool!\Shut up!\Shining Diamond... response:	It looks like a very powerful Stand when you see it up close.
context: Let me rephrase that and say, you fool.\All I wanted to do was leave this pylon.\I wasn't planning on killing anyone...\But now I'm going to have to knock you off of here\just so I can get away, you fool!\Shut up!\Shining Diamond...\It looks like a very powerful Stand when you see it up close. response:	But do you really think you can
context: All I wanted to do was leave this pylon.\I wasn't planning on killing anyone...\But now I'm going to have to knock you off of here\just so I can get away, you fool!\Shut up!\Shining Diamond...\It looks like a very powerful Stand when you see it up close.\But do you really think you can response:	lay a finger on me when I can walk around
context: I wasn't planning on killing anyone...\But now I'm going to have to knock you off of here\just so I can get away, you fool!\Shut up!\Shining Diamond...\It looks like a very powerful Stand when you see it up close.\But do you really think you can\lay a finger on me when I can walk around response:	the top of this pylon with my eyes closed?
context: But now I'm going to have to knock you off of here\just so I can get away, you fool!\Shut up!\Shining Diamond...\It looks like a very powerful Stand when you see it up close.\But do you really think you can\lay a finger on me when I can walk around\the top of this pylon with my eyes closed? response:	I'm guessing its range is about two meters.
context: just so I can get away, you fool!\Shut up!\Shining Diamond...\It looks like a very powerful Stand when you see it up close.\But do you really think you can\lay a finger on me when I can walk around\the top of this pylon with my eyes closed?\I'm guessing its range is about two meters. response:	Watch it!
context: Shut up!\Shining Diamond...\It looks like a very powerful Stand when you see it up close.\But do you really think you can\lay a finger on me when I can walk around\the top of this pylon with my eyes closed?\I'm guessing its range is about two meters.\Watch it! response:	Hey, you dumbass! Quit fooling around!
context: Shining Diamond...\It looks like a very powerful Stand when you see it up close.\But do you really think you can\lay a finger on me when I can walk around\the top of this pylon with my eyes closed?\I'm guessing its range is about two meters.\Watch it!\Hey, you dumbass! Quit fooling around! response:	Josuke, move away from there!
context: It looks like a very powerful Stand when you see it up close.\But do you really think you can\lay a finger on me when I can walk around\the top of this pylon with my eyes closed?\I'm guessing its range is about two meters.\Watch it!\Hey, you dumbass! Quit fooling around!\Josuke, move away from there! response:	It's already been cut with the knife!
context: But do you really think you can\lay a finger on me when I can walk around\the top of this pylon with my eyes closed?\I'm guessing its range is about two meters.\Watch it!\Hey, you dumbass! Quit fooling around!\Josuke, move away from there!\It's already been cut with the knife! response:	He's already cut up the pylon!
context: lay a finger on me when I can walk around\the top of this pylon with my eyes closed?\I'm guessing its range is about two meters.\Watch it!\Hey, you dumbass! Quit fooling around!\Josuke, move away from there!\It's already been cut with the knife!\He's already cut up the pylon! response:	That was a dirty trick!
context: the top of this pylon with my eyes closed?\I'm guessing its range is about two meters.\Watch it!\Hey, you dumbass! Quit fooling around!\Josuke, move away from there!\It's already been cut with the knife!\He's already cut up the pylon!\That was a dirty trick! response:	But it's not a speed that my Shining Diamond can't dodge.
context: I'm guessing its range is about two meters.\Watch it!\Hey, you dumbass! Quit fooling around!\Josuke, move away from there!\It's already been cut with the knife!\He's already cut up the pylon!\That was a dirty trick!\But it's not a speed that my Shining Diamond can't dodge. response:	What are you smirking for, you bastard?
context: Watch it!\Hey, you dumbass! Quit fooling around!\Josuke, move away from there!\It's already been cut with the knife!\He's already cut up the pylon!\That was a dirty trick!\But it's not a speed that my Shining Diamond can't dodge.\What are you smirking for, you bastard? response:	Are you that happy about me kicking your ass?!
context: Hey, you dumbass! Quit fooling around!\Josuke, move away from there!\It's already been cut with the knife!\He's already cut up the pylon!\That was a dirty trick!\But it's not a speed that my Shining Diamond can't dodge.\What are you smirking for, you bastard?\Are you that happy about me kicking your ass?! response:	I know every nook and cranny of this pylon.
context: Josuke, move away from there!\It's already been cut with the knife!\He's already cut up the pylon!\That was a dirty trick!\But it's not a speed that my Shining Diamond can't dodge.\What are you smirking for, you bastard?\Are you that happy about me kicking your ass?!\I know every nook and cranny of this pylon. response:	I know exactly which angles to cut
context: It's already been cut with the knife!\He's already cut up the pylon!\That was a dirty trick!\But it's not a speed that my Shining Diamond can't dodge.\What are you smirking for, you bastard?\Are you that happy about me kicking your ass?!\I know every nook and cranny of this pylon.\I know exactly which angles to cut response:	to make the energy come flying from any direction.
context: He's already cut up the pylon!\That was a dirty trick!\But it's not a speed that my Shining Diamond can't dodge.\What are you smirking for, you bastard?\Are you that happy about me kicking your ass?!\I know every nook and cranny of this pylon.\I know exactly which angles to cut\to make the energy come flying from any direction. response:	Just like one who's played billiards way too much,
context: That was a dirty trick!\But it's not a speed that my Shining Diamond can't dodge.\What are you smirking for, you bastard?\Are you that happy about me kicking your ass?!\I know every nook and cranny of this pylon.\I know exactly which angles to cut\to make the energy come flying from any direction.\Just like one who's played billiards way too much, response:	I know it all too well!
context: But it's not a speed that my Shining Diamond can't dodge.\What are you smirking for, you bastard?\Are you that happy about me kicking your ass?!\I know every nook and cranny of this pylon.\I know exactly which angles to cut\to make the energy come flying from any direction.\Just like one who's played billiards way too much,\I know it all too well! response:	Billiards?
context: What are you smirking for, you bastard?\Are you that happy about me kicking your ass?!\I know every nook and cranny of this pylon.\I know exactly which angles to cut\to make the energy come flying from any direction.\Just like one who's played billiards way too much,\I know it all too well!\Billiards? response:	Jo...
context: Are you that happy about me kicking your ass?!\I know every nook and cranny of this pylon.\I know exactly which angles to cut\to make the energy come flying from any direction.\Just like one who's played billiards way too much,\I know it all too well!\Billiards?\Jo... response:	Josuke!
context: I know every nook and cranny of this pylon.\I know exactly which angles to cut\to make the energy come flying from any direction.\Just like one who's played billiards way too much,\I know it all too well!\Billiards?\Jo...\Josuke! response:	You said it wasn't a speed that Shining Diamond can't dodge, right?
