context: July 12th (Mon) 5:05 PM response:	Yoshikage... My son...
context: so it should be pretty easy, shouldn't it?\Kisara Drug\Yes. As long as I'm repairing my house, I'd like to do some renovations, too.\Curses! He's actually taking pictures of everyone to try to find him!\I guess I'll have someone come by to give me an estimate.\Jotaro and all of his other Stand users are doing whatever they want...\I need to make a new Stand user\to take care of those meddlesome bastards... response:	Hm?
context: Kisara Drug\Yes. As long as I'm repairing my house, I'd like to do some renovations, too.\Curses! He's actually taking pictures of everyone to try to find him!\I guess I'll have someone come by to give me an estimate.\Jotaro and all of his other Stand users are doing whatever they want...\I need to make a new Stand user\to take care of those meddlesome bastards...\Hm? response:	That's...
context: Yes. As long as I'm repairing my house, I'd like to do some renovations, too.\Curses! He's actually taking pictures of everyone to try to find him!\I guess I'll have someone come by to give me an estimate.\Jotaro and all of his other Stand users are doing whatever they want...\I need to make a new Stand user\to take care of those meddlesome bastards...\Hm?\That's... response:	There's no doubt about it!
context: Curses! He's actually taking pictures of everyone to try to find him!\I guess I'll have someone come by to give me an estimate.\Jotaro and all of his other Stand users are doing whatever they want...\I need to make a new Stand user\to take care of those meddlesome bastards...\Hm?\That's...\There's no doubt about it! response:	Even though his appearance has changed,
context: I guess I'll have someone come by to give me an estimate.\Jotaro and all of his other Stand users are doing whatever they want...\I need to make a new Stand user\to take care of those meddlesome bastards...\Hm?\That's...\There's no doubt about it!\Even though his appearance has changed, response:	our bond as father and son bring us together.
context: Jotaro and all of his other Stand users are doing whatever they want...\I need to make a new Stand user\to take care of those meddlesome bastards...\Hm?\That's...\There's no doubt about it!\Even though his appearance has changed,\our bond as father and son bring us together. response:	There's no way I would mistake my own son!
context: I need to make a new Stand user\to take care of those meddlesome bastards...\Hm?\That's...\There's no doubt about it!\Even though his appearance has changed,\our bond as father and son bring us together.\There's no way I would mistake my own son! response:	I've found you, Yoshikage...
context: to take care of those meddlesome bastards...\Hm?\That's...\There's no doubt about it!\Even though his appearance has changed,\our bond as father and son bring us together.\There's no way I would mistake my own son!\I've found you, Yoshikage... response:	I'm gonna find out
context: Hm?\That's...\There's no doubt about it!\Even though his appearance has changed,\our bond as father and son bring us together.\There's no way I would mistake my own son!\I've found you, Yoshikage...\I'm gonna find out response:	who the guy disguised as my dad really is.
context: That's...\There's no doubt about it!\Even though his appearance has changed,\our bond as father and son bring us together.\There's no way I would mistake my own son!\I've found you, Yoshikage...\I'm gonna find out\who the guy disguised as my dad really is. response:	It can't be...
context: There's no doubt about it!\Even though his appearance has changed,\our bond as father and son bring us together.\There's no way I would mistake my own son!\I've found you, Yoshikage...\I'm gonna find out\who the guy disguised as my dad really is.\It can't be... response:	At this rate, those Stand users will...
context: Even though his appearance has changed,\our bond as father and son bring us together.\There's no way I would mistake my own son!\I've found you, Yoshikage...\I'm gonna find out\who the guy disguised as my dad really is.\It can't be...\At this rate, those Stand users will... response:	I won't allow it! I won't allow that to happen!
context: our bond as father and son bring us together.\There's no way I would mistake my own son!\I've found you, Yoshikage...\I'm gonna find out\who the guy disguised as my dad really is.\It can't be...\At this rate, those Stand users will...\I won't allow it! I won't allow that to happen! response:	I will protect Yoshikage!
context: There's no way I would mistake my own son!\I've found you, Yoshikage...\I'm gonna find out\who the guy disguised as my dad really is.\It can't be...\At this rate, those Stand users will...\I won't allow it! I won't allow that to happen!\I will protect Yoshikage! response:	Jojo's Bizarre Adventure
context: I've found you, Yoshikage...\I'm gonna find out\who the guy disguised as my dad really is.\It can't be...\At this rate, those Stand users will...\I won't allow it! I won't allow that to happen!\I will protect Yoshikage!\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: I'm gonna find out\who the guy disguised as my dad really is.\It can't be...\At this rate, those Stand users will...\I won't allow it! I won't allow that to happen!\I will protect Yoshikage!\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	July 15th (Thurs) 7:50 AM
context: who the guy disguised as my dad really is.\It can't be...\At this rate, those Stand users will...\I won't allow it! I won't allow that to happen!\I will protect Yoshikage!\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 7:50 AM response:	I'm heading out.
context: It can't be...\At this rate, those Stand users will...\I won't allow it! I won't allow that to happen!\I will protect Yoshikage!\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 7:50 AM\I'm heading out. response:	I'm gonna be late... And I've got class duties today!
context: At this rate, those Stand users will...\I won't allow it! I won't allow that to happen!\I will protect Yoshikage!\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 7:50 AM\I'm heading out.\I'm gonna be late... And I've got class duties today! response:	Episode 31 July 15th (Thurs), Part 1
context: I won't allow it! I won't allow that to happen!\I will protect Yoshikage!\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 7:50 AM\I'm heading out.\I'm gonna be late... And I've got class duties today!\Episode 31 July 15th (Thurs), Part 1 response:	July 15th (Thurs), 8:02 AM
context: I will protect Yoshikage!\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 7:50 AM\I'm heading out.\I'm gonna be late... And I've got class duties today!\Episode 31 July 15th (Thurs), Part 1\July 15th (Thurs), 8:02 AM response:	So tired...
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 7:50 AM\I'm heading out.\I'm gonna be late... And I've got class duties today!\Episode 31 July 15th (Thurs), Part 1\July 15th (Thurs), 8:02 AM\So tired... response:	I stayed up way too late last night.
context: Diamond is Unbreakable\July 15th (Thurs) 7:50 AM\I'm heading out.\I'm gonna be late... And I've got class duties today!\Episode 31 July 15th (Thurs), Part 1\July 15th (Thurs), 8:02 AM\So tired...\I stayed up way too late last night. response:	I got plenty of sleep, so I'm in top shape again today.
context: July 15th (Thurs) 7:50 AM\I'm heading out.\I'm gonna be late... And I've got class duties today!\Episode 31 July 15th (Thurs), Part 1\July 15th (Thurs), 8:02 AM\So tired...\I stayed up way too late last night.\I got plenty of sleep, so I'm in top shape again today. response:	Look, Josuke.
context: I'm heading out.\I'm gonna be late... And I've got class duties today!\Episode 31 July 15th (Thurs), Part 1\July 15th (Thurs), 8:02 AM\So tired...\I stayed up way too late last night.\I got plenty of sleep, so I'm in top shape again today.\Look, Josuke. response:	Binoculars.
context: I'm gonna be late... And I've got class duties today!\Episode 31 July 15th (Thurs), Part 1\July 15th (Thurs), 8:02 AM\So tired...\I stayed up way too late last night.\I got plenty of sleep, so I'm in top shape again today.\Look, Josuke.\Binoculars. response:	There's a pair of binoculars on the ground.
context: Episode 31 July 15th (Thurs), Part 1\July 15th (Thurs), 8:02 AM\So tired...\I stayed up way too late last night.\I got plenty of sleep, so I'm in top shape again today.\Look, Josuke.\Binoculars.\There's a pair of binoculars on the ground. response:	You're so easily intrigued by things that are on the ground.
context: July 15th (Thurs), 8:02 AM\So tired...\I stayed up way too late last night.\I got plenty of sleep, so I'm in top shape again today.\Look, Josuke.\Binoculars.\There's a pair of binoculars on the ground.\You're so easily intrigued by things that are on the ground. response:	Don't pick them up. They're dirty.
context: So tired...\I stayed up way too late last night.\I got plenty of sleep, so I'm in top shape again today.\Look, Josuke.\Binoculars.\There's a pair of binoculars on the ground.\You're so easily intrigued by things that are on the ground.\Don't pick them up. They're dirty. response:	What? Really?
context: I stayed up way too late last night.\I got plenty of sleep, so I'm in top shape again today.\Look, Josuke.\Binoculars.\There's a pair of binoculars on the ground.\You're so easily intrigued by things that are on the ground.\Don't pick them up. They're dirty.\What? Really? response:	I am not dirty!
context: I got plenty of sleep, so I'm in top shape again today.\Look, Josuke.\Binoculars.\There's a pair of binoculars on the ground.\You're so easily intrigued by things that are on the ground.\Don't pick them up. They're dirty.\What? Really?\I am not dirty! response:	Hello, Josuke and Okuyasu.
context: Look, Josuke.\Binoculars.\There's a pair of binoculars on the ground.\You're so easily intrigued by things that are on the ground.\Don't pick them up. They're dirty.\What? Really?\I am not dirty!\Hello, Josuke and Okuyasu. response:	I-It was you? Don't scare us like that, Mikitaka.
context: Binoculars.\There's a pair of binoculars on the ground.\You're so easily intrigued by things that are on the ground.\Don't pick them up. They're dirty.\What? Really?\I am not dirty!\Hello, Josuke and Okuyasu.\I-It was you? Don't scare us like that, Mikitaka. response:	You're gonna give me a heart attack, damn it!
context: There's a pair of binoculars on the ground.\You're so easily intrigued by things that are on the ground.\Don't pick them up. They're dirty.\What? Really?\I am not dirty!\Hello, Josuke and Okuyasu.\I-It was you? Don't scare us like that, Mikitaka.\You're gonna give me a heart attack, damn it! response:	Oh, stop...
context: You're so easily intrigued by things that are on the ground.\Don't pick them up. They're dirty.\What? Really?\I am not dirty!\Hello, Josuke and Okuyasu.\I-It was you? Don't scare us like that, Mikitaka.\You're gonna give me a heart attack, damn it!\Oh, stop... response:	Don't get bashful. It's not a compliment!
context: Don't pick them up. They're dirty.\What? Really?\I am not dirty!\Hello, Josuke and Okuyasu.\I-It was you? Don't scare us like that, Mikitaka.\You're gonna give me a heart attack, damn it!\Oh, stop...\Don't get bashful. It's not a compliment! response:	Though, yeah... You showed up at a good time.
context: What? Really?\I am not dirty!\Hello, Josuke and Okuyasu.\I-It was you? Don't scare us like that, Mikitaka.\You're gonna give me a heart attack, damn it!\Oh, stop...\Don't get bashful. It's not a compliment!\Though, yeah... You showed up at a good time. response:	There's something I wanted to get straightened out.
context: I am not dirty!\Hello, Josuke and Okuyasu.\I-It was you? Don't scare us like that, Mikitaka.\You're gonna give me a heart attack, damn it!\Oh, stop...\Don't get bashful. It's not a compliment!\Though, yeah... You showed up at a good time.\There's something I wanted to get straightened out. response:	The thing about you being an alien is a lie, right?
context: Hello, Josuke and Okuyasu.\I-It was you? Don't scare us like that, Mikitaka.\You're gonna give me a heart attack, damn it!\Oh, stop...\Don't get bashful. It's not a compliment!\Though, yeah... You showed up at a good time.\There's something I wanted to get straightened out.\The thing about you being an alien is a lie, right? response:	You're just a Stand user who thinks he's an alien, right?
context: I-It was you? Don't scare us like that, Mikitaka.\You're gonna give me a heart attack, damn it!\Oh, stop...\Don't get bashful. It's not a compliment!\Though, yeah... You showed up at a good time.\There's something I wanted to get straightened out.\The thing about you being an alien is a lie, right?\You're just a Stand user who thinks he's an alien, right? response:	Stop being ambiguous and clear things up, damn it!
context: You're gonna give me a heart attack, damn it!\Oh, stop...\Don't get bashful. It's not a compliment!\Though, yeah... You showed up at a good time.\There's something I wanted to get straightened out.\The thing about you being an alien is a lie, right?\You're just a Stand user who thinks he's an alien, right?\Stop being ambiguous and clear things up, damn it! response:	I have been clear from the beginning.
context: Oh, stop...\Don't get bashful. It's not a compliment!\Though, yeah... You showed up at a good time.\There's something I wanted to get straightened out.\The thing about you being an alien is a lie, right?\You're just a Stand user who thinks he's an alien, right?\Stop being ambiguous and clear things up, damn it!\I have been clear from the beginning. response:	I am an alien.
context: Don't get bashful. It's not a compliment!\Though, yeah... You showed up at a good time.\There's something I wanted to get straightened out.\The thing about you being an alien is a lie, right?\You're just a Stand user who thinks he's an alien, right?\Stop being ambiguous and clear things up, damn it!\I have been clear from the beginning.\I am an alien. response:	Why are you talking like that all of a sudden?
context: Though, yeah... You showed up at a good time.\There's something I wanted to get straightened out.\The thing about you being an alien is a lie, right?\You're just a Stand user who thinks he's an alien, right?\Stop being ambiguous and clear things up, damn it!\I have been clear from the beginning.\I am an alien.\Why are you talking like that all of a sudden? response:	That's enough.
context: There's something I wanted to get straightened out.\The thing about you being an alien is a lie, right?\You're just a Stand user who thinks he's an alien, right?\Stop being ambiguous and clear things up, damn it!\I have been clear from the beginning.\I am an alien.\Why are you talking like that all of a sudden?\That's enough. response:	More importantly, what are you doing,
context: The thing about you being an alien is a lie, right?\You're just a Stand user who thinks he's an alien, right?\Stop being ambiguous and clear things up, damn it!\I have been clear from the beginning.\I am an alien.\Why are you talking like that all of a sudden?\That's enough.\More importantly, what are you doing, response:	turning into binoculars on the road like that?
context: You're just a Stand user who thinks he's an alien, right?\Stop being ambiguous and clear things up, damn it!\I have been clear from the beginning.\I am an alien.\Why are you talking like that all of a sudden?\That's enough.\More importantly, what are you doing,\turning into binoculars on the road like that? response:	Oh, yes. I wanted you two to look at that thing,
context: Stop being ambiguous and clear things up, damn it!\I have been clear from the beginning.\I am an alien.\Why are you talking like that all of a sudden?\That's enough.\More importantly, what are you doing,\turning into binoculars on the road like that?\Oh, yes. I wanted you two to look at that thing, response:	so I was waiting here for you.
context: I have been clear from the beginning.\I am an alien.\Why are you talking like that all of a sudden?\That's enough.\More importantly, what are you doing,\turning into binoculars on the road like that?\Oh, yes. I wanted you two to look at that thing,\so I was waiting here for you. response:	That thing?
context: I am an alien.\Why are you talking like that all of a sudden?\That's enough.\More importantly, what are you doing,\turning into binoculars on the road like that?\Oh, yes. I wanted you two to look at that thing,\so I was waiting here for you.\That thing? response:	That thing... The electrical pylon right in front of you.
context: Why are you talking like that all of a sudden?\That's enough.\More importantly, what are you doing,\turning into binoculars on the road like that?\Oh, yes. I wanted you two to look at that thing,\so I was waiting here for you.\That thing?\That thing... The electrical pylon right in front of you. response:	Electrical pylon?
context: That's enough.\More importantly, what are you doing,\turning into binoculars on the road like that?\Oh, yes. I wanted you two to look at that thing,\so I was waiting here for you.\That thing?\That thing... The electrical pylon right in front of you.\Electrical pylon? response:	That's not really an electrical pylon.
context: More importantly, what are you doing,\turning into binoculars on the road like that?\Oh, yes. I wanted you two to look at that thing,\so I was waiting here for you.\That thing?\That thing... The electrical pylon right in front of you.\Electrical pylon?\That's not really an electrical pylon. response:	It's a remnant stripped of its wires that's no longer in use.
context: turning into binoculars on the road like that?\Oh, yes. I wanted you two to look at that thing,\so I was waiting here for you.\That thing?\That thing... The electrical pylon right in front of you.\Electrical pylon?\That's not really an electrical pylon.\It's a remnant stripped of its wires that's no longer in use. response:	When construction started on Morioh's residential areas,
context: Oh, yes. I wanted you two to look at that thing,\so I was waiting here for you.\That thing?\That thing... The electrical pylon right in front of you.\Electrical pylon?\That's not really an electrical pylon.\It's a remnant stripped of its wires that's no longer in use.\When construction started on Morioh's residential areas, response:	most of the cables got put underground, so these weren't needed anymore.
context: so I was waiting here for you.\That thing?\That thing... The electrical pylon right in front of you.\Electrical pylon?\That's not really an electrical pylon.\It's a remnant stripped of its wires that's no longer in use.\When construction started on Morioh's residential areas,\most of the cables got put underground, so these weren't needed anymore. response:	What about it?
context: That thing?\That thing... The electrical pylon right in front of you.\Electrical pylon?\That's not really an electrical pylon.\It's a remnant stripped of its wires that's no longer in use.\When construction started on Morioh's residential areas,\most of the cables got put underground, so these weren't needed anymore.\What about it? response:	Are you trying to communicate with some other planet?
context: That thing... The electrical pylon right in front of you.\Electrical pylon?\That's not really an electrical pylon.\It's a remnant stripped of its wires that's no longer in use.\When construction started on Morioh's residential areas,\most of the cables got put underground, so these weren't needed anymore.\What about it?\Are you trying to communicate with some other planet? response:	There's smoke coming out of the middle of that pylon, isn't there?
context: Electrical pylon?\That's not really an electrical pylon.\It's a remnant stripped of its wires that's no longer in use.\When construction started on Morioh's residential areas,\most of the cables got put underground, so these weren't needed anymore.\What about it?\Are you trying to communicate with some other planet?\There's smoke coming out of the middle of that pylon, isn't there? response:	Huh?
context: That's not really an electrical pylon.\It's a remnant stripped of its wires that's no longer in use.\When construction started on Morioh's residential areas,\most of the cables got put underground, so these weren't needed anymore.\What about it?\Are you trying to communicate with some other planet?\There's smoke coming out of the middle of that pylon, isn't there?\Huh? response:	Y-You're right...
context: It's a remnant stripped of its wires that's no longer in use.\When construction started on Morioh's residential areas,\most of the cables got put underground, so these weren't needed anymore.\What about it?\Are you trying to communicate with some other planet?\There's smoke coming out of the middle of that pylon, isn't there?\Huh?\Y-You're right... response:	Please take a good look at it.
context: When construction started on Morioh's residential areas,\most of the cables got put underground, so these weren't needed anymore.\What about it?\Are you trying to communicate with some other planet?\There's smoke coming out of the middle of that pylon, isn't there?\Huh?\Y-You're right...\Please take a good look at it. response:	H-Hey, it's a kettle!
context: most of the cables got put underground, so these weren't needed anymore.\What about it?\Are you trying to communicate with some other planet?\There's smoke coming out of the middle of that pylon, isn't there?\Huh?\Y-You're right...\Please take a good look at it.\H-Hey, it's a kettle! response:	What? In a place like that?!
context: What about it?\Are you trying to communicate with some other planet?\There's smoke coming out of the middle of that pylon, isn't there?\Huh?\Y-You're right...\Please take a good look at it.\H-Hey, it's a kettle!\What? In a place like that?! response:	It's, like, 20 meters off the ground!
context: Are you trying to communicate with some other planet?\There's smoke coming out of the middle of that pylon, isn't there?\Huh?\Y-You're right...\Please take a good look at it.\H-Hey, it's a kettle!\What? In a place like that?!\It's, like, 20 meters off the ground! response:	Would you mind taking a look about five meters higher?
context: There's smoke coming out of the middle of that pylon, isn't there?\Huh?\Y-You're right...\Please take a good look at it.\H-Hey, it's a kettle!\What? In a place like that?!\It's, like, 20 meters off the ground!\Would you mind taking a look about five meters higher? response:	What the heck is that?
context: Huh?\Y-You're right...\Please take a good look at it.\H-Hey, it's a kettle!\What? In a place like that?!\It's, like, 20 meters off the ground!\Would you mind taking a look about five meters higher?\What the heck is that? response:	L-Let me see, too.
context: Y-You're right...\Please take a good look at it.\H-Hey, it's a kettle!\What? In a place like that?!\It's, like, 20 meters off the ground!\Would you mind taking a look about five meters higher?\What the heck is that?\L-Let me see, too. response:	There! There he is!
context: Please take a good look at it.\H-Hey, it's a kettle!\What? In a place like that?!\It's, like, 20 meters off the ground!\Would you mind taking a look about five meters higher?\What the heck is that?\L-Let me see, too.\There! There he is! response:	There's a guy up there! He's cooking!
context: H-Hey, it's a kettle!\What? In a place like that?!\It's, like, 20 meters off the ground!\Would you mind taking a look about five meters higher?\What the heck is that?\L-Let me see, too.\There! There he is!\There's a guy up there! He's cooking! response:	What?! Let me see!
context: What? In a place like that?!\It's, like, 20 meters off the ground!\Would you mind taking a look about five meters higher?\What the heck is that?\L-Let me see, too.\There! There he is!\There's a guy up there! He's cooking!\What?! Let me see! response:	He must be living on that pylon.
context: It's, like, 20 meters off the ground!\Would you mind taking a look about five meters higher?\What the heck is that?\L-Let me see, too.\There! There he is!\There's a guy up there! He's cooking!\What?! Let me see!\He must be living on that pylon. response:	He's actually making a living there!
context: Would you mind taking a look about five meters higher?\What the heck is that?\L-Let me see, too.\There! There he is!\There's a guy up there! He's cooking!\What?! Let me see!\He must be living on that pylon.\He's actually making a living there! response:	He's fishing from the river, and even has cucumbers growing.
context: What the heck is that?\L-Let me see, too.\There! There he is!\There's a guy up there! He's cooking!\What?! Let me see!\He must be living on that pylon.\He's actually making a living there!\He's fishing from the river, and even has cucumbers growing. response:	That's really convenient!
context: L-Let me see, too.\There! There he is!\There's a guy up there! He's cooking!\What?! Let me see!\He must be living on that pylon.\He's actually making a living there!\He's fishing from the river, and even has cucumbers growing.\That's really convenient! response:	I see! So it's basically a self-sufficient dwelling.
context: There! There he is!\There's a guy up there! He's cooking!\What?! Let me see!\He must be living on that pylon.\He's actually making a living there!\He's fishing from the river, and even has cucumbers growing.\That's really convenient!\I see! So it's basically a self-sufficient dwelling. response:	Some people in this world do very strange things.
context: There's a guy up there! He's cooking!\What?! Let me see!\He must be living on that pylon.\He's actually making a living there!\He's fishing from the river, and even has cucumbers growing.\That's really convenient!\I see! So it's basically a self-sufficient dwelling.\Some people in this world do very strange things. response:	Look out!
context: What?! Let me see!\He must be living on that pylon.\He's actually making a living there!\He's fishing from the river, and even has cucumbers growing.\That's really convenient!\I see! So it's basically a self-sufficient dwelling.\Some people in this world do very strange things.\Look out! response:	H-He's...
context: He must be living on that pylon.\He's actually making a living there!\He's fishing from the river, and even has cucumbers growing.\That's really convenient!\I see! So it's basically a self-sufficient dwelling.\Some people in this world do very strange things.\Look out!\H-He's... response:	It's a new Stand user!
context: He's actually making a living there!\He's fishing from the river, and even has cucumbers growing.\That's really convenient!\I see! So it's basically a self-sufficient dwelling.\Some people in this world do very strange things.\Look out!\H-He's...\It's a new Stand user! response:	Yeah! I just saw him fly!
context: He's fishing from the river, and even has cucumbers growing.\That's really convenient!\I see! So it's basically a self-sufficient dwelling.\Some people in this world do very strange things.\Look out!\H-He's...\It's a new Stand user!\Yeah! I just saw him fly! response:	But what's a Stand user doing living up there?
context: That's really convenient!\I see! So it's basically a self-sufficient dwelling.\Some people in this world do very strange things.\Look out!\H-He's...\It's a new Stand user!\Yeah! I just saw him fly!\But what's a Stand user doing living up there? response:	It would seem there's a need to find out more about that man.
context: I see! So it's basically a self-sufficient dwelling.\Some people in this world do very strange things.\Look out!\H-He's...\It's a new Stand user!\Yeah! I just saw him fly!\But what's a Stand user doing living up there?\It would seem there's a need to find out more about that man. response:	I can see them... They're finally here.
context: Some people in this world do very strange things.\Look out!\H-He's...\It's a new Stand user!\Yeah! I just saw him fly!\But what's a Stand user doing living up there?\It would seem there's a need to find out more about that man.\I can see them... They're finally here. response:	Are they interested in me?
context: Look out!\H-He's...\It's a new Stand user!\Yeah! I just saw him fly!\But what's a Stand user doing living up there?\It would seem there's a need to find out more about that man.\I can see them... They're finally here.\Are they interested in me? response:	Come on over.
context: H-He's...\It's a new Stand user!\Yeah! I just saw him fly!\But what's a Stand user doing living up there?\It would seem there's a need to find out more about that man.\I can see them... They're finally here.\Are they interested in me?\Come on over. response:	It's been a while since I've spoken to other people.
