context: Genshiken response:	I woke up and as usual forgot my cell and missed the Express.
context: I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo! response:	Right now, at this tempo!
context: I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo! response:	Genshiken Right now, at this tempo!
context: Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo! response:	What am I doing in a place like this?
context: Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\What am I doing in a place like this? response:	That was the seventh time today.
context: Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\What am I doing in a place like this?\That was the seventh time today. response:	I can't grasp it no matter how many times it's said...
context: Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\What am I doing in a place like this?\That was the seventh time today.\I can't grasp it no matter how many times it's said... response:	Better late than never.
context: Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\What am I doing in a place like this?\That was the seventh time today.\I can't grasp it no matter how many times it's said...\Better late than never. response:	I'm sorry...
context: At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\What am I doing in a place like this?\That was the seventh time today.\I can't grasp it no matter how many times it's said...\Better late than never.\I'm sorry... response:	Hey, isn't Kohsaka here yet?
context: Right now, at this tempo!\Genshiken Right now, at this tempo!\What am I doing in a place like this?\That was the seventh time today.\I can't grasp it no matter how many times it's said...\Better late than never.\I'm sorry...\Hey, isn't Kohsaka here yet? response:	Didn't he just message us that he's in the parking lot?
context: Genshiken Right now, at this tempo!\What am I doing in a place like this?\That was the seventh time today.\I can't grasp it no matter how many times it's said...\Better late than never.\I'm sorry...\Hey, isn't Kohsaka here yet?\Didn't he just message us that he's in the parking lot? response:	So slow...
context: What am I doing in a place like this?\That was the seventh time today.\I can't grasp it no matter how many times it's said...\Better late than never.\I'm sorry...\Hey, isn't Kohsaka here yet?\Didn't he just message us that he's in the parking lot?\So slow... response:	Today's the day I make my move!
context: That was the seventh time today.\I can't grasp it no matter how many times it's said...\Better late than never.\I'm sorry...\Hey, isn't Kohsaka here yet?\Didn't he just message us that he's in the parking lot?\So slow...\Today's the day I make my move! response:	I have a feeling it's a waste of effort...
context: I can't grasp it no matter how many times it's said...\Better late than never.\I'm sorry...\Hey, isn't Kohsaka here yet?\Didn't he just message us that he's in the parking lot?\So slow...\Today's the day I make my move!\I have a feeling it's a waste of effort... response:	C'mon, let's go.
context: Better late than never.\I'm sorry...\Hey, isn't Kohsaka here yet?\Didn't he just message us that he's in the parking lot?\So slow...\Today's the day I make my move!\I have a feeling it's a waste of effort...\C'mon, let's go. response:	It's embarrassing to go to Comic Fest with a tan.
context: I'm sorry...\Hey, isn't Kohsaka here yet?\Didn't he just message us that he's in the parking lot?\So slow...\Today's the day I make my move!\I have a feeling it's a waste of effort...\C'mon, let's go.\It's embarrassing to go to Comic Fest with a tan. response:	It sure is...
context: Hey, isn't Kohsaka here yet?\Didn't he just message us that he's in the parking lot?\So slow...\Today's the day I make my move!\I have a feeling it's a waste of effort...\C'mon, let's go.\It's embarrassing to go to Comic Fest with a tan.\It sure is... response:	Well, we put on sunscreen...
context: Didn't he just message us that he's in the parking lot?\So slow...\Today's the day I make my move!\I have a feeling it's a waste of effort...\C'mon, let's go.\It's embarrassing to go to Comic Fest with a tan.\It sure is...\Well, we put on sunscreen... response:	There they are.
context: So slow...\Today's the day I make my move!\I have a feeling it's a waste of effort...\C'mon, let's go.\It's embarrassing to go to Comic Fest with a tan.\It sure is...\Well, we put on sunscreen...\There they are. response:	Let go of me, okay?
context: Today's the day I make my move!\I have a feeling it's a waste of effort...\C'mon, let's go.\It's embarrassing to go to Comic Fest with a tan.\It sure is...\Well, we put on sunscreen...\There they are.\Let go of me, okay? response:	Aww, no, I can't...
context: I have a feeling it's a waste of effort...\C'mon, let's go.\It's embarrassing to go to Comic Fest with a tan.\It sure is...\Well, we put on sunscreen...\There they are.\Let go of me, okay?\Aww, no, I can't... response:	Hello, could you do something about her?
context: C'mon, let's go.\It's embarrassing to go to Comic Fest with a tan.\It sure is...\Well, we put on sunscreen...\There they are.\Let go of me, okay?\Aww, no, I can't...\Hello, could you do something about her? response:	Wow, Ohno is, well...
context: It's embarrassing to go to Comic Fest with a tan.\It sure is...\Well, we put on sunscreen...\There they are.\Let go of me, okay?\Aww, no, I can't...\Hello, could you do something about her?\Wow, Ohno is, well... response:	The scary thing is, she's not even trying...
context: It sure is...\Well, we put on sunscreen...\There they are.\Let go of me, okay?\Aww, no, I can't...\Hello, could you do something about her?\Wow, Ohno is, well...\The scary thing is, she's not even trying... response:	Kugapee drove us here...
context: Well, we put on sunscreen...\There they are.\Let go of me, okay?\Aww, no, I can't...\Hello, could you do something about her?\Wow, Ohno is, well...\The scary thing is, she's not even trying...\Kugapee drove us here... response:	Well, it's just how it happened.
context: There they are.\Let go of me, okay?\Aww, no, I can't...\Hello, could you do something about her?\Wow, Ohno is, well...\The scary thing is, she's not even trying...\Kugapee drove us here...\Well, it's just how it happened. response:	One of these things is not like the others.
context: Let go of me, okay?\Aww, no, I can't...\Hello, could you do something about her?\Wow, Ohno is, well...\The scary thing is, she's not even trying...\Kugapee drove us here...\Well, it's just how it happened.\One of these things is not like the others. response:	So you came for real.
context: Aww, no, I can't...\Hello, could you do something about her?\Wow, Ohno is, well...\The scary thing is, she's not even trying...\Kugapee drove us here...\Well, it's just how it happened.\One of these things is not like the others.\So you came for real. response:	Hello.
context: Hello, could you do something about her?\Wow, Ohno is, well...\The scary thing is, she's not even trying...\Kugapee drove us here...\Well, it's just how it happened.\One of these things is not like the others.\So you came for real.\Hello. response:	Don't get too close.
context: Wow, Ohno is, well...\The scary thing is, she's not even trying...\Kugapee drove us here...\Well, it's just how it happened.\One of these things is not like the others.\So you came for real.\Hello.\Don't get too close. response:	I wouldn't get too close to you, sistah.
context: The scary thing is, she's not even trying...\Kugapee drove us here...\Well, it's just how it happened.\One of these things is not like the others.\So you came for real.\Hello.\Don't get too close.\I wouldn't get too close to you, sistah. response:	S-Sasahara, p-pull it a l-little farther that way.
context: Kugapee drove us here...\Well, it's just how it happened.\One of these things is not like the others.\So you came for real.\Hello.\Don't get too close.\I wouldn't get too close to you, sistah.\S-Sasahara, p-pull it a l-little farther that way. response:	About here?
context: Well, it's just how it happened.\One of these things is not like the others.\So you came for real.\Hello.\Don't get too close.\I wouldn't get too close to you, sistah.\S-Sasahara, p-pull it a l-little farther that way.\About here? response:	Look, it's all right.
context: One of these things is not like the others.\So you came for real.\Hello.\Don't get too close.\I wouldn't get too close to you, sistah.\S-Sasahara, p-pull it a l-little farther that way.\About here?\Look, it's all right. response:	The hotel back there keeps a close eye on the beach.
context: So you came for real.\Hello.\Don't get too close.\I wouldn't get too close to you, sistah.\S-Sasahara, p-pull it a l-little farther that way.\About here?\Look, it's all right.\The hotel back there keeps a close eye on the beach. response:	No weirdos are going to hit on you. It's almost all families here.
context: Hello.\Don't get too close.\I wouldn't get too close to you, sistah.\S-Sasahara, p-pull it a l-little farther that way.\About here?\Look, it's all right.\The hotel back there keeps a close eye on the beach.\No weirdos are going to hit on you. It's almost all families here. response:	You always wear embarrassing things when you cosplay, you know.
context: Don't get too close.\I wouldn't get too close to you, sistah.\S-Sasahara, p-pull it a l-little farther that way.\About here?\Look, it's all right.\The hotel back there keeps a close eye on the beach.\No weirdos are going to hit on you. It's almost all families here.\You always wear embarrassing things when you cosplay, you know. response:	That's different from this...
context: I wouldn't get too close to you, sistah.\S-Sasahara, p-pull it a l-little farther that way.\About here?\Look, it's all right.\The hotel back there keeps a close eye on the beach.\No weirdos are going to hit on you. It's almost all families here.\You always wear embarrassing things when you cosplay, you know.\That's different from this... response:	Besides, look.
context: S-Sasahara, p-pull it a l-little farther that way.\About here?\Look, it's all right.\The hotel back there keeps a close eye on the beach.\No weirdos are going to hit on you. It's almost all families here.\You always wear embarrassing things when you cosplay, you know.\That's different from this...\Besides, look. response:	If it comes down to it, we have an entire squad of bodyguards!
context: About here?\Look, it's all right.\The hotel back there keeps a close eye on the beach.\No weirdos are going to hit on you. It's almost all families here.\You always wear embarrassing things when you cosplay, you know.\That's different from this...\Besides, look.\If it comes down to it, we have an entire squad of bodyguards! response:	In any case, let go of my hand.
context: Look, it's all right.\The hotel back there keeps a close eye on the beach.\No weirdos are going to hit on you. It's almost all families here.\You always wear embarrassing things when you cosplay, you know.\That's different from this...\Besides, look.\If it comes down to it, we have an entire squad of bodyguards!\In any case, let go of my hand. response:	Kohsaka and I are going swimming.
context: The hotel back there keeps a close eye on the beach.\No weirdos are going to hit on you. It's almost all families here.\You always wear embarrassing things when you cosplay, you know.\That's different from this...\Besides, look.\If it comes down to it, we have an entire squad of bodyguards!\In any case, let go of my hand.\Kohsaka and I are going swimming. response:	That's the way.
context: No weirdos are going to hit on you. It's almost all families here.\You always wear embarrassing things when you cosplay, you know.\That's different from this...\Besides, look.\If it comes down to it, we have an entire squad of bodyguards!\In any case, let go of my hand.\Kohsaka and I are going swimming.\That's the way. response:	Hey, Kohsaka.
context: You always wear embarrassing things when you cosplay, you know.\That's different from this...\Besides, look.\If it comes down to it, we have an entire squad of bodyguards!\In any case, let go of my hand.\Kohsaka and I are going swimming.\That's the way.\Hey, Kohsaka. response:	Let's go over this again.
context: That's different from this...\Besides, look.\If it comes down to it, we have an entire squad of bodyguards!\In any case, let go of my hand.\Kohsaka and I are going swimming.\That's the way.\Hey, Kohsaka.\Let's go over this again. response:	Don't come within a ten meter radius of me and Kohsaka!
context: Besides, look.\If it comes down to it, we have an entire squad of bodyguards!\In any case, let go of my hand.\Kohsaka and I are going swimming.\That's the way.\Hey, Kohsaka.\Let's go over this again.\Don't come within a ten meter radius of me and Kohsaka! response:	I expected this to an extent...
context: If it comes down to it, we have an entire squad of bodyguards!\In any case, let go of my hand.\Kohsaka and I are going swimming.\That's the way.\Hey, Kohsaka.\Let's go over this again.\Don't come within a ten meter radius of me and Kohsaka!\I expected this to an extent... response:	Well, since we're watching the stuff, the parasols at least can be close together.
context: In any case, let go of my hand.\Kohsaka and I are going swimming.\That's the way.\Hey, Kohsaka.\Let's go over this again.\Don't come within a ten meter radius of me and Kohsaka!\I expected this to an extent...\Well, since we're watching the stuff, the parasols at least can be close together. response:	What's with this difference in population density?
context: Kohsaka and I are going swimming.\That's the way.\Hey, Kohsaka.\Let's go over this again.\Don't come within a ten meter radius of me and Kohsaka!\I expected this to an extent...\Well, since we're watching the stuff, the parasols at least can be close together.\What's with this difference in population density? response:	Why do I gotta be on this side?
context: That's the way.\Hey, Kohsaka.\Let's go over this again.\Don't come within a ten meter radius of me and Kohsaka!\I expected this to an extent...\Well, since we're watching the stuff, the parasols at least can be close together.\What's with this difference in population density?\Why do I gotta be on this side? response:	E-Everyone go do their thing.
context: Hey, Kohsaka.\Let's go over this again.\Don't come within a ten meter radius of me and Kohsaka!\I expected this to an extent...\Well, since we're watching the stuff, the parasols at least can be close together.\What's with this difference in population density?\Why do I gotta be on this side?\E-Everyone go do their thing. response:	I have to drive home, so I'm conserving my energy.
context: Let's go over this again.\Don't come within a ten meter radius of me and Kohsaka!\I expected this to an extent...\Well, since we're watching the stuff, the parasols at least can be close together.\What's with this difference in population density?\Why do I gotta be on this side?\E-Everyone go do their thing.\I have to drive home, so I'm conserving my energy. response:	I don't really know how to swim...
context: Don't come within a ten meter radius of me and Kohsaka!\I expected this to an extent...\Well, since we're watching the stuff, the parasols at least can be close together.\What's with this difference in population density?\Why do I gotta be on this side?\E-Everyone go do their thing.\I have to drive home, so I'm conserving my energy.\I don't really know how to swim... response:	Comic Fest is next week, and I won't be humiliated by a tan.
context: I expected this to an extent...\Well, since we're watching the stuff, the parasols at least can be close together.\What's with this difference in population density?\Why do I gotta be on this side?\E-Everyone go do their thing.\I have to drive home, so I'm conserving my energy.\I don't really know how to swim...\Comic Fest is next week, and I won't be humiliated by a tan. response:	Well, there you have it.
context: Well, since we're watching the stuff, the parasols at least can be close together.\What's with this difference in population density?\Why do I gotta be on this side?\E-Everyone go do their thing.\I have to drive home, so I'm conserving my energy.\I don't really know how to swim...\Comic Fest is next week, and I won't be humiliated by a tan.\Well, there you have it. response:	Is that true?
context: What's with this difference in population density?\Why do I gotta be on this side?\E-Everyone go do their thing.\I have to drive home, so I'm conserving my energy.\I don't really know how to swim...\Comic Fest is next week, and I won't be humiliated by a tan.\Well, there you have it.\Is that true? response:	Come on, let's go.
context: Why do I gotta be on this side?\E-Everyone go do their thing.\I have to drive home, so I'm conserving my energy.\I don't really know how to swim...\Comic Fest is next week, and I won't be humiliated by a tan.\Well, there you have it.\Is that true?\Come on, let's go. response:	Yes, it is. Come on, let's go.
context: E-Everyone go do their thing.\I have to drive home, so I'm conserving my energy.\I don't really know how to swim...\Comic Fest is next week, and I won't be humiliated by a tan.\Well, there you have it.\Is that true?\Come on, let's go.\Yes, it is. Come on, let's go. response:	Oh, that was nothing.
context: I have to drive home, so I'm conserving my energy.\I don't really know how to swim...\Comic Fest is next week, and I won't be humiliated by a tan.\Well, there you have it.\Is that true?\Come on, let's go.\Yes, it is. Come on, let's go.\Oh, that was nothing. response:	M-Monkey...
context: I don't really know how to swim...\Comic Fest is next week, and I won't be humiliated by a tan.\Well, there you have it.\Is that true?\Come on, let's go.\Yes, it is. Come on, let's go.\Oh, that was nothing.\M-Monkey... response:	Who'd help somebody who calls them monkey?
context: Comic Fest is next week, and I won't be humiliated by a tan.\Well, there you have it.\Is that true?\Come on, let's go.\Yes, it is. Come on, let's go.\Oh, that was nothing.\M-Monkey...\Who'd help somebody who calls them monkey? response:	Hey, are you just going to sit here like this?
context: Well, there you have it.\Is that true?\Come on, let's go.\Yes, it is. Come on, let's go.\Oh, that was nothing.\M-Monkey...\Who'd help somebody who calls them monkey?\Hey, are you just going to sit here like this? response:	Yeah...
context: Is that true?\Come on, let's go.\Yes, it is. Come on, let's go.\Oh, that was nothing.\M-Monkey...\Who'd help somebody who calls them monkey?\Hey, are you just going to sit here like this?\Yeah... response:	While I'm at it, I might as well look at Comic Fest materials.
context: Come on, let's go.\Yes, it is. Come on, let's go.\Oh, that was nothing.\M-Monkey...\Who'd help somebody who calls them monkey?\Hey, are you just going to sit here like this?\Yeah...\While I'm at it, I might as well look at Comic Fest materials. response:	What, right here?
context: Yes, it is. Come on, let's go.\Oh, that was nothing.\M-Monkey...\Who'd help somebody who calls them monkey?\Hey, are you just going to sit here like this?\Yeah...\While I'm at it, I might as well look at Comic Fest materials.\What, right here? response:	Oh, you've chosen your costume.
context: Oh, that was nothing.\M-Monkey...\Who'd help somebody who calls them monkey?\Hey, are you just going to sit here like this?\Yeah...\While I'm at it, I might as well look at Comic Fest materials.\What, right here?\Oh, you've chosen your costume. response:	Which one are you doing?
context: M-Monkey...\Who'd help somebody who calls them monkey?\Hey, are you just going to sit here like this?\Yeah...\While I'm at it, I might as well look at Comic Fest materials.\What, right here?\Oh, you've chosen your costume.\Which one are you doing? response:	I thought this might be good...
context: Who'd help somebody who calls them monkey?\Hey, are you just going to sit here like this?\Yeah...\While I'm at it, I might as well look at Comic Fest materials.\What, right here?\Oh, you've chosen your costume.\Which one are you doing?\I thought this might be good... response:	Ahh, but you'll need a long prop.
context: Hey, are you just going to sit here like this?\Yeah...\While I'm at it, I might as well look at Comic Fest materials.\What, right here?\Oh, you've chosen your costume.\Which one are you doing?\I thought this might be good...\Ahh, but you'll need a long prop. response:	Her uniform is cute, though.
context: Yeah...\While I'm at it, I might as well look at Comic Fest materials.\What, right here?\Oh, you've chosen your costume.\Which one are you doing?\I thought this might be good...\Ahh, but you'll need a long prop.\Her uniform is cute, though. response:	Let's go.
context: While I'm at it, I might as well look at Comic Fest materials.\What, right here?\Oh, you've chosen your costume.\Which one are you doing?\I thought this might be good...\Ahh, but you'll need a long prop.\Her uniform is cute, though.\Let's go. response:	W- Wait, wait! Let's go.
context: What, right here?\Oh, you've chosen your costume.\Which one are you doing?\I thought this might be good...\Ahh, but you'll need a long prop.\Her uniform is cute, though.\Let's go.\W- Wait, wait! Let's go. response:	Seriously, please!
context: Oh, you've chosen your costume.\Which one are you doing?\I thought this might be good...\Ahh, but you'll need a long prop.\Her uniform is cute, though.\Let's go.\W- Wait, wait! Let's go.\Seriously, please! response:	Can we hang out?
context: Which one are you doing?\I thought this might be good...\Ahh, but you'll need a long prop.\Her uniform is cute, though.\Let's go.\W- Wait, wait! Let's go.\Seriously, please!\Can we hang out? response:	They're over there starting in on the Gungal Word Game or something!
context: I thought this might be good...\Ahh, but you'll need a long prop.\Her uniform is cute, though.\Let's go.\W- Wait, wait! Let's go.\Seriously, please!\Can we hang out?\They're over there starting in on the Gungal Word Game or something! response:	Hey, I want to play it too.
context: Ahh, but you'll need a long prop.\Her uniform is cute, though.\Let's go.\W- Wait, wait! Let's go.\Seriously, please!\Can we hang out?\They're over there starting in on the Gungal Word Game or something!\Hey, I want to play it too. response:	Come on, please.
context: Her uniform is cute, though.\Let's go.\W- Wait, wait! Let's go.\Seriously, please!\Can we hang out?\They're over there starting in on the Gungal Word Game or something!\Hey, I want to play it too.\Come on, please. response:	I won't make any passes at him.
context: Let's go.\W- Wait, wait! Let's go.\Seriously, please!\Can we hang out?\They're over there starting in on the Gungal Word Game or something!\Hey, I want to play it too.\Come on, please.\I won't make any passes at him. response:	Fine, whatever...
context: W- Wait, wait! Let's go.\Seriously, please!\Can we hang out?\They're over there starting in on the Gungal Word Game or something!\Hey, I want to play it too.\Come on, please.\I won't make any passes at him.\Fine, whatever... response:	Yes!
context: Seriously, please!\Can we hang out?\They're over there starting in on the Gungal Word Game or something!\Hey, I want to play it too.\Come on, please.\I won't make any passes at him.\Fine, whatever...\Yes! response:	Oh come on, why not?
context: Can we hang out?\They're over there starting in on the Gungal Word Game or something!\Hey, I want to play it too.\Come on, please.\I won't make any passes at him.\Fine, whatever...\Yes!\Oh come on, why not? response:	Amuro wants Sayla's good luck charm in the novels!
context: They're over there starting in on the Gungal Word Game or something!\Hey, I want to play it too.\Come on, please.\I won't make any passes at him.\Fine, whatever...\Yes!\Oh come on, why not?\Amuro wants Sayla's good luck charm in the novels! response:	Isn't that way too geeky?
context: Hey, I want to play it too.\Come on, please.\I won't make any passes at him.\Fine, whatever...\Yes!\Oh come on, why not?\Amuro wants Sayla's good luck charm in the novels!\Isn't that way too geeky? response:	Delving into the novels is kind of abnormal!
context: Come on, please.\I won't make any passes at him.\Fine, whatever...\Yes!\Oh come on, why not?\Amuro wants Sayla's good luck charm in the novels!\Isn't that way too geeky?\Delving into the novels is kind of abnormal! response:	How so?
context: I won't make any passes at him.\Fine, whatever...\Yes!\Oh come on, why not?\Amuro wants Sayla's good luck charm in the novels!\Isn't that way too geeky?\Delving into the novels is kind of abnormal!\How so? response:	Ahh, geez...
context: Fine, whatever...\Yes!\Oh come on, why not?\Amuro wants Sayla's good luck charm in the novels!\Isn't that way too geeky?\Delving into the novels is kind of abnormal!\How so?\Ahh, geez... response:	Why not Sayla Mass?
context: Yes!\Oh come on, why not?\Amuro wants Sayla's good luck charm in the novels!\Isn't that way too geeky?\Delving into the novels is kind of abnormal!\How so?\Ahh, geez...\Why not Sayla Mass? response:	No way! Don't make me checkmate you!
context: Oh come on, why not?\Amuro wants Sayla's good luck charm in the novels!\Isn't that way too geeky?\Delving into the novels is kind of abnormal!\How so?\Ahh, geez...\Why not Sayla Mass?\No way! Don't make me checkmate you! response:	This is a time-honored Japanese tradition!
context: Amuro wants Sayla's good luck charm in the novels!\Isn't that way too geeky?\Delving into the novels is kind of abnormal!\How so?\Ahh, geez...\Why not Sayla Mass?\No way! Don't make me checkmate you!\This is a time-honored Japanese tradition! response:	Yes, I know that!
context: Isn't that way too geeky?\Delving into the novels is kind of abnormal!\How so?\Ahh, geez...\Why not Sayla Mass?\No way! Don't make me checkmate you!\This is a time-honored Japanese tradition!\Yes, I know that! response:	I will not yield!
context: Delving into the novels is kind of abnormal!\How so?\Ahh, geez...\Why not Sayla Mass?\No way! Don't make me checkmate you!\This is a time-honored Japanese tradition!\Yes, I know that!\I will not yield! response:	Have it your way.
context: How so?\Ahh, geez...\Why not Sayla Mass?\No way! Don't make me checkmate you!\This is a time-honored Japanese tradition!\Yes, I know that!\I will not yield!\Have it your way. response:	Then it's the m in charm.
context: Ahh, geez...\Why not Sayla Mass?\No way! Don't make me checkmate you!\This is a time-honored Japanese tradition!\Yes, I know that!\I will not yield!\Have it your way.\Then it's the m in charm. response:	M-M-M-Mass production model...
context: Why not Sayla Mass?\No way! Don't make me checkmate you!\This is a time-honored Japanese tradition!\Yes, I know that!\I will not yield!\Have it your way.\Then it's the m in charm.\M-M-M-Mass production model... response:	I'm kind of tired of this...
context: No way! Don't make me checkmate you!\This is a time-honored Japanese tradition!\Yes, I know that!\I will not yield!\Have it your way.\Then it's the m in charm.\M-M-M-Mass production model...\I'm kind of tired of this... response:	S-Since we're here, why not go out there a bit?
context: This is a time-honored Japanese tradition!\Yes, I know that!\I will not yield!\Have it your way.\Then it's the m in charm.\M-M-M-Mass production model...\I'm kind of tired of this...\S-Since we're here, why not go out there a bit? response:	I-I'll watch our things.
context: Yes, I know that!\I will not yield!\Have it your way.\Then it's the m in charm.\M-M-M-Mass production model...\I'm kind of tired of this...\S-Since we're here, why not go out there a bit?\I-I'll watch our things. response:	Oh, are you sure?
context: I will not yield!\Have it your way.\Then it's the m in charm.\M-M-M-Mass production model...\I'm kind of tired of this...\S-Since we're here, why not go out there a bit?\I-I'll watch our things.\Oh, are you sure? response:	Yeah.
context: Have it your way.\Then it's the m in charm.\M-M-M-Mass production model...\I'm kind of tired of this...\S-Since we're here, why not go out there a bit?\I-I'll watch our things.\Oh, are you sure?\Yeah. response:	W-Why don't you go play on the beach too, Ohno?
context: Then it's the m in charm.\M-M-M-Mass production model...\I'm kind of tired of this...\S-Since we're here, why not go out there a bit?\I-I'll watch our things.\Oh, are you sure?\Yeah.\W-Why don't you go play on the beach too, Ohno? response:	Okay, just for a bit.
context: M-M-M-Mass production model...\I'm kind of tired of this...\S-Since we're here, why not go out there a bit?\I-I'll watch our things.\Oh, are you sure?\Yeah.\W-Why don't you go play on the beach too, Ohno?\Okay, just for a bit. response:	Me too, then.
context: I'm kind of tired of this...\S-Since we're here, why not go out there a bit?\I-I'll watch our things.\Oh, are you sure?\Yeah.\W-Why don't you go play on the beach too, Ohno?\Okay, just for a bit.\Me too, then. response:	I'm not going!
context: S-Since we're here, why not go out there a bit?\I-I'll watch our things.\Oh, are you sure?\Yeah.\W-Why don't you go play on the beach too, Ohno?\Okay, just for a bit.\Me too, then.\I'm not going! response:	Having a tan at Comic Fest is...
context: I-I'll watch our things.\Oh, are you sure?\Yeah.\W-Why don't you go play on the beach too, Ohno?\Okay, just for a bit.\Me too, then.\I'm not going!\Having a tan at Comic Fest is... response:	We know, it's embarrassing.
context: Oh, are you sure?\Yeah.\W-Why don't you go play on the beach too, Ohno?\Okay, just for a bit.\Me too, then.\I'm not going!\Having a tan at Comic Fest is...\We know, it's embarrassing. response:	Suit yourself.
context: Yeah.\W-Why don't you go play on the beach too, Ohno?\Okay, just for a bit.\Me too, then.\I'm not going!\Having a tan at Comic Fest is...\We know, it's embarrassing.\Suit yourself. response:	I-I...
context: W-Why don't you go play on the beach too, Ohno?\Okay, just for a bit.\Me too, then.\I'm not going!\Having a tan at Comic Fest is...\We know, it's embarrassing.\Suit yourself.\I-I... response:	Nice and cold!
context: Okay, just for a bit.\Me too, then.\I'm not going!\Having a tan at Comic Fest is...\We know, it's embarrassing.\Suit yourself.\I-I...\Nice and cold! response:	If you stand in one place long enough...
context: Me too, then.\I'm not going!\Having a tan at Comic Fest is...\We know, it's embarrassing.\Suit yourself.\I-I...\Nice and cold!\If you stand in one place long enough... response:	If you stand in one place, the sand at your feet steadily washes away.
context: I'm not going!\Having a tan at Comic Fest is...\We know, it's embarrassing.\Suit yourself.\I-I...\Nice and cold!\If you stand in one place long enough...\If you stand in one place, the sand at your feet steadily washes away. response:	Eh? Oh, yeah it does...
context: Having a tan at Comic Fest is...\We know, it's embarrassing.\Suit yourself.\I-I...\Nice and cold!\If you stand in one place long enough...\If you stand in one place, the sand at your feet steadily washes away.\Eh? Oh, yeah it does... response:	The illusion of the waves help make it seem like you're going to fall backwards.
context: We know, it's embarrassing.\Suit yourself.\I-I...\Nice and cold!\If you stand in one place long enough...\If you stand in one place, the sand at your feet steadily washes away.\Eh? Oh, yeah it does...\The illusion of the waves help make it seem like you're going to fall backwards. response:	O-Ohno?
