context: Overview response:	Tokyo
context: Civilian Antarctic Expedition to Take Place for the First Time in Three Years?\The moment I saw that smile,\I felt a shiver run through my heart.\Is this what trembling with anticipation means? I wondered.\I'm currently making the most preposterous, absurd,\and enormous plans I've ever made.\Hand-Roasted Beans\Port City Cafe response:	Hey, is that a submarine?
context: The moment I saw that smile,\I felt a shiver run through my heart.\Is this what trembling with anticipation means? I wondered.\I'm currently making the most preposterous, absurd,\and enormous plans I've ever made.\Hand-Roasted Beans\Port City Cafe\Hey, is that a submarine? response:	Yeah.
context: I felt a shiver run through my heart.\Is this what trembling with anticipation means? I wondered.\I'm currently making the most preposterous, absurd,\and enormous plans I've ever made.\Hand-Roasted Beans\Port City Cafe\Hey, is that a submarine?\Yeah. response:	Subj: Dear Mom
context: Is this what trembling with anticipation means? I wondered.\I'm currently making the most preposterous, absurd,\and enormous plans I've ever made.\Hand-Roasted Beans\Port City Cafe\Hey, is that a submarine?\Yeah.\Subj: Dear Mom response:	A Place Further Than the Universe
context: I'm currently making the most preposterous, absurd,\and enormous plans I've ever made.\Hand-Roasted Beans\Port City Cafe\Hey, is that a submarine?\Yeah.\Subj: Dear Mom\A Place Further Than the Universe response:	MustBe18 PartTimeJob Seduction Robots
context: and enormous plans I've ever made.\Hand-Roasted Beans\Port City Cafe\Hey, is that a submarine?\Yeah.\Subj: Dear Mom\A Place Further Than the Universe\MustBe18 PartTimeJob Seduction Robots response:	Kabukicho Fremantle
context: Hand-Roasted Beans\Port City Cafe\Hey, is that a submarine?\Yeah.\Subj: Dear Mom\A Place Further Than the Universe\MustBe18 PartTimeJob Seduction Robots\Kabukicho Fremantle response:	2 Likes 2 Comments
context: Port City Cafe\Hey, is that a submarine?\Yeah.\Subj: Dear Mom\A Place Further Than the Universe\MustBe18 PartTimeJob Seduction Robots\Kabukicho Fremantle\2 Likes 2 Comments response:	Short-Term Jobs With High Pay Easy Work For Beginners
context: Hey, is that a submarine?\Yeah.\Subj: Dear Mom\A Place Further Than the Universe\MustBe18 PartTimeJob Seduction Robots\Kabukicho Fremantle\2 Likes 2 Comments\Short-Term Jobs With High Pay Easy Work For Beginners response:	Girls' Tea Series
context: Yeah.\Subj: Dear Mom\A Place Further Than the Universe\MustBe18 PartTimeJob Seduction Robots\Kabukicho Fremantle\2 Likes 2 Comments\Short-Term Jobs With High Pay Easy Work For Beginners\Girls' Tea Series response:	Girls' Strawberry Tea
context: Subj: Dear Mom\A Place Further Than the Universe\MustBe18 PartTimeJob Seduction Robots\Kabukicho Fremantle\2 Likes 2 Comments\Short-Term Jobs With High Pay Easy Work For Beginners\Girls' Tea Series\Girls' Strawberry Tea response:	Gotta be eighteen for this one, too, huh?
context: A Place Further Than the Universe\MustBe18 PartTimeJob Seduction Robots\Kabukicho Fremantle\2 Likes 2 Comments\Short-Term Jobs With High Pay Easy Work For Beginners\Girls' Tea Series\Girls' Strawberry Tea\Gotta be eighteen for this one, too, huh? response:	Oh? Looking for part-time work?
context: MustBe18 PartTimeJob Seduction Robots\Kabukicho Fremantle\2 Likes 2 Comments\Short-Term Jobs With High Pay Easy Work For Beginners\Girls' Tea Series\Girls' Strawberry Tea\Gotta be eighteen for this one, too, huh?\Oh? Looking for part-time work? response:	Morning. And yeah.
context: Kabukicho Fremantle\2 Likes 2 Comments\Short-Term Jobs With High Pay Easy Work For Beginners\Girls' Tea Series\Girls' Strawberry Tea\Gotta be eighteen for this one, too, huh?\Oh? Looking for part-time work?\Morning. And yeah. response:	I told you about the cost of the plane ticket yesterday.
context: 2 Likes 2 Comments\Short-Term Jobs With High Pay Easy Work For Beginners\Girls' Tea Series\Girls' Strawberry Tea\Gotta be eighteen for this one, too, huh?\Oh? Looking for part-time work?\Morning. And yeah.\I told you about the cost of the plane ticket yesterday. response:	Shirase-chan wants me to earn it in advance.
context: Short-Term Jobs With High Pay Easy Work For Beginners\Girls' Tea Series\Girls' Strawberry Tea\Gotta be eighteen for this one, too, huh?\Oh? Looking for part-time work?\Morning. And yeah.\I told you about the cost of the plane ticket yesterday.\Shirase-chan wants me to earn it in advance. response:	Antarctica, huh?
context: Girls' Tea Series\Girls' Strawberry Tea\Gotta be eighteen for this one, too, huh?\Oh? Looking for part-time work?\Morning. And yeah.\I told you about the cost of the plane ticket yesterday.\Shirase-chan wants me to earn it in advance.\Antarctica, huh? response:	Yeah. She also said, since I'll have to take time off from school,
context: Girls' Strawberry Tea\Gotta be eighteen for this one, too, huh?\Oh? Looking for part-time work?\Morning. And yeah.\I told you about the cost of the plane ticket yesterday.\Shirase-chan wants me to earn it in advance.\Antarctica, huh?\Yeah. She also said, since I'll have to take time off from school, response:	I should attend every day now while I can.
context: Gotta be eighteen for this one, too, huh?\Oh? Looking for part-time work?\Morning. And yeah.\I told you about the cost of the plane ticket yesterday.\Shirase-chan wants me to earn it in advance.\Antarctica, huh?\Yeah. She also said, since I'll have to take time off from school,\I should attend every day now while I can. response:	Hey, look! This one's perfect!
context: Oh? Looking for part-time work?\Morning. And yeah.\I told you about the cost of the plane ticket yesterday.\Shirase-chan wants me to earn it in advance.\Antarctica, huh?\Yeah. She also said, since I'll have to take time off from school,\I should attend every day now while I can.\Hey, look! This one's perfect! response:	What is it?
context: Morning. And yeah.\I told you about the cost of the plane ticket yesterday.\Shirase-chan wants me to earn it in advance.\Antarctica, huh?\Yeah. She also said, since I'll have to take time off from school,\I should attend every day now while I can.\Hey, look! This one's perfect!\What is it? response:	They're hiring high school-aged girls! It's in the hospitality industry.
context: I told you about the cost of the plane ticket yesterday.\Shirase-chan wants me to earn it in advance.\Antarctica, huh?\Yeah. She also said, since I'll have to take time off from school,\I should attend every day now while I can.\Hey, look! This one's perfect!\What is it?\They're hiring high school-aged girls! It's in the hospitality industry. response:	It's a job where you talk to boys and go on walks with them and stuff.
context: Shirase-chan wants me to earn it in advance.\Antarctica, huh?\Yeah. She also said, since I'll have to take time off from school,\I should attend every day now while I can.\Hey, look! This one's perfect!\What is it?\They're hiring high school-aged girls! It's in the hospitality industry.\It's a job where you talk to boys and go on walks with them and stuff. response:	If you do really well, you could even make a million yen per month...
context: Antarctica, huh?\Yeah. She also said, since I'll have to take time off from school,\I should attend every day now while I can.\Hey, look! This one's perfect!\What is it?\They're hiring high school-aged girls! It's in the hospitality industry.\It's a job where you talk to boys and go on walks with them and stuff.\If you do really well, you could even make a million yen per month... response:	If they catch you, you're dead.
context: Yeah. She also said, since I'll have to take time off from school,\I should attend every day now while I can.\Hey, look! This one's perfect!\What is it?\They're hiring high school-aged girls! It's in the hospitality industry.\It's a job where you talk to boys and go on walks with them and stuff.\If you do really well, you could even make a million yen per month...\If they catch you, you're dead. response:	I'll be fine!
context: I should attend every day now while I can.\Hey, look! This one's perfect!\What is it?\They're hiring high school-aged girls! It's in the hospitality industry.\It's a job where you talk to boys and go on walks with them and stuff.\If you do really well, you could even make a million yen per month...\If they catch you, you're dead.\I'll be fine! response:	I'll turn in a part-time job permission form to the school.
context: Hey, look! This one's perfect!\What is it?\They're hiring high school-aged girls! It's in the hospitality industry.\It's a job where you talk to boys and go on walks with them and stuff.\If you do really well, you could even make a million yen per month...\If they catch you, you're dead.\I'll be fine!\I'll turn in a part-time job permission form to the school. response:	You're so ignorant.
context: What is it?\They're hiring high school-aged girls! It's in the hospitality industry.\It's a job where you talk to boys and go on walks with them and stuff.\If you do really well, you could even make a million yen per month...\If they catch you, you're dead.\I'll be fine!\I'll turn in a part-time job permission form to the school.\You're so ignorant. response:	Setting the money aside, do you really think they'll let you go?
context: They're hiring high school-aged girls! It's in the hospitality industry.\It's a job where you talk to boys and go on walks with them and stuff.\If you do really well, you could even make a million yen per month...\If they catch you, you're dead.\I'll be fine!\I'll turn in a part-time job permission form to the school.\You're so ignorant.\Setting the money aside, do you really think they'll let you go? response:	Yeah! Shirase-chan told me all about it.
context: It's a job where you talk to boys and go on walks with them and stuff.\If you do really well, you could even make a million yen per month...\If they catch you, you're dead.\I'll be fine!\I'll turn in a part-time job permission form to the school.\You're so ignorant.\Setting the money aside, do you really think they'll let you go?\Yeah! Shirase-chan told me all about it. response:	She's got some friends on the civilian Antarctic expedition that's going this year, so...
context: If you do really well, you could even make a million yen per month...\If they catch you, you're dead.\I'll be fine!\I'll turn in a part-time job permission form to the school.\You're so ignorant.\Setting the money aside, do you really think they'll let you go?\Yeah! Shirase-chan told me all about it.\She's got some friends on the civilian Antarctic expedition that's going this year, so... response:	Easy on Hands Sincerity Chalk
context: If they catch you, you're dead.\I'll be fine!\I'll turn in a part-time job permission form to the school.\You're so ignorant.\Setting the money aside, do you really think they'll let you go?\Yeah! Shirase-chan told me all about it.\She's got some friends on the civilian Antarctic expedition that's going this year, so...\Easy on Hands Sincerity Chalk response:	I did some research, and it sounds a little dicey.
context: I'll be fine!\I'll turn in a part-time job permission form to the school.\You're so ignorant.\Setting the money aside, do you really think they'll let you go?\Yeah! Shirase-chan told me all about it.\She's got some friends on the civilian Antarctic expedition that's going this year, so...\Easy on Hands Sincerity Chalk\I did some research, and it sounds a little dicey. response:	Struggles to Fund Civilian Antarctic Expedition
context: I'll turn in a part-time job permission form to the school.\You're so ignorant.\Setting the money aside, do you really think they'll let you go?\Yeah! Shirase-chan told me all about it.\She's got some friends on the civilian Antarctic expedition that's going this year, so...\Easy on Hands Sincerity Chalk\I did some research, and it sounds a little dicey.\Struggles to Fund Civilian Antarctic Expedition response:	Four years ago, with the completion of new stations
context: You're so ignorant.\Setting the money aside, do you really think they'll let you go?\Yeah! Shirase-chan told me all about it.\She's got some friends on the civilian Antarctic expedition that's going this year, so...\Easy on Hands Sincerity Chalk\I did some research, and it sounds a little dicey.\Struggles to Fund Civilian Antarctic Expedition\Four years ago, with the completion of new stations response:	and commissioning of a new icebreaker ship,
context: Setting the money aside, do you really think they'll let you go?\Yeah! Shirase-chan told me all about it.\She's got some friends on the civilian Antarctic expedition that's going this year, so...\Easy on Hands Sincerity Chalk\I did some research, and it sounds a little dicey.\Struggles to Fund Civilian Antarctic Expedition\Four years ago, with the completion of new stations\and commissioning of a new icebreaker ship, response:	the Shirase II and Syowa Station were sold to civilian interests,
context: Yeah! Shirase-chan told me all about it.\She's got some friends on the civilian Antarctic expedition that's going this year, so...\Easy on Hands Sincerity Chalk\I did some research, and it sounds a little dicey.\Struggles to Fund Civilian Antarctic Expedition\Four years ago, with the completion of new stations\and commissioning of a new icebreaker ship,\the Shirase II and Syowa Station were sold to civilian interests, response:	but they've struggled with maintenance and operation costs.
context: She's got some friends on the civilian Antarctic expedition that's going this year, so...\Easy on Hands Sincerity Chalk\I did some research, and it sounds a little dicey.\Struggles to Fund Civilian Antarctic Expedition\Four years ago, with the completion of new stations\and commissioning of a new icebreaker ship,\the Shirase II and Syowa Station were sold to civilian interests,\but they've struggled with maintenance and operation costs. response:	The expedition members and sponsor companies
context: Easy on Hands Sincerity Chalk\I did some research, and it sounds a little dicey.\Struggles to Fund Civilian Antarctic Expedition\Four years ago, with the completion of new stations\and commissioning of a new icebreaker ship,\the Shirase II and Syowa Station were sold to civilian interests,\but they've struggled with maintenance and operation costs.\The expedition members and sponsor companies response:	involved in the last expedition three years ago
context: I did some research, and it sounds a little dicey.\Struggles to Fund Civilian Antarctic Expedition\Four years ago, with the completion of new stations\and commissioning of a new icebreaker ship,\the Shirase II and Syowa Station were sold to civilian interests,\but they've struggled with maintenance and operation costs.\The expedition members and sponsor companies\involved in the last expedition three years ago response:	have also been announcing their withdrawal one by one,
context: Struggles to Fund Civilian Antarctic Expedition\Four years ago, with the completion of new stations\and commissioning of a new icebreaker ship,\the Shirase II and Syowa Station were sold to civilian interests,\but they've struggled with maintenance and operation costs.\The expedition members and sponsor companies\involved in the last expedition three years ago\have also been announcing their withdrawal one by one, response:	and the safety of participants may not be ensured.
context: Four years ago, with the completion of new stations\and commissioning of a new icebreaker ship,\the Shirase II and Syowa Station were sold to civilian interests,\but they've struggled with maintenance and operation costs.\The expedition members and sponsor companies\involved in the last expedition three years ago\have also been announcing their withdrawal one by one,\and the safety of participants may not be ensured. response:	As a result, more and more voices are speaking up against the project itself...
context: and commissioning of a new icebreaker ship,\the Shirase II and Syowa Station were sold to civilian interests,\but they've struggled with maintenance and operation costs.\The expedition members and sponsor companies\involved in the last expedition three years ago\have also been announcing their withdrawal one by one,\and the safety of participants may not be ensured.\As a result, more and more voices are speaking up against the project itself... response:	Tamaki-san! Tamaki-san!
context: the Shirase II and Syowa Station were sold to civilian interests,\but they've struggled with maintenance and operation costs.\The expedition members and sponsor companies\involved in the last expedition three years ago\have also been announcing their withdrawal one by one,\and the safety of participants may not be ensured.\As a result, more and more voices are speaking up against the project itself...\Tamaki-san! Tamaki-san! response:	Yes?!
context: but they've struggled with maintenance and operation costs.\The expedition members and sponsor companies\involved in the last expedition three years ago\have also been announcing their withdrawal one by one,\and the safety of participants may not be ensured.\As a result, more and more voices are speaking up against the project itself...\Tamaki-san! Tamaki-san!\Yes?! response:	Analyzing the assertions of... Why does he assert that love and courage are everything?
context: The expedition members and sponsor companies\involved in the last expedition three years ago\have also been announcing their withdrawal one by one,\and the safety of participants may not be ensured.\As a result, more and more voices are speaking up against the project itself...\Tamaki-san! Tamaki-san!\Yes?!\Analyzing the assertions of... Why does he assert that love and courage are everything? response:	Would you kindly read the next passage?
context: involved in the last expedition three years ago\have also been announcing their withdrawal one by one,\and the safety of participants may not be ensured.\As a result, more and more voices are speaking up against the project itself...\Tamaki-san! Tamaki-san!\Yes?!\Analyzing the assertions of... Why does he assert that love and courage are everything?\Would you kindly read the next passage? response:	Yes sir!
context: have also been announcing their withdrawal one by one,\and the safety of participants may not be ensured.\As a result, more and more voices are speaking up against the project itself...\Tamaki-san! Tamaki-san!\Yes?!\Analyzing the assertions of... Why does he assert that love and courage are everything?\Would you kindly read the next passage?\Yes sir! response:	This, combined with the financial problems, is causing concern regarding Wagh!
context: and the safety of participants may not be ensured.\As a result, more and more voices are speaking up against the project itself...\Tamaki-san! Tamaki-san!\Yes?!\Analyzing the assertions of... Why does he assert that love and courage are everything?\Would you kindly read the next passage?\Yes sir!\This, combined with the financial problems, is causing concern regarding Wagh! response:	And what comes after Wagh?
context: As a result, more and more voices are speaking up against the project itself...\Tamaki-san! Tamaki-san!\Yes?!\Analyzing the assertions of... Why does he assert that love and courage are everything?\Would you kindly read the next passage?\Yes sir!\This, combined with the financial problems, is causing concern regarding Wagh!\And what comes after Wagh? response:	Rose Rose Rose Rose Rose Rose Rose Rose
context: Tamaki-san! Tamaki-san!\Yes?!\Analyzing the assertions of... Why does he assert that love and courage are everything?\Would you kindly read the next passage?\Yes sir!\This, combined with the financial problems, is causing concern regarding Wagh!\And what comes after Wagh?\Rose Rose Rose Rose Rose Rose Rose Rose response:	Lemon Lemon Lemon Lemon Lemon Lemon Lemon Lemon
context: Yes?!\Analyzing the assertions of... Why does he assert that love and courage are everything?\Would you kindly read the next passage?\Yes sir!\This, combined with the financial problems, is causing concern regarding Wagh!\And what comes after Wagh?\Rose Rose Rose Rose Rose Rose Rose Rose\Lemon Lemon Lemon Lemon Lemon Lemon Lemon Lemon response:	Depression Depression Depression Depression Depression Depression Depression
context: Analyzing the assertions of... Why does he assert that love and courage are everything?\Would you kindly read the next passage?\Yes sir!\This, combined with the financial problems, is causing concern regarding Wagh!\And what comes after Wagh?\Rose Rose Rose Rose Rose Rose Rose Rose\Lemon Lemon Lemon Lemon Lemon Lemon Lemon Lemon\Depression Depression Depression Depression Depression Depression Depression response:	Still so much to write...
context: Would you kindly read the next passage?\Yes sir!\This, combined with the financial problems, is causing concern regarding Wagh!\And what comes after Wagh?\Rose Rose Rose Rose Rose Rose Rose Rose\Lemon Lemon Lemon Lemon Lemon Lemon Lemon Lemon\Depression Depression Depression Depression Depression Depression Depression\Still so much to write... response:	I haven't had to write lines since elementary school...
context: Yes sir!\This, combined with the financial problems, is causing concern regarding Wagh!\And what comes after Wagh?\Rose Rose Rose Rose Rose Rose Rose Rose\Lemon Lemon Lemon Lemon Lemon Lemon Lemon Lemon\Depression Depression Depression Depression Depression Depression Depression\Still so much to write...\I haven't had to write lines since elementary school... response:	You shouldn't have been reading it in class.
context: This, combined with the financial problems, is causing concern regarding Wagh!\And what comes after Wagh?\Rose Rose Rose Rose Rose Rose Rose Rose\Lemon Lemon Lemon Lemon Lemon Lemon Lemon Lemon\Depression Depression Depression Depression Depression Depression Depression\Still so much to write...\I haven't had to write lines since elementary school...\You shouldn't have been reading it in class. response:	But I just couldn't wait...
context: And what comes after Wagh?\Rose Rose Rose Rose Rose Rose Rose Rose\Lemon Lemon Lemon Lemon Lemon Lemon Lemon Lemon\Depression Depression Depression Depression Depression Depression Depression\Still so much to write...\I haven't had to write lines since elementary school...\You shouldn't have been reading it in class.\But I just couldn't wait... response:	So, what else?
context: Rose Rose Rose Rose Rose Rose Rose Rose\Lemon Lemon Lemon Lemon Lemon Lemon Lemon Lemon\Depression Depression Depression Depression Depression Depression Depression\Still so much to write...\I haven't had to write lines since elementary school...\You shouldn't have been reading it in class.\But I just couldn't wait...\So, what else? response:	There's nothing else.
context: Lemon Lemon Lemon Lemon Lemon Lemon Lemon Lemon\Depression Depression Depression Depression Depression Depression Depression\Still so much to write...\I haven't had to write lines since elementary school...\You shouldn't have been reading it in class.\But I just couldn't wait...\So, what else?\There's nothing else. response:	For now, there's nothing about the project being canceled.
