context: Hold it! response:	I didn't know who to expect, but I'm surprised to see Saber's Master.
context: You'll regret this, Tohsaka!\Because I won't make that offer again!\You heard him.\You have a good friend.\Damn it! Damn it! Damn it!\It wasn't your fault, Shirou.\There was nothing we could have done to save her.\Why? response:	You must have known you'd be killed if you showed yourself to him.
context: Because I won't make that offer again!\You heard him.\You have a good friend.\Damn it! Damn it! Damn it!\It wasn't your fault, Shirou.\There was nothing we could have done to save her.\Why?\You must have known you'd be killed if you showed yourself to him. response:	So why would you take such a risk for that girl?
context: You heard him.\You have a good friend.\Damn it! Damn it! Damn it!\It wasn't your fault, Shirou.\There was nothing we could have done to save her.\Why?\You must have known you'd be killed if you showed yourself to him.\So why would you take such a risk for that girl? response:	What's there to say?
context: You have a good friend.\Damn it! Damn it! Damn it!\It wasn't your fault, Shirou.\There was nothing we could have done to save her.\Why?\You must have known you'd be killed if you showed yourself to him.\So why would you take such a risk for that girl?\What's there to say? response:	I stopped him because I wanted to save her, that's all.
context: Damn it! Damn it! Damn it!\It wasn't your fault, Shirou.\There was nothing we could have done to save her.\Why?\You must have known you'd be killed if you showed yourself to him.\So why would you take such a risk for that girl?\What's there to say?\I stopped him because I wanted to save her, that's all. response:	I always thought there was something off about you, but this clinches it.
context: It wasn't your fault, Shirou.\There was nothing we could have done to save her.\Why?\You must have known you'd be killed if you showed yourself to him.\So why would you take such a risk for that girl?\What's there to say?\I stopped him because I wanted to save her, that's all.\I always thought there was something off about you, but this clinches it. response:	Shirou, the way you live is seriously twisted.
context: There was nothing we could have done to save her.\Why?\You must have known you'd be killed if you showed yourself to him.\So why would you take such a risk for that girl?\What's there to say?\I stopped him because I wanted to save her, that's all.\I always thought there was something off about you, but this clinches it.\Shirou, the way you live is seriously twisted. response:	Twisted?
context: Why?\You must have known you'd be killed if you showed yourself to him.\So why would you take such a risk for that girl?\What's there to say?\I stopped him because I wanted to save her, that's all.\I always thought there was something off about you, but this clinches it.\Shirou, the way you live is seriously twisted.\Twisted? response:	That's right.
context: You must have known you'd be killed if you showed yourself to him.\So why would you take such a risk for that girl?\What's there to say?\I stopped him because I wanted to save her, that's all.\I always thought there was something off about you, but this clinches it.\Shirou, the way you live is seriously twisted.\Twisted?\That's right. response:	The way you value others more than yourself is wrong.
context: So why would you take such a risk for that girl?\What's there to say?\I stopped him because I wanted to save her, that's all.\I always thought there was something off about you, but this clinches it.\Shirou, the way you live is seriously twisted.\Twisted?\That's right.\The way you value others more than yourself is wrong. response:	Listen, people have to put themselves first.
context: What's there to say?\I stopped him because I wanted to save her, that's all.\I always thought there was something off about you, but this clinches it.\Shirou, the way you live is seriously twisted.\Twisted?\That's right.\The way you value others more than yourself is wrong.\Listen, people have to put themselves first. response:	Yet here you are, always trying to help others.
context: I stopped him because I wanted to save her, that's all.\I always thought there was something off about you, but this clinches it.\Shirou, the way you live is seriously twisted.\Twisted?\That's right.\The way you value others more than yourself is wrong.\Listen, people have to put themselves first.\Yet here you are, always trying to help others. response:	If you keep doing that, you're eventually going to break!
context: I always thought there was something off about you, but this clinches it.\Shirou, the way you live is seriously twisted.\Twisted?\That's right.\The way you value others more than yourself is wrong.\Listen, people have to put themselves first.\Yet here you are, always trying to help others.\If you keep doing that, you're eventually going to break! response:	That isn't true.
context: Shirou, the way you live is seriously twisted.\Twisted?\That's right.\The way you value others more than yourself is wrong.\Listen, people have to put themselves first.\Yet here you are, always trying to help others.\If you keep doing that, you're eventually going to break!\That isn't true. response:	In fact, I do it so that won't happen.
context: Twisted?\That's right.\The way you value others more than yourself is wrong.\Listen, people have to put themselves first.\Yet here you are, always trying to help others.\If you keep doing that, you're eventually going to break!\That isn't true.\In fact, I do it so that won't happen. response:	No, you're already quite broken.
context: That's right.\The way you value others more than yourself is wrong.\Listen, people have to put themselves first.\Yet here you are, always trying to help others.\If you keep doing that, you're eventually going to break!\That isn't true.\In fact, I do it so that won't happen.\No, you're already quite broken. response:	So, tell me.
context: The way you value others more than yourself is wrong.\Listen, people have to put themselves first.\Yet here you are, always trying to help others.\If you keep doing that, you're eventually going to break!\That isn't true.\In fact, I do it so that won't happen.\No, you're already quite broken.\So, tell me. response:	What happened ten years ago?
context: Listen, people have to put themselves first.\Yet here you are, always trying to help others.\If you keep doing that, you're eventually going to break!\That isn't true.\In fact, I do it so that won't happen.\No, you're already quite broken.\So, tell me.\What happened ten years ago? response:	Because I bet that's what made you so screwed up!
context: Yet here you are, always trying to help others.\If you keep doing that, you're eventually going to break!\That isn't true.\In fact, I do it so that won't happen.\No, you're already quite broken.\So, tell me.\What happened ten years ago?\Because I bet that's what made you so screwed up! response:	You're wrong, Tohsaka...
context: If you keep doing that, you're eventually going to break!\That isn't true.\In fact, I do it so that won't happen.\No, you're already quite broken.\So, tell me.\What happened ten years ago?\Because I bet that's what made you so screwed up!\You're wrong, Tohsaka... response:	All that happened was that I was saved.
context: That isn't true.\In fact, I do it so that won't happen.\No, you're already quite broken.\So, tell me.\What happened ten years ago?\Because I bet that's what made you so screwed up!\You're wrong, Tohsaka...\All that happened was that I was saved. response:	Saved?
context: In fact, I do it so that won't happen.\No, you're already quite broken.\So, tell me.\What happened ten years ago?\Because I bet that's what made you so screwed up!\You're wrong, Tohsaka...\All that happened was that I was saved.\Saved? response:	Yeah. That's all there is to it.
context: No, you're already quite broken.\So, tell me.\What happened ten years ago?\Because I bet that's what made you so screwed up!\You're wrong, Tohsaka...\All that happened was that I was saved.\Saved?\Yeah. That's all there is to it. response:	Something wasn't taken from you as a payment for being saved?
context: So, tell me.\What happened ten years ago?\Because I bet that's what made you so screwed up!\You're wrong, Tohsaka...\All that happened was that I was saved.\Saved?\Yeah. That's all there is to it.\Something wasn't taken from you as a payment for being saved? response:	No.
context: What happened ten years ago?\Because I bet that's what made you so screwed up!\You're wrong, Tohsaka...\All that happened was that I was saved.\Saved?\Yeah. That's all there is to it.\Something wasn't taken from you as a payment for being saved?\No. response:	Kiritsugu saved me. That's all.
context: Because I bet that's what made you so screwed up!\You're wrong, Tohsaka...\All that happened was that I was saved.\Saved?\Yeah. That's all there is to it.\Something wasn't taken from you as a payment for being saved?\No.\Kiritsugu saved me. That's all. response:	I didn't lose anything.
context: You're wrong, Tohsaka...\All that happened was that I was saved.\Saved?\Yeah. That's all there is to it.\Something wasn't taken from you as a payment for being saved?\No.\Kiritsugu saved me. That's all.\I didn't lose anything. response:	It's just...
context: All that happened was that I was saved.\Saved?\Yeah. That's all there is to it.\Something wasn't taken from you as a payment for being saved?\No.\Kiritsugu saved me. That's all.\I didn't lose anything.\It's just... response:	He looked so happy.
context: Saved?\Yeah. That's all there is to it.\Something wasn't taken from you as a payment for being saved?\No.\Kiritsugu saved me. That's all.\I didn't lose anything.\It's just...\He looked so happy. response:	I admired that look on his face.
context: Yeah. That's all there is to it.\Something wasn't taken from you as a payment for being saved?\No.\Kiritsugu saved me. That's all.\I didn't lose anything.\It's just...\He looked so happy.\I admired that look on his face. response:	When I was rescued, that's the only emotion I felt.
context: Something wasn't taken from you as a payment for being saved?\No.\Kiritsugu saved me. That's all.\I didn't lose anything.\It's just...\He looked so happy.\I admired that look on his face.\When I was rescued, that's the only emotion I felt. response:	I wanted to become someone like him.
context: No.\Kiritsugu saved me. That's all.\I didn't lose anything.\It's just...\He looked so happy.\I admired that look on his face.\When I was rescued, that's the only emotion I felt.\I wanted to become someone like him. response:	That's why...
context: Kiritsugu saved me. That's all.\I didn't lose anything.\It's just...\He looked so happy.\I admired that look on his face.\When I was rescued, that's the only emotion I felt.\I wanted to become someone like him.\That's why... response:	I thought if that happened again,
context: I didn't lose anything.\It's just...\He looked so happy.\I admired that look on his face.\When I was rescued, that's the only emotion I felt.\I wanted to become someone like him.\That's why...\I thought if that happened again, response:	I'd have to save every last person
context: It's just...\He looked so happy.\I admired that look on his face.\When I was rescued, that's the only emotion I felt.\I wanted to become someone like him.\That's why...\I thought if that happened again,\I'd have to save every last person response:	to make up for all those I turned my back on the last time.
context: He looked so happy.\I admired that look on his face.\When I was rescued, that's the only emotion I felt.\I wanted to become someone like him.\That's why...\I thought if that happened again,\I'd have to save every last person\to make up for all those I turned my back on the last time. response:	That's my only wish.
context: I admired that look on his face.\When I was rescued, that's the only emotion I felt.\I wanted to become someone like him.\That's why...\I thought if that happened again,\I'd have to save every last person\to make up for all those I turned my back on the last time.\That's my only wish. response:	Because otherwise,
context: When I was rescued, that's the only emotion I felt.\I wanted to become someone like him.\That's why...\I thought if that happened again,\I'd have to save every last person\to make up for all those I turned my back on the last time.\That's my only wish.\Because otherwise, response:	my being the sole survivor would be meaningless.
context: I wanted to become someone like him.\That's why...\I thought if that happened again,\I'd have to save every last person\to make up for all those I turned my back on the last time.\That's my only wish.\Because otherwise,\my being the sole survivor would be meaningless. response:	And I'm telling you that's messed up!
context: That's why...\I thought if that happened again,\I'd have to save every last person\to make up for all those I turned my back on the last time.\That's my only wish.\Because otherwise,\my being the sole survivor would be meaningless.\And I'm telling you that's messed up! response:	If he saved your life, you should treat it preciously!
context: I thought if that happened again,\I'd have to save every last person\to make up for all those I turned my back on the last time.\That's my only wish.\Because otherwise,\my being the sole survivor would be meaningless.\And I'm telling you that's messed up!\If he saved your life, you should treat it preciously! response:	After going through something so terrible,
context: I'd have to save every last person\to make up for all those I turned my back on the last time.\That's my only wish.\Because otherwise,\my being the sole survivor would be meaningless.\And I'm telling you that's messed up!\If he saved your life, you should treat it preciously!\After going through something so terrible, response:	if you don't enjoy the rest of your life, what's the point?!
context: to make up for all those I turned my back on the last time.\That's my only wish.\Because otherwise,\my being the sole survivor would be meaningless.\And I'm telling you that's messed up!\If he saved your life, you should treat it preciously!\After going through something so terrible,\if you don't enjoy the rest of your life, what's the point?! response:	Look...
context: That's my only wish.\Because otherwise,\my being the sole survivor would be meaningless.\And I'm telling you that's messed up!\If he saved your life, you should treat it preciously!\After going through something so terrible,\if you don't enjoy the rest of your life, what's the point?!\Look... response:	Wishing only for other people's happiness is wrong!
context: Because otherwise,\my being the sole survivor would be meaningless.\And I'm telling you that's messed up!\If he saved your life, you should treat it preciously!\After going through something so terrible,\if you don't enjoy the rest of your life, what's the point?!\Look...\Wishing only for other people's happiness is wrong! response:	That's no different from a machine!
context: my being the sole survivor would be meaningless.\And I'm telling you that's messed up!\If he saved your life, you should treat it preciously!\After going through something so terrible,\if you don't enjoy the rest of your life, what's the point?!\Look...\Wishing only for other people's happiness is wrong!\That's no different from a machine! response:	Helping others is fine. Knock yourself out.
context: And I'm telling you that's messed up!\If he saved your life, you should treat it preciously!\After going through something so terrible,\if you don't enjoy the rest of your life, what's the point?!\Look...\Wishing only for other people's happiness is wrong!\That's no different from a machine!\Helping others is fine. Knock yourself out. response:	But do it for yourself!
context: If he saved your life, you should treat it preciously!\After going through something so terrible,\if you don't enjoy the rest of your life, what's the point?!\Look...\Wishing only for other people's happiness is wrong!\That's no different from a machine!\Helping others is fine. Knock yourself out.\But do it for yourself! response:	Unless you live life for yourself,
context: After going through something so terrible,\if you don't enjoy the rest of your life, what's the point?!\Look...\Wishing only for other people's happiness is wrong!\That's no different from a machine!\Helping others is fine. Knock yourself out.\But do it for yourself!\Unless you live life for yourself, response:	you won't even know what happiness is!
context: if you don't enjoy the rest of your life, what's the point?!\Look...\Wishing only for other people's happiness is wrong!\That's no different from a machine!\Helping others is fine. Knock yourself out.\But do it for yourself!\Unless you live life for yourself,\you won't even know what happiness is! response:	Yeah.
context: Look...\Wishing only for other people's happiness is wrong!\That's no different from a machine!\Helping others is fine. Knock yourself out.\But do it for yourself!\Unless you live life for yourself,\you won't even know what happiness is!\Yeah. response:	I'm sure you're right, Tohsaka.
context: Wishing only for other people's happiness is wrong!\That's no different from a machine!\Helping others is fine. Knock yourself out.\But do it for yourself!\Unless you live life for yourself,\you won't even know what happiness is!\Yeah.\I'm sure you're right, Tohsaka. response:	Then...
context: That's no different from a machine!\Helping others is fine. Knock yourself out.\But do it for yourself!\Unless you live life for yourself,\you won't even know what happiness is!\Yeah.\I'm sure you're right, Tohsaka.\Then... response:	But it's okay.
context: Helping others is fine. Knock yourself out.\But do it for yourself!\Unless you live life for yourself,\you won't even know what happiness is!\Yeah.\I'm sure you're right, Tohsaka.\Then...\But it's okay. response:	I mean, wanting to live your life for others...
context: But do it for yourself!\Unless you live life for yourself,\you won't even know what happiness is!\Yeah.\I'm sure you're right, Tohsaka.\Then...\But it's okay.\I mean, wanting to live your life for others... response:	can't possibly be wrong.
context: Unless you live life for yourself,\you won't even know what happiness is!\Yeah.\I'm sure you're right, Tohsaka.\Then...\But it's okay.\I mean, wanting to live your life for others...\can't possibly be wrong. response:	Thanks, Tohsaka.
context: you won't even know what happiness is!\Yeah.\I'm sure you're right, Tohsaka.\Then...\But it's okay.\I mean, wanting to live your life for others...\can't possibly be wrong.\Thanks, Tohsaka. response:	Honestly...
context: Yeah.\I'm sure you're right, Tohsaka.\Then...\But it's okay.\I mean, wanting to live your life for others...\can't possibly be wrong.\Thanks, Tohsaka.\Honestly... response:	How can I say anything when you look at me like that?
context: I'm sure you're right, Tohsaka.\Then...\But it's okay.\I mean, wanting to live your life for others...\can't possibly be wrong.\Thanks, Tohsaka.\Honestly...\How can I say anything when you look at me like that? response:	Fine, whatever.
context: Then...\But it's okay.\I mean, wanting to live your life for others...\can't possibly be wrong.\Thanks, Tohsaka.\Honestly...\How can I say anything when you look at me like that?\Fine, whatever. response:	If it's come to this, I'll think of something.
context: But it's okay.\I mean, wanting to live your life for others...\can't possibly be wrong.\Thanks, Tohsaka.\Honestly...\How can I say anything when you look at me like that?\Fine, whatever.\If it's come to this, I'll think of something. response:	Hey.
context: I mean, wanting to live your life for others...\can't possibly be wrong.\Thanks, Tohsaka.\Honestly...\How can I say anything when you look at me like that?\Fine, whatever.\If it's come to this, I'll think of something.\Hey. response:	About that eighth Servant...
context: can't possibly be wrong.\Thanks, Tohsaka.\Honestly...\How can I say anything when you look at me like that?\Fine, whatever.\If it's come to this, I'll think of something.\Hey.\About that eighth Servant... response:	Gilgamesh.
context: Thanks, Tohsaka.\Honestly...\How can I say anything when you look at me like that?\Fine, whatever.\If it's come to this, I'll think of something.\Hey.\About that eighth Servant...\Gilgamesh. response:	He's a hero from ancient Mesopotamian myth, right?
context: Honestly...\How can I say anything when you look at me like that?\Fine, whatever.\If it's come to this, I'll think of something.\Hey.\About that eighth Servant...\Gilgamesh.\He's a hero from ancient Mesopotamian myth, right? response:	A hero who's half-god, half-man.
context: How can I say anything when you look at me like that?\Fine, whatever.\If it's come to this, I'll think of something.\Hey.\About that eighth Servant...\Gilgamesh.\He's a hero from ancient Mesopotamian myth, right?\A hero who's half-god, half-man. response:	King of Uruk,
context: Fine, whatever.\If it's come to this, I'll think of something.\Hey.\About that eighth Servant...\Gilgamesh.\He's a hero from ancient Mesopotamian myth, right?\A hero who's half-god, half-man.\King of Uruk, response:	seeker of eternal youth.
context: If it's come to this, I'll think of something.\Hey.\About that eighth Servant...\Gilgamesh.\He's a hero from ancient Mesopotamian myth, right?\A hero who's half-god, half-man.\King of Uruk,\seeker of eternal youth. response:	He's so powerful, it's almost unfair.
context: Hey.\About that eighth Servant...\Gilgamesh.\He's a hero from ancient Mesopotamian myth, right?\A hero who's half-god, half-man.\King of Uruk,\seeker of eternal youth.\He's so powerful, it's almost unfair. response:	And yet...
context: About that eighth Servant...\Gilgamesh.\He's a hero from ancient Mesopotamian myth, right?\A hero who's half-god, half-man.\King of Uruk,\seeker of eternal youth.\He's so powerful, it's almost unfair.\And yet... response:	What is it?
context: Gilgamesh.\He's a hero from ancient Mesopotamian myth, right?\A hero who's half-god, half-man.\King of Uruk,\seeker of eternal youth.\He's so powerful, it's almost unfair.\And yet...\What is it? response:	He was definitely powerful,
context: He's a hero from ancient Mesopotamian myth, right?\A hero who's half-god, half-man.\King of Uruk,\seeker of eternal youth.\He's so powerful, it's almost unfair.\And yet...\What is it?\He was definitely powerful, response:	but I didn't sense much of a power gap between Blondie and Berserker.
context: A hero who's half-god, half-man.\King of Uruk,\seeker of eternal youth.\He's so powerful, it's almost unfair.\And yet...\What is it?\He was definitely powerful,\but I didn't sense much of a power gap between Blondie and Berserker. response:	Am I crazy?
context: King of Uruk,\seeker of eternal youth.\He's so powerful, it's almost unfair.\And yet...\What is it?\He was definitely powerful,\but I didn't sense much of a power gap between Blondie and Berserker.\Am I crazy? response:	No.
context: seeker of eternal youth.\He's so powerful, it's almost unfair.\And yet...\What is it?\He was definitely powerful,\but I didn't sense much of a power gap between Blondie and Berserker.\Am I crazy?\No. response:	On his own, he's on par with Saber or Berserker, or even less powerful.
context: He's so powerful, it's almost unfair.\And yet...\What is it?\He was definitely powerful,\but I didn't sense much of a power gap between Blondie and Berserker.\Am I crazy?\No.\On his own, he's on par with Saber or Berserker, or even less powerful. response:	The difference is his weaponry.
