context: I was afraid that this day would come. response:	If an Age of Cosmos were to arrive, who would stand to benefit?
context: Everyone else, all of the ordinary people are hoping for an Age of Cosmos!\During the Age of the Ultimate Chaos,\we fought alongside the humans with Chaos as our common enemy.\But as Chaos began to fade away,\more and more humans began to fight among each other.\So what do you think will happen if Chaos were to vanish completely?\Even in the Age of Cosmos, there would probably still be wars.\But that would be the decision of the people in that era. response:	Vampire King, didn't you become an Artist so that you could survive the Age of Chaos?
context: During the Age of the Ultimate Chaos,\we fought alongside the humans with Chaos as our common enemy.\But as Chaos began to fade away,\more and more humans began to fight among each other.\So what do you think will happen if Chaos were to vanish completely?\Even in the Age of Cosmos, there would probably still be wars.\But that would be the decision of the people in that era.\Vampire King, didn't you become an Artist so that you could survive the Age of Chaos? response:	That is true.
context: we fought alongside the humans with Chaos as our common enemy.\But as Chaos began to fade away,\more and more humans began to fight among each other.\So what do you think will happen if Chaos were to vanish completely?\Even in the Age of Cosmos, there would probably still be wars.\But that would be the decision of the people in that era.\Vampire King, didn't you become an Artist so that you could survive the Age of Chaos?\That is true. response:	And I also intend to go on surviving. Forever, that is.
context: But as Chaos began to fade away,\more and more humans began to fight among each other.\So what do you think will happen if Chaos were to vanish completely?\Even in the Age of Cosmos, there would probably still be wars.\But that would be the decision of the people in that era.\Vampire King, didn't you become an Artist so that you could survive the Age of Chaos?\That is true.\And I also intend to go on surviving. Forever, that is. response:	Towards that end, I must defeat you.
context: more and more humans began to fight among each other.\So what do you think will happen if Chaos were to vanish completely?\Even in the Age of Cosmos, there would probably still be wars.\But that would be the decision of the people in that era.\Vampire King, didn't you become an Artist so that you could survive the Age of Chaos?\That is true.\And I also intend to go on surviving. Forever, that is.\Towards that end, I must defeat you. response:	If I succeed, the Grancrest will never be born.
context: So what do you think will happen if Chaos were to vanish completely?\Even in the Age of Cosmos, there would probably still be wars.\But that would be the decision of the people in that era.\Vampire King, didn't you become an Artist so that you could survive the Age of Chaos?\That is true.\And I also intend to go on surviving. Forever, that is.\Towards that end, I must defeat you.\If I succeed, the Grancrest will never be born. response:	Then, why live at all?
context: Even in the Age of Cosmos, there would probably still be wars.\But that would be the decision of the people in that era.\Vampire King, didn't you become an Artist so that you could survive the Age of Chaos?\That is true.\And I also intend to go on surviving. Forever, that is.\Towards that end, I must defeat you.\If I succeed, the Grancrest will never be born.\Then, why live at all? response:	If it's only to keep living, then it's no different than being dead.
context: But that would be the decision of the people in that era.\Vampire King, didn't you become an Artist so that you could survive the Age of Chaos?\That is true.\And I also intend to go on surviving. Forever, that is.\Towards that end, I must defeat you.\If I succeed, the Grancrest will never be born.\Then, why live at all?\If it's only to keep living, then it's no different than being dead. response:	Ive lost my Art. But my feelings haven't changed.
context: Vampire King, didn't you become an Artist so that you could survive the Age of Chaos?\That is true.\And I also intend to go on surviving. Forever, that is.\Towards that end, I must defeat you.\If I succeed, the Grancrest will never be born.\Then, why live at all?\If it's only to keep living, then it's no different than being dead.\Ive lost my Art. But my feelings haven't changed. response:	Ill protect my beloved sister, and I'll risk my life to do so!
context: That is true.\And I also intend to go on surviving. Forever, that is.\Towards that end, I must defeat you.\If I succeed, the Grancrest will never be born.\Then, why live at all?\If it's only to keep living, then it's no different than being dead.\Ive lost my Art. But my feelings haven't changed.\Ill protect my beloved sister, and I'll risk my life to do so! response:	Risking my life in order to preserve my life...
context: And I also intend to go on surviving. Forever, that is.\Towards that end, I must defeat you.\If I succeed, the Grancrest will never be born.\Then, why live at all?\If it's only to keep living, then it's no different than being dead.\Ive lost my Art. But my feelings haven't changed.\Ill protect my beloved sister, and I'll risk my life to do so!\Risking my life in order to preserve my life... response:	Is that unacceptable?
context: Towards that end, I must defeat you.\If I succeed, the Grancrest will never be born.\Then, why live at all?\If it's only to keep living, then it's no different than being dead.\Ive lost my Art. But my feelings haven't changed.\Ill protect my beloved sister, and I'll risk my life to do so!\Risking my life in order to preserve my life...\Is that unacceptable? response:	I'm not saying it's unacceptable.
context: If I succeed, the Grancrest will never be born.\Then, why live at all?\If it's only to keep living, then it's no different than being dead.\Ive lost my Art. But my feelings haven't changed.\Ill protect my beloved sister, and I'll risk my life to do so!\Risking my life in order to preserve my life...\Is that unacceptable?\I'm not saying it's unacceptable. response:	But that's boring.
context: Then, why live at all?\If it's only to keep living, then it's no different than being dead.\Ive lost my Art. But my feelings haven't changed.\Ill protect my beloved sister, and I'll risk my life to do so!\Risking my life in order to preserve my life...\Is that unacceptable?\I'm not saying it's unacceptable.\But that's boring. response:	That's right!
context: If it's only to keep living, then it's no different than being dead.\Ive lost my Art. But my feelings haven't changed.\Ill protect my beloved sister, and I'll risk my life to do so!\Risking my life in order to preserve my life...\Is that unacceptable?\I'm not saying it's unacceptable.\But that's boring.\That's right! response:	Mother died protecting us!
context: Ive lost my Art. But my feelings haven't changed.\Ill protect my beloved sister, and I'll risk my life to do so!\Risking my life in order to preserve my life...\Is that unacceptable?\I'm not saying it's unacceptable.\But that's boring.\That's right!\Mother died protecting us! response:	Werewolves always risk their lives to protect their clan!
context: Ill protect my beloved sister, and I'll risk my life to do so!\Risking my life in order to preserve my life...\Is that unacceptable?\I'm not saying it's unacceptable.\But that's boring.\That's right!\Mother died protecting us!\Werewolves always risk their lives to protect their clan! response:	Well avenge our clan!
context: Risking my life in order to preserve my life...\Is that unacceptable?\I'm not saying it's unacceptable.\But that's boring.\That's right!\Mother died protecting us!\Werewolves always risk their lives to protect their clan!\Well avenge our clan! response:	Well said!
context: Is that unacceptable?\I'm not saying it's unacceptable.\But that's boring.\That's right!\Mother died protecting us!\Werewolves always risk their lives to protect their clan!\Well avenge our clan!\Well said! response:	Big Brother Aeon!
context: I'm not saying it's unacceptable.\But that's boring.\That's right!\Mother died protecting us!\Werewolves always risk their lives to protect their clan!\Well avenge our clan!\Well said!\Big Brother Aeon! response:	The Vampire King!
context: But that's boring.\That's right!\Mother died protecting us!\Werewolves always risk their lives to protect their clan!\Well avenge our clan!\Well said!\Big Brother Aeon!\The Vampire King! response:	This is his real body.
context: That's right!\Mother died protecting us!\Werewolves always risk their lives to protect their clan!\Well avenge our clan!\Well said!\Big Brother Aeon!\The Vampire King!\This is his real body. response:	That one over there is just a shadow!
context: Mother died protecting us!\Werewolves always risk their lives to protect their clan!\Well avenge our clan!\Well said!\Big Brother Aeon!\The Vampire King!\This is his real body.\That one over there is just a shadow! response:	I'm impressed that you found it.
context: Werewolves always risk their lives to protect their clan!\Well avenge our clan!\Well said!\Big Brother Aeon!\The Vampire King!\This is his real body.\That one over there is just a shadow!\I'm impressed that you found it. response:	If I kill this one, that'll extinguish you, too!
context: Well avenge our clan!\Well said!\Big Brother Aeon!\The Vampire King!\This is his real body.\That one over there is just a shadow!\I'm impressed that you found it.\If I kill this one, that'll extinguish you, too! response:	Give up, Vampire King!
context: Well said!\Big Brother Aeon!\The Vampire King!\This is his real body.\That one over there is just a shadow!\I'm impressed that you found it.\If I kill this one, that'll extinguish you, too!\Give up, Vampire King! response:	I didn't manage to survive because I was the most powerful.
context: Big Brother Aeon!\The Vampire King!\This is his real body.\That one over there is just a shadow!\I'm impressed that you found it.\If I kill this one, that'll extinguish you, too!\Give up, Vampire King!\I didn't manage to survive because I was the most powerful. response:	It's because even if I was killed, Ill leave behind shadows, and continue to live!
context: The Vampire King!\This is his real body.\That one over there is just a shadow!\I'm impressed that you found it.\If I kill this one, that'll extinguish you, too!\Give up, Vampire King!\I didn't manage to survive because I was the most powerful.\It's because even if I was killed, Ill leave behind shadows, and continue to live! response:	What nonsense!
context: This is his real body.\That one over there is just a shadow!\I'm impressed that you found it.\If I kill this one, that'll extinguish you, too!\Give up, Vampire King!\I didn't manage to survive because I was the most powerful.\It's because even if I was killed, Ill leave behind shadows, and continue to live!\What nonsense! response:	Revenge for my mother!
context: That one over there is just a shadow!\I'm impressed that you found it.\If I kill this one, that'll extinguish you, too!\Give up, Vampire King!\I didn't manage to survive because I was the most powerful.\It's because even if I was killed, Ill leave behind shadows, and continue to live!\What nonsense!\Revenge for my mother! response:	You fool.
context: I'm impressed that you found it.\If I kill this one, that'll extinguish you, too!\Give up, Vampire King!\I didn't manage to survive because I was the most powerful.\It's because even if I was killed, Ill leave behind shadows, and continue to live!\What nonsense!\Revenge for my mother!\You fool. response:	What?
context: If I kill this one, that'll extinguish you, too!\Give up, Vampire King!\I didn't manage to survive because I was the most powerful.\It's because even if I was killed, Ill leave behind shadows, and continue to live!\What nonsense!\Revenge for my mother!\You fool.\What? response:	Release!
context: Give up, Vampire King!\I didn't manage to survive because I was the most powerful.\It's because even if I was killed, Ill leave behind shadows, and continue to live!\What nonsense!\Revenge for my mother!\You fool.\What?\Release! response:	Sir Theo!
context: I didn't manage to survive because I was the most powerful.\It's because even if I was killed, Ill leave behind shadows, and continue to live!\What nonsense!\Revenge for my mother!\You fool.\What?\Release!\Sir Theo! response:	Please stay out of my way.
context: It's because even if I was killed, Ill leave behind shadows, and continue to live!\What nonsense!\Revenge for my mother!\You fool.\What?\Release!\Sir Theo!\Please stay out of my way. response:	I told you that I'd protect Siluca with my life!
context: What nonsense!\Revenge for my mother!\You fool.\What?\Release!\Sir Theo!\Please stay out of my way.\I told you that I'd protect Siluca with my life! response:	You're not my type!
context: Revenge for my mother!\You fool.\What?\Release!\Sir Theo!\Please stay out of my way.\I told you that I'd protect Siluca with my life!\You're not my type! response:	Aishela!
context: You fool.\What?\Release!\Sir Theo!\Please stay out of my way.\I told you that I'd protect Siluca with my life!\You're not my type!\Aishela! response:	It seems the shadows drain life-force out of anyone they touch.
context: What?\Release!\Sir Theo!\Please stay out of my way.\I told you that I'd protect Siluca with my life!\You're not my type!\Aishela!\It seems the shadows drain life-force out of anyone they touch. response:	Please be careful.
context: Release!\Sir Theo!\Please stay out of my way.\I told you that I'd protect Siluca with my life!\You're not my type!\Aishela!\It seems the shadows drain life-force out of anyone they touch.\Please be careful. response:	- How dare you hurt everyone! - We won't forgive you!
context: Sir Theo!\Please stay out of my way.\I told you that I'd protect Siluca with my life!\You're not my type!\Aishela!\It seems the shadows drain life-force out of anyone they touch.\Please be careful.\- How dare you hurt everyone! - We won't forgive you! response:	If killing your main body doesn't kill you, then we'll just destroy all of your shadows!
context: Please stay out of my way.\I told you that I'd protect Siluca with my life!\You're not my type!\Aishela!\It seems the shadows drain life-force out of anyone they touch.\Please be careful.\- How dare you hurt everyone! - We won't forgive you!\If killing your main body doesn't kill you, then we'll just destroy all of your shadows! response:	Ill destroy you this time, Vampire King!
context: I told you that I'd protect Siluca with my life!\You're not my type!\Aishela!\It seems the shadows drain life-force out of anyone they touch.\Please be careful.\- How dare you hurt everyone! - We won't forgive you!\If killing your main body doesn't kill you, then we'll just destroy all of your shadows!\Ill destroy you this time, Vampire King! response:	I wonder if you can, little wolf cubs?
context: You're not my type!\Aishela!\It seems the shadows drain life-force out of anyone they touch.\Please be careful.\- How dare you hurt everyone! - We won't forgive you!\If killing your main body doesn't kill you, then we'll just destroy all of your shadows!\Ill destroy you this time, Vampire King!\I wonder if you can, little wolf cubs? response:	Emma! Luna!
context: Aishela!\It seems the shadows drain life-force out of anyone they touch.\Please be careful.\- How dare you hurt everyone! - We won't forgive you!\If killing your main body doesn't kill you, then we'll just destroy all of your shadows!\Ill destroy you this time, Vampire King!\I wonder if you can, little wolf cubs?\Emma! Luna! response:	Now all that's left is you two.
context: It seems the shadows drain life-force out of anyone they touch.\Please be careful.\- How dare you hurt everyone! - We won't forgive you!\If killing your main body doesn't kill you, then we'll just destroy all of your shadows!\Ill destroy you this time, Vampire King!\I wonder if you can, little wolf cubs?\Emma! Luna!\Now all that's left is you two. response:	You wont get your way!
context: Please be careful.\- How dare you hurt everyone! - We won't forgive you!\If killing your main body doesn't kill you, then we'll just destroy all of your shadows!\Ill destroy you this time, Vampire King!\I wonder if you can, little wolf cubs?\Emma! Luna!\Now all that's left is you two.\You wont get your way! response:	Now, then, farewell.
context: - How dare you hurt everyone! - We won't forgive you!\If killing your main body doesn't kill you, then we'll just destroy all of your shadows!\Ill destroy you this time, Vampire King!\I wonder if you can, little wolf cubs?\Emma! Luna!\Now all that's left is you two.\You wont get your way!\Now, then, farewell. response:	Lady Siluca.
context: If killing your main body doesn't kill you, then we'll just destroy all of your shadows!\Ill destroy you this time, Vampire King!\I wonder if you can, little wolf cubs?\Emma! Luna!\Now all that's left is you two.\You wont get your way!\Now, then, farewell.\Lady Siluca. response:	Siluca.
context: Ill destroy you this time, Vampire King!\I wonder if you can, little wolf cubs?\Emma! Luna!\Now all that's left is you two.\You wont get your way!\Now, then, farewell.\Lady Siluca.\Siluca. response:	Siluca!
context: I wonder if you can, little wolf cubs?\Emma! Luna!\Now all that's left is you two.\You wont get your way!\Now, then, farewell.\Lady Siluca.\Siluca.\Siluca! response:	Sir Theo!
context: Emma! Luna!\Now all that's left is you two.\You wont get your way!\Now, then, farewell.\Lady Siluca.\Siluca.\Siluca!\Sir Theo! response:	You'll be all right now.
context: Now all that's left is you two.\You wont get your way!\Now, then, farewell.\Lady Siluca.\Siluca.\Siluca!\Sir Theo!\You'll be all right now. response:	Priscilla?
context: You wont get your way!\Now, then, farewell.\Lady Siluca.\Siluca.\Siluca!\Sir Theo!\You'll be all right now.\Priscilla? response:	What was that light?
context: Now, then, farewell.\Lady Siluca.\Siluca.\Siluca!\Sir Theo!\You'll be all right now.\Priscilla?\What was that light? response:	It was the Holy Grail's... Priscilla's light.
context: Lady Siluca.\Siluca.\Siluca!\Sir Theo!\You'll be all right now.\Priscilla?\What was that light?\It was the Holy Grail's... Priscilla's light. response:	Now he can't produce any more shadows.
context: Siluca.\Siluca!\Sir Theo!\You'll be all right now.\Priscilla?\What was that light?\It was the Holy Grail's... Priscilla's light.\Now he can't produce any more shadows. response:	I'm burning up.
context: Siluca!\Sir Theo!\You'll be all right now.\Priscilla?\What was that light?\It was the Holy Grail's... Priscilla's light.\Now he can't produce any more shadows.\I'm burning up. response:	Prepare to die!
context: Sir Theo!\You'll be all right now.\Priscilla?\What was that light?\It was the Holy Grail's... Priscilla's light.\Now he can't produce any more shadows.\I'm burning up.\Prepare to die! response:	How dare
context: You'll be all right now.\Priscilla?\What was that light?\It was the Holy Grail's... Priscilla's light.\Now he can't produce any more shadows.\I'm burning up.\Prepare to die!\How dare response:	Such a grudge against me.
context: Priscilla?\What was that light?\It was the Holy Grail's... Priscilla's light.\Now he can't produce any more shadows.\I'm burning up.\Prepare to die!\How dare\Such a grudge against me. response:	Curse you!
context: What was that light?\It was the Holy Grail's... Priscilla's light.\Now he can't produce any more shadows.\I'm burning up.\Prepare to die!\How dare\Such a grudge against me.\Curse you! response:	Aeon!
context: It was the Holy Grail's... Priscilla's light.\Now he can't produce any more shadows.\I'm burning up.\Prepare to die!\How dare\Such a grudge against me.\Curse you!\Aeon! response:	I'll take in all of your Art!
context: Now he can't produce any more shadows.\I'm burning up.\Prepare to die!\How dare\Such a grudge against me.\Curse you!\Aeon!\I'll take in all of your Art! response:	Brother Aeon!
context: I'm burning up.\Prepare to die!\How dare\Such a grudge against me.\Curse you!\Aeon!\I'll take in all of your Art!\Brother Aeon! response:	Let's end this, Vampire King.
context: Prepare to die!\How dare\Such a grudge against me.\Curse you!\Aeon!\I'll take in all of your Art!\Brother Aeon!\Let's end this, Vampire King. response:	Sir Theo!
context: How dare\Such a grudge against me.\Curse you!\Aeon!\I'll take in all of your Art!\Brother Aeon!\Let's end this, Vampire King.\Sir Theo! response:	Brother!
context: Such a grudge against me.\Curse you!\Aeon!\I'll take in all of your Art!\Brother Aeon!\Let's end this, Vampire King.\Sir Theo!\Brother! response:	What's wrong?
context: Curse you!\Aeon!\I'll take in all of your Art!\Brother Aeon!\Let's end this, Vampire King.\Sir Theo!\Brother!\What's wrong? response:	Brother Aeon!
context: Aeon!\I'll take in all of your Art!\Brother Aeon!\Let's end this, Vampire King.\Sir Theo!\Brother!\What's wrong?\Brother Aeon! response:	Hey!
context: I'll take in all of your Art!\Brother Aeon!\Let's end this, Vampire King.\Sir Theo!\Brother!\What's wrong?\Brother Aeon!\Hey! response:	Brother!
context: Brother Aeon!\Let's end this, Vampire King.\Sir Theo!\Brother!\What's wrong?\Brother Aeon!\Hey!\Brother! response:	We don't want you to die!
context: Let's end this, Vampire King.\Sir Theo!\Brother!\What's wrong?\Brother Aeon!\Hey!\Brother!\We don't want you to die! response:	Sir Aeon.
context: Sir Theo!\Brother!\What's wrong?\Brother Aeon!\Hey!\Brother!\We don't want you to die!\Sir Aeon. response:	Lady Siluca, please be cautious.
context: Brother!\What's wrong?\Brother Aeon!\Hey!\Brother!\We don't want you to die!\Sir Aeon.\Lady Siluca, please be cautious. response:	There's a shadow there.
context: What's wrong?\Brother Aeon!\Hey!\Brother!\We don't want you to die!\Sir Aeon.\Lady Siluca, please be cautious.\There's a shadow there. response:	There's still one left, huh?
context: Brother Aeon!\Hey!\Brother!\We don't want you to die!\Sir Aeon.\Lady Siluca, please be cautious.\There's a shadow there.\There's still one left, huh? response:	But his Art is starting to fade away.
context: Hey!\Brother!\We don't want you to die!\Sir Aeon.\Lady Siluca, please be cautious.\There's a shadow there.\There's still one left, huh?\But his Art is starting to fade away. response:	I'm sure he can't create any new shadows in that state.
context: Brother!\We don't want you to die!\Sir Aeon.\Lady Siluca, please be cautious.\There's a shadow there.\There's still one left, huh?\But his Art is starting to fade away.\I'm sure he can't create any new shadows in that state. response:	Emma, Luna.
context: We don't want you to die!\Sir Aeon.\Lady Siluca, please be cautious.\There's a shadow there.\There's still one left, huh?\But his Art is starting to fade away.\I'm sure he can't create any new shadows in that state.\Emma, Luna. response:	What do you want to do with him?
context: Sir Aeon.\Lady Siluca, please be cautious.\There's a shadow there.\There's still one left, huh?\But his Art is starting to fade away.\I'm sure he can't create any new shadows in that state.\Emma, Luna.\What do you want to do with him? response:	P-Please don't kill me!
context: Lady Siluca, please be cautious.\There's a shadow there.\There's still one left, huh?\But his Art is starting to fade away.\I'm sure he can't create any new shadows in that state.\Emma, Luna.\What do you want to do with him?\P-Please don't kill me! response:	I don't want to die! I don't want to, no!
context: There's a shadow there.\There's still one left, huh?\But his Art is starting to fade away.\I'm sure he can't create any new shadows in that state.\Emma, Luna.\What do you want to do with him?\P-Please don't kill me!\I don't want to die! I don't want to, no! response:	I don't want to die! I don't want to die...
context: There's still one left, huh?\But his Art is starting to fade away.\I'm sure he can't create any new shadows in that state.\Emma, Luna.\What do you want to do with him?\P-Please don't kill me!\I don't want to die! I don't want to, no!\I don't want to die! I don't want to die... response:	He's weak.
context: But his Art is starting to fade away.\I'm sure he can't create any new shadows in that state.\Emma, Luna.\What do you want to do with him?\P-Please don't kill me!\I don't want to die! I don't want to, no!\I don't want to die! I don't want to die...\He's weak. response:	Yeah, he's weak.
context: I'm sure he can't create any new shadows in that state.\Emma, Luna.\What do you want to do with him?\P-Please don't kill me!\I don't want to die! I don't want to, no!\I don't want to die! I don't want to die...\He's weak.\Yeah, he's weak. response:	He's not the one who killed Mother and Brother.
context: Emma, Luna.\What do you want to do with him?\P-Please don't kill me!\I don't want to die! I don't want to, no!\I don't want to die! I don't want to die...\He's weak.\Yeah, he's weak.\He's not the one who killed Mother and Brother. response:	We've already taken our revenge.
context: What do you want to do with him?\P-Please don't kill me!\I don't want to die! I don't want to, no!\I don't want to die! I don't want to die...\He's weak.\Yeah, he's weak.\He's not the one who killed Mother and Brother.\We've already taken our revenge. response:	That's good.
context: P-Please don't kill me!\I don't want to die! I don't want to, no!\I don't want to die! I don't want to die...\He's weak.\Yeah, he's weak.\He's not the one who killed Mother and Brother.\We've already taken our revenge.\That's good. response:	All right.
context: I don't want to die! I don't want to, no!\I don't want to die! I don't want to die...\He's weak.\Yeah, he's weak.\He's not the one who killed Mother and Brother.\We've already taken our revenge.\That's good.\All right. response:	Let's head to Eramu.
context: I don't want to die! I don't want to die...\He's weak.\Yeah, he's weak.\He's not the one who killed Mother and Brother.\We've already taken our revenge.\That's good.\All right.\Let's head to Eramu. response:	Are you Hubertus?
context: He's weak.\Yeah, he's weak.\He's not the one who killed Mother and Brother.\We've already taken our revenge.\That's good.\All right.\Let's head to Eramu.\Are you Hubertus? response:	That's right.
context: Yeah, he's weak.\He's not the one who killed Mother and Brother.\We've already taken our revenge.\That's good.\All right.\Let's head to Eramu.\Are you Hubertus?\That's right. response:	I have a lot of questions for you.
context: He's not the one who killed Mother and Brother.\We've already taken our revenge.\That's good.\All right.\Let's head to Eramu.\Are you Hubertus?\That's right.\I have a lot of questions for you. response:	About the Great Hall Tragedy...
context: We've already taken our revenge.\That's good.\All right.\Let's head to Eramu.\Are you Hubertus?\That's right.\I have a lot of questions for you.\About the Great Hall Tragedy... response:	How the Order of the Crest and Pandora are connected...
context: That's good.\All right.\Let's head to Eramu.\Are you Hubertus?\That's right.\I have a lot of questions for you.\About the Great Hall Tragedy...\How the Order of the Crest and Pandora are connected... response:	But what I want to know the most
context: All right.\Let's head to Eramu.\Are you Hubertus?\That's right.\I have a lot of questions for you.\About the Great Hall Tragedy...\How the Order of the Crest and Pandora are connected...\But what I want to know the most response:	is why you tried to stop the birth of the Grancrest, and the end of the Age of Chaos.
context: Let's head to Eramu.\Are you Hubertus?\That's right.\I have a lot of questions for you.\About the Great Hall Tragedy...\How the Order of the Crest and Pandora are connected...\But what I want to know the most\is why you tried to stop the birth of the Grancrest, and the end of the Age of Chaos. response:	If you wish to know that last answer, you must touch this.
context: Are you Hubertus?\That's right.\I have a lot of questions for you.\About the Great Hall Tragedy...\How the Order of the Crest and Pandora are connected...\But what I want to know the most\is why you tried to stop the birth of the Grancrest, and the end of the Age of Chaos.\If you wish to know that last answer, you must touch this. response:	It could be a trap.
context: That's right.\I have a lot of questions for you.\About the Great Hall Tragedy...\How the Order of the Crest and Pandora are connected...\But what I want to know the most\is why you tried to stop the birth of the Grancrest, and the end of the Age of Chaos.\If you wish to know that last answer, you must touch this.\It could be a trap. response:	But I want to find out the truth.
context: I have a lot of questions for you.\About the Great Hall Tragedy...\How the Order of the Crest and Pandora are connected...\But what I want to know the most\is why you tried to stop the birth of the Grancrest, and the end of the Age of Chaos.\If you wish to know that last answer, you must touch this.\It could be a trap.\But I want to find out the truth. response:	No, I need to know the truth.
context: About the Great Hall Tragedy...\How the Order of the Crest and Pandora are connected...\But what I want to know the most\is why you tried to stop the birth of the Grancrest, and the end of the Age of Chaos.\If you wish to know that last answer, you must touch this.\It could be a trap.\But I want to find out the truth.\No, I need to know the truth. response:	For the sake of what I plan to accomplish.
context: How the Order of the Crest and Pandora are connected...\But what I want to know the most\is why you tried to stop the birth of the Grancrest, and the end of the Age of Chaos.\If you wish to know that last answer, you must touch this.\It could be a trap.\But I want to find out the truth.\No, I need to know the truth.\For the sake of what I plan to accomplish. response:	- I will accompany you. - Thank you.
context: But what I want to know the most\is why you tried to stop the birth of the Grancrest, and the end of the Age of Chaos.\If you wish to know that last answer, you must touch this.\It could be a trap.\But I want to find out the truth.\No, I need to know the truth.\For the sake of what I plan to accomplish.\- I will accompany you. - Thank you. response:	But remember, it's what you sense that matters, Sir Theo.
context: is why you tried to stop the birth of the Grancrest, and the end of the Age of Chaos.\If you wish to know that last answer, you must touch this.\It could be a trap.\But I want to find out the truth.\No, I need to know the truth.\For the sake of what I plan to accomplish.\- I will accompany you. - Thank you.\But remember, it's what you sense that matters, Sir Theo. response:	All right.
context: If you wish to know that last answer, you must touch this.\It could be a trap.\But I want to find out the truth.\No, I need to know the truth.\For the sake of what I plan to accomplish.\- I will accompany you. - Thank you.\But remember, it's what you sense that matters, Sir Theo.\All right. response:	Where are we?
context: It could be a trap.\But I want to find out the truth.\No, I need to know the truth.\For the sake of what I plan to accomplish.\- I will accompany you. - Thank you.\But remember, it's what you sense that matters, Sir Theo.\All right.\Where are we? response:	Inside the Chaos Globe, perhaps?
context: But I want to find out the truth.\No, I need to know the truth.\For the sake of what I plan to accomplish.\- I will accompany you. - Thank you.\But remember, it's what you sense that matters, Sir Theo.\All right.\Where are we?\Inside the Chaos Globe, perhaps? response:	Are we trapped in here?
context: No, I need to know the truth.\For the sake of what I plan to accomplish.\- I will accompany you. - Thank you.\But remember, it's what you sense that matters, Sir Theo.\All right.\Where are we?\Inside the Chaos Globe, perhaps?\Are we trapped in here? response:	I don't think these are our actual bodies. Our minds must be inside the Chaos Glo
context: For the sake of what I plan to accomplish.\- I will accompany you. - Thank you.\But remember, it's what you sense that matters, Sir Theo.\All right.\Where are we?\Inside the Chaos Globe, perhaps?\Are we trapped in here?\I don't think these are our actual bodies. Our minds must be inside the Chaos Glo response:	You must not allow the Age of Chaos to end.
context: - I will accompany you. - Thank you.\But remember, it's what you sense that matters, Sir Theo.\All right.\Where are we?\Inside the Chaos Globe, perhaps?\Are we trapped in here?\I don't think these are our actual bodies. Our minds must be inside the Chaos Glo\You must not allow the Age of Chaos to end. response:	Who are you?
