context: Give Mikono back! response:	Infinity Punch!
context: Amata's going to suffer if he loses Mikono.\I don't want Amata to suffer.\Please.\I can't handle any more!\The Union's about to break!\How dare you!\Goodbye, Amata...\Can't do it. response:	Why?
context: I don't want Amata to suffer.\Please.\I can't handle any more!\The Union's about to break!\How dare you!\Goodbye, Amata...\Can't do it.\Why? response:	You don't deserve to get killed over the likes of Amata.
context: Please.\I can't handle any more!\The Union's about to break!\How dare you!\Goodbye, Amata...\Can't do it.\Why?\You don't deserve to get killed over the likes of Amata. response:	Pathetic Wingless!
context: I can't handle any more!\The Union's about to break!\How dare you!\Goodbye, Amata...\Can't do it.\Why?\You don't deserve to get killed over the likes of Amata.\Pathetic Wingless! response:	I no longer need your body!
context: The Union's about to break!\How dare you!\Goodbye, Amata...\Can't do it.\Why?\You don't deserve to get killed over the likes of Amata.\Pathetic Wingless!\I no longer need your body! response:	The true Wings of the Sun were wielded by the gods of old one by one.
context: How dare you!\Goodbye, Amata...\Can't do it.\Why?\You don't deserve to get killed over the likes of Amata.\Pathetic Wingless!\I no longer need your body!\The true Wings of the Sun were wielded by the gods of old one by one. response:	Now that they have been awakened,
context: Goodbye, Amata...\Can't do it.\Why?\You don't deserve to get killed over the likes of Amata.\Pathetic Wingless!\I no longer need your body!\The true Wings of the Sun were wielded by the gods of old one by one.\Now that they have been awakened, response:	the cursed bride and I are all the Elements it needs.
context: Can't do it.\Why?\You don't deserve to get killed over the likes of Amata.\Pathetic Wingless!\I no longer need your body!\The true Wings of the Sun were wielded by the gods of old one by one.\Now that they have been awakened,\the cursed bride and I are all the Elements it needs. response:	Reverse!
context: Why?\You don't deserve to get killed over the likes of Amata.\Pathetic Wingless!\I no longer need your body!\The true Wings of the Sun were wielded by the gods of old one by one.\Now that they have been awakened,\the cursed bride and I are all the Elements it needs.\Reverse! response:	Contrary Twister!
context: You don't deserve to get killed over the likes of Amata.\Pathetic Wingless!\I no longer need your body!\The true Wings of the Sun were wielded by the gods of old one by one.\Now that they have been awakened,\the cursed bride and I are all the Elements it needs.\Reverse!\Contrary Twister! response:	Now hear the wedding bells of revenge!
context: Pathetic Wingless!\I no longer need your body!\The true Wings of the Sun were wielded by the gods of old one by one.\Now that they have been awakened,\the cursed bride and I are all the Elements it needs.\Reverse!\Contrary Twister!\Now hear the wedding bells of revenge! response:	I will take this harlot's body and forge a new world as the God of Genesis!
context: I no longer need your body!\The true Wings of the Sun were wielded by the gods of old one by one.\Now that they have been awakened,\the cursed bride and I are all the Elements it needs.\Reverse!\Contrary Twister!\Now hear the wedding bells of revenge!\I will take this harlot's body and forge a new world as the God of Genesis! response:	Awaken, the other Sun!
context: The true Wings of the Sun were wielded by the gods of old one by one.\Now that they have been awakened,\the cursed bride and I are all the Elements it needs.\Reverse!\Contrary Twister!\Now hear the wedding bells of revenge!\I will take this harlot's body and forge a new world as the God of Genesis!\Awaken, the other Sun! response:	Cayenne! Yunoha!
context: Now that they have been awakened,\the cursed bride and I are all the Elements it needs.\Reverse!\Contrary Twister!\Now hear the wedding bells of revenge!\I will take this harlot's body and forge a new world as the God of Genesis!\Awaken, the other Sun!\Cayenne! Yunoha! response:	A dark sun!
context: the cursed bride and I are all the Elements it needs.\Reverse!\Contrary Twister!\Now hear the wedding bells of revenge!\I will take this harlot's body and forge a new world as the God of Genesis!\Awaken, the other Sun!\Cayenne! Yunoha!\A dark sun! response:	The temperature is rising all over the world!
context: Reverse!\Contrary Twister!\Now hear the wedding bells of revenge!\I will take this harlot's body and forge a new world as the God of Genesis!\Awaken, the other Sun!\Cayenne! Yunoha!\A dark sun!\The temperature is rising all over the world! response:	The water levels of the oceans and every body of water are dropping!
context: Contrary Twister!\Now hear the wedding bells of revenge!\I will take this harlot's body and forge a new world as the God of Genesis!\Awaken, the other Sun!\Cayenne! Yunoha!\A dark sun!\The temperature is rising all over the world!\The water levels of the oceans and every body of water are dropping! response:	The Wings of the Sun has become a scorching flame to dry up the planet!
context: Now hear the wedding bells of revenge!\I will take this harlot's body and forge a new world as the God of Genesis!\Awaken, the other Sun!\Cayenne! Yunoha!\A dark sun!\The temperature is rising all over the world!\The water levels of the oceans and every body of water are dropping!\The Wings of the Sun has become a scorching flame to dry up the planet! response:	Mix!
context: I will take this harlot's body and forge a new world as the God of Genesis!\Awaken, the other Sun!\Cayenne! Yunoha!\A dark sun!\The temperature is rising all over the world!\The water levels of the oceans and every body of water are dropping!\The Wings of the Sun has become a scorching flame to dry up the planet!\Mix! response:	The whole planet's going to die!
context: Awaken, the other Sun!\Cayenne! Yunoha!\A dark sun!\The temperature is rising all over the world!\The water levels of the oceans and every body of water are dropping!\The Wings of the Sun has become a scorching flame to dry up the planet!\Mix!\The whole planet's going to die! response:	But we don't stand a chance with just Vectors!
context: Cayenne! Yunoha!\A dark sun!\The temperature is rising all over the world!\The water levels of the oceans and every body of water are dropping!\The Wings of the Sun has become a scorching flame to dry up the planet!\Mix!\The whole planet's going to die!\But we don't stand a chance with just Vectors! response:	Amata! Let's Union!
context: A dark sun!\The temperature is rising all over the world!\The water levels of the oceans and every body of water are dropping!\The Wings of the Sun has become a scorching flame to dry up the planet!\Mix!\The whole planet's going to die!\But we don't stand a chance with just Vectors!\Amata! Let's Union! response:	Andy!
context: The temperature is rising all over the world!\The water levels of the oceans and every body of water are dropping!\The Wings of the Sun has become a scorching flame to dry up the planet!\Mix!\The whole planet's going to die!\But we don't stand a chance with just Vectors!\Amata! Let's Union!\Andy! response:	It's been a long time, Amata!
context: The water levels of the oceans and every body of water are dropping!\The Wings of the Sun has become a scorching flame to dry up the planet!\Mix!\The whole planet's going to die!\But we don't stand a chance with just Vectors!\Amata! Let's Union!\Andy!\It's been a long time, Amata! response:	Mix! You're back!
context: The Wings of the Sun has become a scorching flame to dry up the planet!\Mix!\The whole planet's going to die!\But we don't stand a chance with just Vectors!\Amata! Let's Union!\Andy!\It's been a long time, Amata!\Mix! You're back! response:	This song! Impossible!
context: Mix!\The whole planet's going to die!\But we don't stand a chance with just Vectors!\Amata! Let's Union!\Andy!\It's been a long time, Amata!\Mix! You're back!\This song! Impossible! response:	Shrade!
context: The whole planet's going to die!\But we don't stand a chance with just Vectors!\Amata! Let's Union!\Andy!\It's been a long time, Amata!\Mix! You're back!\This song! Impossible!\Shrade! response:	It's confirmed to be the Vector Shrade was last in!
context: But we don't stand a chance with just Vectors!\Amata! Let's Union!\Andy!\It's been a long time, Amata!\Mix! You're back!\This song! Impossible!\Shrade!\It's confirmed to be the Vector Shrade was last in! response:	But there don't seem to be any life signs...
context: Amata! Let's Union!\Andy!\It's been a long time, Amata!\Mix! You're back!\This song! Impossible!\Shrade!\It's confirmed to be the Vector Shrade was last in!\But there don't seem to be any life signs... response:	Detecting another Vector!
context: Andy!\It's been a long time, Amata!\Mix! You're back!\This song! Impossible!\Shrade!\It's confirmed to be the Vector Shrade was last in!\But there don't seem to be any life signs...\Detecting another Vector! response:	It's the one Zessica was piloting before!
context: It's been a long time, Amata!\Mix! You're back!\This song! Impossible!\Shrade!\It's confirmed to be the Vector Shrade was last in!\But there don't seem to be any life signs...\Detecting another Vector!\It's the one Zessica was piloting before! response:	Now we've got two spare Vectors!
context: Mix! You're back!\This song! Impossible!\Shrade!\It's confirmed to be the Vector Shrade was last in!\But there don't seem to be any life signs...\Detecting another Vector!\It's the one Zessica was piloting before!\Now we've got two spare Vectors! response:	If we can just find one more...
context: This song! Impossible!\Shrade!\It's confirmed to be the Vector Shrade was last in!\But there don't seem to be any life signs...\Detecting another Vector!\It's the one Zessica was piloting before!\Now we've got two spare Vectors!\If we can just find one more... response:	Yo! You didn't forget about me, did you?
context: Shrade!\It's confirmed to be the Vector Shrade was last in!\But there don't seem to be any life signs...\Detecting another Vector!\It's the one Zessica was piloting before!\Now we've got two spare Vectors!\If we can just find one more...\Yo! You didn't forget about me, did you? response:	Vector Z, Malloy, reporting in!
context: It's confirmed to be the Vector Shrade was last in!\But there don't seem to be any life signs...\Detecting another Vector!\It's the one Zessica was piloting before!\Now we've got two spare Vectors!\If we can just find one more...\Yo! You didn't forget about me, did you?\Vector Z, Malloy, reporting in! response:	I'm from the south, you know! The scorching sun and I are buddies!
context: But there don't seem to be any life signs...\Detecting another Vector!\It's the one Zessica was piloting before!\Now we've got two spare Vectors!\If we can just find one more...\Yo! You didn't forget about me, did you?\Vector Z, Malloy, reporting in!\I'm from the south, you know! The scorching sun and I are buddies! response:	We have three Vectors free now!
context: Detecting another Vector!\It's the one Zessica was piloting before!\Now we've got two spare Vectors!\If we can just find one more...\Yo! You didn't forget about me, did you?\Vector Z, Malloy, reporting in!\I'm from the south, you know! The scorching sun and I are buddies!\We have three Vectors free now! response:	Cayenne, Yunoha, redeploy!
context: It's the one Zessica was piloting before!\Now we've got two spare Vectors!\If we can just find one more...\Yo! You didn't forget about me, did you?\Vector Z, Malloy, reporting in!\I'm from the south, you know! The scorching sun and I are buddies!\We have three Vectors free now!\Cayenne, Yunoha, redeploy! response:	And Element Change!
context: Now we've got two spare Vectors!\If we can just find one more...\Yo! You didn't forget about me, did you?\Vector Z, Malloy, reporting in!\I'm from the south, you know! The scorching sun and I are buddies!\We have three Vectors free now!\Cayenne, Yunoha, redeploy!\And Element Change! response:	Switch out Malloy... for me!
context: If we can just find one more...\Yo! You didn't forget about me, did you?\Vector Z, Malloy, reporting in!\I'm from the south, you know! The scorching sun and I are buddies!\We have three Vectors free now!\Cayenne, Yunoha, redeploy!\And Element Change!\Switch out Malloy... for me! response:	Chairman Crea!
context: Yo! You didn't forget about me, did you?\Vector Z, Malloy, reporting in!\I'm from the south, you know! The scorching sun and I are buddies!\We have three Vectors free now!\Cayenne, Yunoha, redeploy!\And Element Change!\Switch out Malloy... for me!\Chairman Crea! response:	Don't be rash! If you need a pilot, I'll go!
context: Vector Z, Malloy, reporting in!\I'm from the south, you know! The scorching sun and I are buddies!\We have three Vectors free now!\Cayenne, Yunoha, redeploy!\And Element Change!\Switch out Malloy... for me!\Chairman Crea!\Don't be rash! If you need a pilot, I'll go! response:	Donar, Suomi. You two must survive.
context: I'm from the south, you know! The scorching sun and I are buddies!\We have three Vectors free now!\Cayenne, Yunoha, redeploy!\And Element Change!\Switch out Malloy... for me!\Chairman Crea!\Don't be rash! If you need a pilot, I'll go!\Donar, Suomi. You two must survive. response:	If worse comes to worst, you two will be the Adam and Eve of the next generation.
context: We have three Vectors free now!\Cayenne, Yunoha, redeploy!\And Element Change!\Switch out Malloy... for me!\Chairman Crea!\Don't be rash! If you need a pilot, I'll go!\Donar, Suomi. You two must survive.\If worse comes to worst, you two will be the Adam and Eve of the next generation. response:	Wha?
context: Cayenne, Yunoha, redeploy!\And Element Change!\Switch out Malloy... for me!\Chairman Crea!\Don't be rash! If you need a pilot, I'll go!\Donar, Suomi. You two must survive.\If worse comes to worst, you two will be the Adam and Eve of the next generation.\Wha? response:	Yes, Ma'am! Understood!
context: And Element Change!\Switch out Malloy... for me!\Chairman Crea!\Don't be rash! If you need a pilot, I'll go!\Donar, Suomi. You two must survive.\If worse comes to worst, you two will be the Adam and Eve of the next generation.\Wha?\Yes, Ma'am! Understood! response:	Cayenne! Yunoha! Follow me!
context: Switch out Malloy... for me!\Chairman Crea!\Don't be rash! If you need a pilot, I'll go!\Donar, Suomi. You two must survive.\If worse comes to worst, you two will be the Adam and Eve of the next generation.\Wha?\Yes, Ma'am! Understood!\Cayenne! Yunoha! Follow me! response:	Roger!
context: Chairman Crea!\Don't be rash! If you need a pilot, I'll go!\Donar, Suomi. You two must survive.\If worse comes to worst, you two will be the Adam and Eve of the next generation.\Wha?\Yes, Ma'am! Understood!\Cayenne! Yunoha! Follow me!\Roger! response:	Good luck!
context: Don't be rash! If you need a pilot, I'll go!\Donar, Suomi. You two must survive.\If worse comes to worst, you two will be the Adam and Eve of the next generation.\Wha?\Yes, Ma'am! Understood!\Cayenne! Yunoha! Follow me!\Roger!\Good luck! response:	This song! Shrade!
context: Donar, Suomi. You two must survive.\If worse comes to worst, you two will be the Adam and Eve of the next generation.\Wha?\Yes, Ma'am! Understood!\Cayenne! Yunoha! Follow me!\Roger!\Good luck!\This song! Shrade! response:	Can you fill my seat? I wonder.
context: If worse comes to worst, you two will be the Adam and Eve of the next generation.\Wha?\Yes, Ma'am! Understood!\Cayenne! Yunoha! Follow me!\Roger!\Good luck!\This song! Shrade!\Can you fill my seat? I wonder. response:	I entrust it to you, my friend.
context: Wha?\Yes, Ma'am! Understood!\Cayenne! Yunoha! Follow me!\Roger!\Good luck!\This song! Shrade!\Can you fill my seat? I wonder.\I entrust it to you, my friend. response:	Shrade...
context: Yes, Ma'am! Understood!\Cayenne! Yunoha! Follow me!\Roger!\Good luck!\This song! Shrade!\Can you fill my seat? I wonder.\I entrust it to you, my friend.\Shrade... response:	I want to defend both Jin's homeworld and the Earth!
context: Cayenne! Yunoha! Follow me!\Roger!\Good luck!\This song! Shrade!\Can you fill my seat? I wonder.\I entrust it to you, my friend.\Shrade...\I want to defend both Jin's homeworld and the Earth! response:	Shrade! Your spirit stayed to fight with us!
context: Roger!\Good luck!\This song! Shrade!\Can you fill my seat? I wonder.\I entrust it to you, my friend.\Shrade...\I want to defend both Jin's homeworld and the Earth!\Shrade! Your spirit stayed to fight with us! response:	Come! Let us fight!
context: Good luck!\This song! Shrade!\Can you fill my seat? I wonder.\I entrust it to you, my friend.\Shrade...\I want to defend both Jin's homeworld and the Earth!\Shrade! Your spirit stayed to fight with us!\Come! Let us fight! response:	For our precious friends!
context: This song! Shrade!\Can you fill my seat? I wonder.\I entrust it to you, my friend.\Shrade...\I want to defend both Jin's homeworld and the Earth!\Shrade! Your spirit stayed to fight with us!\Come! Let us fight!\For our precious friends! response:	For our precious partners!
context: Can you fill my seat? I wonder.\I entrust it to you, my friend.\Shrade...\I want to defend both Jin's homeworld and the Earth!\Shrade! Your spirit stayed to fight with us!\Come! Let us fight!\For our precious friends!\For our precious partners! response:	For our precious ones...
context: I entrust it to you, my friend.\Shrade...\I want to defend both Jin's homeworld and the Earth!\Shrade! Your spirit stayed to fight with us!\Come! Let us fight!\For our precious friends!\For our precious partners!\For our precious ones... response:	For our precious feelings!
context: Shrade...\I want to defend both Jin's homeworld and the Earth!\Shrade! Your spirit stayed to fight with us!\Come! Let us fight!\For our precious friends!\For our precious partners!\For our precious ones...\For our precious feelings! response:	Come with me, Shrade.
context: I want to defend both Jin's homeworld and the Earth!\Shrade! Your spirit stayed to fight with us!\Come! Let us fight!\For our precious friends!\For our precious partners!\For our precious ones...\For our precious feelings!\Come with me, Shrade. response:	Dear Friends Union!
context: Shrade! Your spirit stayed to fight with us!\Come! Let us fight!\For our precious friends!\For our precious partners!\For our precious ones...\For our precious feelings!\Come with me, Shrade.\Dear Friends Union! response:	Go, Aquarion!
context: Come! Let us fight!\For our precious friends!\For our precious partners!\For our precious ones...\For our precious feelings!\Come with me, Shrade.\Dear Friends Union!\Go, Aquarion! response:	Aquarion Geparda!
context: For our precious friends!\For our precious partners!\For our precious ones...\For our precious feelings!\Come with me, Shrade.\Dear Friends Union!\Go, Aquarion!\Aquarion Geparda! response:	Now let us fight together, Cayenne.
context: For our precious partners!\For our precious ones...\For our precious feelings!\Come with me, Shrade.\Dear Friends Union!\Go, Aquarion!\Aquarion Geparda!\Now let us fight together, Cayenne. response:	Yes, my friend!
context: For our precious ones...\For our precious feelings!\Come with me, Shrade.\Dear Friends Union!\Go, Aquarion!\Aquarion Geparda!\Now let us fight together, Cayenne.\Yes, my friend! response:	Pathetic.
context: For our precious feelings!\Come with me, Shrade.\Dear Friends Union!\Go, Aquarion!\Aquarion Geparda!\Now let us fight together, Cayenne.\Yes, my friend!\Pathetic. response:	What?
context: Come with me, Shrade.\Dear Friends Union!\Go, Aquarion!\Aquarion Geparda!\Now let us fight together, Cayenne.\Yes, my friend!\Pathetic.\What? response:	Watch out!
context: Dear Friends Union!\Go, Aquarion!\Aquarion Geparda!\Now let us fight together, Cayenne.\Yes, my friend!\Pathetic.\What?\Watch out! response:	We're surrounded!
context: Go, Aquarion!\Aquarion Geparda!\Now let us fight together, Cayenne.\Yes, my friend!\Pathetic.\What?\Watch out!\We're surrounded! response:	Teleport!
context: Aquarion Geparda!\Now let us fight together, Cayenne.\Yes, my friend!\Pathetic.\What?\Watch out!\We're surrounded!\Teleport! response:	Chairman?
context: Now let us fight together, Cayenne.\Yes, my friend!\Pathetic.\What?\Watch out!\We're surrounded!\Teleport!\Chairman? response:	Here we go!
context: Yes, my friend!\Pathetic.\What?\Watch out!\We're surrounded!\Teleport!\Chairman?\Here we go! response:	Hole! Hole! Hole!
context: Pathetic.\What?\Watch out!\We're surrounded!\Teleport!\Chairman?\Here we go!\Hole! Hole! Hole! response:	Let's play together!
context: What?\Watch out!\We're surrounded!\Teleport!\Chairman?\Here we go!\Hole! Hole! Hole!\Let's play together! response:	The Requiem of Genesis!
context: Watch out!\We're surrounded!\Teleport!\Chairman?\Here we go!\Hole! Hole! Hole!\Let's play together!\The Requiem of Genesis! response:	I'm getting too old for this.
context: We're surrounded!\Teleport!\Chairman?\Here we go!\Hole! Hole! Hole!\Let's play together!\The Requiem of Genesis!\I'm getting too old for this. response:	Too old?
context: Teleport!\Chairman?\Here we go!\Hole! Hole! Hole!\Let's play together!\The Requiem of Genesis!\I'm getting too old for this.\Too old? response:	Insolent bugs!
context: Chairman?\Here we go!\Hole! Hole! Hole!\Let's play together!\The Requiem of Genesis!\I'm getting too old for this.\Too old?\Insolent bugs! response:	Spatial Augmentation!
context: Here we go!\Hole! Hole! Hole!\Let's play together!\The Requiem of Genesis!\I'm getting too old for this.\Too old?\Insolent bugs!\Spatial Augmentation! response:	I can't give up now...
context: Hole! Hole! Hole!\Let's play together!\The Requiem of Genesis!\I'm getting too old for this.\Too old?\Insolent bugs!\Spatial Augmentation!\I can't give up now... response:	I can't give up now!
context: Let's play together!\The Requiem of Genesis!\I'm getting too old for this.\Too old?\Insolent bugs!\Spatial Augmentation!\I can't give up now...\I can't give up now! response:	You suffer and suffer, and still you stand...
context: The Requiem of Genesis!\I'm getting too old for this.\Too old?\Insolent bugs!\Spatial Augmentation!\I can't give up now...\I can't give up now!\You suffer and suffer, and still you stand... response:	Do you really want this harlot so?
context: I'm getting too old for this.\Too old?\Insolent bugs!\Spatial Augmentation!\I can't give up now...\I can't give up now!\You suffer and suffer, and still you stand...\Do you really want this harlot so? response:	I'll put you out of your misery.
context: Too old?\Insolent bugs!\Spatial Augmentation!\I can't give up now...\I can't give up now!\You suffer and suffer, and still you stand...\Do you really want this harlot so?\I'll put you out of your misery. response:	He's pulling the two planets together by force!
context: Insolent bugs!\Spatial Augmentation!\I can't give up now...\I can't give up now!\You suffer and suffer, and still you stand...\Do you really want this harlot so?\I'll put you out of your misery.\He's pulling the two planets together by force! response:	He's absorbing the life from both worlds!
context: Spatial Augmentation!\I can't give up now...\I can't give up now!\You suffer and suffer, and still you stand...\Do you really want this harlot so?\I'll put you out of your misery.\He's pulling the two planets together by force!\He's absorbing the life from both worlds! response:	You're the ones from 12,000 years ago.
context: I can't give up now...\I can't give up now!\You suffer and suffer, and still you stand...\Do you really want this harlot so?\I'll put you out of your misery.\He's pulling the two planets together by force!\He's absorbing the life from both worlds!\You're the ones from 12,000 years ago. response:	Yeah. I still remember your smell.
context: I can't give up now!\You suffer and suffer, and still you stand...\Do you really want this harlot so?\I'll put you out of your misery.\He's pulling the two planets together by force!\He's absorbing the life from both worlds!\You're the ones from 12,000 years ago.\Yeah. I still remember your smell. response:	Apollo!
context: You suffer and suffer, and still you stand...\Do you really want this harlot so?\I'll put you out of your misery.\He's pulling the two planets together by force!\He's absorbing the life from both worlds!\You're the ones from 12,000 years ago.\Yeah. I still remember your smell.\Apollo! response:	Is that you, Apollo?
context: Do you really want this harlot so?\I'll put you out of your misery.\He's pulling the two planets together by force!\He's absorbing the life from both worlds!\You're the ones from 12,000 years ago.\Yeah. I still remember your smell.\Apollo!\Is that you, Apollo? response:	There is no need for sorrow,
context: I'll put you out of your misery.\He's pulling the two planets together by force!\He's absorbing the life from both worlds!\You're the ones from 12,000 years ago.\Yeah. I still remember your smell.\Apollo!\Is that you, Apollo?\There is no need for sorrow, response:	my future yet still dear sister.
context: He's pulling the two planets together by force!\He's absorbing the life from both worlds!\You're the ones from 12,000 years ago.\Yeah. I still remember your smell.\Apollo!\Is that you, Apollo?\There is no need for sorrow,\my future yet still dear sister. response:	Brother!
context: He's absorbing the life from both worlds!\You're the ones from 12,000 years ago.\Yeah. I still remember your smell.\Apollo!\Is that you, Apollo?\There is no need for sorrow,\my future yet still dear sister.\Brother! response:	Born from Man and Angel,
context: You're the ones from 12,000 years ago.\Yeah. I still remember your smell.\Apollo!\Is that you, Apollo?\There is no need for sorrow,\my future yet still dear sister.\Brother!\Born from Man and Angel, response:	my suffering and my salvation.
context: Yeah. I still remember your smell.\Apollo!\Is that you, Apollo?\There is no need for sorrow,\my future yet still dear sister.\Brother!\Born from Man and Angel,\my suffering and my salvation. response:	Toma!
context: Apollo!\Is that you, Apollo?\There is no need for sorrow,\my future yet still dear sister.\Brother!\Born from Man and Angel,\my suffering and my salvation.\Toma! response:	I'm sorry.
context: Is that you, Apollo?\There is no need for sorrow,\my future yet still dear sister.\Brother!\Born from Man and Angel,\my suffering and my salvation.\Toma!\I'm sorry. response:	I remember now.
context: There is no need for sorrow,\my future yet still dear sister.\Brother!\Born from Man and Angel,\my suffering and my salvation.\Toma!\I'm sorry.\I remember now. response:	It's all my fault.
