context: Hmm? What is he planning to do? response:	No! Your body won't be able to bear it if you go higher than 2X, Goku!
context: Kaio-ken... times four!!\No! Goku!\H- he's pushing back-\M- my body!\H- he did it... He did it!\Son! You did it, didn'cha!?\You bastard!\Yajirobe? What are you doing here? response:	What, you hadn't noticed?
context: No! Goku!\H- he's pushing back-\M- my body!\H- he did it... He did it!\Son! You did it, didn'cha!?\You bastard!\Yajirobe? What are you doing here?\What, you hadn't noticed? response:	For someone as good as you are, ya sure fought desperately, huh?
context: H- he's pushing back-\M- my body!\H- he did it... He did it!\Son! You did it, didn'cha!?\You bastard!\Yajirobe? What are you doing here?\What, you hadn't noticed?\For someone as good as you are, ya sure fought desperately, huh? response:	I guess so.
context: M- my body!\H- he did it... He did it!\Son! You did it, didn'cha!?\You bastard!\Yajirobe? What are you doing here?\What, you hadn't noticed?\For someone as good as you are, ya sure fought desperately, huh?\I guess so. response:	Still, you done a good job of blowin' that wicked guy away.
context: H- he did it... He did it!\Son! You did it, didn'cha!?\You bastard!\Yajirobe? What are you doing here?\What, you hadn't noticed?\For someone as good as you are, ya sure fought desperately, huh?\I guess so.\Still, you done a good job of blowin' that wicked guy away. response:	You sure are one helluva dude.
context: Son! You did it, didn'cha!?\You bastard!\Yajirobe? What are you doing here?\What, you hadn't noticed?\For someone as good as you are, ya sure fought desperately, huh?\I guess so.\Still, you done a good job of blowin' that wicked guy away.\You sure are one helluva dude. response:	W- what? What's the matter?
context: You bastard!\Yajirobe? What are you doing here?\What, you hadn't noticed?\For someone as good as you are, ya sure fought desperately, huh?\I guess so.\Still, you done a good job of blowin' that wicked guy away.\You sure are one helluva dude.\W- what? What's the matter? response:	I used a technique that was too much for my body to take...
context: Yajirobe? What are you doing here?\What, you hadn't noticed?\For someone as good as you are, ya sure fought desperately, huh?\I guess so.\Still, you done a good job of blowin' that wicked guy away.\You sure are one helluva dude.\W- what? What's the matter?\I used a technique that was too much for my body to take... response:	Well, it wasn't nothin' normal, all right.
context: What, you hadn't noticed?\For someone as good as you are, ya sure fought desperately, huh?\I guess so.\Still, you done a good job of blowin' that wicked guy away.\You sure are one helluva dude.\W- what? What's the matter?\I used a technique that was too much for my body to take...\Well, it wasn't nothin' normal, all right. response:	More importantly, Yajirobe, you'd better get out of here.
context: For someone as good as you are, ya sure fought desperately, huh?\I guess so.\Still, you done a good job of blowin' that wicked guy away.\You sure are one helluva dude.\W- what? What's the matter?\I used a technique that was too much for my body to take...\Well, it wasn't nothin' normal, all right.\More importantly, Yajirobe, you'd better get out of here. response:	H- how come?
context: I guess so.\Still, you done a good job of blowin' that wicked guy away.\You sure are one helluva dude.\W- what? What's the matter?\I used a technique that was too much for my body to take...\Well, it wasn't nothin' normal, all right.\More importantly, Yajirobe, you'd better get out of here.\H- how come? response:	D- don't tell me!
context: Still, you done a good job of blowin' that wicked guy away.\You sure are one helluva dude.\W- what? What's the matter?\I used a technique that was too much for my body to take...\Well, it wasn't nothin' normal, all right.\More importantly, Yajirobe, you'd better get out of here.\H- how come?\D- don't tell me! response:	He's still alive.
context: You sure are one helluva dude.\W- what? What's the matter?\I used a technique that was too much for my body to take...\Well, it wasn't nothin' normal, all right.\More importantly, Yajirobe, you'd better get out of here.\H- how come?\D- don't tell me!\He's still alive. response:	If that's all it would have taken for him to die, there wouldn't be any challenge.
context: W- what? What's the matter?\I used a technique that was too much for my body to take...\Well, it wasn't nothin' normal, all right.\More importantly, Yajirobe, you'd better get out of here.\H- how come?\D- don't tell me!\He's still alive.\If that's all it would have taken for him to die, there wouldn't be any challenge. response:	S- still, there's no problem, right? You're stronger'n him, ain'cha?
context: I used a technique that was too much for my body to take...\Well, it wasn't nothin' normal, all right.\More importantly, Yajirobe, you'd better get out of here.\H- how come?\D- don't tell me!\He's still alive.\If that's all it would have taken for him to die, there wouldn't be any challenge.\S- still, there's no problem, right? You're stronger'n him, ain'cha? response:	Like I told you, I overdid it, and now my body is in shambles. I could be near my limit.
context: Well, it wasn't nothin' normal, all right.\More importantly, Yajirobe, you'd better get out of here.\H- how come?\D- don't tell me!\He's still alive.\If that's all it would have taken for him to die, there wouldn't be any challenge.\S- still, there's no problem, right? You're stronger'n him, ain'cha?\Like I told you, I overdid it, and now my body is in shambles. I could be near my limit. response:	O- oh, yeah?
context: More importantly, Yajirobe, you'd better get out of here.\H- how come?\D- don't tell me!\He's still alive.\If that's all it would have taken for him to die, there wouldn't be any challenge.\S- still, there's no problem, right? You're stronger'n him, ain'cha?\Like I told you, I overdid it, and now my body is in shambles. I could be near my limit.\O- oh, yeah? response:	Well, then...
context: H- how come?\D- don't tell me!\He's still alive.\If that's all it would have taken for him to die, there wouldn't be any challenge.\S- still, there's no problem, right? You're stronger'n him, ain'cha?\Like I told you, I overdid it, and now my body is in shambles. I could be near my limit.\O- oh, yeah?\Well, then... response:	H- hang in there!
context: D- don't tell me!\He's still alive.\If that's all it would have taken for him to die, there wouldn't be any challenge.\S- still, there's no problem, right? You're stronger'n him, ain'cha?\Like I told you, I overdid it, and now my body is in shambles. I could be near my limit.\O- oh, yeah?\Well, then...\H- hang in there! response:	Dammit!
context: He's still alive.\If that's all it would have taken for him to die, there wouldn't be any challenge.\S- still, there's no problem, right? You're stronger'n him, ain'cha?\Like I told you, I overdid it, and now my body is in shambles. I could be near my limit.\O- oh, yeah?\Well, then...\H- hang in there!\Dammit! response:	Why!? Why is Kakarrot's battle power higher than mine!?
context: If that's all it would have taken for him to die, there wouldn't be any challenge.\S- still, there's no problem, right? You're stronger'n him, ain'cha?\Like I told you, I overdid it, and now my body is in shambles. I could be near my limit.\O- oh, yeah?\Well, then...\H- hang in there!\Dammit!\Why!? Why is Kakarrot's battle power higher than mine!? response:	Damn it to hell! I am a Saiyan! I am the strongest in the entire universe!
context: S- still, there's no problem, right? You're stronger'n him, ain'cha?\Like I told you, I overdid it, and now my body is in shambles. I could be near my limit.\O- oh, yeah?\Well, then...\H- hang in there!\Dammit!\Why!? Why is Kakarrot's battle power higher than mine!?\Damn it to hell! I am a Saiyan! I am the strongest in the entire universe! response:	At this point, as much as I dislike how ugly it is, I'm using my last resort.
context: Like I told you, I overdid it, and now my body is in shambles. I could be near my limit.\O- oh, yeah?\Well, then...\H- hang in there!\Dammit!\Why!? Why is Kakarrot's battle power higher than mine!?\Damn it to hell! I am a Saiyan! I am the strongest in the entire universe!\At this point, as much as I dislike how ugly it is, I'm using my last resort. response:	I'll transform into a Great Ape, and crush him!
context: O- oh, yeah?\Well, then...\H- hang in there!\Dammit!\Why!? Why is Kakarrot's battle power higher than mine!?\Damn it to hell! I am a Saiyan! I am the strongest in the entire universe!\At this point, as much as I dislike how ugly it is, I'm using my last resort.\I'll transform into a Great Ape, and crush him! response:	The strength of my Great Ape form is nothing to sneeze at!
context: Well, then...\H- hang in there!\Dammit!\Why!? Why is Kakarrot's battle power higher than mine!?\Damn it to hell! I am a Saiyan! I am the strongest in the entire universe!\At this point, as much as I dislike how ugly it is, I'm using my last resort.\I'll transform into a Great Ape, and crush him!\The strength of my Great Ape form is nothing to sneeze at! response:	Damn it all, we chose the day of the full moon to come here,
context: H- hang in there!\Dammit!\Why!? Why is Kakarrot's battle power higher than mine!?\Damn it to hell! I am a Saiyan! I am the strongest in the entire universe!\At this point, as much as I dislike how ugly it is, I'm using my last resort.\I'll transform into a Great Ape, and crush him!\The strength of my Great Ape form is nothing to sneeze at!\Damn it all, we chose the day of the full moon to come here, response:	so we could wipe out the people on this planet quickly.
context: Dammit!\Why!? Why is Kakarrot's battle power higher than mine!?\Damn it to hell! I am a Saiyan! I am the strongest in the entire universe!\At this point, as much as I dislike how ugly it is, I'm using my last resort.\I'll transform into a Great Ape, and crush him!\The strength of my Great Ape form is nothing to sneeze at!\Damn it all, we chose the day of the full moon to come here,\so we could wipe out the people on this planet quickly. response:	To think that I would have to transform just to defeat Kakarrot- it's infuriating!
context: Why!? Why is Kakarrot's battle power higher than mine!?\Damn it to hell! I am a Saiyan! I am the strongest in the entire universe!\At this point, as much as I dislike how ugly it is, I'm using my last resort.\I'll transform into a Great Ape, and crush him!\The strength of my Great Ape form is nothing to sneeze at!\Damn it all, we chose the day of the full moon to come here,\so we could wipe out the people on this planet quickly.\To think that I would have to transform just to defeat Kakarrot- it's infuriating! response:	That's strange. The moon should be out by now...
context: Damn it to hell! I am a Saiyan! I am the strongest in the entire universe!\At this point, as much as I dislike how ugly it is, I'm using my last resort.\I'll transform into a Great Ape, and crush him!\The strength of my Great Ape form is nothing to sneeze at!\Damn it all, we chose the day of the full moon to come here,\so we could wipe out the people on this planet quickly.\To think that I would have to transform just to defeat Kakarrot- it's infuriating!\That's strange. The moon should be out by now... response:	Saiyan, no matter how hard you look, it won't do any good. The moon is gone.
context: At this point, as much as I dislike how ugly it is, I'm using my last resort.\I'll transform into a Great Ape, and crush him!\The strength of my Great Ape form is nothing to sneeze at!\Damn it all, we chose the day of the full moon to come here,\so we could wipe out the people on this planet quickly.\To think that I would have to transform just to defeat Kakarrot- it's infuriating!\That's strange. The moon should be out by now...\Saiyan, no matter how hard you look, it won't do any good. The moon is gone. response:	The one named Piccolo feared this might happen, and eliminated it long ago.
context: I'll transform into a Great Ape, and crush him!\The strength of my Great Ape form is nothing to sneeze at!\Damn it all, we chose the day of the full moon to come here,\so we could wipe out the people on this planet quickly.\To think that I would have to transform just to defeat Kakarrot- it's infuriating!\That's strange. The moon should be out by now...\Saiyan, no matter how hard you look, it won't do any good. The moon is gone.\The one named Piccolo feared this might happen, and eliminated it long ago. response:	Still, Son Goku can't have very much energy left.
context: The strength of my Great Ape form is nothing to sneeze at!\Damn it all, we chose the day of the full moon to come here,\so we could wipe out the people on this planet quickly.\To think that I would have to transform just to defeat Kakarrot- it's infuriating!\That's strange. The moon should be out by now...\Saiyan, no matter how hard you look, it won't do any good. The moon is gone.\The one named Piccolo feared this might happen, and eliminated it long ago.\Still, Son Goku can't have very much energy left. response:	Even if the Saiyan doesn't turn into a Great Ape,
context: Damn it all, we chose the day of the full moon to come here,\so we could wipe out the people on this planet quickly.\To think that I would have to transform just to defeat Kakarrot- it's infuriating!\That's strange. The moon should be out by now...\Saiyan, no matter how hard you look, it won't do any good. The moon is gone.\The one named Piccolo feared this might happen, and eliminated it long ago.\Still, Son Goku can't have very much energy left.\Even if the Saiyan doesn't turn into a Great Ape, response:	it doesn't change the fact that he's still in a pinch.
context: so we could wipe out the people on this planet quickly.\To think that I would have to transform just to defeat Kakarrot- it's infuriating!\That's strange. The moon should be out by now...\Saiyan, no matter how hard you look, it won't do any good. The moon is gone.\The one named Piccolo feared this might happen, and eliminated it long ago.\Still, Son Goku can't have very much energy left.\Even if the Saiyan doesn't turn into a Great Ape,\it doesn't change the fact that he's still in a pinch. response:	Then again, he's become weaker, too. The Genki Dama!
context: To think that I would have to transform just to defeat Kakarrot- it's infuriating!\That's strange. The moon should be out by now...\Saiyan, no matter how hard you look, it won't do any good. The moon is gone.\The one named Piccolo feared this might happen, and eliminated it long ago.\Still, Son Goku can't have very much energy left.\Even if the Saiyan doesn't turn into a Great Ape,\it doesn't change the fact that he's still in a pinch.\Then again, he's become weaker, too. The Genki Dama! response:	lf you can just hit him with a Genki Dama, the way he is now, you can beat him for sure!
