context: I could just die right now. response:	A Place Further Than the Universe
context: It was our only option.\Even so...\What? What?\High school girl!\High School Girl Goes to Antarctica! A high school aged celebrity will be going on a three month trip to Antarctica with the civilian expedition.\Likes: 29\Goes to Antarctica!\The planned civilian Antarctic expedition team has announced plans response:	to send a female high school student with its news crew?
context: Even so...\What? What?\High school girl!\High School Girl Goes to Antarctica! A high school aged celebrity will be going on a three month trip to Antarctica with the civilian expedition.\Likes: 29\Goes to Antarctica!\The planned civilian Antarctic expedition team has announced plans\to send a female high school student with its news crew? response:	The accompanying student will be celebrity Shiraishi Yuzuki-san...
context: What? What?\High school girl!\High School Girl Goes to Antarctica! A high school aged celebrity will be going on a three month trip to Antarctica with the civilian expedition.\Likes: 29\Goes to Antarctica!\The planned civilian Antarctic expedition team has announced plans\to send a female high school student with its news crew?\The accompanying student will be celebrity Shiraishi Yuzuki-san... response:	She'll be doing online streams about the trip to Antarctica
context: High school girl!\High School Girl Goes to Antarctica! A high school aged celebrity will be going on a three month trip to Antarctica with the civilian expedition.\Likes: 29\Goes to Antarctica!\The planned civilian Antarctic expedition team has announced plans\to send a female high school student with its news crew?\The accompanying student will be celebrity Shiraishi Yuzuki-san...\She'll be doing online streams about the trip to Antarctica response:	and conditions at Syowa Station.
context: High School Girl Goes to Antarctica! A high school aged celebrity will be going on a three month trip to Antarctica with the civilian expedition.\Likes: 29\Goes to Antarctica!\The planned civilian Antarctic expedition team has announced plans\to send a female high school student with its news crew?\The accompanying student will be celebrity Shiraishi Yuzuki-san...\She'll be doing online streams about the trip to Antarctica\and conditions at Syowa Station. response:	Someone beat me to it!
context: Likes: 29\Goes to Antarctica!\The planned civilian Antarctic expedition team has announced plans\to send a female high school student with its news crew?\The accompanying student will be celebrity Shiraishi Yuzuki-san...\She'll be doing online streams about the trip to Antarctica\and conditions at Syowa Station.\Someone beat me to it! response:	I didn't know about this!
context: Goes to Antarctica!\The planned civilian Antarctic expedition team has announced plans\to send a female high school student with its news crew?\The accompanying student will be celebrity Shiraishi Yuzuki-san...\She'll be doing online streams about the trip to Antarctica\and conditions at Syowa Station.\Someone beat me to it!\I didn't know about this! response:	The expedition members didn't mention a thing about it...
context: The planned civilian Antarctic expedition team has announced plans\to send a female high school student with its news crew?\The accompanying student will be celebrity Shiraishi Yuzuki-san...\She'll be doing online streams about the trip to Antarctica\and conditions at Syowa Station.\Someone beat me to it!\I didn't know about this!\The expedition members didn't mention a thing about it... response:	They probably realized the trouble it would cause.
context: to send a female high school student with its news crew?\The accompanying student will be celebrity Shiraishi Yuzuki-san...\She'll be doing online streams about the trip to Antarctica\and conditions at Syowa Station.\Someone beat me to it!\I didn't know about this!\The expedition members didn't mention a thing about it...\They probably realized the trouble it would cause. response:	See?
context: The accompanying student will be celebrity Shiraishi Yuzuki-san...\She'll be doing online streams about the trip to Antarctica\and conditions at Syowa Station.\Someone beat me to it!\I didn't know about this!\The expedition members didn't mention a thing about it...\They probably realized the trouble it would cause.\See? response:	Reporter... journalist... where?
context: She'll be doing online streams about the trip to Antarctica\and conditions at Syowa Station.\Someone beat me to it!\I didn't know about this!\The expedition members didn't mention a thing about it...\They probably realized the trouble it would cause.\See?\Reporter... journalist... where? response:	Um... um... um...
context: and conditions at Syowa Station.\Someone beat me to it!\I didn't know about this!\The expedition members didn't mention a thing about it...\They probably realized the trouble it would cause.\See?\Reporter... journalist... where?\Um... um... um... response:	Shiraishi Yuzuki
context: Someone beat me to it!\I didn't know about this!\The expedition members didn't mention a thing about it...\They probably realized the trouble it would cause.\See?\Reporter... journalist... where?\Um... um... um...\Shiraishi Yuzuki response:	Shiraishi Yuzuki.
context: I didn't know about this!\The expedition members didn't mention a thing about it...\They probably realized the trouble it would cause.\See?\Reporter... journalist... where?\Um... um... um...\Shiraishi Yuzuki\Shiraishi Yuzuki. response:	Her agency is... Call this place right now!
context: The expedition members didn't mention a thing about it...\They probably realized the trouble it would cause.\See?\Reporter... journalist... where?\Um... um... um...\Shiraishi Yuzuki\Shiraishi Yuzuki.\Her agency is... Call this place right now! response:	And say what, exactly?
context: They probably realized the trouble it would cause.\See?\Reporter... journalist... where?\Um... um... um...\Shiraishi Yuzuki\Shiraishi Yuzuki.\Her agency is... Call this place right now!\And say what, exactly? response:	Ask them if I go along with her.
context: See?\Reporter... journalist... where?\Um... um... um...\Shiraishi Yuzuki\Shiraishi Yuzuki.\Her agency is... Call this place right now!\And say what, exactly?\Ask them if I go along with her. response:	I'm the daughter of an Antarctic expedition member and a girl in high school.
context: Reporter... journalist... where?\Um... um... um...\Shiraishi Yuzuki\Shiraishi Yuzuki.\Her agency is... Call this place right now!\And say what, exactly?\Ask them if I go along with her.\I'm the daughter of an Antarctic expedition member and a girl in high school. response:	I know everything about Antarctica!
context: Um... um... um...\Shiraishi Yuzuki\Shiraishi Yuzuki.\Her agency is... Call this place right now!\And say what, exactly?\Ask them if I go along with her.\I'm the daughter of an Antarctic expedition member and a girl in high school.\I know everything about Antarctica! response:	Call her yourself.
context: Shiraishi Yuzuki\Shiraishi Yuzuki.\Her agency is... Call this place right now!\And say what, exactly?\Ask them if I go along with her.\I'm the daughter of an Antarctic expedition member and a girl in high school.\I know everything about Antarctica!\Call her yourself. response:	But... I'm not cut out for that sort of thing...
context: Shiraishi Yuzuki.\Her agency is... Call this place right now!\And say what, exactly?\Ask them if I go along with her.\I'm the daughter of an Antarctic expedition member and a girl in high school.\I know everything about Antarctica!\Call her yourself.\But... I'm not cut out for that sort of thing... response:	They're all strangers, after all...
context: Her agency is... Call this place right now!\And say what, exactly?\Ask them if I go along with her.\I'm the daughter of an Antarctic expedition member and a girl in high school.\I know everything about Antarctica!\Call her yourself.\But... I'm not cut out for that sort of thing...\They're all strangers, after all... response:	I'm gradually starting to understand how this girl works.
context: And say what, exactly?\Ask them if I go along with her.\I'm the daughter of an Antarctic expedition member and a girl in high school.\I know everything about Antarctica!\Call her yourself.\But... I'm not cut out for that sort of thing...\They're all strangers, after all...\I'm gradually starting to understand how this girl works. response:	Same.
context: Ask them if I go along with her.\I'm the daughter of an Antarctic expedition member and a girl in high school.\I know everything about Antarctica!\Call her yourself.\But... I'm not cut out for that sort of thing...\They're all strangers, after all...\I'm gradually starting to understand how this girl works.\Same. response:	Beep!
context: I'm the daughter of an Antarctic expedition member and a girl in high school.\I know everything about Antarctica!\Call her yourself.\But... I'm not cut out for that sort of thing...\They're all strangers, after all...\I'm gradually starting to understand how this girl works.\Same.\Beep! response:	No way, no way, no way!
context: I know everything about Antarctica!\Call her yourself.\But... I'm not cut out for that sort of thing...\They're all strangers, after all...\I'm gradually starting to understand how this girl works.\Same.\Beep!\No way, no way, no way! response:	Talk! You want to go to Antarctica, don't you?
context: Call her yourself.\But... I'm not cut out for that sort of thing...\They're all strangers, after all...\I'm gradually starting to understand how this girl works.\Same.\Beep!\No way, no way, no way!\Talk! You want to go to Antarctica, don't you? response:	Um...
context: But... I'm not cut out for that sort of thing...\They're all strangers, after all...\I'm gradually starting to understand how this girl works.\Same.\Beep!\No way, no way, no way!\Talk! You want to go to Antarctica, don't you?\Um... response:	How dare you push this on me?!
context: They're all strangers, after all...\I'm gradually starting to understand how this girl works.\Same.\Beep!\No way, no way, no way!\Talk! You want to go to Antarctica, don't you?\Um...\How dare you push this on me?! response:	Same to you!
context: I'm gradually starting to understand how this girl works.\Same.\Beep!\No way, no way, no way!\Talk! You want to go to Antarctica, don't you?\Um...\How dare you push this on me?!\Same to you! response:	Hello?
context: Same.\Beep!\No way, no way, no way!\Talk! You want to go to Antarctica, don't you?\Um...\How dare you push this on me?!\Same to you!\Hello? response:	What are you doing?
context: Beep!\No way, no way, no way!\Talk! You want to go to Antarctica, don't you?\Um...\How dare you push this on me?!\Same to you!\Hello?\What are you doing? response:	Um...
context: No way, no way, no way!\Talk! You want to go to Antarctica, don't you?\Um...\How dare you push this on me?!\Same to you!\Hello?\What are you doing?\Um... response:	You're Kobuchizawa Shirase-san, aren't you?
context: Talk! You want to go to Antarctica, don't you?\Um...\How dare you push this on me?!\Same to you!\Hello?\What are you doing?\Um...\You're Kobuchizawa Shirase-san, aren't you? response:	Yes?
context: Um...\How dare you push this on me?!\Same to you!\Hello?\What are you doing?\Um...\You're Kobuchizawa Shirase-san, aren't you?\Yes? response:	A pleasure to meet you. My name is Shiraishi Yuzuki.
context: How dare you push this on me?!\Same to you!\Hello?\What are you doing?\Um...\You're Kobuchizawa Shirase-san, aren't you?\Yes?\A pleasure to meet you. My name is Shiraishi Yuzuki. response:	Shiraishi...
context: Same to you!\Hello?\What are you doing?\Um...\You're Kobuchizawa Shirase-san, aren't you?\Yes?\A pleasure to meet you. My name is Shiraishi Yuzuki.\Shiraishi... response:	Huh? Isn't that the name of...
context: Hello?\What are you doing?\Um...\You're Kobuchizawa Shirase-san, aren't you?\Yes?\A pleasure to meet you. My name is Shiraishi Yuzuki.\Shiraishi...\Huh? Isn't that the name of... response:	She's on wiki!
context: What are you doing?\Um...\You're Kobuchizawa Shirase-san, aren't you?\Yes?\A pleasure to meet you. My name is Shiraishi Yuzuki.\Shiraishi...\Huh? Isn't that the name of...\She's on wiki! response:	A child actress who started in commercials at the age of five.
context: Um...\You're Kobuchizawa Shirase-san, aren't you?\Yes?\A pleasure to meet you. My name is Shiraishi Yuzuki.\Shiraishi...\Huh? Isn't that the name of...\She's on wiki!\A child actress who started in commercials at the age of five. response:	38,000 followers?
context: You're Kobuchizawa Shirase-san, aren't you?\Yes?\A pleasure to meet you. My name is Shiraishi Yuzuki.\Shiraishi...\Huh? Isn't that the name of...\She's on wiki!\A child actress who started in commercials at the age of five.\38,000 followers? response:	Made her singing debut with The Follow Backs Don't Stop.
context: Yes?\A pleasure to meet you. My name is Shiraishi Yuzuki.\Shiraishi...\Huh? Isn't that the name of...\She's on wiki!\A child actress who started in commercials at the age of five.\38,000 followers?\Made her singing debut with The Follow Backs Don't Stop. response:	Shiraishi Yuzuki's 1st Single The Follow Backs Don't Stop
context: A pleasure to meet you. My name is Shiraishi Yuzuki.\Shiraishi...\Huh? Isn't that the name of...\She's on wiki!\A child actress who started in commercials at the age of five.\38,000 followers?\Made her singing debut with The Follow Backs Don't Stop.\Shiraishi Yuzuki's 1st Single The Follow Backs Don't Stop response:	I could just die right now.
context: Shiraishi...\Huh? Isn't that the name of...\She's on wiki!\A child actress who started in commercials at the age of five.\38,000 followers?\Made her singing debut with The Follow Backs Don't Stop.\Shiraishi Yuzuki's 1st Single The Follow Backs Don't Stop\I could just die right now. response:	I'm so embarrassed.
context: Huh? Isn't that the name of...\She's on wiki!\A child actress who started in commercials at the age of five.\38,000 followers?\Made her singing debut with The Follow Backs Don't Stop.\Shiraishi Yuzuki's 1st Single The Follow Backs Don't Stop\I could just die right now.\I'm so embarrassed. response:	Shirase-chan!
context: She's on wiki!\A child actress who started in commercials at the age of five.\38,000 followers?\Made her singing debut with The Follow Backs Don't Stop.\Shiraishi Yuzuki's 1st Single The Follow Backs Don't Stop\I could just die right now.\I'm so embarrassed.\Shirase-chan! response:	Take a picture!
context: A child actress who started in commercials at the age of five.\38,000 followers?\Made her singing debut with The Follow Backs Don't Stop.\Shiraishi Yuzuki's 1st Single The Follow Backs Don't Stop\I could just die right now.\I'm so embarrassed.\Shirase-chan!\Take a picture! response:	Uploading my image to SNS without permission is a violation of likeness rights.
context: 38,000 followers?\Made her singing debut with The Follow Backs Don't Stop.\Shiraishi Yuzuki's 1st Single The Follow Backs Don't Stop\I could just die right now.\I'm so embarrassed.\Shirase-chan!\Take a picture!\Uploading my image to SNS without permission is a violation of likeness rights. response:	Then can I get an autograph and a hand print?
context: Made her singing debut with The Follow Backs Don't Stop.\Shiraishi Yuzuki's 1st Single The Follow Backs Don't Stop\I could just die right now.\I'm so embarrassed.\Shirase-chan!\Take a picture!\Uploading my image to SNS without permission is a violation of likeness rights.\Then can I get an autograph and a hand print? response:	She's not a sumo wrestler!
context: Shiraishi Yuzuki's 1st Single The Follow Backs Don't Stop\I could just die right now.\I'm so embarrassed.\Shirase-chan!\Take a picture!\Uploading my image to SNS without permission is a violation of likeness rights.\Then can I get an autograph and a hand print?\She's not a sumo wrestler! response:	But what are you doing here?
context: I could just die right now.\I'm so embarrassed.\Shirase-chan!\Take a picture!\Uploading my image to SNS without permission is a violation of likeness rights.\Then can I get an autograph and a hand print?\She's not a sumo wrestler!\But what are you doing here? response:	Well... I wanted to talk to you.
context: I'm so embarrassed.\Shirase-chan!\Take a picture!\Uploading my image to SNS without permission is a violation of likeness rights.\Then can I get an autograph and a hand print?\She's not a sumo wrestler!\But what are you doing here?\Well... I wanted to talk to you. response:	About what?
context: Shirase-chan!\Take a picture!\Uploading my image to SNS without permission is a violation of likeness rights.\Then can I get an autograph and a hand print?\She's not a sumo wrestler!\But what are you doing here?\Well... I wanted to talk to you.\About what? response:	Would you go to Antarctica in my place?
context: Take a picture!\Uploading my image to SNS without permission is a violation of likeness rights.\Then can I get an autograph and a hand print?\She's not a sumo wrestler!\But what are you doing here?\Well... I wanted to talk to you.\About what?\Would you go to Antarctica in my place? response:	Huh?
context: Uploading my image to SNS without permission is a violation of likeness rights.\Then can I get an autograph and a hand print?\She's not a sumo wrestler!\But what are you doing here?\Well... I wanted to talk to you.\About what?\Would you go to Antarctica in my place?\Huh? response:	Antarctica.
context: Then can I get an autograph and a hand print?\She's not a sumo wrestler!\But what are you doing here?\Well... I wanted to talk to you.\About what?\Would you go to Antarctica in my place?\Huh?\Antarctica. response:	You want to go, don't you?
context: She's not a sumo wrestler!\But what are you doing here?\Well... I wanted to talk to you.\About what?\Would you go to Antarctica in my place?\Huh?\Antarctica.\You want to go, don't you? response:	Where did you leak it? A message board? Twitter? Your timeline?
context: But what are you doing here?\Well... I wanted to talk to you.\About what?\Would you go to Antarctica in my place?\Huh?\Antarctica.\You want to go, don't you?\Where did you leak it? A message board? Twitter? Your timeline? response:	I didn't leak it!
context: Well... I wanted to talk to you.\About what?\Would you go to Antarctica in my place?\Huh?\Antarctica.\You want to go, don't you?\Where did you leak it? A message board? Twitter? Your timeline?\I didn't leak it! response:	Oh, no...
context: About what?\Would you go to Antarctica in my place?\Huh?\Antarctica.\You want to go, don't you?\Where did you leak it? A message board? Twitter? Your timeline?\I didn't leak it!\Oh, no... response:	Orange
context: Would you go to Antarctica in my place?\Huh?\Antarctica.\You want to go, don't you?\Where did you leak it? A message board? Twitter? Your timeline?\I didn't leak it!\Oh, no...\Orange response:	Reserved Today Antarctic Expedition Informal Meet-up
context: Huh?\Antarctica.\You want to go, don't you?\Where did you leak it? A message board? Twitter? Your timeline?\I didn't leak it!\Oh, no...\Orange\Reserved Today Antarctic Expedition Informal Meet-up response:	Sexy Delicious! Meat Festival
context: Antarctica.\You want to go, don't you?\Where did you leak it? A message board? Twitter? Your timeline?\I didn't leak it!\Oh, no...\Orange\Reserved Today Antarctic Expedition Informal Meet-up\Sexy Delicious! Meat Festival response:	Do you remember the meet-up in Shinjuku before?
context: You want to go, don't you?\Where did you leak it? A message board? Twitter? Your timeline?\I didn't leak it!\Oh, no...\Orange\Reserved Today Antarctic Expedition Informal Meet-up\Sexy Delicious! Meat Festival\Do you remember the meet-up in Shinjuku before? response:	I had been invited, too.
context: Where did you leak it? A message board? Twitter? Your timeline?\I didn't leak it!\Oh, no...\Orange\Reserved Today Antarctic Expedition Informal Meet-up\Sexy Delicious! Meat Festival\Do you remember the meet-up in Shinjuku before?\I had been invited, too. response:	I heard about you there.
context: I didn't leak it!\Oh, no...\Orange\Reserved Today Antarctic Expedition Informal Meet-up\Sexy Delicious! Meat Festival\Do you remember the meet-up in Shinjuku before?\I had been invited, too.\I heard about you there. response:	I see.
context: Oh, no...\Orange\Reserved Today Antarctic Expedition Informal Meet-up\Sexy Delicious! Meat Festival\Do you remember the meet-up in Shinjuku before?\I had been invited, too.\I heard about you there.\I see. response:	But what do you mean, in your place?
context: Orange\Reserved Today Antarctic Expedition Informal Meet-up\Sexy Delicious! Meat Festival\Do you remember the meet-up in Shinjuku before?\I had been invited, too.\I heard about you there.\I see.\But what do you mean, in your place? response:	Put simply, I don't want to go.
context: Reserved Today Antarctic Expedition Informal Meet-up\Sexy Delicious! Meat Festival\Do you remember the meet-up in Shinjuku before?\I had been invited, too.\I heard about you there.\I see.\But what do you mean, in your place?\Put simply, I don't want to go. response:	TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV
context: Sexy Delicious! Meat Festival\Do you remember the meet-up in Shinjuku before?\I had been invited, too.\I heard about you there.\I see.\But what do you mean, in your place?\Put simply, I don't want to go.\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV response:	I'm originally from Hokkaido, so I'm sick of the cold, for one thing.
context: Do you remember the meet-up in Shinjuku before?\I had been invited, too.\I heard about you there.\I see.\But what do you mean, in your place?\Put simply, I don't want to go.\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\I'm originally from Hokkaido, so I'm sick of the cold, for one thing. response:	I think any high school girl going would fit the requirements of the project, so...
context: I had been invited, too.\I heard about you there.\I see.\But what do you mean, in your place?\Put simply, I don't want to go.\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\I'm originally from Hokkaido, so I'm sick of the cold, for one thing.\I think any high school girl going would fit the requirements of the project, so... response:	You...
context: I heard about you there.\I see.\But what do you mean, in your place?\Put simply, I don't want to go.\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\I'm originally from Hokkaido, so I'm sick of the cold, for one thing.\I think any high school girl going would fit the requirements of the project, so...\You... response:	You're sure?
context: I see.\But what do you mean, in your place?\Put simply, I don't want to go.\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\I'm originally from Hokkaido, so I'm sick of the cold, for one thing.\I think any high school girl going would fit the requirements of the project, so...\You...\You're sure? response:	Shirase!
context: But what do you mean, in your place?\Put simply, I don't want to go.\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\I'm originally from Hokkaido, so I'm sick of the cold, for one thing.\I think any high school girl going would fit the requirements of the project, so...\You...\You're sure?\Shirase! response:	Shirase-chan!
context: Put simply, I don't want to go.\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\I'm originally from Hokkaido, so I'm sick of the cold, for one thing.\I think any high school girl going would fit the requirements of the project, so...\You...\You're sure?\Shirase!\Shirase-chan! response:	You did it!
context: TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\I'm originally from Hokkaido, so I'm sick of the cold, for one thing.\I think any high school girl going would fit the requirements of the project, so...\You...\You're sure?\Shirase!\Shirase-chan!\You did it! response:	Yes... Yes!
context: I'm originally from Hokkaido, so I'm sick of the cold, for one thing.\I think any high school girl going would fit the requirements of the project, so...\You...\You're sure?\Shirase!\Shirase-chan!\You did it!\Yes... Yes! response:	Yes!
context: I think any high school girl going would fit the requirements of the project, so...\You...\You're sure?\Shirase!\Shirase-chan!\You did it!\Yes... Yes!\Yes! response:	Well? Told you, didn't I? I told you that my plan would work perfectly!
context: You...\You're sure?\Shirase!\Shirase-chan!\You did it!\Yes... Yes!\Yes!\Well? Told you, didn't I? I told you that my plan would work perfectly! response:	But...
context: You're sure?\Shirase!\Shirase-chan!\You did it!\Yes... Yes!\Yes!\Well? Told you, didn't I? I told you that my plan would work perfectly!\But... response:	Impossible, you said? Ridiculous, you said?
context: Shirase!\Shirase-chan!\You did it!\Yes... Yes!\Yes!\Well? Told you, didn't I? I told you that my plan would work perfectly!\But...\Impossible, you said? Ridiculous, you said? response:	Was this... part of the plan?
context: Shirase-chan!\You did it!\Yes... Yes!\Yes!\Well? Told you, didn't I? I told you that my plan would work perfectly!\But...\Impossible, you said? Ridiculous, you said?\Was this... part of the plan? response:	It worked, didn't it?
context: You did it!\Yes... Yes!\Yes!\Well? Told you, didn't I? I told you that my plan would work perfectly!\But...\Impossible, you said? Ridiculous, you said?\Was this... part of the plan?\It worked, didn't it? response:	I've done it, Antarctica! At last, Antarctica!
context: Yes... Yes!\Yes!\Well? Told you, didn't I? I told you that my plan would work perfectly!\But...\Impossible, you said? Ridiculous, you said?\Was this... part of the plan?\It worked, didn't it?\I've done it, Antarctica! At last, Antarctica! response:	Wait for me, penguins!
context: Yes!\Well? Told you, didn't I? I told you that my plan would work perfectly!\But...\Impossible, you said? Ridiculous, you said?\Was this... part of the plan?\It worked, didn't it?\I've done it, Antarctica! At last, Antarctica!\Wait for me, penguins! response:	Wait for me, auroras!
context: Well? Told you, didn't I? I told you that my plan would work perfectly!\But...\Impossible, you said? Ridiculous, you said?\Was this... part of the plan?\It worked, didn't it?\I've done it, Antarctica! At last, Antarctica!\Wait for me, penguins!\Wait for me, auroras! response:	I bet that hurt.
context: But...\Impossible, you said? Ridiculous, you said?\Was this... part of the plan?\It worked, didn't it?\I've done it, Antarctica! At last, Antarctica!\Wait for me, penguins!\Wait for me, auroras!\I bet that hurt. response:	Sorry, she's an idiot.
context: Impossible, you said? Ridiculous, you said?\Was this... part of the plan?\It worked, didn't it?\I've done it, Antarctica! At last, Antarctica!\Wait for me, penguins!\Wait for me, auroras!\I bet that hurt.\Sorry, she's an idiot. response:	That's all right...
context: Was this... part of the plan?\It worked, didn't it?\I've done it, Antarctica! At last, Antarctica!\Wait for me, penguins!\Wait for me, auroras!\I bet that hurt.\Sorry, she's an idiot.\That's all right... response:	Is this the only way out?
context: It worked, didn't it?\I've done it, Antarctica! At last, Antarctica!\Wait for me, penguins!\Wait for me, auroras!\I bet that hurt.\Sorry, she's an idiot.\That's all right...\Is this the only way out? response:	Yes, but...
context: I've done it, Antarctica! At last, Antarctica!\Wait for me, penguins!\Wait for me, auroras!\I bet that hurt.\Sorry, she's an idiot.\That's all right...\Is this the only way out?\Yes, but... response:	I'm borrowing your sandals.
context: Wait for me, penguins!\Wait for me, auroras!\I bet that hurt.\Sorry, she's an idiot.\That's all right...\Is this the only way out?\Yes, but...\I'm borrowing your sandals. response:	Excuse me.
