context: All right, that's about it. response:	You're working hard today, too, huh?
context: That's rare. It's my first time seeing it!\I hear that a lot.\It's amazing how you can get the bird to fly with your whistle!\You're the first person I've talked to since arriving here.\I finally feel less nervous.\You're...\I've got some business... I have an audience with the second prince after this.\With Prince Zen? response:	You're the master's guest?
context: I hear that a lot.\It's amazing how you can get the bird to fly with your whistle!\You're the first person I've talked to since arriving here.\I finally feel less nervous.\You're...\I've got some business... I have an audience with the second prince after this.\With Prince Zen?\You're the master's guest? response:	I'm not a guest.
context: It's amazing how you can get the bird to fly with your whistle!\You're the first person I've talked to since arriving here.\I finally feel less nervous.\You're...\I've got some business... I have an audience with the second prince after this.\With Prince Zen?\You're the master's guest?\I'm not a guest. response:	Huh?
context: You're the first person I've talked to since arriving here.\I finally feel less nervous.\You're...\I've got some business... I have an audience with the second prince after this.\With Prince Zen?\You're the master's guest?\I'm not a guest.\Huh? response:	Perfect timing. Will you hear me out? I don't want to be alone right now.
context: I finally feel less nervous.\You're...\I've got some business... I have an audience with the second prince after this.\With Prince Zen?\You're the master's guest?\I'm not a guest.\Huh?\Perfect timing. Will you hear me out? I don't want to be alone right now. response:	Um, I'm in the middle of work...
context: You're...\I've got some business... I have an audience with the second prince after this.\With Prince Zen?\You're the master's guest?\I'm not a guest.\Huh?\Perfect timing. Will you hear me out? I don't want to be alone right now.\Um, I'm in the middle of work... response:	If it's just for a little bit, it's fine.
context: I've got some business... I have an audience with the second prince after this.\With Prince Zen?\You're the master's guest?\I'm not a guest.\Huh?\Perfect timing. Will you hear me out? I don't want to be alone right now.\Um, I'm in the middle of work...\If it's just for a little bit, it's fine. response:	It's almost break time, anyway. I'll go back first.
context: With Prince Zen?\You're the master's guest?\I'm not a guest.\Huh?\Perfect timing. Will you hear me out? I don't want to be alone right now.\Um, I'm in the middle of work...\If it's just for a little bit, it's fine.\It's almost break time, anyway. I'll go back first. response:	Okay!
context: You're the master's guest?\I'm not a guest.\Huh?\Perfect timing. Will you hear me out? I don't want to be alone right now.\Um, I'm in the middle of work...\If it's just for a little bit, it's fine.\It's almost break time, anyway. I'll go back first.\Okay! response:	What's your name?
context: I'm not a guest.\Huh?\Perfect timing. Will you hear me out? I don't want to be alone right now.\Um, I'm in the middle of work...\If it's just for a little bit, it's fine.\It's almost break time, anyway. I'll go back first.\Okay!\What's your name? response:	I'm Shirayuki.
context: Huh?\Perfect timing. Will you hear me out? I don't want to be alone right now.\Um, I'm in the middle of work...\If it's just for a little bit, it's fine.\It's almost break time, anyway. I'll go back first.\Okay!\What's your name?\I'm Shirayuki. response:	I'm an apprentice court herbalist.
context: Perfect timing. Will you hear me out? I don't want to be alone right now.\Um, I'm in the middle of work...\If it's just for a little bit, it's fine.\It's almost break time, anyway. I'll go back first.\Okay!\What's your name?\I'm Shirayuki.\I'm an apprentice court herbalist. response:	I'm Kihal Toghrul.
context: Um, I'm in the middle of work...\If it's just for a little bit, it's fine.\It's almost break time, anyway. I'll go back first.\Okay!\What's your name?\I'm Shirayuki.\I'm an apprentice court herbalist.\I'm Kihal Toghrul. response:	I'm not good with formalities, so you can just call me Kihal.
context: If it's just for a little bit, it's fine.\It's almost break time, anyway. I'll go back first.\Okay!\What's your name?\I'm Shirayuki.\I'm an apprentice court herbalist.\I'm Kihal Toghrul.\I'm not good with formalities, so you can just call me Kihal. response:	Okay.
context: It's almost break time, anyway. I'll go back first.\Okay!\What's your name?\I'm Shirayuki.\I'm an apprentice court herbalist.\I'm Kihal Toghrul.\I'm not good with formalities, so you can just call me Kihal.\Okay. response:	And that's my friend, Popo.
context: Okay!\What's your name?\I'm Shirayuki.\I'm an apprentice court herbalist.\I'm Kihal Toghrul.\I'm not good with formalities, so you can just call me Kihal.\Okay.\And that's my friend, Popo. response:	Friend...
context: What's your name?\I'm Shirayuki.\I'm an apprentice court herbalist.\I'm Kihal Toghrul.\I'm not good with formalities, so you can just call me Kihal.\Okay.\And that's my friend, Popo.\Friend... response:	That's a beautiful bird. It's my first time seeing one.
context: I'm Shirayuki.\I'm an apprentice court herbalist.\I'm Kihal Toghrul.\I'm not good with formalities, so you can just call me Kihal.\Okay.\And that's my friend, Popo.\Friend...\That's a beautiful bird. It's my first time seeing one. response:	I raised Popo, but on the island where I live, there's a whole flock living in the wild.
context: I'm an apprentice court herbalist.\I'm Kihal Toghrul.\I'm not good with formalities, so you can just call me Kihal.\Okay.\And that's my friend, Popo.\Friend...\That's a beautiful bird. It's my first time seeing one.\I raised Popo, but on the island where I live, there's a whole flock living in the wild. response:	Now that you mention it, I've heard of them before.
context: I'm Kihal Toghrul.\I'm not good with formalities, so you can just call me Kihal.\Okay.\And that's my friend, Popo.\Friend...\That's a beautiful bird. It's my first time seeing one.\I raised Popo, but on the island where I live, there's a whole flock living in the wild.\Now that you mention it, I've heard of them before. response:	People who live with birds on one of Clarines' southern islands.
context: I'm not good with formalities, so you can just call me Kihal.\Okay.\And that's my friend, Popo.\Friend...\That's a beautiful bird. It's my first time seeing one.\I raised Popo, but on the island where I live, there's a whole flock living in the wild.\Now that you mention it, I've heard of them before.\People who live with birds on one of Clarines' southern islands. response:	You live with the birds?
context: Okay.\And that's my friend, Popo.\Friend...\That's a beautiful bird. It's my first time seeing one.\I raised Popo, but on the island where I live, there's a whole flock living in the wild.\Now that you mention it, I've heard of them before.\People who live with birds on one of Clarines' southern islands.\You live with the birds? response:	Yeah.
context: And that's my friend, Popo.\Friend...\That's a beautiful bird. It's my first time seeing one.\I raised Popo, but on the island where I live, there's a whole flock living in the wild.\Now that you mention it, I've heard of them before.\People who live with birds on one of Clarines' southern islands.\You live with the birds?\Yeah. response:	Ever since my great-grandfather's time.
context: Friend...\That's a beautiful bird. It's my first time seeing one.\I raised Popo, but on the island where I live, there's a whole flock living in the wild.\Now that you mention it, I've heard of them before.\People who live with birds on one of Clarines' southern islands.\You live with the birds?\Yeah.\Ever since my great-grandfather's time. response:	The birds we live with are the same species as Popo.
context: That's a beautiful bird. It's my first time seeing one.\I raised Popo, but on the island where I live, there's a whole flock living in the wild.\Now that you mention it, I've heard of them before.\People who live with birds on one of Clarines' southern islands.\You live with the birds?\Yeah.\Ever since my great-grandfather's time.\The birds we live with are the same species as Popo. response:	When they spread their blue and green wings,
context: I raised Popo, but on the island where I live, there's a whole flock living in the wild.\Now that you mention it, I've heard of them before.\People who live with birds on one of Clarines' southern islands.\You live with the birds?\Yeah.\Ever since my great-grandfather's time.\The birds we live with are the same species as Popo.\When they spread their blue and green wings, response:	they're beautiful! Like the sea is flying!
context: Now that you mention it, I've heard of them before.\People who live with birds on one of Clarines' southern islands.\You live with the birds?\Yeah.\Ever since my great-grandfather's time.\The birds we live with are the same species as Popo.\When they spread their blue and green wings,\they're beautiful! Like the sea is flying! response:	The birds have really good hearing,
context: People who live with birds on one of Clarines' southern islands.\You live with the birds?\Yeah.\Ever since my great-grandfather's time.\The birds we live with are the same species as Popo.\When they spread their blue and green wings,\they're beautiful! Like the sea is flying!\The birds have really good hearing, response:	and they find the mineral ores in the ocean near the island
context: You live with the birds?\Yeah.\Ever since my great-grandfather's time.\The birds we live with are the same species as Popo.\When they spread their blue and green wings,\they're beautiful! Like the sea is flying!\The birds have really good hearing,\and they find the mineral ores in the ocean near the island response:	by listening to the sound they make in the waves.
context: Yeah.\Ever since my great-grandfather's time.\The birds we live with are the same species as Popo.\When they spread their blue and green wings,\they're beautiful! Like the sea is flying!\The birds have really good hearing,\and they find the mineral ores in the ocean near the island\by listening to the sound they make in the waves. response:	They tell us where schools of fish are, too,
context: Ever since my great-grandfather's time.\The birds we live with are the same species as Popo.\When they spread their blue and green wings,\they're beautiful! Like the sea is flying!\The birds have really good hearing,\and they find the mineral ores in the ocean near the island\by listening to the sound they make in the waves.\They tell us where schools of fish are, too, response:	so we're always together when we go out on the ocean!
context: The birds we live with are the same species as Popo.\When they spread their blue and green wings,\they're beautiful! Like the sea is flying!\The birds have really good hearing,\and they find the mineral ores in the ocean near the island\by listening to the sound they make in the waves.\They tell us where schools of fish are, too,\so we're always together when we go out on the ocean! response:	This is the mineral ore from the ocean, the walnut stone.
context: When they spread their blue and green wings,\they're beautiful! Like the sea is flying!\The birds have really good hearing,\and they find the mineral ores in the ocean near the island\by listening to the sound they make in the waves.\They tell us where schools of fish are, too,\so we're always together when we go out on the ocean!\This is the mineral ore from the ocean, the walnut stone. response:	Once they're polished, they become shiny!
context: they're beautiful! Like the sea is flying!\The birds have really good hearing,\and they find the mineral ores in the ocean near the island\by listening to the sound they make in the waves.\They tell us where schools of fish are, too,\so we're always together when we go out on the ocean!\This is the mineral ore from the ocean, the walnut stone.\Once they're polished, they become shiny! response:	The whistle from earlier!
context: The birds have really good hearing,\and they find the mineral ores in the ocean near the island\by listening to the sound they make in the waves.\They tell us where schools of fish are, too,\so we're always together when we go out on the ocean!\This is the mineral ore from the ocean, the walnut stone.\Once they're polished, they become shiny!\The whistle from earlier! response:	But...
context: and they find the mineral ores in the ocean near the island\by listening to the sound they make in the waves.\They tell us where schools of fish are, too,\so we're always together when we go out on the ocean!\This is the mineral ore from the ocean, the walnut stone.\Once they're polished, they become shiny!\The whistle from earlier!\But... response:	Hm?
context: by listening to the sound they make in the waves.\They tell us where schools of fish are, too,\so we're always together when we go out on the ocean!\This is the mineral ore from the ocean, the walnut stone.\Once they're polished, they become shiny!\The whistle from earlier!\But...\Hm? response:	When it comes down to it, the island is part of someone else's territory.
context: They tell us where schools of fish are, too,\so we're always together when we go out on the ocean!\This is the mineral ore from the ocean, the walnut stone.\Once they're polished, they become shiny!\The whistle from earlier!\But...\Hm?\When it comes down to it, the island is part of someone else's territory. response:	This happened a year and a half ago.
context: so we're always together when we go out on the ocean!\This is the mineral ore from the ocean, the walnut stone.\Once they're polished, they become shiny!\The whistle from earlier!\But...\Hm?\When it comes down to it, the island is part of someone else's territory.\This happened a year and a half ago. response:	The lord who had just inherited the lands brought his noble friends
context: This is the mineral ore from the ocean, the walnut stone.\Once they're polished, they become shiny!\The whistle from earlier!\But...\Hm?\When it comes down to it, the island is part of someone else's territory.\This happened a year and a half ago.\The lord who had just inherited the lands brought his noble friends response:	and started to hunt the birds.
context: Once they're polished, they become shiny!\The whistle from earlier!\But...\Hm?\When it comes down to it, the island is part of someone else's territory.\This happened a year and a half ago.\The lord who had just inherited the lands brought his noble friends\and started to hunt the birds. response:	The lord did?
context: The whistle from earlier!\But...\Hm?\When it comes down to it, the island is part of someone else's territory.\This happened a year and a half ago.\The lord who had just inherited the lands brought his noble friends\and started to hunt the birds.\The lord did? response:	Yes. His friends loved it.
context: But...\Hm?\When it comes down to it, the island is part of someone else's territory.\This happened a year and a half ago.\The lord who had just inherited the lands brought his noble friends\and started to hunt the birds.\The lord did?\Yes. His friends loved it. response:	The birds' feathers were rare and could be sold at a high price, they said.
context: Hm?\When it comes down to it, the island is part of someone else's territory.\This happened a year and a half ago.\The lord who had just inherited the lands brought his noble friends\and started to hunt the birds.\The lord did?\Yes. His friends loved it.\The birds' feathers were rare and could be sold at a high price, they said. response:	He was even praised with words I loathe to recount.
context: When it comes down to it, the island is part of someone else's territory.\This happened a year and a half ago.\The lord who had just inherited the lands brought his noble friends\and started to hunt the birds.\The lord did?\Yes. His friends loved it.\The birds' feathers were rare and could be sold at a high price, they said.\He was even praised with words I loathe to recount. response:	Popo was also the target of a hunt and was seriously injured.
context: This happened a year and a half ago.\The lord who had just inherited the lands brought his noble friends\and started to hunt the birds.\The lord did?\Yes. His friends loved it.\The birds' feathers were rare and could be sold at a high price, they said.\He was even praised with words I loathe to recount.\Popo was also the target of a hunt and was seriously injured. response:	We've asked them to stop many times.
context: The lord who had just inherited the lands brought his noble friends\and started to hunt the birds.\The lord did?\Yes. His friends loved it.\The birds' feathers were rare and could be sold at a high price, they said.\He was even praised with words I loathe to recount.\Popo was also the target of a hunt and was seriously injured.\We've asked them to stop many times. response:	But they wouldn't listen...
context: and started to hunt the birds.\The lord did?\Yes. His friends loved it.\The birds' feathers were rare and could be sold at a high price, they said.\He was even praised with words I loathe to recount.\Popo was also the target of a hunt and was seriously injured.\We've asked them to stop many times.\But they wouldn't listen... response:	The lord then said, I'll let you meet the prince, so you can ask him.
context: The lord did?\Yes. His friends loved it.\The birds' feathers were rare and could be sold at a high price, they said.\He was even praised with words I loathe to recount.\Popo was also the target of a hunt and was seriously injured.\We've asked them to stop many times.\But they wouldn't listen...\The lord then said, I'll let you meet the prince, so you can ask him. response:	Even if I ask, it's not like he'll listen.
context: Yes. His friends loved it.\The birds' feathers were rare and could be sold at a high price, they said.\He was even praised with words I loathe to recount.\Popo was also the target of a hunt and was seriously injured.\We've asked them to stop many times.\But they wouldn't listen...\The lord then said, I'll let you meet the prince, so you can ask him.\Even if I ask, it's not like he'll listen. response:	I'm sure he'll just laugh at me.
context: The birds' feathers were rare and could be sold at a high price, they said.\He was even praised with words I loathe to recount.\Popo was also the target of a hunt and was seriously injured.\We've asked them to stop many times.\But they wouldn't listen...\The lord then said, I'll let you meet the prince, so you can ask him.\Even if I ask, it's not like he'll listen.\I'm sure he'll just laugh at me. response:	Those with high rank won't listen to those with no rank.
context: He was even praised with words I loathe to recount.\Popo was also the target of a hunt and was seriously injured.\We've asked them to stop many times.\But they wouldn't listen...\The lord then said, I'll let you meet the prince, so you can ask him.\Even if I ask, it's not like he'll listen.\I'm sure he'll just laugh at me.\Those with high rank won't listen to those with no rank. response:	That's not how I would describe Prince Zen's character.
context: Popo was also the target of a hunt and was seriously injured.\We've asked them to stop many times.\But they wouldn't listen...\The lord then said, I'll let you meet the prince, so you can ask him.\Even if I ask, it's not like he'll listen.\I'm sure he'll just laugh at me.\Those with high rank won't listen to those with no rank.\That's not how I would describe Prince Zen's character. response:	Wh-What are you saying? He's nobility! Royalty, even!
context: We've asked them to stop many times.\But they wouldn't listen...\The lord then said, I'll let you meet the prince, so you can ask him.\Even if I ask, it's not like he'll listen.\I'm sure he'll just laugh at me.\Those with high rank won't listen to those with no rank.\That's not how I would describe Prince Zen's character.\Wh-What are you saying? He's nobility! Royalty, even! response:	Of course he's like that.
context: But they wouldn't listen...\The lord then said, I'll let you meet the prince, so you can ask him.\Even if I ask, it's not like he'll listen.\I'm sure he'll just laugh at me.\Those with high rank won't listen to those with no rank.\That's not how I would describe Prince Zen's character.\Wh-What are you saying? He's nobility! Royalty, even!\Of course he's like that. response:	Kihal...
context: The lord then said, I'll let you meet the prince, so you can ask him.\Even if I ask, it's not like he'll listen.\I'm sure he'll just laugh at me.\Those with high rank won't listen to those with no rank.\That's not how I would describe Prince Zen's character.\Wh-What are you saying? He's nobility! Royalty, even!\Of course he's like that.\Kihal... response:	I'm sorry. Even so, I had to come here.
context: Even if I ask, it's not like he'll listen.\I'm sure he'll just laugh at me.\Those with high rank won't listen to those with no rank.\That's not how I would describe Prince Zen's character.\Wh-What are you saying? He's nobility! Royalty, even!\Of course he's like that.\Kihal...\I'm sorry. Even so, I had to come here. response:	I had no other choice.
context: I'm sure he'll just laugh at me.\Those with high rank won't listen to those with no rank.\That's not how I would describe Prince Zen's character.\Wh-What are you saying? He's nobility! Royalty, even!\Of course he's like that.\Kihal...\I'm sorry. Even so, I had to come here.\I had no other choice. response:	Sorry for interrupting your work.
context: Those with high rank won't listen to those with no rank.\That's not how I would describe Prince Zen's character.\Wh-What are you saying? He's nobility! Royalty, even!\Of course he's like that.\Kihal...\I'm sorry. Even so, I had to come here.\I had no other choice.\Sorry for interrupting your work. response:	It's fine. I have to go back soon, though...
context: That's not how I would describe Prince Zen's character.\Wh-What are you saying? He's nobility! Royalty, even!\Of course he's like that.\Kihal...\I'm sorry. Even so, I had to come here.\I had no other choice.\Sorry for interrupting your work.\It's fine. I have to go back soon, though... response:	Can I stay here until the audience?
context: Wh-What are you saying? He's nobility! Royalty, even!\Of course he's like that.\Kihal...\I'm sorry. Even so, I had to come here.\I had no other choice.\Sorry for interrupting your work.\It's fine. I have to go back soon, though...\Can I stay here until the audience? response:	Sure.
context: Of course he's like that.\Kihal...\I'm sorry. Even so, I had to come here.\I had no other choice.\Sorry for interrupting your work.\It's fine. I have to go back soon, though...\Can I stay here until the audience?\Sure. response:	I understand the situation.
context: Kihal...\I'm sorry. Even so, I had to come here.\I had no other choice.\Sorry for interrupting your work.\It's fine. I have to go back soon, though...\Can I stay here until the audience?\Sure.\I understand the situation. response:	You want me to make it illegal to hunt the birds
context: I'm sorry. Even so, I had to come here.\I had no other choice.\Sorry for interrupting your work.\It's fine. I have to go back soon, though...\Can I stay here until the audience?\Sure.\I understand the situation.\You want me to make it illegal to hunt the birds response:	and make Yuris Island a nature reserve, right?
context: I had no other choice.\Sorry for interrupting your work.\It's fine. I have to go back soon, though...\Can I stay here until the audience?\Sure.\I understand the situation.\You want me to make it illegal to hunt the birds\and make Yuris Island a nature reserve, right? response:	Yes, sir.
context: Sorry for interrupting your work.\It's fine. I have to go back soon, though...\Can I stay here until the audience?\Sure.\I understand the situation.\You want me to make it illegal to hunt the birds\and make Yuris Island a nature reserve, right?\Yes, sir. response:	I will consider it and give my decision tomorrow.
context: It's fine. I have to go back soon, though...\Can I stay here until the audience?\Sure.\I understand the situation.\You want me to make it illegal to hunt the birds\and make Yuris Island a nature reserve, right?\Yes, sir.\I will consider it and give my decision tomorrow. response:	However, from what I have heard,
context: Can I stay here until the audience?\Sure.\I understand the situation.\You want me to make it illegal to hunt the birds\and make Yuris Island a nature reserve, right?\Yes, sir.\I will consider it and give my decision tomorrow.\However, from what I have heard, response:	I believe this should be discussed among the concerned parties,
context: Sure.\I understand the situation.\You want me to make it illegal to hunt the birds\and make Yuris Island a nature reserve, right?\Yes, sir.\I will consider it and give my decision tomorrow.\However, from what I have heard,\I believe this should be discussed among the concerned parties, response:	Lord Brecker of Yuris Island and its resident, Kihal Toghrul.
context: I understand the situation.\You want me to make it illegal to hunt the birds\and make Yuris Island a nature reserve, right?\Yes, sir.\I will consider it and give my decision tomorrow.\However, from what I have heard,\I believe this should be discussed among the concerned parties,\Lord Brecker of Yuris Island and its resident, Kihal Toghrul. response:	Oh, excuse me.
context: You want me to make it illegal to hunt the birds\and make Yuris Island a nature reserve, right?\Yes, sir.\I will consider it and give my decision tomorrow.\However, from what I have heard,\I believe this should be discussed among the concerned parties,\Lord Brecker of Yuris Island and its resident, Kihal Toghrul.\Oh, excuse me. response:	Prince Zen, I apologize for troubling you with a matter I could not resolve myself.
context: and make Yuris Island a nature reserve, right?\Yes, sir.\I will consider it and give my decision tomorrow.\However, from what I have heard,\I believe this should be discussed among the concerned parties,\Lord Brecker of Yuris Island and its resident, Kihal Toghrul.\Oh, excuse me.\Prince Zen, I apologize for troubling you with a matter I could not resolve myself. response:	You understand now, don't you, Toghrul?
context: Yes, sir.\I will consider it and give my decision tomorrow.\However, from what I have heard,\I believe this should be discussed among the concerned parties,\Lord Brecker of Yuris Island and its resident, Kihal Toghrul.\Oh, excuse me.\Prince Zen, I apologize for troubling you with a matter I could not resolve myself.\You understand now, don't you, Toghrul? response:	Kihal, I have prepared a room for you.
context: I will consider it and give my decision tomorrow.\However, from what I have heard,\I believe this should be discussed among the concerned parties,\Lord Brecker of Yuris Island and its resident, Kihal Toghrul.\Oh, excuse me.\Prince Zen, I apologize for troubling you with a matter I could not resolve myself.\You understand now, don't you, Toghrul?\Kihal, I have prepared a room for you. response:	Please make yourself at home.
context: However, from what I have heard,\I believe this should be discussed among the concerned parties,\Lord Brecker of Yuris Island and its resident, Kihal Toghrul.\Oh, excuse me.\Prince Zen, I apologize for troubling you with a matter I could not resolve myself.\You understand now, don't you, Toghrul?\Kihal, I have prepared a room for you.\Please make yourself at home. response:	How was it?
context: I believe this should be discussed among the concerned parties,\Lord Brecker of Yuris Island and its resident, Kihal Toghrul.\Oh, excuse me.\Prince Zen, I apologize for troubling you with a matter I could not resolve myself.\You understand now, don't you, Toghrul?\Kihal, I have prepared a room for you.\Please make yourself at home.\How was it? response:	He said the concerned parties should discuss it.
context: Lord Brecker of Yuris Island and its resident, Kihal Toghrul.\Oh, excuse me.\Prince Zen, I apologize for troubling you with a matter I could not resolve myself.\You understand now, don't you, Toghrul?\Kihal, I have prepared a room for you.\Please make yourself at home.\How was it?\He said the concerned parties should discuss it. response:	I see...
context: Oh, excuse me.\Prince Zen, I apologize for troubling you with a matter I could not resolve myself.\You understand now, don't you, Toghrul?\Kihal, I have prepared a room for you.\Please make yourself at home.\How was it?\He said the concerned parties should discuss it.\I see... response:	Nothing good will come of you worrying about it.
context: Prince Zen, I apologize for troubling you with a matter I could not resolve myself.\You understand now, don't you, Toghrul?\Kihal, I have prepared a room for you.\Please make yourself at home.\How was it?\He said the concerned parties should discuss it.\I see...\Nothing good will come of you worrying about it. response:	There are herbs protected because of their efficacy.
context: You understand now, don't you, Toghrul?\Kihal, I have prepared a room for you.\Please make yourself at home.\How was it?\He said the concerned parties should discuss it.\I see...\Nothing good will come of you worrying about it.\There are herbs protected because of their efficacy. response:	If the birds also had something special to offer...
context: Kihal, I have prepared a room for you.\Please make yourself at home.\How was it?\He said the concerned parties should discuss it.\I see...\Nothing good will come of you worrying about it.\There are herbs protected because of their efficacy.\If the birds also had something special to offer... response:	Even if the birds are important to the residents of the island,
context: Please make yourself at home.\How was it?\He said the concerned parties should discuss it.\I see...\Nothing good will come of you worrying about it.\There are herbs protected because of their efficacy.\If the birds also had something special to offer...\Even if the birds are important to the residents of the island, response:	that doesn't matter to the lord.
context: How was it?\He said the concerned parties should discuss it.\I see...\Nothing good will come of you worrying about it.\There are herbs protected because of their efficacy.\If the birds also had something special to offer...\Even if the birds are important to the residents of the island,\that doesn't matter to the lord. response:	He's enjoying hunting with his friends on his own land.
