context: Which way? response:	The left. A little more to the left.
context: Gohan, hear my voice...\Look at the ball of light in the sky...\B- ball of light? Ball of light?\O- oh, hell!\You think I'm going to allow that!?\Die!!\Oh, no!\You brat! I'm not about to let you grow huge! response:	I- if I don't kill him right now-!
context: Look at the ball of light in the sky...\B- ball of light? Ball of light?\O- oh, hell!\You think I'm going to allow that!?\Die!!\Oh, no!\You brat! I'm not about to let you grow huge!\I- if I don't kill him right now-! response:	Gohan! lt's up to you!
context: B- ball of light? Ball of light?\O- oh, hell!\You think I'm going to allow that!?\Die!!\Oh, no!\You brat! I'm not about to let you grow huge!\I- if I don't kill him right now-!\Gohan! lt's up to you! response:	G- Gohan is becoming a Great Ape... I- it's an all-or-nothing gamble...
context: O- oh, hell!\You think I'm going to allow that!?\Die!!\Oh, no!\You brat! I'm not about to let you grow huge!\I- if I don't kill him right now-!\Gohan! lt's up to you!\G- Gohan is becoming a Great Ape... I- it's an all-or-nothing gamble... response:	T- that's right! His tail! In my panic, I forgot the most important thing!
context: You think I'm going to allow that!?\Die!!\Oh, no!\You brat! I'm not about to let you grow huge!\I- if I don't kill him right now-!\Gohan! lt's up to you!\G- Gohan is becoming a Great Ape... I- it's an all-or-nothing gamble...\T- that's right! His tail! In my panic, I forgot the most important thing! response:	If I can just cut off his tail!
context: Die!!\Oh, no!\You brat! I'm not about to let you grow huge!\I- if I don't kill him right now-!\Gohan! lt's up to you!\G- Gohan is becoming a Great Ape... I- it's an all-or-nothing gamble...\T- that's right! His tail! In my panic, I forgot the most important thing!\If I can just cut off his tail! response:	G- Gohan...
context: Oh, no!\You brat! I'm not about to let you grow huge!\I- if I don't kill him right now-!\Gohan! lt's up to you!\G- Gohan is becoming a Great Ape... I- it's an all-or-nothing gamble...\T- that's right! His tail! In my panic, I forgot the most important thing!\If I can just cut off his tail!\G- Gohan... response:	B- but when Goku turned Great Ape, he lost virtually all of his rationality!
context: You brat! I'm not about to let you grow huge!\I- if I don't kill him right now-!\Gohan! lt's up to you!\G- Gohan is becoming a Great Ape... I- it's an all-or-nothing gamble...\T- that's right! His tail! In my panic, I forgot the most important thing!\If I can just cut off his tail!\G- Gohan...\B- but when Goku turned Great Ape, he lost virtually all of his rationality! response:	What about Gohan?
context: I- if I don't kill him right now-!\Gohan! lt's up to you!\G- Gohan is becoming a Great Ape... I- it's an all-or-nothing gamble...\T- that's right! His tail! In my panic, I forgot the most important thing!\If I can just cut off his tail!\G- Gohan...\B- but when Goku turned Great Ape, he lost virtually all of his rationality!\What about Gohan? response:	Gohan is the same! T- that makes sense.
context: Gohan! lt's up to you!\G- Gohan is becoming a Great Ape... I- it's an all-or-nothing gamble...\T- that's right! His tail! In my panic, I forgot the most important thing!\If I can just cut off his tail!\G- Gohan...\B- but when Goku turned Great Ape, he lost virtually all of his rationality!\What about Gohan?\Gohan is the same! T- that makes sense. response:	It's not so much that Goku and Gohan lose their rationality,
context: G- Gohan is becoming a Great Ape... I- it's an all-or-nothing gamble...\T- that's right! His tail! In my panic, I forgot the most important thing!\If I can just cut off his tail!\G- Gohan...\B- but when Goku turned Great Ape, he lost virtually all of his rationality!\What about Gohan?\Gohan is the same! T- that makes sense.\It's not so much that Goku and Gohan lose their rationality, response:	as it is that when they become Great Apes, they revert to being ferocious Saiyans!
context: T- that's right! His tail! In my panic, I forgot the most important thing!\If I can just cut off his tail!\G- Gohan...\B- but when Goku turned Great Ape, he lost virtually all of his rationality!\What about Gohan?\Gohan is the same! T- that makes sense.\It's not so much that Goku and Gohan lose their rationality,\as it is that when they become Great Apes, they revert to being ferocious Saiyans! response:	Hey! Stay back!
context: If I can just cut off his tail!\G- Gohan...\B- but when Goku turned Great Ape, he lost virtually all of his rationality!\What about Gohan?\Gohan is the same! T- that makes sense.\It's not so much that Goku and Gohan lose their rationality,\as it is that when they become Great Apes, they revert to being ferocious Saiyans!\Hey! Stay back! response:	Gohan!
context: G- Gohan...\B- but when Goku turned Great Ape, he lost virtually all of his rationality!\What about Gohan?\Gohan is the same! T- that makes sense.\It's not so much that Goku and Gohan lose their rationality,\as it is that when they become Great Apes, they revert to being ferocious Saiyans!\Hey! Stay back!\Gohan! response:	Gohan!
context: B- but when Goku turned Great Ape, he lost virtually all of his rationality!\What about Gohan?\Gohan is the same! T- that makes sense.\It's not so much that Goku and Gohan lose their rationality,\as it is that when they become Great Apes, they revert to being ferocious Saiyans!\Hey! Stay back!\Gohan!\Gohan! response:	G - Gohan!
context: What about Gohan?\Gohan is the same! T- that makes sense.\It's not so much that Goku and Gohan lose their rationality,\as it is that when they become Great Apes, they revert to being ferocious Saiyans!\Hey! Stay back!\Gohan!\Gohan!\G - Gohan! response:	W- what happened to him?
context: Gohan is the same! T- that makes sense.\It's not so much that Goku and Gohan lose their rationality,\as it is that when they become Great Apes, they revert to being ferocious Saiyans!\Hey! Stay back!\Gohan!\Gohan!\G - Gohan!\W- what happened to him? response:	G- Gohan...
context: It's not so much that Goku and Gohan lose their rationality,\as it is that when they become Great Apes, they revert to being ferocious Saiyans!\Hey! Stay back!\Gohan!\Gohan!\G - Gohan!\W- what happened to him?\G- Gohan... response:	The Saiyan!
context: as it is that when they become Great Apes, they revert to being ferocious Saiyans!\Hey! Stay back!\Gohan!\Gohan!\G - Gohan!\W- what happened to him?\G- Gohan...\The Saiyan! response:	Get the Saiyan!
context: Hey! Stay back!\Gohan!\Gohan!\G - Gohan!\W- what happened to him?\G- Gohan...\The Saiyan!\Get the Saiyan! response:	You idiot! Don't provoke him!
context: Gohan!\Gohan!\G - Gohan!\W- what happened to him?\G- Gohan...\The Saiyan!\Get the Saiyan!\You idiot! Don't provoke him! response:	W- why, you!
context: Gohan!\G - Gohan!\W- what happened to him?\G- Gohan...\The Saiyan!\Get the Saiyan!\You idiot! Don't provoke him!\W- why, you! response:	Gohan!
context: G - Gohan!\W- what happened to him?\G- Gohan...\The Saiyan!\Get the Saiyan!\You idiot! Don't provoke him!\W- why, you!\Gohan! response:	T- the look in his eye is different.
context: W- what happened to him?\G- Gohan...\The Saiyan!\Get the Saiyan!\You idiot! Don't provoke him!\W- why, you!\Gohan!\T- the look in his eye is different. response:	Gohan! Get the Saiyan!
context: G- Gohan...\The Saiyan!\Get the Saiyan!\You idiot! Don't provoke him!\W- why, you!\Gohan!\T- the look in his eye is different.\Gohan! Get the Saiyan! response:	Great! There's still a little bit of Gohan's mind left in there. S- sure...
context: The Saiyan!\Get the Saiyan!\You idiot! Don't provoke him!\W- why, you!\Gohan!\T- the look in his eye is different.\Gohan! Get the Saiyan!\Great! There's still a little bit of Gohan's mind left in there. S- sure... response:	He's half earthling!
context: Get the Saiyan!\You idiot! Don't provoke him!\W- why, you!\Gohan!\T- the look in his eye is different.\Gohan! Get the Saiyan!\Great! There's still a little bit of Gohan's mind left in there. S- sure...\He's half earthling! response:	T- the moon I created won't go out for another hour...
context: You idiot! Don't provoke him!\W- why, you!\Gohan!\T- the look in his eye is different.\Gohan! Get the Saiyan!\Great! There's still a little bit of Gohan's mind left in there. S- sure...\He's half earthling!\T- the moon I created won't go out for another hour... response:	I'll just have to cut off his tail!
context: W- why, you!\Gohan!\T- the look in his eye is different.\Gohan! Get the Saiyan!\Great! There's still a little bit of Gohan's mind left in there. S- sure...\He's half earthling!\T- the moon I created won't go out for another hour...\I'll just have to cut off his tail! response:	What a freak. And after he's taken all that damage, too.
context: Gohan!\T- the look in his eye is different.\Gohan! Get the Saiyan!\Great! There's still a little bit of Gohan's mind left in there. S- sure...\He's half earthling!\T- the moon I created won't go out for another hour...\I'll just have to cut off his tail!\What a freak. And after he's taken all that damage, too. response:	Is this guy immortal?
context: T- the look in his eye is different.\Gohan! Get the Saiyan!\Great! There's still a little bit of Gohan's mind left in there. S- sure...\He's half earthling!\T- the moon I created won't go out for another hour...\I'll just have to cut off his tail!\What a freak. And after he's taken all that damage, too.\Is this guy immortal? response:	D- damn! My power!
context: Gohan! Get the Saiyan!\Great! There's still a little bit of Gohan's mind left in there. S- sure...\He's half earthling!\T- the moon I created won't go out for another hour...\I'll just have to cut off his tail!\What a freak. And after he's taken all that damage, too.\Is this guy immortal?\D- damn! My power! response:	Dammit!
context: Great! There's still a little bit of Gohan's mind left in there. S- sure...\He's half earthling!\T- the moon I created won't go out for another hour...\I'll just have to cut off his tail!\What a freak. And after he's taken all that damage, too.\Is this guy immortal?\D- damn! My power!\Dammit! response:	I- I can't move!
context: He's half earthling!\T- the moon I created won't go out for another hour...\I'll just have to cut off his tail!\What a freak. And after he's taken all that damage, too.\Is this guy immortal?\D- damn! My power!\Dammit!\I- I can't move! response:	W- what happened?
context: T- the moon I created won't go out for another hour...\I'll just have to cut off his tail!\What a freak. And after he's taken all that damage, too.\Is this guy immortal?\D- damn! My power!\Dammit!\I- I can't move!\W- what happened? response:	D- did he get him?
context: I'll just have to cut off his tail!\What a freak. And after he's taken all that damage, too.\Is this guy immortal?\D- damn! My power!\Dammit!\I- I can't move!\W- what happened?\D- did he get him? response:	Is he still alive?
context: What a freak. And after he's taken all that damage, too.\Is this guy immortal?\D- damn! My power!\Dammit!\I- I can't move!\W- what happened?\D- did he get him?\Is he still alive? response:	What a monster!
context: Is this guy immortal?\D- damn! My power!\Dammit!\I- I can't move!\W- what happened?\D- did he get him?\Is he still alive?\What a monster! response:	T- the only things left in the city appear to be these two strange spheres.
context: D- damn! My power!\Dammit!\I- I can't move!\W- what happened?\D- did he get him?\Is he still alive?\What a monster!\T- the only things left in the city appear to be these two strange spheres. response:	Does that mean that these are the Saiyans' spaceships?
context: Dammit!\I- I can't move!\W- what happened?\D- did he get him?\Is he still alive?\What a monster!\T- the only things left in the city appear to be these two strange spheres.\Does that mean that these are the Saiyans' spaceships? response:	What's that?
context: I- I can't move!\W- what happened?\D- did he get him?\Is he still alive?\What a monster!\T- the only things left in the city appear to be these two strange spheres.\Does that mean that these are the Saiyans' spaceships?\What's that? response:	I- it's flying!
context: W- what happened?\D- did he get him?\Is he still alive?\What a monster!\T- the only things left in the city appear to be these two strange spheres.\Does that mean that these are the Saiyans' spaceships?\What's that?\I- it's flying! response:	W- what's that?
context: D- did he get him?\Is he still alive?\What a monster!\T- the only things left in the city appear to be these two strange spheres.\Does that mean that these are the Saiyans' spaceships?\What's that?\I- it's flying!\W- what's that? response:	I- it's here...
context: Is he still alive?\What a monster!\T- the only things left in the city appear to be these two strange spheres.\Does that mean that these are the Saiyans' spaceships?\What's that?\I- it's flying!\W- what's that?\I- it's here... response:	T- to think that I would have to withdraw...
context: What a monster!\T- the only things left in the city appear to be these two strange spheres.\Does that mean that these are the Saiyans' spaceships?\What's that?\I- it's flying!\W- what's that?\I- it's here...\T- to think that I would have to withdraw... response:	D- damn...
context: T- the only things left in the city appear to be these two strange spheres.\Does that mean that these are the Saiyans' spaceships?\What's that?\I- it's flying!\W- what's that?\I- it's here...\T- to think that I would have to withdraw...\D- damn... response:	Me, Vegeta- sama, known as the mightiest warrior in the universe...
context: Does that mean that these are the Saiyans' spaceships?\What's that?\I- it's flying!\W- what's that?\I- it's here...\T- to think that I would have to withdraw...\D- damn...\Me, Vegeta- sama, known as the mightiest warrior in the universe... response:	How disgraceful...
context: What's that?\I- it's flying!\W- what's that?\I- it's here...\T- to think that I would have to withdraw...\D- damn...\Me, Vegeta- sama, known as the mightiest warrior in the universe...\How disgraceful... response:	T- that's his spaceship... Y- you're not about to get away...
context: I- it's flying!\W- what's that?\I- it's here...\T- to think that I would have to withdraw...\D- damn...\Me, Vegeta- sama, known as the mightiest warrior in the universe...\How disgraceful...\T- that's his spaceship... Y- you're not about to get away... response:	Kuririn! Use my katana!
context: W- what's that?\I- it's here...\T- to think that I would have to withdraw...\D- damn...\Me, Vegeta- sama, known as the mightiest warrior in the universe...\How disgraceful...\T- that's his spaceship... Y- you're not about to get away...\Kuririn! Use my katana! response:	W- we've come this far... I'm going to finish him off...
context: I- it's here...\T- to think that I would have to withdraw...\D- damn...\Me, Vegeta- sama, known as the mightiest warrior in the universe...\How disgraceful...\T- that's his spaceship... Y- you're not about to get away...\Kuririn! Use my katana!\W- we've come this far... I'm going to finish him off... response:	Hold it!
context: T- to think that I would have to withdraw...\D- damn...\Me, Vegeta- sama, known as the mightiest warrior in the universe...\How disgraceful...\T- that's his spaceship... Y- you're not about to get away...\Kuririn! Use my katana!\W- we've come this far... I'm going to finish him off...\Hold it! response:	T- this is for everyone that you killed...
context: D- damn...\Me, Vegeta- sama, known as the mightiest warrior in the universe...\How disgraceful...\T- that's his spaceship... Y- you're not about to get away...\Kuririn! Use my katana!\W- we've come this far... I'm going to finish him off...\Hold it!\T- this is for everyone that you killed... response:	Say your prayers!
context: Me, Vegeta- sama, known as the mightiest warrior in the universe...\How disgraceful...\T- that's his spaceship... Y- you're not about to get away...\Kuririn! Use my katana!\W- we've come this far... I'm going to finish him off...\Hold it!\T- this is for everyone that you killed...\Say your prayers! response:	Dammit! M- my body won't respond!
context: How disgraceful...\T- that's his spaceship... Y- you're not about to get away...\Kuririn! Use my katana!\W- we've come this far... I'm going to finish him off...\Hold it!\T- this is for everyone that you killed...\Say your prayers!\Dammit! M- my body won't respond! response:	You did well to come this far.
context: T- that's his spaceship... Y- you're not about to get away...\Kuririn! Use my katana!\W- we've come this far... I'm going to finish him off...\Hold it!\T- this is for everyone that you killed...\Say your prayers!\Dammit! M- my body won't respond!\You did well to come this far. response:	I wasn't sure how this would turn out. It's wrong for me to play favorites,
context: Kuririn! Use my katana!\W- we've come this far... I'm going to finish him off...\Hold it!\T- this is for everyone that you killed...\Say your prayers!\Dammit! M- my body won't respond!\You did well to come this far.\I wasn't sure how this would turn out. It's wrong for me to play favorites, response:	but that Saiyan is a villain that has plunged the whole universe into terror.
context: W- we've come this far... I'm going to finish him off...\Hold it!\T- this is for everyone that you killed...\Say your prayers!\Dammit! M- my body won't respond!\You did well to come this far.\I wasn't sure how this would turn out. It's wrong for me to play favorites,\but that Saiyan is a villain that has plunged the whole universe into terror. response:	I can't help it.
context: Hold it!\T- this is for everyone that you killed...\Say your prayers!\Dammit! M- my body won't respond!\You did well to come this far.\I wasn't sure how this would turn out. It's wrong for me to play favorites,\but that Saiyan is a villain that has plunged the whole universe into terror.\I can't help it. response:	Although, this will not completely weed out the root of evil.
context: T- this is for everyone that you killed...\Say your prayers!\Dammit! M- my body won't respond!\You did well to come this far.\I wasn't sure how this would turn out. It's wrong for me to play favorites,\but that Saiyan is a villain that has plunged the whole universe into terror.\I can't help it.\Although, this will not completely weed out the root of evil. response:	No, not the root of evil...
context: Say your prayers!\Dammit! M- my body won't respond!\You did well to come this far.\I wasn't sure how this would turn out. It's wrong for me to play favorites,\but that Saiyan is a villain that has plunged the whole universe into terror.\I can't help it.\Although, this will not completely weed out the root of evil.\No, not the root of evil... response:	Die!!
context: Dammit! M- my body won't respond!\You did well to come this far.\I wasn't sure how this would turn out. It's wrong for me to play favorites,\but that Saiyan is a villain that has plunged the whole universe into terror.\I can't help it.\Although, this will not completely weed out the root of evil.\No, not the root of evil...\Die!! response:	Wait!
context: You did well to come this far.\I wasn't sure how this would turn out. It's wrong for me to play favorites,\but that Saiyan is a villain that has plunged the whole universe into terror.\I can't help it.\Although, this will not completely weed out the root of evil.\No, not the root of evil...\Die!!\Wait! response:	G- Goku?
context: I wasn't sure how this would turn out. It's wrong for me to play favorites,\but that Saiyan is a villain that has plunged the whole universe into terror.\I can't help it.\Although, this will not completely weed out the root of evil.\No, not the root of evil...\Die!!\Wait!\G- Goku? response:	Goku, was that you who just spoke into my mind?
context: but that Saiyan is a villain that has plunged the whole universe into terror.\I can't help it.\Although, this will not completely weed out the root of evil.\No, not the root of evil...\Die!!\Wait!\G- Goku?\Goku, was that you who just spoke into my mind? response:	Yeah, it was... I can't talk very loud, and all...
context: I can't help it.\Although, this will not completely weed out the root of evil.\No, not the root of evil...\Die!!\Wait!\G- Goku?\Goku, was that you who just spoke into my mind?\Yeah, it was... I can't talk very loud, and all... response:	K - Kuririn, forgive me, but let him get away...
context: Although, this will not completely weed out the root of evil.\No, not the root of evil...\Die!!\Wait!\G- Goku?\Goku, was that you who just spoke into my mind?\Yeah, it was... I can't talk very loud, and all...\K - Kuririn, forgive me, but let him get away... response:	Let him what? A- are you crazy?
context: No, not the root of evil...\Die!!\Wait!\G- Goku?\Goku, was that you who just spoke into my mind?\Yeah, it was... I can't talk very loud, and all...\K - Kuririn, forgive me, but let him get away...\Let him what? A- are you crazy? response:	P - please... T - this is the only thing l'll ever ask for myself...
context: Die!!\Wait!\G- Goku?\Goku, was that you who just spoke into my mind?\Yeah, it was... I can't talk very loud, and all...\K - Kuririn, forgive me, but let him get away...\Let him what? A- are you crazy?\P - please... T - this is the only thing l'll ever ask for myself... response:	But Goku, this is the guy that killed our friends,
context: Wait!\G- Goku?\Goku, was that you who just spoke into my mind?\Yeah, it was... I can't talk very loud, and all...\K - Kuririn, forgive me, but let him get away...\Let him what? A- are you crazy?\P - please... T - this is the only thing l'll ever ask for myself...\But Goku, this is the guy that killed our friends, response:	and tried to kill everyone else in the world!
context: G- Goku?\Goku, was that you who just spoke into my mind?\Yeah, it was... I can't talk very loud, and all...\K - Kuririn, forgive me, but let him get away...\Let him what? A- are you crazy?\P - please... T - this is the only thing l'll ever ask for myself...\But Goku, this is the guy that killed our friends,\and tried to kill everyone else in the world! response:	If we let him go now, he's certain to recover his strength, and come back here!
context: Goku, was that you who just spoke into my mind?\Yeah, it was... I can't talk very loud, and all...\K - Kuririn, forgive me, but let him get away...\Let him what? A- are you crazy?\P - please... T - this is the only thing l'll ever ask for myself...\But Goku, this is the guy that killed our friends,\and tried to kill everyone else in the world!\If we let him go now, he's certain to recover his strength, and come back here! response:	Y - you're probably right...
context: Yeah, it was... I can't talk very loud, and all...\K - Kuririn, forgive me, but let him get away...\Let him what? A- are you crazy?\P - please... T - this is the only thing l'll ever ask for myself...\But Goku, this is the guy that killed our friends,\and tried to kill everyone else in the world!\If we let him go now, he's certain to recover his strength, and come back here!\Y - you're probably right... response:	If you're thinking that maybe he'll have a change of heart, the way Piccolo did,
context: K - Kuririn, forgive me, but let him get away...\Let him what? A- are you crazy?\P - please... T - this is the only thing l'll ever ask for myself...\But Goku, this is the guy that killed our friends,\and tried to kill everyone else in the world!\If we let him go now, he's certain to recover his strength, and come back here!\Y - you're probably right...\If you're thinking that maybe he'll have a change of heart, the way Piccolo did, response:	then you're greatly mistaken! He's not that kind of guy!
context: Let him what? A- are you crazy?\P - please... T - this is the only thing l'll ever ask for myself...\But Goku, this is the guy that killed our friends,\and tried to kill everyone else in the world!\If we let him go now, he's certain to recover his strength, and come back here!\Y - you're probably right...\If you're thinking that maybe he'll have a change of heart, the way Piccolo did,\then you're greatly mistaken! He's not that kind of guy! response:	l know that... and I know that Vegeta there has incredible strength...
