context: Pathetic! response:	Fairy Tail used to be on top! What the hell happened?! Every last one of them...
context: The first day of the Grand Magic Games has come to a successful end.\Yes, there were some fine magic battles.\I have come to ask if you have any requests for the second day's battle part.\Let's see... I'd like to see Bacchus.\Would you slot him in?\Against which team?\Fairy Tale's, um...\The shapeshifter. response:	I can't remember his name.
context: Yes, there were some fine magic battles.\I have come to ask if you have any requests for the second day's battle part.\Let's see... I'd like to see Bacchus.\Would you slot him in?\Against which team?\Fairy Tale's, um...\The shapeshifter.\I can't remember his name. response:	L something...
context: I have come to ask if you have any requests for the second day's battle part.\Let's see... I'd like to see Bacchus.\Would you slot him in?\Against which team?\Fairy Tale's, um...\The shapeshifter.\I can't remember his name.\L something... response:	Certainly.
context: Let's see... I'd like to see Bacchus.\Would you slot him in?\Against which team?\Fairy Tale's, um...\The shapeshifter.\I can't remember his name.\L something...\Certainly. response:	I'll arrange it.
context: Would you slot him in?\Against which team?\Fairy Tale's, um...\The shapeshifter.\I can't remember his name.\L something...\Certainly.\I'll arrange it. response:	I'm sure it'll make a rousing match.
context: Against which team?\Fairy Tale's, um...\The shapeshifter.\I can't remember his name.\L something...\Certainly.\I'll arrange it.\I'm sure it'll make a rousing match. response:	If there's nothing else, then I shall take my leave...
context: Fairy Tale's, um...\The shapeshifter.\I can't remember his name.\L something...\Certainly.\I'll arrange it.\I'm sure it'll make a rousing match.\If there's nothing else, then I shall take my leave... response:	Thank you for your trouble, Captain of the Guard. Have a good rest.
context: The shapeshifter.\I can't remember his name.\L something...\Certainly.\I'll arrange it.\I'm sure it'll make a rousing match.\If there's nothing else, then I shall take my leave...\Thank you for your trouble, Captain of the Guard. Have a good rest. response:	I don't have time to rest, Your Majesty.
context: I can't remember his name.\L something...\Certainly.\I'll arrange it.\I'm sure it'll make a rousing match.\If there's nothing else, then I shall take my leave...\Thank you for your trouble, Captain of the Guard. Have a good rest.\I don't have time to rest, Your Majesty. response:	Now when it's so close to completion...
context: L something...\Certainly.\I'll arrange it.\I'm sure it'll make a rousing match.\If there's nothing else, then I shall take my leave...\Thank you for your trouble, Captain of the Guard. Have a good rest.\I don't have time to rest, Your Majesty.\Now when it's so close to completion... response:	Who's next?!
context: Certainly.\I'll arrange it.\I'm sure it'll make a rousing match.\If there's nothing else, then I shall take my leave...\Thank you for your trouble, Captain of the Guard. Have a good rest.\I don't have time to rest, Your Majesty.\Now when it's so close to completion...\Who's next?! response:	Come on, let's cheer up with a little throwdown!
context: I'll arrange it.\I'm sure it'll make a rousing match.\If there's nothing else, then I shall take my leave...\Thank you for your trouble, Captain of the Guard. Have a good rest.\I don't have time to rest, Your Majesty.\Now when it's so close to completion...\Who's next?!\Come on, let's cheer up with a little throwdown! response:	Yeah, Natsu!
context: I'm sure it'll make a rousing match.\If there's nothing else, then I shall take my leave...\Thank you for your trouble, Captain of the Guard. Have a good rest.\I don't have time to rest, Your Majesty.\Now when it's so close to completion...\Who's next?!\Come on, let's cheer up with a little throwdown!\Yeah, Natsu! response:	You're a wimp, Max!
context: If there's nothing else, then I shall take my leave...\Thank you for your trouble, Captain of the Guard. Have a good rest.\I don't have time to rest, Your Majesty.\Now when it's so close to completion...\Who's next?!\Come on, let's cheer up with a little throwdown!\Yeah, Natsu!\You're a wimp, Max! response:	How'd he get this strong in just three months?!
context: Thank you for your trouble, Captain of the Guard. Have a good rest.\I don't have time to rest, Your Majesty.\Now when it's so close to completion...\Who's next?!\Come on, let's cheer up with a little throwdown!\Yeah, Natsu!\You're a wimp, Max!\How'd he get this strong in just three months?! response:	Where does that leave us?
context: I don't have time to rest, Your Majesty.\Now when it's so close to completion...\Who's next?!\Come on, let's cheer up with a little throwdown!\Yeah, Natsu!\You're a wimp, Max!\How'd he get this strong in just three months?!\Where does that leave us? response:	Looks like fun. I'll take you up on that.
context: Now when it's so close to completion...\Who's next?!\Come on, let's cheer up with a little throwdown!\Yeah, Natsu!\You're a wimp, Max!\How'd he get this strong in just three months?!\Where does that leave us?\Looks like fun. I'll take you up on that. response:	Don't.
context: Who's next?!\Come on, let's cheer up with a little throwdown!\Yeah, Natsu!\You're a wimp, Max!\How'd he get this strong in just three months?!\Where does that leave us?\Looks like fun. I'll take you up on that.\Don't. response:	Once you and Natsu get started, it's not gonna be a game.
context: Come on, let's cheer up with a little throwdown!\Yeah, Natsu!\You're a wimp, Max!\How'd he get this strong in just three months?!\Where does that leave us?\Looks like fun. I'll take you up on that.\Don't.\Once you and Natsu get started, it's not gonna be a game. response:	Hey, your head's really gotten rounder, Laxus!
context: Yeah, Natsu!\You're a wimp, Max!\How'd he get this strong in just three months?!\Where does that leave us?\Looks like fun. I'll take you up on that.\Don't.\Once you and Natsu get started, it's not gonna be a game.\Hey, your head's really gotten rounder, Laxus! response:	Stop it, Gajeel!
context: You're a wimp, Max!\How'd he get this strong in just three months?!\Where does that leave us?\Looks like fun. I'll take you up on that.\Don't.\Once you and Natsu get started, it's not gonna be a game.\Hey, your head's really gotten rounder, Laxus!\Stop it, Gajeel! response:	B-Bastard!
context: How'd he get this strong in just three months?!\Where does that leave us?\Looks like fun. I'll take you up on that.\Don't.\Once you and Natsu get started, it's not gonna be a game.\Hey, your head's really gotten rounder, Laxus!\Stop it, Gajeel!\B-Bastard! response:	How dare you do that to Laxus?!
context: Where does that leave us?\Looks like fun. I'll take you up on that.\Don't.\Once you and Natsu get started, it's not gonna be a game.\Hey, your head's really gotten rounder, Laxus!\Stop it, Gajeel!\B-Bastard!\How dare you do that to Laxus?! response:	Right now, our pride is being trampled!
context: Looks like fun. I'll take you up on that.\Don't.\Once you and Natsu get started, it's not gonna be a game.\Hey, your head's really gotten rounder, Laxus!\Stop it, Gajeel!\B-Bastard!\How dare you do that to Laxus?!\Right now, our pride is being trampled! response:	Laxus's Raijinshuu, assemble!
context: Don't.\Once you and Natsu get started, it's not gonna be a game.\Hey, your head's really gotten rounder, Laxus!\Stop it, Gajeel!\B-Bastard!\How dare you do that to Laxus?!\Right now, our pride is being trampled!\Laxus's Raijinshuu, assemble! response:	I can't...
context: Once you and Natsu get started, it's not gonna be a game.\Hey, your head's really gotten rounder, Laxus!\Stop it, Gajeel!\B-Bastard!\How dare you do that to Laxus?!\Right now, our pride is being trampled!\Laxus's Raijinshuu, assemble!\I can't... response:	Pathetic...
context: Hey, your head's really gotten rounder, Laxus!\Stop it, Gajeel!\B-Bastard!\How dare you do that to Laxus?!\Right now, our pride is being trampled!\Laxus's Raijinshuu, assemble!\I can't...\Pathetic... response:	You're a strong drinker, huh, doll?
context: Stop it, Gajeel!\B-Bastard!\How dare you do that to Laxus?!\Right now, our pride is being trampled!\Laxus's Raijinshuu, assemble!\I can't...\Pathetic...\You're a strong drinker, huh, doll? response:	Why don't we see who's stronger?
context: B-Bastard!\How dare you do that to Laxus?!\Right now, our pride is being trampled!\Laxus's Raijinshuu, assemble!\I can't...\Pathetic...\You're a strong drinker, huh, doll?\Why don't we see who's stronger? response:	I don't know who you are,
context: How dare you do that to Laxus?!\Right now, our pride is being trampled!\Laxus's Raijinshuu, assemble!\I can't...\Pathetic...\You're a strong drinker, huh, doll?\Why don't we see who's stronger?\I don't know who you are, response:	but you're challenging me to a drinking match?
context: Right now, our pride is being trampled!\Laxus's Raijinshuu, assemble!\I can't...\Pathetic...\You're a strong drinker, huh, doll?\Why don't we see who's stronger?\I don't know who you are,\but you're challenging me to a drinking match? response:	Hey! I don't know who you are, but don't do it!
context: Laxus's Raijinshuu, assemble!\I can't...\Pathetic...\You're a strong drinker, huh, doll?\Why don't we see who's stronger?\I don't know who you are,\but you're challenging me to a drinking match?\Hey! I don't know who you are, but don't do it! response:	Don't let her looks fool you, that woman's a monster!
context: I can't...\Pathetic...\You're a strong drinker, huh, doll?\Why don't we see who's stronger?\I don't know who you are,\but you're challenging me to a drinking match?\Hey! I don't know who you are, but don't do it!\Don't let her looks fool you, that woman's a monster! response:	I don't believe it!
context: Pathetic...\You're a strong drinker, huh, doll?\Why don't we see who's stronger?\I don't know who you are,\but you're challenging me to a drinking match?\Hey! I don't know who you are, but don't do it!\Don't let her looks fool you, that woman's a monster!\I don't believe it! response:	Is this for real?!
context: You're a strong drinker, huh, doll?\Why don't we see who's stronger?\I don't know who you are,\but you're challenging me to a drinking match?\Hey! I don't know who you are, but don't do it!\Don't let her looks fool you, that woman's a monster!\I don't believe it!\Is this for real?! response:	Someone drank Cana under the table?!
context: Why don't we see who's stronger?\I don't know who you are,\but you're challenging me to a drinking match?\Hey! I don't know who you are, but don't do it!\Don't let her looks fool you, that woman's a monster!\I don't believe it!\Is this for real?!\Someone drank Cana under the table?! response:	This is the first time I've seen Cana flat on the floor like that!
context: I don't know who you are,\but you're challenging me to a drinking match?\Hey! I don't know who you are, but don't do it!\Don't let her looks fool you, that woman's a monster!\I don't believe it!\Is this for real?!\Someone drank Cana under the table?!\This is the first time I've seen Cana flat on the floor like that! response:	I'm takin' this as a trophy.
context: but you're challenging me to a drinking match?\Hey! I don't know who you are, but don't do it!\Don't let her looks fool you, that woman's a monster!\I don't believe it!\Is this for real?!\Someone drank Cana under the table?!\This is the first time I've seen Cana flat on the floor like that!\I'm takin' this as a trophy. response:	What the hell are you doin'?!
context: Hey! I don't know who you are, but don't do it!\Don't let her looks fool you, that woman's a monster!\I don't believe it!\Is this for real?!\Someone drank Cana under the table?!\This is the first time I've seen Cana flat on the floor like that!\I'm takin' this as a trophy.\What the hell are you doin'?! response:	Gildarts will murder you!
context: Don't let her looks fool you, that woman's a monster!\I don't believe it!\Is this for real?!\Someone drank Cana under the table?!\This is the first time I've seen Cana flat on the floor like that!\I'm takin' this as a trophy.\What the hell are you doin'?!\Gildarts will murder you! response:	Give it back!
context: I don't believe it!\Is this for real?!\Someone drank Cana under the table?!\This is the first time I've seen Cana flat on the floor like that!\I'm takin' this as a trophy.\What the hell are you doin'?!\Gildarts will murder you!\Give it back! response:	You mess with our guild...
context: Is this for real?!\Someone drank Cana under the table?!\This is the first time I've seen Cana flat on the floor like that!\I'm takin' this as a trophy.\What the hell are you doin'?!\Gildarts will murder you!\Give it back!\You mess with our guild... response:	What is that guy?!
context: Someone drank Cana under the table?!\This is the first time I've seen Cana flat on the floor like that!\I'm takin' this as a trophy.\What the hell are you doin'?!\Gildarts will murder you!\Give it back!\You mess with our guild...\What is that guy?! response:	Dad!
context: This is the first time I've seen Cana flat on the floor like that!\I'm takin' this as a trophy.\What the hell are you doin'?!\Gildarts will murder you!\Give it back!\You mess with our guild...\What is that guy?!\Dad! response:	Bacchus?
context: I'm takin' this as a trophy.\What the hell are you doin'?!\Gildarts will murder you!\Give it back!\You mess with our guild...\What is that guy?!\Dad!\Bacchus? response:	Yo! If it ain't Erza!
context: What the hell are you doin'?!\Gildarts will murder you!\Give it back!\You mess with our guild...\What is that guy?!\Dad!\Bacchus?\Yo! If it ain't Erza! response:	You reek.
context: Gildarts will murder you!\Give it back!\You mess with our guild...\What is that guy?!\Dad!\Bacchus?\Yo! If it ain't Erza!\You reek. response:	You're a fine babe as always.
context: Give it back!\You mess with our guild...\What is that guy?!\Dad!\Bacchus?\Yo! If it ain't Erza!\You reek.\You're a fine babe as always. response:	It's been a long time.
context: You mess with our guild...\What is that guy?!\Dad!\Bacchus?\Yo! If it ain't Erza!\You reek.\You're a fine babe as always.\It's been a long time. response:	You know him?!
context: What is that guy?!\Dad!\Bacchus?\Yo! If it ain't Erza!\You reek.\You're a fine babe as always.\It's been a long time.\You know him?! response:	I hear you were gone for seven years?
context: Dad!\Bacchus?\Yo! If it ain't Erza!\You reek.\You're a fine babe as always.\It's been a long time.\You know him?!\I hear you were gone for seven years? response:	True enough...
context: Bacchus?\Yo! If it ain't Erza!\You reek.\You're a fine babe as always.\It's been a long time.\You know him?!\I hear you were gone for seven years?\True enough... response:	It seems you're not participating in the Grand Magic Games...
context: Yo! If it ain't Erza!\You reek.\You're a fine babe as always.\It's been a long time.\You know him?!\I hear you were gone for seven years?\True enough...\It seems you're not participating in the Grand Magic Games... response:	Well, I thought I'd leave it to the young'uns this time,
context: You reek.\You're a fine babe as always.\It's been a long time.\You know him?!\I hear you were gone for seven years?\True enough...\It seems you're not participating in the Grand Magic Games...\Well, I thought I'd leave it to the young'uns this time, response:	but after watching War Cry's pitiful match,
context: You're a fine babe as always.\It's been a long time.\You know him?!\I hear you were gone for seven years?\True enough...\It seems you're not participating in the Grand Magic Games...\Well, I thought I'd leave it to the young'uns this time,\but after watching War Cry's pitiful match, response:	my man's soul couldn't stay silent!
context: It's been a long time.\You know him?!\I hear you were gone for seven years?\True enough...\It seems you're not participating in the Grand Magic Games...\Well, I thought I'd leave it to the young'uns this time,\but after watching War Cry's pitiful match,\my man's soul couldn't stay silent! response:	So under the reserve member provision, I joined the team.
context: You know him?!\I hear you were gone for seven years?\True enough...\It seems you're not participating in the Grand Magic Games...\Well, I thought I'd leave it to the young'uns this time,\but after watching War Cry's pitiful match,\my man's soul couldn't stay silent!\So under the reserve member provision, I joined the team. response:	My soul is trembling with excitement.
context: I hear you were gone for seven years?\True enough...\It seems you're not participating in the Grand Magic Games...\Well, I thought I'd leave it to the young'uns this time,\but after watching War Cry's pitiful match,\my man's soul couldn't stay silent!\So under the reserve member provision, I joined the team.\My soul is trembling with excitement. response:	If we get to clash tomorrow or after,
context: True enough...\It seems you're not participating in the Grand Magic Games...\Well, I thought I'd leave it to the young'uns this time,\but after watching War Cry's pitiful match,\my man's soul couldn't stay silent!\So under the reserve member provision, I joined the team.\My soul is trembling with excitement.\If we get to clash tomorrow or after, response:	I'd like to settle things from that one time.
context: It seems you're not participating in the Grand Magic Games...\Well, I thought I'd leave it to the young'uns this time,\but after watching War Cry's pitiful match,\my man's soul couldn't stay silent!\So under the reserve member provision, I joined the team.\My soul is trembling with excitement.\If we get to clash tomorrow or after,\I'd like to settle things from that one time. response:	My soul is always...
