context: I'm pretty sure it was around here... response:	No fair, Sou-kun!
context: Sure. Whatever you want.\W-Well...\I really want to go out somewhere with you, even if only just once.\Sure, that shouldn't be a problem.\I guess you did say okay,\but...\I can't believe you kept a secret like that\from your sister, Sou-kun. response:	I-I'm sorry!
context: W-Well...\I really want to go out somewhere with you, even if only just once.\Sure, that shouldn't be a problem.\I guess you did say okay,\but...\I can't believe you kept a secret like that\from your sister, Sou-kun.\I-I'm sorry! response:	I'm a thieving cat, a homewrecker.
context: I really want to go out somewhere with you, even if only just once.\Sure, that shouldn't be a problem.\I guess you did say okay,\but...\I can't believe you kept a secret like that\from your sister, Sou-kun.\I-I'm sorry!\I'm a thieving cat, a homewrecker. response:	Cats are cute!
context: Sure, that shouldn't be a problem.\I guess you did say okay,\but...\I can't believe you kept a secret like that\from your sister, Sou-kun.\I-I'm sorry!\I'm a thieving cat, a homewrecker.\Cats are cute! response:	We can all just accompany him.
context: I guess you did say okay,\but...\I can't believe you kept a secret like that\from your sister, Sou-kun.\I-I'm sorry!\I'm a thieving cat, a homewrecker.\Cats are cute!\We can all just accompany him. response:	Akane wasn't the only one who put in long hours for the track meet.
context: but...\I can't believe you kept a secret like that\from your sister, Sou-kun.\I-I'm sorry!\I'm a thieving cat, a homewrecker.\Cats are cute!\We can all just accompany him.\Akane wasn't the only one who put in long hours for the track meet. response:	We all did.
context: I can't believe you kept a secret like that\from your sister, Sou-kun.\I-I'm sorry!\I'm a thieving cat, a homewrecker.\Cats are cute!\We can all just accompany him.\Akane wasn't the only one who put in long hours for the track meet.\We all did. response:	That's a good idea!
context: from your sister, Sou-kun.\I-I'm sorry!\I'm a thieving cat, a homewrecker.\Cats are cute!\We can all just accompany him.\Akane wasn't the only one who put in long hours for the track meet.\We all did.\That's a good idea! response:	I see!
context: I-I'm sorry!\I'm a thieving cat, a homewrecker.\Cats are cute!\We can all just accompany him.\Akane wasn't the only one who put in long hours for the track meet.\We all did.\That's a good idea!\I see! response:	That means you should come with us, too, Nanami.
context: I'm a thieving cat, a homewrecker.\Cats are cute!\We can all just accompany him.\Akane wasn't the only one who put in long hours for the track meet.\We all did.\That's a good idea!\I see!\That means you should come with us, too, Nanami. response:	Let's go, Nanami-chan.
context: Cats are cute!\We can all just accompany him.\Akane wasn't the only one who put in long hours for the track meet.\We all did.\That's a good idea!\I see!\That means you should come with us, too, Nanami.\Let's go, Nanami-chan. response:	Huh? I'm good...
context: We can all just accompany him.\Akane wasn't the only one who put in long hours for the track meet.\We all did.\That's a good idea!\I see!\That means you should come with us, too, Nanami.\Let's go, Nanami-chan.\Huh? I'm good... response:	I'm impressed you were able to include yourself as part of the date today
context: Akane wasn't the only one who put in long hours for the track meet.\We all did.\That's a good idea!\I see!\That means you should come with us, too, Nanami.\Let's go, Nanami-chan.\Huh? I'm good...\I'm impressed you were able to include yourself as part of the date today response:	just like that, Nanami-san.
context: We all did.\That's a good idea!\I see!\That means you should come with us, too, Nanami.\Let's go, Nanami-chan.\Huh? I'm good...\I'm impressed you were able to include yourself as part of the date today\just like that, Nanami-san. response:	No!
context: That's a good idea!\I see!\That means you should come with us, too, Nanami.\Let's go, Nanami-chan.\Huh? I'm good...\I'm impressed you were able to include yourself as part of the date today\just like that, Nanami-san.\No! response:	I didn't want this at all!
context: I see!\That means you should come with us, too, Nanami.\Let's go, Nanami-chan.\Huh? I'm good...\I'm impressed you were able to include yourself as part of the date today\just like that, Nanami-san.\No!\I didn't want this at all! response:	Okay, now we're going to decide who gets to be with Souta-kun first!
context: That means you should come with us, too, Nanami.\Let's go, Nanami-chan.\Huh? I'm good...\I'm impressed you were able to include yourself as part of the date today\just like that, Nanami-san.\No!\I didn't want this at all!\Okay, now we're going to decide who gets to be with Souta-kun first! response:	Yeah!
context: Let's go, Nanami-chan.\Huh? I'm good...\I'm impressed you were able to include yourself as part of the date today\just like that, Nanami-san.\No!\I didn't want this at all!\Okay, now we're going to decide who gets to be with Souta-kun first!\Yeah! response:	I'm totally not going!
context: Huh? I'm good...\I'm impressed you were able to include yourself as part of the date today\just like that, Nanami-san.\No!\I didn't want this at all!\Okay, now we're going to decide who gets to be with Souta-kun first!\Yeah!\I'm totally not going! response:	We've figured out who's going when. Hurry up and get ready.
context: I'm impressed you were able to include yourself as part of the date today\just like that, Nanami-san.\No!\I didn't want this at all!\Okay, now we're going to decide who gets to be with Souta-kun first!\Yeah!\I'm totally not going!\We've figured out who's going when. Hurry up and get ready. response:	Also, I'm not going.
context: just like that, Nanami-san.\No!\I didn't want this at all!\Okay, now we're going to decide who gets to be with Souta-kun first!\Yeah!\I'm totally not going!\We've figured out who's going when. Hurry up and get ready.\Also, I'm not going. response:	I'm totally not!
context: No!\I didn't want this at all!\Okay, now we're going to decide who gets to be with Souta-kun first!\Yeah!\I'm totally not going!\We've figured out who's going when. Hurry up and get ready.\Also, I'm not going.\I'm totally not! response:	Did you have to say that twice?
context: I didn't want this at all!\Okay, now we're going to decide who gets to be with Souta-kun first!\Yeah!\I'm totally not going!\We've figured out who's going when. Hurry up and get ready.\Also, I'm not going.\I'm totally not!\Did you have to say that twice? response:	Ruri isn't going, either, supposedly.
context: Okay, now we're going to decide who gets to be with Souta-kun first!\Yeah!\I'm totally not going!\We've figured out who's going when. Hurry up and get ready.\Also, I'm not going.\I'm totally not!\Did you have to say that twice?\Ruri isn't going, either, supposedly. response:	She's looking into something, I guess.
context: Yeah!\I'm totally not going!\We've figured out who's going when. Hurry up and get ready.\Also, I'm not going.\I'm totally not!\Did you have to say that twice?\Ruri isn't going, either, supposedly.\She's looking into something, I guess. response:	I see.
context: I'm totally not going!\We've figured out who's going when. Hurry up and get ready.\Also, I'm not going.\I'm totally not!\Did you have to say that twice?\Ruri isn't going, either, supposedly.\She's looking into something, I guess.\I see. response:	That's that, I guess.
context: We've figured out who's going when. Hurry up and get ready.\Also, I'm not going.\I'm totally not!\Did you have to say that twice?\Ruri isn't going, either, supposedly.\She's looking into something, I guess.\I see.\That's that, I guess. response:	Anyway, I guess I'll go have fun today.
context: Also, I'm not going.\I'm totally not!\Did you have to say that twice?\Ruri isn't going, either, supposedly.\She's looking into something, I guess.\I see.\That's that, I guess.\Anyway, I guess I'll go have fun today. response:	Oh, no!
context: I'm totally not!\Did you have to say that twice?\Ruri isn't going, either, supposedly.\She's looking into something, I guess.\I see.\That's that, I guess.\Anyway, I guess I'll go have fun today.\Oh, no! response:	How careless of me.
context: Did you have to say that twice?\Ruri isn't going, either, supposedly.\She's looking into something, I guess.\I see.\That's that, I guess.\Anyway, I guess I'll go have fun today.\Oh, no!\How careless of me. response:	Oh, yes, I may be staying here today,
context: Ruri isn't going, either, supposedly.\She's looking into something, I guess.\I see.\That's that, I guess.\Anyway, I guess I'll go have fun today.\Oh, no!\How careless of me.\Oh, yes, I may be staying here today, response:	but you don't need to get me anything while you're out.
context: She's looking into something, I guess.\I see.\That's that, I guess.\Anyway, I guess I'll go have fun today.\Oh, no!\How careless of me.\Oh, yes, I may be staying here today,\but you don't need to get me anything while you're out. response:	Especially these limited-time only cakes. I don't need them!
context: I see.\That's that, I guess.\Anyway, I guess I'll go have fun today.\Oh, no!\How careless of me.\Oh, yes, I may be staying here today,\but you don't need to get me anything while you're out.\Especially these limited-time only cakes. I don't need them! response:	I don't need them at all!
context: That's that, I guess.\Anyway, I guess I'll go have fun today.\Oh, no!\How careless of me.\Oh, yes, I may be staying here today,\but you don't need to get me anything while you're out.\Especially these limited-time only cakes. I don't need them!\I don't need them at all! response:	Why are you saying everything twice?
context: Anyway, I guess I'll go have fun today.\Oh, no!\How careless of me.\Oh, yes, I may be staying here today,\but you don't need to get me anything while you're out.\Especially these limited-time only cakes. I don't need them!\I don't need them at all!\Why are you saying everything twice? response:	Megumu!
context: Oh, no!\How careless of me.\Oh, yes, I may be staying here today,\but you don't need to get me anything while you're out.\Especially these limited-time only cakes. I don't need them!\I don't need them at all!\Why are you saying everything twice?\Megumu! response:	Sorry, I guess I'm a little late.
context: How careless of me.\Oh, yes, I may be staying here today,\but you don't need to get me anything while you're out.\Especially these limited-time only cakes. I don't need them!\I don't need them at all!\Why are you saying everything twice?\Megumu!\Sorry, I guess I'm a little late. response:	No, I just got here.
context: Oh, yes, I may be staying here today,\but you don't need to get me anything while you're out.\Especially these limited-time only cakes. I don't need them!\I don't need them at all!\Why are you saying everything twice?\Megumu!\Sorry, I guess I'm a little late.\No, I just got here. response:	I'm going to be a man today and escort you around.
context: but you don't need to get me anything while you're out.\Especially these limited-time only cakes. I don't need them!\I don't need them at all!\Why are you saying everything twice?\Megumu!\Sorry, I guess I'm a little late.\No, I just got here.\I'm going to be a man today and escort you around. response:	She's pulling her boyfriend everywhere.
context: Especially these limited-time only cakes. I don't need them!\I don't need them at all!\Why are you saying everything twice?\Megumu!\Sorry, I guess I'm a little late.\No, I just got here.\I'm going to be a man today and escort you around.\She's pulling her boyfriend everywhere. response:	Must be nice to be on a first date.
context: I don't need them at all!\Why are you saying everything twice?\Megumu!\Sorry, I guess I'm a little late.\No, I just got here.\I'm going to be a man today and escort you around.\She's pulling her boyfriend everywhere.\Must be nice to be on a first date. response:	Souta always finds a way into trouble,
context: Why are you saying everything twice?\Megumu!\Sorry, I guess I'm a little late.\No, I just got here.\I'm going to be a man today and escort you around.\She's pulling her boyfriend everywhere.\Must be nice to be on a first date.\Souta always finds a way into trouble, response:	and Akane and the others are always doing something silly,
context: Megumu!\Sorry, I guess I'm a little late.\No, I just got here.\I'm going to be a man today and escort you around.\She's pulling her boyfriend everywhere.\Must be nice to be on a first date.\Souta always finds a way into trouble,\and Akane and the others are always doing something silly, response:	but they're all gone today!
context: Sorry, I guess I'm a little late.\No, I just got here.\I'm going to be a man today and escort you around.\She's pulling her boyfriend everywhere.\Must be nice to be on a first date.\Souta always finds a way into trouble,\and Akane and the others are always doing something silly,\but they're all gone today! response:	I'm the queen of the Quest Dorm right now!
context: No, I just got here.\I'm going to be a man today and escort you around.\She's pulling her boyfriend everywhere.\Must be nice to be on a first date.\Souta always finds a way into trouble,\and Akane and the others are always doing something silly,\but they're all gone today!\I'm the queen of the Quest Dorm right now! response:	I can do this and no one can stop me!
context: I'm going to be a man today and escort you around.\She's pulling her boyfriend everywhere.\Must be nice to be on a first date.\Souta always finds a way into trouble,\and Akane and the others are always doing something silly,\but they're all gone today!\I'm the queen of the Quest Dorm right now!\I can do this and no one can stop me! response:	We didn't get it again.
context: She's pulling her boyfriend everywhere.\Must be nice to be on a first date.\Souta always finds a way into trouble,\and Akane and the others are always doing something silly,\but they're all gone today!\I'm the queen of the Quest Dorm right now!\I can do this and no one can stop me!\We didn't get it again. response:	This is harder than I thought.
context: Must be nice to be on a first date.\Souta always finds a way into trouble,\and Akane and the others are always doing something silly,\but they're all gone today!\I'm the queen of the Quest Dorm right now!\I can do this and no one can stop me!\We didn't get it again.\This is harder than I thought. response:	Souta-kun...
context: Souta always finds a way into trouble,\and Akane and the others are always doing something silly,\but they're all gone today!\I'm the queen of the Quest Dorm right now!\I can do this and no one can stop me!\We didn't get it again.\This is harder than I thought.\Souta-kun... response:	Huh?
context: and Akane and the others are always doing something silly,\but they're all gone today!\I'm the queen of the Quest Dorm right now!\I can do this and no one can stop me!\We didn't get it again.\This is harder than I thought.\Souta-kun...\Huh? response:	You did it, Souta-kun!
context: but they're all gone today!\I'm the queen of the Quest Dorm right now!\I can do this and no one can stop me!\We didn't get it again.\This is harder than I thought.\Souta-kun...\Huh?\You did it, Souta-kun! response:	Souta-kun?
context: I'm the queen of the Quest Dorm right now!\I can do this and no one can stop me!\We didn't get it again.\This is harder than I thought.\Souta-kun...\Huh?\You did it, Souta-kun!\Souta-kun? response:	I began to see flags,
context: I can do this and no one can stop me!\We didn't get it again.\This is harder than I thought.\Souta-kun...\Huh?\You did it, Souta-kun!\Souta-kun?\I began to see flags, response:	not only on on humans, but on other things, too.
context: We didn't get it again.\This is harder than I thought.\Souta-kun...\Huh?\You did it, Souta-kun!\Souta-kun?\I began to see flags,\not only on on humans, but on other things, too. response:	There must be something at Quest Dorm...
context: This is harder than I thought.\Souta-kun...\Huh?\You did it, Souta-kun!\Souta-kun?\I began to see flags,\not only on on humans, but on other things, too.\There must be something at Quest Dorm... response:	Souta-kun!
context: Souta-kun...\Huh?\You did it, Souta-kun!\Souta-kun?\I began to see flags,\not only on on humans, but on other things, too.\There must be something at Quest Dorm...\Souta-kun! response:	Souta-kun!
context: Huh?\You did it, Souta-kun!\Souta-kun?\I began to see flags,\not only on on humans, but on other things, too.\There must be something at Quest Dorm...\Souta-kun!\Souta-kun! response:	S-Sorry, Megumu.
context: You did it, Souta-kun!\Souta-kun?\I began to see flags,\not only on on humans, but on other things, too.\There must be something at Quest Dorm...\Souta-kun!\Souta-kun!\S-Sorry, Megumu. response:	You wanted this, right?
context: Souta-kun?\I began to see flags,\not only on on humans, but on other things, too.\There must be something at Quest Dorm...\Souta-kun!\Souta-kun!\S-Sorry, Megumu.\You wanted this, right? response:	Yeah, thanks.
context: I began to see flags,\not only on on humans, but on other things, too.\There must be something at Quest Dorm...\Souta-kun!\Souta-kun!\S-Sorry, Megumu.\You wanted this, right?\Yeah, thanks. response:	It's so cute.
context: not only on on humans, but on other things, too.\There must be something at Quest Dorm...\Souta-kun!\Souta-kun!\S-Sorry, Megumu.\You wanted this, right?\Yeah, thanks.\It's so cute. response:	Oh, yeah.
context: There must be something at Quest Dorm...\Souta-kun!\Souta-kun!\S-Sorry, Megumu.\You wanted this, right?\Yeah, thanks.\It's so cute.\Oh, yeah. response:	We should go someplace you want to next, as thanks.
context: Souta-kun!\Souta-kun!\S-Sorry, Megumu.\You wanted this, right?\Yeah, thanks.\It's so cute.\Oh, yeah.\We should go someplace you want to next, as thanks. response:	Hm, what do I want...
context: Souta-kun!\S-Sorry, Megumu.\You wanted this, right?\Yeah, thanks.\It's so cute.\Oh, yeah.\We should go someplace you want to next, as thanks.\Hm, what do I want... response:	Oh, I guess I'm kind of hungry.
context: S-Sorry, Megumu.\You wanted this, right?\Yeah, thanks.\It's so cute.\Oh, yeah.\We should go someplace you want to next, as thanks.\Hm, what do I want...\Oh, I guess I'm kind of hungry. response:	Then I know a good place!
context: You wanted this, right?\Yeah, thanks.\It's so cute.\Oh, yeah.\We should go someplace you want to next, as thanks.\Hm, what do I want...\Oh, I guess I'm kind of hungry.\Then I know a good place! response:	It's very manly, with extra-large portions!
context: Yeah, thanks.\It's so cute.\Oh, yeah.\We should go someplace you want to next, as thanks.\Hm, what do I want...\Oh, I guess I'm kind of hungry.\Then I know a good place!\It's very manly, with extra-large portions! response:	Megumu, what's this supposed to be...
context: It's so cute.\Oh, yeah.\We should go someplace you want to next, as thanks.\Hm, what do I want...\Oh, I guess I'm kind of hungry.\Then I know a good place!\It's very manly, with extra-large portions!\Megumu, what's this supposed to be... response:	It's a super-special parfait that no one has ever finished.
context: Oh, yeah.\We should go someplace you want to next, as thanks.\Hm, what do I want...\Oh, I guess I'm kind of hungry.\Then I know a good place!\It's very manly, with extra-large portions!\Megumu, what's this supposed to be...\It's a super-special parfait that no one has ever finished. response:	Now show off your manliness and eat it all!
context: We should go someplace you want to next, as thanks.\Hm, what do I want...\Oh, I guess I'm kind of hungry.\Then I know a good place!\It's very manly, with extra-large portions!\Megumu, what's this supposed to be...\It's a super-special parfait that no one has ever finished.\Now show off your manliness and eat it all! response:	I don't think this is going to work, man or not.
context: Hm, what do I want...\Oh, I guess I'm kind of hungry.\Then I know a good place!\It's very manly, with extra-large portions!\Megumu, what's this supposed to be...\It's a super-special parfait that no one has ever finished.\Now show off your manliness and eat it all!\I don't think this is going to work, man or not. response:	I'm so full...
context: Oh, I guess I'm kind of hungry.\Then I know a good place!\It's very manly, with extra-large portions!\Megumu, what's this supposed to be...\It's a super-special parfait that no one has ever finished.\Now show off your manliness and eat it all!\I don't think this is going to work, man or not.\I'm so full... response:	Told you.
context: Then I know a good place!\It's very manly, with extra-large portions!\Megumu, what's this supposed to be...\It's a super-special parfait that no one has ever finished.\Now show off your manliness and eat it all!\I don't think this is going to work, man or not.\I'm so full...\Told you. response:	I'm so full?
context: It's very manly, with extra-large portions!\Megumu, what's this supposed to be...\It's a super-special parfait that no one has ever finished.\Now show off your manliness and eat it all!\I don't think this is going to work, man or not.\I'm so full...\Told you.\I'm so full? response:	Fine. I'll help you out.
context: Megumu, what's this supposed to be...\It's a super-special parfait that no one has ever finished.\Now show off your manliness and eat it all!\I don't think this is going to work, man or not.\I'm so full...\Told you.\I'm so full?\Fine. I'll help you out. response:	Yep!
context: It's a super-special parfait that no one has ever finished.\Now show off your manliness and eat it all!\I don't think this is going to work, man or not.\I'm so full...\Told you.\I'm so full?\Fine. I'll help you out.\Yep! response:	Friendship is when you fight your battles together!
context: Now show off your manliness and eat it all!\I don't think this is going to work, man or not.\I'm so full...\Told you.\I'm so full?\Fine. I'll help you out.\Yep!\Friendship is when you fight your battles together! response:	There's some cream on your face.
context: I don't think this is going to work, man or not.\I'm so full...\Told you.\I'm so full?\Fine. I'll help you out.\Yep!\Friendship is when you fight your battles together!\There's some cream on your face. response:	What? Really?
context: I'm so full...\Told you.\I'm so full?\Fine. I'll help you out.\Yep!\Friendship is when you fight your battles together!\There's some cream on your face.\What? Really? response:	No, a little more to your right.
context: Told you.\I'm so full?\Fine. I'll help you out.\Yep!\Friendship is when you fight your battles together!\There's some cream on your face.\What? Really?\No, a little more to your right. response:	I can't get it.
context: I'm so full?\Fine. I'll help you out.\Yep!\Friendship is when you fight your battles together!\There's some cream on your face.\What? Really?\No, a little more to your right.\I can't get it. response:	Oh, jeez... Get it for me, Souta-kun!
context: Fine. I'll help you out.\Yep!\Friendship is when you fight your battles together!\There's some cream on your face.\What? Really?\No, a little more to your right.\I can't get it.\Oh, jeez... Get it for me, Souta-kun! response:	Is everyone here an idiot?
context: Yep!\Friendship is when you fight your battles together!\There's some cream on your face.\What? Really?\No, a little more to your right.\I can't get it.\Oh, jeez... Get it for me, Souta-kun!\Is everyone here an idiot? response:	Souta-kun, hurry.
context: Friendship is when you fight your battles together!\There's some cream on your face.\What? Really?\No, a little more to your right.\I can't get it.\Oh, jeez... Get it for me, Souta-kun!\Is everyone here an idiot?\Souta-kun, hurry. response:	Thank you, Souta-kun.
context: There's some cream on your face.\What? Really?\No, a little more to your right.\I can't get it.\Oh, jeez... Get it for me, Souta-kun!\Is everyone here an idiot?\Souta-kun, hurry.\Thank you, Souta-kun. response:	Yakisoba
context: What? Really?\No, a little more to your right.\I can't get it.\Oh, jeez... Get it for me, Souta-kun!\Is everyone here an idiot?\Souta-kun, hurry.\Thank you, Souta-kun.\Yakisoba response:	Sorry, did you wait long?
context: No, a little more to your right.\I can't get it.\Oh, jeez... Get it for me, Souta-kun!\Is everyone here an idiot?\Souta-kun, hurry.\Thank you, Souta-kun.\Yakisoba\Sorry, did you wait long? response:	No. I've been waiting for you all my life.
context: I can't get it.\Oh, jeez... Get it for me, Souta-kun!\Is everyone here an idiot?\Souta-kun, hurry.\Thank you, Souta-kun.\Yakisoba\Sorry, did you wait long?\No. I've been waiting for you all my life. response:	You waited that long?!
context: Oh, jeez... Get it for me, Souta-kun!\Is everyone here an idiot?\Souta-kun, hurry.\Thank you, Souta-kun.\Yakisoba\Sorry, did you wait long?\No. I've been waiting for you all my life.\You waited that long?! response:	It's Akane's turn now!
context: Is everyone here an idiot?\Souta-kun, hurry.\Thank you, Souta-kun.\Yakisoba\Sorry, did you wait long?\No. I've been waiting for you all my life.\You waited that long?!\It's Akane's turn now! response:	This is my first time going somewhere with a boy,
context: Souta-kun, hurry.\Thank you, Souta-kun.\Yakisoba\Sorry, did you wait long?\No. I've been waiting for you all my life.\You waited that long?!\It's Akane's turn now!\This is my first time going somewhere with a boy, response:	so I asked my father and mother what to do.
context: Thank you, Souta-kun.\Yakisoba\Sorry, did you wait long?\No. I've been waiting for you all my life.\You waited that long?!\It's Akane's turn now!\This is my first time going somewhere with a boy,\so I asked my father and mother what to do. response:	Asked them?
context: Yakisoba\Sorry, did you wait long?\No. I've been waiting for you all my life.\You waited that long?!\It's Akane's turn now!\This is my first time going somewhere with a boy,\so I asked my father and mother what to do.\Asked them? response:	My father told me this place would be great.
context: Sorry, did you wait long?\No. I've been waiting for you all my life.\You waited that long?!\It's Akane's turn now!\This is my first time going somewhere with a boy,\so I asked my father and mother what to do.\Asked them?\My father told me this place would be great. response:	Hm?
context: No. I've been waiting for you all my life.\You waited that long?!\It's Akane's turn now!\This is my first time going somewhere with a boy,\so I asked my father and mother what to do.\Asked them?\My father told me this place would be great.\Hm? response:	Okay, here we are!
context: You waited that long?!\It's Akane's turn now!\This is my first time going somewhere with a boy,\so I asked my father and mother what to do.\Asked them?\My father told me this place would be great.\Hm?\Okay, here we are! response:	This is surprisingly normal.
context: It's Akane's turn now!\This is my first time going somewhere with a boy,\so I asked my father and mother what to do.\Asked them?\My father told me this place would be great.\Hm?\Okay, here we are!\This is surprisingly normal. response:	My father said that any couple that got on these boats
context: This is my first time going somewhere with a boy,\so I asked my father and mother what to do.\Asked them?\My father told me this place would be great.\Hm?\Okay, here we are!\This is surprisingly normal.\My father said that any couple that got on these boats response:	would definitely break up, so they're perfect.
context: so I asked my father and mother what to do.\Asked them?\My father told me this place would be great.\Hm?\Okay, here we are!\This is surprisingly normal.\My father said that any couple that got on these boats\would definitely break up, so they're perfect. response:	I get it now.
context: Asked them?\My father told me this place would be great.\Hm?\Okay, here we are!\This is surprisingly normal.\My father said that any couple that got on these boats\would definitely break up, so they're perfect.\I get it now. response:	Anyway, about that.
context: My father told me this place would be great.\Hm?\Okay, here we are!\This is surprisingly normal.\My father said that any couple that got on these boats\would definitely break up, so they're perfect.\I get it now.\Anyway, about that. response:	We're not a couple, so I don't suspect there will be a problem.
context: Hm?\Okay, here we are!\This is surprisingly normal.\My father said that any couple that got on these boats\would definitely break up, so they're perfect.\I get it now.\Anyway, about that.\We're not a couple, so I don't suspect there will be a problem. response:	Actually, since we're not a couple,
context: Okay, here we are!\This is surprisingly normal.\My father said that any couple that got on these boats\would definitely break up, so they're perfect.\I get it now.\Anyway, about that.\We're not a couple, so I don't suspect there will be a problem.\Actually, since we're not a couple, response:	then we'll never leave each other's side.
context: This is surprisingly normal.\My father said that any couple that got on these boats\would definitely break up, so they're perfect.\I get it now.\Anyway, about that.\We're not a couple, so I don't suspect there will be a problem.\Actually, since we're not a couple,\then we'll never leave each other's side. response:	I never thought about that.
context: My father said that any couple that got on these boats\would definitely break up, so they're perfect.\I get it now.\Anyway, about that.\We're not a couple, so I don't suspect there will be a problem.\Actually, since we're not a couple,\then we'll never leave each other's side.\I never thought about that. response:	Of course, I'd like for us to be a couple someday.
context: would definitely break up, so they're perfect.\I get it now.\Anyway, about that.\We're not a couple, so I don't suspect there will be a problem.\Actually, since we're not a couple,\then we'll never leave each other's side.\I never thought about that.\Of course, I'd like for us to be a couple someday. response:	T-Time for me to show you my authentic Italian boating skills.
context: I get it now.\Anyway, about that.\We're not a couple, so I don't suspect there will be a problem.\Actually, since we're not a couple,\then we'll never leave each other's side.\I never thought about that.\Of course, I'd like for us to be a couple someday.\T-Time for me to show you my authentic Italian boating skills. response:	Paddle.
context: Anyway, about that.\We're not a couple, so I don't suspect there will be a problem.\Actually, since we're not a couple,\then we'll never leave each other's side.\I never thought about that.\Of course, I'd like for us to be a couple someday.\T-Time for me to show you my authentic Italian boating skills.\Paddle. response:	Paddle. Paddle.
context: We're not a couple, so I don't suspect there will be a problem.\Actually, since we're not a couple,\then we'll never leave each other's side.\I never thought about that.\Of course, I'd like for us to be a couple someday.\T-Time for me to show you my authentic Italian boating skills.\Paddle.\Paddle. Paddle. response:	I'll concede that was impressive, but something seems off here!
