context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya. response:	TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.
context: TL Note: Zashikiwarashi: A type of Japanese ghost that stays in someone's house.\That's enough!\I did it for your sake!\You said you liked it! So I did it for you, thinking that you'd be happy!\If you're there, answer me.\I don't even want to talk to you!\I'm going to open it.\Hey, don't force it closed! response:	You too, don't open it without my permission!
context: That's enough!\I did it for your sake!\You said you liked it! So I did it for you, thinking that you'd be happy!\If you're there, answer me.\I don't even want to talk to you!\I'm going to open it.\Hey, don't force it closed!\You too, don't open it without my permission! response:	This will be my territory from today on!
context: I did it for your sake!\You said you liked it! So I did it for you, thinking that you'd be happy!\If you're there, answer me.\I don't even want to talk to you!\I'm going to open it.\Hey, don't force it closed!\You too, don't open it without my permission!\This will be my territory from today on! response:	What are you, a kindergartener? So dumb.
context: You said you liked it! So I did it for you, thinking that you'd be happy!\If you're there, answer me.\I don't even want to talk to you!\I'm going to open it.\Hey, don't force it closed!\You too, don't open it without my permission!\This will be my territory from today on!\What are you, a kindergartener? So dumb. response:	You won't understand.
context: If you're there, answer me.\I don't even want to talk to you!\I'm going to open it.\Hey, don't force it closed!\You too, don't open it without my permission!\This will be my territory from today on!\What are you, a kindergartener? So dumb.\You won't understand. response:	Do you know how hurt and betrayed I feel?
context: I don't even want to talk to you!\I'm going to open it.\Hey, don't force it closed!\You too, don't open it without my permission!\This will be my territory from today on!\What are you, a kindergartener? So dumb.\You won't understand.\Do you know how hurt and betrayed I feel? response:	Forget it. I'm going to live here from now on.
context: I'm going to open it.\Hey, don't force it closed!\You too, don't open it without my permission!\This will be my territory from today on!\What are you, a kindergartener? So dumb.\You won't understand.\Do you know how hurt and betrayed I feel?\Forget it. I'm going to live here from now on. response:	I'm never going to come out.
context: Hey, don't force it closed!\You too, don't open it without my permission!\This will be my territory from today on!\What are you, a kindergartener? So dumb.\You won't understand.\Do you know how hurt and betrayed I feel?\Forget it. I'm going to live here from now on.\I'm never going to come out. response:	How is that possible? What about food?
context: You too, don't open it without my permission!\This will be my territory from today on!\What are you, a kindergartener? So dumb.\You won't understand.\Do you know how hurt and betrayed I feel?\Forget it. I'm going to live here from now on.\I'm never going to come out.\How is that possible? What about food? response:	I'll stock up on Oishinbou.
context: This will be my territory from today on!\What are you, a kindergartener? So dumb.\You won't understand.\Do you know how hurt and betrayed I feel?\Forget it. I'm going to live here from now on.\I'm never going to come out.\How is that possible? What about food?\I'll stock up on Oishinbou. response:	How many days worth of that did you bring in there?
context: What are you, a kindergartener? So dumb.\You won't understand.\Do you know how hurt and betrayed I feel?\Forget it. I'm going to live here from now on.\I'm never going to come out.\How is that possible? What about food?\I'll stock up on Oishinbou.\How many days worth of that did you bring in there? response:	Besides...
context: You won't understand.\Do you know how hurt and betrayed I feel?\Forget it. I'm going to live here from now on.\I'm never going to come out.\How is that possible? What about food?\I'll stock up on Oishinbou.\How many days worth of that did you bring in there?\Besides... response:	You'll have trouble with the toilet and such.
context: Do you know how hurt and betrayed I feel?\Forget it. I'm going to live here from now on.\I'm never going to come out.\How is that possible? What about food?\I'll stock up on Oishinbou.\How many days worth of that did you bring in there?\Besides...\You'll have trouble with the toilet and such. response:	I'll get by.
context: Forget it. I'm going to live here from now on.\I'm never going to come out.\How is that possible? What about food?\I'll stock up on Oishinbou.\How many days worth of that did you bring in there?\Besides...\You'll have trouble with the toilet and such.\I'll get by. response:	You can't! And don't do it there!
context: I'm never going to come out.\How is that possible? What about food?\I'll stock up on Oishinbou.\How many days worth of that did you bring in there?\Besides...\You'll have trouble with the toilet and such.\I'll get by.\You can't! And don't do it there! response:	What's wrong?
context: How is that possible? What about food?\I'll stock up on Oishinbou.\How many days worth of that did you bring in there?\Besides...\You'll have trouble with the toilet and such.\I'll get by.\You can't! And don't do it there!\What's wrong? response:	You were so loud that you made me drop my Oishinbou!
context: I'll stock up on Oishinbou.\How many days worth of that did you bring in there?\Besides...\You'll have trouble with the toilet and such.\I'll get by.\You can't! And don't do it there!\What's wrong?\You were so loud that you made me drop my Oishinbou! response:	You're blaming that on me?
context: How many days worth of that did you bring in there?\Besides...\You'll have trouble with the toilet and such.\I'll get by.\You can't! And don't do it there!\What's wrong?\You were so loud that you made me drop my Oishinbou!\You're blaming that on me? response:	I stepped on it!
context: Besides...\You'll have trouble with the toilet and such.\I'll get by.\You can't! And don't do it there!\What's wrong?\You were so loud that you made me drop my Oishinbou!\You're blaming that on me?\I stepped on it! response:	See? A person can't possibly live in a closet.
context: You'll have trouble with the toilet and such.\I'll get by.\You can't! And don't do it there!\What's wrong?\You were so loud that you made me drop my Oishinbou!\You're blaming that on me?\I stepped on it!\See? A person can't possibly live in a closet. response:	Come out, will you?
context: I'll get by.\You can't! And don't do it there!\What's wrong?\You were so loud that you made me drop my Oishinbou!\You're blaming that on me?\I stepped on it!\See? A person can't possibly live in a closet.\Come out, will you? response:	I'm not a person; I'm a god.
context: You can't! And don't do it there!\What's wrong?\You were so loud that you made me drop my Oishinbou!\You're blaming that on me?\I stepped on it!\See? A person can't possibly live in a closet.\Come out, will you?\I'm not a person; I'm a god. response:	I'll show you that I can overcome this hardship.
context: What's wrong?\You were so loud that you made me drop my Oishinbou!\You're blaming that on me?\I stepped on it!\See? A person can't possibly live in a closet.\Come out, will you?\I'm not a person; I'm a god.\I'll show you that I can overcome this hardship. response:	Do whatever you want!
context: You were so loud that you made me drop my Oishinbou!\You're blaming that on me?\I stepped on it!\See? A person can't possibly live in a closet.\Come out, will you?\I'm not a person; I'm a god.\I'll show you that I can overcome this hardship.\Do whatever you want! response:	I will!
context: You're blaming that on me?\I stepped on it!\See? A person can't possibly live in a closet.\Come out, will you?\I'm not a person; I'm a god.\I'll show you that I can overcome this hardship.\Do whatever you want!\I will! response:	I'm going to do my homework! Don't disturb me!
context: I stepped on it!\See? A person can't possibly live in a closet.\Come out, will you?\I'm not a person; I'm a god.\I'll show you that I can overcome this hardship.\Do whatever you want!\I will!\I'm going to do my homework! Don't disturb me! response:	I won't!
context: See? A person can't possibly live in a closet.\Come out, will you?\I'm not a person; I'm a god.\I'll show you that I can overcome this hardship.\Do whatever you want!\I will!\I'm going to do my homework! Don't disturb me!\I won't! response:	Why you!
context: Come out, will you?\I'm not a person; I'm a god.\I'll show you that I can overcome this hardship.\Do whatever you want!\I will!\I'm going to do my homework! Don't disturb me!\I won't!\Why you! response:	These are fried eggs.
context: I'm not a person; I'm a god.\I'll show you that I can overcome this hardship.\Do whatever you want!\I will!\I'm going to do my homework! Don't disturb me!\I won't!\Why you!\These are fried eggs. response:	These are fried vegetables.
context: I'll show you that I can overcome this hardship.\Do whatever you want!\I will!\I'm going to do my homework! Don't disturb me!\I won't!\Why you!\These are fried eggs.\These are fried vegetables. response:	These are fried vegetables and eggs.
context: Do whatever you want!\I will!\I'm going to do my homework! Don't disturb me!\I won't!\Why you!\These are fried eggs.\These are fried vegetables.\These are fried vegetables and eggs. response:	I'm sorry for bothering you every week lately.
context: I will!\I'm going to do my homework! Don't disturb me!\I won't!\Why you!\These are fried eggs.\These are fried vegetables.\These are fried vegetables and eggs.\I'm sorry for bothering you every week lately. response:	Don't worry about it.
context: I'm going to do my homework! Don't disturb me!\I won't!\Why you!\These are fried eggs.\These are fried vegetables.\These are fried vegetables and eggs.\I'm sorry for bothering you every week lately.\Don't worry about it. response:	What's the matter?
context: I won't!\Why you!\These are fried eggs.\These are fried vegetables.\These are fried vegetables and eggs.\I'm sorry for bothering you every week lately.\Don't worry about it.\What's the matter? response:	She's hiding in the closet because of that?
context: Why you!\These are fried eggs.\These are fried vegetables.\These are fried vegetables and eggs.\I'm sorry for bothering you every week lately.\Don't worry about it.\What's the matter?\She's hiding in the closet because of that? response:	Since when?
context: These are fried eggs.\These are fried vegetables.\These are fried vegetables and eggs.\I'm sorry for bothering you every week lately.\Don't worry about it.\What's the matter?\She's hiding in the closet because of that?\Since when? response:	Since this morning.
context: These are fried vegetables.\These are fried vegetables and eggs.\I'm sorry for bothering you every week lately.\Don't worry about it.\What's the matter?\She's hiding in the closet because of that?\Since when?\Since this morning. response:	Yesterday she kept whining and throwing a tantrum.
context: These are fried vegetables and eggs.\I'm sorry for bothering you every week lately.\Don't worry about it.\What's the matter?\She's hiding in the closet because of that?\Since when?\Since this morning.\Yesterday she kept whining and throwing a tantrum. response:	That can't be helped. It's your fault after all.
context: I'm sorry for bothering you every week lately.\Don't worry about it.\What's the matter?\She's hiding in the closet because of that?\Since when?\Since this morning.\Yesterday she kept whining and throwing a tantrum.\That can't be helped. It's your fault after all. response:	Hi, Nagi-san.
context: Don't worry about it.\What's the matter?\She's hiding in the closet because of that?\Since when?\Since this morning.\Yesterday she kept whining and throwing a tantrum.\That can't be helped. It's your fault after all.\Hi, Nagi-san. response:	Is that you, Tsugumi?
context: What's the matter?\She's hiding in the closet because of that?\Since when?\Since this morning.\Yesterday she kept whining and throwing a tantrum.\That can't be helped. It's your fault after all.\Hi, Nagi-san.\Is that you, Tsugumi? response:	I've heard all about it.
context: She's hiding in the closet because of that?\Since when?\Since this morning.\Yesterday she kept whining and throwing a tantrum.\That can't be helped. It's your fault after all.\Hi, Nagi-san.\Is that you, Tsugumi?\I've heard all about it. response:	I know that Jin was mean, but he has apologized.
context: Since when?\Since this morning.\Yesterday she kept whining and throwing a tantrum.\That can't be helped. It's your fault after all.\Hi, Nagi-san.\Is that you, Tsugumi?\I've heard all about it.\I know that Jin was mean, but he has apologized. response:	Why don't you forgive him?
context: Since this morning.\Yesterday she kept whining and throwing a tantrum.\That can't be helped. It's your fault after all.\Hi, Nagi-san.\Is that you, Tsugumi?\I've heard all about it.\I know that Jin was mean, but he has apologized.\Why don't you forgive him? response:	He doesn't mean it!
context: Yesterday she kept whining and throwing a tantrum.\That can't be helped. It's your fault after all.\Hi, Nagi-san.\Is that you, Tsugumi?\I've heard all about it.\I know that Jin was mean, but he has apologized.\Why don't you forgive him?\He doesn't mean it! response:	Of all things, he had to do that while I was taking a bath...
context: That can't be helped. It's your fault after all.\Hi, Nagi-san.\Is that you, Tsugumi?\I've heard all about it.\I know that Jin was mean, but he has apologized.\Why don't you forgive him?\He doesn't mean it!\Of all things, he had to do that while I was taking a bath... response:	It's true that it was thoughtlessness on his part...
context: Hi, Nagi-san.\Is that you, Tsugumi?\I've heard all about it.\I know that Jin was mean, but he has apologized.\Why don't you forgive him?\He doesn't mean it!\Of all things, he had to do that while I was taking a bath...\It's true that it was thoughtlessness on his part... response:	Besides, staying in the closet too long is bad for your eyes.
context: Is that you, Tsugumi?\I've heard all about it.\I know that Jin was mean, but he has apologized.\Why don't you forgive him?\He doesn't mean it!\Of all things, he had to do that while I was taking a bath...\It's true that it was thoughtlessness on his part...\Besides, staying in the closet too long is bad for your eyes. response:	You don't need to worry about that.
context: I've heard all about it.\I know that Jin was mean, but he has apologized.\Why don't you forgive him?\He doesn't mean it!\Of all things, he had to do that while I was taking a bath...\It's true that it was thoughtlessness on his part...\Besides, staying in the closet too long is bad for your eyes.\You don't need to worry about that. response:	I have this purification staff.
context: I know that Jin was mean, but he has apologized.\Why don't you forgive him?\He doesn't mean it!\Of all things, he had to do that while I was taking a bath...\It's true that it was thoughtlessness on his part...\Besides, staying in the closet too long is bad for your eyes.\You don't need to worry about that.\I have this purification staff. response:	Oh, I see...
context: Why don't you forgive him?\He doesn't mean it!\Of all things, he had to do that while I was taking a bath...\It's true that it was thoughtlessness on his part...\Besides, staying in the closet too long is bad for your eyes.\You don't need to worry about that.\I have this purification staff.\Oh, I see... response:	A stick that's useful even in the dark. A slick stick!
context: He doesn't mean it!\Of all things, he had to do that while I was taking a bath...\It's true that it was thoughtlessness on his part...\Besides, staying in the closet too long is bad for your eyes.\You don't need to worry about that.\I have this purification staff.\Oh, I see...\A stick that's useful even in the dark. A slick stick! response:	But it's not healthy if you don't get sunlight.
context: Of all things, he had to do that while I was taking a bath...\It's true that it was thoughtlessness on his part...\Besides, staying in the closet too long is bad for your eyes.\You don't need to worry about that.\I have this purification staff.\Oh, I see...\A stick that's useful even in the dark. A slick stick!\But it's not healthy if you don't get sunlight. response:	You'll also get thirsty if you shut yourself in, right?
context: It's true that it was thoughtlessness on his part...\Besides, staying in the closet too long is bad for your eyes.\You don't need to worry about that.\I have this purification staff.\Oh, I see...\A stick that's useful even in the dark. A slick stick!\But it's not healthy if you don't get sunlight.\You'll also get thirsty if you shut yourself in, right? response:	I told you not to worry.
context: Besides, staying in the closet too long is bad for your eyes.\You don't need to worry about that.\I have this purification staff.\Oh, I see...\A stick that's useful even in the dark. A slick stick!\But it's not healthy if you don't get sunlight.\You'll also get thirsty if you shut yourself in, right?\I told you not to worry. response:	I have my Oishinbou and Capilus.
context: You don't need to worry about that.\I have this purification staff.\Oh, I see...\A stick that's useful even in the dark. A slick stick!\But it's not healthy if you don't get sunlight.\You'll also get thirsty if you shut yourself in, right?\I told you not to worry.\I have my Oishinbou and Capilus. response:	Capilus?
context: I have this purification staff.\Oh, I see...\A stick that's useful even in the dark. A slick stick!\But it's not healthy if you don't get sunlight.\You'll also get thirsty if you shut yourself in, right?\I told you not to worry.\I have my Oishinbou and Capilus.\Capilus? response:	You took my Capilus!
context: Oh, I see...\A stick that's useful even in the dark. A slick stick!\But it's not healthy if you don't get sunlight.\You'll also get thirsty if you shut yourself in, right?\I told you not to worry.\I have my Oishinbou and Capilus.\Capilus?\You took my Capilus! response:	Did not!
context: A stick that's useful even in the dark. A slick stick!\But it's not healthy if you don't get sunlight.\You'll also get thirsty if you shut yourself in, right?\I told you not to worry.\I have my Oishinbou and Capilus.\Capilus?\You took my Capilus!\Did not! response:	Why would you tell such an obvious lie?! Mine's gone!
context: But it's not healthy if you don't get sunlight.\You'll also get thirsty if you shut yourself in, right?\I told you not to worry.\I have my Oishinbou and Capilus.\Capilus?\You took my Capilus!\Did not!\Why would you tell such an obvious lie?! Mine's gone! response:	I didn't take yours! I picked it up!
context: You'll also get thirsty if you shut yourself in, right?\I told you not to worry.\I have my Oishinbou and Capilus.\Capilus?\You took my Capilus!\Did not!\Why would you tell such an obvious lie?! Mine's gone!\I didn't take yours! I picked it up! response:	Are you an elementary school student?!
context: I told you not to worry.\I have my Oishinbou and Capilus.\Capilus?\You took my Capilus!\Did not!\Why would you tell such an obvious lie?! Mine's gone!\I didn't take yours! I picked it up!\Are you an elementary school student?! response:	Jin, give me a minute.
context: I have my Oishinbou and Capilus.\Capilus?\You took my Capilus!\Did not!\Why would you tell such an obvious lie?! Mine's gone!\I didn't take yours! I picked it up!\Are you an elementary school student?!\Jin, give me a minute. response:	Oishinbou in my right hand.
context: Capilus?\You took my Capilus!\Did not!\Why would you tell such an obvious lie?! Mine's gone!\I didn't take yours! I picked it up!\Are you an elementary school student?!\Jin, give me a minute.\Oishinbou in my right hand. response:	Capilus in my left.
context: You took my Capilus!\Did not!\Why would you tell such an obvious lie?! Mine's gone!\I didn't take yours! I picked it up!\Are you an elementary school student?!\Jin, give me a minute.\Oishinbou in my right hand.\Capilus in my left. response:	With these, I can fight for another ten years.
context: Did not!\Why would you tell such an obvious lie?! Mine's gone!\I didn't take yours! I picked it up!\Are you an elementary school student?!\Jin, give me a minute.\Oishinbou in my right hand.\Capilus in my left.\With these, I can fight for another ten years. response:	Lemon flavor, huh?
context: Why would you tell such an obvious lie?! Mine's gone!\I didn't take yours! I picked it up!\Are you an elementary school student?!\Jin, give me a minute.\Oishinbou in my right hand.\Capilus in my left.\With these, I can fight for another ten years.\Lemon flavor, huh? response:	Why is she so mad? I don't get her.
context: I didn't take yours! I picked it up!\Are you an elementary school student?!\Jin, give me a minute.\Oishinbou in my right hand.\Capilus in my left.\With these, I can fight for another ten years.\Lemon flavor, huh?\Why is she so mad? I don't get her. response:	Well, women are delicate.
context: Are you an elementary school student?!\Jin, give me a minute.\Oishinbou in my right hand.\Capilus in my left.\With these, I can fight for another ten years.\Lemon flavor, huh?\Why is she so mad? I don't get her.\Well, women are delicate. response:	This time, I'll talk to her alone.
context: Jin, give me a minute.\Oishinbou in my right hand.\Capilus in my left.\With these, I can fight for another ten years.\Lemon flavor, huh?\Why is she so mad? I don't get her.\Well, women are delicate.\This time, I'll talk to her alone. response:	Who cares if she doesn't come out.
context: Oishinbou in my right hand.\Capilus in my left.\With these, I can fight for another ten years.\Lemon flavor, huh?\Why is she so mad? I don't get her.\Well, women are delicate.\This time, I'll talk to her alone.\Who cares if she doesn't come out. response:	You shouldn't say that.
context: Capilus in my left.\With these, I can fight for another ten years.\Lemon flavor, huh?\Why is she so mad? I don't get her.\Well, women are delicate.\This time, I'll talk to her alone.\Who cares if she doesn't come out.\You shouldn't say that. response:	You're the cause of all this.
context: With these, I can fight for another ten years.\Lemon flavor, huh?\Why is she so mad? I don't get her.\Well, women are delicate.\This time, I'll talk to her alone.\Who cares if she doesn't come out.\You shouldn't say that.\You're the cause of all this. response:	If Nagi-san doesn't come out, you can't use the closet, right?
context: Lemon flavor, huh?\Why is she so mad? I don't get her.\Well, women are delicate.\This time, I'll talk to her alone.\Who cares if she doesn't come out.\You shouldn't say that.\You're the cause of all this.\If Nagi-san doesn't come out, you can't use the closet, right? response:	It's not like there's anything important...
context: Why is she so mad? I don't get her.\Well, women are delicate.\This time, I'll talk to her alone.\Who cares if she doesn't come out.\You shouldn't say that.\You're the cause of all this.\If Nagi-san doesn't come out, you can't use the closet, right?\It's not like there's anything important... response:	See, what did I tell you?
context: Well, women are delicate.\This time, I'll talk to her alone.\Who cares if she doesn't come out.\You shouldn't say that.\You're the cause of all this.\If Nagi-san doesn't come out, you can't use the closet, right?\It's not like there's anything important...\See, what did I tell you? response:	What's inside?
context: This time, I'll talk to her alone.\Who cares if she doesn't come out.\You shouldn't say that.\You're the cause of all this.\If Nagi-san doesn't come out, you can't use the closet, right?\It's not like there's anything important...\See, what did I tell you?\What's inside? response:	All of them have big tits.
context: Who cares if she doesn't come out.\You shouldn't say that.\You're the cause of all this.\If Nagi-san doesn't come out, you can't use the closet, right?\It's not like there's anything important...\See, what did I tell you?\What's inside?\All of them have big tits. response:	No, nothing really.
context: You shouldn't say that.\You're the cause of all this.\If Nagi-san doesn't come out, you can't use the closet, right?\It's not like there's anything important...\See, what did I tell you?\What's inside?\All of them have big tits.\No, nothing really. response:	Anyway, wait in the other room.
context: You're the cause of all this.\If Nagi-san doesn't come out, you can't use the closet, right?\It's not like there's anything important...\See, what did I tell you?\What's inside?\All of them have big tits.\No, nothing really.\Anyway, wait in the other room. response:	You have to apologize when she comes out.
context: If Nagi-san doesn't come out, you can't use the closet, right?\It's not like there's anything important...\See, what did I tell you?\What's inside?\All of them have big tits.\No, nothing really.\Anyway, wait in the other room.\You have to apologize when she comes out. response:	Nagi-san, I...
context: It's not like there's anything important...\See, what did I tell you?\What's inside?\All of them have big tits.\No, nothing really.\Anyway, wait in the other room.\You have to apologize when she comes out.\Nagi-san, I... response:	Jin isn't here, so let's have a girl-to-girl talk.
context: See, what did I tell you?\What's inside?\All of them have big tits.\No, nothing really.\Anyway, wait in the other room.\You have to apologize when she comes out.\Nagi-san, I...\Jin isn't here, so let's have a girl-to-girl talk. response:	It's useless.
context: What's inside?\All of them have big tits.\No, nothing really.\Anyway, wait in the other room.\You have to apologize when she comes out.\Nagi-san, I...\Jin isn't here, so let's have a girl-to-girl talk.\It's useless. response:	My resolution is as strong as the Curved Jewels of Yasakani.
context: All of them have big tits.\No, nothing really.\Anyway, wait in the other room.\You have to apologize when she comes out.\Nagi-san, I...\Jin isn't here, so let's have a girl-to-girl talk.\It's useless.\My resolution is as strong as the Curved Jewels of Yasakani. response:	I understand how you feel.
context: No, nothing really.\Anyway, wait in the other room.\You have to apologize when she comes out.\Nagi-san, I...\Jin isn't here, so let's have a girl-to-girl talk.\It's useless.\My resolution is as strong as the Curved Jewels of Yasakani.\I understand how you feel. response:	If the same thing was done to me, I would get mad too.
context: Anyway, wait in the other room.\You have to apologize when she comes out.\Nagi-san, I...\Jin isn't here, so let's have a girl-to-girl talk.\It's useless.\My resolution is as strong as the Curved Jewels of Yasakani.\I understand how you feel.\If the same thing was done to me, I would get mad too. response:	We need some kind of mental preparation too, right?
context: You have to apologize when she comes out.\Nagi-san, I...\Jin isn't here, so let's have a girl-to-girl talk.\It's useless.\My resolution is as strong as the Curved Jewels of Yasakani.\I understand how you feel.\If the same thing was done to me, I would get mad too.\We need some kind of mental preparation too, right? response:	You think so too?
context: Nagi-san, I...\Jin isn't here, so let's have a girl-to-girl talk.\It's useless.\My resolution is as strong as the Curved Jewels of Yasakani.\I understand how you feel.\If the same thing was done to me, I would get mad too.\We need some kind of mental preparation too, right?\You think so too? response:	What's even more irritating is that he didn't spare a thought for my feelings!
context: Jin isn't here, so let's have a girl-to-girl talk.\It's useless.\My resolution is as strong as the Curved Jewels of Yasakani.\I understand how you feel.\If the same thing was done to me, I would get mad too.\We need some kind of mental preparation too, right?\You think so too?\What's even more irritating is that he didn't spare a thought for my feelings! response:	Well, it wasn't that bad...
context: It's useless.\My resolution is as strong as the Curved Jewels of Yasakani.\I understand how you feel.\If the same thing was done to me, I would get mad too.\We need some kind of mental preparation too, right?\You think so too?\What's even more irritating is that he didn't spare a thought for my feelings!\Well, it wasn't that bad... response:	If not for what happened last night...
context: My resolution is as strong as the Curved Jewels of Yasakani.\I understand how you feel.\If the same thing was done to me, I would get mad too.\We need some kind of mental preparation too, right?\You think so too?\What's even more irritating is that he didn't spare a thought for my feelings!\Well, it wasn't that bad...\If not for what happened last night... response:	I'd have been able to accept Jin!
context: I understand how you feel.\If the same thing was done to me, I would get mad too.\We need some kind of mental preparation too, right?\You think so too?\What's even more irritating is that he didn't spare a thought for my feelings!\Well, it wasn't that bad...\If not for what happened last night...\I'd have been able to accept Jin! response:	I'd even be glad...
context: If the same thing was done to me, I would get mad too.\We need some kind of mental preparation too, right?\You think so too?\What's even more irritating is that he didn't spare a thought for my feelings!\Well, it wasn't that bad...\If not for what happened last night...\I'd have been able to accept Jin!\I'd even be glad... response:	But yesterday...
context: We need some kind of mental preparation too, right?\You think so too?\What's even more irritating is that he didn't spare a thought for my feelings!\Well, it wasn't that bad...\If not for what happened last night...\I'd have been able to accept Jin!\I'd even be glad...\But yesterday... response:	What he did yesterday is unforgivable!
context: You think so too?\What's even more irritating is that he didn't spare a thought for my feelings!\Well, it wasn't that bad...\If not for what happened last night...\I'd have been able to accept Jin!\I'd even be glad...\But yesterday...\What he did yesterday is unforgivable! response:	If only it had happened on another day...
context: What's even more irritating is that he didn't spare a thought for my feelings!\Well, it wasn't that bad...\If not for what happened last night...\I'd have been able to accept Jin!\I'd even be glad...\But yesterday...\What he did yesterday is unforgivable!\If only it had happened on another day... response:	He was too cruel!
context: Well, it wasn't that bad...\If not for what happened last night...\I'd have been able to accept Jin!\I'd even be glad...\But yesterday...\What he did yesterday is unforgivable!\If only it had happened on another day...\He was too cruel! response:	Jin, it's your fault!
context: If not for what happened last night...\I'd have been able to accept Jin!\I'd even be glad...\But yesterday...\What he did yesterday is unforgivable!\If only it had happened on another day...\He was too cruel!\Jin, it's your fault! response:	Because of your own selfish ideas, you toyed with a woman's innocence, you beast!
context: I'd have been able to accept Jin!\I'd even be glad...\But yesterday...\What he did yesterday is unforgivable!\If only it had happened on another day...\He was too cruel!\Jin, it's your fault!\Because of your own selfish ideas, you toyed with a woman's innocence, you beast! response:	All men are wolves!
context: I'd even be glad...\But yesterday...\What he did yesterday is unforgivable!\If only it had happened on another day...\He was too cruel!\Jin, it's your fault!\Because of your own selfish ideas, you toyed with a woman's innocence, you beast!\All men are wolves! response:	And go throw this away!
context: But yesterday...\What he did yesterday is unforgivable!\If only it had happened on another day...\He was too cruel!\Jin, it's your fault!\Because of your own selfish ideas, you toyed with a woman's innocence, you beast!\All men are wolves!\And go throw this away! response:	What did you go talk to her for?
