context: What the hell are you doing? response:	Keep your filthy hands off!
context: I only taught her a way to survive.\It's very hard, having to go without food. It puts you in a dark place.\Doesn't it bring back memories, trading clothes like this?\Of teasing Mrs. Crawford?\Yes! Remember how much fun it was?\And our private fashion shows.\You taught me how to jump rope.\And I learned piano! response:	We played duets together.
context: It's very hard, having to go without food. It puts you in a dark place.\Doesn't it bring back memories, trading clothes like this?\Of teasing Mrs. Crawford?\Yes! Remember how much fun it was?\And our private fashion shows.\You taught me how to jump rope.\And I learned piano!\We played duets together. response:	But we could never get on the same page.
context: Doesn't it bring back memories, trading clothes like this?\Of teasing Mrs. Crawford?\Yes! Remember how much fun it was?\And our private fashion shows.\You taught me how to jump rope.\And I learned piano!\We played duets together.\But we could never get on the same page. response:	But that was the most fun I'd ever had, playing the piano.
context: Of teasing Mrs. Crawford?\Yes! Remember how much fun it was?\And our private fashion shows.\You taught me how to jump rope.\And I learned piano!\We played duets together.\But we could never get on the same page.\But that was the most fun I'd ever had, playing the piano. response:	You know, I've been meaning to ask you.
context: Yes! Remember how much fun it was?\And our private fashion shows.\You taught me how to jump rope.\And I learned piano!\We played duets together.\But we could never get on the same page.\But that was the most fun I'd ever had, playing the piano.\You know, I've been meaning to ask you. response:	What?
context: And our private fashion shows.\You taught me how to jump rope.\And I learned piano!\We played duets together.\But we could never get on the same page.\But that was the most fun I'd ever had, playing the piano.\You know, I've been meaning to ask you.\What? response:	Why do you call me Princess?
context: You taught me how to jump rope.\And I learned piano!\We played duets together.\But we could never get on the same page.\But that was the most fun I'd ever had, playing the piano.\You know, I've been meaning to ask you.\What?\Why do you call me Princess? response:	That's the custom on the Black Lizard Planet.
context: And I learned piano!\We played duets together.\But we could never get on the same page.\But that was the most fun I'd ever had, playing the piano.\You know, I've been meaning to ask you.\What?\Why do you call me Princess?\That's the custom on the Black Lizard Planet. response:	Give me a real answer!
context: We played duets together.\But we could never get on the same page.\But that was the most fun I'd ever had, playing the piano.\You know, I've been meaning to ask you.\What?\Why do you call me Princess?\That's the custom on the Black Lizard Planet.\Give me a real answer! response:	Don't worry.
context: But we could never get on the same page.\But that was the most fun I'd ever had, playing the piano.\You know, I've been meaning to ask you.\What?\Why do you call me Princess?\That's the custom on the Black Lizard Planet.\Give me a real answer!\Don't worry. response:	I don't mean it sarcastically.
context: But that was the most fun I'd ever had, playing the piano.\You know, I've been meaning to ask you.\What?\Why do you call me Princess?\That's the custom on the Black Lizard Planet.\Give me a real answer!\Don't worry.\I don't mean it sarcastically. response:	Then why?
context: You know, I've been meaning to ask you.\What?\Why do you call me Princess?\That's the custom on the Black Lizard Planet.\Give me a real answer!\Don't worry.\I don't mean it sarcastically.\Then why? response:	It's simply out of respect.
context: What?\Why do you call me Princess?\That's the custom on the Black Lizard Planet.\Give me a real answer!\Don't worry.\I don't mean it sarcastically.\Then why?\It's simply out of respect. response:	It is chilly.
context: Why do you call me Princess?\That's the custom on the Black Lizard Planet.\Give me a real answer!\Don't worry.\I don't mean it sarcastically.\Then why?\It's simply out of respect.\It is chilly. response:	Thank you.
context: That's the custom on the Black Lizard Planet.\Give me a real answer!\Don't worry.\I don't mean it sarcastically.\Then why?\It's simply out of respect.\It is chilly.\Thank you. response:	For what?
context: Give me a real answer!\Don't worry.\I don't mean it sarcastically.\Then why?\It's simply out of respect.\It is chilly.\Thank you.\For what? response:	When I came from the front, it worked.
context: Don't worry.\I don't mean it sarcastically.\Then why?\It's simply out of respect.\It is chilly.\Thank you.\For what?\When I came from the front, it worked. response:	Nice arrangement.
context: I don't mean it sarcastically.\Then why?\It's simply out of respect.\It is chilly.\Thank you.\For what?\When I came from the front, it worked.\Nice arrangement. response:	I'm Julie. What's your name?
context: Then why?\It's simply out of respect.\It is chilly.\Thank you.\For what?\When I came from the front, it worked.\Nice arrangement.\I'm Julie. What's your name? response:	Chloe.
context: It's simply out of respect.\It is chilly.\Thank you.\For what?\When I came from the front, it worked.\Nice arrangement.\I'm Julie. What's your name?\Chloe. response:	Hey, Chloe.
context: It is chilly.\Thank you.\For what?\When I came from the front, it worked.\Nice arrangement.\I'm Julie. What's your name?\Chloe.\Hey, Chloe. response:	What?
context: Thank you.\For what?\When I came from the front, it worked.\Nice arrangement.\I'm Julie. What's your name?\Chloe.\Hey, Chloe.\What? response:	Tell me more about the Black Lizard Planet.
context: For what?\When I came from the front, it worked.\Nice arrangement.\I'm Julie. What's your name?\Chloe.\Hey, Chloe.\What?\Tell me more about the Black Lizard Planet. response:	You like stories, don't you?
context: When I came from the front, it worked.\Nice arrangement.\I'm Julie. What's your name?\Chloe.\Hey, Chloe.\What?\Tell me more about the Black Lizard Planet.\You like stories, don't you? response:	Uh-huh. Your stories are so good!
context: Nice arrangement.\I'm Julie. What's your name?\Chloe.\Hey, Chloe.\What?\Tell me more about the Black Lizard Planet.\You like stories, don't you?\Uh-huh. Your stories are so good! response:	Would you like to hear about the flying whales?
context: I'm Julie. What's your name?\Chloe.\Hey, Chloe.\What?\Tell me more about the Black Lizard Planet.\You like stories, don't you?\Uh-huh. Your stories are so good!\Would you like to hear about the flying whales? response:	Or The Man who Turned into a Box?
context: Chloe.\Hey, Chloe.\What?\Tell me more about the Black Lizard Planet.\You like stories, don't you?\Uh-huh. Your stories are so good!\Would you like to hear about the flying whales?\Or The Man who Turned into a Box? response:	There's no royalty on the Black Lizard Planet, is there?
context: Hey, Chloe.\What?\Tell me more about the Black Lizard Planet.\You like stories, don't you?\Uh-huh. Your stories are so good!\Would you like to hear about the flying whales?\Or The Man who Turned into a Box?\There's no royalty on the Black Lizard Planet, is there? response:	And no poor people like me?
context: What?\Tell me more about the Black Lizard Planet.\You like stories, don't you?\Uh-huh. Your stories are so good!\Would you like to hear about the flying whales?\Or The Man who Turned into a Box?\There's no royalty on the Black Lizard Planet, is there?\And no poor people like me? response:	Then it must be a great planet to live on!
context: Tell me more about the Black Lizard Planet.\You like stories, don't you?\Uh-huh. Your stories are so good!\Would you like to hear about the flying whales?\Or The Man who Turned into a Box?\There's no royalty on the Black Lizard Planet, is there?\And no poor people like me?\Then it must be a great planet to live on! response:	Alright, today I'll tell you about the Princess and the Pickpocket.
context: You like stories, don't you?\Uh-huh. Your stories are so good!\Would you like to hear about the flying whales?\Or The Man who Turned into a Box?\There's no royalty on the Black Lizard Planet, is there?\And no poor people like me?\Then it must be a great planet to live on!\Alright, today I'll tell you about the Princess and the Pickpocket. response:	It happened far, far away...
context: Uh-huh. Your stories are so good!\Would you like to hear about the flying whales?\Or The Man who Turned into a Box?\There's no royalty on the Black Lizard Planet, is there?\And no poor people like me?\Then it must be a great planet to live on!\Alright, today I'll tell you about the Princess and the Pickpocket.\It happened far, far away... response:	Even farther than the New World.
context: Would you like to hear about the flying whales?\Or The Man who Turned into a Box?\There's no royalty on the Black Lizard Planet, is there?\And no poor people like me?\Then it must be a great planet to live on!\Alright, today I'll tell you about the Princess and the Pickpocket.\It happened far, far away...\Even farther than the New World. response:	On the Black Lizard Planet.
context: Or The Man who Turned into a Box?\There's no royalty on the Black Lizard Planet, is there?\And no poor people like me?\Then it must be a great planet to live on!\Alright, today I'll tell you about the Princess and the Pickpocket.\It happened far, far away...\Even farther than the New World.\On the Black Lizard Planet. response:	Once upon a time, there lived a little Princess.
context: There's no royalty on the Black Lizard Planet, is there?\And no poor people like me?\Then it must be a great planet to live on!\Alright, today I'll tell you about the Princess and the Pickpocket.\It happened far, far away...\Even farther than the New World.\On the Black Lizard Planet.\Once upon a time, there lived a little Princess. response:	Princess Charlotte!
context: And no poor people like me?\Then it must be a great planet to live on!\Alright, today I'll tell you about the Princess and the Pickpocket.\It happened far, far away...\Even farther than the New World.\On the Black Lizard Planet.\Once upon a time, there lived a little Princess.\Princess Charlotte! response:	It's no use trying to run from us!
context: Then it must be a great planet to live on!\Alright, today I'll tell you about the Princess and the Pickpocket.\It happened far, far away...\Even farther than the New World.\On the Black Lizard Planet.\Once upon a time, there lived a little Princess.\Princess Charlotte!\It's no use trying to run from us! response:	Come out and show yourself!
context: Alright, today I'll tell you about the Princess and the Pickpocket.\It happened far, far away...\Even farther than the New World.\On the Black Lizard Planet.\Once upon a time, there lived a little Princess.\Princess Charlotte!\It's no use trying to run from us!\Come out and show yourself! response:	Etiquette and manners, language and music.
context: It happened far, far away...\Even farther than the New World.\On the Black Lizard Planet.\Once upon a time, there lived a little Princess.\Princess Charlotte!\It's no use trying to run from us!\Come out and show yourself!\Etiquette and manners, language and music. response:	Horseback riding, dance, history, literature, art.
context: Even farther than the New World.\On the Black Lizard Planet.\Once upon a time, there lived a little Princess.\Princess Charlotte!\It's no use trying to run from us!\Come out and show yourself!\Etiquette and manners, language and music.\Horseback riding, dance, history, literature, art. response:	All she ever did was study.
context: On the Black Lizard Planet.\Once upon a time, there lived a little Princess.\Princess Charlotte!\It's no use trying to run from us!\Come out and show yourself!\Etiquette and manners, language and music.\Horseback riding, dance, history, literature, art.\All she ever did was study. response:	The Princess had grown to despise her life at the palace.
context: Once upon a time, there lived a little Princess.\Princess Charlotte!\It's no use trying to run from us!\Come out and show yourself!\Etiquette and manners, language and music.\Horseback riding, dance, history, literature, art.\All she ever did was study.\The Princess had grown to despise her life at the palace. response:	Outside!
context: Princess Charlotte!\It's no use trying to run from us!\Come out and show yourself!\Etiquette and manners, language and music.\Horseback riding, dance, history, literature, art.\All she ever did was study.\The Princess had grown to despise her life at the palace.\Outside! response:	The girl across the wall looked just like the Princess.
context: It's no use trying to run from us!\Come out and show yourself!\Etiquette and manners, language and music.\Horseback riding, dance, history, literature, art.\All she ever did was study.\The Princess had grown to despise her life at the palace.\Outside!\The girl across the wall looked just like the Princess. response:	The girl started to come through the wall to visit every day.
context: Come out and show yourself!\Etiquette and manners, language and music.\Horseback riding, dance, history, literature, art.\All she ever did was study.\The Princess had grown to despise her life at the palace.\Outside!\The girl across the wall looked just like the Princess.\The girl started to come through the wall to visit every day. response:	Hey, Your Highness.
context: Etiquette and manners, language and music.\Horseback riding, dance, history, literature, art.\All she ever did was study.\The Princess had grown to despise her life at the palace.\Outside!\The girl across the wall looked just like the Princess.\The girl started to come through the wall to visit every day.\Hey, Your Highness. response:	Let's be friends!
context: Horseback riding, dance, history, literature, art.\All she ever did was study.\The Princess had grown to despise her life at the palace.\Outside!\The girl across the wall looked just like the Princess.\The girl started to come through the wall to visit every day.\Hey, Your Highness.\Let's be friends! response:	I'm rather a dull girl.
context: All she ever did was study.\The Princess had grown to despise her life at the palace.\Outside!\The girl across the wall looked just like the Princess.\The girl started to come through the wall to visit every day.\Hey, Your Highness.\Let's be friends!\I'm rather a dull girl. response:	I don't think you would like my friendship.
context: The Princess had grown to despise her life at the palace.\Outside!\The girl across the wall looked just like the Princess.\The girl started to come through the wall to visit every day.\Hey, Your Highness.\Let's be friends!\I'm rather a dull girl.\I don't think you would like my friendship. response:	No, I would!
context: Outside!\The girl across the wall looked just like the Princess.\The girl started to come through the wall to visit every day.\Hey, Your Highness.\Let's be friends!\I'm rather a dull girl.\I don't think you would like my friendship.\No, I would! response:	Why?
context: The girl across the wall looked just like the Princess.\The girl started to come through the wall to visit every day.\Hey, Your Highness.\Let's be friends!\I'm rather a dull girl.\I don't think you would like my friendship.\No, I would!\Why? response:	Because we're complete opposites.
context: The girl started to come through the wall to visit every day.\Hey, Your Highness.\Let's be friends!\I'm rather a dull girl.\I don't think you would like my friendship.\No, I would!\Why?\Because we're complete opposites. response:	They played, they laughed...
context: Hey, Your Highness.\Let's be friends!\I'm rather a dull girl.\I don't think you would like my friendship.\No, I would!\Why?\Because we're complete opposites.\They played, they laughed... response:	They traded places, they pulled practical jokes.
context: Let's be friends!\I'm rather a dull girl.\I don't think you would like my friendship.\No, I would!\Why?\Because we're complete opposites.\They played, they laughed...\They traded places, they pulled practical jokes. response:	It was the first friend the Princess had ever had.
context: I'm rather a dull girl.\I don't think you would like my friendship.\No, I would!\Why?\Because we're complete opposites.\They played, they laughed...\They traded places, they pulled practical jokes.\It was the first friend the Princess had ever had. response:	One day, the Princess asked the girl if she would trade places with her.
context: I don't think you would like my friendship.\No, I would!\Why?\Because we're complete opposites.\They played, they laughed...\They traded places, they pulled practical jokes.\It was the first friend the Princess had ever had.\One day, the Princess asked the girl if she would trade places with her. response:	She wanted to see what life was like outside the palace.
context: No, I would!\Why?\Because we're complete opposites.\They played, they laughed...\They traded places, they pulled practical jokes.\It was the first friend the Princess had ever had.\One day, the Princess asked the girl if she would trade places with her.\She wanted to see what life was like outside the palace. response:	Her heart soared at the prospect of seeing a new world.
context: Why?\Because we're complete opposites.\They played, they laughed...\They traded places, they pulled practical jokes.\It was the first friend the Princess had ever had.\One day, the Princess asked the girl if she would trade places with her.\She wanted to see what life was like outside the palace.\Her heart soared at the prospect of seeing a new world. response:	No one would notice her.
context: Because we're complete opposites.\They played, they laughed...\They traded places, they pulled practical jokes.\It was the first friend the Princess had ever had.\One day, the Princess asked the girl if she would trade places with her.\She wanted to see what life was like outside the palace.\Her heart soared at the prospect of seeing a new world.\No one would notice her. response:	No one would ask anything of her.
context: They played, they laughed...\They traded places, they pulled practical jokes.\It was the first friend the Princess had ever had.\One day, the Princess asked the girl if she would trade places with her.\She wanted to see what life was like outside the palace.\Her heart soared at the prospect of seeing a new world.\No one would notice her.\No one would ask anything of her. response:	That is exactly what the Princess wanted.
context: They traded places, they pulled practical jokes.\It was the first friend the Princess had ever had.\One day, the Princess asked the girl if she would trade places with her.\She wanted to see what life was like outside the palace.\Her heart soared at the prospect of seeing a new world.\No one would notice her.\No one would ask anything of her.\That is exactly what the Princess wanted. response:	Ange!
context: It was the first friend the Princess had ever had.\One day, the Princess asked the girl if she would trade places with her.\She wanted to see what life was like outside the palace.\Her heart soared at the prospect of seeing a new world.\No one would notice her.\No one would ask anything of her.\That is exactly what the Princess wanted.\Ange! response:	Oi! Ange!
context: One day, the Princess asked the girl if she would trade places with her.\She wanted to see what life was like outside the palace.\Her heart soared at the prospect of seeing a new world.\No one would notice her.\No one would ask anything of her.\That is exactly what the Princess wanted.\Ange!\Oi! Ange! response:	Little brat, why haven't you done your job?
context: She wanted to see what life was like outside the palace.\Her heart soared at the prospect of seeing a new world.\No one would notice her.\No one would ask anything of her.\That is exactly what the Princess wanted.\Ange!\Oi! Ange!\Little brat, why haven't you done your job? response:	Job?
context: Her heart soared at the prospect of seeing a new world.\No one would notice her.\No one would ask anything of her.\That is exactly what the Princess wanted.\Ange!\Oi! Ange!\Little brat, why haven't you done your job?\Job? response:	Don't play dumb with me!
context: No one would notice her.\No one would ask anything of her.\That is exactly what the Princess wanted.\Ange!\Oi! Ange!\Little brat, why haven't you done your job?\Job?\Don't play dumb with me! response:	You've been slacking off again!
context: No one would ask anything of her.\That is exactly what the Princess wanted.\Ange!\Oi! Ange!\Little brat, why haven't you done your job?\Job?\Don't play dumb with me!\You've been slacking off again! response:	It'll be another night with no dinner for you!
context: That is exactly what the Princess wanted.\Ange!\Oi! Ange!\Little brat, why haven't you done your job?\Job?\Don't play dumb with me!\You've been slacking off again!\It'll be another night with no dinner for you! response:	If you want to fill your belly, you'll do your job tomorrow!
context: Ange!\Oi! Ange!\Little brat, why haven't you done your job?\Job?\Don't play dumb with me!\You've been slacking off again!\It'll be another night with no dinner for you!\If you want to fill your belly, you'll do your job tomorrow! response:	Look! Princess got the highest score again!
context: Oi! Ange!\Little brat, why haven't you done your job?\Job?\Don't play dumb with me!\You've been slacking off again!\It'll be another night with no dinner for you!\If you want to fill your belly, you'll do your job tomorrow!\Look! Princess got the highest score again! response:	Of course she did!
context: Little brat, why haven't you done your job?\Job?\Don't play dumb with me!\You've been slacking off again!\It'll be another night with no dinner for you!\If you want to fill your belly, you'll do your job tomorrow!\Look! Princess got the highest score again!\Of course she did! response:	Horseback riding, dance, and piano, too!
context: Job?\Don't play dumb with me!\You've been slacking off again!\It'll be another night with no dinner for you!\If you want to fill your belly, you'll do your job tomorrow!\Look! Princess got the highest score again!\Of course she did!\Horseback riding, dance, and piano, too! response:	I wish I could be like her!
context: Don't play dumb with me!\You've been slacking off again!\It'll be another night with no dinner for you!\If you want to fill your belly, you'll do your job tomorrow!\Look! Princess got the highest score again!\Of course she did!\Horseback riding, dance, and piano, too!\I wish I could be like her! response:	Thank you for waiting.
context: You've been slacking off again!\It'll be another night with no dinner for you!\If you want to fill your belly, you'll do your job tomorrow!\Look! Princess got the highest score again!\Of course she did!\Horseback riding, dance, and piano, too!\I wish I could be like her!\Thank you for waiting. response:	If I don't practice every day, I'll lose my touch.
