context: It's up! Nice! response:	A feint!
context: I totally thought you were going to hit that.\You scared the crap out of me!\His own team didn't know he was going to do that.\But he was able to hit it so calmly.\They're vicious... How creepy.\Johzenji seems to be doing well after their time out.\Yeah... They're starting to actually look at their opponents as they're playing.\That's not good. response:	Haikyu!!
context: You scared the crap out of me!\His own team didn't know he was going to do that.\But he was able to hit it so calmly.\They're vicious... How creepy.\Johzenji seems to be doing well after their time out.\Yeah... They're starting to actually look at their opponents as they're playing.\That's not good.\Haikyu!! response:	Episode 16: Next
context: His own team didn't know he was going to do that.\But he was able to hit it so calmly.\They're vicious... How creepy.\Johzenji seems to be doing well after their time out.\Yeah... They're starting to actually look at their opponents as they're playing.\That's not good.\Haikyu!!\Episode 16: Next response:	I'm not saying you need to play seriously.
context: But he was able to hit it so calmly.\They're vicious... How creepy.\Johzenji seems to be doing well after their time out.\Yeah... They're starting to actually look at their opponents as they're playing.\That's not good.\Haikyu!!\Episode 16: Next\I'm not saying you need to play seriously. response:	You guys may seem stupid, but you're not, are you?
context: They're vicious... How creepy.\Johzenji seems to be doing well after their time out.\Yeah... They're starting to actually look at their opponents as they're playing.\That's not good.\Haikyu!!\Episode 16: Next\I'm not saying you need to play seriously.\You guys may seem stupid, but you're not, are you? response:	Huh?
context: Johzenji seems to be doing well after their time out.\Yeah... They're starting to actually look at their opponents as they're playing.\That's not good.\Haikyu!!\Episode 16: Next\I'm not saying you need to play seriously.\You guys may seem stupid, but you're not, are you?\Huh? response:	Playing doesn't equal not thinking.
context: Yeah... They're starting to actually look at their opponents as they're playing.\That's not good.\Haikyu!!\Episode 16: Next\I'm not saying you need to play seriously.\You guys may seem stupid, but you're not, are you?\Huh?\Playing doesn't equal not thinking. response:	Left! Left!
context: That's not good.\Haikyu!!\Episode 16: Next\I'm not saying you need to play seriously.\You guys may seem stupid, but you're not, are you?\Huh?\Playing doesn't equal not thinking.\Left! Left! response:	Nice!
context: Haikyu!!\Episode 16: Next\I'm not saying you need to play seriously.\You guys may seem stupid, but you're not, are you?\Huh?\Playing doesn't equal not thinking.\Left! Left!\Nice! response:	It's up! Get the last one!
context: Episode 16: Next\I'm not saying you need to play seriously.\You guys may seem stupid, but you're not, are you?\Huh?\Playing doesn't equal not thinking.\Left! Left!\Nice!\It's up! Get the last one! response:	When you're not sure they're actually going to hit,
context: I'm not saying you need to play seriously.\You guys may seem stupid, but you're not, are you?\Huh?\Playing doesn't equal not thinking.\Left! Left!\Nice!\It's up! Get the last one!\When you're not sure they're actually going to hit, response:	don't go up to block, and take a step back.
context: You guys may seem stupid, but you're not, are you?\Huh?\Playing doesn't equal not thinking.\Left! Left!\Nice!\It's up! Get the last one!\When you're not sure they're actually going to hit,\don't go up to block, and take a step back. response:	Right on point!
context: Huh?\Playing doesn't equal not thinking.\Left! Left!\Nice!\It's up! Get the last one!\When you're not sure they're actually going to hit,\don't go up to block, and take a step back.\Right on point! response:	I have no complaints if you actually stop them.
context: Playing doesn't equal not thinking.\Left! Left!\Nice!\It's up! Get the last one!\When you're not sure they're actually going to hit,\don't go up to block, and take a step back.\Right on point!\I have no complaints if you actually stop them. response:	When you know how to move
context: Left! Left!\Nice!\It's up! Get the last one!\When you're not sure they're actually going to hit,\don't go up to block, and take a step back.\Right on point!\I have no complaints if you actually stop them.\When you know how to move response:	and have the skill to actually do it, that's when you can actually play freely.
context: Nice!\It's up! Get the last one!\When you're not sure they're actually going to hit,\don't go up to block, and take a step back.\Right on point!\I have no complaints if you actually stop them.\When you know how to move\and have the skill to actually do it, that's when you can actually play freely. response:	I guess the more we improve, the more we'll see people like that.
context: It's up! Get the last one!\When you're not sure they're actually going to hit,\don't go up to block, and take a step back.\Right on point!\I have no complaints if you actually stop them.\When you know how to move\and have the skill to actually do it, that's when you can actually play freely.\I guess the more we improve, the more we'll see people like that. response:	Tsukishima, nice serve!
context: When you're not sure they're actually going to hit,\don't go up to block, and take a step back.\Right on point!\I have no complaints if you actually stop them.\When you know how to move\and have the skill to actually do it, that's when you can actually play freely.\I guess the more we improve, the more we'll see people like that.\Tsukishima, nice serve! response:	Here he comes! 10!
context: don't go up to block, and take a step back.\Right on point!\I have no complaints if you actually stop them.\When you know how to move\and have the skill to actually do it, that's when you can actually play freely.\I guess the more we improve, the more we'll see people like that.\Tsukishima, nice serve!\Here he comes! 10! response:	Hey, listen up a sec.
context: Right on point!\I have no complaints if you actually stop them.\When you know how to move\and have the skill to actually do it, that's when you can actually play freely.\I guess the more we improve, the more we'll see people like that.\Tsukishima, nice serve!\Here he comes! 10!\Hey, listen up a sec. response:	Johzenji hasn't been able to stop Hinata's quick yet,
context: I have no complaints if you actually stop them.\When you know how to move\and have the skill to actually do it, that's when you can actually play freely.\I guess the more we improve, the more we'll see people like that.\Tsukishima, nice serve!\Here he comes! 10!\Hey, listen up a sec.\Johzenji hasn't been able to stop Hinata's quick yet, response:	so they'd better get this point.
context: When you know how to move\and have the skill to actually do it, that's when you can actually play freely.\I guess the more we improve, the more we'll see people like that.\Tsukishima, nice serve!\Here he comes! 10!\Hey, listen up a sec.\Johzenji hasn't been able to stop Hinata's quick yet,\so they'd better get this point. response:	Nice receive.
context: and have the skill to actually do it, that's when you can actually play freely.\I guess the more we improve, the more we'll see people like that.\Tsukishima, nice serve!\Here he comes! 10!\Hey, listen up a sec.\Johzenji hasn't been able to stop Hinata's quick yet,\so they'd better get this point.\Nice receive. response:	Their 10 jumped up! That quick is coming!
context: I guess the more we improve, the more we'll see people like that.\Tsukishima, nice serve!\Here he comes! 10!\Hey, listen up a sec.\Johzenji hasn't been able to stop Hinata's quick yet,\so they'd better get this point.\Nice receive.\Their 10 jumped up! That quick is coming! response:	Er, huh?
context: Tsukishima, nice serve!\Here he comes! 10!\Hey, listen up a sec.\Johzenji hasn't been able to stop Hinata's quick yet,\so they'd better get this point.\Nice receive.\Their 10 jumped up! That quick is coming!\Er, huh? response:	Johzenji's blockers aren't marking 10?
context: Here he comes! 10!\Hey, listen up a sec.\Johzenji hasn't been able to stop Hinata's quick yet,\so they'd better get this point.\Nice receive.\Their 10 jumped up! That quick is coming!\Er, huh?\Johzenji's blockers aren't marking 10? response:	If we can't block it, it's better to go for the receive.
context: Hey, listen up a sec.\Johzenji hasn't been able to stop Hinata's quick yet,\so they'd better get this point.\Nice receive.\Their 10 jumped up! That quick is coming!\Er, huh?\Johzenji's blockers aren't marking 10?\If we can't block it, it's better to go for the receive. response:	Whoa! They did it!
context: Johzenji hasn't been able to stop Hinata's quick yet,\so they'd better get this point.\Nice receive.\Their 10 jumped up! That quick is coming!\Er, huh?\Johzenji's blockers aren't marking 10?\If we can't block it, it's better to go for the receive.\Whoa! They did it! response:	They managed to counter by not marking 10!
context: so they'd better get this point.\Nice receive.\Their 10 jumped up! That quick is coming!\Er, huh?\Johzenji's blockers aren't marking 10?\If we can't block it, it's better to go for the receive.\Whoa! They did it!\They managed to counter by not marking 10! response:	It went over!
context: Nice receive.\Their 10 jumped up! That quick is coming!\Er, huh?\Johzenji's blockers aren't marking 10?\If we can't block it, it's better to go for the receive.\Whoa! They did it!\They managed to counter by not marking 10!\It went over! response:	Playing doesn't equal not thinking.
context: Their 10 jumped up! That quick is coming!\Er, huh?\Johzenji's blockers aren't marking 10?\If we can't block it, it's better to go for the receive.\Whoa! They did it!\They managed to counter by not marking 10!\It went over!\Playing doesn't equal not thinking. response:	Having the simulation in your head and reality join together...
context: Er, huh?\Johzenji's blockers aren't marking 10?\If we can't block it, it's better to go for the receive.\Whoa! They did it!\They managed to counter by not marking 10!\It went over!\Playing doesn't equal not thinking.\Having the simulation in your head and reality join together... response:	Karasuno Johzenji
context: Johzenji's blockers aren't marking 10?\If we can't block it, it's better to go for the receive.\Whoa! They did it!\They managed to counter by not marking 10!\It went over!\Playing doesn't equal not thinking.\Having the simulation in your head and reality join together...\Karasuno Johzenji response:	A two-point difference, huh...
context: If we can't block it, it's better to go for the receive.\Whoa! They did it!\They managed to counter by not marking 10!\It went over!\Playing doesn't equal not thinking.\Having the simulation in your head and reality join together...\Karasuno Johzenji\A two-point difference, huh... response:	This happened to them with Aoba Johsai, too.
context: Whoa! They did it!\They managed to counter by not marking 10!\It went over!\Playing doesn't equal not thinking.\Having the simulation in your head and reality join together...\Karasuno Johzenji\A two-point difference, huh...\This happened to them with Aoba Johsai, too. response:	Eh?
context: They managed to counter by not marking 10!\It went over!\Playing doesn't equal not thinking.\Having the simulation in your head and reality join together...\Karasuno Johzenji\A two-point difference, huh...\This happened to them with Aoba Johsai, too.\Eh? response:	Hinata's spike is still pretty light.
context: It went over!\Playing doesn't equal not thinking.\Having the simulation in your head and reality join together...\Karasuno Johzenji\A two-point difference, huh...\This happened to them with Aoba Johsai, too.\Eh?\Hinata's spike is still pretty light. response:	I don't want to get blocked,
context: Playing doesn't equal not thinking.\Having the simulation in your head and reality join together...\Karasuno Johzenji\A two-point difference, huh...\This happened to them with Aoba Johsai, too.\Eh?\Hinata's spike is still pretty light.\I don't want to get blocked, response:	but being ignored by the blockers is even more frustrating. Why?!
context: Having the simulation in your head and reality join together...\Karasuno Johzenji\A two-point difference, huh...\This happened to them with Aoba Johsai, too.\Eh?\Hinata's spike is still pretty light.\I don't want to get blocked,\but being ignored by the blockers is even more frustrating. Why?! response:	Kageyama!
context: Karasuno Johzenji\A two-point difference, huh...\This happened to them with Aoba Johsai, too.\Eh?\Hinata's spike is still pretty light.\I don't want to get blocked,\but being ignored by the blockers is even more frustrating. Why?!\Kageyama! response:	Could you give me another one next time?
context: A two-point difference, huh...\This happened to them with Aoba Johsai, too.\Eh?\Hinata's spike is still pretty light.\I don't want to get blocked,\but being ignored by the blockers is even more frustrating. Why?!\Kageyama!\Could you give me another one next time? response:	One more, nice serve!
context: This happened to them with Aoba Johsai, too.\Eh?\Hinata's spike is still pretty light.\I don't want to get blocked,\but being ignored by the blockers is even more frustrating. Why?!\Kageyama!\Could you give me another one next time?\One more, nice serve! response:	Got it!
context: Eh?\Hinata's spike is still pretty light.\I don't want to get blocked,\but being ignored by the blockers is even more frustrating. Why?!\Kageyama!\Could you give me another one next time?\One more, nice serve!\Got it! response:	I can see it.
context: Hinata's spike is still pretty light.\I don't want to get blocked,\but being ignored by the blockers is even more frustrating. Why?!\Kageyama!\Could you give me another one next time?\One more, nice serve!\Got it!\I can see it. response:	Seriously?
context: I don't want to get blocked,\but being ignored by the blockers is even more frustrating. Why?!\Kageyama!\Could you give me another one next time?\One more, nice serve!\Got it!\I can see it.\Seriously? response:	Nice kill!
context: but being ignored by the blockers is even more frustrating. Why?!\Kageyama!\Could you give me another one next time?\One more, nice serve!\Got it!\I can see it.\Seriously?\Nice kill! response:	I guess this means things have changed since the Seijoh match.
context: Kageyama!\Could you give me another one next time?\One more, nice serve!\Got it!\I can see it.\Seriously?\Nice kill!\I guess this means things have changed since the Seijoh match. response:	Karasuno Johzenji
context: Could you give me another one next time?\One more, nice serve!\Got it!\I can see it.\Seriously?\Nice kill!\I guess this means things have changed since the Seijoh match.\Karasuno Johzenji response:	Hinata! Give'em one more!
context: One more, nice serve!\Got it!\I can see it.\Seriously?\Nice kill!\I guess this means things have changed since the Seijoh match.\Karasuno Johzenji\Hinata! Give'em one more! response:	A receive from that close up?
context: Got it!\I can see it.\Seriously?\Nice kill!\I guess this means things have changed since the Seijoh match.\Karasuno Johzenji\Hinata! Give'em one more!\A receive from that close up? response:	If we can touch it...
context: I can see it.\Seriously?\Nice kill!\I guess this means things have changed since the Seijoh match.\Karasuno Johzenji\Hinata! Give'em one more!\A receive from that close up?\If we can touch it... response:	All right!
context: Seriously?\Nice kill!\I guess this means things have changed since the Seijoh match.\Karasuno Johzenji\Hinata! Give'em one more!\A receive from that close up?\If we can touch it...\All right! response:	So their play is to touch the ball
context: Nice kill!\I guess this means things have changed since the Seijoh match.\Karasuno Johzenji\Hinata! Give'em one more!\A receive from that close up?\If we can touch it...\All right!\So their play is to touch the ball response:	before we can hit it into a space they can't reach.
context: I guess this means things have changed since the Seijoh match.\Karasuno Johzenji\Hinata! Give'em one more!\A receive from that close up?\If we can touch it...\All right!\So their play is to touch the ball\before we can hit it into a space they can't reach. response:	I'll win the next one!
context: Karasuno Johzenji\Hinata! Give'em one more!\A receive from that close up?\If we can touch it...\All right!\So their play is to touch the ball\before we can hit it into a space they can't reach.\I'll win the next one! response:	Hinata, isn't there a move you haven't done yet today?
context: Hinata! Give'em one more!\A receive from that close up?\If we can touch it...\All right!\So their play is to touch the ball\before we can hit it into a space they can't reach.\I'll win the next one!\Hinata, isn't there a move you haven't done yet today? response:	Your new special move.
context: A receive from that close up?\If we can touch it...\All right!\So their play is to touch the ball\before we can hit it into a space they can't reach.\I'll win the next one!\Hinata, isn't there a move you haven't done yet today?\Your new special move. response:	Karasuno Johzenji
context: If we can touch it...\All right!\So their play is to touch the ball\before we can hit it into a space they can't reach.\I'll win the next one!\Hinata, isn't there a move you haven't done yet today?\Your new special move.\Karasuno Johzenji response:	Nice receive!
context: All right!\So their play is to touch the ball\before we can hit it into a space they can't reach.\I'll win the next one!\Hinata, isn't there a move you haven't done yet today?\Your new special move.\Karasuno Johzenji\Nice receive! response:	Go, Hinata!
context: So their play is to touch the ball\before we can hit it into a space they can't reach.\I'll win the next one!\Hinata, isn't there a move you haven't done yet today?\Your new special move.\Karasuno Johzenji\Nice receive!\Go, Hinata! response:	Bring it!
context: before we can hit it into a space they can't reach.\I'll win the next one!\Hinata, isn't there a move you haven't done yet today?\Your new special move.\Karasuno Johzenji\Nice receive!\Go, Hinata!\Bring it! response:	All right!
context: I'll win the next one!\Hinata, isn't there a move you haven't done yet today?\Your new special move.\Karasuno Johzenji\Nice receive!\Go, Hinata!\Bring it!\All right! response:	Karasuno Johzenji
context: Hinata, isn't there a move you haven't done yet today?\Your new special move.\Karasuno Johzenji\Nice receive!\Go, Hinata!\Bring it!\All right!\Karasuno Johzenji response:	Match point!
context: Your new special move.\Karasuno Johzenji\Nice receive!\Go, Hinata!\Bring it!\All right!\Karasuno Johzenji\Match point! response:	All right, you guys...
context: Karasuno Johzenji\Nice receive!\Go, Hinata!\Bring it!\All right!\Karasuno Johzenji\Match point!\All right, you guys... response:	Let's play for real.
context: Nice receive!\Go, Hinata!\Bring it!\All right!\Karasuno Johzenji\Match point!\All right, you guys...\Let's play for real. response:	Simplicity and Fortitude Johzenji Parents' Association
context: Go, Hinata!\Bring it!\All right!\Karasuno Johzenji\Match point!\All right, you guys...\Let's play for real.\Simplicity and Fortitude Johzenji Parents' Association response:	Got it!
context: Bring it!\All right!\Karasuno Johzenji\Match point!\All right, you guys...\Let's play for real.\Simplicity and Fortitude Johzenji Parents' Association\Got it! response:	Another synchronized attack?!
context: All right!\Karasuno Johzenji\Match point!\All right, you guys...\Let's play for real.\Simplicity and Fortitude Johzenji Parents' Association\Got it!\Another synchronized attack?! response:	Those guys aren't thinking about when they mess up,
context: Karasuno Johzenji\Match point!\All right, you guys...\Let's play for real.\Simplicity and Fortitude Johzenji Parents' Association\Got it!\Another synchronized attack?!\Those guys aren't thinking about when they mess up, response:	even for a second.
context: Match point!\All right, you guys...\Let's play for real.\Simplicity and Fortitude Johzenji Parents' Association\Got it!\Another synchronized attack?!\Those guys aren't thinking about when they mess up,\even for a second. response:	Just the pleasure they feel when they succeed.
context: All right, you guys...\Let's play for real.\Simplicity and Fortitude Johzenji Parents' Association\Got it!\Another synchronized attack?!\Those guys aren't thinking about when they mess up,\even for a second.\Just the pleasure they feel when they succeed. response:	Be careful! That one isn't like before!
context: Let's play for real.\Simplicity and Fortitude Johzenji Parents' Association\Got it!\Another synchronized attack?!\Those guys aren't thinking about when they mess up,\even for a second.\Just the pleasure they feel when they succeed.\Be careful! That one isn't like before! response:	All right!
context: Simplicity and Fortitude Johzenji Parents' Association\Got it!\Another synchronized attack?!\Those guys aren't thinking about when they mess up,\even for a second.\Just the pleasure they feel when they succeed.\Be careful! That one isn't like before!\All right! response:	We did it!
context: Got it!\Another synchronized attack?!\Those guys aren't thinking about when they mess up,\even for a second.\Just the pleasure they feel when they succeed.\Be careful! That one isn't like before!\All right!\We did it! response:	Now they've made it into the quarterfinals.
context: Another synchronized attack?!\Those guys aren't thinking about when they mess up,\even for a second.\Just the pleasure they feel when they succeed.\Be careful! That one isn't like before!\All right!\We did it!\Now they've made it into the quarterfinals. response:	I expected that ending...
context: Those guys aren't thinking about when they mess up,\even for a second.\Just the pleasure they feel when they succeed.\Be careful! That one isn't like before!\All right!\We did it!\Now they've made it into the quarterfinals.\I expected that ending... response:	Karasuno Johzenji
context: even for a second.\Just the pleasure they feel when they succeed.\Be careful! That one isn't like before!\All right!\We did it!\Now they've made it into the quarterfinals.\I expected that ending...\Karasuno Johzenji response:	Are we really done? Damn it...
context: Just the pleasure they feel when they succeed.\Be careful! That one isn't like before!\All right!\We did it!\Now they've made it into the quarterfinals.\I expected that ending...\Karasuno Johzenji\Are we really done? Damn it... response:	And I was just getting hyped up!
context: Be careful! That one isn't like before!\All right!\We did it!\Now they've made it into the quarterfinals.\I expected that ending...\Karasuno Johzenji\Are we really done? Damn it...\And I was just getting hyped up! response:	They still look like they want to play.
context: All right!\We did it!\Now they've made it into the quarterfinals.\I expected that ending...\Karasuno Johzenji\Are we really done? Damn it...\And I was just getting hyped up!\They still look like they want to play. response:	They're terrifying...
context: We did it!\Now they've made it into the quarterfinals.\I expected that ending...\Karasuno Johzenji\Are we really done? Damn it...\And I was just getting hyped up!\They still look like they want to play.\They're terrifying... response:	Thanks.
context: Now they've made it into the quarterfinals.\I expected that ending...\Karasuno Johzenji\Are we really done? Damn it...\And I was just getting hyped up!\They still look like they want to play.\They're terrifying...\Thanks. response:	Eh?
context: I expected that ending...\Karasuno Johzenji\Are we really done? Damn it...\And I was just getting hyped up!\They still look like they want to play.\They're terrifying...\Thanks.\Eh? response:	It appears that you really do understand those guys better than I do.
context: Karasuno Johzenji\Are we really done? Damn it...\And I was just getting hyped up!\They still look like they want to play.\They're terrifying...\Thanks.\Eh?\It appears that you really do understand those guys better than I do. response:	Because of that, they didn't completely break down.
context: Are we really done? Damn it...\And I was just getting hyped up!\They still look like they want to play.\They're terrifying...\Thanks.\Eh?\It appears that you really do understand those guys better than I do.\Because of that, they didn't completely break down. response:	I guess I should expect that from a third-year.
context: And I was just getting hyped up!\They still look like they want to play.\They're terrifying...\Thanks.\Eh?\It appears that you really do understand those guys better than I do.\Because of that, they didn't completely break down.\I guess I should expect that from a third-year. response:	No...
context: They still look like they want to play.\They're terrifying...\Thanks.\Eh?\It appears that you really do understand those guys better than I do.\Because of that, they didn't completely break down.\I guess I should expect that from a third-year.\No... response:	Thank you very much!
context: They're terrifying...\Thanks.\Eh?\It appears that you really do understand those guys better than I do.\Because of that, they didn't completely break down.\I guess I should expect that from a third-year.\No...\Thank you very much! response:	So I wasn't imagining it.
context: Thanks.\Eh?\It appears that you really do understand those guys better than I do.\Because of that, they didn't completely break down.\I guess I should expect that from a third-year.\No...\Thank you very much!\So I wasn't imagining it. response:	Their quick is evolving.
context: Eh?\It appears that you really do understand those guys better than I do.\Because of that, they didn't completely break down.\I guess I should expect that from a third-year.\No...\Thank you very much!\So I wasn't imagining it.\Their quick is evolving. response:	All right. I'm gonna go on ahead.
context: It appears that you really do understand those guys better than I do.\Because of that, they didn't completely break down.\I guess I should expect that from a third-year.\No...\Thank you very much!\So I wasn't imagining it.\Their quick is evolving.\All right. I'm gonna go on ahead. response:	Don't stay too long.
context: Because of that, they didn't completely break down.\I guess I should expect that from a third-year.\No...\Thank you very much!\So I wasn't imagining it.\Their quick is evolving.\All right. I'm gonna go on ahead.\Don't stay too long. response:	Johzenji High School
context: I guess I should expect that from a third-year.\No...\Thank you very much!\So I wasn't imagining it.\Their quick is evolving.\All right. I'm gonna go on ahead.\Don't stay too long.\Johzenji High School response:	Well, I guess, if anything...
context: No...\Thank you very much!\So I wasn't imagining it.\Their quick is evolving.\All right. I'm gonna go on ahead.\Don't stay too long.\Johzenji High School\Well, I guess, if anything... response:	I don't mind you guys getting hyped up,
context: Thank you very much!\So I wasn't imagining it.\Their quick is evolving.\All right. I'm gonna go on ahead.\Don't stay too long.\Johzenji High School\Well, I guess, if anything...\I don't mind you guys getting hyped up, response:	just don't lose control.
context: So I wasn't imagining it.\Their quick is evolving.\All right. I'm gonna go on ahead.\Don't stay too long.\Johzenji High School\Well, I guess, if anything...\I don't mind you guys getting hyped up,\just don't lose control. response:	There's no one to whip your butts into shape anymore.
context: Their quick is evolving.\All right. I'm gonna go on ahead.\Don't stay too long.\Johzenji High School\Well, I guess, if anything...\I don't mind you guys getting hyped up,\just don't lose control.\There's no one to whip your butts into shape anymore. response:	All right, dismissed.
context: All right. I'm gonna go on ahead.\Don't stay too long.\Johzenji High School\Well, I guess, if anything...\I don't mind you guys getting hyped up,\just don't lose control.\There's no one to whip your butts into shape anymore.\All right, dismissed. response:	Don't skip your stretches.
context: Don't stay too long.\Johzenji High School\Well, I guess, if anything...\I don't mind you guys getting hyped up,\just don't lose control.\There's no one to whip your butts into shape anymore.\All right, dismissed.\Don't skip your stretches. response:	Ah, um...
context: Johzenji High School\Well, I guess, if anything...\I don't mind you guys getting hyped up,\just don't lose control.\There's no one to whip your butts into shape anymore.\All right, dismissed.\Don't skip your stretches.\Ah, um... response:	Don't you guys give Runa-chan a hard time.
context: Well, I guess, if anything...\I don't mind you guys getting hyped up,\just don't lose control.\There's no one to whip your butts into shape anymore.\All right, dismissed.\Don't skip your stretches.\Ah, um...\Don't you guys give Runa-chan a hard time. response:	She's still a first-year, so I'll be watching you guys.
context: I don't mind you guys getting hyped up,\just don't lose control.\There's no one to whip your butts into shape anymore.\All right, dismissed.\Don't skip your stretches.\Ah, um...\Don't you guys give Runa-chan a hard time.\She's still a first-year, so I'll be watching you guys. response:	Also... About your style where you always go all-out with playing around...
context: just don't lose control.\There's no one to whip your butts into shape anymore.\All right, dismissed.\Don't skip your stretches.\Ah, um...\Don't you guys give Runa-chan a hard time.\She's still a first-year, so I'll be watching you guys.\Also... About your style where you always go all-out with playing around... response:	I actually like that a lot.
context: There's no one to whip your butts into shape anymore.\All right, dismissed.\Don't skip your stretches.\Ah, um...\Don't you guys give Runa-chan a hard time.\She's still a first-year, so I'll be watching you guys.\Also... About your style where you always go all-out with playing around...\I actually like that a lot. response:	Let's go. The next team is here.
context: All right, dismissed.\Don't skip your stretches.\Ah, um...\Don't you guys give Runa-chan a hard time.\She's still a first-year, so I'll be watching you guys.\Also... About your style where you always go all-out with playing around...\I actually like that a lot.\Let's go. The next team is here. response:	Th-Thank you very much!
context: Don't skip your stretches.\Ah, um...\Don't you guys give Runa-chan a hard time.\She's still a first-year, so I'll be watching you guys.\Also... About your style where you always go all-out with playing around...\I actually like that a lot.\Let's go. The next team is here.\Th-Thank you very much! response:	You did it!
context: Ah, um...\Don't you guys give Runa-chan a hard time.\She's still a first-year, so I'll be watching you guys.\Also... About your style where you always go all-out with playing around...\I actually like that a lot.\Let's go. The next team is here.\Th-Thank you very much!\You did it! response:	Ye-ah!
context: Don't you guys give Runa-chan a hard time.\She's still a first-year, so I'll be watching you guys.\Also... About your style where you always go all-out with playing around...\I actually like that a lot.\Let's go. The next team is here.\Th-Thank you very much!\You did it!\Ye-ah! response:	Ye-ah!
context: She's still a first-year, so I'll be watching you guys.\Also... About your style where you always go all-out with playing around...\I actually like that a lot.\Let's go. The next team is here.\Th-Thank you very much!\You did it!\Ye-ah!\Ye-ah! response:	E-Eekyay?!
context: Also... About your style where you always go all-out with playing around...\I actually like that a lot.\Let's go. The next team is here.\Th-Thank you very much!\You did it!\Ye-ah!\Ye-ah!\E-Eekyay?! response:	You both doing a jumping high-five at her is a bit much.
context: I actually like that a lot.\Let's go. The next team is here.\Th-Thank you very much!\You did it!\Ye-ah!\Ye-ah!\E-Eekyay?!\You both doing a jumping high-five at her is a bit much. response:	R-Right...
context: Let's go. The next team is here.\Th-Thank you very much!\You did it!\Ye-ah!\Ye-ah!\E-Eekyay?!\You both doing a jumping high-five at her is a bit much.\R-Right... response:	Yay! Yay! Yay!
context: Th-Thank you very much!\You did it!\Ye-ah!\Ye-ah!\E-Eekyay?!\You both doing a jumping high-five at her is a bit much.\R-Right...\Yay! Yay! Yay! response:	I'm going to stop you tomorrow.
context: You did it!\Ye-ah!\Ye-ah!\E-Eekyay?!\You both doing a jumping high-five at her is a bit much.\R-Right...\Yay! Yay! Yay!\I'm going to stop you tomorrow. response:	And I'm going to get through!
context: Ye-ah!\Ye-ah!\E-Eekyay?!\You both doing a jumping high-five at her is a bit much.\R-Right...\Yay! Yay! Yay!\I'm going to stop you tomorrow.\And I'm going to get through! response:	Shut up!
context: Ye-ah!\E-Eekyay?!\You both doing a jumping high-five at her is a bit much.\R-Right...\Yay! Yay! Yay!\I'm going to stop you tomorrow.\And I'm going to get through!\Shut up! response:	I wonder if he was waiting just to tell Hinata that...
context: E-Eekyay?!\You both doing a jumping high-five at her is a bit much.\R-Right...\Yay! Yay! Yay!\I'm going to stop you tomorrow.\And I'm going to get through!\Shut up!\I wonder if he was waiting just to tell Hinata that... response:	The game on court B's done?
context: You both doing a jumping high-five at her is a bit much.\R-Right...\Yay! Yay! Yay!\I'm going to stop you tomorrow.\And I'm going to get through!\Shut up!\I wonder if he was waiting just to tell Hinata that...\The game on court B's done? response:	That would mean whoever won that game is our next opponent.
