context: Corpseless ...? response:	Yes, something between a Corpse and a human.
context: I'm a Corpse.\I will turn everyone here into Corpse s.\Wh-What are?\You're a Corpseless, not a Corpse.\Your body may be a Corpse, but your mind's still human.\You want me to believe?!\Ayame-san.\This Iron Fortress goes to Daimond Citadel, doesn't it? response:	Yes...
context: I will turn everyone here into Corpse s.\Wh-What are?\You're a Corpseless, not a Corpse.\Your body may be a Corpse, but your mind's still human.\You want me to believe?!\Ayame-san.\This Iron Fortress goes to Daimond Citadel, doesn't it?\Yes... response:	It does according to its schedule.
context: Wh-What are?\You're a Corpseless, not a Corpse.\Your body may be a Corpse, but your mind's still human.\You want me to believe?!\Ayame-san.\This Iron Fortress goes to Daimond Citadel, doesn't it?\Yes...\It does according to its schedule. response:	Daimond Citadel ?
context: You're a Corpseless, not a Corpse.\Your body may be a Corpse, but your mind's still human.\You want me to believe?!\Ayame-san.\This Iron Fortress goes to Daimond Citadel, doesn't it?\Yes...\It does according to its schedule.\Daimond Citadel ? response:	You don't know?
context: Your body may be a Corpse, but your mind's still human.\You want me to believe?!\Ayame-san.\This Iron Fortress goes to Daimond Citadel, doesn't it?\Yes...\It does according to its schedule.\Daimond Citadel ?\You don't know? response:	It's the Warlord's greatest stronghold.
context: You want me to believe?!\Ayame-san.\This Iron Fortress goes to Daimond Citadel, doesn't it?\Yes...\It does according to its schedule.\Daimond Citadel ?\You don't know?\It's the Warlord's greatest stronghold. response:	Ayame-sama, if we are heading to Daimond Citadel
context: Ayame-san.\This Iron Fortress goes to Daimond Citadel, doesn't it?\Yes...\It does according to its schedule.\Daimond Citadel ?\You don't know?\It's the Warlord's greatest stronghold.\Ayame-sama, if we are heading to Daimond Citadel response:	Can you take me there?
context: This Iron Fortress goes to Daimond Citadel, doesn't it?\Yes...\It does according to its schedule.\Daimond Citadel ?\You don't know?\It's the Warlord's greatest stronghold.\Ayame-sama, if we are heading to Daimond Citadel\Can you take me there? response:	If you do, we promise we'll stay in this car.
context: Yes...\It does according to its schedule.\Daimond Citadel ?\You don't know?\It's the Warlord's greatest stronghold.\Ayame-sama, if we are heading to Daimond Citadel\Can you take me there?\If you do, we promise we'll stay in this car. response:	Hey, I'm trying to talk
context: It does according to its schedule.\Daimond Citadel ?\You don't know?\It's the Warlord's greatest stronghold.\Ayame-sama, if we are heading to Daimond Citadel\Can you take me there?\If you do, we promise we'll stay in this car.\Hey, I'm trying to talk response:	Although I'm not leaving this train whether you agree to it or not.
context: Daimond Citadel ?\You don't know?\It's the Warlord's greatest stronghold.\Ayame-sama, if we are heading to Daimond Citadel\Can you take me there?\If you do, we promise we'll stay in this car.\Hey, I'm trying to talk\Although I'm not leaving this train whether you agree to it or not. response:	Are you human or a Corpse?!
context: You don't know?\It's the Warlord's greatest stronghold.\Ayame-sama, if we are heading to Daimond Citadel\Can you take me there?\If you do, we promise we'll stay in this car.\Hey, I'm trying to talk\Although I'm not leaving this train whether you agree to it or not.\Are you human or a Corpse?! response:	I'm neither!
context: It's the Warlord's greatest stronghold.\Ayame-sama, if we are heading to Daimond Citadel\Can you take me there?\If you do, we promise we'll stay in this car.\Hey, I'm trying to talk\Although I'm not leaving this train whether you agree to it or not.\Are you human or a Corpse?!\I'm neither! response:	I'm a Corpseless!
context: Ayame-sama, if we are heading to Daimond Citadel\Can you take me there?\If you do, we promise we'll stay in this car.\Hey, I'm trying to talk\Although I'm not leaving this train whether you agree to it or not.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless! response:	Suzuki-san, that's too dangerous!
context: Can you take me there?\If you do, we promise we'll stay in this car.\Hey, I'm trying to talk\Although I'm not leaving this train whether you agree to it or not.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Suzuki-san, that's too dangerous! response:	I have to look at it from the side.
context: If you do, we promise we'll stay in this car.\Hey, I'm trying to talk\Although I'm not leaving this train whether you agree to it or not.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Suzuki-san, that's too dangerous!\I have to look at it from the side. response:	I can't believe this.
context: Hey, I'm trying to talk\Although I'm not leaving this train whether you agree to it or not.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Suzuki-san, that's too dangerous!\I have to look at it from the side.\I can't believe this. response:	Don't just open the window!
context: Although I'm not leaving this train whether you agree to it or not.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Suzuki-san, that's too dangerous!\I have to look at it from the side.\I can't believe this.\Don't just open the window! response:	It's one per person.
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Suzuki-san, that's too dangerous!\I have to look at it from the side.\I can't believe this.\Don't just open the window!\It's one per person. response:	We'll be back this evening with more food.
context: I'm neither!\I'm a Corpseless!\Suzuki-san, that's too dangerous!\I have to look at it from the side.\I can't believe this.\Don't just open the window!\It's one per person.\We'll be back this evening with more food. response:	Like this is going to be enough.
context: I'm a Corpseless!\Suzuki-san, that's too dangerous!\I have to look at it from the side.\I can't believe this.\Don't just open the window!\It's one per person.\We'll be back this evening with more food.\Like this is going to be enough. response:	Here you go.
context: Suzuki-san, that's too dangerous!\I have to look at it from the side.\I can't believe this.\Don't just open the window!\It's one per person.\We'll be back this evening with more food.\Like this is going to be enough.\Here you go. response:	Thank you.
context: I have to look at it from the side.\I can't believe this.\Don't just open the window!\It's one per person.\We'll be back this evening with more food.\Like this is going to be enough.\Here you go.\Thank you. response:	And this is for your unborn baby.
context: I can't believe this.\Don't just open the window!\It's one per person.\We'll be back this evening with more food.\Like this is going to be enough.\Here you go.\Thank you.\And this is for your unborn baby. response:	There isn't enough food and water for the number of people that are onboard.
context: Don't just open the window!\It's one per person.\We'll be back this evening with more food.\Like this is going to be enough.\Here you go.\Thank you.\And this is for your unborn baby.\There isn't enough food and water for the number of people that are onboard. response:	Are we going to make it?
context: It's one per person.\We'll be back this evening with more food.\Like this is going to be enough.\Here you go.\Thank you.\And this is for your unborn baby.\There isn't enough food and water for the number of people that are onboard.\Are we going to make it? response:	We still have to try.
context: We'll be back this evening with more food.\Like this is going to be enough.\Here you go.\Thank you.\And this is for your unborn baby.\There isn't enough food and water for the number of people that are onboard.\Are we going to make it?\We still have to try. response:	It's the last safe place we can go to.
context: Like this is going to be enough.\Here you go.\Thank you.\And this is for your unborn baby.\There isn't enough food and water for the number of people that are onboard.\Are we going to make it?\We still have to try.\It's the last safe place we can go to. response:	But what if Daimond Citadel doesn't take us in?
context: Here you go.\Thank you.\And this is for your unborn baby.\There isn't enough food and water for the number of people that are onboard.\Are we going to make it?\We still have to try.\It's the last safe place we can go to.\But what if Daimond Citadel doesn't take us in? response:	I have food rations.
context: Thank you.\And this is for your unborn baby.\There isn't enough food and water for the number of people that are onboard.\Are we going to make it?\We still have to try.\It's the last safe place we can go to.\But what if Daimond Citadel doesn't take us in?\I have food rations. response:	The current elder is Ayame-sama's uncle.
context: And this is for your unborn baby.\There isn't enough food and water for the number of people that are onboard.\Are we going to make it?\We still have to try.\It's the last safe place we can go to.\But what if Daimond Citadel doesn't take us in?\I have food rations.\The current elder is Ayame-sama's uncle. response:	We will not be turned away.
context: There isn't enough food and water for the number of people that are onboard.\Are we going to make it?\We still have to try.\It's the last safe place we can go to.\But what if Daimond Citadel doesn't take us in?\I have food rations.\The current elder is Ayame-sama's uncle.\We will not be turned away. response:	Stop!
context: Are we going to make it?\We still have to try.\It's the last safe place we can go to.\But what if Daimond Citadel doesn't take us in?\I have food rations.\The current elder is Ayame-sama's uncle.\We will not be turned away.\Stop! response:	You have oil all over your hands!
context: We still have to try.\It's the last safe place we can go to.\But what if Daimond Citadel doesn't take us in?\I have food rations.\The current elder is Ayame-sama's uncle.\We will not be turned away.\Stop!\You have oil all over your hands! response:	It's my body!
context: It's the last safe place we can go to.\But what if Daimond Citadel doesn't take us in?\I have food rations.\The current elder is Ayame-sama's uncle.\We will not be turned away.\Stop!\You have oil all over your hands!\It's my body! response:	A body mother gave you!
context: But what if Daimond Citadel doesn't take us in?\I have food rations.\The current elder is Ayame-sama's uncle.\We will not be turned away.\Stop!\You have oil all over your hands!\It's my body!\A body mother gave you! response:	Your body's healed, hasn't it?
context: I have food rations.\The current elder is Ayame-sama's uncle.\We will not be turned away.\Stop!\You have oil all over your hands!\It's my body!\A body mother gave you!\Your body's healed, hasn't it? response:	It's because your body is a Corpse's.
context: The current elder is Ayame-sama's uncle.\We will not be turned away.\Stop!\You have oil all over your hands!\It's my body!\A body mother gave you!\Your body's healed, hasn't it?\It's because your body is a Corpse's. response:	You should be able to move around fine now.
context: We will not be turned away.\Stop!\You have oil all over your hands!\It's my body!\A body mother gave you!\Your body's healed, hasn't it?\It's because your body is a Corpse's.\You should be able to move around fine now. response:	You said you were going to Daimond Citadel.
context: Stop!\You have oil all over your hands!\It's my body!\A body mother gave you!\Your body's healed, hasn't it?\It's because your body is a Corpse's.\You should be able to move around fine now.\You said you were going to Daimond Citadel. response:	I promised my brother.
context: You have oil all over your hands!\It's my body!\A body mother gave you!\Your body's healed, hasn't it?\It's because your body is a Corpse's.\You should be able to move around fine now.\You said you were going to Daimond Citadel.\I promised my brother. response:	I can't tell you what, but I'm on an important mission.
context: It's my body!\A body mother gave you!\Your body's healed, hasn't it?\It's because your body is a Corpse's.\You should be able to move around fine now.\You said you were going to Daimond Citadel.\I promised my brother.\I can't tell you what, but I'm on an important mission. response:	Are you interested in Daimond Citadel too?
context: A body mother gave you!\Your body's healed, hasn't it?\It's because your body is a Corpse's.\You should be able to move around fine now.\You said you were going to Daimond Citadel.\I promised my brother.\I can't tell you what, but I'm on an important mission.\Are you interested in Daimond Citadel too? response:	They're at the forefront of Corpses research.
context: Your body's healed, hasn't it?\It's because your body is a Corpse's.\You should be able to move around fine now.\You said you were going to Daimond Citadel.\I promised my brother.\I can't tell you what, but I'm on an important mission.\Are you interested in Daimond Citadel too?\They're at the forefront of Corpses research. response:	They might be able to do something... about this Corpseless condition.
context: It's because your body is a Corpse's.\You should be able to move around fine now.\You said you were going to Daimond Citadel.\I promised my brother.\I can't tell you what, but I'm on an important mission.\Are you interested in Daimond Citadel too?\They're at the forefront of Corpses research.\They might be able to do something... about this Corpseless condition. response:	Didn't you want to get off?
context: You should be able to move around fine now.\You said you were going to Daimond Citadel.\I promised my brother.\I can't tell you what, but I'm on an important mission.\Are you interested in Daimond Citadel too?\They're at the forefront of Corpses research.\They might be able to do something... about this Corpseless condition.\Didn't you want to get off? response:	It's not that I fully believe... your Corpseless story.
context: You said you were going to Daimond Citadel.\I promised my brother.\I can't tell you what, but I'm on an important mission.\Are you interested in Daimond Citadel too?\They're at the forefront of Corpses research.\They might be able to do something... about this Corpseless condition.\Didn't you want to get off?\It's not that I fully believe... your Corpseless story. response:	But... if I'm trapped inside this boiler car for three days...
context: I promised my brother.\I can't tell you what, but I'm on an important mission.\Are you interested in Daimond Citadel too?\They're at the forefront of Corpses research.\They might be able to do something... about this Corpseless condition.\Didn't you want to get off?\It's not that I fully believe... your Corpseless story.\But... if I'm trapped inside this boiler car for three days... response:	Then it's decided.
context: I can't tell you what, but I'm on an important mission.\Are you interested in Daimond Citadel too?\They're at the forefront of Corpses research.\They might be able to do something... about this Corpseless condition.\Didn't you want to get off?\It's not that I fully believe... your Corpseless story.\But... if I'm trapped inside this boiler car for three days...\Then it's decided. response:	Decided?
context: Are you interested in Daimond Citadel too?\They're at the forefront of Corpses research.\They might be able to do something... about this Corpseless condition.\Didn't you want to get off?\It's not that I fully believe... your Corpseless story.\But... if I'm trapped inside this boiler car for three days...\Then it's decided.\Decided? response:	You'll ride the Iron Fortress with me.
context: They're at the forefront of Corpses research.\They might be able to do something... about this Corpseless condition.\Didn't you want to get off?\It's not that I fully believe... your Corpseless story.\But... if I'm trapped inside this boiler car for three days...\Then it's decided.\Decided?\You'll ride the Iron Fortress with me. response:	And you will be my shield.
context: They might be able to do something... about this Corpseless condition.\Didn't you want to get off?\It's not that I fully believe... your Corpseless story.\But... if I'm trapped inside this boiler car for three days...\Then it's decided.\Decided?\You'll ride the Iron Fortress with me.\And you will be my shield. response:	Shield?
context: Didn't you want to get off?\It's not that I fully believe... your Corpseless story.\But... if I'm trapped inside this boiler car for three days...\Then it's decided.\Decided?\You'll ride the Iron Fortress with me.\And you will be my shield.\Shield? response:	When I fight for too long, I fall asleep.
context: It's not that I fully believe... your Corpseless story.\But... if I'm trapped inside this boiler car for three days...\Then it's decided.\Decided?\You'll ride the Iron Fortress with me.\And you will be my shield.\Shield?\When I fight for too long, I fall asleep. response:	That's why I need a living shield.
context: But... if I'm trapped inside this boiler car for three days...\Then it's decided.\Decided?\You'll ride the Iron Fortress with me.\And you will be my shield.\Shield?\When I fight for too long, I fall asleep.\That's why I need a living shield. response:	It's not like you have to worry about getting bit by a Corpse, right?
context: Then it's decided.\Decided?\You'll ride the Iron Fortress with me.\And you will be my shield.\Shield?\When I fight for too long, I fall asleep.\That's why I need a living shield.\It's not like you have to worry about getting bit by a Corpse, right? response:	Don't be ridi
context: Decided?\You'll ride the Iron Fortress with me.\And you will be my shield.\Shield?\When I fight for too long, I fall asleep.\That's why I need a living shield.\It's not like you have to worry about getting bit by a Corpse, right?\Don't be ridi response:	You're going to Daimond Citadel, right?
context: You'll ride the Iron Fortress with me.\And you will be my shield.\Shield?\When I fight for too long, I fall asleep.\That's why I need a living shield.\It's not like you have to worry about getting bit by a Corpse, right?\Don't be ridi\You're going to Daimond Citadel, right? response:	Then stand up. We're going to start.
context: And you will be my shield.\Shield?\When I fight for too long, I fall asleep.\That's why I need a living shield.\It's not like you have to worry about getting bit by a Corpse, right?\Don't be ridi\You're going to Daimond Citadel, right?\Then stand up. We're going to start. response:	Start what?
context: Shield?\When I fight for too long, I fall asleep.\That's why I need a living shield.\It's not like you have to worry about getting bit by a Corpse, right?\Don't be ridi\You're going to Daimond Citadel, right?\Then stand up. We're going to start.\Start what? response:	Training, obviously.
context: When I fight for too long, I fall asleep.\That's why I need a living shield.\It's not like you have to worry about getting bit by a Corpse, right?\Don't be ridi\You're going to Daimond Citadel, right?\Then stand up. We're going to start.\Start what?\Training, obviously. response:	You're not much of a shield right now!
context: That's why I need a living shield.\It's not like you have to worry about getting bit by a Corpse, right?\Don't be ridi\You're going to Daimond Citadel, right?\Then stand up. We're going to start.\Start what?\Training, obviously.\You're not much of a shield right now! response:	Hold on!
context: It's not like you have to worry about getting bit by a Corpse, right?\Don't be ridi\You're going to Daimond Citadel, right?\Then stand up. We're going to start.\Start what?\Training, obviously.\You're not much of a shield right now!\Hold on! response:	Your motions are too big.
context: Don't be ridi\You're going to Daimond Citadel, right?\Then stand up. We're going to start.\Start what?\Training, obviously.\You're not much of a shield right now!\Hold on!\Your motions are too big. response:	Your feet are dragging.
context: You're going to Daimond Citadel, right?\Then stand up. We're going to start.\Start what?\Training, obviously.\You're not much of a shield right now!\Hold on!\Your motions are too big.\Your feet are dragging. response:	Wait!
context: Then stand up. We're going to start.\Start what?\Training, obviously.\You're not much of a shield right now!\Hold on!\Your motions are too big.\Your feet are dragging.\Wait! response:	How could you let the Corpse onto the train?
context: Start what?\Training, obviously.\You're not much of a shield right now!\Hold on!\Your motions are too big.\Your feet are dragging.\Wait!\How could you let the Corpse onto the train? response:	It's still not too late.
context: Training, obviously.\You're not much of a shield right now!\Hold on!\Your motions are too big.\Your feet are dragging.\Wait!\How could you let the Corpse onto the train?\It's still not too late. response:	We should throw the Corpses off!
context: You're not much of a shield right now!\Hold on!\Your motions are too big.\Your feet are dragging.\Wait!\How could you let the Corpse onto the train?\It's still not too late.\We should throw the Corpses off! response:	They promised they would remain in the rear car.
context: Hold on!\Your motions are too big.\Your feet are dragging.\Wait!\How could you let the Corpse onto the train?\It's still not too late.\We should throw the Corpses off!\They promised they would remain in the rear car. response:	Like a Corpse knows how to keep a promise?!
context: Your motions are too big.\Your feet are dragging.\Wait!\How could you let the Corpse onto the train?\It's still not too late.\We should throw the Corpses off!\They promised they would remain in the rear car.\Like a Corpse knows how to keep a promise?! response:	Do the Six Chiefs not have any sense of gratitude?
context: Your feet are dragging.\Wait!\How could you let the Corpse onto the train?\It's still not too late.\We should throw the Corpses off!\They promised they would remain in the rear car.\Like a Corpse knows how to keep a promise?!\Do the Six Chiefs not have any sense of gratitude? response:	And that man has tried to do the right thing even before becoming a Corpse.
context: Wait!\How could you let the Corpse onto the train?\It's still not too late.\We should throw the Corpses off!\They promised they would remain in the rear car.\Like a Corpse knows how to keep a promise?!\Do the Six Chiefs not have any sense of gratitude?\And that man has tried to do the right thing even before becoming a Corpse. response:	Y-You cannot just barge in here!
context: How could you let the Corpse onto the train?\It's still not too late.\We should throw the Corpses off!\They promised they would remain in the rear car.\Like a Corpse knows how to keep a promise?!\Do the Six Chiefs not have any sense of gratitude?\And that man has tried to do the right thing even before becoming a Corpse.\Y-You cannot just barge in here! response:	They demand we stop the Iron Fortress.
context: It's still not too late.\We should throw the Corpses off!\They promised they would remain in the rear car.\Like a Corpse knows how to keep a promise?!\Do the Six Chiefs not have any sense of gratitude?\And that man has tried to do the right thing even before becoming a Corpse.\Y-You cannot just barge in here!\They demand we stop the Iron Fortress. response:	They won't listen.
context: We should throw the Corpses off!\They promised they would remain in the rear car.\Like a Corpse knows how to keep a promise?!\Do the Six Chiefs not have any sense of gratitude?\And that man has tried to do the right thing even before becoming a Corpse.\Y-You cannot just barge in here!\They demand we stop the Iron Fortress.\They won't listen. response:	Please stop the train.
context: They promised they would remain in the rear car.\Like a Corpse knows how to keep a promise?!\Do the Six Chiefs not have any sense of gratitude?\And that man has tried to do the right thing even before becoming a Corpse.\Y-You cannot just barge in here!\They demand we stop the Iron Fortress.\They won't listen.\Please stop the train. response:	We want to hold a funeral.
context: Like a Corpse knows how to keep a promise?!\Do the Six Chiefs not have any sense of gratitude?\And that man has tried to do the right thing even before becoming a Corpse.\Y-You cannot just barge in here!\They demand we stop the Iron Fortress.\They won't listen.\Please stop the train.\We want to hold a funeral. response:	We want to pray for our family.
context: Do the Six Chiefs not have any sense of gratitude?\And that man has tried to do the right thing even before becoming a Corpse.\Y-You cannot just barge in here!\They demand we stop the Iron Fortress.\They won't listen.\Please stop the train.\We want to hold a funeral.\We want to pray for our family. response:	Our prayers will not reach them if we go too far.
context: And that man has tried to do the right thing even before becoming a Corpse.\Y-You cannot just barge in here!\They demand we stop the Iron Fortress.\They won't listen.\Please stop the train.\We want to hold a funeral.\We want to pray for our family.\Our prayers will not reach them if we go too far. response:	Do you want our grandchildren unable to pass on?!
context: Y-You cannot just barge in here!\They demand we stop the Iron Fortress.\They won't listen.\Please stop the train.\We want to hold a funeral.\We want to pray for our family.\Our prayers will not reach them if we go too far.\Do you want our grandchildren unable to pass on?! response:	You're hopeless, how many times do I have to tell you?
context: They demand we stop the Iron Fortress.\They won't listen.\Please stop the train.\We want to hold a funeral.\We want to pray for our family.\Our prayers will not reach them if we go too far.\Do you want our grandchildren unable to pass on?!\You're hopeless, how many times do I have to tell you? response:	You spin around and boom, boom, bam.
context: They won't listen.\Please stop the train.\We want to hold a funeral.\We want to pray for our family.\Our prayers will not reach them if we go too far.\Do you want our grandchildren unable to pass on?!\You're hopeless, how many times do I have to tell you?\You spin around and boom, boom, bam. response:	You're not even close.
context: Please stop the train.\We want to hold a funeral.\We want to pray for our family.\Our prayers will not reach them if we go too far.\Do you want our grandchildren unable to pass on?!\You're hopeless, how many times do I have to tell you?\You spin around and boom, boom, bam.\You're not even close. response:	Ju Just because you can do it...
context: We want to hold a funeral.\We want to pray for our family.\Our prayers will not reach them if we go too far.\Do you want our grandchildren unable to pass on?!\You're hopeless, how many times do I have to tell you?\You spin around and boom, boom, bam.\You're not even close.\Ju Just because you can do it... response:	Get it together already.
context: We want to pray for our family.\Our prayers will not reach them if we go too far.\Do you want our grandchildren unable to pass on?!\You're hopeless, how many times do I have to tell you?\You spin around and boom, boom, bam.\You're not even close.\Ju Just because you can do it...\Get it together already. response:	You're already getting overpowered when I haven't even removed my restraint.
context: Our prayers will not reach them if we go too far.\Do you want our grandchildren unable to pass on?!\You're hopeless, how many times do I have to tell you?\You spin around and boom, boom, bam.\You're not even close.\Ju Just because you can do it...\Get it together already.\You're already getting overpowered when I haven't even removed my restraint. response:	What is that thing around your neck for?
context: Do you want our grandchildren unable to pass on?!\You're hopeless, how many times do I have to tell you?\You spin around and boom, boom, bam.\You're not even close.\Ju Just because you can do it...\Get it together already.\You're already getting overpowered when I haven't even removed my restraint.\What is that thing around your neck for? response:	Probably the same as yours.
context: You're hopeless, how many times do I have to tell you?\You spin around and boom, boom, bam.\You're not even close.\Ju Just because you can do it...\Get it together already.\You're already getting overpowered when I haven't even removed my restraint.\What is that thing around your neck for?\Probably the same as yours. response:	It's just that if I remove mine, I can fight at my full potential.
context: You spin around and boom, boom, bam.\You're not even close.\Ju Just because you can do it...\Get it together already.\You're already getting overpowered when I haven't even removed my restraint.\What is that thing around your neck for?\Probably the same as yours.\It's just that if I remove mine, I can fight at my full potential. response:	But after a while, the curse spreads and I get tired.
context: You're not even close.\Ju Just because you can do it...\Get it together already.\You're already getting overpowered when I haven't even removed my restraint.\What is that thing around your neck for?\Probably the same as yours.\It's just that if I remove mine, I can fight at my full potential.\But after a while, the curse spreads and I get tired. response:	It's strange...
context: Ju Just because you can do it...\Get it together already.\You're already getting overpowered when I haven't even removed my restraint.\What is that thing around your neck for?\Probably the same as yours.\It's just that if I remove mine, I can fight at my full potential.\But after a while, the curse spreads and I get tired.\It's strange... response:	Corpse?
context: Get it together already.\You're already getting overpowered when I haven't even removed my restraint.\What is that thing around your neck for?\Probably the same as yours.\It's just that if I remove mine, I can fight at my full potential.\But after a while, the curse spreads and I get tired.\It's strange...\Corpse? response:	What is it?
context: You're already getting overpowered when I haven't even removed my restraint.\What is that thing around your neck for?\Probably the same as yours.\It's just that if I remove mine, I can fight at my full potential.\But after a while, the curse spreads and I get tired.\It's strange...\Corpse?\What is it? response:	H-Hey!
context: What is that thing around your neck for?\Probably the same as yours.\It's just that if I remove mine, I can fight at my full potential.\But after a while, the curse spreads and I get tired.\It's strange...\Corpse?\What is it?\H-Hey! response:	Nameless!
context: Probably the same as yours.\It's just that if I remove mine, I can fight at my full potential.\But after a while, the curse spreads and I get tired.\It's strange...\Corpse?\What is it?\H-Hey!\Nameless! response:	What are you doing?!
context: It's just that if I remove mine, I can fight at my full potential.\But after a while, the curse spreads and I get tired.\It's strange...\Corpse?\What is it?\H-Hey!\Nameless!\What are you doing?! response:	Please stop.
context: But after a while, the curse spreads and I get tired.\It's strange...\Corpse?\What is it?\H-Hey!\Nameless!\What are you doing?!\Please stop. response:	I saw it!
context: It's strange...\Corpse?\What is it?\H-Hey!\Nameless!\What are you doing?!\Please stop.\I saw it! response:	You have got two!
context: Corpse?\What is it?\H-Hey!\Nameless!\What are you doing?!\Please stop.\I saw it!\You have got two! response:	It's the Corpse!
context: What is it?\H-Hey!\Nameless!\What are you doing?!\Please stop.\I saw it!\You have got two!\It's the Corpse! response:	The Corpse!
context: H-Hey!\Nameless!\What are you doing?!\Please stop.\I saw it!\You have got two!\It's the Corpse!\The Corpse! response:	She's not supposed to come out!
context: Nameless!\What are you doing?!\Please stop.\I saw it!\You have got two!\It's the Corpse!\The Corpse!\She's not supposed to come out! response:	It's the Corpse!
context: What are you doing?!\Please stop.\I saw it!\You have got two!\It's the Corpse!\The Corpse!\She's not supposed to come out!\It's the Corpse! response:	The Corpse are loose!
context: Please stop.\I saw it!\You have got two!\It's the Corpse!\The Corpse!\She's not supposed to come out!\It's the Corpse!\The Corpse are loose! response:	If definitely felt it.
context: I saw it!\You have got two!\It's the Corpse!\The Corpse!\She's not supposed to come out!\It's the Corpse!\The Corpse are loose!\If definitely felt it. response:	Come back, Nameless!
context: You have got two!\It's the Corpse!\The Corpse!\She's not supposed to come out!\It's the Corpse!\The Corpse are loose!\If definitely felt it.\Come back, Nameless! response:	You promised you were going to stay in the boiler car.
context: It's the Corpse!\The Corpse!\She's not supposed to come out!\It's the Corpse!\The Corpse are loose!\If definitely felt it.\Come back, Nameless!\You promised you were going to stay in the boiler car. response:	Stay out of my way!
context: The Corpse!\She's not supposed to come out!\It's the Corpse!\The Corpse are loose!\If definitely felt it.\Come back, Nameless!\You promised you were going to stay in the boiler car.\Stay out of my way! response:	Don't move!
context: She's not supposed to come out!\It's the Corpse!\The Corpse are loose!\If definitely felt it.\Come back, Nameless!\You promised you were going to stay in the boiler car.\Stay out of my way!\Don't move! response:	So much for Corpseless.
