context: Why... response:	Why have I gone back?
context: You didn't soil yourself, did you?\You don't... remember me?\So it's like none of it ever happened?\Sir?\Sir, you shouldn't try to move so suddenly.\What happened, damn it?! Everything reset again!\Including my promise with Emilia!\You entered without even knocking? response:	What a rude one you are!
context: You don't... remember me?\So it's like none of it ever happened?\Sir?\Sir, you shouldn't try to move so suddenly.\What happened, damn it?! Everything reset again!\Including my promise with Emilia!\You entered without even knocking?\What a rude one you are! response:	Sorry...
context: So it's like none of it ever happened?\Sir?\Sir, you shouldn't try to move so suddenly.\What happened, damn it?! Everything reset again!\Including my promise with Emilia!\You entered without even knocking?\What a rude one you are!\Sorry... response:	Just let me stay here for a bit, please.
context: Sir?\Sir, you shouldn't try to move so suddenly.\What happened, damn it?! Everything reset again!\Including my promise with Emilia!\You entered without even knocking?\What a rude one you are!\Sorry...\Just let me stay here for a bit, please. response:	There was last time and again now.
context: Sir, you shouldn't try to move so suddenly.\What happened, damn it?! Everything reset again!\Including my promise with Emilia!\You entered without even knocking?\What a rude one you are!\Sorry...\Just let me stay here for a bit, please.\There was last time and again now. response:	How are you breaking through my Door Crossing?
context: What happened, damn it?! Everything reset again!\Including my promise with Emilia!\You entered without even knocking?\What a rude one you are!\Sorry...\Just let me stay here for a bit, please.\There was last time and again now.\How are you breaking through my Door Crossing? response:	Beatrice...
context: Including my promise with Emilia!\You entered without even knocking?\What a rude one you are!\Sorry...\Just let me stay here for a bit, please.\There was last time and again now.\How are you breaking through my Door Crossing?\Beatrice... response:	Addressing me with no title, I suppose?
context: You entered without even knocking?\What a rude one you are!\Sorry...\Just let me stay here for a bit, please.\There was last time and again now.\How are you breaking through my Door Crossing?\Beatrice...\Addressing me with no title, I suppose? response:	You said I broke through your Door Crossing last time and now, right?
context: What a rude one you are!\Sorry...\Just let me stay here for a bit, please.\There was last time and again now.\How are you breaking through my Door Crossing?\Beatrice...\Addressing me with no title, I suppose?\You said I broke through your Door Crossing last time and now, right? response:	I just teased you about it, three or four hours ago, for being so insensitive.
context: Sorry...\Just let me stay here for a bit, please.\There was last time and again now.\How are you breaking through my Door Crossing?\Beatrice...\Addressing me with no title, I suppose?\You said I broke through your Door Crossing last time and now, right?\I just teased you about it, three or four hours ago, for being so insensitive. response:	If this is the second time I've woken up in the mansion...
context: Just let me stay here for a bit, please.\There was last time and again now.\How are you breaking through my Door Crossing?\Beatrice...\Addressing me with no title, I suppose?\You said I broke through your Door Crossing last time and now, right?\I just teased you about it, three or four hours ago, for being so insensitive.\If this is the second time I've woken up in the mansion... response:	Then you remember me, right?
context: There was last time and again now.\How are you breaking through my Door Crossing?\Beatrice...\Addressing me with no title, I suppose?\You said I broke through your Door Crossing last time and now, right?\I just teased you about it, three or four hours ago, for being so insensitive.\If this is the second time I've woken up in the mansion...\Then you remember me, right? response:	If I could, I'd rather erase you from my memory, I suppose.
context: How are you breaking through my Door Crossing?\Beatrice...\Addressing me with no title, I suppose?\You said I broke through your Door Crossing last time and now, right?\I just teased you about it, three or four hours ago, for being so insensitive.\If this is the second time I've woken up in the mansion...\Then you remember me, right?\If I could, I'd rather erase you from my memory, I suppose. response:	So the conditions are different from last time...
context: Beatrice...\Addressing me with no title, I suppose?\You said I broke through your Door Crossing last time and now, right?\I just teased you about it, three or four hours ago, for being so insensitive.\If this is the second time I've woken up in the mansion...\Then you remember me, right?\If I could, I'd rather erase you from my memory, I suppose.\So the conditions are different from last time... response:	The save point's changed from near the guy with the appas
context: Addressing me with no title, I suppose?\You said I broke through your Door Crossing last time and now, right?\I just teased you about it, three or four hours ago, for being so insensitive.\If this is the second time I've woken up in the mansion...\Then you remember me, right?\If I could, I'd rather erase you from my memory, I suppose.\So the conditions are different from last time...\The save point's changed from near the guy with the appas response:	to the two angelic girls in maid uniforms.
context: You said I broke through your Door Crossing last time and now, right?\I just teased you about it, three or four hours ago, for being so insensitive.\If this is the second time I've woken up in the mansion...\Then you remember me, right?\If I could, I'd rather erase you from my memory, I suppose.\So the conditions are different from last time...\The save point's changed from near the guy with the appas\to the two angelic girls in maid uniforms. response:	How did I die?
context: I just teased you about it, three or four hours ago, for being so insensitive.\If this is the second time I've woken up in the mansion...\Then you remember me, right?\If I could, I'd rather erase you from my memory, I suppose.\So the conditions are different from last time...\The save point's changed from near the guy with the appas\to the two angelic girls in maid uniforms.\How did I die? response:	Everything was normal before I fell asleep.
context: If this is the second time I've woken up in the mansion...\Then you remember me, right?\If I could, I'd rather erase you from my memory, I suppose.\So the conditions are different from last time...\The save point's changed from near the guy with the appas\to the two angelic girls in maid uniforms.\How did I die?\Everything was normal before I fell asleep. response:	Even after I fell asleep, I wasn't in any situation I felt might be fatal...
context: Then you remember me, right?\If I could, I'd rather erase you from my memory, I suppose.\So the conditions are different from last time...\The save point's changed from near the guy with the appas\to the two angelic girls in maid uniforms.\How did I die?\Everything was normal before I fell asleep.\Even after I fell asleep, I wasn't in any situation I felt might be fatal... response:	I wondered what you were muttering about, and I hear all this about living and dying.
context: If I could, I'd rather erase you from my memory, I suppose.\So the conditions are different from last time...\The save point's changed from near the guy with the appas\to the two angelic girls in maid uniforms.\How did I die?\Everything was normal before I fell asleep.\Even after I fell asleep, I wasn't in any situation I felt might be fatal...\I wondered what you were muttering about, and I hear all this about living and dying. response:	By human standards, discussing such things is boring and senseless, I suppose.
context: So the conditions are different from last time...\The save point's changed from near the guy with the appas\to the two angelic girls in maid uniforms.\How did I die?\Everything was normal before I fell asleep.\Even after I fell asleep, I wasn't in any situation I felt might be fatal...\I wondered what you were muttering about, and I hear all this about living and dying.\By human standards, discussing such things is boring and senseless, I suppose. response:	In the end, you'll only get lies and abusive speech.
context: The save point's changed from near the guy with the appas\to the two angelic girls in maid uniforms.\How did I die?\Everything was normal before I fell asleep.\Even after I fell asleep, I wasn't in any situation I felt might be fatal...\I wondered what you were muttering about, and I hear all this about living and dying.\By human standards, discussing such things is boring and senseless, I suppose.\In the end, you'll only get lies and abusive speech. response:	Thanks, you were a big help.
context: to the two angelic girls in maid uniforms.\How did I die?\Everything was normal before I fell asleep.\Even after I fell asleep, I wasn't in any situation I felt might be fatal...\I wondered what you were muttering about, and I hear all this about living and dying.\By human standards, discussing such things is boring and senseless, I suppose.\In the end, you'll only get lies and abusive speech.\Thanks, you were a big help. response:	I didn't do anything.
context: How did I die?\Everything was normal before I fell asleep.\Even after I fell asleep, I wasn't in any situation I felt might be fatal...\I wondered what you were muttering about, and I hear all this about living and dying.\By human standards, discussing such things is boring and senseless, I suppose.\In the end, you'll only get lies and abusive speech.\Thanks, you were a big help.\I didn't do anything. response:	Somehow, seeing that your attitude never changes calms me down.
context: Everything was normal before I fell asleep.\Even after I fell asleep, I wasn't in any situation I felt might be fatal...\I wondered what you were muttering about, and I hear all this about living and dying.\By human standards, discussing such things is boring and senseless, I suppose.\In the end, you'll only get lies and abusive speech.\Thanks, you were a big help.\I didn't do anything.\Somehow, seeing that your attitude never changes calms me down. response:	Only an ultimate pervert would be calmed by verbal abuse, I suppose.
context: Even after I fell asleep, I wasn't in any situation I felt might be fatal...\I wondered what you were muttering about, and I hear all this about living and dying.\By human standards, discussing such things is boring and senseless, I suppose.\In the end, you'll only get lies and abusive speech.\Thanks, you were a big help.\I didn't do anything.\Somehow, seeing that your attitude never changes calms me down.\Only an ultimate pervert would be calmed by verbal abuse, I suppose. response:	You're leaving, I suppose?
context: I wondered what you were muttering about, and I hear all this about living and dying.\By human standards, discussing such things is boring and senseless, I suppose.\In the end, you'll only get lies and abusive speech.\Thanks, you were a big help.\I didn't do anything.\Somehow, seeing that your attitude never changes calms me down.\Only an ultimate pervert would be calmed by verbal abuse, I suppose.\You're leaving, I suppose? response:	Yeah, I want to double check something.
context: By human standards, discussing such things is boring and senseless, I suppose.\In the end, you'll only get lies and abusive speech.\Thanks, you were a big help.\I didn't do anything.\Somehow, seeing that your attitude never changes calms me down.\Only an ultimate pervert would be calmed by verbal abuse, I suppose.\You're leaving, I suppose?\Yeah, I want to double check something. response:	I'll wait until afterward to get depressed.
context: In the end, you'll only get lies and abusive speech.\Thanks, you were a big help.\I didn't do anything.\Somehow, seeing that your attitude never changes calms me down.\Only an ultimate pervert would be calmed by verbal abuse, I suppose.\You're leaving, I suppose?\Yeah, I want to double check something.\I'll wait until afterward to get depressed. response:	Yeah, I knew it.
context: Thanks, you were a big help.\I didn't do anything.\Somehow, seeing that your attitude never changes calms me down.\Only an ultimate pervert would be calmed by verbal abuse, I suppose.\You're leaving, I suppose?\Yeah, I want to double check something.\I'll wait until afterward to get depressed.\Yeah, I knew it. response:	Subaru!
context: I didn't do anything.\Somehow, seeing that your attitude never changes calms me down.\Only an ultimate pervert would be calmed by verbal abuse, I suppose.\You're leaving, I suppose?\Yeah, I want to double check something.\I'll wait until afterward to get depressed.\Yeah, I knew it.\Subaru! response:	You're absolutely shining...
context: Somehow, seeing that your attitude never changes calms me down.\Only an ultimate pervert would be calmed by verbal abuse, I suppose.\You're leaving, I suppose?\Yeah, I want to double check something.\I'll wait until afterward to get depressed.\Yeah, I knew it.\Subaru!\You're absolutely shining... response:	I was worried about you!
context: Only an ultimate pervert would be calmed by verbal abuse, I suppose.\You're leaving, I suppose?\Yeah, I want to double check something.\I'll wait until afterward to get depressed.\Yeah, I knew it.\Subaru!\You're absolutely shining...\I was worried about you! response:	Ram and Rem were in a frenzy,
context: You're leaving, I suppose?\Yeah, I want to double check something.\I'll wait until afterward to get depressed.\Yeah, I knew it.\Subaru!\You're absolutely shining...\I was worried about you!\Ram and Rem were in a frenzy, response:	saying you disappeared right after you woke up!
context: Yeah, I want to double check something.\I'll wait until afterward to get depressed.\Yeah, I knew it.\Subaru!\You're absolutely shining...\I was worried about you!\Ram and Rem were in a frenzy,\saying you disappeared right after you woke up! response:	Sorry about that... I got held up by Beatrice for a bit.
context: I'll wait until afterward to get depressed.\Yeah, I knew it.\Subaru!\You're absolutely shining...\I was worried about you!\Ram and Rem were in a frenzy,\saying you disappeared right after you woke up!\Sorry about that... I got held up by Beatrice for a bit. response:	Again? I heard she played a trick on you before you woke up, too...
context: Yeah, I knew it.\Subaru!\You're absolutely shining...\I was worried about you!\Ram and Rem were in a frenzy,\saying you disappeared right after you woke up!\Sorry about that... I got held up by Beatrice for a bit.\Again? I heard she played a trick on you before you woke up, too... response:	What is it?
context: Subaru!\You're absolutely shining...\I was worried about you!\Ram and Rem were in a frenzy,\saying you disappeared right after you woke up!\Sorry about that... I got held up by Beatrice for a bit.\Again? I heard she played a trick on you before you woke up, too...\What is it? response:	Is there something on my face?
context: You're absolutely shining...\I was worried about you!\Ram and Rem were in a frenzy,\saying you disappeared right after you woke up!\Sorry about that... I got held up by Beatrice for a bit.\Again? I heard she played a trick on you before you woke up, too...\What is it?\Is there something on my face? response:	Yeah, your adorable eyes, ears, nose, and mouth.
context: I was worried about you!\Ram and Rem were in a frenzy,\saying you disappeared right after you woke up!\Sorry about that... I got held up by Beatrice for a bit.\Again? I heard she played a trick on you before you woke up, too...\What is it?\Is there something on my face?\Yeah, your adorable eyes, ears, nose, and mouth. response:	Uh, I mean...
context: Ram and Rem were in a frenzy,\saying you disappeared right after you woke up!\Sorry about that... I got held up by Beatrice for a bit.\Again? I heard she played a trick on you before you woke up, too...\What is it?\Is there something on my face?\Yeah, your adorable eyes, ears, nose, and mouth.\Uh, I mean... response:	I'm glad you're okay.
context: saying you disappeared right after you woke up!\Sorry about that... I got held up by Beatrice for a bit.\Again? I heard she played a trick on you before you woke up, too...\What is it?\Is there something on my face?\Yeah, your adorable eyes, ears, nose, and mouth.\Uh, I mean...\I'm glad you're okay. response:	Yeah, I'm fine.
context: Sorry about that... I got held up by Beatrice for a bit.\Again? I heard she played a trick on you before you woke up, too...\What is it?\Is there something on my face?\Yeah, your adorable eyes, ears, nose, and mouth.\Uh, I mean...\I'm glad you're okay.\Yeah, I'm fine. response:	You protected me, after all.
context: Again? I heard she played a trick on you before you woke up, too...\What is it?\Is there something on my face?\Yeah, your adorable eyes, ears, nose, and mouth.\Uh, I mean...\I'm glad you're okay.\Yeah, I'm fine.\You protected me, after all. response:	What about you? How are you feeling?
context: What is it?\Is there something on my face?\Yeah, your adorable eyes, ears, nose, and mouth.\Uh, I mean...\I'm glad you're okay.\Yeah, I'm fine.\You protected me, after all.\What about you? How are you feeling? response:	I feel great!
context: Is there something on my face?\Yeah, your adorable eyes, ears, nose, and mouth.\Uh, I mean...\I'm glad you're okay.\Yeah, I'm fine.\You protected me, after all.\What about you? How are you feeling?\I feel great! response:	I'm a little low on blood,
context: Yeah, your adorable eyes, ears, nose, and mouth.\Uh, I mean...\I'm glad you're okay.\Yeah, I'm fine.\You protected me, after all.\What about you? How are you feeling?\I feel great!\I'm a little low on blood, response:	all my mana was stolen,
context: Uh, I mean...\I'm glad you're okay.\Yeah, I'm fine.\You protected me, after all.\What about you? How are you feeling?\I feel great!\I'm a little low on blood,\all my mana was stolen, response:	the shock of waking up sapped my strength,
context: I'm glad you're okay.\Yeah, I'm fine.\You protected me, after all.\What about you? How are you feeling?\I feel great!\I'm a little low on blood,\all my mana was stolen,\the shock of waking up sapped my strength, response:	and I feel like my mind's taken a fatal beating with a bat,
context: Yeah, I'm fine.\You protected me, after all.\What about you? How are you feeling?\I feel great!\I'm a little low on blood,\all my mana was stolen,\the shock of waking up sapped my strength,\and I feel like my mind's taken a fatal beating with a bat, response:	but I'm good!
context: You protected me, after all.\What about you? How are you feeling?\I feel great!\I'm a little low on blood,\all my mana was stolen,\the shock of waking up sapped my strength,\and I feel like my mind's taken a fatal beating with a bat,\but I'm good! response:	I see, that's g Huh?
context: What about you? How are you feeling?\I feel great!\I'm a little low on blood,\all my mana was stolen,\the shock of waking up sapped my strength,\and I feel like my mind's taken a fatal beating with a bat,\but I'm good!\I see, that's g Huh? response:	Wouldn't that mean you're hurt all over?
context: I feel great!\I'm a little low on blood,\all my mana was stolen,\the shock of waking up sapped my strength,\and I feel like my mind's taken a fatal beating with a bat,\but I'm good!\I see, that's g Huh?\Wouldn't that mean you're hurt all over? response:	Hi, Subaru... Great morning, isn't it?
context: I'm a little low on blood,\all my mana was stolen,\the shock of waking up sapped my strength,\and I feel like my mind's taken a fatal beating with a bat,\but I'm good!\I see, that's g Huh?\Wouldn't that mean you're hurt all over?\Hi, Subaru... Great morning, isn't it? response:	I can't thank you enough for yesterday.
context: all my mana was stolen,\the shock of waking up sapped my strength,\and I feel like my mind's taken a fatal beating with a bat,\but I'm good!\I see, that's g Huh?\Wouldn't that mean you're hurt all over?\Hi, Subaru... Great morning, isn't it?\I can't thank you enough for yesterday. response:	I have to thank you somehow.
context: the shock of waking up sapped my strength,\and I feel like my mind's taken a fatal beating with a bat,\but I'm good!\I see, that's g Huh?\Wouldn't that mean you're hurt all over?\Hi, Subaru... Great morning, isn't it?\I can't thank you enough for yesterday.\I have to thank you somehow. response:	Then, let me pet your fur whenever I want!
context: and I feel like my mind's taken a fatal beating with a bat,\but I'm good!\I see, that's g Huh?\Wouldn't that mean you're hurt all over?\Hi, Subaru... Great morning, isn't it?\I can't thank you enough for yesterday.\I have to thank you somehow.\Then, let me pet your fur whenever I want! response:	That's all?
context: but I'm good!\I see, that's g Huh?\Wouldn't that mean you're hurt all over?\Hi, Subaru... Great morning, isn't it?\I can't thank you enough for yesterday.\I have to thank you somehow.\Then, let me pet your fur whenever I want!\That's all? response:	Okay, let's go!
context: I see, that's g Huh?\Wouldn't that mean you're hurt all over?\Hi, Subaru... Great morning, isn't it?\I can't thank you enough for yesterday.\I have to thank you somehow.\Then, let me pet your fur whenever I want!\That's all?\Okay, let's go! response:	Our time is limited, and our world is grand.
context: Wouldn't that mean you're hurt all over?\Hi, Subaru... Great morning, isn't it?\I can't thank you enough for yesterday.\I have to thank you somehow.\Then, let me pet your fur whenever I want!\That's all?\Okay, let's go!\Our time is limited, and our world is grand. response:	And Emilia-tan's and my story has only just begun!
context: Hi, Subaru... Great morning, isn't it?\I can't thank you enough for yesterday.\I have to thank you somehow.\Then, let me pet your fur whenever I want!\That's all?\Okay, let's go!\Our time is limited, and our world is grand.\And Emilia-tan's and my story has only just begun! response:	True...
context: I can't thank you enough for yesterday.\I have to thank you somehow.\Then, let me pet your fur whenever I want!\That's all?\Okay, let's go!\Our time is limited, and our world is grand.\And Emilia-tan's and my story has only just begun!\True... response:	Wait, what did you just say?
context: I have to thank you somehow.\Then, let me pet your fur whenever I want!\That's all?\Okay, let's go!\Our time is limited, and our world is grand.\And Emilia-tan's and my story has only just begun!\True...\Wait, what did you just say? response:	Where did the tan come from?
context: Then, let me pet your fur whenever I want!\That's all?\Okay, let's go!\Our time is limited, and our world is grand.\And Emilia-tan's and my story has only just begun!\True...\Wait, what did you just say?\Where did the tan come from? response:	I don't know whose idea of a prank this is,
context: That's all?\Okay, let's go!\Our time is limited, and our world is grand.\And Emilia-tan's and my story has only just begun!\True...\Wait, what did you just say?\Where did the tan come from?\I don't know whose idea of a prank this is, response:	but I'll make you sorry for all of it.
context: Okay, let's go!\Our time is limited, and our world is grand.\And Emilia-tan's and my story has only just begun!\True...\Wait, what did you just say?\Where did the tan come from?\I don't know whose idea of a prank this is,\but I'll make you sorry for all of it. response:	Don't underestimate how vindictive I'll be,
context: Our time is limited, and our world is grand.\And Emilia-tan's and my story has only just begun!\True...\Wait, what did you just say?\Where did the tan come from?\I don't know whose idea of a prank this is,\but I'll make you sorry for all of it.\Don't underestimate how vindictive I'll be, response:	after the smile that charmed me that night.
context: And Emilia-tan's and my story has only just begun!\True...\Wait, what did you just say?\Where did the tan come from?\I don't know whose idea of a prank this is,\but I'll make you sorry for all of it.\Don't underestimate how vindictive I'll be,\after the smile that charmed me that night. response:	I'm going to keep my promise to Emilia!
context: True...\Wait, what did you just say?\Where did the tan come from?\I don't know whose idea of a prank this is,\but I'll make you sorry for all of it.\Don't underestimate how vindictive I'll be,\after the smile that charmed me that night.\I'm going to keep my promise to Emilia! response:	I'll get past that night!
context: Wait, what did you just say?\Where did the tan come from?\I don't know whose idea of a prank this is,\but I'll make you sorry for all of it.\Don't underestimate how vindictive I'll be,\after the smile that charmed me that night.\I'm going to keep my promise to Emilia!\I'll get past that night! response:	Now, state your desire!
context: Where did the tan come from?\I don't know whose idea of a prank this is,\but I'll make you sorry for all of it.\Don't underestimate how vindictive I'll be,\after the smile that charmed me that night.\I'm going to keep my promise to Emilia!\I'll get past that night!\Now, state your desire! response:	In that case, I have but one request.
context: I don't know whose idea of a prank this is,\but I'll make you sorry for all of it.\Don't underestimate how vindictive I'll be,\after the smile that charmed me that night.\I'm going to keep my promise to Emilia!\I'll get past that night!\Now, state your desire!\In that case, I have but one request. response:	Hire me to work in this mansion!
context: but I'll make you sorry for all of it.\Don't underestimate how vindictive I'll be,\after the smile that charmed me that night.\I'm going to keep my promise to Emilia!\I'll get past that night!\Now, state your desire!\In that case, I have but one request.\Hire me to work in this mansion! response:	Hic.
context: Don't underestimate how vindictive I'll be,\after the smile that charmed me that night.\I'm going to keep my promise to Emilia!\I'll get past that night!\Now, state your desire!\In that case, I have but one request.\Hire me to work in this mansion!\Hic. response:	It's how these looping plots work.
context: after the smile that charmed me that night.\I'm going to keep my promise to Emilia!\I'll get past that night!\Now, state your desire!\In that case, I have but one request.\Hire me to work in this mansion!\Hic.\It's how these looping plots work. response:	Follow the same path, and you'll end up in the same place.
context: I'm going to keep my promise to Emilia!\I'll get past that night!\Now, state your desire!\In that case, I have but one request.\Hire me to work in this mansion!\Hic.\It's how these looping plots work.\Follow the same path, and you'll end up in the same place. response:	That's too large for you, Barusu.
context: I'll get past that night!\Now, state your desire!\In that case, I have but one request.\Hire me to work in this mansion!\Hic.\It's how these looping plots work.\Follow the same path, and you'll end up in the same place.\That's too large for you, Barusu. response:	It appears nothing here will fit except women's clothes.
context: Now, state your desire!\In that case, I have but one request.\Hire me to work in this mansion!\Hic.\It's how these looping plots work.\Follow the same path, and you'll end up in the same place.\That's too large for you, Barusu.\It appears nothing here will fit except women's clothes. response:	Rem, alter that one for him.
context: In that case, I have but one request.\Hire me to work in this mansion!\Hic.\It's how these looping plots work.\Follow the same path, and you'll end up in the same place.\That's too large for you, Barusu.\It appears nothing here will fit except women's clothes.\Rem, alter that one for him. response:	Yes, Sister.
context: Hire me to work in this mansion!\Hic.\It's how these looping plots work.\Follow the same path, and you'll end up in the same place.\That's too large for you, Barusu.\It appears nothing here will fit except women's clothes.\Rem, alter that one for him.\Yes, Sister. response:	Take my measurements, then.
context: Hic.\It's how these looping plots work.\Follow the same path, and you'll end up in the same place.\That's too large for you, Barusu.\It appears nothing here will fit except women's clothes.\Rem, alter that one for him.\Yes, Sister.\Take my measurements, then. response:	A man can withstand all kinds of awkwardness!
context: It's how these looping plots work.\Follow the same path, and you'll end up in the same place.\That's too large for you, Barusu.\It appears nothing here will fit except women's clothes.\Rem, alter that one for him.\Yes, Sister.\Take my measurements, then.\A man can withstand all kinds of awkwardness! response:	We'll measure you later.
context: Follow the same path, and you'll end up in the same place.\That's too large for you, Barusu.\It appears nothing here will fit except women's clothes.\Rem, alter that one for him.\Yes, Sister.\Take my measurements, then.\A man can withstand all kinds of awkwardness!\We'll measure you later. response:	Huh?
context: That's too large for you, Barusu.\It appears nothing here will fit except women's clothes.\Rem, alter that one for him.\Yes, Sister.\Take my measurements, then.\A man can withstand all kinds of awkwardness!\We'll measure you later.\Huh? response:	Follow me, Barusu.
context: It appears nothing here will fit except women's clothes.\Rem, alter that one for him.\Yes, Sister.\Take my measurements, then.\A man can withstand all kinds of awkwardness!\We'll measure you later.\Huh?\Follow me, Barusu. response:	Are you going to show me around?
context: Rem, alter that one for him.\Yes, Sister.\Take my measurements, then.\A man can withstand all kinds of awkwardness!\We'll measure you later.\Huh?\Follow me, Barusu.\Are you going to show me around? response:	That can wait, as well.
context: Yes, Sister.\Take my measurements, then.\A man can withstand all kinds of awkwardness!\We'll measure you later.\Huh?\Follow me, Barusu.\Are you going to show me around?\That can wait, as well. response:	You'll help me with my work first.
context: Take my measurements, then.\A man can withstand all kinds of awkwardness!\We'll measure you later.\Huh?\Follow me, Barusu.\Are you going to show me around?\That can wait, as well.\You'll help me with my work first. response:	Hey, wait!
context: A man can withstand all kinds of awkwardness!\We'll measure you later.\Huh?\Follow me, Barusu.\Are you going to show me around?\That can wait, as well.\You'll help me with my work first.\Hey, wait! response:	Retrace the same path I took yesterday...
context: We'll measure you later.\Huh?\Follow me, Barusu.\Are you going to show me around?\That can wait, as well.\You'll help me with my work first.\Hey, wait!\Retrace the same path I took yesterday... response:	That's what I meant to do, but...
context: Huh?\Follow me, Barusu.\Are you going to show me around?\That can wait, as well.\You'll help me with my work first.\Hey, wait!\Retrace the same path I took yesterday...\That's what I meant to do, but... response:	This is totally different from last time.
context: Follow me, Barusu.\Are you going to show me around?\That can wait, as well.\You'll help me with my work first.\Hey, wait!\Retrace the same path I took yesterday...\That's what I meant to do, but...\This is totally different from last time. response:	It's like making a cheat sheet,
context: Are you going to show me around?\That can wait, as well.\You'll help me with my work first.\Hey, wait!\Retrace the same path I took yesterday...\That's what I meant to do, but...\This is totally different from last time.\It's like making a cheat sheet, response:	but when you see the answers, you realize it's the wrong subject.
context: That can wait, as well.\You'll help me with my work first.\Hey, wait!\Retrace the same path I took yesterday...\That's what I meant to do, but...\This is totally different from last time.\It's like making a cheat sheet,\but when you see the answers, you realize it's the wrong subject. response:	A total waste of effort.
context: You'll help me with my work first.\Hey, wait!\Retrace the same path I took yesterday...\That's what I meant to do, but...\This is totally different from last time.\It's like making a cheat sheet,\but when you see the answers, you realize it's the wrong subject.\A total waste of effort. response:	Hi, there! May I join
context: Hey, wait!\Retrace the same path I took yesterday...\That's what I meant to do, but...\This is totally different from last time.\It's like making a cheat sheet,\but when you see the answers, you realize it's the wrong subject.\A total waste of effort.\Hi, there! May I join response:	No, you may not.
context: Retrace the same path I took yesterday...\That's what I meant to do, but...\This is totally different from last time.\It's like making a cheat sheet,\but when you see the answers, you realize it's the wrong subject.\A total waste of effort.\Hi, there! May I join\No, you may not. response:	This facility is part of my mansion,
context: That's what I meant to do, but...\This is totally different from last time.\It's like making a cheat sheet,\but when you see the answers, you realize it's the wrong subject.\A total waste of effort.\Hi, there! May I join\No, you may not.\This facility is part of my mansion, response:	so it is my property...
context: This is totally different from last time.\It's like making a cheat sheet,\but when you see the answers, you realize it's the wrong subject.\A total waste of effort.\Hi, there! May I join\No, you may not.\This facility is part of my mansion,\so it is my property... response:	I shall do with it as I please.
context: It's like making a cheat sheet,\but when you see the answers, you realize it's the wrong subject.\A total waste of effort.\Hi, there! May I join\No, you may not.\This facility is part of my mansion,\so it is my property...\I shall do with it as I please. response:	Why bother asking, then?
context: but when you see the answers, you realize it's the wrong subject.\A total waste of effort.\Hi, there! May I join\No, you may not.\This facility is part of my mansion,\so it is my property...\I shall do with it as I please.\Why bother asking, then? response:	If you want, take a bath.
context: A total waste of effort.\Hi, there! May I join\No, you may not.\This facility is part of my mansion,\so it is my property...\I shall do with it as I please.\Why bother asking, then?\If you want, take a bath. response:	My, how harsh!
context: Hi, there! May I join\No, you may not.\This facility is part of my mansion,\so it is my property...\I shall do with it as I please.\Why bother asking, then?\If you want, take a bath.\My, how harsh! response:	And you seem not to understand.
context: No, you may not.\This facility is part of my mansion,\so it is my property...\I shall do with it as I please.\Why bother asking, then?\If you want, take a bath.\My, how harsh!\And you seem not to understand. response:	Yes, this bath is my property...
context: This facility is part of my mansion,\so it is my property...\I shall do with it as I please.\Why bother asking, then?\If you want, take a bath.\My, how harsh!\And you seem not to understand.\Yes, this bath is my property... response:	But as part of my staff,
