context: We're... response:	Fairy Tail wizards!!!
context: Natsu...\Hey, you there!\What the heck ya think yer doin' on my fields?\Shoot!\Yer those Fallen who the Royal Guard're searchin' about for, yeah?\Get outta here!\Aye! We're sorry!\Men! response:	Did that cart which ran me over head over this way?
context: Hey, you there!\What the heck ya think yer doin' on my fields?\Shoot!\Yer those Fallen who the Royal Guard're searchin' about for, yeah?\Get outta here!\Aye! We're sorry!\Men!\Did that cart which ran me over head over this way? response:	Search for it, men!
context: What the heck ya think yer doin' on my fields?\Shoot!\Yer those Fallen who the Royal Guard're searchin' about for, yeah?\Get outta here!\Aye! We're sorry!\Men!\Did that cart which ran me over head over this way?\Search for it, men! response:	They're already after us...
context: Shoot!\Yer those Fallen who the Royal Guard're searchin' about for, yeah?\Get outta here!\Aye! We're sorry!\Men!\Did that cart which ran me over head over this way?\Search for it, men!\They're already after us... response:	I said get outta my fields!
context: Yer those Fallen who the Royal Guard're searchin' about for, yeah?\Get outta here!\Aye! We're sorry!\Men!\Did that cart which ran me over head over this way?\Search for it, men!\They're already after us...\I said get outta my fields! response:	Aye! We'll leave right away!
context: Get outta here!\Aye! We're sorry!\Men!\Did that cart which ran me over head over this way?\Search for it, men!\They're already after us...\I said get outta my fields!\Aye! We'll leave right away! response:	Then come to my house!
context: Aye! We're sorry!\Men!\Did that cart which ran me over head over this way?\Search for it, men!\They're already after us...\I said get outta my fields!\Aye! We'll leave right away!\Then come to my house! response:	Where are the soldiers?
context: Men!\Did that cart which ran me over head over this way?\Search for it, men!\They're already after us...\I said get outta my fields!\Aye! We'll leave right away!\Then come to my house!\Where are the soldiers? response:	Did you already report to them?
context: Did that cart which ran me over head over this way?\Search for it, men!\They're already after us...\I said get outta my fields!\Aye! We'll leave right away!\Then come to my house!\Where are the soldiers?\Did you already report to them? response:	I'm sorry!
context: Search for it, men!\They're already after us...\I said get outta my fields!\Aye! We'll leave right away!\Then come to my house!\Where are the soldiers?\Did you already report to them?\I'm sorry! response:	My, you're home early today, dear.
context: They're already after us...\I said get outta my fields!\Aye! We'll leave right away!\Then come to my house!\Where are the soldiers?\Did you already report to them?\I'm sorry!\My, you're home early today, dear. response:	Oh?
context: I said get outta my fields!\Aye! We'll leave right away!\Then come to my house!\Where are the soldiers?\Did you already report to them?\I'm sorry!\My, you're home early today, dear.\Oh? response:	Why, hello there.
context: Aye! We'll leave right away!\Then come to my house!\Where are the soldiers?\Did you already report to them?\I'm sorry!\My, you're home early today, dear.\Oh?\Why, hello there. response:	Hello.
context: Then come to my house!\Where are the soldiers?\Did you already report to them?\I'm sorry!\My, you're home early today, dear.\Oh?\Why, hello there.\Hello. response:	What's your name?
context: Where are the soldiers?\Did you already report to them?\I'm sorry!\My, you're home early today, dear.\Oh?\Why, hello there.\Hello.\What's your name? response:	I'm Happy.
context: Did you already report to them?\I'm sorry!\My, you're home early today, dear.\Oh?\Why, hello there.\Hello.\What's your name?\I'm Happy. response:	Carla...
context: I'm sorry!\My, you're home early today, dear.\Oh?\Why, hello there.\Hello.\What's your name?\I'm Happy.\Carla... response:	I see. What lovely names!
context: My, you're home early today, dear.\Oh?\Why, hello there.\Hello.\What's your name?\I'm Happy.\Carla...\I see. What lovely names! response:	Now then, please come inside.
context: Oh?\Why, hello there.\Hello.\What's your name?\I'm Happy.\Carla...\I see. What lovely names!\Now then, please come inside. response:	Oh my... That sounds like quite a lot of trouble.
context: Why, hello there.\Hello.\What's your name?\I'm Happy.\Carla...\I see. What lovely names!\Now then, please come inside.\Oh my... That sounds like quite a lot of trouble. response:	Sir, ma'am... Thank you for sheltering us!
context: Hello.\What's your name?\I'm Happy.\Carla...\I see. What lovely names!\Now then, please come inside.\Oh my... That sounds like quite a lot of trouble.\Sir, ma'am... Thank you for sheltering us! response:	Eat yer food, got it?
context: What's your name?\I'm Happy.\Carla...\I see. What lovely names!\Now then, please come inside.\Oh my... That sounds like quite a lot of trouble.\Sir, ma'am... Thank you for sheltering us!\Eat yer food, got it? response:	Aye!
context: I'm Happy.\Carla...\I see. What lovely names!\Now then, please come inside.\Oh my... That sounds like quite a lot of trouble.\Sir, ma'am... Thank you for sheltering us!\Eat yer food, got it?\Aye! response:	Thank you.
context: Carla...\I see. What lovely names!\Now then, please come inside.\Oh my... That sounds like quite a lot of trouble.\Sir, ma'am... Thank you for sheltering us!\Eat yer food, got it?\Aye!\Thank you. response:	My husband here doesn't really go with how the kingdom thinks.
context: I see. What lovely names!\Now then, please come inside.\Oh my... That sounds like quite a lot of trouble.\Sir, ma'am... Thank you for sheltering us!\Eat yer food, got it?\Aye!\Thank you.\My husband here doesn't really go with how the kingdom thinks. response:	We were kicked out long ago, and make our lives here.
context: Now then, please come inside.\Oh my... That sounds like quite a lot of trouble.\Sir, ma'am... Thank you for sheltering us!\Eat yer food, got it?\Aye!\Thank you.\My husband here doesn't really go with how the kingdom thinks.\We were kicked out long ago, and make our lives here. response:	Don't go blabbin' about that stuff!
context: Oh my... That sounds like quite a lot of trouble.\Sir, ma'am... Thank you for sheltering us!\Eat yer food, got it?\Aye!\Thank you.\My husband here doesn't really go with how the kingdom thinks.\We were kicked out long ago, and make our lives here.\Don't go blabbin' about that stuff! response:	Yes, dear.
context: Sir, ma'am... Thank you for sheltering us!\Eat yer food, got it?\Aye!\Thank you.\My husband here doesn't really go with how the kingdom thinks.\We were kicked out long ago, and make our lives here.\Don't go blabbin' about that stuff!\Yes, dear. response:	I see! So that's why you...
context: Eat yer food, got it?\Aye!\Thank you.\My husband here doesn't really go with how the kingdom thinks.\We were kicked out long ago, and make our lives here.\Don't go blabbin' about that stuff!\Yes, dear.\I see! So that's why you... response:	It ain't that.
context: Aye!\Thank you.\My husband here doesn't really go with how the kingdom thinks.\We were kicked out long ago, and make our lives here.\Don't go blabbin' about that stuff!\Yes, dear.\I see! So that's why you...\It ain't that. response:	After you eat, yer gonna help with the work!
context: Thank you.\My husband here doesn't really go with how the kingdom thinks.\We were kicked out long ago, and make our lives here.\Don't go blabbin' about that stuff!\Yes, dear.\I see! So that's why you...\It ain't that.\After you eat, yer gonna help with the work! response:	A-Aye!
context: My husband here doesn't really go with how the kingdom thinks.\We were kicked out long ago, and make our lives here.\Don't go blabbin' about that stuff!\Yes, dear.\I see! So that's why you...\It ain't that.\After you eat, yer gonna help with the work!\A-Aye! response:	Put this on!
context: We were kicked out long ago, and make our lives here.\Don't go blabbin' about that stuff!\Yes, dear.\I see! So that's why you...\It ain't that.\After you eat, yer gonna help with the work!\A-Aye!\Put this on! response:	Hurry up and eat!
context: Don't go blabbin' about that stuff!\Yes, dear.\I see! So that's why you...\It ain't that.\After you eat, yer gonna help with the work!\A-Aye!\Put this on!\Hurry up and eat! response:	Put yer back in it!
context: Yes, dear.\I see! So that's why you...\It ain't that.\After you eat, yer gonna help with the work!\A-Aye!\Put this on!\Hurry up and eat!\Put yer back in it! response:	You call yerself a man?!
context: I see! So that's why you...\It ain't that.\After you eat, yer gonna help with the work!\A-Aye!\Put this on!\Hurry up and eat!\Put yer back in it!\You call yerself a man?! response:	But I've never done this before...
context: It ain't that.\After you eat, yer gonna help with the work!\A-Aye!\Put this on!\Hurry up and eat!\Put yer back in it!\You call yerself a man?!\But I've never done this before... response:	No excuses!
context: After you eat, yer gonna help with the work!\A-Aye!\Put this on!\Hurry up and eat!\Put yer back in it!\You call yerself a man?!\But I've never done this before...\No excuses! response:	Do it faster! Put yer back in it!
context: A-Aye!\Put this on!\Hurry up and eat!\Put yer back in it!\You call yerself a man?!\But I've never done this before...\No excuses!\Do it faster! Put yer back in it! response:	Aye!
context: Put this on!\Hurry up and eat!\Put yer back in it!\You call yerself a man?!\But I've never done this before...\No excuses!\Do it faster! Put yer back in it!\Aye! response:	I didn't know that a hoe was this heavy, sir...
context: Hurry up and eat!\Put yer back in it!\You call yerself a man?!\But I've never done this before...\No excuses!\Do it faster! Put yer back in it!\Aye!\I didn't know that a hoe was this heavy, sir... response:	I was really surprised.
context: Put yer back in it!\You call yerself a man?!\But I've never done this before...\No excuses!\Do it faster! Put yer back in it!\Aye!\I didn't know that a hoe was this heavy, sir...\I was really surprised. response:	Look here, you... That's called the weight of life itself!
context: You call yerself a man?!\But I've never done this before...\No excuses!\Do it faster! Put yer back in it!\Aye!\I didn't know that a hoe was this heavy, sir...\I was really surprised.\Look here, you... That's called the weight of life itself! response:	Uh...
context: But I've never done this before...\No excuses!\Do it faster! Put yer back in it!\Aye!\I didn't know that a hoe was this heavy, sir...\I was really surprised.\Look here, you... That's called the weight of life itself!\Uh... response:	He sure makes a big deal outta things...
context: No excuses!\Do it faster! Put yer back in it!\Aye!\I didn't know that a hoe was this heavy, sir...\I was really surprised.\Look here, you... That's called the weight of life itself!\Uh...\He sure makes a big deal outta things... response:	But if he hears me, he'll get mad, so I'll keep it to myself...
context: Do it faster! Put yer back in it!\Aye!\I didn't know that a hoe was this heavy, sir...\I was really surprised.\Look here, you... That's called the weight of life itself!\Uh...\He sure makes a big deal outta things...\But if he hears me, he'll get mad, so I'll keep it to myself... response:	I heard it all!
context: Aye!\I didn't know that a hoe was this heavy, sir...\I was really surprised.\Look here, you... That's called the weight of life itself!\Uh...\He sure makes a big deal outta things...\But if he hears me, he'll get mad, so I'll keep it to myself...\I heard it all! response:	I'm sorry!
context: I didn't know that a hoe was this heavy, sir...\I was really surprised.\Look here, you... That's called the weight of life itself!\Uh...\He sure makes a big deal outta things...\But if he hears me, he'll get mad, so I'll keep it to myself...\I heard it all!\I'm sorry! response:	Watch closely!
context: I was really surprised.\Look here, you... That's called the weight of life itself!\Uh...\He sure makes a big deal outta things...\But if he hears me, he'll get mad, so I'll keep it to myself...\I heard it all!\I'm sorry!\Watch closely! response:	If yer a man...
context: Look here, you... That's called the weight of life itself!\Uh...\He sure makes a big deal outta things...\But if he hears me, he'll get mad, so I'll keep it to myself...\I heard it all!\I'm sorry!\Watch closely!\If yer a man... response:	Put some back into it!
context: Uh...\He sure makes a big deal outta things...\But if he hears me, he'll get mad, so I'll keep it to myself...\I heard it all!\I'm sorry!\Watch closely!\If yer a man...\Put some back into it! response:	Man?
context: He sure makes a big deal outta things...\But if he hears me, he'll get mad, so I'll keep it to myself...\I heard it all!\I'm sorry!\Watch closely!\If yer a man...\Put some back into it!\Man? response:	Doin' this much is just par for the course!
context: But if he hears me, he'll get mad, so I'll keep it to myself...\I heard it all!\I'm sorry!\Watch closely!\If yer a man...\Put some back into it!\Man?\Doin' this much is just par for the course! response:	Y-You're pretty amazing, sir!
context: I heard it all!\I'm sorry!\Watch closely!\If yer a man...\Put some back into it!\Man?\Doin' this much is just par for the course!\Y-You're pretty amazing, sir! response:	Don't just gawk at it!
context: I'm sorry!\Watch closely!\If yer a man...\Put some back into it!\Man?\Doin' this much is just par for the course!\Y-You're pretty amazing, sir!\Don't just gawk at it! response:	He was just gawking at it himself... Or did he forget already?
context: Watch closely!\If yer a man...\Put some back into it!\Man?\Doin' this much is just par for the course!\Y-You're pretty amazing, sir!\Don't just gawk at it!\He was just gawking at it himself... Or did he forget already? response:	But if he hears me, he'll get mad, so I'll keep it to myself...
context: If yer a man...\Put some back into it!\Man?\Doin' this much is just par for the course!\Y-You're pretty amazing, sir!\Don't just gawk at it!\He was just gawking at it himself... Or did he forget already?\But if he hears me, he'll get mad, so I'll keep it to myself... response:	I told ya, I can hear it all!
context: Put some back into it!\Man?\Doin' this much is just par for the course!\Y-You're pretty amazing, sir!\Don't just gawk at it!\He was just gawking at it himself... Or did he forget already?\But if he hears me, he'll get mad, so I'll keep it to myself...\I told ya, I can hear it all! response:	I'm sorry!
context: Man?\Doin' this much is just par for the course!\Y-You're pretty amazing, sir!\Don't just gawk at it!\He was just gawking at it himself... Or did he forget already?\But if he hears me, he'll get mad, so I'll keep it to myself...\I told ya, I can hear it all!\I'm sorry! response:	Oh, you're very good at this.
context: Doin' this much is just par for the course!\Y-You're pretty amazing, sir!\Don't just gawk at it!\He was just gawking at it himself... Or did he forget already?\But if he hears me, he'll get mad, so I'll keep it to myself...\I told ya, I can hear it all!\I'm sorry!\Oh, you're very good at this. response:	It's simple.
context: Y-You're pretty amazing, sir!\Don't just gawk at it!\He was just gawking at it himself... Or did he forget already?\But if he hears me, he'll get mad, so I'll keep it to myself...\I told ya, I can hear it all!\I'm sorry!\Oh, you're very good at this.\It's simple. response:	I'm finished.
context: Don't just gawk at it!\He was just gawking at it himself... Or did he forget already?\But if he hears me, he'll get mad, so I'll keep it to myself...\I told ya, I can hear it all!\I'm sorry!\Oh, you're very good at this.\It's simple.\I'm finished. response:	Thank you.
context: He was just gawking at it himself... Or did he forget already?\But if he hears me, he'll get mad, so I'll keep it to myself...\I told ya, I can hear it all!\I'm sorry!\Oh, you're very good at this.\It's simple.\I'm finished.\Thank you. response:	You weak-kneed little...
context: But if he hears me, he'll get mad, so I'll keep it to myself...\I told ya, I can hear it all!\I'm sorry!\Oh, you're very good at this.\It's simple.\I'm finished.\Thank you.\You weak-kneed little... response:	My...
context: I told ya, I can hear it all!\I'm sorry!\Oh, you're very good at this.\It's simple.\I'm finished.\Thank you.\You weak-kneed little...\My... response:	No more...
context: I'm sorry!\Oh, you're very good at this.\It's simple.\I'm finished.\Thank you.\You weak-kneed little...\My...\No more... response:	Weakling...
context: Oh, you're very good at this.\It's simple.\I'm finished.\Thank you.\You weak-kneed little...\My...\No more...\Weakling... response:	We've made some nice cold drinks! Why don't you rest for a bit?
context: It's simple.\I'm finished.\Thank you.\You weak-kneed little...\My...\No more...\Weakling...\We've made some nice cold drinks! Why don't you rest for a bit? response:	Aye!
