context: Next up is the inter-club relay race. response:	On your mark! Get set!
context: To all times and places I just hope that the track team doesn't lose their confidence because of it.\In the nick of time\In the nick of time This isn't funny.\Because of this, people are going to think we're even weirder than they did before.\Though it might be kind of late for that to matter.\I suppose that there's no need to explain that our outfits\Unexplored area and the four character phrases we have on our headbands are all Haruhi's idea.\What the heck is this supposed to mean? response:	So, is it okay to get changed out of this?
context: In the nick of time\In the nick of time This isn't funny.\Because of this, people are going to think we're even weirder than they did before.\Though it might be kind of late for that to matter.\I suppose that there's no need to explain that our outfits\Unexplored area and the four character phrases we have on our headbands are all Haruhi's idea.\What the heck is this supposed to mean?\So, is it okay to get changed out of this? response:	And as usual, you guys are just so weird.
context: In the nick of time This isn't funny.\Because of this, people are going to think we're even weirder than they did before.\Though it might be kind of late for that to matter.\I suppose that there's no need to explain that our outfits\Unexplored area and the four character phrases we have on our headbands are all Haruhi's idea.\What the heck is this supposed to mean?\So, is it okay to get changed out of this?\And as usual, you guys are just so weird. response:	You and Miss Suzumiya's merry little band.
context: Because of this, people are going to think we're even weirder than they did before.\Though it might be kind of late for that to matter.\I suppose that there's no need to explain that our outfits\Unexplored area and the four character phrases we have on our headbands are all Haruhi's idea.\What the heck is this supposed to mean?\So, is it okay to get changed out of this?\And as usual, you guys are just so weird.\You and Miss Suzumiya's merry little band. response:	Cut it out. I'm trying to live my life as quietly as I can.
context: Though it might be kind of late for that to matter.\I suppose that there's no need to explain that our outfits\Unexplored area and the four character phrases we have on our headbands are all Haruhi's idea.\What the heck is this supposed to mean?\So, is it okay to get changed out of this?\And as usual, you guys are just so weird.\You and Miss Suzumiya's merry little band.\Cut it out. I'm trying to live my life as quietly as I can. response:	Well, you did run in that outfit.
context: I suppose that there's no need to explain that our outfits\Unexplored area and the four character phrases we have on our headbands are all Haruhi's idea.\What the heck is this supposed to mean?\So, is it okay to get changed out of this?\And as usual, you guys are just so weird.\You and Miss Suzumiya's merry little band.\Cut it out. I'm trying to live my life as quietly as I can.\Well, you did run in that outfit. response:	It was hard to run in, too.
context: Unexplored area and the four character phrases we have on our headbands are all Haruhi's idea.\What the heck is this supposed to mean?\So, is it okay to get changed out of this?\And as usual, you guys are just so weird.\You and Miss Suzumiya's merry little band.\Cut it out. I'm trying to live my life as quietly as I can.\Well, you did run in that outfit.\It was hard to run in, too. response:	That's not the problem.
context: What the heck is this supposed to mean?\So, is it okay to get changed out of this?\And as usual, you guys are just so weird.\You and Miss Suzumiya's merry little band.\Cut it out. I'm trying to live my life as quietly as I can.\Well, you did run in that outfit.\It was hard to run in, too.\That's not the problem. response:	That's sure to be in the graduation album. I'm looking forward to it.
context: So, is it okay to get changed out of this?\And as usual, you guys are just so weird.\You and Miss Suzumiya's merry little band.\Cut it out. I'm trying to live my life as quietly as I can.\Well, you did run in that outfit.\It was hard to run in, too.\That's not the problem.\That's sure to be in the graduation album. I'm looking forward to it. response:	Cut me a break.
context: And as usual, you guys are just so weird.\You and Miss Suzumiya's merry little band.\Cut it out. I'm trying to live my life as quietly as I can.\Well, you did run in that outfit.\It was hard to run in, too.\That's not the problem.\That's sure to be in the graduation album. I'm looking forward to it.\Cut me a break. response:	What? Creepy!
context: You and Miss Suzumiya's merry little band.\Cut it out. I'm trying to live my life as quietly as I can.\Well, you did run in that outfit.\It was hard to run in, too.\That's not the problem.\That's sure to be in the graduation album. I'm looking forward to it.\Cut me a break.\What? Creepy! response:	Did you see her? The one with the ponytail is cute.
context: Cut it out. I'm trying to live my life as quietly as I can.\Well, you did run in that outfit.\It was hard to run in, too.\That's not the problem.\That's sure to be in the graduation album. I'm looking forward to it.\Cut me a break.\What? Creepy!\Did you see her? The one with the ponytail is cute. response:	Our seemingly endless summer vacation finally ended,
context: Well, you did run in that outfit.\It was hard to run in, too.\That's not the problem.\That's sure to be in the graduation album. I'm looking forward to it.\Cut me a break.\What? Creepy!\Did you see her? The one with the ponytail is cute.\Our seemingly endless summer vacation finally ended, response:	and even though the second term had only just begun,
context: It was hard to run in, too.\That's not the problem.\That's sure to be in the graduation album. I'm looking forward to it.\Cut me a break.\What? Creepy!\Did you see her? The one with the ponytail is cute.\Our seemingly endless summer vacation finally ended,\and even though the second term had only just begun, response:	we're already in the midst of our school's field day.
context: That's not the problem.\That's sure to be in the graduation album. I'm looking forward to it.\Cut me a break.\What? Creepy!\Did you see her? The one with the ponytail is cute.\Our seemingly endless summer vacation finally ended,\and even though the second term had only just begun,\we're already in the midst of our school's field day. response:	You could tell just by looking at us that there was no way
context: That's sure to be in the graduation album. I'm looking forward to it.\Cut me a break.\What? Creepy!\Did you see her? The one with the ponytail is cute.\Our seemingly endless summer vacation finally ended,\and even though the second term had only just begun,\we're already in the midst of our school's field day.\You could tell just by looking at us that there was no way response:	that Haruhi was going to sit still on a day as beautiful as today.
context: Cut me a break.\What? Creepy!\Did you see her? The one with the ponytail is cute.\Our seemingly endless summer vacation finally ended,\and even though the second term had only just begun,\we're already in the midst of our school's field day.\You could tell just by looking at us that there was no way\that Haruhi was going to sit still on a day as beautiful as today. response:	In any case, Haruhi seems to love festival events.
context: What? Creepy!\Did you see her? The one with the ponytail is cute.\Our seemingly endless summer vacation finally ended,\and even though the second term had only just begun,\we're already in the midst of our school's field day.\You could tell just by looking at us that there was no way\that Haruhi was going to sit still on a day as beautiful as today.\In any case, Haruhi seems to love festival events. response:	DAY BY DAY unzari dayone dakara Day by day, everything's just so dull
context: Did you see her? The one with the ponytail is cute.\Our seemingly endless summer vacation finally ended,\and even though the second term had only just begun,\we're already in the midst of our school's field day.\You could tell just by looking at us that there was no way\that Haruhi was going to sit still on a day as beautiful as today.\In any case, Haruhi seems to love festival events.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull response:	Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all
context: Our seemingly endless summer vacation finally ended,\and even though the second term had only just begun,\we're already in the midst of our school's field day.\You could tell just by looking at us that there was no way\that Haruhi was going to sit still on a day as beautiful as today.\In any case, Haruhi seems to love festival events.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all response:	OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive
context: and even though the second term had only just begun,\we're already in the midst of our school's field day.\You could tell just by looking at us that there was no way\that Haruhi was going to sit still on a day as beautiful as today.\In any case, Haruhi seems to love festival events.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive response:	Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world
context: we're already in the midst of our school's field day.\You could tell just by looking at us that there was no way\that Haruhi was going to sit still on a day as beautiful as today.\In any case, Haruhi seems to love festival events.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world response:	Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me
context: You could tell just by looking at us that there was no way\that Haruhi was going to sit still on a day as beautiful as today.\In any case, Haruhi seems to love festival events.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me response:	Kudaranai yarikara kette Kick away the boring ways of doing things,
context: that Haruhi was going to sit still on a day as beautiful as today.\In any case, Haruhi seems to love festival events.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things, response:	subete wa atashi ga kimeru I'm going to decide everything
context: In any case, Haruhi seems to love festival events.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything response:	I SAY I SAY MY HEAVEN I say, I say my heaven
context: DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven response:	SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush
context: Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush response:	SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what
context: OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what response:	Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible
context: Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible response:	Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!
context: Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go! response:	Daishouri tte doukan I agree, it's going to be a huge victory
context: Kudaranai yarikara kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory response:	Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens
context: subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens response:	Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up
context: I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up response:	Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want
context: SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want response:	Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out
context: SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out response:	Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly
context: Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly response:	Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?
context: Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it? response:	And so, our crazy field day ended.
context: Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\And so, our crazy field day ended. response:	We had just started a new month,
context: Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\And so, our crazy field day ended.\We had just started a new month, response:	and already the school festival was waiting for us.
context: Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\And so, our crazy field day ended.\We had just started a new month,\and already the school festival was waiting for us. response:	Right now, our prefectural high school is preparing for it.
context: Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\And so, our crazy field day ended.\We had just started a new month,\and already the school festival was waiting for us.\Right now, our prefectural high school is preparing for it. response:	By the way, the class that Haruhi and I are in,
context: Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\And so, our crazy field day ended.\We had just started a new month,\and already the school festival was waiting for us.\Right now, our prefectural high school is preparing for it.\By the way, the class that Haruhi and I are in, response:	the fifth of the sophomore classes, had decided to wave our hands
context: Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\And so, our crazy field day ended.\We had just started a new month,\and already the school festival was waiting for us.\Right now, our prefectural high school is preparing for it.\By the way, the class that Haruhi and I are in,\the fifth of the sophomore classes, had decided to wave our hands response:	Regarding the school festival Announce the results of a survey the fifth of the sophomore classes, had decided to wave our hands
context: Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\And so, our crazy field day ended.\We had just started a new month,\and already the school festival was waiting for us.\Right now, our prefectural high school is preparing for it.\By the way, the class that Haruhi and I are in,\the fifth of the sophomore classes, had decided to wave our hands\Regarding the school festival Announce the results of a survey the fifth of the sophomore classes, had decided to wave our hands response:	and go with the half-assed idea of announcing the results of a survey.
context: And so, our crazy field day ended.\We had just started a new month,\and already the school festival was waiting for us.\Right now, our prefectural high school is preparing for it.\By the way, the class that Haruhi and I are in,\the fifth of the sophomore classes, had decided to wave our hands\Regarding the school festival Announce the results of a survey the fifth of the sophomore classes, had decided to wave our hands\and go with the half-assed idea of announcing the results of a survey. response:	Ever since Ryoko Asakura left at the beginning of spring,
context: We had just started a new month,\and already the school festival was waiting for us.\Right now, our prefectural high school is preparing for it.\By the way, the class that Haruhi and I are in,\the fifth of the sophomore classes, had decided to wave our hands\Regarding the school festival Announce the results of a survey the fifth of the sophomore classes, had decided to wave our hands\and go with the half-assed idea of announcing the results of a survey.\Ever since Ryoko Asakura left at the beginning of spring, response:	no one's been crazy enough to try and take leadership of the class.
context: and already the school festival was waiting for us.\Right now, our prefectural high school is preparing for it.\By the way, the class that Haruhi and I are in,\the fifth of the sophomore classes, had decided to wave our hands\Regarding the school festival Announce the results of a survey the fifth of the sophomore classes, had decided to wave our hands\and go with the half-assed idea of announcing the results of a survey.\Ever since Ryoko Asakura left at the beginning of spring,\no one's been crazy enough to try and take leadership of the class. response:	We're going, Kyon.
context: Right now, our prefectural high school is preparing for it.\By the way, the class that Haruhi and I are in,\the fifth of the sophomore classes, had decided to wave our hands\Regarding the school festival Announce the results of a survey the fifth of the sophomore classes, had decided to wave our hands\and go with the half-assed idea of announcing the results of a survey.\Ever since Ryoko Asakura left at the beginning of spring,\no one's been crazy enough to try and take leadership of the class.\We're going, Kyon. response:	And so today, with a level of disinterest bordering on apathy,
context: By the way, the class that Haruhi and I are in,\the fifth of the sophomore classes, had decided to wave our hands\Regarding the school festival Announce the results of a survey the fifth of the sophomore classes, had decided to wave our hands\and go with the half-assed idea of announcing the results of a survey.\Ever since Ryoko Asakura left at the beginning of spring,\no one's been crazy enough to try and take leadership of the class.\We're going, Kyon.\And so today, with a level of disinterest bordering on apathy, response:	I once again popped on over to the clubroom.
context: the fifth of the sophomore classes, had decided to wave our hands\Regarding the school festival Announce the results of a survey the fifth of the sophomore classes, had decided to wave our hands\and go with the half-assed idea of announcing the results of a survey.\Ever since Ryoko Asakura left at the beginning of spring,\no one's been crazy enough to try and take leadership of the class.\We're going, Kyon.\And so today, with a level of disinterest bordering on apathy,\I once again popped on over to the clubroom. response:	Why?
context: Regarding the school festival Announce the results of a survey the fifth of the sophomore classes, had decided to wave our hands\and go with the half-assed idea of announcing the results of a survey.\Ever since Ryoko Asakura left at the beginning of spring,\no one's been crazy enough to try and take leadership of the class.\We're going, Kyon.\And so today, with a level of disinterest bordering on apathy,\I once again popped on over to the clubroom.\Why? response:	The reason was because the girl striding boldly beside me
context: and go with the half-assed idea of announcing the results of a survey.\Ever since Ryoko Asakura left at the beginning of spring,\no one's been crazy enough to try and take leadership of the class.\We're going, Kyon.\And so today, with a level of disinterest bordering on apathy,\I once again popped on over to the clubroom.\Why?\The reason was because the girl striding boldly beside me response:	said the following, and for no other reason.
context: Ever since Ryoko Asakura left at the beginning of spring,\no one's been crazy enough to try and take leadership of the class.\We're going, Kyon.\And so today, with a level of disinterest bordering on apathy,\I once again popped on over to the clubroom.\Why?\The reason was because the girl striding boldly beside me\said the following, and for no other reason. response:	Announcing the results of a survey? How dumb can you get?
context: no one's been crazy enough to try and take leadership of the class.\We're going, Kyon.\And so today, with a level of disinterest bordering on apathy,\I once again popped on over to the clubroom.\Why?\The reason was because the girl striding boldly beside me\said the following, and for no other reason.\Announcing the results of a survey? How dumb can you get? response:	What's fun about that? I don't get it at all!
context: We're going, Kyon.\And so today, with a level of disinterest bordering on apathy,\I once again popped on over to the clubroom.\Why?\The reason was because the girl striding boldly beside me\said the following, and for no other reason.\Announcing the results of a survey? How dumb can you get?\What's fun about that? I don't get it at all! response:	Then you should have spoken up earlier.
