context: Got you! response:	Damn, how could someone as graceful as myself have done that?
context: It's actually a kitty, now that I look carefully.\Are you okay, kitty?\Did you fall down like me?\I can't climb up there.\What should I do?\Who cares about that! How dare you call me a piglet?\How cute!\In the first place, this is just a temporary form. response:	My true form is much more grand!
context: Are you okay, kitty?\Did you fall down like me?\I can't climb up there.\What should I do?\Who cares about that! How dare you call me a piglet?\How cute!\In the first place, this is just a temporary form.\My true form is much more grand! response:	Don't laugh at me! Damn human children.
context: Did you fall down like me?\I can't climb up there.\What should I do?\Who cares about that! How dare you call me a piglet?\How cute!\In the first place, this is just a temporary form.\My true form is much more grand!\Don't laugh at me! Damn human children. response:	I'm really glad, though.
context: I can't climb up there.\What should I do?\Who cares about that! How dare you call me a piglet?\How cute!\In the first place, this is just a temporary form.\My true form is much more grand!\Don't laugh at me! Damn human children.\I'm really glad, though. response:	You aren't injured at all.
context: What should I do?\Who cares about that! How dare you call me a piglet?\How cute!\In the first place, this is just a temporary form.\My true form is much more grand!\Don't laugh at me! Damn human children.\I'm really glad, though.\You aren't injured at all. response:	No, no, I can't stay with her.
context: Who cares about that! How dare you call me a piglet?\How cute!\In the first place, this is just a temporary form.\My true form is much more grand!\Don't laugh at me! Damn human children.\I'm really glad, though.\You aren't injured at all.\No, no, I can't stay with her. response:	I have to climb out of here right away.
context: How cute!\In the first place, this is just a temporary form.\My true form is much more grand!\Don't laugh at me! Damn human children.\I'm really glad, though.\You aren't injured at all.\No, no, I can't stay with her.\I have to climb out of here right away. response:	Wait, kitty! Don't go!
context: In the first place, this is just a temporary form.\My true form is much more grand!\Don't laugh at me! Damn human children.\I'm really glad, though.\You aren't injured at all.\No, no, I can't stay with her.\I have to climb out of here right away.\Wait, kitty! Don't go! response:	Don't leave me alone!
context: My true form is much more grand!\Don't laugh at me! Damn human children.\I'm really glad, though.\You aren't injured at all.\No, no, I can't stay with her.\I have to climb out of here right away.\Wait, kitty! Don't go!\Don't leave me alone! response:	Geez, this is why I hate human children.
context: Don't laugh at me! Damn human children.\I'm really glad, though.\You aren't injured at all.\No, no, I can't stay with her.\I have to climb out of here right away.\Wait, kitty! Don't go!\Don't leave me alone!\Geez, this is why I hate human children. response:	Kitty...
context: I'm really glad, though.\You aren't injured at all.\No, no, I can't stay with her.\I have to climb out of here right away.\Wait, kitty! Don't go!\Don't leave me alone!\Geez, this is why I hate human children.\Kitty... response:	You sort of... smell strongly of sake.
context: You aren't injured at all.\No, no, I can't stay with her.\I have to climb out of here right away.\Wait, kitty! Don't go!\Don't leave me alone!\Geez, this is why I hate human children.\Kitty...\You sort of... smell strongly of sake. response:	I'm back!
context: No, no, I can't stay with her.\I have to climb out of here right away.\Wait, kitty! Don't go!\Don't leave me alone!\Geez, this is why I hate human children.\Kitty...\You sort of... smell strongly of sake.\I'm back! response:	I'm back, Touko-san.
context: I have to climb out of here right away.\Wait, kitty! Don't go!\Don't leave me alone!\Geez, this is why I hate human children.\Kitty...\You sort of... smell strongly of sake.\I'm back!\I'm back, Touko-san. response:	I'm going to go change.
context: Wait, kitty! Don't go!\Don't leave me alone!\Geez, this is why I hate human children.\Kitty...\You sort of... smell strongly of sake.\I'm back!\I'm back, Touko-san.\I'm going to go change. response:	Okay.
context: Don't leave me alone!\Geez, this is why I hate human children.\Kitty...\You sort of... smell strongly of sake.\I'm back!\I'm back, Touko-san.\I'm going to go change.\Okay. response:	Is something wrong?
context: Geez, this is why I hate human children.\Kitty...\You sort of... smell strongly of sake.\I'm back!\I'm back, Touko-san.\I'm going to go change.\Okay.\Is something wrong? response:	Yeah, you see...
context: Kitty...\You sort of... smell strongly of sake.\I'm back!\I'm back, Touko-san.\I'm going to go change.\Okay.\Is something wrong?\Yeah, you see... response:	I see.
context: You sort of... smell strongly of sake.\I'm back!\I'm back, Touko-san.\I'm going to go change.\Okay.\Is something wrong?\Yeah, you see...\I see. response:	The recession is just as bad.
context: I'm back!\I'm back, Touko-san.\I'm going to go change.\Okay.\Is something wrong?\Yeah, you see...\I see.\The recession is just as bad. response:	The stocks are...
context: I'm back, Touko-san.\I'm going to go change.\Okay.\Is something wrong?\Yeah, you see...\I see.\The recession is just as bad.\The stocks are... response:	Sensei!
context: I'm going to go change.\Okay.\Is something wrong?\Yeah, you see...\I see.\The recession is just as bad.\The stocks are...\Sensei! response:	Touko-san said the shrimp in the fridge are gone.
context: Okay.\Is something wrong?\Yeah, you see...\I see.\The recession is just as bad.\The stocks are...\Sensei!\Touko-san said the shrimp in the fridge are gone. response:	Oh? Well, that's quite odd.
context: Is something wrong?\Yeah, you see...\I see.\The recession is just as bad.\The stocks are...\Sensei!\Touko-san said the shrimp in the fridge are gone.\Oh? Well, that's quite odd. response:	You ate them, didn't you?
context: Yeah, you see...\I see.\The recession is just as bad.\The stocks are...\Sensei!\Touko-san said the shrimp in the fridge are gone.\Oh? Well, that's quite odd.\You ate them, didn't you? response:	What?
context: I see.\The recession is just as bad.\The stocks are...\Sensei!\Touko-san said the shrimp in the fridge are gone.\Oh? Well, that's quite odd.\You ate them, didn't you?\What? response:	I told you so many times not to bother the other people in this house.
context: The recession is just as bad.\The stocks are...\Sensei!\Touko-san said the shrimp in the fridge are gone.\Oh? Well, that's quite odd.\You ate them, didn't you?\What?\I told you so many times not to bother the other people in this house. response:	Fool! Are you doubting me?
context: The stocks are...\Sensei!\Touko-san said the shrimp in the fridge are gone.\Oh? Well, that's quite odd.\You ate them, didn't you?\What?\I told you so many times not to bother the other people in this house.\Fool! Are you doubting me? response:	Of course.
context: Sensei!\Touko-san said the shrimp in the fridge are gone.\Oh? Well, that's quite odd.\You ate them, didn't you?\What?\I told you so many times not to bother the other people in this house.\Fool! Are you doubting me?\Of course. response:	It's got nothing to do with me.
context: Touko-san said the shrimp in the fridge are gone.\Oh? Well, that's quite odd.\You ate them, didn't you?\What?\I told you so many times not to bother the other people in this house.\Fool! Are you doubting me?\Of course.\It's got nothing to do with me. response:	Besides, don't make such a big fuss over one or thirteen shrimp, you ignorant boy!
context: Oh? Well, that's quite odd.\You ate them, didn't you?\What?\I told you so many times not to bother the other people in this house.\Fool! Are you doubting me?\Of course.\It's got nothing to do with me.\Besides, don't make such a big fuss over one or thirteen shrimp, you ignorant boy! response:	This is the CD I borrowed from Nishimura.
context: You ate them, didn't you?\What?\I told you so many times not to bother the other people in this house.\Fool! Are you doubting me?\Of course.\It's got nothing to do with me.\Besides, don't make such a big fuss over one or thirteen shrimp, you ignorant boy!\This is the CD I borrowed from Nishimura. response:	What are you going to do about it?
context: What?\I told you so many times not to bother the other people in this house.\Fool! Are you doubting me?\Of course.\It's got nothing to do with me.\Besides, don't make such a big fuss over one or thirteen shrimp, you ignorant boy!\This is the CD I borrowed from Nishimura.\What are you going to do about it? response:	It's your fault for leaving it there, idio-
context: I told you so many times not to bother the other people in this house.\Fool! Are you doubting me?\Of course.\It's got nothing to do with me.\Besides, don't make such a big fuss over one or thirteen shrimp, you ignorant boy!\This is the CD I borrowed from Nishimura.\What are you going to do about it?\It's your fault for leaving it there, idio- response:	So it was you!
context: Fool! Are you doubting me?\Of course.\It's got nothing to do with me.\Besides, don't make such a big fuss over one or thirteen shrimp, you ignorant boy!\This is the CD I borrowed from Nishimura.\What are you going to do about it?\It's your fault for leaving it there, idio-\So it was you! response:	Get out!
context: Of course.\It's got nothing to do with me.\Besides, don't make such a big fuss over one or thirteen shrimp, you ignorant boy!\This is the CD I borrowed from Nishimura.\What are you going to do about it?\It's your fault for leaving it there, idio-\So it was you!\Get out! response:	I'm tired of being with you!
context: It's got nothing to do with me.\Besides, don't make such a big fuss over one or thirteen shrimp, you ignorant boy!\This is the CD I borrowed from Nishimura.\What are you going to do about it?\It's your fault for leaving it there, idio-\So it was you!\Get out!\I'm tired of being with you! response:	Natsume, you damn punked-out, baldy, white asparagus!
context: Besides, don't make such a big fuss over one or thirteen shrimp, you ignorant boy!\This is the CD I borrowed from Nishimura.\What are you going to do about it?\It's your fault for leaving it there, idio-\So it was you!\Get out!\I'm tired of being with you!\Natsume, you damn punked-out, baldy, white asparagus! response:	Takashi-kun, I heard a big sound!
context: This is the CD I borrowed from Nishimura.\What are you going to do about it?\It's your fault for leaving it there, idio-\So it was you!\Get out!\I'm tired of being with you!\Natsume, you damn punked-out, baldy, white asparagus!\Takashi-kun, I heard a big sound! response:	Sorry, it was nothing!
context: What are you going to do about it?\It's your fault for leaving it there, idio-\So it was you!\Get out!\I'm tired of being with you!\Natsume, you damn punked-out, baldy, white asparagus!\Takashi-kun, I heard a big sound!\Sorry, it was nothing! response:	Natsume, you damn punked-out, baldy, white asparagus!
context: It's your fault for leaving it there, idio-\So it was you!\Get out!\I'm tired of being with you!\Natsume, you damn punked-out, baldy, white asparagus!\Takashi-kun, I heard a big sound!\Sorry, it was nothing!\Natsume, you damn punked-out, baldy, white asparagus! response:	Stupid Natsume.
context: So it was you!\Get out!\I'm tired of being with you!\Natsume, you damn punked-out, baldy, white asparagus!\Takashi-kun, I heard a big sound!\Sorry, it was nothing!\Natsume, you damn punked-out, baldy, white asparagus!\Stupid Natsume. response:	Still, that fat cat is a real bother.
context: Get out!\I'm tired of being with you!\Natsume, you damn punked-out, baldy, white asparagus!\Takashi-kun, I heard a big sound!\Sorry, it was nothing!\Natsume, you damn punked-out, baldy, white asparagus!\Stupid Natsume.\Still, that fat cat is a real bother. response:	He comes here every night and drinks like crazy.
context: I'm tired of being with you!\Natsume, you damn punked-out, baldy, white asparagus!\Takashi-kun, I heard a big sound!\Sorry, it was nothing!\Natsume, you damn punked-out, baldy, white asparagus!\Stupid Natsume.\Still, that fat cat is a real bother.\He comes here every night and drinks like crazy. response:	Drinks, drinks.
context: Natsume, you damn punked-out, baldy, white asparagus!\Takashi-kun, I heard a big sound!\Sorry, it was nothing!\Natsume, you damn punked-out, baldy, white asparagus!\Stupid Natsume.\Still, that fat cat is a real bother.\He comes here every night and drinks like crazy.\Drinks, drinks. response:	And it's not just sake! He eats boatloads!
context: Takashi-kun, I heard a big sound!\Sorry, it was nothing!\Natsume, you damn punked-out, baldy, white asparagus!\Stupid Natsume.\Still, that fat cat is a real bother.\He comes here every night and drinks like crazy.\Drinks, drinks.\And it's not just sake! He eats boatloads! response:	Eats, eats.
context: Sorry, it was nothing!\Natsume, you damn punked-out, baldy, white asparagus!\Stupid Natsume.\Still, that fat cat is a real bother.\He comes here every night and drinks like crazy.\Drinks, drinks.\And it's not just sake! He eats boatloads!\Eats, eats. response:	He sings too.
context: Natsume, you damn punked-out, baldy, white asparagus!\Stupid Natsume.\Still, that fat cat is a real bother.\He comes here every night and drinks like crazy.\Drinks, drinks.\And it's not just sake! He eats boatloads!\Eats, eats.\He sings too. response:	Tone-deaf, tone-deaf.
context: Stupid Natsume.\Still, that fat cat is a real bother.\He comes here every night and drinks like crazy.\Drinks, drinks.\And it's not just sake! He eats boatloads!\Eats, eats.\He sings too.\Tone-deaf, tone-deaf. response:	He's a bad drunk, too.
context: Still, that fat cat is a real bother.\He comes here every night and drinks like crazy.\Drinks, drinks.\And it's not just sake! He eats boatloads!\Eats, eats.\He sings too.\Tone-deaf, tone-deaf.\He's a bad drunk, too. response:	That's right! He goes wild after he drinks.
context: He comes here every night and drinks like crazy.\Drinks, drinks.\And it's not just sake! He eats boatloads!\Eats, eats.\He sings too.\Tone-deaf, tone-deaf.\He's a bad drunk, too.\That's right! He goes wild after he drinks. response:	Drunken frenzy, drunken frenzy.
context: Drinks, drinks.\And it's not just sake! He eats boatloads!\Eats, eats.\He sings too.\Tone-deaf, tone-deaf.\He's a bad drunk, too.\That's right! He goes wild after he drinks.\Drunken frenzy, drunken frenzy. response:	So, what are we going to do?
context: And it's not just sake! He eats boatloads!\Eats, eats.\He sings too.\Tone-deaf, tone-deaf.\He's a bad drunk, too.\That's right! He goes wild after he drinks.\Drunken frenzy, drunken frenzy.\So, what are we going to do? response:	It's true that Natsume-dono is this Eight Field's savior,
context: Eats, eats.\He sings too.\Tone-deaf, tone-deaf.\He's a bad drunk, too.\That's right! He goes wild after he drinks.\Drunken frenzy, drunken frenzy.\So, what are we going to do?\It's true that Natsume-dono is this Eight Field's savior, response:	but we need to watch out for that big-eating, tone-deaf, drunken cat.
context: He sings too.\Tone-deaf, tone-deaf.\He's a bad drunk, too.\That's right! He goes wild after he drinks.\Drunken frenzy, drunken frenzy.\So, what are we going to do?\It's true that Natsume-dono is this Eight Field's savior,\but we need to watch out for that big-eating, tone-deaf, drunken cat. response:	But, still! There's a limit to how much we can take!
context: Tone-deaf, tone-deaf.\He's a bad drunk, too.\That's right! He goes wild after he drinks.\Drunken frenzy, drunken frenzy.\So, what are we going to do?\It's true that Natsume-dono is this Eight Field's savior,\but we need to watch out for that big-eating, tone-deaf, drunken cat.\But, still! There's a limit to how much we can take! response:	Right, right.
context: He's a bad drunk, too.\That's right! He goes wild after he drinks.\Drunken frenzy, drunken frenzy.\So, what are we going to do?\It's true that Natsume-dono is this Eight Field's savior,\but we need to watch out for that big-eating, tone-deaf, drunken cat.\But, still! There's a limit to how much we can take!\Right, right. response:	All right, for the peace of the Eight Fields,
context: That's right! He goes wild after he drinks.\Drunken frenzy, drunken frenzy.\So, what are we going to do?\It's true that Natsume-dono is this Eight Field's savior,\but we need to watch out for that big-eating, tone-deaf, drunken cat.\But, still! There's a limit to how much we can take!\Right, right.\All right, for the peace of the Eight Fields, response:	we'll make that big-eating, tone-deaf, drunken, old cat pay double!
context: Drunken frenzy, drunken frenzy.\So, what are we going to do?\It's true that Natsume-dono is this Eight Field's savior,\but we need to watch out for that big-eating, tone-deaf, drunken cat.\But, still! There's a limit to how much we can take!\Right, right.\All right, for the peace of the Eight Fields,\we'll make that big-eating, tone-deaf, drunken, old cat pay double! response:	Double, double!
context: So, what are we going to do?\It's true that Natsume-dono is this Eight Field's savior,\but we need to watch out for that big-eating, tone-deaf, drunken cat.\But, still! There's a limit to how much we can take!\Right, right.\All right, for the peace of the Eight Fields,\we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Double, double! response:	For the peace of the Eight Fields, we'll make that big-eating, tone-deaf, drunken, old cat pay double!
context: It's true that Natsume-dono is this Eight Field's savior,\but we need to watch out for that big-eating, tone-deaf, drunken cat.\But, still! There's a limit to how much we can take!\Right, right.\All right, for the peace of the Eight Fields,\we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Double, double!\For the peace of the Eight Fields, we'll make that big-eating, tone-deaf, drunken, old cat pay double! response:	Bravo!
context: but we need to watch out for that big-eating, tone-deaf, drunken cat.\But, still! There's a limit to how much we can take!\Right, right.\All right, for the peace of the Eight Fields,\we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Double, double!\For the peace of the Eight Fields, we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Bravo! response:	Ma-Madara-sama!
context: But, still! There's a limit to how much we can take!\Right, right.\All right, for the peace of the Eight Fields,\we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Double, double!\For the peace of the Eight Fields, we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Bravo!\Ma-Madara-sama! response:	That's right.
context: Right, right.\All right, for the peace of the Eight Fields,\we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Double, double!\For the peace of the Eight Fields, we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Bravo!\Ma-Madara-sama!\That's right. response:	I'm a big eater,
context: All right, for the peace of the Eight Fields,\we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Double, double!\For the peace of the Eight Fields, we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Bravo!\Ma-Madara-sama!\That's right.\I'm a big eater, response:	a bad drunk,
context: we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Double, double!\For the peace of the Eight Fields, we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Bravo!\Ma-Madara-sama!\That's right.\I'm a big eater,\a bad drunk, response:	tone-deaf,
context: Double, double!\For the peace of the Eight Fields, we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Bravo!\Ma-Madara-sama!\That's right.\I'm a big eater,\a bad drunk,\tone-deaf, response:	and old!
context: For the peace of the Eight Fields, we'll make that big-eating, tone-deaf, drunken, old cat pay double!\Bravo!\Ma-Madara-sama!\That's right.\I'm a big eater,\a bad drunk,\tone-deaf,\and old! response:	I eat thirteen shrimps from the fridge,
context: Bravo!\Ma-Madara-sama!\That's right.\I'm a big eater,\a bad drunk,\tone-deaf,\and old!\I eat thirteen shrimps from the fridge, response:	and I'm bad with CDs!
context: Ma-Madara-sama!\That's right.\I'm a big eater,\a bad drunk,\tone-deaf,\and old!\I eat thirteen shrimps from the fridge,\and I'm bad with CDs! response:	Take this!
context: That's right.\I'm a big eater,\a bad drunk,\tone-deaf,\and old!\I eat thirteen shrimps from the fridge,\and I'm bad with CDs!\Take this! response:	Note: A, B sounds like ebi (shrimp) and C, D for CD.
context: I'm a big eater,\a bad drunk,\tone-deaf,\and old!\I eat thirteen shrimps from the fridge,\and I'm bad with CDs!\Take this!\Note: A, B sounds like ebi (shrimp) and C, D for CD. response:	E, F, G...
context: a bad drunk,\tone-deaf,\and old!\I eat thirteen shrimps from the fridge,\and I'm bad with CDs!\Take this!\Note: A, B sounds like ebi (shrimp) and C, D for CD.\E, F, G... response:	Hey, you there, monk.
context: tone-deaf,\and old!\I eat thirteen shrimps from the fridge,\and I'm bad with CDs!\Take this!\Note: A, B sounds like ebi (shrimp) and C, D for CD.\E, F, G...\Hey, you there, monk. response:	Who are you?
context: and old!\I eat thirteen shrimps from the fridge,\and I'm bad with CDs!\Take this!\Note: A, B sounds like ebi (shrimp) and C, D for CD.\E, F, G...\Hey, you there, monk.\Who are you? response:	Exorcise the Eight Fields.
context: I eat thirteen shrimps from the fridge,\and I'm bad with CDs!\Take this!\Note: A, B sounds like ebi (shrimp) and C, D for CD.\E, F, G...\Hey, you there, monk.\Who are you?\Exorcise the Eight Fields. response:	That place is a den for ungrateful Ayakashi.
context: and I'm bad with CDs!\Take this!\Note: A, B sounds like ebi (shrimp) and C, D for CD.\E, F, G...\Hey, you there, monk.\Who are you?\Exorcise the Eight Fields.\That place is a den for ungrateful Ayakashi. response:	You should purify them so that they won't go wild.
context: Take this!\Note: A, B sounds like ebi (shrimp) and C, D for CD.\E, F, G...\Hey, you there, monk.\Who are you?\Exorcise the Eight Fields.\That place is a den for ungrateful Ayakashi.\You should purify them so that they won't go wild. response:	Thoroughly and completely.
context: Note: A, B sounds like ebi (shrimp) and C, D for CD.\E, F, G...\Hey, you there, monk.\Who are you?\Exorcise the Eight Fields.\That place is a den for ungrateful Ayakashi.\You should purify them so that they won't go wild.\Thoroughly and completely. response:	Hold it.
context: E, F, G...\Hey, you there, monk.\Who are you?\Exorcise the Eight Fields.\That place is a den for ungrateful Ayakashi.\You should purify them so that they won't go wild.\Thoroughly and completely.\Hold it. response:	I'm back, dad.
context: Hey, you there, monk.\Who are you?\Exorcise the Eight Fields.\That place is a den for ungrateful Ayakashi.\You should purify them so that they won't go wild.\Thoroughly and completely.\Hold it.\I'm back, dad. response:	I just felt something strange.
context: Who are you?\Exorcise the Eight Fields.\That place is a den for ungrateful Ayakashi.\You should purify them so that they won't go wild.\Thoroughly and completely.\Hold it.\I'm back, dad.\I just felt something strange. response:	Hey, what should we do after this?
context: Exorcise the Eight Fields.\That place is a den for ungrateful Ayakashi.\You should purify them so that they won't go wild.\Thoroughly and completely.\Hold it.\I'm back, dad.\I just felt something strange.\Hey, what should we do after this? response:	Go home, we've got homework.
context: That place is a den for ungrateful Ayakashi.\You should purify them so that they won't go wild.\Thoroughly and completely.\Hold it.\I'm back, dad.\I just felt something strange.\Hey, what should we do after this?\Go home, we've got homework. response:	Ah, that's right.
context: You should purify them so that they won't go wild.\Thoroughly and completely.\Hold it.\I'm back, dad.\I just felt something strange.\Hey, what should we do after this?\Go home, we've got homework.\Ah, that's right. response:	It's so hot.
context: Thoroughly and completely.\Hold it.\I'm back, dad.\I just felt something strange.\Hey, what should we do after this?\Go home, we've got homework.\Ah, that's right.\It's so hot. response:	Mareina.
context: Hold it.\I'm back, dad.\I just felt something strange.\Hey, what should we do after this?\Go home, we've got homework.\Ah, that's right.\It's so hot.\Mareina. response:	It's expensive.
context: I'm back, dad.\I just felt something strange.\Hey, what should we do after this?\Go home, we've got homework.\Ah, that's right.\It's so hot.\Mareina.\It's expensive. response:	I bought it.
context: I just felt something strange.\Hey, what should we do after this?\Go home, we've got homework.\Ah, that's right.\It's so hot.\Mareina.\It's expensive.\I bought it. response:	I haven't seen that uniform before.
context: Hey, what should we do after this?\Go home, we've got homework.\Ah, that's right.\It's so hot.\Mareina.\It's expensive.\I bought it.\I haven't seen that uniform before. response:	Which school is it from?
context: Go home, we've got homework.\Ah, that's right.\It's so hot.\Mareina.\It's expensive.\I bought it.\I haven't seen that uniform before.\Which school is it from? response:	Not sure.
context: Ah, that's right.\It's so hot.\Mareina.\It's expensive.\I bought it.\I haven't seen that uniform before.\Which school is it from?\Not sure. response:	Hey, wait.
context: It's so hot.\Mareina.\It's expensive.\I bought it.\I haven't seen that uniform before.\Which school is it from?\Not sure.\Hey, wait. response:	Hey, which school are you from?
context: Mareina.\It's expensive.\I bought it.\I haven't seen that uniform before.\Which school is it from?\Not sure.\Hey, wait.\Hey, which school are you from? response:	Oh, it's you two.
context: It's expensive.\I bought it.\I haven't seen that uniform before.\Which school is it from?\Not sure.\Hey, wait.\Hey, which school are you from?\Oh, it's you two. response:	You're Natsume's classmates, right?
context: I bought it.\I haven't seen that uniform before.\Which school is it from?\Not sure.\Hey, wait.\Hey, which school are you from?\Oh, it's you two.\You're Natsume's classmates, right? response:	Oh, you're his friend.
context: I haven't seen that uniform before.\Which school is it from?\Not sure.\Hey, wait.\Hey, which school are you from?\Oh, it's you two.\You're Natsume's classmates, right?\Oh, you're his friend. response:	Friend?
context: Which school is it from?\Not sure.\Hey, wait.\Hey, which school are you from?\Oh, it's you two.\You're Natsume's classmates, right?\Oh, you're his friend.\Friend? response:	No, I'm his sensei.
context: Not sure.\Hey, wait.\Hey, which school are you from?\Oh, it's you two.\You're Natsume's classmates, right?\Oh, you're his friend.\Friend?\No, I'm his sensei. response:	Sensei?
context: Hey, wait.\Hey, which school are you from?\Oh, it's you two.\You're Natsume's classmates, right?\Oh, you're his friend.\Friend?\No, I'm his sensei.\Sensei? response:	We just broke up, though.
context: Hey, which school are you from?\Oh, it's you two.\You're Natsume's classmates, right?\Oh, you're his friend.\Friend?\No, I'm his sensei.\Sensei?\We just broke up, though. response:	You two! Come with me for a bit.
context: Oh, it's you two.\You're Natsume's classmates, right?\Oh, you're his friend.\Friend?\No, I'm his sensei.\Sensei?\We just broke up, though.\You two! Come with me for a bit. response:	How much do you have?
context: You're Natsume's classmates, right?\Oh, you're his friend.\Friend?\No, I'm his sensei.\Sensei?\We just broke up, though.\You two! Come with me for a bit.\How much do you have? response:	I used a lot at the arcade.
context: Oh, you're his friend.\Friend?\No, I'm his sensei.\Sensei?\We just broke up, though.\You two! Come with me for a bit.\How much do you have?\I used a lot at the arcade. response:	Hey.
context: Friend?\No, I'm his sensei.\Sensei?\We just broke up, though.\You two! Come with me for a bit.\How much do you have?\I used a lot at the arcade.\Hey. response:	Order another mixed pizza and a gratin.
context: No, I'm his sensei.\Sensei?\We just broke up, though.\You two! Come with me for a bit.\How much do you have?\I used a lot at the arcade.\Hey.\Order another mixed pizza and a gratin. response:	You're still going to eat?
context: Sensei?\We just broke up, though.\You two! Come with me for a bit.\How much do you have?\I used a lot at the arcade.\Hey.\Order another mixed pizza and a gratin.\You're still going to eat? response:	Aren't you eating a bit too much?
context: We just broke up, though.\You two! Come with me for a bit.\How much do you have?\I used a lot at the arcade.\Hey.\Order another mixed pizza and a gratin.\You're still going to eat?\Aren't you eating a bit too much? response:	Don't worry, eating a lot is good for you.
context: You two! Come with me for a bit.\How much do you have?\I used a lot at the arcade.\Hey.\Order another mixed pizza and a gratin.\You're still going to eat?\Aren't you eating a bit too much?\Don't worry, eating a lot is good for you. response:	No, the problem is that it's not good for our wallets.
context: How much do you have?\I used a lot at the arcade.\Hey.\Order another mixed pizza and a gratin.\You're still going to eat?\Aren't you eating a bit too much?\Don't worry, eating a lot is good for you.\No, the problem is that it's not good for our wallets. response:	What?
context: I used a lot at the arcade.\Hey.\Order another mixed pizza and a gratin.\You're still going to eat?\Aren't you eating a bit too much?\Don't worry, eating a lot is good for you.\No, the problem is that it's not good for our wallets.\What? response:	No, nothing.
context: Hey.\Order another mixed pizza and a gratin.\You're still going to eat?\Aren't you eating a bit too much?\Don't worry, eating a lot is good for you.\No, the problem is that it's not good for our wallets.\What?\No, nothing. response:	By the way, what's an arcade?
context: Order another mixed pizza and a gratin.\You're still going to eat?\Aren't you eating a bit too much?\Don't worry, eating a lot is good for you.\No, the problem is that it's not good for our wallets.\What?\No, nothing.\By the way, what's an arcade? response:	A type of rice cracker?
context: You're still going to eat?\Aren't you eating a bit too much?\Don't worry, eating a lot is good for you.\No, the problem is that it's not good for our wallets.\What?\No, nothing.\By the way, what's an arcade?\A type of rice cracker? response:	Here's your hotdog.
context: Aren't you eating a bit too much?\Don't worry, eating a lot is good for you.\No, the problem is that it's not good for our wallets.\What?\No, nothing.\By the way, what's an arcade?\A type of rice cracker?\Here's your hotdog. response:	Thanks, I'd like a pizza and gratin too.
context: Don't worry, eating a lot is good for you.\No, the problem is that it's not good for our wallets.\What?\No, nothing.\By the way, what's an arcade?\A type of rice cracker?\Here's your hotdog.\Thanks, I'd like a pizza and gratin too. response:	Geez, what a waste of money.
