context: We don't know Eto Sensei, do we? response:	Right, Nodame's Sensei is Tanioka Sensei, you know.
context: It's to be used for exercise in the kindergarten\Together with Tanioka Sensei, I plan to complete it by the time\of education internship, including the body movements too\What the heck were you doing, up to now??\Oi! Classic!\Play classical piece as normally!\What do you mean by normally?\Like Chopin, or Liszt!! response:	You must know even if only one piece, don't you?
context: Together with Tanioka Sensei, I plan to complete it by the time\of education internship, including the body movements too\What the heck were you doing, up to now??\Oi! Classic!\Play classical piece as normally!\What do you mean by normally?\Like Chopin, or Liszt!!\You must know even if only one piece, don't you? response:	Ah! Okay...Mary-san...
context: of education internship, including the body movements too\What the heck were you doing, up to now??\Oi! Classic!\Play classical piece as normally!\What do you mean by normally?\Like Chopin, or Liszt!!\You must know even if only one piece, don't you?\Ah! Okay...Mary-san... response:	What piece is this!
context: What the heck were you doing, up to now??\Oi! Classic!\Play classical piece as normally!\What do you mean by normally?\Like Chopin, or Liszt!!\You must know even if only one piece, don't you?\Ah! Okay...Mary-san...\What piece is this! response:	Here is not a kindergarten or a small music lesson in town!
context: Oi! Classic!\Play classical piece as normally!\What do you mean by normally?\Like Chopin, or Liszt!!\You must know even if only one piece, don't you?\Ah! Okay...Mary-san...\What piece is this!\Here is not a kindergarten or a small music lesson in town! response:	This is a MUSIC ACADEMY!!
context: Play classical piece as normally!\What do you mean by normally?\Like Chopin, or Liszt!!\You must know even if only one piece, don't you?\Ah! Okay...Mary-san...\What piece is this!\Here is not a kindergarten or a small music lesson in town!\This is a MUSIC ACADEMY!! response:	Moreover you're already a student whom I selected!
context: What do you mean by normally?\Like Chopin, or Liszt!!\You must know even if only one piece, don't you?\Ah! Okay...Mary-san...\What piece is this!\Here is not a kindergarten or a small music lesson in town!\This is a MUSIC ACADEMY!!\Moreover you're already a student whom I selected! response:	Do you get it?!
context: Like Chopin, or Liszt!!\You must know even if only one piece, don't you?\Ah! Okay...Mary-san...\What piece is this!\Here is not a kindergarten or a small music lesson in town!\This is a MUSIC ACADEMY!!\Moreover you're already a student whom I selected!\Do you get it?! response:	You cannot play around for even a second...
context: You must know even if only one piece, don't you?\Ah! Okay...Mary-san...\What piece is this!\Here is not a kindergarten or a small music lesson in town!\This is a MUSIC ACADEMY!!\Moreover you're already a student whom I selected!\Do you get it?!\You cannot play around for even a second... response:	PLAYING AROUND, YOU SAID??! (she suddenly speaks with an accent like him)
context: Ah! Okay...Mary-san...\What piece is this!\Here is not a kindergarten or a small music lesson in town!\This is a MUSIC ACADEMY!!\Moreover you're already a student whom I selected!\Do you get it?!\You cannot play around for even a second...\PLAYING AROUND, YOU SAID??! (she suddenly speaks with an accent like him) response:	NODAME IS DOING IT SERIOUSLY!
context: What piece is this!\Here is not a kindergarten or a small music lesson in town!\This is a MUSIC ACADEMY!!\Moreover you're already a student whom I selected!\Do you get it?!\You cannot play around for even a second...\PLAYING AROUND, YOU SAID??! (she suddenly speaks with an accent like him)\NODAME IS DOING IT SERIOUSLY! response:	Mary-san's...
context: Here is not a kindergarten or a small music lesson in town!\This is a MUSIC ACADEMY!!\Moreover you're already a student whom I selected!\Do you get it?!\You cannot play around for even a second...\PLAYING AROUND, YOU SAID??! (she suddenly speaks with an accent like him)\NODAME IS DOING IT SERIOUSLY!\Mary-san's... response:	WHAT'S WRONG WITH IT?!
context: This is a MUSIC ACADEMY!!\Moreover you're already a student whom I selected!\Do you get it?!\You cannot play around for even a second...\PLAYING AROUND, YOU SAID??! (she suddenly speaks with an accent like him)\NODAME IS DOING IT SERIOUSLY!\Mary-san's...\WHAT'S WRONG WITH IT?! response:	NODAME'S STUDYING PROPERLY!
context: Moreover you're already a student whom I selected!\Do you get it?!\You cannot play around for even a second...\PLAYING AROUND, YOU SAID??! (she suddenly speaks with an accent like him)\NODAME IS DOING IT SERIOUSLY!\Mary-san's...\WHAT'S WRONG WITH IT?!\NODAME'S STUDYING PROPERLY! response:	Don't address me with Omae (=you, but rude)
context: Do you get it?!\You cannot play around for even a second...\PLAYING AROUND, YOU SAID??! (she suddenly speaks with an accent like him)\NODAME IS DOING IT SERIOUSLY!\Mary-san's...\WHAT'S WRONG WITH IT?!\NODAME'S STUDYING PROPERLY!\Don't address me with Omae (=you, but rude) response:	Heeeh???
context: You cannot play around for even a second...\PLAYING AROUND, YOU SAID??! (she suddenly speaks with an accent like him)\NODAME IS DOING IT SERIOUSLY!\Mary-san's...\WHAT'S WRONG WITH IT?!\NODAME'S STUDYING PROPERLY!\Don't address me with Omae (=you, but rude)\Heeeh??? response:	Tanioka Sensei!!
context: PLAYING AROUND, YOU SAID??! (she suddenly speaks with an accent like him)\NODAME IS DOING IT SERIOUSLY!\Mary-san's...\WHAT'S WRONG WITH IT?!\NODAME'S STUDYING PROPERLY!\Don't address me with Omae (=you, but rude)\Heeeh???\Tanioka Sensei!! response:	Sorry...
context: NODAME IS DOING IT SERIOUSLY!\Mary-san's...\WHAT'S WRONG WITH IT?!\NODAME'S STUDYING PROPERLY!\Don't address me with Omae (=you, but rude)\Heeeh???\Tanioka Sensei!!\Sorry... response:	Noda-kun, you entered the wrong room
context: Mary-san's...\WHAT'S WRONG WITH IT?!\NODAME'S STUDYING PROPERLY!\Don't address me with Omae (=you, but rude)\Heeeh???\Tanioka Sensei!!\Sorry...\Noda-kun, you entered the wrong room response:	Why did the instructor suddenly change?!
context: WHAT'S WRONG WITH IT?!\NODAME'S STUDYING PROPERLY!\Don't address me with Omae (=you, but rude)\Heeeh???\Tanioka Sensei!!\Sorry...\Noda-kun, you entered the wrong room\Why did the instructor suddenly change?! response:	Oh, so I haven't told you?
context: NODAME'S STUDYING PROPERLY!\Don't address me with Omae (=you, but rude)\Heeeh???\Tanioka Sensei!!\Sorry...\Noda-kun, you entered the wrong room\Why did the instructor suddenly change?!\Oh, so I haven't told you? response:	It's Eto Sensei's request, he said he wanted to be your instructor
context: Don't address me with Omae (=you, but rude)\Heeeh???\Tanioka Sensei!!\Sorry...\Noda-kun, you entered the wrong room\Why did the instructor suddenly change?!\Oh, so I haven't told you?\It's Eto Sensei's request, he said he wanted to be your instructor response:	So it simply changed just like that?
context: Heeeh???\Tanioka Sensei!!\Sorry...\Noda-kun, you entered the wrong room\Why did the instructor suddenly change?!\Oh, so I haven't told you?\It's Eto Sensei's request, he said he wanted to be your instructor\So it simply changed just like that? response:	Yes, because I know once he said it he wouldn't listen,
context: Tanioka Sensei!!\Sorry...\Noda-kun, you entered the wrong room\Why did the instructor suddenly change?!\Oh, so I haven't told you?\It's Eto Sensei's request, he said he wanted to be your instructor\So it simply changed just like that?\Yes, because I know once he said it he wouldn't listen, response:	he has more authority than me,
context: Sorry...\Noda-kun, you entered the wrong room\Why did the instructor suddenly change?!\Oh, so I haven't told you?\It's Eto Sensei's request, he said he wanted to be your instructor\So it simply changed just like that?\Yes, because I know once he said it he wouldn't listen,\he has more authority than me, response:	he also seems to be enthusiastic in doing it.
context: Noda-kun, you entered the wrong room\Why did the instructor suddenly change?!\Oh, so I haven't told you?\It's Eto Sensei's request, he said he wanted to be your instructor\So it simply changed just like that?\Yes, because I know once he said it he wouldn't listen,\he has more authority than me,\he also seems to be enthusiastic in doing it. response:	Furthermore, I thought it would be interesting
context: Why did the instructor suddenly change?!\Oh, so I haven't told you?\It's Eto Sensei's request, he said he wanted to be your instructor\So it simply changed just like that?\Yes, because I know once he said it he wouldn't listen,\he has more authority than me,\he also seems to be enthusiastic in doing it.\Furthermore, I thought it would be interesting response:	the combination of you and Eto-kun
context: Oh, so I haven't told you?\It's Eto Sensei's request, he said he wanted to be your instructor\So it simply changed just like that?\Yes, because I know once he said it he wouldn't listen,\he has more authority than me,\he also seems to be enthusiastic in doing it.\Furthermore, I thought it would be interesting\the combination of you and Eto-kun response:	It's NOT interesting at all!!
context: It's Eto Sensei's request, he said he wanted to be your instructor\So it simply changed just like that?\Yes, because I know once he said it he wouldn't listen,\he has more authority than me,\he also seems to be enthusiastic in doing it.\Furthermore, I thought it would be interesting\the combination of you and Eto-kun\It's NOT interesting at all!! response:	Well, well, we are also having a lesson right now, please leave...
context: So it simply changed just like that?\Yes, because I know once he said it he wouldn't listen,\he has more authority than me,\he also seems to be enthusiastic in doing it.\Furthermore, I thought it would be interesting\the combination of you and Eto-kun\It's NOT interesting at all!!\Well, well, we are also having a lesson right now, please leave... response:	Sensei..
context: Yes, because I know once he said it he wouldn't listen,\he has more authority than me,\he also seems to be enthusiastic in doing it.\Furthermore, I thought it would be interesting\the combination of you and Eto-kun\It's NOT interesting at all!!\Well, well, we are also having a lesson right now, please leave...\Sensei.. response:	Your instructor is not me anymore
context: he has more authority than me,\he also seems to be enthusiastic in doing it.\Furthermore, I thought it would be interesting\the combination of you and Eto-kun\It's NOT interesting at all!!\Well, well, we are also having a lesson right now, please leave...\Sensei..\Your instructor is not me anymore response:	I don't like that person!
context: he also seems to be enthusiastic in doing it.\Furthermore, I thought it would be interesting\the combination of you and Eto-kun\It's NOT interesting at all!!\Well, well, we are also having a lesson right now, please leave...\Sensei..\Your instructor is not me anymore\I don't like that person! response:	I can't do anything about it
context: Furthermore, I thought it would be interesting\the combination of you and Eto-kun\It's NOT interesting at all!!\Well, well, we are also having a lesson right now, please leave...\Sensei..\Your instructor is not me anymore\I don't like that person!\I can't do anything about it response:	Do your best...
context: the combination of you and Eto-kun\It's NOT interesting at all!!\Well, well, we are also having a lesson right now, please leave...\Sensei..\Your instructor is not me anymore\I don't like that person!\I can't do anything about it\Do your best... response:	Okay, shall we begin from here...
context: It's NOT interesting at all!!\Well, well, we are also having a lesson right now, please leave...\Sensei..\Your instructor is not me anymore\I don't like that person!\I can't do anything about it\Do your best...\Okay, shall we begin from here... response:	When and where are we going to perform, and what piece shall we play?
context: Well, well, we are also having a lesson right now, please leave...\Sensei..\Your instructor is not me anymore\I don't like that person!\I can't do anything about it\Do your best...\Okay, shall we begin from here...\When and where are we going to perform, and what piece shall we play? response:	Before that, we should decide first where to practice. Moreover we don't have enough people yet
context: Sensei..\Your instructor is not me anymore\I don't like that person!\I can't do anything about it\Do your best...\Okay, shall we begin from here...\When and where are we going to perform, and what piece shall we play?\Before that, we should decide first where to practice. Moreover we don't have enough people yet response:	We still have to contact more people
context: Your instructor is not me anymore\I don't like that person!\I can't do anything about it\Do your best...\Okay, shall we begin from here...\When and where are we going to perform, and what piece shall we play?\Before that, we should decide first where to practice. Moreover we don't have enough people yet\We still have to contact more people response:	Yes, if we won't get any assistance from school, we'll have to gather them by ourselves
context: I don't like that person!\I can't do anything about it\Do your best...\Okay, shall we begin from here...\When and where are we going to perform, and what piece shall we play?\Before that, we should decide first where to practice. Moreover we don't have enough people yet\We still have to contact more people\Yes, if we won't get any assistance from school, we'll have to gather them by ourselves response:	So it's a student orchestra and semi-pro too?
context: I can't do anything about it\Do your best...\Okay, shall we begin from here...\When and where are we going to perform, and what piece shall we play?\Before that, we should decide first where to practice. Moreover we don't have enough people yet\We still have to contact more people\Yes, if we won't get any assistance from school, we'll have to gather them by ourselves\So it's a student orchestra and semi-pro too? response:	Somehow I got excited
context: Do your best...\Okay, shall we begin from here...\When and where are we going to perform, and what piece shall we play?\Before that, we should decide first where to practice. Moreover we don't have enough people yet\We still have to contact more people\Yes, if we won't get any assistance from school, we'll have to gather them by ourselves\So it's a student orchestra and semi-pro too?\Somehow I got excited response:	We got into A-Oke! Serve you right!!
context: Okay, shall we begin from here...\When and where are we going to perform, and what piece shall we play?\Before that, we should decide first where to practice. Moreover we don't have enough people yet\We still have to contact more people\Yes, if we won't get any assistance from school, we'll have to gather them by ourselves\So it's a student orchestra and semi-pro too?\Somehow I got excited\We got into A-Oke! Serve you right!! response:	Two string people added...
context: When and where are we going to perform, and what piece shall we play?\Before that, we should decide first where to practice. Moreover we don't have enough people yet\We still have to contact more people\Yes, if we won't get any assistance from school, we'll have to gather them by ourselves\So it's a student orchestra and semi-pro too?\Somehow I got excited\We got into A-Oke! Serve you right!!\Two string people added... response:	What is it? From your girlfriend?
context: Before that, we should decide first where to practice. Moreover we don't have enough people yet\We still have to contact more people\Yes, if we won't get any assistance from school, we'll have to gather them by ourselves\So it's a student orchestra and semi-pro too?\Somehow I got excited\We got into A-Oke! Serve you right!!\Two string people added...\What is it? From your girlfriend? response:	A smiling face with a wild imagination
context: We still have to contact more people\Yes, if we won't get any assistance from school, we'll have to gather them by ourselves\So it's a student orchestra and semi-pro too?\Somehow I got excited\We got into A-Oke! Serve you right!!\Two string people added...\What is it? From your girlfriend?\A smiling face with a wild imagination response:	Nope!
context: Yes, if we won't get any assistance from school, we'll have to gather them by ourselves\So it's a student orchestra and semi-pro too?\Somehow I got excited\We got into A-Oke! Serve you right!!\Two string people added...\What is it? From your girlfriend?\A smiling face with a wild imagination\Nope! response:	Shall we continue this at another place?
context: So it's a student orchestra and semi-pro too?\Somehow I got excited\We got into A-Oke! Serve you right!!\Two string people added...\What is it? From your girlfriend?\A smiling face with a wild imagination\Nope!\Shall we continue this at another place? response:	Drinking party for the new orchestra
context: Somehow I got excited\We got into A-Oke! Serve you right!!\Two string people added...\What is it? From your girlfriend?\A smiling face with a wild imagination\Nope!\Shall we continue this at another place?\Drinking party for the new orchestra response:	That's a good idea!
context: We got into A-Oke! Serve you right!!\Two string people added...\What is it? From your girlfriend?\A smiling face with a wild imagination\Nope!\Shall we continue this at another place?\Drinking party for the new orchestra\That's a good idea! response:	Kiyora! It's been a long time!
context: Two string people added...\What is it? From your girlfriend?\A smiling face with a wild imagination\Nope!\Shall we continue this at another place?\Drinking party for the new orchestra\That's a good idea!\Kiyora! It's been a long time! response:	Oh, Masumi-chan!!
context: What is it? From your girlfriend?\A smiling face with a wild imagination\Nope!\Shall we continue this at another place?\Drinking party for the new orchestra\That's a good idea!\Kiyora! It's been a long time!\Oh, Masumi-chan!! response:	Katayama-kun! Long time no see!
context: A smiling face with a wild imagination\Nope!\Shall we continue this at another place?\Drinking party for the new orchestra\That's a good idea!\Kiyora! It's been a long time!\Oh, Masumi-chan!!\Katayama-kun! Long time no see! response:	We had not met since the Dream Music Festival, had we?
context: Nope!\Shall we continue this at another place?\Drinking party for the new orchestra\That's a good idea!\Kiyora! It's been a long time!\Oh, Masumi-chan!!\Katayama-kun! Long time no see!\We had not met since the Dream Music Festival, had we? response:	It looks like that they all know each other, don't they?
context: Shall we continue this at another place?\Drinking party for the new orchestra\That's a good idea!\Kiyora! It's been a long time!\Oh, Masumi-chan!!\Katayama-kun! Long time no see!\We had not met since the Dream Music Festival, had we?\It looks like that they all know each other, don't they? response:	I wonder if we can get along well...
context: Drinking party for the new orchestra\That's a good idea!\Kiyora! It's been a long time!\Oh, Masumi-chan!!\Katayama-kun! Long time no see!\We had not met since the Dream Music Festival, had we?\It looks like that they all know each other, don't they?\I wonder if we can get along well... response:	Yes, even Masumi-chan too!
context: That's a good idea!\Kiyora! It's been a long time!\Oh, Masumi-chan!!\Katayama-kun! Long time no see!\We had not met since the Dream Music Festival, had we?\It looks like that they all know each other, don't they?\I wonder if we can get along well...\Yes, even Masumi-chan too! response:	But the ones who know the Conductor are only us!
context: Kiyora! It's been a long time!\Oh, Masumi-chan!!\Katayama-kun! Long time no see!\We had not met since the Dream Music Festival, had we?\It looks like that they all know each other, don't they?\I wonder if we can get along well...\Yes, even Masumi-chan too!\But the ones who know the Conductor are only us! response:	Chiaki-kun, do you like Sibelius?
context: Oh, Masumi-chan!!\Katayama-kun! Long time no see!\We had not met since the Dream Music Festival, had we?\It looks like that they all know each other, don't they?\I wonder if we can get along well...\Yes, even Masumi-chan too!\But the ones who know the Conductor are only us!\Chiaki-kun, do you like Sibelius? response:	Yes, I do
context: Katayama-kun! Long time no see!\We had not met since the Dream Music Festival, had we?\It looks like that they all know each other, don't they?\I wonder if we can get along well...\Yes, even Masumi-chan too!\But the ones who know the Conductor are only us!\Chiaki-kun, do you like Sibelius?\Yes, I do response:	Last year I played Sibelius...
context: We had not met since the Dream Music Festival, had we?\It looks like that they all know each other, don't they?\I wonder if we can get along well...\Yes, even Masumi-chan too!\But the ones who know the Conductor are only us!\Chiaki-kun, do you like Sibelius?\Yes, I do\Last year I played Sibelius... response:	Masumi-chan, Chiaki's in danger!! Go, go!!
context: It looks like that they all know each other, don't they?\I wonder if we can get along well...\Yes, even Masumi-chan too!\But the ones who know the Conductor are only us!\Chiaki-kun, do you like Sibelius?\Yes, I do\Last year I played Sibelius...\Masumi-chan, Chiaki's in danger!! Go, go!! response:	Whoahhh!!
context: I wonder if we can get along well...\Yes, even Masumi-chan too!\But the ones who know the Conductor are only us!\Chiaki-kun, do you like Sibelius?\Yes, I do\Last year I played Sibelius...\Masumi-chan, Chiaki's in danger!! Go, go!!\Whoahhh!! response:	Go away, you!
context: Yes, even Masumi-chan too!\But the ones who know the Conductor are only us!\Chiaki-kun, do you like Sibelius?\Yes, I do\Last year I played Sibelius...\Masumi-chan, Chiaki's in danger!! Go, go!!\Whoahhh!!\Go away, you! response:	Chiaki-Sama...
context: But the ones who know the Conductor are only us!\Chiaki-kun, do you like Sibelius?\Yes, I do\Last year I played Sibelius...\Masumi-chan, Chiaki's in danger!! Go, go!!\Whoahhh!!\Go away, you!\Chiaki-Sama... response:	You never changes, Masumi-chan, always in high-tension
context: Chiaki-kun, do you like Sibelius?\Yes, I do\Last year I played Sibelius...\Masumi-chan, Chiaki's in danger!! Go, go!!\Whoahhh!!\Go away, you!\Chiaki-Sama...\You never changes, Masumi-chan, always in high-tension response:	I want to see Chaiki-kun's conducting soon
context: Yes, I do\Last year I played Sibelius...\Masumi-chan, Chiaki's in danger!! Go, go!!\Whoahhh!!\Go away, you!\Chiaki-Sama...\You never changes, Masumi-chan, always in high-tension\I want to see Chaiki-kun's conducting soon response:	Yes, they said you're the only Stresemann's pupil, right?
context: Last year I played Sibelius...\Masumi-chan, Chiaki's in danger!! Go, go!!\Whoahhh!!\Go away, you!\Chiaki-Sama...\You never changes, Masumi-chan, always in high-tension\I want to see Chaiki-kun's conducting soon\Yes, they said you're the only Stresemann's pupil, right? response:	Hey!
context: Masumi-chan, Chiaki's in danger!! Go, go!!\Whoahhh!!\Go away, you!\Chiaki-Sama...\You never changes, Masumi-chan, always in high-tension\I want to see Chaiki-kun's conducting soon\Yes, they said you're the only Stresemann's pupil, right?\Hey! response:	I think it's good if today we can decide first the piece we are going to play
context: Whoahhh!!\Go away, you!\Chiaki-Sama...\You never changes, Masumi-chan, always in high-tension\I want to see Chaiki-kun's conducting soon\Yes, they said you're the only Stresemann's pupil, right?\Hey!\I think it's good if today we can decide first the piece we are going to play response:	Chiaki-kun, do you have a particular piece you want to do?
context: Go away, you!\Chiaki-Sama...\You never changes, Masumi-chan, always in high-tension\I want to see Chaiki-kun's conducting soon\Yes, they said you're the only Stresemann's pupil, right?\Hey!\I think it's good if today we can decide first the piece we are going to play\Chiaki-kun, do you have a particular piece you want to do? response:	I have thought about it, but I have several...
context: Chiaki-Sama...\You never changes, Masumi-chan, always in high-tension\I want to see Chaiki-kun's conducting soon\Yes, they said you're the only Stresemann's pupil, right?\Hey!\I think it's good if today we can decide first the piece we are going to play\Chiaki-kun, do you have a particular piece you want to do?\I have thought about it, but I have several... response:	What about you all?
context: You never changes, Masumi-chan, always in high-tension\I want to see Chaiki-kun's conducting soon\Yes, they said you're the only Stresemann's pupil, right?\Hey!\I think it's good if today we can decide first the piece we are going to play\Chiaki-kun, do you have a particular piece you want to do?\I have thought about it, but I have several...\What about you all? response:	If we're going to do it, I'd like to do an a hade one, gathering more people to join us (= attention-catching)
context: I want to see Chaiki-kun's conducting soon\Yes, they said you're the only Stresemann's pupil, right?\Hey!\I think it's good if today we can decide first the piece we are going to play\Chiaki-kun, do you have a particular piece you want to do?\I have thought about it, but I have several...\What about you all?\If we're going to do it, I'd like to do an a hade one, gathering more people to join us (= attention-catching) response:	In my opinion, with this number of people, it's also good to do a classic...
context: Yes, they said you're the only Stresemann's pupil, right?\Hey!\I think it's good if today we can decide first the piece we are going to play\Chiaki-kun, do you have a particular piece you want to do?\I have thought about it, but I have several...\What about you all?\If we're going to do it, I'd like to do an a hade one, gathering more people to join us (= attention-catching)\In my opinion, with this number of people, it's also good to do a classic... response:	What, like playing Mozart and the likes?
context: Hey!\I think it's good if today we can decide first the piece we are going to play\Chiaki-kun, do you have a particular piece you want to do?\I have thought about it, but I have several...\What about you all?\If we're going to do it, I'd like to do an a hade one, gathering more people to join us (= attention-catching)\In my opinion, with this number of people, it's also good to do a classic...\What, like playing Mozart and the likes? response:	In that case, rather than Mozart, Haydn is better for it
context: I think it's good if today we can decide first the piece we are going to play\Chiaki-kun, do you have a particular piece you want to do?\I have thought about it, but I have several...\What about you all?\If we're going to do it, I'd like to do an a hade one, gathering more people to join us (= attention-catching)\In my opinion, with this number of people, it's also good to do a classic...\What, like playing Mozart and the likes?\In that case, rather than Mozart, Haydn is better for it response:	Somehow, I feel strange...
context: Chiaki-kun, do you have a particular piece you want to do?\I have thought about it, but I have several...\What about you all?\If we're going to do it, I'd like to do an a hade one, gathering more people to join us (= attention-catching)\In my opinion, with this number of people, it's also good to do a classic...\What, like playing Mozart and the likes?\In that case, rather than Mozart, Haydn is better for it\Somehow, I feel strange... response:	It's completely different from S-Oke's drinking party
context: I have thought about it, but I have several...\What about you all?\If we're going to do it, I'd like to do an a hade one, gathering more people to join us (= attention-catching)\In my opinion, with this number of people, it's also good to do a classic...\What, like playing Mozart and the likes?\In that case, rather than Mozart, Haydn is better for it\Somehow, I feel strange...\It's completely different from S-Oke's drinking party response:	Everyone is calm and mature...
context: What about you all?\If we're going to do it, I'd like to do an a hade one, gathering more people to join us (= attention-catching)\In my opinion, with this number of people, it's also good to do a classic...\What, like playing Mozart and the likes?\In that case, rather than Mozart, Haydn is better for it\Somehow, I feel strange...\It's completely different from S-Oke's drinking party\Everyone is calm and mature... response:	It's good...I feel relaxed...
