context: Ah, Tomoyo-chan, isn't that the strawberry house? response:	It seems so!
context: Strawberries were originated from South America.\In the old days, it's not easy to eat strawberries.\It is because\Strawberries used to be different\and had legs to run around,\so people weren't able to catch a lot of them.\And for those people who wanted to eat strawberries no matter what,\they would chase after the strawberries, response:	which is how the name'strawberry hunt'
context: In the old days, it's not easy to eat strawberries.\It is because\Strawberries used to be different\and had legs to run around,\so people weren't able to catch a lot of them.\And for those people who wanted to eat strawberries no matter what,\they would chase after the strawberries,\which is how the name'strawberry hunt' response:	Okay, okay, okay'
context: It is because\Strawberries used to be different\and had legs to run around,\so people weren't able to catch a lot of them.\And for those people who wanted to eat strawberries no matter what,\they would chase after the strawberries,\which is how the name'strawberry hunt'\Okay, okay, okay' response:	In order for them not to run,
context: Strawberries used to be different\and had legs to run around,\so people weren't able to catch a lot of them.\And for those people who wanted to eat strawberries no matter what,\they would chase after the strawberries,\which is how the name'strawberry hunt'\Okay, okay, okay'\In order for them not to run, response:	strawberries were somehow changed to what they are'
context: and had legs to run around,\so people weren't able to catch a lot of them.\And for those people who wanted to eat strawberries no matter what,\they would chase after the strawberries,\which is how the name'strawberry hunt'\Okay, okay, okay'\In order for them not to run,\strawberries were somehow changed to what they are' response:	All these lies'
context: so people weren't able to catch a lot of them.\And for those people who wanted to eat strawberries no matter what,\they would chase after the strawberries,\which is how the name'strawberry hunt'\Okay, okay, okay'\In order for them not to run,\strawberries were somehow changed to what they are'\All these lies' response:	That was a lie?
context: And for those people who wanted to eat strawberries no matter what,\they would chase after the strawberries,\which is how the name'strawberry hunt'\Okay, okay, okay'\In order for them not to run,\strawberries were somehow changed to what they are'\All these lies'\That was a lie? response:	I could tell right from the start.
context: they would chase after the strawberries,\which is how the name'strawberry hunt'\Okay, okay, okay'\In order for them not to run,\strawberries were somehow changed to what they are'\All these lies'\That was a lie?\I could tell right from the start. response:	You will be using these containers
context: which is how the name'strawberry hunt'\Okay, okay, okay'\In order for them not to run,\strawberries were somehow changed to what they are'\All these lies'\That was a lie?\I could tell right from the start.\You will be using these containers response:	to pick your strawberries.
context: Okay, okay, okay'\In order for them not to run,\strawberries were somehow changed to what they are'\All these lies'\That was a lie?\I could tell right from the start.\You will be using these containers\to pick your strawberries. response:	Okay!
context: In order for them not to run,\strawberries were somehow changed to what they are'\All these lies'\That was a lie?\I could tell right from the start.\You will be using these containers\to pick your strawberries.\Okay! response:	Let's do our best!
context: strawberries were somehow changed to what they are'\All these lies'\That was a lie?\I could tell right from the start.\You will be using these containers\to pick your strawberries.\Okay!\Let's do our best! response:	I promised Kero that I'll bring
context: All these lies'\That was a lie?\I could tell right from the start.\You will be using these containers\to pick your strawberries.\Okay!\Let's do our best!\I promised Kero that I'll bring response:	lots of them back as presents.
context: That was a lie?\I could tell right from the start.\You will be using these containers\to pick your strawberries.\Okay!\Let's do our best!\I promised Kero that I'll bring\lots of them back as presents. response:	Oh, so this is the strawberry park Sakura's going' to.
context: I could tell right from the start.\You will be using these containers\to pick your strawberries.\Okay!\Let's do our best!\I promised Kero that I'll bring\lots of them back as presents.\Oh, so this is the strawberry park Sakura's going' to. response:	What?!
context: You will be using these containers\to pick your strawberries.\Okay!\Let's do our best!\I promised Kero that I'll bring\lots of them back as presents.\Oh, so this is the strawberry park Sakura's going' to.\What?! response:	You can eat while you pick?!
context: to pick your strawberries.\Okay!\Let's do our best!\I promised Kero that I'll bring\lots of them back as presents.\Oh, so this is the strawberry park Sakura's going' to.\What?!\You can eat while you pick?! response:	So that means you can eat non-stop?
context: Okay!\Let's do our best!\I promised Kero that I'll bring\lots of them back as presents.\Oh, so this is the strawberry park Sakura's going' to.\What?!\You can eat while you pick?!\So that means you can eat non-stop? response:	This is so good!
context: Let's do our best!\I promised Kero that I'll bring\lots of them back as presents.\Oh, so this is the strawberry park Sakura's going' to.\What?!\You can eat while you pick?!\So that means you can eat non-stop?\This is so good! response:	It's no use just drooling over these pictures'
context: I promised Kero that I'll bring\lots of them back as presents.\Oh, so this is the strawberry park Sakura's going' to.\What?!\You can eat while you pick?!\So that means you can eat non-stop?\This is so good!\It's no use just drooling over these pictures' response:	The more I see, the more the feeling of vain.
context: lots of them back as presents.\Oh, so this is the strawberry park Sakura's going' to.\What?!\You can eat while you pick?!\So that means you can eat non-stop?\This is so good!\It's no use just drooling over these pictures'\The more I see, the more the feeling of vain. response:	Sakura, hurry back!!
context: Oh, so this is the strawberry park Sakura's going' to.\What?!\You can eat while you pick?!\So that means you can eat non-stop?\This is so good!\It's no use just drooling over these pictures'\The more I see, the more the feeling of vain.\Sakura, hurry back!! response:	In the afternoon,
context: What?!\You can eat while you pick?!\So that means you can eat non-stop?\This is so good!\It's no use just drooling over these pictures'\The more I see, the more the feeling of vain.\Sakura, hurry back!!\In the afternoon, response:	we will show you a video in the materials room separated from the rest of the park.
context: You can eat while you pick?!\So that means you can eat non-stop?\This is so good!\It's no use just drooling over these pictures'\The more I see, the more the feeling of vain.\Sakura, hurry back!!\In the afternoon,\we will show you a video in the materials room separated from the rest of the park. response:	It will focus on
context: So that means you can eat non-stop?\This is so good!\It's no use just drooling over these pictures'\The more I see, the more the feeling of vain.\Sakura, hurry back!!\In the afternoon,\we will show you a video in the materials room separated from the rest of the park.\It will focus on response:	how to make strawberry cakes and desserts.
context: This is so good!\It's no use just drooling over these pictures'\The more I see, the more the feeling of vain.\Sakura, hurry back!!\In the afternoon,\we will show you a video in the materials room separated from the rest of the park.\It will focus on\how to make strawberry cakes and desserts. response:	We will then follow some of the examples
context: It's no use just drooling over these pictures'\The more I see, the more the feeling of vain.\Sakura, hurry back!!\In the afternoon,\we will show you a video in the materials room separated from the rest of the park.\It will focus on\how to make strawberry cakes and desserts.\We will then follow some of the examples response:	and put them in practice.
context: The more I see, the more the feeling of vain.\Sakura, hurry back!!\In the afternoon,\we will show you a video in the materials room separated from the rest of the park.\It will focus on\how to make strawberry cakes and desserts.\We will then follow some of the examples\and put them in practice. response:	I hope you will enjoy it.
context: Sakura, hurry back!!\In the afternoon,\we will show you a video in the materials room separated from the rest of the park.\It will focus on\how to make strawberry cakes and desserts.\We will then follow some of the examples\and put them in practice.\I hope you will enjoy it. response:	Yes!
context: In the afternoon,\we will show you a video in the materials room separated from the rest of the park.\It will focus on\how to make strawberry cakes and desserts.\We will then follow some of the examples\and put them in practice.\I hope you will enjoy it.\Yes! response:	Make cakes and desserts with strawberries'
context: we will show you a video in the materials room separated from the rest of the park.\It will focus on\how to make strawberry cakes and desserts.\We will then follow some of the examples\and put them in practice.\I hope you will enjoy it.\Yes!\Make cakes and desserts with strawberries' response:	I wonder how it's done.
context: It will focus on\how to make strawberry cakes and desserts.\We will then follow some of the examples\and put them in practice.\I hope you will enjoy it.\Yes!\Make cakes and desserts with strawberries'\I wonder how it's done. response:	Let us try to make some then!
context: how to make strawberry cakes and desserts.\We will then follow some of the examples\and put them in practice.\I hope you will enjoy it.\Yes!\Make cakes and desserts with strawberries'\I wonder how it's done.\Let us try to make some then! response:	Now this gentleman
context: We will then follow some of the examples\and put them in practice.\I hope you will enjoy it.\Yes!\Make cakes and desserts with strawberries'\I wonder how it's done.\Let us try to make some then!\Now this gentleman response:	will lead the way into the house.
context: and put them in practice.\I hope you will enjoy it.\Yes!\Make cakes and desserts with strawberries'\I wonder how it's done.\Let us try to make some then!\Now this gentleman\will lead the way into the house. response:	And make sure you take class notes afterwards, okay?
context: I hope you will enjoy it.\Yes!\Make cakes and desserts with strawberries'\I wonder how it's done.\Let us try to make some then!\Now this gentleman\will lead the way into the house.\And make sure you take class notes afterwards, okay? response:	Okay!
context: Yes!\Make cakes and desserts with strawberries'\I wonder how it's done.\Let us try to make some then!\Now this gentleman\will lead the way into the house.\And make sure you take class notes afterwards, okay?\Okay! response:	Let's go!
context: Make cakes and desserts with strawberries'\I wonder how it's done.\Let us try to make some then!\Now this gentleman\will lead the way into the house.\And make sure you take class notes afterwards, okay?\Okay!\Let's go! response:	Oh, are you okay?
context: I wonder how it's done.\Let us try to make some then!\Now this gentleman\will lead the way into the house.\And make sure you take class notes afterwards, okay?\Okay!\Let's go!\Oh, are you okay? response:	Yu' Yukito-san!
context: Let us try to make some then!\Now this gentleman\will lead the way into the house.\And make sure you take class notes afterwards, okay?\Okay!\Let's go!\Oh, are you okay?\Yu' Yukito-san! response:	Sakura-chan?
context: Now this gentleman\will lead the way into the house.\And make sure you take class notes afterwards, okay?\Okay!\Let's go!\Oh, are you okay?\Yu' Yukito-san!\Sakura-chan? response:	Why are you here?
context: will lead the way into the house.\And make sure you take class notes afterwards, okay?\Okay!\Let's go!\Oh, are you okay?\Yu' Yukito-san!\Sakura-chan?\Why are you here? response:	Good afternoon.
context: And make sure you take class notes afterwards, okay?\Okay!\Let's go!\Oh, are you okay?\Yu' Yukito-san!\Sakura-chan?\Why are you here?\Good afternoon. response:	Good afternoon.
context: Okay!\Let's go!\Oh, are you okay?\Yu' Yukito-san!\Sakura-chan?\Why are you here?\Good afternoon.\Good afternoon. response:	Isn't that Sakura?
context: Let's go!\Oh, are you okay?\Yu' Yukito-san!\Sakura-chan?\Why are you here?\Good afternoon.\Good afternoon.\Isn't that Sakura? response:	Onii-chan! What are you doing here?
context: Oh, are you okay?\Yu' Yukito-san!\Sakura-chan?\Why are you here?\Good afternoon.\Good afternoon.\Isn't that Sakura?\Onii-chan! What are you doing here? response:	Why are you in here?
context: Yu' Yukito-san!\Sakura-chan?\Why are you here?\Good afternoon.\Good afternoon.\Isn't that Sakura?\Onii-chan! What are you doing here?\Why are you in here? response:	I had it written clearly on the board,
context: Sakura-chan?\Why are you here?\Good afternoon.\Good afternoon.\Isn't that Sakura?\Onii-chan! What are you doing here?\Why are you in here?\I had it written clearly on the board, response:	that I have no school today
context: Why are you here?\Good afternoon.\Good afternoon.\Isn't that Sakura?\Onii-chan! What are you doing here?\Why are you in here?\I had it written clearly on the board,\that I have no school today response:	and I'm going to work part-time.
context: Good afternoon.\Good afternoon.\Isn't that Sakura?\Onii-chan! What are you doing here?\Why are you in here?\I had it written clearly on the board,\that I have no school today\and I'm going to work part-time. response:	And so, I came along.
context: Good afternoon.\Isn't that Sakura?\Onii-chan! What are you doing here?\Why are you in here?\I had it written clearly on the board,\that I have no school today\and I'm going to work part-time.\And so, I came along. response:	Yukito-san is here'
context: Isn't that Sakura?\Onii-chan! What are you doing here?\Why are you in here?\I had it written clearly on the board,\that I have no school today\and I'm going to work part-time.\And so, I came along.\Yukito-san is here' response:	What's wrong, Sakura-chan?
context: Onii-chan! What are you doing here?\Why are you in here?\I had it written clearly on the board,\that I have no school today\and I'm going to work part-time.\And so, I came along.\Yukito-san is here'\What's wrong, Sakura-chan? response:	Oh yeah!
context: Why are you in here?\I had it written clearly on the board,\that I have no school today\and I'm going to work part-time.\And so, I came along.\Yukito-san is here'\What's wrong, Sakura-chan?\Oh yeah! response:	Do you like strawberry cakes and desserts?
context: I had it written clearly on the board,\that I have no school today\and I'm going to work part-time.\And so, I came along.\Yukito-san is here'\What's wrong, Sakura-chan?\Oh yeah!\Do you like strawberry cakes and desserts? response:	Yeah. I like them.
context: that I have no school today\and I'm going to work part-time.\And so, I came along.\Yukito-san is here'\What's wrong, Sakura-chan?\Oh yeah!\Do you like strawberry cakes and desserts?\Yeah. I like them. response:	They're teaching us how to make them here!
context: and I'm going to work part-time.\And so, I came along.\Yukito-san is here'\What's wrong, Sakura-chan?\Oh yeah!\Do you like strawberry cakes and desserts?\Yeah. I like them.\They're teaching us how to make them here! response:	I'll do my best at it!
context: And so, I came along.\Yukito-san is here'\What's wrong, Sakura-chan?\Oh yeah!\Do you like strawberry cakes and desserts?\Yeah. I like them.\They're teaching us how to make them here!\I'll do my best at it! response:	Umm' Would you like' to have some?
context: Yukito-san is here'\What's wrong, Sakura-chan?\Oh yeah!\Do you like strawberry cakes and desserts?\Yeah. I like them.\They're teaching us how to make them here!\I'll do my best at it!\Umm' Would you like' to have some? response:	Of course!
context: What's wrong, Sakura-chan?\Oh yeah!\Do you like strawberry cakes and desserts?\Yeah. I like them.\They're teaching us how to make them here!\I'll do my best at it!\Umm' Would you like' to have some?\Of course! response:	I must get going!
context: Oh yeah!\Do you like strawberry cakes and desserts?\Yeah. I like them.\They're teaching us how to make them here!\I'll do my best at it!\Umm' Would you like' to have some?\Of course!\I must get going! response:	Good-bye.
context: Do you like strawberry cakes and desserts?\Yeah. I like them.\They're teaching us how to make them here!\I'll do my best at it!\Umm' Would you like' to have some?\Of course!\I must get going!\Good-bye. response:	Sakura-chan is full of energy today too.
context: Yeah. I like them.\They're teaching us how to make them here!\I'll do my best at it!\Umm' Would you like' to have some?\Of course!\I must get going!\Good-bye.\Sakura-chan is full of energy today too. response:	Yeah, I guess she is.
context: They're teaching us how to make them here!\I'll do my best at it!\Umm' Would you like' to have some?\Of course!\I must get going!\Good-bye.\Sakura-chan is full of energy today too.\Yeah, I guess she is. response:	I've gotta pick lots and lots of strawberries!
context: I'll do my best at it!\Umm' Would you like' to have some?\Of course!\I must get going!\Good-bye.\Sakura-chan is full of energy today too.\Yeah, I guess she is.\I've gotta pick lots and lots of strawberries! response:	It seems Sakura-chan
context: Umm' Would you like' to have some?\Of course!\I must get going!\Good-bye.\Sakura-chan is full of energy today too.\Yeah, I guess she is.\I've gotta pick lots and lots of strawberries!\It seems Sakura-chan response:	really loves to go on school trips and camps.
context: Of course!\I must get going!\Good-bye.\Sakura-chan is full of energy today too.\Yeah, I guess she is.\I've gotta pick lots and lots of strawberries!\It seems Sakura-chan\really loves to go on school trips and camps. response:	But she seems especially happier than usual today, don't you think?
context: I must get going!\Good-bye.\Sakura-chan is full of energy today too.\Yeah, I guess she is.\I've gotta pick lots and lots of strawberries!\It seems Sakura-chan\really loves to go on school trips and camps.\But she seems especially happier than usual today, don't you think? response:	This is the place
context: Good-bye.\Sakura-chan is full of energy today too.\Yeah, I guess she is.\I've gotta pick lots and lots of strawberries!\It seems Sakura-chan\really loves to go on school trips and camps.\But she seems especially happier than usual today, don't you think?\This is the place response:	the house supervisor mentioned before' the materials room.
context: Sakura-chan is full of energy today too.\Yeah, I guess she is.\I've gotta pick lots and lots of strawberries!\It seems Sakura-chan\really loves to go on school trips and camps.\But she seems especially happier than usual today, don't you think?\This is the place\the house supervisor mentioned before' the materials room. response:	He said it was converted from an old storehouse.
context: Yeah, I guess she is.\I've gotta pick lots and lots of strawberries!\It seems Sakura-chan\really loves to go on school trips and camps.\But she seems especially happier than usual today, don't you think?\This is the place\the house supervisor mentioned before' the materials room.\He said it was converted from an old storehouse. response:	Let's eat a lot.
context: I've gotta pick lots and lots of strawberries!\It seems Sakura-chan\really loves to go on school trips and camps.\But she seems especially happier than usual today, don't you think?\This is the place\the house supervisor mentioned before' the materials room.\He said it was converted from an old storehouse.\Let's eat a lot. response:	Hey, what's wrong, Shao Lan?
context: It seems Sakura-chan\really loves to go on school trips and camps.\But she seems especially happier than usual today, don't you think?\This is the place\the house supervisor mentioned before' the materials room.\He said it was converted from an old storehouse.\Let's eat a lot.\Hey, what's wrong, Shao Lan? response:	Let's hurry!
context: really loves to go on school trips and camps.\But she seems especially happier than usual today, don't you think?\This is the place\the house supervisor mentioned before' the materials room.\He said it was converted from an old storehouse.\Let's eat a lot.\Hey, what's wrong, Shao Lan?\Let's hurry! response:	Strawberries! Strawberries! Strawberries!
context: But she seems especially happier than usual today, don't you think?\This is the place\the house supervisor mentioned before' the materials room.\He said it was converted from an old storehouse.\Let's eat a lot.\Hey, what's wrong, Shao Lan?\Let's hurry!\Strawberries! Strawberries! Strawberries! response:	How is it going? Did you pick a lot?
context: This is the place\the house supervisor mentioned before' the materials room.\He said it was converted from an old storehouse.\Let's eat a lot.\Hey, what's wrong, Shao Lan?\Let's hurry!\Strawberries! Strawberries! Strawberries!\How is it going? Did you pick a lot? response:	Yukito-san!
context: the house supervisor mentioned before' the materials room.\He said it was converted from an old storehouse.\Let's eat a lot.\Hey, what's wrong, Shao Lan?\Let's hurry!\Strawberries! Strawberries! Strawberries!\How is it going? Did you pick a lot?\Yukito-san! response:	What's wrong?
context: He said it was converted from an old storehouse.\Let's eat a lot.\Hey, what's wrong, Shao Lan?\Let's hurry!\Strawberries! Strawberries! Strawberries!\How is it going? Did you pick a lot?\Yukito-san!\What's wrong? response:	I want to pick tasty strawberries
context: Let's eat a lot.\Hey, what's wrong, Shao Lan?\Let's hurry!\Strawberries! Strawberries! Strawberries!\How is it going? Did you pick a lot?\Yukito-san!\What's wrong?\I want to pick tasty strawberries response:	but they all look
context: Hey, what's wrong, Shao Lan?\Let's hurry!\Strawberries! Strawberries! Strawberries!\How is it going? Did you pick a lot?\Yukito-san!\What's wrong?\I want to pick tasty strawberries\but they all look response:	tasty to me.
context: Let's hurry!\Strawberries! Strawberries! Strawberries!\How is it going? Did you pick a lot?\Yukito-san!\What's wrong?\I want to pick tasty strawberries\but they all look\tasty to me. response:	Those tasty strawberries
context: Strawberries! Strawberries! Strawberries!\How is it going? Did you pick a lot?\Yukito-san!\What's wrong?\I want to pick tasty strawberries\but they all look\tasty to me.\Those tasty strawberries response:	First, you want to look for very green leaves on top.
context: How is it going? Did you pick a lot?\Yukito-san!\What's wrong?\I want to pick tasty strawberries\but they all look\tasty to me.\Those tasty strawberries\First, you want to look for very green leaves on top. response:	Then, the whole strawberry must be red,
context: Yukito-san!\What's wrong?\I want to pick tasty strawberries\but they all look\tasty to me.\Those tasty strawberries\First, you want to look for very green leaves on top.\Then, the whole strawberry must be red, response:	without any white around the calyx.
context: What's wrong?\I want to pick tasty strawberries\but they all look\tasty to me.\Those tasty strawberries\First, you want to look for very green leaves on top.\Then, the whole strawberry must be red,\without any white around the calyx. response:	You know a lot.
context: I want to pick tasty strawberries\but they all look\tasty to me.\Those tasty strawberries\First, you want to look for very green leaves on top.\Then, the whole strawberry must be red,\without any white around the calyx.\You know a lot. response:	That's what they told me.
context: but they all look\tasty to me.\Those tasty strawberries\First, you want to look for very green leaves on top.\Then, the whole strawberry must be red,\without any white around the calyx.\You know a lot.\That's what they told me. response:	Something you have to know when you work here.
context: tasty to me.\Those tasty strawberries\First, you want to look for very green leaves on top.\Then, the whole strawberry must be red,\without any white around the calyx.\You know a lot.\That's what they told me.\Something you have to know when you work here. response:	Oh, hold there.
context: Those tasty strawberries\First, you want to look for very green leaves on top.\Then, the whole strawberry must be red,\without any white around the calyx.\You know a lot.\That's what they told me.\Something you have to know when you work here.\Oh, hold there. response:	This is what you should do when you pick strawberries.
context: First, you want to look for very green leaves on top.\Then, the whole strawberry must be red,\without any white around the calyx.\You know a lot.\That's what they told me.\Something you have to know when you work here.\Oh, hold there.\This is what you should do when you pick strawberries. response:	Hold the strawberry from underneath
context: Then, the whole strawberry must be red,\without any white around the calyx.\You know a lot.\That's what they told me.\Something you have to know when you work here.\Oh, hold there.\This is what you should do when you pick strawberries.\Hold the strawberry from underneath response:	and put your fingers over the green calyx.
context: without any white around the calyx.\You know a lot.\That's what they told me.\Something you have to know when you work here.\Oh, hold there.\This is what you should do when you pick strawberries.\Hold the strawberry from underneath\and put your fingers over the green calyx. response:	Then, break it gently on the stem.
context: You know a lot.\That's what they told me.\Something you have to know when you work here.\Oh, hold there.\This is what you should do when you pick strawberries.\Hold the strawberry from underneath\and put your fingers over the green calyx.\Then, break it gently on the stem. response:	I' I see'
context: That's what they told me.\Something you have to know when you work here.\Oh, hold there.\This is what you should do when you pick strawberries.\Hold the strawberry from underneath\and put your fingers over the green calyx.\Then, break it gently on the stem.\I' I see' response:	What a nice shot!
context: Something you have to know when you work here.\Oh, hold there.\This is what you should do when you pick strawberries.\Hold the strawberry from underneath\and put your fingers over the green calyx.\Then, break it gently on the stem.\I' I see'\What a nice shot! response:	To' Tomoyo-chan!
context: Oh, hold there.\This is what you should do when you pick strawberries.\Hold the strawberry from underneath\and put your fingers over the green calyx.\Then, break it gently on the stem.\I' I see'\What a nice shot!\To' Tomoyo-chan! response:	Li!
context: This is what you should do when you pick strawberries.\Hold the strawberry from underneath\and put your fingers over the green calyx.\Then, break it gently on the stem.\I' I see'\What a nice shot!\To' Tomoyo-chan!\Li! response:	Are these' for me?
context: Hold the strawberry from underneath\and put your fingers over the green calyx.\Then, break it gently on the stem.\I' I see'\What a nice shot!\To' Tomoyo-chan!\Li!\Are these' for me? response:	Yuki, it's break time.
context: and put your fingers over the green calyx.\Then, break it gently on the stem.\I' I see'\What a nice shot!\To' Tomoyo-chan!\Li!\Are these' for me?\Yuki, it's break time. response:	We picked so much!
context: Then, break it gently on the stem.\I' I see'\What a nice shot!\To' Tomoyo-chan!\Li!\Are these' for me?\Yuki, it's break time.\We picked so much! response:	It will be fun from now on too.
context: I' I see'\What a nice shot!\To' Tomoyo-chan!\Li!\Are these' for me?\Yuki, it's break time.\We picked so much!\It will be fun from now on too. response:	We'll be making desserts with these strawberries.
context: What a nice shot!\To' Tomoyo-chan!\Li!\Are these' for me?\Yuki, it's break time.\We picked so much!\It will be fun from now on too.\We'll be making desserts with these strawberries. response:	Maybe I'll make some
context: To' Tomoyo-chan!\Li!\Are these' for me?\Yuki, it's break time.\We picked so much!\It will be fun from now on too.\We'll be making desserts with these strawberries.\Maybe I'll make some response:	and bring them to Mr. Terada-sensei.
context: Li!\Are these' for me?\Yuki, it's break time.\We picked so much!\It will be fun from now on too.\We'll be making desserts with these strawberries.\Maybe I'll make some\and bring them to Mr. Terada-sensei. response:	Then I'll make some for Yamazaki too.
context: Are these' for me?\Yuki, it's break time.\We picked so much!\It will be fun from now on too.\We'll be making desserts with these strawberries.\Maybe I'll make some\and bring them to Mr. Terada-sensei.\Then I'll make some for Yamazaki too. response:	Then I better pray again.
context: Yuki, it's break time.\We picked so much!\It will be fun from now on too.\We'll be making desserts with these strawberries.\Maybe I'll make some\and bring them to Mr. Terada-sensei.\Then I'll make some for Yamazaki too.\Then I better pray again. response:	Why?
context: We picked so much!\It will be fun from now on too.\We'll be making desserts with these strawberries.\Maybe I'll make some\and bring them to Mr. Terada-sensei.\Then I'll make some for Yamazaki too.\Then I better pray again.\Why? response:	To make sure again that I'll be okay afterwards.
context: It will be fun from now on too.\We'll be making desserts with these strawberries.\Maybe I'll make some\and bring them to Mr. Terada-sensei.\Then I'll make some for Yamazaki too.\Then I better pray again.\Why?\To make sure again that I'll be okay afterwards. response:	What did you say? Geez!
context: We'll be making desserts with these strawberries.\Maybe I'll make some\and bring them to Mr. Terada-sensei.\Then I'll make some for Yamazaki too.\Then I better pray again.\Why?\To make sure again that I'll be okay afterwards.\What did you say? Geez! response:	What did you mean by that?!
