context: Ladies and gentlemen, good evening. response:	Wishing to express his feelings, the young man ran to the opera house,
context: Act 13: Haidee\That man is a murderer!\I am surprised to see you come all this way, Your Honor.\Is this spectacle being provided as a sideshow to the opera?\I take it that you recognize this?\As I recall, that is the ring that I gave to your wife.\It had poison hidden inside.\Goodness, what a fascinating contraption. response:	It would appear that you were trying to kill even my wife.
context: That man is a murderer!\I am surprised to see you come all this way, Your Honor.\Is this spectacle being provided as a sideshow to the opera?\I take it that you recognize this?\As I recall, that is the ring that I gave to your wife.\It had poison hidden inside.\Goodness, what a fascinating contraption.\It would appear that you were trying to kill even my wife. response:	Surely you jest. Why would I do such a thing?
context: I am surprised to see you come all this way, Your Honor.\Is this spectacle being provided as a sideshow to the opera?\I take it that you recognize this?\As I recall, that is the ring that I gave to your wife.\It had poison hidden inside.\Goodness, what a fascinating contraption.\It would appear that you were trying to kill even my wife.\Surely you jest. Why would I do such a thing? response:	It's obvious!
context: Is this spectacle being provided as a sideshow to the opera?\I take it that you recognize this?\As I recall, that is the ring that I gave to your wife.\It had poison hidden inside.\Goodness, what a fascinating contraption.\It would appear that you were trying to kill even my wife.\Surely you jest. Why would I do such a thing?\It's obvious! response:	Isn't this a simple case of that barbaric custom from Eastern Space known as the thrill kill?
context: I take it that you recognize this?\As I recall, that is the ring that I gave to your wife.\It had poison hidden inside.\Goodness, what a fascinating contraption.\It would appear that you were trying to kill even my wife.\Surely you jest. Why would I do such a thing?\It's obvious!\Isn't this a simple case of that barbaric custom from Eastern Space known as the thrill kill? response:	The Count would never do such a thing!
context: As I recall, that is the ring that I gave to your wife.\It had poison hidden inside.\Goodness, what a fascinating contraption.\It would appear that you were trying to kill even my wife.\Surely you jest. Why would I do such a thing?\It's obvious!\Isn't this a simple case of that barbaric custom from Eastern Space known as the thrill kill?\The Count would never do such a thing! response:	You're being deceived by that man.
context: It had poison hidden inside.\Goodness, what a fascinating contraption.\It would appear that you were trying to kill even my wife.\Surely you jest. Why would I do such a thing?\It's obvious!\Isn't this a simple case of that barbaric custom from Eastern Space known as the thrill kill?\The Count would never do such a thing!\You're being deceived by that man. response:	The Count was the one who told us about the threat to Valentine's life!
context: Goodness, what a fascinating contraption.\It would appear that you were trying to kill even my wife.\Surely you jest. Why would I do such a thing?\It's obvious!\Isn't this a simple case of that barbaric custom from Eastern Space known as the thrill kill?\The Count would never do such a thing!\You're being deceived by that man.\The Count was the one who told us about the threat to Valentine's life! response:	Even a foreigner such as myself can expect to receive a proper trial, I take it?
context: It would appear that you were trying to kill even my wife.\Surely you jest. Why would I do such a thing?\It's obvious!\Isn't this a simple case of that barbaric custom from Eastern Space known as the thrill kill?\The Count would never do such a thing!\You're being deceived by that man.\The Count was the one who told us about the threat to Valentine's life!\Even a foreigner such as myself can expect to receive a proper trial, I take it? response:	Of course. By law, you will receive an impartial trial.
context: Surely you jest. Why would I do such a thing?\It's obvious!\Isn't this a simple case of that barbaric custom from Eastern Space known as the thrill kill?\The Count would never do such a thing!\You're being deceived by that man.\The Count was the one who told us about the threat to Valentine's life!\Even a foreigner such as myself can expect to receive a proper trial, I take it?\Of course. By law, you will receive an impartial trial. response:	Hearing that sets my mind at ease. I have a witness to offer in my defense.
context: It's obvious!\Isn't this a simple case of that barbaric custom from Eastern Space known as the thrill kill?\The Count would never do such a thing!\You're being deceived by that man.\The Count was the one who told us about the threat to Valentine's life!\Even a foreigner such as myself can expect to receive a proper trial, I take it?\Of course. By law, you will receive an impartial trial.\Hearing that sets my mind at ease. I have a witness to offer in my defense. response:	What?
context: Isn't this a simple case of that barbaric custom from Eastern Space known as the thrill kill?\The Count would never do such a thing!\You're being deceived by that man.\The Count was the one who told us about the threat to Valentine's life!\Even a foreigner such as myself can expect to receive a proper trial, I take it?\Of course. By law, you will receive an impartial trial.\Hearing that sets my mind at ease. I have a witness to offer in my defense.\What? response:	Someone who knows the whole truth.
context: The Count would never do such a thing!\You're being deceived by that man.\The Count was the one who told us about the threat to Valentine's life!\Even a foreigner such as myself can expect to receive a proper trial, I take it?\Of course. By law, you will receive an impartial trial.\Hearing that sets my mind at ease. I have a witness to offer in my defense.\What?\Someone who knows the whole truth. response:	Heloise?!
context: You're being deceived by that man.\The Count was the one who told us about the threat to Valentine's life!\Even a foreigner such as myself can expect to receive a proper trial, I take it?\Of course. By law, you will receive an impartial trial.\Hearing that sets my mind at ease. I have a witness to offer in my defense.\What?\Someone who knows the whole truth.\Heloise?! response:	I have heard many fascinating things from Madame and your son.
context: The Count was the one who told us about the threat to Valentine's life!\Even a foreigner such as myself can expect to receive a proper trial, I take it?\Of course. By law, you will receive an impartial trial.\Hearing that sets my mind at ease. I have a witness to offer in my defense.\What?\Someone who knows the whole truth.\Heloise?!\I have heard many fascinating things from Madame and your son. response:	Including things which touch upon certain family affairs.
context: Even a foreigner such as myself can expect to receive a proper trial, I take it?\Of course. By law, you will receive an impartial trial.\Hearing that sets my mind at ease. I have a witness to offer in my defense.\What?\Someone who knows the whole truth.\Heloise?!\I have heard many fascinating things from Madame and your son.\Including things which touch upon certain family affairs. response:	Why, you!
context: Of course. By law, you will receive an impartial trial.\Hearing that sets my mind at ease. I have a witness to offer in my defense.\What?\Someone who knows the whole truth.\Heloise?!\I have heard many fascinating things from Madame and your son.\Including things which touch upon certain family affairs.\Why, you! response:	What would you like to do? Will you arrest me?
context: Hearing that sets my mind at ease. I have a witness to offer in my defense.\What?\Someone who knows the whole truth.\Heloise?!\I have heard many fascinating things from Madame and your son.\Including things which touch upon certain family affairs.\Why, you!\What would you like to do? Will you arrest me? response:	What's the deal?
context: What?\Someone who knows the whole truth.\Heloise?!\I have heard many fascinating things from Madame and your son.\Including things which touch upon certain family affairs.\Why, you!\What would you like to do? Will you arrest me?\What's the deal? response:	I thought they were gonna arrest him.
context: Someone who knows the whole truth.\Heloise?!\I have heard many fascinating things from Madame and your son.\Including things which touch upon certain family affairs.\Why, you!\What would you like to do? Will you arrest me?\What's the deal?\I thought they were gonna arrest him. response:	Not to worry, gentlemen.
context: Heloise?!\I have heard many fascinating things from Madame and your son.\Including things which touch upon certain family affairs.\Why, you!\What would you like to do? Will you arrest me?\What's the deal?\I thought they were gonna arrest him.\Not to worry, gentlemen. response:	It would seem that His Honor the Crown Prosecutor made a mistake.
context: I have heard many fascinating things from Madame and your son.\Including things which touch upon certain family affairs.\Why, you!\What would you like to do? Will you arrest me?\What's the deal?\I thought they were gonna arrest him.\Not to worry, gentlemen.\It would seem that His Honor the Crown Prosecutor made a mistake. response:	Way to go, Count!
context: Including things which touch upon certain family affairs.\Why, you!\What would you like to do? Will you arrest me?\What's the deal?\I thought they were gonna arrest him.\Not to worry, gentlemen.\It would seem that His Honor the Crown Prosecutor made a mistake.\Way to go, Count! response:	It's nice to see that hanging judge get some egg on his face!
context: Why, you!\What would you like to do? Will you arrest me?\What's the deal?\I thought they were gonna arrest him.\Not to worry, gentlemen.\It would seem that His Honor the Crown Prosecutor made a mistake.\Way to go, Count!\It's nice to see that hanging judge get some egg on his face! response:	It would be best for you to return to your home.
context: What would you like to do? Will you arrest me?\What's the deal?\I thought they were gonna arrest him.\Not to worry, gentlemen.\It would seem that His Honor the Crown Prosecutor made a mistake.\Way to go, Count!\It's nice to see that hanging judge get some egg on his face!\It would be best for you to return to your home. response:	But l...
context: What's the deal?\I thought they were gonna arrest him.\Not to worry, gentlemen.\It would seem that His Honor the Crown Prosecutor made a mistake.\Way to go, Count!\It's nice to see that hanging judge get some egg on his face!\It would be best for you to return to your home.\But l... response:	You needn't worry about me.
context: I thought they were gonna arrest him.\Not to worry, gentlemen.\It would seem that His Honor the Crown Prosecutor made a mistake.\Way to go, Count!\It's nice to see that hanging judge get some egg on his face!\It would be best for you to return to your home.\But l...\You needn't worry about me. response:	Don't think for an instant that this is over!
context: Not to worry, gentlemen.\It would seem that His Honor the Crown Prosecutor made a mistake.\Way to go, Count!\It's nice to see that hanging judge get some egg on his face!\It would be best for you to return to your home.\But l...\You needn't worry about me.\Don't think for an instant that this is over! response:	Monsieur Villefort...
context: It would seem that His Honor the Crown Prosecutor made a mistake.\Way to go, Count!\It's nice to see that hanging judge get some egg on his face!\It would be best for you to return to your home.\But l...\You needn't worry about me.\Don't think for an instant that this is over!\Monsieur Villefort... response:	That man wants to ruin me.
context: Way to go, Count!\It's nice to see that hanging judge get some egg on his face!\It would be best for you to return to your home.\But l...\You needn't worry about me.\Don't think for an instant that this is over!\Monsieur Villefort...\That man wants to ruin me. response:	I can't believe it! You're still saying that nonsense?
context: It's nice to see that hanging judge get some egg on his face!\It would be best for you to return to your home.\But l...\You needn't worry about me.\Don't think for an instant that this is over!\Monsieur Villefort...\That man wants to ruin me.\I can't believe it! You're still saying that nonsense? response:	I can sense it. I can feel an evil presence in that man's soul.
context: It would be best for you to return to your home.\But l...\You needn't worry about me.\Don't think for an instant that this is over!\Monsieur Villefort...\That man wants to ruin me.\I can't believe it! You're still saying that nonsense?\I can sense it. I can feel an evil presence in that man's soul. response:	You're still worrying about your former fiancee?
context: But l...\You needn't worry about me.\Don't think for an instant that this is over!\Monsieur Villefort...\That man wants to ruin me.\I can't believe it! You're still saying that nonsense?\I can sense it. I can feel an evil presence in that man's soul.\You're still worrying about your former fiancee? response:	Marquis Cavalcanti.
context: You needn't worry about me.\Don't think for an instant that this is over!\Monsieur Villefort...\That man wants to ruin me.\I can't believe it! You're still saying that nonsense?\I can sense it. I can feel an evil presence in that man's soul.\You're still worrying about your former fiancee?\Marquis Cavalcanti. response:	By all means, please call me Andrea.
context: Don't think for an instant that this is over!\Monsieur Villefort...\That man wants to ruin me.\I can't believe it! You're still saying that nonsense?\I can sense it. I can feel an evil presence in that man's soul.\You're still worrying about your former fiancee?\Marquis Cavalcanti.\By all means, please call me Andrea. response:	I don't know what my father said to you,
context: Monsieur Villefort...\That man wants to ruin me.\I can't believe it! You're still saying that nonsense?\I can sense it. I can feel an evil presence in that man's soul.\You're still worrying about your former fiancee?\Marquis Cavalcanti.\By all means, please call me Andrea.\I don't know what my father said to you, response:	Now, now...
context: That man wants to ruin me.\I can't believe it! You're still saying that nonsense?\I can sense it. I can feel an evil presence in that man's soul.\You're still worrying about your former fiancee?\Marquis Cavalcanti.\By all means, please call me Andrea.\I don't know what my father said to you,\Now, now... response:	It's always been my dream to play at the opera house,
context: I can't believe it! You're still saying that nonsense?\I can sense it. I can feel an evil presence in that man's soul.\You're still worrying about your former fiancee?\Marquis Cavalcanti.\By all means, please call me Andrea.\I don't know what my father said to you,\Now, now...\It's always been my dream to play at the opera house, response:	It was your own merit that won you the right to that concert.
context: I can sense it. I can feel an evil presence in that man's soul.\You're still worrying about your former fiancee?\Marquis Cavalcanti.\By all means, please call me Andrea.\I don't know what my father said to you,\Now, now...\It's always been my dream to play at the opera house,\It was your own merit that won you the right to that concert. response:	The reason, of course, is that your talent has transformed me into your humble servant.
context: You're still worrying about your former fiancee?\Marquis Cavalcanti.\By all means, please call me Andrea.\I don't know what my father said to you,\Now, now...\It's always been my dream to play at the opera house,\It was your own merit that won you the right to that concert.\The reason, of course, is that your talent has transformed me into your humble servant. response:	He left you there.
context: Marquis Cavalcanti.\By all means, please call me Andrea.\I don't know what my father said to you,\Now, now...\It's always been my dream to play at the opera house,\It was your own merit that won you the right to that concert.\The reason, of course, is that your talent has transformed me into your humble servant.\He left you there. response:	It would seem that he doesn't even have the courage to try to steal you away.
context: By all means, please call me Andrea.\I don't know what my father said to you,\Now, now...\It's always been my dream to play at the opera house,\It was your own merit that won you the right to that concert.\The reason, of course, is that your talent has transformed me into your humble servant.\He left you there.\It would seem that he doesn't even have the courage to try to steal you away. response:	It's not here, huh?
context: I don't know what my father said to you,\Now, now...\It's always been my dream to play at the opera house,\It was your own merit that won you the right to that concert.\The reason, of course, is that your talent has transformed me into your humble servant.\He left you there.\It would seem that he doesn't even have the courage to try to steal you away.\It's not here, huh? response:	There were no records matching the requested term...
context: Now, now...\It's always been my dream to play at the opera house,\It was your own merit that won you the right to that concert.\The reason, of course, is that your talent has transformed me into your humble servant.\He left you there.\It would seem that he doesn't even have the courage to try to steal you away.\It's not here, huh?\There were no records matching the requested term... response:	I see.
context: It's always been my dream to play at the opera house,\It was your own merit that won you the right to that concert.\The reason, of course, is that your talent has transformed me into your humble servant.\He left you there.\It would seem that he doesn't even have the courage to try to steal you away.\It's not here, huh?\There were no records matching the requested term...\I see. response:	The Royal Library prides itself on being the greatest repository of data in the universe.
context: It was your own merit that won you the right to that concert.\The reason, of course, is that your talent has transformed me into your humble servant.\He left you there.\It would seem that he doesn't even have the courage to try to steal you away.\It's not here, huh?\There were no records matching the requested term...\I see.\The Royal Library prides itself on being the greatest repository of data in the universe. response:	It's hard to believe that there could be a word that isn't registered here.
context: The reason, of course, is that your talent has transformed me into your humble servant.\He left you there.\It would seem that he doesn't even have the courage to try to steal you away.\It's not here, huh?\There were no records matching the requested term...\I see.\The Royal Library prides itself on being the greatest repository of data in the universe.\It's hard to believe that there could be a word that isn't registered here. response:	It's possible that the word is on the General Security Directorate's banned list.
context: He left you there.\It would seem that he doesn't even have the courage to try to steal you away.\It's not here, huh?\There were no records matching the requested term...\I see.\The Royal Library prides itself on being the greatest repository of data in the universe.\It's hard to believe that there could be a word that isn't registered here.\It's possible that the word is on the General Security Directorate's banned list. response:	What do you mean?
context: It would seem that he doesn't even have the courage to try to steal you away.\It's not here, huh?\There were no records matching the requested term...\I see.\The Royal Library prides itself on being the greatest repository of data in the universe.\It's hard to believe that there could be a word that isn't registered here.\It's possible that the word is on the General Security Directorate's banned list.\What do you mean? response:	Regulations are in place that prohibit general readers...
context: It's not here, huh?\There were no records matching the requested term...\I see.\The Royal Library prides itself on being the greatest repository of data in the universe.\It's hard to believe that there could be a word that isn't registered here.\It's possible that the word is on the General Security Directorate's banned list.\What do you mean?\Regulations are in place that prohibit general readers... response:	What do you MEAN, you're cutting off my financial support?!
context: There were no records matching the requested term...\I see.\The Royal Library prides itself on being the greatest repository of data in the universe.\It's hard to believe that there could be a word that isn't registered here.\It's possible that the word is on the General Security Directorate's banned list.\What do you mean?\Regulations are in place that prohibit general readers...\What do you MEAN, you're cutting off my financial support?! response:	I've had a few sudden expenses.
context: I see.\The Royal Library prides itself on being the greatest repository of data in the universe.\It's hard to believe that there could be a word that isn't registered here.\It's possible that the word is on the General Security Directorate's banned list.\What do you mean?\Regulations are in place that prohibit general readers...\What do you MEAN, you're cutting off my financial support?!\I've had a few sudden expenses. response:	What am I supposed to do about the presidential election?!
context: The Royal Library prides itself on being the greatest repository of data in the universe.\It's hard to believe that there could be a word that isn't registered here.\It's possible that the word is on the General Security Directorate's banned list.\What do you mean?\Regulations are in place that prohibit general readers...\What do you MEAN, you're cutting off my financial support?!\I've had a few sudden expenses.\What am I supposed to do about the presidential election?! response:	I'm sorry, but I'm going to have to cut you loose.
context: It's hard to believe that there could be a word that isn't registered here.\It's possible that the word is on the General Security Directorate's banned list.\What do you mean?\Regulations are in place that prohibit general readers...\What do you MEAN, you're cutting off my financial support?!\I've had a few sudden expenses.\What am I supposed to do about the presidential election?!\I'm sorry, but I'm going to have to cut you loose. response:	Me... And you... And Villefort...
context: It's possible that the word is on the General Security Directorate's banned list.\What do you mean?\Regulations are in place that prohibit general readers...\What do you MEAN, you're cutting off my financial support?!\I've had a few sudden expenses.\What am I supposed to do about the presidential election?!\I'm sorry, but I'm going to have to cut you loose.\Me... And you... And Villefort... response:	I thought it was our dream to climb hand in hand to the top of Paris!
context: What do you mean?\Regulations are in place that prohibit general readers...\What do you MEAN, you're cutting off my financial support?!\I've had a few sudden expenses.\What am I supposed to do about the presidential election?!\I'm sorry, but I'm going to have to cut you loose.\Me... And you... And Villefort...\I thought it was our dream to climb hand in hand to the top of Paris! response:	Oh, was it?
context: Regulations are in place that prohibit general readers...\What do you MEAN, you're cutting off my financial support?!\I've had a few sudden expenses.\What am I supposed to do about the presidential election?!\I'm sorry, but I'm going to have to cut you loose.\Me... And you... And Villefort...\I thought it was our dream to climb hand in hand to the top of Paris!\Oh, was it? response:	Why pull out when we're a single step away from making that dream a reality?!
context: What do you MEAN, you're cutting off my financial support?!\I've had a few sudden expenses.\What am I supposed to do about the presidential election?!\I'm sorry, but I'm going to have to cut you loose.\Me... And you... And Villefort...\I thought it was our dream to climb hand in hand to the top of Paris!\Oh, was it?\Why pull out when we're a single step away from making that dream a reality?! response:	My, um... analysts are telling me to quit gambling on you, General.
context: I've had a few sudden expenses.\What am I supposed to do about the presidential election?!\I'm sorry, but I'm going to have to cut you loose.\Me... And you... And Villefort...\I thought it was our dream to climb hand in hand to the top of Paris!\Oh, was it?\Why pull out when we're a single step away from making that dream a reality?!\My, um... analysts are telling me to quit gambling on you, General. response:	Is this about those letters from Edmond?
context: What am I supposed to do about the presidential election?!\I'm sorry, but I'm going to have to cut you loose.\Me... And you... And Villefort...\I thought it was our dream to climb hand in hand to the top of Paris!\Oh, was it?\Why pull out when we're a single step away from making that dream a reality?!\My, um... analysts are telling me to quit gambling on you, General.\Is this about those letters from Edmond? response:	Now, now, I'm just saying that we all need to watch our step.
context: I'm sorry, but I'm going to have to cut you loose.\Me... And you... And Villefort...\I thought it was our dream to climb hand in hand to the top of Paris!\Oh, was it?\Why pull out when we're a single step away from making that dream a reality?!\My, um... analysts are telling me to quit gambling on you, General.\Is this about those letters from Edmond?\Now, now, I'm just saying that we all need to watch our step. response:	If you win the election,
context: Me... And you... And Villefort...\I thought it was our dream to climb hand in hand to the top of Paris!\Oh, was it?\Why pull out when we're a single step away from making that dream a reality?!\My, um... analysts are telling me to quit gambling on you, General.\Is this about those letters from Edmond?\Now, now, I'm just saying that we all need to watch our step.\If you win the election, response:	Excellency, we've established a comm channel with the Seventh Eastern Space Fleet.
context: I thought it was our dream to climb hand in hand to the top of Paris!\Oh, was it?\Why pull out when we're a single step away from making that dream a reality?!\My, um... analysts are telling me to quit gambling on you, General.\Is this about those letters from Edmond?\Now, now, I'm just saying that we all need to watch our step.\If you win the election,\Excellency, we've established a comm channel with the Seventh Eastern Space Fleet. response:	That was a shameful display last night, don't you think?
context: Oh, was it?\Why pull out when we're a single step away from making that dream a reality?!\My, um... analysts are telling me to quit gambling on you, General.\Is this about those letters from Edmond?\Now, now, I'm just saying that we all need to watch our step.\If you win the election,\Excellency, we've established a comm channel with the Seventh Eastern Space Fleet.\That was a shameful display last night, don't you think? response:	What insolence! Who are you?!
context: Why pull out when we're a single step away from making that dream a reality?!\My, um... analysts are telling me to quit gambling on you, General.\Is this about those letters from Edmond?\Now, now, I'm just saying that we all need to watch our step.\If you win the election,\Excellency, we've established a comm channel with the Seventh Eastern Space Fleet.\That was a shameful display last night, don't you think?\What insolence! Who are you?! response:	Lucien Debray, First Secretary. I'm hurt that you don't remember me.
context: My, um... analysts are telling me to quit gambling on you, General.\Is this about those letters from Edmond?\Now, now, I'm just saying that we all need to watch our step.\If you win the election,\Excellency, we've established a comm channel with the Seventh Eastern Space Fleet.\That was a shameful display last night, don't you think?\What insolence! Who are you?!\Lucien Debray, First Secretary. I'm hurt that you don't remember me. response:	Ah, the spoiled rich boy in the Ministry of the Interior.
context: Is this about those letters from Edmond?\Now, now, I'm just saying that we all need to watch our step.\If you win the election,\Excellency, we've established a comm channel with the Seventh Eastern Space Fleet.\That was a shameful display last night, don't you think?\What insolence! Who are you?!\Lucien Debray, First Secretary. I'm hurt that you don't remember me.\Ah, the spoiled rich boy in the Ministry of the Interior. response:	The Count of Monte Cristo is the talk of Paris at the moment.
context: Now, now, I'm just saying that we all need to watch our step.\If you win the election,\Excellency, we've established a comm channel with the Seventh Eastern Space Fleet.\That was a shameful display last night, don't you think?\What insolence! Who are you?!\Lucien Debray, First Secretary. I'm hurt that you don't remember me.\Ah, the spoiled rich boy in the Ministry of the Interior.\The Count of Monte Cristo is the talk of Paris at the moment. response:	You won't be able to arrest him without good cause.
context: If you win the election,\Excellency, we've established a comm channel with the Seventh Eastern Space Fleet.\That was a shameful display last night, don't you think?\What insolence! Who are you?!\Lucien Debray, First Secretary. I'm hurt that you don't remember me.\Ah, the spoiled rich boy in the Ministry of the Interior.\The Count of Monte Cristo is the talk of Paris at the moment.\You won't be able to arrest him without good cause. response:	He's plotting something, I'm sure of it.
context: Excellency, we've established a comm channel with the Seventh Eastern Space Fleet.\That was a shameful display last night, don't you think?\What insolence! Who are you?!\Lucien Debray, First Secretary. I'm hurt that you don't remember me.\Ah, the spoiled rich boy in the Ministry of the Interior.\The Count of Monte Cristo is the talk of Paris at the moment.\You won't be able to arrest him without good cause.\He's plotting something, I'm sure of it. response:	Can you prove it?
context: That was a shameful display last night, don't you think?\What insolence! Who are you?!\Lucien Debray, First Secretary. I'm hurt that you don't remember me.\Ah, the spoiled rich boy in the Ministry of the Interior.\The Count of Monte Cristo is the talk of Paris at the moment.\You won't be able to arrest him without good cause.\He's plotting something, I'm sure of it.\Can you prove it? response:	I'm the one who decides who is guilty or innocent.
context: What insolence! Who are you?!\Lucien Debray, First Secretary. I'm hurt that you don't remember me.\Ah, the spoiled rich boy in the Ministry of the Interior.\The Count of Monte Cristo is the talk of Paris at the moment.\You won't be able to arrest him without good cause.\He's plotting something, I'm sure of it.\Can you prove it?\I'm the one who decides who is guilty or innocent. response:	The General Security Directorate is stepping in.
context: Lucien Debray, First Secretary. I'm hurt that you don't remember me.\Ah, the spoiled rich boy in the Ministry of the Interior.\The Count of Monte Cristo is the talk of Paris at the moment.\You won't be able to arrest him without good cause.\He's plotting something, I'm sure of it.\Can you prove it?\I'm the one who decides who is guilty or innocent.\The General Security Directorate is stepping in. response:	They suspect that you're trying to file false charges against him.
context: Ah, the spoiled rich boy in the Ministry of the Interior.\The Count of Monte Cristo is the talk of Paris at the moment.\You won't be able to arrest him without good cause.\He's plotting something, I'm sure of it.\Can you prove it?\I'm the one who decides who is guilty or innocent.\The General Security Directorate is stepping in.\They suspect that you're trying to file false charges against him. response:	You've gone a little too far this time.
context: The Count of Monte Cristo is the talk of Paris at the moment.\You won't be able to arrest him without good cause.\He's plotting something, I'm sure of it.\Can you prove it?\I'm the one who decides who is guilty or innocent.\The General Security Directorate is stepping in.\They suspect that you're trying to file false charges against him.\You've gone a little too far this time. response:	It's probably only a matter of time before you're suspended from duty.
context: You won't be able to arrest him without good cause.\He's plotting something, I'm sure of it.\Can you prove it?\I'm the one who decides who is guilty or innocent.\The General Security Directorate is stepping in.\They suspect that you're trying to file false charges against him.\You've gone a little too far this time.\It's probably only a matter of time before you're suspended from duty. response:	They can't!
context: He's plotting something, I'm sure of it.\Can you prove it?\I'm the one who decides who is guilty or innocent.\The General Security Directorate is stepping in.\They suspect that you're trying to file false charges against him.\You've gone a little too far this time.\It's probably only a matter of time before you're suspended from duty.\They can't! response:	Oh, here you are.
context: Can you prove it?\I'm the one who decides who is guilty or innocent.\The General Security Directorate is stepping in.\They suspect that you're trying to file false charges against him.\You've gone a little too far this time.\It's probably only a matter of time before you're suspended from duty.\They can't!\Oh, here you are. response:	I need your advice on a certain matter.
context: I'm the one who decides who is guilty or innocent.\The General Security Directorate is stepping in.\They suspect that you're trying to file false charges against him.\You've gone a little too far this time.\It's probably only a matter of time before you're suspended from duty.\They can't!\Oh, here you are.\I need your advice on a certain matter. response:	It's rare for YOU to need anybody's advice on anything.
context: The General Security Directorate is stepping in.\They suspect that you're trying to file false charges against him.\You've gone a little too far this time.\It's probably only a matter of time before you're suspended from duty.\They can't!\Oh, here you are.\I need your advice on a certain matter.\It's rare for YOU to need anybody's advice on anything. response:	I had no choice but to beg an elite member of the Ministry of the Interior for help.
context: They suspect that you're trying to file false charges against him.\You've gone a little too far this time.\It's probably only a matter of time before you're suspended from duty.\They can't!\Oh, here you are.\I need your advice on a certain matter.\It's rare for YOU to need anybody's advice on anything.\I had no choice but to beg an elite member of the Ministry of the Interior for help. response:	Your best friend isn't with you today?
context: You've gone a little too far this time.\It's probably only a matter of time before you're suspended from duty.\They can't!\Oh, here you are.\I need your advice on a certain matter.\It's rare for YOU to need anybody's advice on anything.\I had no choice but to beg an elite member of the Ministry of the Interior for help.\Your best friend isn't with you today? response:	Where's Victoria?
context: It's probably only a matter of time before you're suspended from duty.\They can't!\Oh, here you are.\I need your advice on a certain matter.\It's rare for YOU to need anybody's advice on anything.\I had no choice but to beg an elite member of the Ministry of the Interior for help.\Your best friend isn't with you today?\Where's Victoria? response:	Madame is resting in her room.
context: They can't!\Oh, here you are.\I need your advice on a certain matter.\It's rare for YOU to need anybody's advice on anything.\I had no choice but to beg an elite member of the Ministry of the Interior for help.\Your best friend isn't with you today?\Where's Victoria?\Madame is resting in her room. response:	I have no idea what to do with your mother.
context: Oh, here you are.\I need your advice on a certain matter.\It's rare for YOU to need anybody's advice on anything.\I had no choice but to beg an elite member of the Ministry of the Interior for help.\Your best friend isn't with you today?\Where's Victoria?\Madame is resting in her room.\I have no idea what to do with your mother. response:	She's been acting like this ever since she was out in the night air...
context: I need your advice on a certain matter.\It's rare for YOU to need anybody's advice on anything.\I had no choice but to beg an elite member of the Ministry of the Interior for help.\Your best friend isn't with you today?\Where's Victoria?\Madame is resting in her room.\I have no idea what to do with your mother.\She's been acting like this ever since she was out in the night air... response:	I'd love to!
