context: As a child, I thought response:	your mother is just your mother.
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	But this is such coincidence. I'm surprised.
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\But this is such coincidence. I'm surprised. response:	Yes.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\But this is such coincidence. I'm surprised.\Yes. response:	Well, surprised doesn't even begin to explain how I felt.
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\But this is such coincidence. I'm surprised.\Yes.\Well, surprised doesn't even begin to explain how I felt. response:	So, where should we go? Do you mind if we get home late?
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\But this is such coincidence. I'm surprised.\Yes.\Well, surprised doesn't even begin to explain how I felt.\So, where should we go? Do you mind if we get home late? response:	Tomorrow's Saturday. You don't hafta work tomorrow, do you?
context: I wanna need your love\I'm a broken rose\I wanna need your love\But this is such coincidence. I'm surprised.\Yes.\Well, surprised doesn't even begin to explain how I felt.\So, where should we go? Do you mind if we get home late?\Tomorrow's Saturday. You don't hafta work tomorrow, do you? response:	Yes.
context: I'm a broken rose\I wanna need your love\But this is such coincidence. I'm surprised.\Yes.\Well, surprised doesn't even begin to explain how I felt.\So, where should we go? Do you mind if we get home late?\Tomorrow's Saturday. You don't hafta work tomorrow, do you?\Yes. response:	What I wanna know is... Is this reality?
context: I wanna need your love\But this is such coincidence. I'm surprised.\Yes.\Well, surprised doesn't even begin to explain how I felt.\So, where should we go? Do you mind if we get home late?\Tomorrow's Saturday. You don't hafta work tomorrow, do you?\Yes.\What I wanna know is... Is this reality? response:	Don't be so nervous.
context: But this is such coincidence. I'm surprised.\Yes.\Well, surprised doesn't even begin to explain how I felt.\So, where should we go? Do you mind if we get home late?\Tomorrow's Saturday. You don't hafta work tomorrow, do you?\Yes.\What I wanna know is... Is this reality?\Don't be so nervous. response:	Yes. I'm sorry. It's just...
context: Yes.\Well, surprised doesn't even begin to explain how I felt.\So, where should we go? Do you mind if we get home late?\Tomorrow's Saturday. You don't hafta work tomorrow, do you?\Yes.\What I wanna know is... Is this reality?\Don't be so nervous.\Yes. I'm sorry. It's just... response:	It's fine. There's no need to apologize.
context: Well, surprised doesn't even begin to explain how I felt.\So, where should we go? Do you mind if we get home late?\Tomorrow's Saturday. You don't hafta work tomorrow, do you?\Yes.\What I wanna know is... Is this reality?\Don't be so nervous.\Yes. I'm sorry. It's just...\It's fine. There's no need to apologize. response:	Yes. But... Oh boy, what am I gonna do?
context: So, where should we go? Do you mind if we get home late?\Tomorrow's Saturday. You don't hafta work tomorrow, do you?\Yes.\What I wanna know is... Is this reality?\Don't be so nervous.\Yes. I'm sorry. It's just...\It's fine. There's no need to apologize.\Yes. But... Oh boy, what am I gonna do? response:	Now you're making me nervous.
context: Tomorrow's Saturday. You don't hafta work tomorrow, do you?\Yes.\What I wanna know is... Is this reality?\Don't be so nervous.\Yes. I'm sorry. It's just...\It's fine. There's no need to apologize.\Yes. But... Oh boy, what am I gonna do?\Now you're making me nervous. response:	Huh?! Why?
context: Yes.\What I wanna know is... Is this reality?\Don't be so nervous.\Yes. I'm sorry. It's just...\It's fine. There's no need to apologize.\Yes. But... Oh boy, what am I gonna do?\Now you're making me nervous.\Huh?! Why? response:	Because, well, I never imagined in my wildest dreams
context: What I wanna know is... Is this reality?\Don't be so nervous.\Yes. I'm sorry. It's just...\It's fine. There's no need to apologize.\Yes. But... Oh boy, what am I gonna do?\Now you're making me nervous.\Huh?! Why?\Because, well, I never imagined in my wildest dreams response:	that I'd meet you in this manner. I wasn't prepared for this.
context: Don't be so nervous.\Yes. I'm sorry. It's just...\It's fine. There's no need to apologize.\Yes. But... Oh boy, what am I gonna do?\Now you're making me nervous.\Huh?! Why?\Because, well, I never imagined in my wildest dreams\that I'd meet you in this manner. I wasn't prepared for this. response:	That's my line.
context: Yes. I'm sorry. It's just...\It's fine. There's no need to apologize.\Yes. But... Oh boy, what am I gonna do?\Now you're making me nervous.\Huh?! Why?\Because, well, I never imagined in my wildest dreams\that I'd meet you in this manner. I wasn't prepared for this.\That's my line. response:	But I was thinking how nice it would be to see you again.
context: It's fine. There's no need to apologize.\Yes. But... Oh boy, what am I gonna do?\Now you're making me nervous.\Huh?! Why?\Because, well, I never imagined in my wildest dreams\that I'd meet you in this manner. I wasn't prepared for this.\That's my line.\But I was thinking how nice it would be to see you again. response:	No way. That's impossible.
context: Yes. But... Oh boy, what am I gonna do?\Now you're making me nervous.\Huh?! Why?\Because, well, I never imagined in my wildest dreams\that I'd meet you in this manner. I wasn't prepared for this.\That's my line.\But I was thinking how nice it would be to see you again.\No way. That's impossible. response:	No, really. Otherwise, I wouldn't have called you.
context: Now you're making me nervous.\Huh?! Why?\Because, well, I never imagined in my wildest dreams\that I'd meet you in this manner. I wasn't prepared for this.\That's my line.\But I was thinking how nice it would be to see you again.\No way. That's impossible.\No, really. Otherwise, I wouldn't have called you. response:	The truth is, I'm terrible at doing the small things.
context: Huh?! Why?\Because, well, I never imagined in my wildest dreams\that I'd meet you in this manner. I wasn't prepared for this.\That's my line.\But I was thinking how nice it would be to see you again.\No way. That's impossible.\No, really. Otherwise, I wouldn't have called you.\The truth is, I'm terrible at doing the small things. response:	Yeah, this has to be a dream.
context: Because, well, I never imagined in my wildest dreams\that I'd meet you in this manner. I wasn't prepared for this.\That's my line.\But I was thinking how nice it would be to see you again.\No way. That's impossible.\No, really. Otherwise, I wouldn't have called you.\The truth is, I'm terrible at doing the small things.\Yeah, this has to be a dream. response:	Because in reality, these things just don't happen.
context: that I'd meet you in this manner. I wasn't prepared for this.\That's my line.\But I was thinking how nice it would be to see you again.\No way. That's impossible.\No, really. Otherwise, I wouldn't have called you.\The truth is, I'm terrible at doing the small things.\Yeah, this has to be a dream.\Because in reality, these things just don't happen. response:	Even if they do, at least there's no way it would happen to me.
context: That's my line.\But I was thinking how nice it would be to see you again.\No way. That's impossible.\No, really. Otherwise, I wouldn't have called you.\The truth is, I'm terrible at doing the small things.\Yeah, this has to be a dream.\Because in reality, these things just don't happen.\Even if they do, at least there's no way it would happen to me. response:	Green light already? What a restless traffic light.
context: But I was thinking how nice it would be to see you again.\No way. That's impossible.\No, really. Otherwise, I wouldn't have called you.\The truth is, I'm terrible at doing the small things.\Yeah, this has to be a dream.\Because in reality, these things just don't happen.\Even if they do, at least there's no way it would happen to me.\Green light already? What a restless traffic light. response:	And so am I.
context: No way. That's impossible.\No, really. Otherwise, I wouldn't have called you.\The truth is, I'm terrible at doing the small things.\Yeah, this has to be a dream.\Because in reality, these things just don't happen.\Even if they do, at least there's no way it would happen to me.\Green light already? What a restless traffic light.\And so am I. response:	He seems to be quite the player.
context: No, really. Otherwise, I wouldn't have called you.\The truth is, I'm terrible at doing the small things.\Yeah, this has to be a dream.\Because in reality, these things just don't happen.\Even if they do, at least there's no way it would happen to me.\Green light already? What a restless traffic light.\And so am I.\He seems to be quite the player. response:	That dream-like kiss abruptly woke me up from my dream.
context: The truth is, I'm terrible at doing the small things.\Yeah, this has to be a dream.\Because in reality, these things just don't happen.\Even if they do, at least there's no way it would happen to me.\Green light already? What a restless traffic light.\And so am I.\He seems to be quite the player.\That dream-like kiss abruptly woke me up from my dream. response:	This is not a fairytale. There's no way Takumi could be a prince.
context: Yeah, this has to be a dream.\Because in reality, these things just don't happen.\Even if they do, at least there's no way it would happen to me.\Green light already? What a restless traffic light.\And so am I.\He seems to be quite the player.\That dream-like kiss abruptly woke me up from my dream.\This is not a fairytale. There's no way Takumi could be a prince. response:	He'll sleep with me once and dump me.
context: Because in reality, these things just don't happen.\Even if they do, at least there's no way it would happen to me.\Green light already? What a restless traffic light.\And so am I.\He seems to be quite the player.\That dream-like kiss abruptly woke me up from my dream.\This is not a fairytale. There's no way Takumi could be a prince.\He'll sleep with me once and dump me. response:	Wait here.
context: Even if they do, at least there's no way it would happen to me.\Green light already? What a restless traffic light.\And so am I.\He seems to be quite the player.\That dream-like kiss abruptly woke me up from my dream.\This is not a fairytale. There's no way Takumi could be a prince.\He'll sleep with me once and dump me.\Wait here. response:	Should I go home right this moment?
context: Green light already? What a restless traffic light.\And so am I.\He seems to be quite the player.\That dream-like kiss abruptly woke me up from my dream.\This is not a fairytale. There's no way Takumi could be a prince.\He'll sleep with me once and dump me.\Wait here.\Should I go home right this moment? response:	I didn't plan for this to happen.
context: And so am I.\He seems to be quite the player.\That dream-like kiss abruptly woke me up from my dream.\This is not a fairytale. There's no way Takumi could be a prince.\He'll sleep with me once and dump me.\Wait here.\Should I go home right this moment?\I didn't plan for this to happen. response:	Hey, isn't he that guy from Trapnest?
context: He seems to be quite the player.\That dream-like kiss abruptly woke me up from my dream.\This is not a fairytale. There's no way Takumi could be a prince.\He'll sleep with me once and dump me.\Wait here.\Should I go home right this moment?\I didn't plan for this to happen.\Hey, isn't he that guy from Trapnest? response:	Wow! Cool! He's so tall!
context: That dream-like kiss abruptly woke me up from my dream.\This is not a fairytale. There's no way Takumi could be a prince.\He'll sleep with me once and dump me.\Wait here.\Should I go home right this moment?\I didn't plan for this to happen.\Hey, isn't he that guy from Trapnest?\Wow! Cool! He's so tall! response:	Then why did I get into his car?
context: This is not a fairytale. There's no way Takumi could be a prince.\He'll sleep with me once and dump me.\Wait here.\Should I go home right this moment?\I didn't plan for this to happen.\Hey, isn't he that guy from Trapnest?\Wow! Cool! He's so tall!\Then why did I get into his car? response:	I'm not that foolish to believe he would even think of making me his girlfriend.
context: He'll sleep with me once and dump me.\Wait here.\Should I go home right this moment?\I didn't plan for this to happen.\Hey, isn't he that guy from Trapnest?\Wow! Cool! He's so tall!\Then why did I get into his car?\I'm not that foolish to believe he would even think of making me his girlfriend. response:	And I'm not that naIve to think this'll end after a drive and dinner.
context: Wait here.\Should I go home right this moment?\I didn't plan for this to happen.\Hey, isn't he that guy from Trapnest?\Wow! Cool! He's so tall!\Then why did I get into his car?\I'm not that foolish to believe he would even think of making me his girlfriend.\And I'm not that naIve to think this'll end after a drive and dinner. response:	There must be a part of me that was hoping for this.
context: Should I go home right this moment?\I didn't plan for this to happen.\Hey, isn't he that guy from Trapnest?\Wow! Cool! He's so tall!\Then why did I get into his car?\I'm not that foolish to believe he would even think of making me his girlfriend.\And I'm not that naIve to think this'll end after a drive and dinner.\There must be a part of me that was hoping for this. response:	There's no need to hesitate. I'll never be in a situation like this again, ever.
context: I didn't plan for this to happen.\Hey, isn't he that guy from Trapnest?\Wow! Cool! He's so tall!\Then why did I get into his car?\I'm not that foolish to believe he would even think of making me his girlfriend.\And I'm not that naIve to think this'll end after a drive and dinner.\There must be a part of me that was hoping for this.\There's no need to hesitate. I'll never be in a situation like this again, ever. response:	I don't have a boyfriend now, so there's no reason to feel guilty.
context: Hey, isn't he that guy from Trapnest?\Wow! Cool! He's so tall!\Then why did I get into his car?\I'm not that foolish to believe he would even think of making me his girlfriend.\And I'm not that naIve to think this'll end after a drive and dinner.\There must be a part of me that was hoping for this.\There's no need to hesitate. I'll never be in a situation like this again, ever.\I don't have a boyfriend now, so there's no reason to feel guilty. response:	Think of this as creating a once in a lifetime special memory.
context: Wow! Cool! He's so tall!\Then why did I get into his car?\I'm not that foolish to believe he would even think of making me his girlfriend.\And I'm not that naIve to think this'll end after a drive and dinner.\There must be a part of me that was hoping for this.\There's no need to hesitate. I'll never be in a situation like this again, ever.\I don't have a boyfriend now, so there's no reason to feel guilty.\Think of this as creating a once in a lifetime special memory. response:	Sorry to keep you waiting.
context: Then why did I get into his car?\I'm not that foolish to believe he would even think of making me his girlfriend.\And I'm not that naIve to think this'll end after a drive and dinner.\There must be a part of me that was hoping for this.\There's no need to hesitate. I'll never be in a situation like this again, ever.\I don't have a boyfriend now, so there's no reason to feel guilty.\Think of this as creating a once in a lifetime special memory.\Sorry to keep you waiting. response:	- He's from Trapnest... - Ren?
context: I'm not that foolish to believe he would even think of making me his girlfriend.\And I'm not that naIve to think this'll end after a drive and dinner.\There must be a part of me that was hoping for this.\There's no need to hesitate. I'll never be in a situation like this again, ever.\I don't have a boyfriend now, so there's no reason to feel guilty.\Think of this as creating a once in a lifetime special memory.\Sorry to keep you waiting.\- He's from Trapnest... - Ren? response:	No, the long haired guy.
context: And I'm not that naIve to think this'll end after a drive and dinner.\There must be a part of me that was hoping for this.\There's no need to hesitate. I'll never be in a situation like this again, ever.\I don't have a boyfriend now, so there's no reason to feel guilty.\Think of this as creating a once in a lifetime special memory.\Sorry to keep you waiting.\- He's from Trapnest... - Ren?\No, the long haired guy. response:	Th-They saw us. And what's worse, while he had his arm around me.
context: There must be a part of me that was hoping for this.\There's no need to hesitate. I'll never be in a situation like this again, ever.\I don't have a boyfriend now, so there's no reason to feel guilty.\Think of this as creating a once in a lifetime special memory.\Sorry to keep you waiting.\- He's from Trapnest... - Ren?\No, the long haired guy.\Th-They saw us. And what's worse, while he had his arm around me. response:	We'll be in the tabloids. We'll be on TV.
context: There's no need to hesitate. I'll never be in a situation like this again, ever.\I don't have a boyfriend now, so there's no reason to feel guilty.\Think of this as creating a once in a lifetime special memory.\Sorry to keep you waiting.\- He's from Trapnest... - Ren?\No, the long haired guy.\Th-They saw us. And what's worse, while he had his arm around me.\We'll be in the tabloids. We'll be on TV. response:	I'm hungry.
context: I don't have a boyfriend now, so there's no reason to feel guilty.\Think of this as creating a once in a lifetime special memory.\Sorry to keep you waiting.\- He's from Trapnest... - Ren?\No, the long haired guy.\Th-They saw us. And what's worse, while he had his arm around me.\We'll be in the tabloids. We'll be on TV.\I'm hungry. response:	Um... Mr. Takumi...
context: Think of this as creating a once in a lifetime special memory.\Sorry to keep you waiting.\- He's from Trapnest... - Ren?\No, the long haired guy.\Th-They saw us. And what's worse, while he had his arm around me.\We'll be in the tabloids. We'll be on TV.\I'm hungry.\Um... Mr. Takumi... response:	Mr?
context: Sorry to keep you waiting.\- He's from Trapnest... - Ren?\No, the long haired guy.\Th-They saw us. And what's worse, while he had his arm around me.\We'll be in the tabloids. We'll be on TV.\I'm hungry.\Um... Mr. Takumi...\Mr? response:	But you've always just called me Takumi.
context: - He's from Trapnest... - Ren?\No, the long haired guy.\Th-They saw us. And what's worse, while he had his arm around me.\We'll be in the tabloids. We'll be on TV.\I'm hungry.\Um... Mr. Takumi...\Mr?\But you've always just called me Takumi. response:	Well that's true, but... that's not the point.
context: No, the long haired guy.\Th-They saw us. And what's worse, while he had his arm around me.\We'll be in the tabloids. We'll be on TV.\I'm hungry.\Um... Mr. Takumi...\Mr?\But you've always just called me Takumi.\Well that's true, but... that's not the point. response:	It may not be something for me to point out,
context: Th-They saw us. And what's worse, while he had his arm around me.\We'll be in the tabloids. We'll be on TV.\I'm hungry.\Um... Mr. Takumi...\Mr?\But you've always just called me Takumi.\Well that's true, but... that's not the point.\It may not be something for me to point out, response:	but aren't you concerned
context: We'll be in the tabloids. We'll be on TV.\I'm hungry.\Um... Mr. Takumi...\Mr?\But you've always just called me Takumi.\Well that's true, but... that's not the point.\It may not be something for me to point out,\but aren't you concerned response:	of the risks of being seen entering a hotel with a girl?
context: I'm hungry.\Um... Mr. Takumi...\Mr?\But you've always just called me Takumi.\Well that's true, but... that's not the point.\It may not be something for me to point out,\but aren't you concerned\of the risks of being seen entering a hotel with a girl? response:	At the least, perhaps you should wear some kind of complete disguise.
context: Um... Mr. Takumi...\Mr?\But you've always just called me Takumi.\Well that's true, but... that's not the point.\It may not be something for me to point out,\but aren't you concerned\of the risks of being seen entering a hotel with a girl?\At the least, perhaps you should wear some kind of complete disguise. response:	Some kind of complete disguise?
context: Mr?\But you've always just called me Takumi.\Well that's true, but... that's not the point.\It may not be something for me to point out,\but aren't you concerned\of the risks of being seen entering a hotel with a girl?\At the least, perhaps you should wear some kind of complete disguise.\Some kind of complete disguise? response:	But if I wore a costume, I'd stand out even more.
context: But you've always just called me Takumi.\Well that's true, but... that's not the point.\It may not be something for me to point out,\but aren't you concerned\of the risks of being seen entering a hotel with a girl?\At the least, perhaps you should wear some kind of complete disguise.\Some kind of complete disguise?\But if I wore a costume, I'd stand out even more. response:	You'd look good in one! This is no time to be joking!
context: Well that's true, but... that's not the point.\It may not be something for me to point out,\but aren't you concerned\of the risks of being seen entering a hotel with a girl?\At the least, perhaps you should wear some kind of complete disguise.\Some kind of complete disguise?\But if I wore a costume, I'd stand out even more.\You'd look good in one! This is no time to be joking! response:	What's with this guy? He's pretty funny! You'd look good in one! This is no time to be joking!
context: It may not be something for me to point out,\but aren't you concerned\of the risks of being seen entering a hotel with a girl?\At the least, perhaps you should wear some kind of complete disguise.\Some kind of complete disguise?\But if I wore a costume, I'd stand out even more.\You'd look good in one! This is no time to be joking!\What's with this guy? He's pretty funny! You'd look good in one! This is no time to be joking! response:	Not to worry.
context: but aren't you concerned\of the risks of being seen entering a hotel with a girl?\At the least, perhaps you should wear some kind of complete disguise.\Some kind of complete disguise?\But if I wore a costume, I'd stand out even more.\You'd look good in one! This is no time to be joking!\What's with this guy? He's pretty funny! You'd look good in one! This is no time to be joking!\Not to worry. response:	The entertainment reporters are too busy to be following my every step.
context: of the risks of being seen entering a hotel with a girl?\At the least, perhaps you should wear some kind of complete disguise.\Some kind of complete disguise?\But if I wore a costume, I'd stand out even more.\You'd look good in one! This is no time to be joking!\What's with this guy? He's pretty funny! You'd look good in one! This is no time to be joking!\Not to worry.\The entertainment reporters are too busy to be following my every step. response:	Our band keeps a lid on our public appearances,
context: At the least, perhaps you should wear some kind of complete disguise.\Some kind of complete disguise?\But if I wore a costume, I'd stand out even more.\You'd look good in one! This is no time to be joking!\What's with this guy? He's pretty funny! You'd look good in one! This is no time to be joking!\Not to worry.\The entertainment reporters are too busy to be following my every step.\Our band keeps a lid on our public appearances, response:	so people don't recognize us enough that we need to be overly cautious.
context: Some kind of complete disguise?\But if I wore a costume, I'd stand out even more.\You'd look good in one! This is no time to be joking!\What's with this guy? He's pretty funny! You'd look good in one! This is no time to be joking!\Not to worry.\The entertainment reporters are too busy to be following my every step.\Our band keeps a lid on our public appearances,\so people don't recognize us enough that we need to be overly cautious. response:	What are you saying? Trapnest is really famous.
context: But if I wore a costume, I'd stand out even more.\You'd look good in one! This is no time to be joking!\What's with this guy? He's pretty funny! You'd look good in one! This is no time to be joking!\Not to worry.\The entertainment reporters are too busy to be following my every step.\Our band keeps a lid on our public appearances,\so people don't recognize us enough that we need to be overly cautious.\What are you saying? Trapnest is really famous. response:	I guess Reira is. She may need a costume.
context: You'd look good in one! This is no time to be joking!\What's with this guy? He's pretty funny! You'd look good in one! This is no time to be joking!\Not to worry.\The entertainment reporters are too busy to be following my every step.\Our band keeps a lid on our public appearances,\so people don't recognize us enough that we need to be overly cautious.\What are you saying? Trapnest is really famous.\I guess Reira is. She may need a costume. response:	I'd say all four of you share about the same level of fame.
context: What's with this guy? He's pretty funny! You'd look good in one! This is no time to be joking!\Not to worry.\The entertainment reporters are too busy to be following my every step.\Our band keeps a lid on our public appearances,\so people don't recognize us enough that we need to be overly cautious.\What are you saying? Trapnest is really famous.\I guess Reira is. She may need a costume.\I'd say all four of you share about the same level of fame. response:	You think that because you're a fan.
context: Not to worry.\The entertainment reporters are too busy to be following my every step.\Our band keeps a lid on our public appearances,\so people don't recognize us enough that we need to be overly cautious.\What are you saying? Trapnest is really famous.\I guess Reira is. She may need a costume.\I'd say all four of you share about the same level of fame.\You think that because you're a fan. response:	The general public may also recognize Ren, but that's it.
context: The entertainment reporters are too busy to be following my every step.\Our band keeps a lid on our public appearances,\so people don't recognize us enough that we need to be overly cautious.\What are you saying? Trapnest is really famous.\I guess Reira is. She may need a costume.\I'd say all four of you share about the same level of fame.\You think that because you're a fan.\The general public may also recognize Ren, but that's it. response:	Naoki and I are known as
context: Our band keeps a lid on our public appearances,\so people don't recognize us enough that we need to be overly cautious.\What are you saying? Trapnest is really famous.\I guess Reira is. She may need a costume.\I'd say all four of you share about the same level of fame.\You think that because you're a fan.\The general public may also recognize Ren, but that's it.\Naoki and I are known as response:	the blonde guy and the long haired guy.
context: so people don't recognize us enough that we need to be overly cautious.\What are you saying? Trapnest is really famous.\I guess Reira is. She may need a costume.\I'd say all four of you share about the same level of fame.\You think that because you're a fan.\The general public may also recognize Ren, but that's it.\Naoki and I are known as\the blonde guy and the long haired guy. response:	That's not true! You're number one in my book, Takumi!
context: What are you saying? Trapnest is really famous.\I guess Reira is. She may need a costume.\I'd say all four of you share about the same level of fame.\You think that because you're a fan.\The general public may also recognize Ren, but that's it.\Naoki and I are known as\the blonde guy and the long haired guy.\That's not true! You're number one in my book, Takumi! response:	I'll bet he thinks of me as a foolish, easy woman.
context: I guess Reira is. She may need a costume.\I'd say all four of you share about the same level of fame.\You think that because you're a fan.\The general public may also recognize Ren, but that's it.\Naoki and I are known as\the blonde guy and the long haired guy.\That's not true! You're number one in my book, Takumi!\I'll bet he thinks of me as a foolish, easy woman. response:	But that's basically the type of woman I am.
context: I'd say all four of you share about the same level of fame.\You think that because you're a fan.\The general public may also recognize Ren, but that's it.\Naoki and I are known as\the blonde guy and the long haired guy.\That's not true! You're number one in my book, Takumi!\I'll bet he thinks of me as a foolish, easy woman.\But that's basically the type of woman I am. response:	With all I've been through,
context: You think that because you're a fan.\The general public may also recognize Ren, but that's it.\Naoki and I are known as\the blonde guy and the long haired guy.\That's not true! You're number one in my book, Takumi!\I'll bet he thinks of me as a foolish, easy woman.\But that's basically the type of woman I am.\With all I've been through, response:	I thought I had become more cautious towards men.
context: The general public may also recognize Ren, but that's it.\Naoki and I are known as\the blonde guy and the long haired guy.\That's not true! You're number one in my book, Takumi!\I'll bet he thinks of me as a foolish, easy woman.\But that's basically the type of woman I am.\With all I've been through,\I thought I had become more cautious towards men. response:	But nothing's changed since that summer back when I was seventeen.
context: Naoki and I are known as\the blonde guy and the long haired guy.\That's not true! You're number one in my book, Takumi!\I'll bet he thinks of me as a foolish, easy woman.\But that's basically the type of woman I am.\With all I've been through,\I thought I had become more cautious towards men.\But nothing's changed since that summer back when I was seventeen. response:	If only I could remain high on this moment of happiness,
context: the blonde guy and the long haired guy.\That's not true! You're number one in my book, Takumi!\I'll bet he thinks of me as a foolish, easy woman.\But that's basically the type of woman I am.\With all I've been through,\I thought I had become more cautious towards men.\But nothing's changed since that summer back when I was seventeen.\If only I could remain high on this moment of happiness, response:	I wouldn't even care about tomorrow.
context: That's not true! You're number one in my book, Takumi!\I'll bet he thinks of me as a foolish, easy woman.\But that's basically the type of woman I am.\With all I've been through,\I thought I had become more cautious towards men.\But nothing's changed since that summer back when I was seventeen.\If only I could remain high on this moment of happiness,\I wouldn't even care about tomorrow. response:	What's this?
context: I'll bet he thinks of me as a foolish, easy woman.\But that's basically the type of woman I am.\With all I've been through,\I thought I had become more cautious towards men.\But nothing's changed since that summer back when I was seventeen.\If only I could remain high on this moment of happiness,\I wouldn't even care about tomorrow.\What's this? response:	Awesome!
context: But that's basically the type of woman I am.\With all I've been through,\I thought I had become more cautious towards men.\But nothing's changed since that summer back when I was seventeen.\If only I could remain high on this moment of happiness,\I wouldn't even care about tomorrow.\What's this?\Awesome! response:	It's huge! There are two rooms!
