context: Abe no Seimei. response:	An onmyoji from the Heian era.
context: You may happen to have inherited an especially strong version of Seimei's power.\Do you think so?\Kamata-san, this is my sister's paperwork.\Thanks!\Your sister's paperwork?\Yeah.\The way she has to return to society is a bit unusual.\We decide if we use official channels, response:	and get a family court to retract the missing persons' report,
context: Do you think so?\Kamata-san, this is my sister's paperwork.\Thanks!\Your sister's paperwork?\Yeah.\The way she has to return to society is a bit unusual.\We decide if we use official channels,\and get a family court to retract the missing persons' report, response:	or do something else.
context: Kamata-san, this is my sister's paperwork.\Thanks!\Your sister's paperwork?\Yeah.\The way she has to return to society is a bit unusual.\We decide if we use official channels,\and get a family court to retract the missing persons' report,\or do something else. response:	Sakaki-kun's sister isn't the first person to go missing thanks to an Another.
context: Thanks!\Your sister's paperwork?\Yeah.\The way she has to return to society is a bit unusual.\We decide if we use official channels,\and get a family court to retract the missing persons' report,\or do something else.\Sakaki-kun's sister isn't the first person to go missing thanks to an Another. response:	So the question is whether she stays her own age, but looks like she's 17,
context: Your sister's paperwork?\Yeah.\The way she has to return to society is a bit unusual.\We decide if we use official channels,\and get a family court to retract the missing persons' report,\or do something else.\Sakaki-kun's sister isn't the first person to go missing thanks to an Another.\So the question is whether she stays her own age, but looks like she's 17, response:	or becomes a different person who's 17.
context: Yeah.\The way she has to return to society is a bit unusual.\We decide if we use official channels,\and get a family court to retract the missing persons' report,\or do something else.\Sakaki-kun's sister isn't the first person to go missing thanks to an Another.\So the question is whether she stays her own age, but looks like she's 17,\or becomes a different person who's 17. response:	And for things like that, you need people like us who can help you.
context: The way she has to return to society is a bit unusual.\We decide if we use official channels,\and get a family court to retract the missing persons' report,\or do something else.\Sakaki-kun's sister isn't the first person to go missing thanks to an Another.\So the question is whether she stays her own age, but looks like she's 17,\or becomes a different person who's 17.\And for things like that, you need people like us who can help you. response:	Both options have their upsides and downsides.
context: We decide if we use official channels,\and get a family court to retract the missing persons' report,\or do something else.\Sakaki-kun's sister isn't the first person to go missing thanks to an Another.\So the question is whether she stays her own age, but looks like she's 17,\or becomes a different person who's 17.\And for things like that, you need people like us who can help you.\Both options have their upsides and downsides. response:	So think carefully on it.
context: and get a family court to retract the missing persons' report,\or do something else.\Sakaki-kun's sister isn't the first person to go missing thanks to an Another.\So the question is whether she stays her own age, but looks like she's 17,\or becomes a different person who's 17.\And for things like that, you need people like us who can help you.\Both options have their upsides and downsides.\So think carefully on it. response:	Got it.
context: or do something else.\Sakaki-kun's sister isn't the first person to go missing thanks to an Another.\So the question is whether she stays her own age, but looks like she's 17,\or becomes a different person who's 17.\And for things like that, you need people like us who can help you.\Both options have their upsides and downsides.\So think carefully on it.\Got it. response:	September 13th
context: Sakaki-kun's sister isn't the first person to go missing thanks to an Another.\So the question is whether she stays her own age, but looks like she's 17,\or becomes a different person who's 17.\And for things like that, you need people like us who can help you.\Both options have their upsides and downsides.\So think carefully on it.\Got it.\September 13th response:	That looks great on you, Shiori-san.
context: So the question is whether she stays her own age, but looks like she's 17,\or becomes a different person who's 17.\And for things like that, you need people like us who can help you.\Both options have their upsides and downsides.\So think carefully on it.\Got it.\September 13th\That looks great on you, Shiori-san. response:	Do you think?
context: or becomes a different person who's 17.\And for things like that, you need people like us who can help you.\Both options have their upsides and downsides.\So think carefully on it.\Got it.\September 13th\That looks great on you, Shiori-san.\Do you think? response:	Right?
context: And for things like that, you need people like us who can help you.\Both options have their upsides and downsides.\So think carefully on it.\Got it.\September 13th\That looks great on you, Shiori-san.\Do you think?\Right? response:	Yeah. It looks great.
context: Both options have their upsides and downsides.\So think carefully on it.\Got it.\September 13th\That looks great on you, Shiori-san.\Do you think?\Right?\Yeah. It looks great. response:	Okay, I guess I'll get this.
context: So think carefully on it.\Got it.\September 13th\That looks great on you, Shiori-san.\Do you think?\Right?\Yeah. It looks great.\Okay, I guess I'll get this. response:	Okay!
context: Got it.\September 13th\That looks great on you, Shiori-san.\Do you think?\Right?\Yeah. It looks great.\Okay, I guess I'll get this.\Okay! response:	Sorry to drag you out here on your day off.
context: September 13th\That looks great on you, Shiori-san.\Do you think?\Right?\Yeah. It looks great.\Okay, I guess I'll get this.\Okay!\Sorry to drag you out here on your day off. response:	It's fine.
context: That looks great on you, Shiori-san.\Do you think?\Right?\Yeah. It looks great.\Okay, I guess I'll get this.\Okay!\Sorry to drag you out here on your day off.\It's fine. response:	Honestly, I'm glad Izumi-chan was able to help.
context: Do you think?\Right?\Yeah. It looks great.\Okay, I guess I'll get this.\Okay!\Sorry to drag you out here on your day off.\It's fine.\Honestly, I'm glad Izumi-chan was able to help. response:	Me and my sister have no idea what teenage girls wear these days.
context: Right?\Yeah. It looks great.\Okay, I guess I'll get this.\Okay!\Sorry to drag you out here on your day off.\It's fine.\Honestly, I'm glad Izumi-chan was able to help.\Me and my sister have no idea what teenage girls wear these days. response:	You look happy, Sakaki-san.
context: Yeah. It looks great.\Okay, I guess I'll get this.\Okay!\Sorry to drag you out here on your day off.\It's fine.\Honestly, I'm glad Izumi-chan was able to help.\Me and my sister have no idea what teenage girls wear these days.\You look happy, Sakaki-san. response:	I sure am.
context: Okay, I guess I'll get this.\Okay!\Sorry to drag you out here on your day off.\It's fine.\Honestly, I'm glad Izumi-chan was able to help.\Me and my sister have no idea what teenage girls wear these days.\You look happy, Sakaki-san.\I sure am. response:	When I was a kid, I caused my sister a lot of trouble.
context: Okay!\Sorry to drag you out here on your day off.\It's fine.\Honestly, I'm glad Izumi-chan was able to help.\Me and my sister have no idea what teenage girls wear these days.\You look happy, Sakaki-san.\I sure am.\When I was a kid, I caused my sister a lot of trouble. response:	And you...
context: Sorry to drag you out here on your day off.\It's fine.\Honestly, I'm glad Izumi-chan was able to help.\Me and my sister have no idea what teenage girls wear these days.\You look happy, Sakaki-san.\I sure am.\When I was a kid, I caused my sister a lot of trouble.\And you... response:	You and Theo helped me out a lot.
context: It's fine.\Honestly, I'm glad Izumi-chan was able to help.\Me and my sister have no idea what teenage girls wear these days.\You look happy, Sakaki-san.\I sure am.\When I was a kid, I caused my sister a lot of trouble.\And you...\You and Theo helped me out a lot. response:	Sakaki-san?
context: Honestly, I'm glad Izumi-chan was able to help.\Me and my sister have no idea what teenage girls wear these days.\You look happy, Sakaki-san.\I sure am.\When I was a kid, I caused my sister a lot of trouble.\And you...\You and Theo helped me out a lot.\Sakaki-san? response:	And thanks to you, I finally have her back.
context: Me and my sister have no idea what teenage girls wear these days.\You look happy, Sakaki-san.\I sure am.\When I was a kid, I caused my sister a lot of trouble.\And you...\You and Theo helped me out a lot.\Sakaki-san?\And thanks to you, I finally have her back. response:	I don't know what I do from now on.
context: You look happy, Sakaki-san.\I sure am.\When I was a kid, I caused my sister a lot of trouble.\And you...\You and Theo helped me out a lot.\Sakaki-san?\And thanks to you, I finally have her back.\I don't know what I do from now on. response:	But for now, I'm just happy to be able to do something for her.
context: I sure am.\When I was a kid, I caused my sister a lot of trouble.\And you...\You and Theo helped me out a lot.\Sakaki-san?\And thanks to you, I finally have her back.\I don't know what I do from now on.\But for now, I'm just happy to be able to do something for her. response:	Next we'll need to get some winter clothes for her.
context: When I was a kid, I caused my sister a lot of trouble.\And you...\You and Theo helped me out a lot.\Sakaki-san?\And thanks to you, I finally have her back.\I don't know what I do from now on.\But for now, I'm just happy to be able to do something for her.\Next we'll need to get some winter clothes for her. response:	I hope you can come then, too.
context: And you...\You and Theo helped me out a lot.\Sakaki-san?\And thanks to you, I finally have her back.\I don't know what I do from now on.\But for now, I'm just happy to be able to do something for her.\Next we'll need to get some winter clothes for her.\I hope you can come then, too. response:	Thanks for coming today, Izumi.
context: You and Theo helped me out a lot.\Sakaki-san?\And thanks to you, I finally have her back.\I don't know what I do from now on.\But for now, I'm just happy to be able to do something for her.\Next we'll need to get some winter clothes for her.\I hope you can come then, too.\Thanks for coming today, Izumi. response:	It's fine! You bought me a bunch of stuff, too.
context: Sakaki-san?\And thanks to you, I finally have her back.\I don't know what I do from now on.\But for now, I'm just happy to be able to do something for her.\Next we'll need to get some winter clothes for her.\I hope you can come then, too.\Thanks for coming today, Izumi.\It's fine! You bought me a bunch of stuff, too. response:	How's your arm?
context: And thanks to you, I finally have her back.\I don't know what I do from now on.\But for now, I'm just happy to be able to do something for her.\Next we'll need to get some winter clothes for her.\I hope you can come then, too.\Thanks for coming today, Izumi.\It's fine! You bought me a bunch of stuff, too.\How's your arm? response:	It's fine now.
context: I don't know what I do from now on.\But for now, I'm just happy to be able to do something for her.\Next we'll need to get some winter clothes for her.\I hope you can come then, too.\Thanks for coming today, Izumi.\It's fine! You bought me a bunch of stuff, too.\How's your arm?\It's fine now. response:	What about you? Are you okay?
context: But for now, I'm just happy to be able to do something for her.\Next we'll need to get some winter clothes for her.\I hope you can come then, too.\Thanks for coming today, Izumi.\It's fine! You bought me a bunch of stuff, too.\How's your arm?\It's fine now.\What about you? Are you okay? response:	Is what you're doing dangerous?
context: Next we'll need to get some winter clothes for her.\I hope you can come then, too.\Thanks for coming today, Izumi.\It's fine! You bought me a bunch of stuff, too.\How's your arm?\It's fine now.\What about you? Are you okay?\Is what you're doing dangerous? response:	Izumi...
context: I hope you can come then, too.\Thanks for coming today, Izumi.\It's fine! You bought me a bunch of stuff, too.\How's your arm?\It's fine now.\What about you? Are you okay?\Is what you're doing dangerous?\Izumi... response:	I know you can't tell me all about your job.
context: Thanks for coming today, Izumi.\It's fine! You bought me a bunch of stuff, too.\How's your arm?\It's fine now.\What about you? Are you okay?\Is what you're doing dangerous?\Izumi...\I know you can't tell me all about your job. response:	But...
context: It's fine! You bought me a bunch of stuff, too.\How's your arm?\It's fine now.\What about you? Are you okay?\Is what you're doing dangerous?\Izumi...\I know you can't tell me all about your job.\But... response:	Are you getting involved in things like that a lot?
context: How's your arm?\It's fine now.\What about you? Are you okay?\Is what you're doing dangerous?\Izumi...\I know you can't tell me all about your job.\But...\Are you getting involved in things like that a lot? response:	I'm a little worried.
context: It's fine now.\What about you? Are you okay?\Is what you're doing dangerous?\Izumi...\I know you can't tell me all about your job.\But...\Are you getting involved in things like that a lot?\I'm a little worried. response:	Don't worry.
context: What about you? Are you okay?\Is what you're doing dangerous?\Izumi...\I know you can't tell me all about your job.\But...\Are you getting involved in things like that a lot?\I'm a little worried.\Don't worry. response:	I have co-workers I can trust.
context: Is what you're doing dangerous?\Izumi...\I know you can't tell me all about your job.\But...\Are you getting involved in things like that a lot?\I'm a little worried.\Don't worry.\I have co-workers I can trust. response:	I'll be fine.
context: Izumi...\I know you can't tell me all about your job.\But...\Are you getting involved in things like that a lot?\I'm a little worried.\Don't worry.\I have co-workers I can trust.\I'll be fine. response:	Yeah, they seem good.
context: I know you can't tell me all about your job.\But...\Are you getting involved in things like that a lot?\I'm a little worried.\Don't worry.\I have co-workers I can trust.\I'll be fine.\Yeah, they seem good. response:	Right?
context: But...\Are you getting involved in things like that a lot?\I'm a little worried.\Don't worry.\I have co-workers I can trust.\I'll be fine.\Yeah, they seem good.\Right? response:	Arata, what's wrong?
context: Are you getting involved in things like that a lot?\I'm a little worried.\Don't worry.\I have co-workers I can trust.\I'll be fine.\Yeah, they seem good.\Right?\Arata, what's wrong? response:	She's worried, huh?
context: I'm a little worried.\Don't worry.\I have co-workers I can trust.\I'll be fine.\Yeah, they seem good.\Right?\Arata, what's wrong?\She's worried, huh? response:	I guess that's natural...
context: Don't worry.\I have co-workers I can trust.\I'll be fine.\Yeah, they seem good.\Right?\Arata, what's wrong?\She's worried, huh?\I guess that's natural... response:	What's got you down in the dumps?
context: I have co-workers I can trust.\I'll be fine.\Yeah, they seem good.\Right?\Arata, what's wrong?\She's worried, huh?\I guess that's natural...\What's got you down in the dumps? response:	Whose fault do you think it is?!
context: I'll be fine.\Yeah, they seem good.\Right?\Arata, what's wrong?\She's worried, huh?\I guess that's natural...\What's got you down in the dumps?\Whose fault do you think it is?! response:	Whose?
context: Yeah, they seem good.\Right?\Arata, what's wrong?\She's worried, huh?\I guess that's natural...\What's got you down in the dumps?\Whose fault do you think it is?!\Whose? response:	I haven't forgotten that you put Izumi in danger!
context: Right?\Arata, what's wrong?\She's worried, huh?\I guess that's natural...\What's got you down in the dumps?\Whose fault do you think it is?!\Whose?\I haven't forgotten that you put Izumi in danger! response:	It was for a friend.
context: Arata, what's wrong?\She's worried, huh?\I guess that's natural...\What's got you down in the dumps?\Whose fault do you think it is?!\Whose?\I haven't forgotten that you put Izumi in danger!\It was for a friend. response:	Will you do anything for a friend?
context: She's worried, huh?\I guess that's natural...\What's got you down in the dumps?\Whose fault do you think it is?!\Whose?\I haven't forgotten that you put Izumi in danger!\It was for a friend.\Will you do anything for a friend? response:	Well, yeah, because they're a friend.
context: I guess that's natural...\What's got you down in the dumps?\Whose fault do you think it is?!\Whose?\I haven't forgotten that you put Izumi in danger!\It was for a friend.\Will you do anything for a friend?\Well, yeah, because they're a friend. response:	Kohaku?
context: What's got you down in the dumps?\Whose fault do you think it is?!\Whose?\I haven't forgotten that you put Izumi in danger!\It was for a friend.\Will you do anything for a friend?\Well, yeah, because they're a friend.\Kohaku? response:	Yes...
context: Whose fault do you think it is?!\Whose?\I haven't forgotten that you put Izumi in danger!\It was for a friend.\Will you do anything for a friend?\Well, yeah, because they're a friend.\Kohaku?\Yes... response:	A friend?
context: Whose?\I haven't forgotten that you put Izumi in danger!\It was for a friend.\Will you do anything for a friend?\Well, yeah, because they're a friend.\Kohaku?\Yes...\A friend? response:	Could we see them today?
context: I haven't forgotten that you put Izumi in danger!\It was for a friend.\Will you do anything for a friend?\Well, yeah, because they're a friend.\Kohaku?\Yes...\A friend?\Could we see them today? response:	Let's go.
context: It was for a friend.\Will you do anything for a friend?\Well, yeah, because they're a friend.\Kohaku?\Yes...\A friend?\Could we see them today?\Let's go. response:	Go where?
context: Will you do anything for a friend?\Well, yeah, because they're a friend.\Kohaku?\Yes...\A friend?\Could we see them today?\Let's go.\Go where? response:	Just come on!
context: Well, yeah, because they're a friend.\Kohaku?\Yes...\A friend?\Could we see them today?\Let's go.\Go where?\Just come on! response:	H-Hey!
context: Kohaku?\Yes...\A friend?\Could we see them today?\Let's go.\Go where?\Just come on!\H-Hey! response:	September 13th Bunkyo Ward, Koraku
context: Yes...\A friend?\Could we see them today?\Let's go.\Go where?\Just come on!\H-Hey!\September 13th Bunkyo Ward, Koraku response:	You're not taking me someplace weird, are you?
context: A friend?\Could we see them today?\Let's go.\Go where?\Just come on!\H-Hey!\September 13th Bunkyo Ward, Koraku\You're not taking me someplace weird, are you? response:	I haven't been on a walk with Arata in forever.
context: Could we see them today?\Let's go.\Go where?\Just come on!\H-Hey!\September 13th Bunkyo Ward, Koraku\You're not taking me someplace weird, are you?\I haven't been on a walk with Arata in forever. response:	You're nice to cats, aren't you?
context: Let's go.\Go where?\Just come on!\H-Hey!\September 13th Bunkyo Ward, Koraku\You're not taking me someplace weird, are you?\I haven't been on a walk with Arata in forever.\You're nice to cats, aren't you? response:	Since you invited me.
context: Go where?\Just come on!\H-Hey!\September 13th Bunkyo Ward, Koraku\You're not taking me someplace weird, are you?\I haven't been on a walk with Arata in forever.\You're nice to cats, aren't you?\Since you invited me. response:	Bastet's scary when she gets mad.
context: Just come on!\H-Hey!\September 13th Bunkyo Ward, Koraku\You're not taking me someplace weird, are you?\I haven't been on a walk with Arata in forever.\You're nice to cats, aren't you?\Since you invited me.\Bastet's scary when she gets mad. response:	Bastet?
context: H-Hey!\September 13th Bunkyo Ward, Koraku\You're not taking me someplace weird, are you?\I haven't been on a walk with Arata in forever.\You're nice to cats, aren't you?\Since you invited me.\Bastet's scary when she gets mad.\Bastet? response:	An important cat!
context: September 13th Bunkyo Ward, Koraku\You're not taking me someplace weird, are you?\I haven't been on a walk with Arata in forever.\You're nice to cats, aren't you?\Since you invited me.\Bastet's scary when she gets mad.\Bastet?\An important cat! response:	She gets mad really easy, but she's a good musician.
context: You're not taking me someplace weird, are you?\I haven't been on a walk with Arata in forever.\You're nice to cats, aren't you?\Since you invited me.\Bastet's scary when she gets mad.\Bastet?\An important cat!\She gets mad really easy, but she's a good musician. response:	Wow, it feels so alive!
context: I haven't been on a walk with Arata in forever.\You're nice to cats, aren't you?\Since you invited me.\Bastet's scary when she gets mad.\Bastet?\An important cat!\She gets mad really easy, but she's a good musician.\Wow, it feels so alive! response:	Kohaku?
context: You're nice to cats, aren't you?\Since you invited me.\Bastet's scary when she gets mad.\Bastet?\An important cat!\She gets mad really easy, but she's a good musician.\Wow, it feels so alive!\Kohaku? response:	I love this place. The stage is big! The music's loud!
context: Since you invited me.\Bastet's scary when she gets mad.\Bastet?\An important cat!\She gets mad really easy, but she's a good musician.\Wow, it feels so alive!\Kohaku?\I love this place. The stage is big! The music's loud! response:	And everybody's so excited!
context: Bastet's scary when she gets mad.\Bastet?\An important cat!\She gets mad really easy, but she's a good musician.\Wow, it feels so alive!\Kohaku?\I love this place. The stage is big! The music's loud!\And everybody's so excited! response:	You've been here before?
context: Bastet?\An important cat!\She gets mad really easy, but she's a good musician.\Wow, it feels so alive!\Kohaku?\I love this place. The stage is big! The music's loud!\And everybody's so excited!\You've been here before? response:	Yeah, I come by here a lot!
context: An important cat!\She gets mad really easy, but she's a good musician.\Wow, it feels so alive!\Kohaku?\I love this place. The stage is big! The music's loud!\And everybody's so excited!\You've been here before?\Yeah, I come by here a lot! response:	You pay for tickets, right
context: She gets mad really easy, but she's a good musician.\Wow, it feels so alive!\Kohaku?\I love this place. The stage is big! The music's loud!\And everybody's so excited!\You've been here before?\Yeah, I come by here a lot!\You pay for tickets, right response:	No point in saying that to an Another, is there?
context: Wow, it feels so alive!\Kohaku?\I love this place. The stage is big! The music's loud!\And everybody's so excited!\You've been here before?\Yeah, I come by here a lot!\You pay for tickets, right\No point in saying that to an Another, is there? response:	You're still here?
context: Kohaku?\I love this place. The stage is big! The music's loud!\And everybody's so excited!\You've been here before?\Yeah, I come by here a lot!\You pay for tickets, right\No point in saying that to an Another, is there?\You're still here? response:	I keep telling you not to live here.
context: I love this place. The stage is big! The music's loud!\And everybody's so excited!\You've been here before?\Yeah, I come by here a lot!\You pay for tickets, right\No point in saying that to an Another, is there?\You're still here?\I keep telling you not to live here. response:	It's a mid-autumn harvest moon tonight, right?
context: And everybody's so excited!\You've been here before?\Yeah, I come by here a lot!\You pay for tickets, right\No point in saying that to an Another, is there?\You're still here?\I keep telling you not to live here.\It's a mid-autumn harvest moon tonight, right? response:	I was thinking of harvesting a mandragora.
context: You've been here before?\Yeah, I come by here a lot!\You pay for tickets, right\No point in saying that to an Another, is there?\You're still here?\I keep telling you not to live here.\It's a mid-autumn harvest moon tonight, right?\I was thinking of harvesting a mandragora. response:	Don't let the general affairs department find you.
context: Yeah, I come by here a lot!\You pay for tickets, right\No point in saying that to an Another, is there?\You're still here?\I keep telling you not to live here.\It's a mid-autumn harvest moon tonight, right?\I was thinking of harvesting a mandragora.\Don't let the general affairs department find you. response:	If they find you using the office on a day we're closed, they'll get mad again.
context: You pay for tickets, right\No point in saying that to an Another, is there?\You're still here?\I keep telling you not to live here.\It's a mid-autumn harvest moon tonight, right?\I was thinking of harvesting a mandragora.\Don't let the general affairs department find you.\If they find you using the office on a day we're closed, they'll get mad again. response:	What about you?
context: No point in saying that to an Another, is there?\You're still here?\I keep telling you not to live here.\It's a mid-autumn harvest moon tonight, right?\I was thinking of harvesting a mandragora.\Don't let the general affairs department find you.\If they find you using the office on a day we're closed, they'll get mad again.\What about you? response:	Bunkyo Ward got in touch with me.
context: You're still here?\I keep telling you not to live here.\It's a mid-autumn harvest moon tonight, right?\I was thinking of harvesting a mandragora.\Don't let the general affairs department find you.\If they find you using the office on a day we're closed, they'll get mad again.\What about you?\Bunkyo Ward got in touch with me. response:	Bunkyo Ward?
context: I keep telling you not to live here.\It's a mid-autumn harvest moon tonight, right?\I was thinking of harvesting a mandragora.\Don't let the general affairs department find you.\If they find you using the office on a day we're closed, they'll get mad again.\What about you?\Bunkyo Ward got in touch with me.\Bunkyo Ward? response:	Yeah. It's a day off and they're still mad at me.
