context: What do you think? response:	It's really warm!
context: Yeah, yeah. Very cute.\We're not live, so you can do it again...\We rocked!\They said the waves were gonna get pretty rough...\We really need to be efficient with our time.\They wanted us to help out later, right?\Yes, that's right.\Why didn't you wake me? response:	I did.
context: We're not live, so you can do it again...\We rocked!\They said the waves were gonna get pretty rough...\We really need to be efficient with our time.\They wanted us to help out later, right?\Yes, that's right.\Why didn't you wake me?\I did. response:	Then you need to wake me harder!
context: We rocked!\They said the waves were gonna get pretty rough...\We really need to be efficient with our time.\They wanted us to help out later, right?\Yes, that's right.\Why didn't you wake me?\I did.\Then you need to wake me harder! response:	Excuse us!
context: They said the waves were gonna get pretty rough...\We really need to be efficient with our time.\They wanted us to help out later, right?\Yes, that's right.\Why didn't you wake me?\I did.\Then you need to wake me harder!\Excuse us! response:	Wait! Wait! Thirty minutes more!
context: We really need to be efficient with our time.\They wanted us to help out later, right?\Yes, that's right.\Why didn't you wake me?\I did.\Then you need to wake me harder!\Excuse us!\Wait! Wait! Thirty minutes more! response:	Fifteen, at least!
context: They wanted us to help out later, right?\Yes, that's right.\Why didn't you wake me?\I did.\Then you need to wake me harder!\Excuse us!\Wait! Wait! Thirty minutes more!\Fifteen, at least! response:	Okay. We'll wait outside.
context: Yes, that's right.\Why didn't you wake me?\I did.\Then you need to wake me harder!\Excuse us!\Wait! Wait! Thirty minutes more!\Fifteen, at least!\Okay. We'll wait outside. response:	Did she not have eyebrows?
context: Why didn't you wake me?\I did.\Then you need to wake me harder!\Excuse us!\Wait! Wait! Thirty minutes more!\Fifteen, at least!\Okay. We'll wait outside.\Did she not have eyebrows? response:	It's not uncommon among women.
context: I did.\Then you need to wake me harder!\Excuse us!\Wait! Wait! Thirty minutes more!\Fifteen, at least!\Okay. We'll wait outside.\Did she not have eyebrows?\It's not uncommon among women. response:	I'd actually say it's typical.
context: Then you need to wake me harder!\Excuse us!\Wait! Wait! Thirty minutes more!\Fifteen, at least!\Okay. We'll wait outside.\Did she not have eyebrows?\It's not uncommon among women.\I'd actually say it's typical. response:	Is it really?
context: Excuse us!\Wait! Wait! Thirty minutes more!\Fifteen, at least!\Okay. We'll wait outside.\Did she not have eyebrows?\It's not uncommon among women.\I'd actually say it's typical.\Is it really? response:	Ow!
context: Wait! Wait! Thirty minutes more!\Fifteen, at least!\Okay. We'll wait outside.\Did she not have eyebrows?\It's not uncommon among women.\I'd actually say it's typical.\Is it really?\Ow! response:	As we go further south,
context: Fifteen, at least!\Okay. We'll wait outside.\Did she not have eyebrows?\It's not uncommon among women.\I'd actually say it's typical.\Is it really?\Ow!\As we go further south, response:	we'll be stopping at places in the ocean known as stations
context: Okay. We'll wait outside.\Did she not have eyebrows?\It's not uncommon among women.\I'd actually say it's typical.\Is it really?\Ow!\As we go further south,\we'll be stopping at places in the ocean known as stations response:	to gather bacteria and seawater.
context: Did she not have eyebrows?\It's not uncommon among women.\I'd actually say it's typical.\Is it really?\Ow!\As we go further south,\we'll be stopping at places in the ocean known as stations\to gather bacteria and seawater. response:	We have tons of equipment on board to help us with that!
context: It's not uncommon among women.\I'd actually say it's typical.\Is it really?\Ow!\As we go further south,\we'll be stopping at places in the ocean known as stations\to gather bacteria and seawater.\We have tons of equipment on board to help us with that! response:	This is a water sampler and a CTD monitor.
context: I'd actually say it's typical.\Is it really?\Ow!\As we go further south,\we'll be stopping at places in the ocean known as stations\to gather bacteria and seawater.\We have tons of equipment on board to help us with that!\This is a water sampler and a CTD monitor. response:	Wow! This is a water sampler and a CTD monitor, huh?
context: Is it really?\Ow!\As we go further south,\we'll be stopping at places in the ocean known as stations\to gather bacteria and seawater.\We have tons of equipment on board to help us with that!\This is a water sampler and a CTD monitor.\Wow! This is a water sampler and a CTD monitor, huh? response:	We'll be gathering rocks like these
context: Ow!\As we go further south,\we'll be stopping at places in the ocean known as stations\to gather bacteria and seawater.\We have tons of equipment on board to help us with that!\This is a water sampler and a CTD monitor.\Wow! This is a water sampler and a CTD monitor, huh?\We'll be gathering rocks like these response:	and performing geological surveys in Antarctica.
context: As we go further south,\we'll be stopping at places in the ocean known as stations\to gather bacteria and seawater.\We have tons of equipment on board to help us with that!\This is a water sampler and a CTD monitor.\Wow! This is a water sampler and a CTD monitor, huh?\We'll be gathering rocks like these\and performing geological surveys in Antarctica. response:	We'll investigate the stratum several thousand meters down
context: we'll be stopping at places in the ocean known as stations\to gather bacteria and seawater.\We have tons of equipment on board to help us with that!\This is a water sampler and a CTD monitor.\Wow! This is a water sampler and a CTD monitor, huh?\We'll be gathering rocks like these\and performing geological surveys in Antarctica.\We'll investigate the stratum several thousand meters down response:	The mic is too close!
context: to gather bacteria and seawater.\We have tons of equipment on board to help us with that!\This is a water sampler and a CTD monitor.\Wow! This is a water sampler and a CTD monitor, huh?\We'll be gathering rocks like these\and performing geological surveys in Antarctica.\We'll investigate the stratum several thousand meters down\The mic is too close! response:	to learn more about the conditions on primordial Earth.
context: We have tons of equipment on board to help us with that!\This is a water sampler and a CTD monitor.\Wow! This is a water sampler and a CTD monitor, huh?\We'll be gathering rocks like these\and performing geological surveys in Antarctica.\We'll investigate the stratum several thousand meters down\The mic is too close!\to learn more about the conditions on primordial Earth. response:	She has normal eyebrows, right?
context: This is a water sampler and a CTD monitor.\Wow! This is a water sampler and a CTD monitor, huh?\We'll be gathering rocks like these\and performing geological surveys in Antarctica.\We'll investigate the stratum several thousand meters down\The mic is too close!\to learn more about the conditions on primordial Earth.\She has normal eyebrows, right? response:	Would you just listen to her?
context: Wow! This is a water sampler and a CTD monitor, huh?\We'll be gathering rocks like these\and performing geological surveys in Antarctica.\We'll investigate the stratum several thousand meters down\The mic is too close!\to learn more about the conditions on primordial Earth.\She has normal eyebrows, right?\Would you just listen to her? response:	Oh, no! Oh, no! Oh, no! We're late! We're late!
context: We'll be gathering rocks like these\and performing geological surveys in Antarctica.\We'll investigate the stratum several thousand meters down\The mic is too close!\to learn more about the conditions on primordial Earth.\She has normal eyebrows, right?\Would you just listen to her?\Oh, no! Oh, no! Oh, no! We're late! We're late! response:	Which way was it, again?
context: and performing geological surveys in Antarctica.\We'll investigate the stratum several thousand meters down\The mic is too close!\to learn more about the conditions on primordial Earth.\She has normal eyebrows, right?\Would you just listen to her?\Oh, no! Oh, no! Oh, no! We're late! We're late!\Which way was it, again? response:	This way!
context: We'll investigate the stratum several thousand meters down\The mic is too close!\to learn more about the conditions on primordial Earth.\She has normal eyebrows, right?\Would you just listen to her?\Oh, no! Oh, no! Oh, no! We're late! We're late!\Which way was it, again?\This way! response:	High School Girls' room!! You gotta KNOCK
context: The mic is too close!\to learn more about the conditions on primordial Earth.\She has normal eyebrows, right?\Would you just listen to her?\Oh, no! Oh, no! Oh, no! We're late! We're late!\Which way was it, again?\This way!\High School Girls' room!! You gotta KNOCK response:	Ow!
context: to learn more about the conditions on primordial Earth.\She has normal eyebrows, right?\Would you just listen to her?\Oh, no! Oh, no! Oh, no! We're late! We're late!\Which way was it, again?\This way!\High School Girls' room!! You gotta KNOCK\Ow! response:	Sorry we're late!
context: She has normal eyebrows, right?\Would you just listen to her?\Oh, no! Oh, no! Oh, no! We're late! We're late!\Which way was it, again?\This way!\High School Girls' room!! You gotta KNOCK\Ow!\Sorry we're late! response:	Yeah, yeah, we've been waiting!
context: Would you just listen to her?\Oh, no! Oh, no! Oh, no! We're late! We're late!\Which way was it, again?\This way!\High School Girls' room!! You gotta KNOCK\Ow!\Sorry we're late!\Yeah, yeah, we've been waiting! response:	Hey, dessert!
context: Oh, no! Oh, no! Oh, no! We're late! We're late!\Which way was it, again?\This way!\High School Girls' room!! You gotta KNOCK\Ow!\Sorry we're late!\Yeah, yeah, we've been waiting!\Hey, dessert! response:	You make that here, too?
context: Which way was it, again?\This way!\High School Girls' room!! You gotta KNOCK\Ow!\Sorry we're late!\Yeah, yeah, we've been waiting!\Hey, dessert!\You make that here, too? response:	Well, with whatever we have, anyway.
context: This way!\High School Girls' room!! You gotta KNOCK\Ow!\Sorry we're late!\Yeah, yeah, we've been waiting!\Hey, dessert!\You make that here, too?\Well, with whatever we have, anyway. response:	Now, if you don't mind, start up on those.
context: High School Girls' room!! You gotta KNOCK\Ow!\Sorry we're late!\Yeah, yeah, we've been waiting!\Hey, dessert!\You make that here, too?\Well, with whatever we have, anyway.\Now, if you don't mind, start up on those. response:	Those?
context: Ow!\Sorry we're late!\Yeah, yeah, we've been waiting!\Hey, dessert!\You make that here, too?\Well, with whatever we have, anyway.\Now, if you don't mind, start up on those.\Those? response:	This is why I wanted to bring a peeler!
context: Sorry we're late!\Yeah, yeah, we've been waiting!\Hey, dessert!\You make that here, too?\Well, with whatever we have, anyway.\Now, if you don't mind, start up on those.\Those?\This is why I wanted to bring a peeler! response:	Stupid Rin!
context: Yeah, yeah, we've been waiting!\Hey, dessert!\You make that here, too?\Well, with whatever we have, anyway.\Now, if you don't mind, start up on those.\Those?\This is why I wanted to bring a peeler!\Stupid Rin! response:	There are still so many more to go...
context: Hey, dessert!\You make that here, too?\Well, with whatever we have, anyway.\Now, if you don't mind, start up on those.\Those?\This is why I wanted to bring a peeler!\Stupid Rin!\There are still so many more to go... response:	But this kind of thing is fun, don't you think?
context: You make that here, too?\Well, with whatever we have, anyway.\Now, if you don't mind, start up on those.\Those?\This is why I wanted to bring a peeler!\Stupid Rin!\There are still so many more to go...\But this kind of thing is fun, don't you think? response:	You like grunt work, huh, Kimari?
context: Well, with whatever we have, anyway.\Now, if you don't mind, start up on those.\Those?\This is why I wanted to bring a peeler!\Stupid Rin!\There are still so many more to go...\But this kind of thing is fun, don't you think?\You like grunt work, huh, Kimari? response:	Seems like it takes the four of you just to reach one horsepower.
context: Now, if you don't mind, start up on those.\Those?\This is why I wanted to bring a peeler!\Stupid Rin!\There are still so many more to go...\But this kind of thing is fun, don't you think?\You like grunt work, huh, Kimari?\Seems like it takes the four of you just to reach one horsepower. response:	Are we that slow?
context: Those?\This is why I wanted to bring a peeler!\Stupid Rin!\There are still so many more to go...\But this kind of thing is fun, don't you think?\You like grunt work, huh, Kimari?\Seems like it takes the four of you just to reach one horsepower.\Are we that slow? response:	It's clear you don't help out at home very often.
context: This is why I wanted to bring a peeler!\Stupid Rin!\There are still so many more to go...\But this kind of thing is fun, don't you think?\You like grunt work, huh, Kimari?\Seems like it takes the four of you just to reach one horsepower.\Are we that slow?\It's clear you don't help out at home very often. response:	Still, don't rush yourselves.
context: Stupid Rin!\There are still so many more to go...\But this kind of thing is fun, don't you think?\You like grunt work, huh, Kimari?\Seems like it takes the four of you just to reach one horsepower.\Are we that slow?\It's clear you don't help out at home very often.\Still, don't rush yourselves. response:	We don't want you getting hurt.
context: There are still so many more to go...\But this kind of thing is fun, don't you think?\You like grunt work, huh, Kimari?\Seems like it takes the four of you just to reach one horsepower.\Are we that slow?\It's clear you don't help out at home very often.\Still, don't rush yourselves.\We don't want you getting hurt. response:	She's fast!
context: But this kind of thing is fun, don't you think?\You like grunt work, huh, Kimari?\Seems like it takes the four of you just to reach one horsepower.\Are we that slow?\It's clear you don't help out at home very often.\Still, don't rush yourselves.\We don't want you getting hurt.\She's fast! response:	I am a pro, after all.
context: You like grunt work, huh, Kimari?\Seems like it takes the four of you just to reach one horsepower.\Are we that slow?\It's clear you don't help out at home very often.\Still, don't rush yourselves.\We don't want you getting hurt.\She's fast!\I am a pro, after all. response:	Are you a cook somewhere?
context: Seems like it takes the four of you just to reach one horsepower.\Are we that slow?\It's clear you don't help out at home very often.\Still, don't rush yourselves.\We don't want you getting hurt.\She's fast!\I am a pro, after all.\Are you a cook somewhere? response:	I'm usually a lunch lady.
context: Are we that slow?\It's clear you don't help out at home very often.\Still, don't rush yourselves.\We don't want you getting hurt.\She's fast!\I am a pro, after all.\Are you a cook somewhere?\I'm usually a lunch lady. response:	I'm constantly thinking up and preparing dishes
context: It's clear you don't help out at home very often.\Still, don't rush yourselves.\We don't want you getting hurt.\She's fast!\I am a pro, after all.\Are you a cook somewhere?\I'm usually a lunch lady.\I'm constantly thinking up and preparing dishes response:	for picky eaters like you guys.
context: Still, don't rush yourselves.\We don't want you getting hurt.\She's fast!\I am a pro, after all.\Are you a cook somewhere?\I'm usually a lunch lady.\I'm constantly thinking up and preparing dishes\for picky eaters like you guys. response:	Anyway, work hard, so you can get up on deck soon.
context: We don't want you getting hurt.\She's fast!\I am a pro, after all.\Are you a cook somewhere?\I'm usually a lunch lady.\I'm constantly thinking up and preparing dishes\for picky eaters like you guys.\Anyway, work hard, so you can get up on deck soon. response:	Get up on deck?
context: She's fast!\I am a pro, after all.\Are you a cook somewhere?\I'm usually a lunch lady.\I'm constantly thinking up and preparing dishes\for picky eaters like you guys.\Anyway, work hard, so you can get up on deck soon.\Get up on deck? response:	From 1100 hours to 1700 hours, training is permitted on-deck. Counterclockwise.
context: I am a pro, after all.\Are you a cook somewhere?\I'm usually a lunch lady.\I'm constantly thinking up and preparing dishes\for picky eaters like you guys.\Anyway, work hard, so you can get up on deck soon.\Get up on deck?\From 1100 hours to 1700 hours, training is permitted on-deck. Counterclockwise. response:	What's that?
context: Are you a cook somewhere?\I'm usually a lunch lady.\I'm constantly thinking up and preparing dishes\for picky eaters like you guys.\Anyway, work hard, so you can get up on deck soon.\Get up on deck?\From 1100 hours to 1700 hours, training is permitted on-deck. Counterclockwise.\What's that? response:	It means we're allowed to train topside.
context: I'm usually a lunch lady.\I'm constantly thinking up and preparing dishes\for picky eaters like you guys.\Anyway, work hard, so you can get up on deck soon.\Get up on deck?\From 1100 hours to 1700 hours, training is permitted on-deck. Counterclockwise.\What's that?\It means we're allowed to train topside. response:	In other words, we can go outside and get some exercise.
context: I'm constantly thinking up and preparing dishes\for picky eaters like you guys.\Anyway, work hard, so you can get up on deck soon.\Get up on deck?\From 1100 hours to 1700 hours, training is permitted on-deck. Counterclockwise.\What's that?\It means we're allowed to train topside.\In other words, we can go outside and get some exercise. response:	Exercise?
context: for picky eaters like you guys.\Anyway, work hard, so you can get up on deck soon.\Get up on deck?\From 1100 hours to 1700 hours, training is permitted on-deck. Counterclockwise.\What's that?\It means we're allowed to train topside.\In other words, we can go outside and get some exercise.\Exercise? response:	I'll take you up when you're done.
context: Anyway, work hard, so you can get up on deck soon.\Get up on deck?\From 1100 hours to 1700 hours, training is permitted on-deck. Counterclockwise.\What's that?\It means we're allowed to train topside.\In other words, we can go outside and get some exercise.\Exercise?\I'll take you up when you're done. response:	It's sort of a duty for expedition members.
context: Get up on deck?\From 1100 hours to 1700 hours, training is permitted on-deck. Counterclockwise.\What's that?\It means we're allowed to train topside.\In other words, we can go outside and get some exercise.\Exercise?\I'll take you up when you're done.\It's sort of a duty for expedition members. response:	Wow, the ocean.
context: From 1100 hours to 1700 hours, training is permitted on-deck. Counterclockwise.\What's that?\It means we're allowed to train topside.\In other words, we can go outside and get some exercise.\Exercise?\I'll take you up when you're done.\It's sort of a duty for expedition members.\Wow, the ocean. response:	W-We're going to run here?
context: What's that?\It means we're allowed to train topside.\In other words, we can go outside and get some exercise.\Exercise?\I'll take you up when you're done.\It's sort of a duty for expedition members.\Wow, the ocean.\W-We're going to run here? response:	Yep.
context: It means we're allowed to train topside.\In other words, we can go outside and get some exercise.\Exercise?\I'll take you up when you're done.\It's sort of a duty for expedition members.\Wow, the ocean.\W-We're going to run here?\Yep. response:	Hey, wait up!
context: In other words, we can go outside and get some exercise.\Exercise?\I'll take you up when you're done.\It's sort of a duty for expedition members.\Wow, the ocean.\W-We're going to run here?\Yep.\Hey, wait up! response:	If they announce clockwise, you'd go this way.
context: Exercise?\I'll take you up when you're done.\It's sort of a duty for expedition members.\Wow, the ocean.\W-We're going to run here?\Yep.\Hey, wait up!\If they announce clockwise, you'd go this way. response:	If they announce counterclockwise, you go that way.
context: I'll take you up when you're done.\It's sort of a duty for expedition members.\Wow, the ocean.\W-We're going to run here?\Yep.\Hey, wait up!\If they announce clockwise, you'd go this way.\If they announce counterclockwise, you go that way. response:	The direction changes by day, so be careful.
context: It's sort of a duty for expedition members.\Wow, the ocean.\W-We're going to run here?\Yep.\Hey, wait up!\If they announce clockwise, you'd go this way.\If they announce counterclockwise, you go that way.\The direction changes by day, so be careful. response:	Okay!
context: Wow, the ocean.\W-We're going to run here?\Yep.\Hey, wait up!\If they announce clockwise, you'd go this way.\If they announce counterclockwise, you go that way.\The direction changes by day, so be careful.\Okay! response:	About how long do we have to run?
context: W-We're going to run here?\Yep.\Hey, wait up!\If they announce clockwise, you'd go this way.\If they announce counterclockwise, you go that way.\The direction changes by day, so be careful.\Okay!\About how long do we have to run? response:	There's no particular rule.
context: Yep.\Hey, wait up!\If they announce clockwise, you'd go this way.\If they announce counterclockwise, you go that way.\The direction changes by day, so be careful.\Okay!\About how long do we have to run?\There's no particular rule. response:	But as we've told you over and over, stamina is crucial on an expedition.
context: Hey, wait up!\If they announce clockwise, you'd go this way.\If they announce counterclockwise, you go that way.\The direction changes by day, so be careful.\Okay!\About how long do we have to run?\There's no particular rule.\But as we've told you over and over, stamina is crucial on an expedition. response:	You might be working all day in sub-zero conditions,
context: If they announce clockwise, you'd go this way.\If they announce counterclockwise, you go that way.\The direction changes by day, so be careful.\Okay!\About how long do we have to run?\There's no particular rule.\But as we've told you over and over, stamina is crucial on an expedition.\You might be working all day in sub-zero conditions, response:	so you need strong bodies to meet the challenge.
context: If they announce counterclockwise, you go that way.\The direction changes by day, so be careful.\Okay!\About how long do we have to run?\There's no particular rule.\But as we've told you over and over, stamina is crucial on an expedition.\You might be working all day in sub-zero conditions,\so you need strong bodies to meet the challenge. response:	Mom was always exercising, too...
context: The direction changes by day, so be careful.\Okay!\About how long do we have to run?\There's no particular rule.\But as we've told you over and over, stamina is crucial on an expedition.\You might be working all day in sub-zero conditions,\so you need strong bodies to meet the challenge.\Mom was always exercising, too... response:	If you run out of stamina and pass out,
context: Okay!\About how long do we have to run?\There's no particular rule.\But as we've told you over and over, stamina is crucial on an expedition.\You might be working all day in sub-zero conditions,\so you need strong bodies to meet the challenge.\Mom was always exercising, too...\If you run out of stamina and pass out, response:	not only will you not contribute anything,
context: About how long do we have to run?\There's no particular rule.\But as we've told you over and over, stamina is crucial on an expedition.\You might be working all day in sub-zero conditions,\so you need strong bodies to meet the challenge.\Mom was always exercising, too...\If you run out of stamina and pass out,\not only will you not contribute anything, response:	you'll be an active drag on the people around you.
context: There's no particular rule.\But as we've told you over and over, stamina is crucial on an expedition.\You might be working all day in sub-zero conditions,\so you need strong bodies to meet the challenge.\Mom was always exercising, too...\If you run out of stamina and pass out,\not only will you not contribute anything,\you'll be an active drag on the people around you. response:	You don't want to get to Antarctica to be a drag, right?
context: But as we've told you over and over, stamina is crucial on an expedition.\You might be working all day in sub-zero conditions,\so you need strong bodies to meet the challenge.\Mom was always exercising, too...\If you run out of stamina and pass out,\not only will you not contribute anything,\you'll be an active drag on the people around you.\You don't want to get to Antarctica to be a drag, right? response:	See you!
context: You might be working all day in sub-zero conditions,\so you need strong bodies to meet the challenge.\Mom was always exercising, too...\If you run out of stamina and pass out,\not only will you not contribute anything,\you'll be an active drag on the people around you.\You don't want to get to Antarctica to be a drag, right?\See you! response:	She's fast!
context: so you need strong bodies to meet the challenge.\Mom was always exercising, too...\If you run out of stamina and pass out,\not only will you not contribute anything,\you'll be an active drag on the people around you.\You don't want to get to Antarctica to be a drag, right?\See you!\She's fast! response:	Okay! We'll do our best, too!
