context: What'cha doing? response:	-Hey! -Hey!
context: What are we going to do, you ask?!\You ask?!\As you can see, it's so we can knock them over!\To knock them over!\Where's the sense in lining them up to knock them over?\That is a difficult question, isn't it?\Isn't it?\If I had to say, it's because there are dominos here! response:	Domina! Dominist!
context: You ask?!\As you can see, it's so we can knock them over!\To knock them over!\Where's the sense in lining them up to knock them over?\That is a difficult question, isn't it?\Isn't it?\If I had to say, it's because there are dominos here!\Domina! Dominist! response:	It's a pastime that's becoming popular among children.
context: As you can see, it's so we can knock them over!\To knock them over!\Where's the sense in lining them up to knock them over?\That is a difficult question, isn't it?\Isn't it?\If I had to say, it's because there are dominos here!\Domina! Dominist!\It's a pastime that's becoming popular among children. response:	It's something that kids who don't know the rules for dominos do.
context: To knock them over!\Where's the sense in lining them up to knock them over?\That is a difficult question, isn't it?\Isn't it?\If I had to say, it's because there are dominos here!\Domina! Dominist!\It's a pastime that's becoming popular among children.\It's something that kids who don't know the rules for dominos do. response:	Oh, I get it.
context: Where's the sense in lining them up to knock them over?\That is a difficult question, isn't it?\Isn't it?\If I had to say, it's because there are dominos here!\Domina! Dominist!\It's a pastime that's becoming popular among children.\It's something that kids who don't know the rules for dominos do.\Oh, I get it. response:	Pecho- san and Randy- san?
context: That is a difficult question, isn't it?\Isn't it?\If I had to say, it's because there are dominos here!\Domina! Dominist!\It's a pastime that's becoming popular among children.\It's something that kids who don't know the rules for dominos do.\Oh, I get it.\Pecho- san and Randy- san? response:	Yeah, we tried knocking a few over, and it was fun.
context: Isn't it?\If I had to say, it's because there are dominos here!\Domina! Dominist!\It's a pastime that's becoming popular among children.\It's something that kids who don't know the rules for dominos do.\Oh, I get it.\Pecho- san and Randy- san?\Yeah, we tried knocking a few over, and it was fun. response:	Lia and Ennis, you too?
context: If I had to say, it's because there are dominos here!\Domina! Dominist!\It's a pastime that's becoming popular among children.\It's something that kids who don't know the rules for dominos do.\Oh, I get it.\Pecho- san and Randy- san?\Yeah, we tried knocking a few over, and it was fun.\Lia and Ennis, you too? response:	Firo- san, why don't you come join us?
context: Domina! Dominist!\It's a pastime that's becoming popular among children.\It's something that kids who don't know the rules for dominos do.\Oh, I get it.\Pecho- san and Randy- san?\Yeah, we tried knocking a few over, and it was fun.\Lia and Ennis, you too?\Firo- san, why don't you come join us? response:	This is fun.
context: It's a pastime that's becoming popular among children.\It's something that kids who don't know the rules for dominos do.\Oh, I get it.\Pecho- san and Randy- san?\Yeah, we tried knocking a few over, and it was fun.\Lia and Ennis, you too?\Firo- san, why don't you come join us?\This is fun. response:	Yaguruma- san?
context: It's something that kids who don't know the rules for dominos do.\Oh, I get it.\Pecho- san and Randy- san?\Yeah, we tried knocking a few over, and it was fun.\Lia and Ennis, you too?\Firo- san, why don't you come join us?\This is fun.\Yaguruma- san? response:	I amused myself a lot as a kid knocking down Shogi pieces.
context: Oh, I get it.\Pecho- san and Randy- san?\Yeah, we tried knocking a few over, and it was fun.\Lia and Ennis, you too?\Firo- san, why don't you come join us?\This is fun.\Yaguruma- san?\I amused myself a lot as a kid knocking down Shogi pieces. response:	Even Ronnie- san...
context: Pecho- san and Randy- san?\Yeah, we tried knocking a few over, and it was fun.\Lia and Ennis, you too?\Firo- san, why don't you come join us?\This is fun.\Yaguruma- san?\I amused myself a lot as a kid knocking down Shogi pieces.\Even Ronnie- san... response:	I have to ask, who designed something on this huge a scale?
context: Yeah, we tried knocking a few over, and it was fun.\Lia and Ennis, you too?\Firo- san, why don't you come join us?\This is fun.\Yaguruma- san?\I amused myself a lot as a kid knocking down Shogi pieces.\Even Ronnie- san...\I have to ask, who designed something on this huge a scale? response:	I like this sort of thing.
context: Lia and Ennis, you too?\Firo- san, why don't you come join us?\This is fun.\Yaguruma- san?\I amused myself a lot as a kid knocking down Shogi pieces.\Even Ronnie- san...\I have to ask, who designed something on this huge a scale?\I like this sort of thing. response:	Maiza- san...
context: Firo- san, why don't you come join us?\This is fun.\Yaguruma- san?\I amused myself a lot as a kid knocking down Shogi pieces.\Even Ronnie- san...\I have to ask, who designed something on this huge a scale?\I like this sort of thing.\Maiza- san... response:	All done!
context: This is fun.\Yaguruma- san?\I amused myself a lot as a kid knocking down Shogi pieces.\Even Ronnie- san...\I have to ask, who designed something on this huge a scale?\I like this sort of thing.\Maiza- san...\All done! response:	We're finished!
context: Yaguruma- san?\I amused myself a lot as a kid knocking down Shogi pieces.\Even Ronnie- san...\I have to ask, who designed something on this huge a scale?\I like this sort of thing.\Maiza- san...\All done!\We're finished! response:	Silence!
context: I amused myself a lot as a kid knocking down Shogi pieces.\Even Ronnie- san...\I have to ask, who designed something on this huge a scale?\I like this sort of thing.\Maiza- san...\All done!\We're finished!\Silence! response:	Keep quiet!
context: Even Ronnie- san...\I have to ask, who designed something on this huge a scale?\I like this sort of thing.\Maiza- san...\All done!\We're finished!\Silence!\Keep quiet! response:	All right, we will now knock them over.
context: I have to ask, who designed something on this huge a scale?\I like this sort of thing.\Maiza- san...\All done!\We're finished!\Silence!\Keep quiet!\All right, we will now knock them over. response:	We're going to knock them over.
context: I like this sort of thing.\Maiza- san...\All done!\We're finished!\Silence!\Keep quiet!\All right, we will now knock them over.\We're going to knock them over. response:	The fun...
context: Maiza- san...\All done!\We're finished!\Silence!\Keep quiet!\All right, we will now knock them over.\We're going to knock them over.\The fun... response:	Is this really all that amusing?
context: All done!\We're finished!\Silence!\Keep quiet!\All right, we will now knock them over.\We're going to knock them over.\The fun...\Is this really all that amusing? response:	Ah, how sad... Let me tell you a very, very sad story.
context: We're finished!\Silence!\Keep quiet!\All right, we will now knock them over.\We're going to knock them over.\The fun...\Is this really all that amusing?\Ah, how sad... Let me tell you a very, very sad story. response:	And here, today is the day when we had the perfect chance
context: Silence!\Keep quiet!\All right, we will now knock them over.\We're going to knock them over.\The fun...\Is this really all that amusing?\Ah, how sad... Let me tell you a very, very sad story.\And here, today is the day when we had the perfect chance response:	to make ourselves dramatically known in New York...
context: Keep quiet!\All right, we will now knock them over.\We're going to knock them over.\The fun...\Is this really all that amusing?\Ah, how sad... Let me tell you a very, very sad story.\And here, today is the day when we had the perfect chance\to make ourselves dramatically known in New York... response:	The day when the name Graham Specter would,
context: All right, we will now knock them over.\We're going to knock them over.\The fun...\Is this really all that amusing?\Ah, how sad... Let me tell you a very, very sad story.\And here, today is the day when we had the perfect chance\to make ourselves dramatically known in New York...\The day when the name Graham Specter would, response:	without a doubt, ring throughout the whole city...
context: We're going to knock them over.\The fun...\Is this really all that amusing?\Ah, how sad... Let me tell you a very, very sad story.\And here, today is the day when we had the perfect chance\to make ourselves dramatically known in New York...\The day when the name Graham Specter would,\without a doubt, ring throughout the whole city... response:	Such a...
context: The fun...\Is this really all that amusing?\Ah, how sad... Let me tell you a very, very sad story.\And here, today is the day when we had the perfect chance\to make ourselves dramatically known in New York...\The day when the name Graham Specter would,\without a doubt, ring throughout the whole city...\Such a... response:	such a sad story this is!
context: Is this really all that amusing?\Ah, how sad... Let me tell you a very, very sad story.\And here, today is the day when we had the perfect chance\to make ourselves dramatically known in New York...\The day when the name Graham Specter would,\without a doubt, ring throughout the whole city...\Such a...\such a sad story this is! response:	If you're going to cry,
context: Ah, how sad... Let me tell you a very, very sad story.\And here, today is the day when we had the perfect chance\to make ourselves dramatically known in New York...\The day when the name Graham Specter would,\without a doubt, ring throughout the whole city...\Such a...\such a sad story this is!\If you're going to cry, response:	now's the time.
context: And here, today is the day when we had the perfect chance\to make ourselves dramatically known in New York...\The day when the name Graham Specter would,\without a doubt, ring throughout the whole city...\Such a...\such a sad story this is!\If you're going to cry,\now's the time. response:	They say people grow amid hardship,
context: to make ourselves dramatically known in New York...\The day when the name Graham Specter would,\without a doubt, ring throughout the whole city...\Such a...\such a sad story this is!\If you're going to cry,\now's the time.\They say people grow amid hardship, response:	and sing the praises of life amid the pleasures of indolence.
context: The day when the name Graham Specter would,\without a doubt, ring throughout the whole city...\Such a...\such a sad story this is!\If you're going to cry,\now's the time.\They say people grow amid hardship,\and sing the praises of life amid the pleasures of indolence. response:	But I have no plans to grow.
context: without a doubt, ring throughout the whole city...\Such a...\such a sad story this is!\If you're going to cry,\now's the time.\They say people grow amid hardship,\and sing the praises of life amid the pleasures of indolence.\But I have no plans to grow. response:	And yet, why is it that I must tell this sad story?
context: Such a...\such a sad story this is!\If you're going to cry,\now's the time.\They say people grow amid hardship,\and sing the praises of life amid the pleasures of indolence.\But I have no plans to grow.\And yet, why is it that I must tell this sad story? response:	What good is it going to do to make me grow any further?
context: such a sad story this is!\If you're going to cry,\now's the time.\They say people grow amid hardship,\and sing the praises of life amid the pleasures of indolence.\But I have no plans to grow.\And yet, why is it that I must tell this sad story?\What good is it going to do to make me grow any further? response:	Where are you planning to take me?
context: If you're going to cry,\now's the time.\They say people grow amid hardship,\and sing the praises of life amid the pleasures of indolence.\But I have no plans to grow.\And yet, why is it that I must tell this sad story?\What good is it going to do to make me grow any further?\Where are you planning to take me? response:	I want to become depraved,
context: now's the time.\They say people grow amid hardship,\and sing the praises of life amid the pleasures of indolence.\But I have no plans to grow.\And yet, why is it that I must tell this sad story?\What good is it going to do to make me grow any further?\Where are you planning to take me?\I want to become depraved, response:	singing the praises of life amid indolence, and yet...
context: They say people grow amid hardship,\and sing the praises of life amid the pleasures of indolence.\But I have no plans to grow.\And yet, why is it that I must tell this sad story?\What good is it going to do to make me grow any further?\Where are you planning to take me?\I want to become depraved,\singing the praises of life amid indolence, and yet... response:	Boss Ladd has been seriously injured and caught by the police.
context: and sing the praises of life amid the pleasures of indolence.\But I have no plans to grow.\And yet, why is it that I must tell this sad story?\What good is it going to do to make me grow any further?\Where are you planning to take me?\I want to become depraved,\singing the praises of life amid indolence, and yet...\Boss Ladd has been seriously injured and caught by the police. response:	What's going on here?
context: But I have no plans to grow.\And yet, why is it that I must tell this sad story?\What good is it going to do to make me grow any further?\Where are you planning to take me?\I want to become depraved,\singing the praises of life amid indolence, and yet...\Boss Ladd has been seriously injured and caught by the police.\What's going on here? response:	Boss Ladd...
context: And yet, why is it that I must tell this sad story?\What good is it going to do to make me grow any further?\Where are you planning to take me?\I want to become depraved,\singing the praises of life amid indolence, and yet...\Boss Ladd has been seriously injured and caught by the police.\What's going on here?\Boss Ladd... response:	Are you telling me there's someone in the world that can do that?!
context: What good is it going to do to make me grow any further?\Where are you planning to take me?\I want to become depraved,\singing the praises of life amid indolence, and yet...\Boss Ladd has been seriously injured and caught by the police.\What's going on here?\Boss Ladd...\Are you telling me there's someone in the world that can do that?! response:	Someone who could hurt you like that, Boss Ladd?!
context: Where are you planning to take me?\I want to become depraved,\singing the praises of life amid indolence, and yet...\Boss Ladd has been seriously injured and caught by the police.\What's going on here?\Boss Ladd...\Are you telling me there's someone in the world that can do that?!\Someone who could hurt you like that, Boss Ladd?! response:	The parts have been swiped?
context: I want to become depraved,\singing the praises of life amid indolence, and yet...\Boss Ladd has been seriously injured and caught by the police.\What's going on here?\Boss Ladd...\Are you telling me there's someone in the world that can do that?!\Someone who could hurt you like that, Boss Ladd?!\The parts have been swiped? response:	The high-grade parts are being swapped out with inferior goods,
context: singing the praises of life amid indolence, and yet...\Boss Ladd has been seriously injured and caught by the police.\What's going on here?\Boss Ladd...\Are you telling me there's someone in the world that can do that?!\Someone who could hurt you like that, Boss Ladd?!\The parts have been swiped?\The high-grade parts are being swapped out with inferior goods, response:	and sold on the black market.
context: Boss Ladd has been seriously injured and caught by the police.\What's going on here?\Boss Ladd...\Are you telling me there's someone in the world that can do that?!\Someone who could hurt you like that, Boss Ladd?!\The parts have been swiped?\The high-grade parts are being swapped out with inferior goods,\and sold on the black market. response:	Zacharius, one of my regular customers, noticed it, and came to tell me.
context: What's going on here?\Boss Ladd...\Are you telling me there's someone in the world that can do that?!\Someone who could hurt you like that, Boss Ladd?!\The parts have been swiped?\The high-grade parts are being swapped out with inferior goods,\and sold on the black market.\Zacharius, one of my regular customers, noticed it, and came to tell me. response:	So, you want me to make them pay for it?
context: Boss Ladd...\Are you telling me there's someone in the world that can do that?!\Someone who could hurt you like that, Boss Ladd?!\The parts have been swiped?\The high-grade parts are being swapped out with inferior goods,\and sold on the black market.\Zacharius, one of my regular customers, noticed it, and came to tell me.\So, you want me to make them pay for it? response:	No, not yet. He's allowed us to save face, for now.
context: Are you telling me there's someone in the world that can do that?!\Someone who could hurt you like that, Boss Ladd?!\The parts have been swiped?\The high-grade parts are being swapped out with inferior goods,\and sold on the black market.\Zacharius, one of my regular customers, noticed it, and came to tell me.\So, you want me to make them pay for it?\No, not yet. He's allowed us to save face, for now. response:	Zacharius is being a patronizing bastard.
context: Someone who could hurt you like that, Boss Ladd?!\The parts have been swiped?\The high-grade parts are being swapped out with inferior goods,\and sold on the black market.\Zacharius, one of my regular customers, noticed it, and came to tell me.\So, you want me to make them pay for it?\No, not yet. He's allowed us to save face, for now.\Zacharius is being a patronizing bastard. response:	He's doing you a favor, isn't he, Uncle?
context: The parts have been swiped?\The high-grade parts are being swapped out with inferior goods,\and sold on the black market.\Zacharius, one of my regular customers, noticed it, and came to tell me.\So, you want me to make them pay for it?\No, not yet. He's allowed us to save face, for now.\Zacharius is being a patronizing bastard.\He's doing you a favor, isn't he, Uncle? response:	The Van Dyke auto plant. Ladd, go have a word with them.
context: The high-grade parts are being swapped out with inferior goods,\and sold on the black market.\Zacharius, one of my regular customers, noticed it, and came to tell me.\So, you want me to make them pay for it?\No, not yet. He's allowed us to save face, for now.\Zacharius is being a patronizing bastard.\He's doing you a favor, isn't he, Uncle?\The Van Dyke auto plant. Ladd, go have a word with them. response:	Oh? You mean, you're going to let me handle it?
context: and sold on the black market.\Zacharius, one of my regular customers, noticed it, and came to tell me.\So, you want me to make them pay for it?\No, not yet. He's allowed us to save face, for now.\Zacharius is being a patronizing bastard.\He's doing you a favor, isn't he, Uncle?\The Van Dyke auto plant. Ladd, go have a word with them.\Oh? You mean, you're going to let me handle it? response:	I'm just saying, go have a word with them.
context: Zacharius, one of my regular customers, noticed it, and came to tell me.\So, you want me to make them pay for it?\No, not yet. He's allowed us to save face, for now.\Zacharius is being a patronizing bastard.\He's doing you a favor, isn't he, Uncle?\The Van Dyke auto plant. Ladd, go have a word with them.\Oh? You mean, you're going to let me handle it?\I'm just saying, go have a word with them. response:	To me, that means the same thing as
context: So, you want me to make them pay for it?\No, not yet. He's allowed us to save face, for now.\Zacharius is being a patronizing bastard.\He's doing you a favor, isn't he, Uncle?\The Van Dyke auto plant. Ladd, go have a word with them.\Oh? You mean, you're going to let me handle it?\I'm just saying, go have a word with them.\To me, that means the same thing as response:	Go there and kill everyone to your heart's content.
context: No, not yet. He's allowed us to save face, for now.\Zacharius is being a patronizing bastard.\He's doing you a favor, isn't he, Uncle?\The Van Dyke auto plant. Ladd, go have a word with them.\Oh? You mean, you're going to let me handle it?\I'm just saying, go have a word with them.\To me, that means the same thing as\Go there and kill everyone to your heart's content. response:	Are you sure about it,
context: Zacharius is being a patronizing bastard.\He's doing you a favor, isn't he, Uncle?\The Van Dyke auto plant. Ladd, go have a word with them.\Oh? You mean, you're going to let me handle it?\I'm just saying, go have a word with them.\To me, that means the same thing as\Go there and kill everyone to your heart's content.\Are you sure about it, response:	Uncle?
context: He's doing you a favor, isn't he, Uncle?\The Van Dyke auto plant. Ladd, go have a word with them.\Oh? You mean, you're going to let me handle it?\I'm just saying, go have a word with them.\To me, that means the same thing as\Go there and kill everyone to your heart's content.\Are you sure about it,\Uncle? response:	All I'm telling you to do is go have a word with them.
context: The Van Dyke auto plant. Ladd, go have a word with them.\Oh? You mean, you're going to let me handle it?\I'm just saying, go have a word with them.\To me, that means the same thing as\Go there and kill everyone to your heart's content.\Are you sure about it,\Uncle?\All I'm telling you to do is go have a word with them. response:	I love you, Uncle!
context: Oh? You mean, you're going to let me handle it?\I'm just saying, go have a word with them.\To me, that means the same thing as\Go there and kill everyone to your heart's content.\Are you sure about it,\Uncle?\All I'm telling you to do is go have a word with them.\I love you, Uncle! response:	Idiot.
context: I'm just saying, go have a word with them.\To me, that means the same thing as\Go there and kill everyone to your heart's content.\Are you sure about it,\Uncle?\All I'm telling you to do is go have a word with them.\I love you, Uncle!\Idiot. response:	You say something?
context: To me, that means the same thing as\Go there and kill everyone to your heart's content.\Are you sure about it,\Uncle?\All I'm telling you to do is go have a word with them.\I love you, Uncle!\Idiot.\You say something? response:	Would you get going!
context: Go there and kill everyone to your heart's content.\Are you sure about it,\Uncle?\All I'm telling you to do is go have a word with them.\I love you, Uncle!\Idiot.\You say something?\Would you get going! response:	Now then...
context: Are you sure about it,\Uncle?\All I'm telling you to do is go have a word with them.\I love you, Uncle!\Idiot.\You say something?\Would you get going!\Now then... response:	in a few minutes, you're going to end up like that, too.
context: Uncle?\All I'm telling you to do is go have a word with them.\I love you, Uncle!\Idiot.\You say something?\Would you get going!\Now then...\in a few minutes, you're going to end up like that, too. response:	N-Now hold on...
context: All I'm telling you to do is go have a word with them.\I love you, Uncle!\Idiot.\You say something?\Would you get going!\Now then...\in a few minutes, you're going to end up like that, too.\N-Now hold on... response:	I'll at least listen to what you have to say for yourself,
context: I love you, Uncle!\Idiot.\You say something?\Would you get going!\Now then...\in a few minutes, you're going to end up like that, too.\N-Now hold on...\I'll at least listen to what you have to say for yourself, response:	before I put you to rest- no, I'm not going to put you down that easy.
context: Idiot.\You say something?\Would you get going!\Now then...\in a few minutes, you're going to end up like that, too.\N-Now hold on...\I'll at least listen to what you have to say for yourself,\before I put you to rest- no, I'm not going to put you down that easy. response:	So, start talking.
context: You say something?\Would you get going!\Now then...\in a few minutes, you're going to end up like that, too.\N-Now hold on...\I'll at least listen to what you have to say for yourself,\before I put you to rest- no, I'm not going to put you down that easy.\So, start talking. response:	I-I've got nothing to say...
context: Would you get going!\Now then...\in a few minutes, you're going to end up like that, too.\N-Now hold on...\I'll at least listen to what you have to say for yourself,\before I put you to rest- no, I'm not going to put you down that easy.\So, start talking.\I-I've got nothing to say... response:	Right, right, right...
context: Now then...\in a few minutes, you're going to end up like that, too.\N-Now hold on...\I'll at least listen to what you have to say for yourself,\before I put you to rest- no, I'm not going to put you down that easy.\So, start talking.\I-I've got nothing to say...\Right, right, right... response:	You're saying you did it for no reason?
context: in a few minutes, you're going to end up like that, too.\N-Now hold on...\I'll at least listen to what you have to say for yourself,\before I put you to rest- no, I'm not going to put you down that easy.\So, start talking.\I-I've got nothing to say...\Right, right, right...\You're saying you did it for no reason? response:	You're saying you made fools of the Russo Family for no reason?
context: N-Now hold on...\I'll at least listen to what you have to say for yourself,\before I put you to rest- no, I'm not going to put you down that easy.\So, start talking.\I-I've got nothing to say...\Right, right, right...\You're saying you did it for no reason?\You're saying you made fools of the Russo Family for no reason? response:	Nothing backdoor, then? No one behind the scenes, then?
context: I'll at least listen to what you have to say for yourself,\before I put you to rest- no, I'm not going to put you down that easy.\So, start talking.\I-I've got nothing to say...\Right, right, right...\You're saying you did it for no reason?\You're saying you made fools of the Russo Family for no reason?\Nothing backdoor, then? No one behind the scenes, then? response:	Are you saying that I, Ladd Russo- sama, was a fool to expect
context: before I put you to rest- no, I'm not going to put you down that easy.\So, start talking.\I-I've got nothing to say...\Right, right, right...\You're saying you did it for no reason?\You're saying you made fools of the Russo Family for no reason?\Nothing backdoor, then? No one behind the scenes, then?\Are you saying that I, Ladd Russo- sama, was a fool to expect response:	any sort of truth, that would get me all fired up,
context: So, start talking.\I-I've got nothing to say...\Right, right, right...\You're saying you did it for no reason?\You're saying you made fools of the Russo Family for no reason?\Nothing backdoor, then? No one behind the scenes, then?\Are you saying that I, Ladd Russo- sama, was a fool to expect\any sort of truth, that would get me all fired up, response:	to come spilling forth out of your mouth?
context: I-I've got nothing to say...\Right, right, right...\You're saying you did it for no reason?\You're saying you made fools of the Russo Family for no reason?\Nothing backdoor, then? No one behind the scenes, then?\Are you saying that I, Ladd Russo- sama, was a fool to expect\any sort of truth, that would get me all fired up,\to come spilling forth out of your mouth? response:	D-Don't do this...
context: Right, right, right...\You're saying you did it for no reason?\You're saying you made fools of the Russo Family for no reason?\Nothing backdoor, then? No one behind the scenes, then?\Are you saying that I, Ladd Russo- sama, was a fool to expect\any sort of truth, that would get me all fired up,\to come spilling forth out of your mouth?\D-Don't do this... response:	Uh-uh.
context: You're saying you did it for no reason?\You're saying you made fools of the Russo Family for no reason?\Nothing backdoor, then? No one behind the scenes, then?\Are you saying that I, Ladd Russo- sama, was a fool to expect\any sort of truth, that would get me all fired up,\to come spilling forth out of your mouth?\D-Don't do this...\Uh-uh. response:	There really isn't anything shady going on...
context: You're saying you made fools of the Russo Family for no reason?\Nothing backdoor, then? No one behind the scenes, then?\Are you saying that I, Ladd Russo- sama, was a fool to expect\any sort of truth, that would get me all fired up,\to come spilling forth out of your mouth?\D-Don't do this...\Uh-uh.\There really isn't anything shady going on... response:	Well then, can't you at least be... considerate enough...
context: Nothing backdoor, then? No one behind the scenes, then?\Are you saying that I, Ladd Russo- sama, was a fool to expect\any sort of truth, that would get me all fired up,\to come spilling forth out of your mouth?\D-Don't do this...\Uh-uh.\There really isn't anything shady going on...\Well then, can't you at least be... considerate enough... response:	to lie to me?!
context: Are you saying that I, Ladd Russo- sama, was a fool to expect\any sort of truth, that would get me all fired up,\to come spilling forth out of your mouth?\D-Don't do this...\Uh-uh.\There really isn't anything shady going on...\Well then, can't you at least be... considerate enough...\to lie to me?! response:	I'm not going to kill you easy.
context: any sort of truth, that would get me all fired up,\to come spilling forth out of your mouth?\D-Don't do this...\Uh-uh.\There really isn't anything shady going on...\Well then, can't you at least be... considerate enough...\to lie to me?!\I'm not going to kill you easy. response:	You're lucky enough to be killed by me, after all.
context: to come spilling forth out of your mouth?\D-Don't do this...\Uh-uh.\There really isn't anything shady going on...\Well then, can't you at least be... considerate enough...\to lie to me?!\I'm not going to kill you easy.\You're lucky enough to be killed by me, after all. response:	You should be more grateful, and enjoy getting killed by me!
context: D-Don't do this...\Uh-uh.\There really isn't anything shady going on...\Well then, can't you at least be... considerate enough...\to lie to me?!\I'm not going to kill you easy.\You're lucky enough to be killed by me, after all.\You should be more grateful, and enjoy getting killed by me! response:	Who are you?!
context: Uh-uh.\There really isn't anything shady going on...\Well then, can't you at least be... considerate enough...\to lie to me?!\I'm not going to kill you easy.\You're lucky enough to be killed by me, after all.\You should be more grateful, and enjoy getting killed by me!\Who are you?! response:	How can this be? You want to know my name?
context: There really isn't anything shady going on...\Well then, can't you at least be... considerate enough...\to lie to me?!\I'm not going to kill you easy.\You're lucky enough to be killed by me, after all.\You should be more grateful, and enjoy getting killed by me!\Who are you?!\How can this be? You want to know my name? response:	Which means that you're concerned about me!
context: Well then, can't you at least be... considerate enough...\to lie to me?!\I'm not going to kill you easy.\You're lucky enough to be killed by me, after all.\You should be more grateful, and enjoy getting killed by me!\Who are you?!\How can this be? You want to know my name?\Which means that you're concerned about me! response:	That notwithstanding, you've wounded my heart.
context: to lie to me?!\I'm not going to kill you easy.\You're lucky enough to be killed by me, after all.\You should be more grateful, and enjoy getting killed by me!\Who are you?!\How can this be? You want to know my name?\Which means that you're concerned about me!\That notwithstanding, you've wounded my heart. response:	For you to wound the heart of someone whom you're concerned about,
context: I'm not going to kill you easy.\You're lucky enough to be killed by me, after all.\You should be more grateful, and enjoy getting killed by me!\Who are you?!\How can this be? You want to know my name?\Which means that you're concerned about me!\That notwithstanding, you've wounded my heart.\For you to wound the heart of someone whom you're concerned about, response:	you don't seem to understand what the meaning of love is, do you?
context: You're lucky enough to be killed by me, after all.\You should be more grateful, and enjoy getting killed by me!\Who are you?!\How can this be? You want to know my name?\Which means that you're concerned about me!\That notwithstanding, you've wounded my heart.\For you to wound the heart of someone whom you're concerned about,\you don't seem to understand what the meaning of love is, do you? response:	I mean, look! I was supposed to dismantle this car.
context: You should be more grateful, and enjoy getting killed by me!\Who are you?!\How can this be? You want to know my name?\Which means that you're concerned about me!\That notwithstanding, you've wounded my heart.\For you to wound the heart of someone whom you're concerned about,\you don't seem to understand what the meaning of love is, do you?\I mean, look! I was supposed to dismantle this car. response:	And yet, you've gone and destroyed the car in a most unsightly fashion.
context: Who are you?!\How can this be? You want to know my name?\Which means that you're concerned about me!\That notwithstanding, you've wounded my heart.\For you to wound the heart of someone whom you're concerned about,\you don't seem to understand what the meaning of love is, do you?\I mean, look! I was supposed to dismantle this car.\And yet, you've gone and destroyed the car in a most unsightly fashion. response:	No! No! No! I cannot accept this!
context: How can this be? You want to know my name?\Which means that you're concerned about me!\That notwithstanding, you've wounded my heart.\For you to wound the heart of someone whom you're concerned about,\you don't seem to understand what the meaning of love is, do you?\I mean, look! I was supposed to dismantle this car.\And yet, you've gone and destroyed the car in a most unsightly fashion.\No! No! No! I cannot accept this! response:	I cannot accept it, but it is the truth.
context: Which means that you're concerned about me!\That notwithstanding, you've wounded my heart.\For you to wound the heart of someone whom you're concerned about,\you don't seem to understand what the meaning of love is, do you?\I mean, look! I was supposed to dismantle this car.\And yet, you've gone and destroyed the car in a most unsightly fashion.\No! No! No! I cannot accept this!\I cannot accept it, but it is the truth. response:	That is something I cannot tolerate!
context: That notwithstanding, you've wounded my heart.\For you to wound the heart of someone whom you're concerned about,\you don't seem to understand what the meaning of love is, do you?\I mean, look! I was supposed to dismantle this car.\And yet, you've gone and destroyed the car in a most unsightly fashion.\No! No! No! I cannot accept this!\I cannot accept it, but it is the truth.\That is something I cannot tolerate! response:	You're going to pay for putting me into this intolerable mood!
