context: It's about that time. response:	Indeed.
context: I much prefer London.\Oh, but the country's better in some respects.\But in the country, there are no shops or theatres. It was so boring.\Will...\Brother Will, I heard that Harrods has been refurbished. Take me there!\Some other time.\Some other time? And when would that be?\As I said, some other time. response:	Some other time never seems to come.
context: Oh, but the country's better in some respects.\But in the country, there are no shops or theatres. It was so boring.\Will...\Brother Will, I heard that Harrods has been refurbished. Take me there!\Some other time.\Some other time? And when would that be?\As I said, some other time.\Some other time never seems to come. response:	Come in!
context: But in the country, there are no shops or theatres. It was so boring.\Will...\Brother Will, I heard that Harrods has been refurbished. Take me there!\Some other time.\Some other time? And when would that be?\As I said, some other time.\Some other time never seems to come.\Come in! response:	Excuse me, sir.
context: Will...\Brother Will, I heard that Harrods has been refurbished. Take me there!\Some other time.\Some other time? And when would that be?\As I said, some other time.\Some other time never seems to come.\Come in!\Excuse me, sir. response:	Your father wishes to see you.
context: Brother Will, I heard that Harrods has been refurbished. Take me there!\Some other time.\Some other time? And when would that be?\As I said, some other time.\Some other time never seems to come.\Come in!\Excuse me, sir.\Your father wishes to see you. response:	It would seem you've turned down every invitation you've received.
context: Some other time.\Some other time? And when would that be?\As I said, some other time.\Some other time never seems to come.\Come in!\Excuse me, sir.\Your father wishes to see you.\It would seem you've turned down every invitation you've received. response:	Moreover, you've left it to Stevens to pen your regrets.
context: Some other time? And when would that be?\As I said, some other time.\Some other time never seems to come.\Come in!\Excuse me, sir.\Your father wishes to see you.\It would seem you've turned down every invitation you've received.\Moreover, you've left it to Stevens to pen your regrets. response:	I apologize, sir.
context: As I said, some other time.\Some other time never seems to come.\Come in!\Excuse me, sir.\Your father wishes to see you.\It would seem you've turned down every invitation you've received.\Moreover, you've left it to Stevens to pen your regrets.\I apologize, sir. response:	You're not the one who needs to apologize.
context: Some other time never seems to come.\Come in!\Excuse me, sir.\Your father wishes to see you.\It would seem you've turned down every invitation you've received.\Moreover, you've left it to Stevens to pen your regrets.\I apologize, sir.\You're not the one who needs to apologize. response:	I'm sorry.
context: Come in!\Excuse me, sir.\Your father wishes to see you.\It would seem you've turned down every invitation you've received.\Moreover, you've left it to Stevens to pen your regrets.\I apologize, sir.\You're not the one who needs to apologize.\I'm sorry. response:	There were just so many.
context: Excuse me, sir.\Your father wishes to see you.\It would seem you've turned down every invitation you've received.\Moreover, you've left it to Stevens to pen your regrets.\I apologize, sir.\You're not the one who needs to apologize.\I'm sorry.\There were just so many. response:	We may not have a title, but do you know why our merchant family receives invitations?
context: Your father wishes to see you.\It would seem you've turned down every invitation you've received.\Moreover, you've left it to Stevens to pen your regrets.\I apologize, sir.\You're not the one who needs to apologize.\I'm sorry.\There were just so many.\We may not have a title, but do you know why our merchant family receives invitations? response:	Because of our money?
context: It would seem you've turned down every invitation you've received.\Moreover, you've left it to Stevens to pen your regrets.\I apologize, sir.\You're not the one who needs to apologize.\I'm sorry.\There were just so many.\We may not have a title, but do you know why our merchant family receives invitations?\Because of our money? response:	That is one reason. But we mustn't forget character, intelligence and manners.
context: Moreover, you've left it to Stevens to pen your regrets.\I apologize, sir.\You're not the one who needs to apologize.\I'm sorry.\There were just so many.\We may not have a title, but do you know why our merchant family receives invitations?\Because of our money?\That is one reason. But we mustn't forget character, intelligence and manners. response:	Those are the qualities valued by polite society.
context: I apologize, sir.\You're not the one who needs to apologize.\I'm sorry.\There were just so many.\We may not have a title, but do you know why our merchant family receives invitations?\Because of our money?\That is one reason. But we mustn't forget character, intelligence and manners.\Those are the qualities valued by polite society. response:	The upper class is dependent upon polite society. That is part of our work too.
context: You're not the one who needs to apologize.\I'm sorry.\There were just so many.\We may not have a title, but do you know why our merchant family receives invitations?\Because of our money?\That is one reason. But we mustn't forget character, intelligence and manners.\Those are the qualities valued by polite society.\The upper class is dependent upon polite society. That is part of our work too. response:	Yes, but I-
context: I'm sorry.\There were just so many.\We may not have a title, but do you know why our merchant family receives invitations?\Because of our money?\That is one reason. But we mustn't forget character, intelligence and manners.\Those are the qualities valued by polite society.\The upper class is dependent upon polite society. That is part of our work too.\Yes, but I- response:	You will go to the ball this evening.
context: There were just so many.\We may not have a title, but do you know why our merchant family receives invitations?\Because of our money?\That is one reason. But we mustn't forget character, intelligence and manners.\Those are the qualities valued by polite society.\The upper class is dependent upon polite society. That is part of our work too.\Yes, but I-\You will go to the ball this evening. response:	I told them you would be there.
context: We may not have a title, but do you know why our merchant family receives invitations?\Because of our money?\That is one reason. But we mustn't forget character, intelligence and manners.\Those are the qualities valued by polite society.\The upper class is dependent upon polite society. That is part of our work too.\Yes, but I-\You will go to the ball this evening.\I told them you would be there. response:	Yes, sir.
context: Because of our money?\That is one reason. But we mustn't forget character, intelligence and manners.\Those are the qualities valued by polite society.\The upper class is dependent upon polite society. That is part of our work too.\Yes, but I-\You will go to the ball this evening.\I told them you would be there.\Yes, sir. response:	Lady Elliott...
context: That is one reason. But we mustn't forget character, intelligence and manners.\Those are the qualities valued by polite society.\The upper class is dependent upon polite society. That is part of our work too.\Yes, but I-\You will go to the ball this evening.\I told them you would be there.\Yes, sir.\Lady Elliott... response:	It's no use standing there like that, you know.
context: Those are the qualities valued by polite society.\The upper class is dependent upon polite society. That is part of our work too.\Yes, but I-\You will go to the ball this evening.\I told them you would be there.\Yes, sir.\Lady Elliott...\It's no use standing there like that, you know. response:	Robert!
context: The upper class is dependent upon polite society. That is part of our work too.\Yes, but I-\You will go to the ball this evening.\I told them you would be there.\Yes, sir.\Lady Elliott...\It's no use standing there like that, you know.\Robert! response:	You should dance with someone at least once.
context: Yes, but I-\You will go to the ball this evening.\I told them you would be there.\Yes, sir.\Lady Elliott...\It's no use standing there like that, you know.\Robert!\You should dance with someone at least once. response:	I know I should.
context: You will go to the ball this evening.\I told them you would be there.\Yes, sir.\Lady Elliott...\It's no use standing there like that, you know.\Robert!\You should dance with someone at least once.\I know I should. response:	But to be perfectly honest, it's a bother.
context: I told them you would be there.\Yes, sir.\Lady Elliott...\It's no use standing there like that, you know.\Robert!\You should dance with someone at least once.\I know I should.\But to be perfectly honest, it's a bother. response:	Why did you come, then?
context: Yes, sir.\Lady Elliott...\It's no use standing there like that, you know.\Robert!\You should dance with someone at least once.\I know I should.\But to be perfectly honest, it's a bother.\Why did you come, then? response:	William?
context: Lady Elliott...\It's no use standing there like that, you know.\Robert!\You should dance with someone at least once.\I know I should.\But to be perfectly honest, it's a bother.\Why did you come, then?\William? response:	It's been such a long time, Mrs. Campbell!
context: It's no use standing there like that, you know.\Robert!\You should dance with someone at least once.\I know I should.\But to be perfectly honest, it's a bother.\Why did you come, then?\William?\It's been such a long time, Mrs. Campbell! response:	It has indeed, William. I was worried because I hadn't seen you lately.
context: Robert!\You should dance with someone at least once.\I know I should.\But to be perfectly honest, it's a bother.\Why did you come, then?\William?\It's been such a long time, Mrs. Campbell!\It has indeed, William. I was worried because I hadn't seen you lately. response:	I must apologize.
context: You should dance with someone at least once.\I know I should.\But to be perfectly honest, it's a bother.\Why did you come, then?\William?\It's been such a long time, Mrs. Campbell!\It has indeed, William. I was worried because I hadn't seen you lately.\I must apologize. response:	Is your father well?
context: I know I should.\But to be perfectly honest, it's a bother.\Why did you come, then?\William?\It's been such a long time, Mrs. Campbell!\It has indeed, William. I was worried because I hadn't seen you lately.\I must apologize.\Is your father well? response:	Yes, I'm pleased to say he still has a lot to say for himself.
context: But to be perfectly honest, it's a bother.\Why did you come, then?\William?\It's been such a long time, Mrs. Campbell!\It has indeed, William. I was worried because I hadn't seen you lately.\I must apologize.\Is your father well?\Yes, I'm pleased to say he still has a lot to say for himself. response:	I knew I should have worn my lace gloves...
context: Why did you come, then?\William?\It's been such a long time, Mrs. Campbell!\It has indeed, William. I was worried because I hadn't seen you lately.\I must apologize.\Is your father well?\Yes, I'm pleased to say he still has a lot to say for himself.\I knew I should have worn my lace gloves... response:	What's this? You're still going on about that?
context: William?\It's been such a long time, Mrs. Campbell!\It has indeed, William. I was worried because I hadn't seen you lately.\I must apologize.\Is your father well?\Yes, I'm pleased to say he still has a lot to say for himself.\I knew I should have worn my lace gloves...\What's this? You're still going on about that? response:	This is my daughter.
context: It's been such a long time, Mrs. Campbell!\It has indeed, William. I was worried because I hadn't seen you lately.\I must apologize.\Is your father well?\Yes, I'm pleased to say he still has a lot to say for himself.\I knew I should have worn my lace gloves...\What's this? You're still going on about that?\This is my daughter. response:	Eleanor, introduce yourself.
context: It has indeed, William. I was worried because I hadn't seen you lately.\I must apologize.\Is your father well?\Yes, I'm pleased to say he still has a lot to say for himself.\I knew I should have worn my lace gloves...\What's this? You're still going on about that?\This is my daughter.\Eleanor, introduce yourself. response:	Good evening. My name is Eleanor Campbell...
context: I must apologize.\Is your father well?\Yes, I'm pleased to say he still has a lot to say for himself.\I knew I should have worn my lace gloves...\What's this? You're still going on about that?\This is my daughter.\Eleanor, introduce yourself.\Good evening. My name is Eleanor Campbell... response:	My name is William Jones. Delighted to meet you.
context: Is your father well?\Yes, I'm pleased to say he still has a lot to say for himself.\I knew I should have worn my lace gloves...\What's this? You're still going on about that?\This is my daughter.\Eleanor, introduce yourself.\Good evening. My name is Eleanor Campbell...\My name is William Jones. Delighted to meet you. response:	Tonight is her first ball.
context: Yes, I'm pleased to say he still has a lot to say for himself.\I knew I should have worn my lace gloves...\What's this? You're still going on about that?\This is my daughter.\Eleanor, introduce yourself.\Good evening. My name is Eleanor Campbell...\My name is William Jones. Delighted to meet you.\Tonight is her first ball. response:	Oh, is that so?
context: I knew I should have worn my lace gloves...\What's this? You're still going on about that?\This is my daughter.\Eleanor, introduce yourself.\Good evening. My name is Eleanor Campbell...\My name is William Jones. Delighted to meet you.\Tonight is her first ball.\Oh, is that so? response:	She doesn't like her dress, doesn't like her hair... She's been complaining all night.
context: What's this? You're still going on about that?\This is my daughter.\Eleanor, introduce yourself.\Good evening. My name is Eleanor Campbell...\My name is William Jones. Delighted to meet you.\Tonight is her first ball.\Oh, is that so?\She doesn't like her dress, doesn't like her hair... She's been complaining all night. response:	Mother!
context: This is my daughter.\Eleanor, introduce yourself.\Good evening. My name is Eleanor Campbell...\My name is William Jones. Delighted to meet you.\Tonight is her first ball.\Oh, is that so?\She doesn't like her dress, doesn't like her hair... She's been complaining all night.\Mother! response:	If you don't mind, would you dance one waltz with her?
context: Eleanor, introduce yourself.\Good evening. My name is Eleanor Campbell...\My name is William Jones. Delighted to meet you.\Tonight is her first ball.\Oh, is that so?\She doesn't like her dress, doesn't like her hair... She's been complaining all night.\Mother!\If you don't mind, would you dance one waltz with her? response:	But of course.
context: Good evening. My name is Eleanor Campbell...\My name is William Jones. Delighted to meet you.\Tonight is her first ball.\Oh, is that so?\She doesn't like her dress, doesn't like her hair... She's been complaining all night.\Mother!\If you don't mind, would you dance one waltz with her?\But of course. response:	Would you do me the honor of a dance, Miss Campbell?
context: My name is William Jones. Delighted to meet you.\Tonight is her first ball.\Oh, is that so?\She doesn't like her dress, doesn't like her hair... She's been complaining all night.\Mother!\If you don't mind, would you dance one waltz with her?\But of course.\Would you do me the honor of a dance, Miss Campbell? response:	Yes.
context: Tonight is her first ball.\Oh, is that so?\She doesn't like her dress, doesn't like her hair... She's been complaining all night.\Mother!\If you don't mind, would you dance one waltz with her?\But of course.\Would you do me the honor of a dance, Miss Campbell?\Yes. response:	You're quite good.
context: Oh, is that so?\She doesn't like her dress, doesn't like her hair... She's been complaining all night.\Mother!\If you don't mind, would you dance one waltz with her?\But of course.\Would you do me the honor of a dance, Miss Campbell?\Yes.\You're quite good. response:	I never would have thought this was your first dance.
context: She doesn't like her dress, doesn't like her hair... She's been complaining all night.\Mother!\If you don't mind, would you dance one waltz with her?\But of course.\Would you do me the honor of a dance, Miss Campbell?\Yes.\You're quite good.\I never would have thought this was your first dance. response:	Really?
context: Mother!\If you don't mind, would you dance one waltz with her?\But of course.\Would you do me the honor of a dance, Miss Campbell?\Yes.\You're quite good.\I never would have thought this was your first dance.\Really? response:	Yes, you're a natural.
context: If you don't mind, would you dance one waltz with her?\But of course.\Would you do me the honor of a dance, Miss Campbell?\Yes.\You're quite good.\I never would have thought this was your first dance.\Really?\Yes, you're a natural. response:	They certainly do make a handsome couple.
context: But of course.\Would you do me the honor of a dance, Miss Campbell?\Yes.\You're quite good.\I never would have thought this was your first dance.\Really?\Yes, you're a natural.\They certainly do make a handsome couple. response:	I'll hold this for you!
context: Would you do me the honor of a dance, Miss Campbell?\Yes.\You're quite good.\I never would have thought this was your first dance.\Really?\Yes, you're a natural.\They certainly do make a handsome couple.\I'll hold this for you! response:	For you!
context: Yes.\You're quite good.\I never would have thought this was your first dance.\Really?\Yes, you're a natural.\They certainly do make a handsome couple.\I'll hold this for you!\For you! response:	Thank you.
context: You're quite good.\I never would have thought this was your first dance.\Really?\Yes, you're a natural.\They certainly do make a handsome couple.\I'll hold this for you!\For you!\Thank you. response:	Hey now. Don't be a nuisance to Miss Emma!
context: I never would have thought this was your first dance.\Really?\Yes, you're a natural.\They certainly do make a handsome couple.\I'll hold this for you!\For you!\Thank you.\Hey now. Don't be a nuisance to Miss Emma! response:	Honestly, I don't know whether you're helping or hindering...
context: Really?\Yes, you're a natural.\They certainly do make a handsome couple.\I'll hold this for you!\For you!\Thank you.\Hey now. Don't be a nuisance to Miss Emma!\Honestly, I don't know whether you're helping or hindering... response:	Some potatoes, and...
context: Yes, you're a natural.\They certainly do make a handsome couple.\I'll hold this for you!\For you!\Thank you.\Hey now. Don't be a nuisance to Miss Emma!\Honestly, I don't know whether you're helping or hindering...\Some potatoes, and... response:	I recommend the green beans today!
context: They certainly do make a handsome couple.\I'll hold this for you!\For you!\Thank you.\Hey now. Don't be a nuisance to Miss Emma!\Honestly, I don't know whether you're helping or hindering...\Some potatoes, and...\I recommend the green beans today! response:	Today!
context: I'll hold this for you!\For you!\Thank you.\Hey now. Don't be a nuisance to Miss Emma!\Honestly, I don't know whether you're helping or hindering...\Some potatoes, and...\I recommend the green beans today!\Today! response:	Well then, some green beans please.
context: For you!\Thank you.\Hey now. Don't be a nuisance to Miss Emma!\Honestly, I don't know whether you're helping or hindering...\Some potatoes, and...\I recommend the green beans today!\Today!\Well then, some green beans please. response:	Thank you!
context: Thank you.\Hey now. Don't be a nuisance to Miss Emma!\Honestly, I don't know whether you're helping or hindering...\Some potatoes, and...\I recommend the green beans today!\Today!\Well then, some green beans please.\Thank you! response:	You!
context: Hey now. Don't be a nuisance to Miss Emma!\Honestly, I don't know whether you're helping or hindering...\Some potatoes, and...\I recommend the green beans today!\Today!\Well then, some green beans please.\Thank you!\You! response:	You have two wonderful assistants.
context: Honestly, I don't know whether you're helping or hindering...\Some potatoes, and...\I recommend the green beans today!\Today!\Well then, some green beans please.\Thank you!\You!\You have two wonderful assistants. response:	Look, brother Will! Does it suit me?
context: Some potatoes, and...\I recommend the green beans today!\Today!\Well then, some green beans please.\Thank you!\You!\You have two wonderful assistants.\Look, brother Will! Does it suit me? response:	Yes. It's nice.
context: I recommend the green beans today!\Today!\Well then, some green beans please.\Thank you!\You!\You have two wonderful assistants.\Look, brother Will! Does it suit me?\Yes. It's nice. response:	You didn't even look.
context: Today!\Well then, some green beans please.\Thank you!\You!\You have two wonderful assistants.\Look, brother Will! Does it suit me?\Yes. It's nice.\You didn't even look. response:	Are you sure we should be here with you?
context: Well then, some green beans please.\Thank you!\You!\You have two wonderful assistants.\Look, brother Will! Does it suit me?\Yes. It's nice.\You didn't even look.\Are you sure we should be here with you? response:	Hm?
context: Thank you!\You!\You have two wonderful assistants.\Look, brother Will! Does it suit me?\Yes. It's nice.\You didn't even look.\Are you sure we should be here with you?\Hm? response:	Didn't you have something else that you wanted to do?
context: You!\You have two wonderful assistants.\Look, brother Will! Does it suit me?\Yes. It's nice.\You didn't even look.\Are you sure we should be here with you?\Hm?\Didn't you have something else that you wanted to do? response:	Not at all. The three of us haven't spent time together for ages.
context: You have two wonderful assistants.\Look, brother Will! Does it suit me?\Yes. It's nice.\You didn't even look.\Are you sure we should be here with you?\Hm?\Didn't you have something else that you wanted to do?\Not at all. The three of us haven't spent time together for ages. response:	It's the least I could do.
context: Look, brother Will! Does it suit me?\Yes. It's nice.\You didn't even look.\Are you sure we should be here with you?\Hm?\Didn't you have something else that you wanted to do?\Not at all. The three of us haven't spent time together for ages.\It's the least I could do. response:	Sister, it's Eleanor!
context: Yes. It's nice.\You didn't even look.\Are you sure we should be here with you?\Hm?\Didn't you have something else that you wanted to do?\Not at all. The three of us haven't spent time together for ages.\It's the least I could do.\Sister, it's Eleanor! response:	Eleanor, it's been such a long time!
context: You didn't even look.\Are you sure we should be here with you?\Hm?\Didn't you have something else that you wanted to do?\Not at all. The three of us haven't spent time together for ages.\It's the least I could do.\Sister, it's Eleanor!\Eleanor, it's been such a long time! response:	Grace!
context: Are you sure we should be here with you?\Hm?\Didn't you have something else that you wanted to do?\Not at all. The three of us haven't spent time together for ages.\It's the least I could do.\Sister, it's Eleanor!\Eleanor, it's been such a long time!\Grace! response:	How fortuitous that we should meet like this.
context: Hm?\Didn't you have something else that you wanted to do?\Not at all. The three of us haven't spent time together for ages.\It's the least I could do.\Sister, it's Eleanor!\Eleanor, it's been such a long time!\Grace!\How fortuitous that we should meet like this. response:	Not really. All fashionable ladies shop at the same stores, you know.
context: Didn't you have something else that you wanted to do?\Not at all. The three of us haven't spent time together for ages.\It's the least I could do.\Sister, it's Eleanor!\Eleanor, it's been such a long time!\Grace!\How fortuitous that we should meet like this.\Not really. All fashionable ladies shop at the same stores, you know. response:	Good afternoon.
context: Not at all. The three of us haven't spent time together for ages.\It's the least I could do.\Sister, it's Eleanor!\Eleanor, it's been such a long time!\Grace!\How fortuitous that we should meet like this.\Not really. All fashionable ladies shop at the same stores, you know.\Good afternoon. response:	Good afternoon.
context: It's the least I could do.\Sister, it's Eleanor!\Eleanor, it's been such a long time!\Grace!\How fortuitous that we should meet like this.\Not really. All fashionable ladies shop at the same stores, you know.\Good afternoon.\Good afternoon. response:	Huh? Brother Will, do you know Eleanor?
context: Sister, it's Eleanor!\Eleanor, it's been such a long time!\Grace!\How fortuitous that we should meet like this.\Not really. All fashionable ladies shop at the same stores, you know.\Good afternoon.\Good afternoon.\Huh? Brother Will, do you know Eleanor? response:	We met at the ball the other night.
context: Eleanor, it's been such a long time!\Grace!\How fortuitous that we should meet like this.\Not really. All fashionable ladies shop at the same stores, you know.\Good afternoon.\Good afternoon.\Huh? Brother Will, do you know Eleanor?\We met at the ball the other night. response:	Yes.
