context: We need to become the MVPs. response:	We're stopping the Quest Dorm from getting shut down,
context: Flag 4\We're Almost to the Goal. The Track Meet'll End Just Fine.\So this might be a bit late,\but what do we need to do to become MVPs?\Well, of course,\we need to get a high total score,\but the score's not the only thing.\There's a lot of emphasis placed on special points response:	you can get for teamwork.
context: We're Almost to the Goal. The Track Meet'll End Just Fine.\So this might be a bit late,\but what do we need to do to become MVPs?\Well, of course,\we need to get a high total score,\but the score's not the only thing.\There's a lot of emphasis placed on special points\you can get for teamwork. response:	So basically, whoever stands out the most, wins.
context: So this might be a bit late,\but what do we need to do to become MVPs?\Well, of course,\we need to get a high total score,\but the score's not the only thing.\There's a lot of emphasis placed on special points\you can get for teamwork.\So basically, whoever stands out the most, wins. response:	Anyway, I've chosen which games you
context: but what do we need to do to become MVPs?\Well, of course,\we need to get a high total score,\but the score's not the only thing.\There's a lot of emphasis placed on special points\you can get for teamwork.\So basically, whoever stands out the most, wins.\Anyway, I've chosen which games you response:	should be able to get the most points in.
context: Well, of course,\we need to get a high total score,\but the score's not the only thing.\There's a lot of emphasis placed on special points\you can get for teamwork.\So basically, whoever stands out the most, wins.\Anyway, I've chosen which games you\should be able to get the most points in. response:	Huh?
context: we need to get a high total score,\but the score's not the only thing.\There's a lot of emphasis placed on special points\you can get for teamwork.\So basically, whoever stands out the most, wins.\Anyway, I've chosen which games you\should be able to get the most points in.\Huh? response:	We're doing all these?!
context: but the score's not the only thing.\There's a lot of emphasis placed on special points\you can get for teamwork.\So basically, whoever stands out the most, wins.\Anyway, I've chosen which games you\should be able to get the most points in.\Huh?\We're doing all these?! response:	Sports Week
context: There's a lot of emphasis placed on special points\you can get for teamwork.\So basically, whoever stands out the most, wins.\Anyway, I've chosen which games you\should be able to get the most points in.\Huh?\We're doing all these?!\Sports Week response:	Daytime
context: you can get for teamwork.\So basically, whoever stands out the most, wins.\Anyway, I've chosen which games you\should be able to get the most points in.\Huh?\We're doing all these?!\Sports Week\Daytime response:	Monday
context: So basically, whoever stands out the most, wins.\Anyway, I've chosen which games you\should be able to get the most points in.\Huh?\We're doing all these?!\Sports Week\Daytime\Monday response:	Tuesday
context: Anyway, I've chosen which games you\should be able to get the most points in.\Huh?\We're doing all these?!\Sports Week\Daytime\Monday\Tuesday response:	This does go on for a whole week.
context: should be able to get the most points in.\Huh?\We're doing all these?!\Sports Week\Daytime\Monday\Tuesday\This does go on for a whole week. response:	A proper schedule is the key to victory.
context: Huh?\We're doing all these?!\Sports Week\Daytime\Monday\Tuesday\This does go on for a whole week.\A proper schedule is the key to victory. response:	Looks like it's time for me to go already.
context: We're doing all these?!\Sports Week\Daytime\Monday\Tuesday\This does go on for a whole week.\A proper schedule is the key to victory.\Looks like it's time for me to go already. response:	I have the 100 meter preliminaries right now.
context: Sports Week\Daytime\Monday\Tuesday\This does go on for a whole week.\A proper schedule is the key to victory.\Looks like it's time for me to go already.\I have the 100 meter preliminaries right now. response:	The women's preliminaries are still a while off.
context: Daytime\Monday\Tuesday\This does go on for a whole week.\A proper schedule is the key to victory.\Looks like it's time for me to go already.\I have the 100 meter preliminaries right now.\The women's preliminaries are still a while off. response:	Ta-da
context: Monday\Tuesday\This does go on for a whole week.\A proper schedule is the key to victory.\Looks like it's time for me to go already.\I have the 100 meter preliminaries right now.\The women's preliminaries are still a while off.\Ta-da response:	It's time for our special Sports Week program, If I Don't do It, Who Will?
context: Tuesday\This does go on for a whole week.\A proper schedule is the key to victory.\Looks like it's time for me to go already.\I have the 100 meter preliminaries right now.\The women's preliminaries are still a while off.\Ta-da\It's time for our special Sports Week program, If I Don't do It, Who Will? response:	I'll be your host, Seiteikouji Mimori!
context: This does go on for a whole week.\A proper schedule is the key to victory.\Looks like it's time for me to go already.\I have the 100 meter preliminaries right now.\The women's preliminaries are still a while off.\Ta-da\It's time for our special Sports Week program, If I Don't do It, Who Will?\I'll be your host, Seiteikouji Mimori! response:	My guest here is Hatagaya Academy's own walking dictionary, Ryuukishibara Tsumugi!
context: A proper schedule is the key to victory.\Looks like it's time for me to go already.\I have the 100 meter preliminaries right now.\The women's preliminaries are still a while off.\Ta-da\It's time for our special Sports Week program, If I Don't do It, Who Will?\I'll be your host, Seiteikouji Mimori!\My guest here is Hatagaya Academy's own walking dictionary, Ryuukishibara Tsumugi! response:	Hi.
context: Looks like it's time for me to go already.\I have the 100 meter preliminaries right now.\The women's preliminaries are still a while off.\Ta-da\It's time for our special Sports Week program, If I Don't do It, Who Will?\I'll be your host, Seiteikouji Mimori!\My guest here is Hatagaya Academy's own walking dictionary, Ryuukishibara Tsumugi!\Hi. response:	When I was young, I was the anchor for a bucket relay
context: I have the 100 meter preliminaries right now.\The women's preliminaries are still a while off.\Ta-da\It's time for our special Sports Week program, If I Don't do It, Who Will?\I'll be your host, Seiteikouji Mimori!\My guest here is Hatagaya Academy's own walking dictionary, Ryuukishibara Tsumugi!\Hi.\When I was young, I was the anchor for a bucket relay response:	when the town was on fire.
context: The women's preliminaries are still a while off.\Ta-da\It's time for our special Sports Week program, If I Don't do It, Who Will?\I'll be your host, Seiteikouji Mimori!\My guest here is Hatagaya Academy's own walking dictionary, Ryuukishibara Tsumugi!\Hi.\When I was young, I was the anchor for a bucket relay\when the town was on fire. response:	Our program will pick up any news-worthy events
context: Ta-da\It's time for our special Sports Week program, If I Don't do It, Who Will?\I'll be your host, Seiteikouji Mimori!\My guest here is Hatagaya Academy's own walking dictionary, Ryuukishibara Tsumugi!\Hi.\When I was young, I was the anchor for a bucket relay\when the town was on fire.\Our program will pick up any news-worthy events response:	that happen around the clock.
context: It's time for our special Sports Week program, If I Don't do It, Who Will?\I'll be your host, Seiteikouji Mimori!\My guest here is Hatagaya Academy's own walking dictionary, Ryuukishibara Tsumugi!\Hi.\When I was young, I was the anchor for a bucket relay\when the town was on fire.\Our program will pick up any news-worthy events\that happen around the clock. response:	First we had Hatagaya Academy's first martial arts tournament!
context: I'll be your host, Seiteikouji Mimori!\My guest here is Hatagaya Academy's own walking dictionary, Ryuukishibara Tsumugi!\Hi.\When I was young, I was the anchor for a bucket relay\when the town was on fire.\Our program will pick up any news-worthy events\that happen around the clock.\First we had Hatagaya Academy's first martial arts tournament! response:	Surrounded by tough competitors, only one could stand on top!
context: My guest here is Hatagaya Academy's own walking dictionary, Ryuukishibara Tsumugi!\Hi.\When I was young, I was the anchor for a bucket relay\when the town was on fire.\Our program will pick up any news-worthy events\that happen around the clock.\First we had Hatagaya Academy's first martial arts tournament!\Surrounded by tough competitors, only one could stand on top! response:	And Eiyuuzaki Rin-kun was that woman!
context: Hi.\When I was young, I was the anchor for a bucket relay\when the town was on fire.\Our program will pick up any news-worthy events\that happen around the clock.\First we had Hatagaya Academy's first martial arts tournament!\Surrounded by tough competitors, only one could stand on top!\And Eiyuuzaki Rin-kun was that woman! response:	I'm not sure you'd see that at a track meet...
context: When I was young, I was the anchor for a bucket relay\when the town was on fire.\Our program will pick up any news-worthy events\that happen around the clock.\First we had Hatagaya Academy's first martial arts tournament!\Surrounded by tough competitors, only one could stand on top!\And Eiyuuzaki Rin-kun was that woman!\I'm not sure you'd see that at a track meet... response:	Next we had the heavyweight cat-gathering competition!
context: when the town was on fire.\Our program will pick up any news-worthy events\that happen around the clock.\First we had Hatagaya Academy's first martial arts tournament!\Surrounded by tough competitors, only one could stand on top!\And Eiyuuzaki Rin-kun was that woman!\I'm not sure you'd see that at a track meet...\Next we had the heavyweight cat-gathering competition! response:	The android everyone's talking about, Ninjabayashi Ruri-kun,
context: Our program will pick up any news-worthy events\that happen around the clock.\First we had Hatagaya Academy's first martial arts tournament!\Surrounded by tough competitors, only one could stand on top!\And Eiyuuzaki Rin-kun was that woman!\I'm not sure you'd see that at a track meet...\Next we had the heavyweight cat-gathering competition!\The android everyone's talking about, Ninjabayashi Ruri-kun, response:	used the speaker in her mouth to broadcast a sound which only cats could hear,
context: that happen around the clock.\First we had Hatagaya Academy's first martial arts tournament!\Surrounded by tough competitors, only one could stand on top!\And Eiyuuzaki Rin-kun was that woman!\I'm not sure you'd see that at a track meet...\Next we had the heavyweight cat-gathering competition!\The android everyone's talking about, Ninjabayashi Ruri-kun,\used the speaker in her mouth to broadcast a sound which only cats could hear, response:	and gathered them all up.
context: First we had Hatagaya Academy's first martial arts tournament!\Surrounded by tough competitors, only one could stand on top!\And Eiyuuzaki Rin-kun was that woman!\I'm not sure you'd see that at a track meet...\Next we had the heavyweight cat-gathering competition!\The android everyone's talking about, Ninjabayashi Ruri-kun,\used the speaker in her mouth to broadcast a sound which only cats could hear,\and gathered them all up. response:	I don't even know what this is supposed to be now.
context: Surrounded by tough competitors, only one could stand on top!\And Eiyuuzaki Rin-kun was that woman!\I'm not sure you'd see that at a track meet...\Next we had the heavyweight cat-gathering competition!\The android everyone's talking about, Ninjabayashi Ruri-kun,\used the speaker in her mouth to broadcast a sound which only cats could hear,\and gathered them all up.\I don't even know what this is supposed to be now. response:	And we had a teacher massage contest!
context: And Eiyuuzaki Rin-kun was that woman!\I'm not sure you'd see that at a track meet...\Next we had the heavyweight cat-gathering competition!\The android everyone's talking about, Ninjabayashi Ruri-kun,\used the speaker in her mouth to broadcast a sound which only cats could hear,\and gathered them all up.\I don't even know what this is supposed to be now.\And we had a teacher massage contest! response:	This was just a throw-in for the teachers...
context: I'm not sure you'd see that at a track meet...\Next we had the heavyweight cat-gathering competition!\The android everyone's talking about, Ninjabayashi Ruri-kun,\used the speaker in her mouth to broadcast a sound which only cats could hear,\and gathered them all up.\I don't even know what this is supposed to be now.\And we had a teacher massage contest!\This was just a throw-in for the teachers... response:	It's still the first day and we've hit the ground running!
context: Next we had the heavyweight cat-gathering competition!\The android everyone's talking about, Ninjabayashi Ruri-kun,\used the speaker in her mouth to broadcast a sound which only cats could hear,\and gathered them all up.\I don't even know what this is supposed to be now.\And we had a teacher massage contest!\This was just a throw-in for the teachers...\It's still the first day and we've hit the ground running! response:	The Quest Dorm team is really tearing it up.
context: The android everyone's talking about, Ninjabayashi Ruri-kun,\used the speaker in her mouth to broadcast a sound which only cats could hear,\and gathered them all up.\I don't even know what this is supposed to be now.\And we had a teacher massage contest!\This was just a throw-in for the teachers...\It's still the first day and we've hit the ground running!\The Quest Dorm team is really tearing it up. response:	Everyone cheer the Quest Dorm on!
context: used the speaker in her mouth to broadcast a sound which only cats could hear,\and gathered them all up.\I don't even know what this is supposed to be now.\And we had a teacher massage contest!\This was just a throw-in for the teachers...\It's still the first day and we've hit the ground running!\The Quest Dorm team is really tearing it up.\Everyone cheer the Quest Dorm on! response:	What's up with her?
context: and gathered them all up.\I don't even know what this is supposed to be now.\And we had a teacher massage contest!\This was just a throw-in for the teachers...\It's still the first day and we've hit the ground running!\The Quest Dorm team is really tearing it up.\Everyone cheer the Quest Dorm on!\What's up with her? response:	I'm sure she feels responsible.
context: I don't even know what this is supposed to be now.\And we had a teacher massage contest!\This was just a throw-in for the teachers...\It's still the first day and we've hit the ground running!\The Quest Dorm team is really tearing it up.\Everyone cheer the Quest Dorm on!\What's up with her?\I'm sure she feels responsible. response:	Oh, you did a good job, Nanami.
context: And we had a teacher massage contest!\This was just a throw-in for the teachers...\It's still the first day and we've hit the ground running!\The Quest Dorm team is really tearing it up.\Everyone cheer the Quest Dorm on!\What's up with her?\I'm sure she feels responsible.\Oh, you did a good job, Nanami. response:	You got first in the princess race.
context: This was just a throw-in for the teachers...\It's still the first day and we've hit the ground running!\The Quest Dorm team is really tearing it up.\Everyone cheer the Quest Dorm on!\What's up with her?\I'm sure she feels responsible.\Oh, you did a good job, Nanami.\You got first in the princess race. response:	Oh, that...
context: It's still the first day and we've hit the ground running!\The Quest Dorm team is really tearing it up.\Everyone cheer the Quest Dorm on!\What's up with her?\I'm sure she feels responsible.\Oh, you did a good job, Nanami.\You got first in the princess race.\Oh, that... response:	Only real princesses can participate...
context: The Quest Dorm team is really tearing it up.\Everyone cheer the Quest Dorm on!\What's up with her?\I'm sure she feels responsible.\Oh, you did a good job, Nanami.\You got first in the princess race.\Oh, that...\Only real princesses can participate... response:	Why would there be an event like that?!
context: Everyone cheer the Quest Dorm on!\What's up with her?\I'm sure she feels responsible.\Oh, you did a good job, Nanami.\You got first in the princess race.\Oh, that...\Only real princesses can participate...\Why would there be an event like that?! response:	All right.
context: What's up with her?\I'm sure she feels responsible.\Oh, you did a good job, Nanami.\You got first in the princess race.\Oh, that...\Only real princesses can participate...\Why would there be an event like that?!\All right. response:	We're going to start our penalty shoot-out competition.
context: I'm sure she feels responsible.\Oh, you did a good job, Nanami.\You got first in the princess race.\Oh, that...\Only real princesses can participate...\Why would there be an event like that?!\All right.\We're going to start our penalty shoot-out competition. response:	What's a penalty shoot-out?
context: Oh, you did a good job, Nanami.\You got first in the princess race.\Oh, that...\Only real princesses can participate...\Why would there be an event like that?!\All right.\We're going to start our penalty shoot-out competition.\What's a penalty shoot-out? response:	It's where you do soccer penalty kicks over and over.
context: You got first in the princess race.\Oh, that...\Only real princesses can participate...\Why would there be an event like that?!\All right.\We're going to start our penalty shoot-out competition.\What's a penalty shoot-out?\It's where you do soccer penalty kicks over and over. response:	It's a contest that measures one's state of mind and composure.
context: Oh, that...\Only real princesses can participate...\Why would there be an event like that?!\All right.\We're going to start our penalty shoot-out competition.\What's a penalty shoot-out?\It's where you do soccer penalty kicks over and over.\It's a contest that measures one's state of mind and composure. response:	Can Souta really handle that?
context: Only real princesses can participate...\Why would there be an event like that?!\All right.\We're going to start our penalty shoot-out competition.\What's a penalty shoot-out?\It's where you do soccer penalty kicks over and over.\It's a contest that measures one's state of mind and composure.\Can Souta really handle that? response:	Y-You can do it, Souta!
context: Why would there be an event like that?!\All right.\We're going to start our penalty shoot-out competition.\What's a penalty shoot-out?\It's where you do soccer penalty kicks over and over.\It's a contest that measures one's state of mind and composure.\Can Souta really handle that?\Y-You can do it, Souta! response:	The left!
context: All right.\We're going to start our penalty shoot-out competition.\What's a penalty shoot-out?\It's where you do soccer penalty kicks over and over.\It's a contest that measures one's state of mind and composure.\Can Souta really handle that?\Y-You can do it, Souta!\The left! response:	I see.
context: We're going to start our penalty shoot-out competition.\What's a penalty shoot-out?\It's where you do soccer penalty kicks over and over.\It's a contest that measures one's state of mind and composure.\Can Souta really handle that?\Y-You can do it, Souta!\The left!\I see. response:	This worked well for Souta.
context: What's a penalty shoot-out?\It's where you do soccer penalty kicks over and over.\It's a contest that measures one's state of mind and composure.\Can Souta really handle that?\Y-You can do it, Souta!\The left!\I see.\This worked well for Souta. response:	You were great, Souta!
context: It's where you do soccer penalty kicks over and over.\It's a contest that measures one's state of mind and composure.\Can Souta really handle that?\Y-You can do it, Souta!\The left!\I see.\This worked well for Souta.\You were great, Souta! response:	You're moving on to the finals, Sou-kun!
context: It's a contest that measures one's state of mind and composure.\Can Souta really handle that?\Y-You can do it, Souta!\The left!\I see.\This worked well for Souta.\You were great, Souta!\You're moving on to the finals, Sou-kun! response:	Indeed. Good work, Souta.
context: Can Souta really handle that?\Y-You can do it, Souta!\The left!\I see.\This worked well for Souta.\You were great, Souta!\You're moving on to the finals, Sou-kun!\Indeed. Good work, Souta. response:	You're able to read people better than anyone.
context: Y-You can do it, Souta!\The left!\I see.\This worked well for Souta.\You were great, Souta!\You're moving on to the finals, Sou-kun!\Indeed. Good work, Souta.\You're able to read people better than anyone. response:	I'm sure you'll win tomorrow's finals just fine.
context: The left!\I see.\This worked well for Souta.\You were great, Souta!\You're moving on to the finals, Sou-kun!\Indeed. Good work, Souta.\You're able to read people better than anyone.\I'm sure you'll win tomorrow's finals just fine. response:	Megu!
context: I see.\This worked well for Souta.\You were great, Souta!\You're moving on to the finals, Sou-kun!\Indeed. Good work, Souta.\You're able to read people better than anyone.\I'm sure you'll win tomorrow's finals just fine.\Megu! response:	You just called for me, right?
context: This worked well for Souta.\You were great, Souta!\You're moving on to the finals, Sou-kun!\Indeed. Good work, Souta.\You're able to read people better than anyone.\I'm sure you'll win tomorrow's finals just fine.\Megu!\You just called for me, right? response:	Megu! They must have screwed up,
context: You were great, Souta!\You're moving on to the finals, Sou-kun!\Indeed. Good work, Souta.\You're able to read people better than anyone.\I'm sure you'll win tomorrow's finals just fine.\Megu!\You just called for me, right?\Megu! They must have screwed up, response:	because they just announced you set a new course record!
context: You're moving on to the finals, Sou-kun!\Indeed. Good work, Souta.\You're able to read people better than anyone.\I'm sure you'll win tomorrow's finals just fine.\Megu!\You just called for me, right?\Megu! They must have screwed up,\because they just announced you set a new course record! response:	I did just get a new record.
context: Indeed. Good work, Souta.\You're able to read people better than anyone.\I'm sure you'll win tomorrow's finals just fine.\Megu!\You just called for me, right?\Megu! They must have screwed up,\because they just announced you set a new course record!\I did just get a new record. response:	Huh?
context: You're able to read people better than anyone.\I'm sure you'll win tomorrow's finals just fine.\Megu!\You just called for me, right?\Megu! They must have screwed up,\because they just announced you set a new course record!\I did just get a new record.\Huh? response:	You guys didn't know?
context: I'm sure you'll win tomorrow's finals just fine.\Megu!\You just called for me, right?\Megu! They must have screwed up,\because they just announced you set a new course record!\I did just get a new record.\Huh?\You guys didn't know? response:	She was constantly a contender in the
context: Megu!\You just called for me, right?\Megu! They must have screwed up,\because they just announced you set a new course record!\I did just get a new record.\Huh?\You guys didn't know?\She was constantly a contender in the response:	middle school championships for track-and-field.
context: You just called for me, right?\Megu! They must have screwed up,\because they just announced you set a new course record!\I did just get a new record.\Huh?\You guys didn't know?\She was constantly a contender in the\middle school championships for track-and-field. response:	That's amazing, Megu-chan!
context: Megu! They must have screwed up,\because they just announced you set a new course record!\I did just get a new record.\Huh?\You guys didn't know?\She was constantly a contender in the\middle school championships for track-and-field.\That's amazing, Megu-chan! response:	I didn't know you were in track-and-field!
context: because they just announced you set a new course record!\I did just get a new record.\Huh?\You guys didn't know?\She was constantly a contender in the\middle school championships for track-and-field.\That's amazing, Megu-chan!\I didn't know you were in track-and-field! response:	Oh, I'm not in track-and-field anymore.
context: I did just get a new record.\Huh?\You guys didn't know?\She was constantly a contender in the\middle school championships for track-and-field.\That's amazing, Megu-chan!\I didn't know you were in track-and-field!\Oh, I'm not in track-and-field anymore. response:	What are you in, then?
context: Huh?\You guys didn't know?\She was constantly a contender in the\middle school championships for track-and-field.\That's amazing, Megu-chan!\I didn't know you were in track-and-field!\Oh, I'm not in track-and-field anymore.\What are you in, then? response:	The home ec club!
context: You guys didn't know?\She was constantly a contender in the\middle school championships for track-and-field.\That's amazing, Megu-chan!\I didn't know you were in track-and-field!\Oh, I'm not in track-and-field anymore.\What are you in, then?\The home ec club! response:	Totally should have expected that!
context: She was constantly a contender in the\middle school championships for track-and-field.\That's amazing, Megu-chan!\I didn't know you were in track-and-field!\Oh, I'm not in track-and-field anymore.\What are you in, then?\The home ec club!\Totally should have expected that! response:	Gallop, gallop.
context: middle school championships for track-and-field.\That's amazing, Megu-chan!\I didn't know you were in track-and-field!\Oh, I'm not in track-and-field anymore.\What are you in, then?\The home ec club!\Totally should have expected that!\Gallop, gallop. response:	Souta-kun!
context: That's amazing, Megu-chan!\I didn't know you were in track-and-field!\Oh, I'm not in track-and-field anymore.\What are you in, then?\The home ec club!\Totally should have expected that!\Gallop, gallop.\Souta-kun! response:	Why are you on a horse?
context: I didn't know you were in track-and-field!\Oh, I'm not in track-and-field anymore.\What are you in, then?\The home ec club!\Totally should have expected that!\Gallop, gallop.\Souta-kun!\Why are you on a horse? response:	I was just in a horse-riding competition.
context: Oh, I'm not in track-and-field anymore.\What are you in, then?\The home ec club!\Totally should have expected that!\Gallop, gallop.\Souta-kun!\Why are you on a horse?\I was just in a horse-riding competition. response:	I won!
context: What are you in, then?\The home ec club!\Totally should have expected that!\Gallop, gallop.\Souta-kun!\Why are you on a horse?\I was just in a horse-riding competition.\I won! response:	Wh-Why are you still riding?
context: The home ec club!\Totally should have expected that!\Gallop, gallop.\Souta-kun!\Why are you on a horse?\I was just in a horse-riding competition.\I won!\Wh-Why are you still riding? response:	I just kind of felt like it.
context: Totally should have expected that!\Gallop, gallop.\Souta-kun!\Why are you on a horse?\I was just in a horse-riding competition.\I won!\Wh-Why are you still riding?\I just kind of felt like it. response:	What's your next event?
context: Gallop, gallop.\Souta-kun!\Why are you on a horse?\I was just in a horse-riding competition.\I won!\Wh-Why are you still riding?\I just kind of felt like it.\What's your next event? response:	I'll take you there.
context: Souta-kun!\Why are you on a horse?\I was just in a horse-riding competition.\I won!\Wh-Why are you still riding?\I just kind of felt like it.\What's your next event?\I'll take you there. response:	I-I'm fine.
context: Why are you on a horse?\I was just in a horse-riding competition.\I won!\Wh-Why are you still riding?\I just kind of felt like it.\What's your next event?\I'll take you there.\I-I'm fine. response:	Looks kinda scary.
context: I was just in a horse-riding competition.\I won!\Wh-Why are you still riding?\I just kind of felt like it.\What's your next event?\I'll take you there.\I-I'm fine.\Looks kinda scary. response:	Oh...
context: I won!\Wh-Why are you still riding?\I just kind of felt like it.\What's your next event?\I'll take you there.\I-I'm fine.\Looks kinda scary.\Oh... response:	H-Hey.
context: Wh-Why are you still riding?\I just kind of felt like it.\What's your next event?\I'll take you there.\I-I'm fine.\Looks kinda scary.\Oh...\H-Hey. response:	What's going on?
context: I just kind of felt like it.\What's your next event?\I'll take you there.\I-I'm fine.\Looks kinda scary.\Oh...\H-Hey.\What's going on? response:	For safety's sake, hold on tight!
context: What's your next event?\I'll take you there.\I-I'm fine.\Looks kinda scary.\Oh...\H-Hey.\What's going on?\For safety's sake, hold on tight! response:	Huh?
context: I'll take you there.\I-I'm fine.\Looks kinda scary.\Oh...\H-Hey.\What's going on?\For safety's sake, hold on tight!\Huh? response:	White King, hiyah!
context: I-I'm fine.\Looks kinda scary.\Oh...\H-Hey.\What's going on?\For safety's sake, hold on tight!\Huh?\White King, hiyah! response:	You all did great out there today.
context: Looks kinda scary.\Oh...\H-Hey.\What's going on?\For safety's sake, hold on tight!\Huh?\White King, hiyah!\You all did great out there today. response:	We're currently in first place now.
context: Oh...\H-Hey.\What's going on?\For safety's sake, hold on tight!\Huh?\White King, hiyah!\You all did great out there today.\We're currently in first place now. response:	However, we still have a long way to go.
context: H-Hey.\What's going on?\For safety's sake, hold on tight!\Huh?\White King, hiyah!\You all did great out there today.\We're currently in first place now.\However, we still have a long way to go. response:	Those that have night events will sleep after eating.
context: What's going on?\For safety's sake, hold on tight!\Huh?\White King, hiyah!\You all did great out there today.\We're currently in first place now.\However, we still have a long way to go.\Those that have night events will sleep after eating. response:	I will not have anyone oversleeping.
context: For safety's sake, hold on tight!\Huh?\White King, hiyah!\You all did great out there today.\We're currently in first place now.\However, we still have a long way to go.\Those that have night events will sleep after eating.\I will not have anyone oversleeping. response:	Night events... Early morning events...
context: Huh?\White King, hiyah!\You all did great out there today.\We're currently in first place now.\However, we still have a long way to go.\Those that have night events will sleep after eating.\I will not have anyone oversleeping.\Night events... Early morning events... response:	That student council president never does anything right.
context: White King, hiyah!\You all did great out there today.\We're currently in first place now.\However, we still have a long way to go.\Those that have night events will sleep after eating.\I will not have anyone oversleeping.\Night events... Early morning events...\That student council president never does anything right. response:	But this is kinda fun.
context: You all did great out there today.\We're currently in first place now.\However, we still have a long way to go.\Those that have night events will sleep after eating.\I will not have anyone oversleeping.\Night events... Early morning events...\That student council president never does anything right.\But this is kinda fun. response:	It kinda feels like we're on a club trip somewhere.
context: We're currently in first place now.\However, we still have a long way to go.\Those that have night events will sleep after eating.\I will not have anyone oversleeping.\Night events... Early morning events...\That student council president never does anything right.\But this is kinda fun.\It kinda feels like we're on a club trip somewhere. response:	It's always felt like we were all on a trip together.
context: However, we still have a long way to go.\Those that have night events will sleep after eating.\I will not have anyone oversleeping.\Night events... Early morning events...\That student council president never does anything right.\But this is kinda fun.\It kinda feels like we're on a club trip somewhere.\It's always felt like we were all on a trip together. response:	I guess you could say we're having a
context: Those that have night events will sleep after eating.\I will not have anyone oversleeping.\Night events... Early morning events...\That student council president never does anything right.\But this is kinda fun.\It kinda feels like we're on a club trip somewhere.\It's always felt like we were all on a trip together.\I guess you could say we're having a response:	strengthen our friendships camp right now.
context: I will not have anyone oversleeping.\Night events... Early morning events...\That student council president never does anything right.\But this is kinda fun.\It kinda feels like we're on a club trip somewhere.\It's always felt like we were all on a trip together.\I guess you could say we're having a\strengthen our friendships camp right now. response:	Your poems are always so wonderful!
context: Night events... Early morning events...\That student council president never does anything right.\But this is kinda fun.\It kinda feels like we're on a club trip somewhere.\It's always felt like we were all on a trip together.\I guess you could say we're having a\strengthen our friendships camp right now.\Your poems are always so wonderful! response:	Stop saying poem!
context: That student council president never does anything right.\But this is kinda fun.\It kinda feels like we're on a club trip somewhere.\It's always felt like we were all on a trip together.\I guess you could say we're having a\strengthen our friendships camp right now.\Your poems are always so wonderful!\Stop saying poem! response:	I take that back!
context: But this is kinda fun.\It kinda feels like we're on a club trip somewhere.\It's always felt like we were all on a trip together.\I guess you could say we're having a\strengthen our friendships camp right now.\Your poems are always so wonderful!\Stop saying poem!\I take that back! response:	We've all become one to help you, Souta-kun.
context: It kinda feels like we're on a club trip somewhere.\It's always felt like we were all on a trip together.\I guess you could say we're having a\strengthen our friendships camp right now.\Your poems are always so wonderful!\Stop saying poem!\I take that back!\We've all become one to help you, Souta-kun. response:	We really are strengthening our bonds!
context: It's always felt like we were all on a trip together.\I guess you could say we're having a\strengthen our friendships camp right now.\Your poems are always so wonderful!\Stop saying poem!\I take that back!\We've all become one to help you, Souta-kun.\We really are strengthening our bonds! response:	Yeah, we're putting our friendships on the line to get that MVP spot!
