context: Recently, on Fairy Tail... response:	At the end of the fierce battle on Tenroujima, we somehow returned home alive
context: So what happened to our guild why we were gone?\Well, it seems a lot happened, and there's a lot we still don't know\about this world that's seven years past the one we left.\Three months from now, the major event that decides\The Grand Magic Games!\It's a festival in which people compete in various events using magic.\During the seven years we were gone,\Fairy Tail became the weakest guild in the kingdom of Fiore, response:	so to get back to number one, we decided to participate in the Grand Magic Games.
context: Well, it seems a lot happened, and there's a lot we still don't know\about this world that's seven years past the one we left.\Three months from now, the major event that decides\The Grand Magic Games!\It's a festival in which people compete in various events using magic.\During the seven years we were gone,\Fairy Tail became the weakest guild in the kingdom of Fiore,\so to get back to number one, we decided to participate in the Grand Magic Games. response:	But those of us in the Tenrou group have a seven-year blank,
context: about this world that's seven years past the one we left.\Three months from now, the major event that decides\The Grand Magic Games!\It's a festival in which people compete in various events using magic.\During the seven years we were gone,\Fairy Tail became the weakest guild in the kingdom of Fiore,\so to get back to number one, we decided to participate in the Grand Magic Games.\But those of us in the Tenrou group have a seven-year blank, response:	so we may not be able to keep up with the fighting styles of this age.
context: Three months from now, the major event that decides\The Grand Magic Games!\It's a festival in which people compete in various events using magic.\During the seven years we were gone,\Fairy Tail became the weakest guild in the kingdom of Fiore,\so to get back to number one, we decided to participate in the Grand Magic Games.\But those of us in the Tenrou group have a seven-year blank,\so we may not be able to keep up with the fighting styles of this age. response:	There are three months until the festival,
context: The Grand Magic Games!\It's a festival in which people compete in various events using magic.\During the seven years we were gone,\Fairy Tail became the weakest guild in the kingdom of Fiore,\so to get back to number one, we decided to participate in the Grand Magic Games.\But those of us in the Tenrou group have a seven-year blank,\so we may not be able to keep up with the fighting styles of this age.\There are three months until the festival, response:	so we're going to have a training camp at the beach!
context: It's a festival in which people compete in various events using magic.\During the seven years we were gone,\Fairy Tail became the weakest guild in the kingdom of Fiore,\so to get back to number one, we decided to participate in the Grand Magic Games.\But those of us in the Tenrou group have a seven-year blank,\so we may not be able to keep up with the fighting styles of this age.\There are three months until the festival,\so we're going to have a training camp at the beach! response:	Song of the Stars!
context: During the seven years we were gone,\Fairy Tail became the weakest guild in the kingdom of Fiore,\so to get back to number one, we decided to participate in the Grand Magic Games.\But those of us in the Tenrou group have a seven-year blank,\so we may not be able to keep up with the fighting styles of this age.\There are three months until the festival,\so we're going to have a training camp at the beach!\Song of the Stars! response:	People! We didn't come here to have fun!
context: Fairy Tail became the weakest guild in the kingdom of Fiore,\so to get back to number one, we decided to participate in the Grand Magic Games.\But those of us in the Tenrou group have a seven-year blank,\so we may not be able to keep up with the fighting styles of this age.\There are three months until the festival,\so we're going to have a training camp at the beach!\Song of the Stars!\People! We didn't come here to have fun! response:	That's right!
context: so to get back to number one, we decided to participate in the Grand Magic Games.\But those of us in the Tenrou group have a seven-year blank,\so we may not be able to keep up with the fighting styles of this age.\There are three months until the festival,\so we're going to have a training camp at the beach!\Song of the Stars!\People! We didn't come here to have fun!\That's right! response:	You tell us that, dressed like that?
context: But those of us in the Tenrou group have a seven-year blank,\so we may not be able to keep up with the fighting styles of this age.\There are three months until the festival,\so we're going to have a training camp at the beach!\Song of the Stars!\People! We didn't come here to have fun!\That's right!\You tell us that, dressed like that? response:	Of course, we know that.
context: so we may not be able to keep up with the fighting styles of this age.\There are three months until the festival,\so we're going to have a training camp at the beach!\Song of the Stars!\People! We didn't come here to have fun!\That's right!\You tell us that, dressed like that?\Of course, we know that. response:	The key is variation.
context: There are three months until the festival,\so we're going to have a training camp at the beach!\Song of the Stars!\People! We didn't come here to have fun!\That's right!\You tell us that, dressed like that?\Of course, we know that.\The key is variation. response:	Play hard, eat a lot, sleep a lot!
context: so we're going to have a training camp at the beach!\Song of the Stars!\People! We didn't come here to have fun!\That's right!\You tell us that, dressed like that?\Of course, we know that.\The key is variation.\Play hard, eat a lot, sleep a lot! response:	You're leaving out training, the most important point of all!
context: Song of the Stars!\People! We didn't come here to have fun!\That's right!\You tell us that, dressed like that?\Of course, we know that.\The key is variation.\Play hard, eat a lot, sleep a lot!\You're leaving out training, the most important point of all! response:	By the time this training camp is over...
context: People! We didn't come here to have fun!\That's right!\You tell us that, dressed like that?\Of course, we know that.\The key is variation.\Play hard, eat a lot, sleep a lot!\You're leaving out training, the most important point of all!\By the time this training camp is over... response:	The sea!
context: That's right!\You tell us that, dressed like that?\Of course, we know that.\The key is variation.\Play hard, eat a lot, sleep a lot!\You're leaving out training, the most important point of all!\By the time this training camp is over...\The sea! response:	Alright!
context: You tell us that, dressed like that?\Of course, we know that.\The key is variation.\Play hard, eat a lot, sleep a lot!\You're leaving out training, the most important point of all!\By the time this training camp is over...\The sea!\Alright! response:	Swimming race!
context: Of course, we know that.\The key is variation.\Play hard, eat a lot, sleep a lot!\You're leaving out training, the most important point of all!\By the time this training camp is over...\The sea!\Alright!\Swimming race! response:	Sand castle building contest!
context: The key is variation.\Play hard, eat a lot, sleep a lot!\You're leaving out training, the most important point of all!\By the time this training camp is over...\The sea!\Alright!\Swimming race!\Sand castle building contest! response:	Eating contest!
context: Play hard, eat a lot, sleep a lot!\You're leaving out training, the most important point of all!\By the time this training camp is over...\The sea!\Alright!\Swimming race!\Sand castle building contest!\Eating contest! response:	Suntan contest!
context: You're leaving out training, the most important point of all!\By the time this training camp is over...\The sea!\Alright!\Swimming race!\Sand castle building contest!\Eating contest!\Suntan contest! response:	What do you say we go back to the inn and take a nap?
context: By the time this training camp is over...\The sea!\Alright!\Swimming race!\Sand castle building contest!\Eating contest!\Suntan contest!\What do you say we go back to the inn and take a nap? response:	They enjoyed the hell out of this...
context: The sea!\Alright!\Swimming race!\Sand castle building contest!\Eating contest!\Suntan contest!\What do you say we go back to the inn and take a nap?\They enjoyed the hell out of this... response:	Well, I guess we can cut them some slack on the first day.
context: Alright!\Swimming race!\Sand castle building contest!\Eating contest!\Suntan contest!\What do you say we go back to the inn and take a nap?\They enjoyed the hell out of this...\Well, I guess we can cut them some slack on the first day. response:	A tanned Gray is dreamy, too...
context: Swimming race!\Sand castle building contest!\Eating contest!\Suntan contest!\What do you say we go back to the inn and take a nap?\They enjoyed the hell out of this...\Well, I guess we can cut them some slack on the first day.\A tanned Gray is dreamy, too... response:	Um...
context: Sand castle building contest!\Eating contest!\Suntan contest!\What do you say we go back to the inn and take a nap?\They enjoyed the hell out of this...\Well, I guess we can cut them some slack on the first day.\A tanned Gray is dreamy, too...\Um... response:	What's this word?
context: Eating contest!\Suntan contest!\What do you say we go back to the inn and take a nap?\They enjoyed the hell out of this...\Well, I guess we can cut them some slack on the first day.\A tanned Gray is dreamy, too...\Um...\What's this word? response:	Meanwhile, the other members of Fairy Tail began their training in different areas.
context: Suntan contest!\What do you say we go back to the inn and take a nap?\They enjoyed the hell out of this...\Well, I guess we can cut them some slack on the first day.\A tanned Gray is dreamy, too...\Um...\What's this word?\Meanwhile, the other members of Fairy Tail began their training in different areas. response:	Natsu really is amazing.
context: What do you say we go back to the inn and take a nap?\They enjoyed the hell out of this...\Well, I guess we can cut them some slack on the first day.\A tanned Gray is dreamy, too...\Um...\What's this word?\Meanwhile, the other members of Fairy Tail began their training in different areas.\Natsu really is amazing. response:	Even though the water pressure undersea is extremely heavy,
context: They enjoyed the hell out of this...\Well, I guess we can cut them some slack on the first day.\A tanned Gray is dreamy, too...\Um...\What's this word?\Meanwhile, the other members of Fairy Tail began their training in different areas.\Natsu really is amazing.\Even though the water pressure undersea is extremely heavy, response:	he can use Roar of the Fire Dragon.
context: Well, I guess we can cut them some slack on the first day.\A tanned Gray is dreamy, too...\Um...\What's this word?\Meanwhile, the other members of Fairy Tail began their training in different areas.\Natsu really is amazing.\Even though the water pressure undersea is extremely heavy,\he can use Roar of the Fire Dragon. response:	That was great, Natsu!
context: A tanned Gray is dreamy, too...\Um...\What's this word?\Meanwhile, the other members of Fairy Tail began their training in different areas.\Natsu really is amazing.\Even though the water pressure undersea is extremely heavy,\he can use Roar of the Fire Dragon.\That was great, Natsu! response:	Nah, not yet. That ain't enough to do the job.
context: Um...\What's this word?\Meanwhile, the other members of Fairy Tail began their training in different areas.\Natsu really is amazing.\Even though the water pressure undersea is extremely heavy,\he can use Roar of the Fire Dragon.\That was great, Natsu!\Nah, not yet. That ain't enough to do the job. response:	I gotta be able to increase my power even more!
context: What's this word?\Meanwhile, the other members of Fairy Tail began their training in different areas.\Natsu really is amazing.\Even though the water pressure undersea is extremely heavy,\he can use Roar of the Fire Dragon.\That was great, Natsu!\Nah, not yet. That ain't enough to do the job.\I gotta be able to increase my power even more! response:	I can't let myself lose to him...
context: Meanwhile, the other members of Fairy Tail began their training in different areas.\Natsu really is amazing.\Even though the water pressure undersea is extremely heavy,\he can use Roar of the Fire Dragon.\That was great, Natsu!\Nah, not yet. That ain't enough to do the job.\I gotta be able to increase my power even more!\I can't let myself lose to him... response:	In my case, I want to do something about my weakness,
context: Natsu really is amazing.\Even though the water pressure undersea is extremely heavy,\he can use Roar of the Fire Dragon.\That was great, Natsu!\Nah, not yet. That ain't enough to do the job.\I gotta be able to increase my power even more!\I can't let myself lose to him...\In my case, I want to do something about my weakness, response:	my lack of magic power stamina!
context: Even though the water pressure undersea is extremely heavy,\he can use Roar of the Fire Dragon.\That was great, Natsu!\Nah, not yet. That ain't enough to do the job.\I gotta be able to increase my power even more!\I can't let myself lose to him...\In my case, I want to do something about my weakness,\my lack of magic power stamina! response:	For that, you need to build up your spiritual strength
context: he can use Roar of the Fire Dragon.\That was great, Natsu!\Nah, not yet. That ain't enough to do the job.\I gotta be able to increase my power even more!\I can't let myself lose to him...\In my case, I want to do something about my weakness,\my lack of magic power stamina!\For that, you need to build up your spiritual strength response:	and grow the depth of the container of your magic.
context: That was great, Natsu!\Nah, not yet. That ain't enough to do the job.\I gotta be able to increase my power even more!\I can't let myself lose to him...\In my case, I want to do something about my weakness,\my lack of magic power stamina!\For that, you need to build up your spiritual strength\and grow the depth of the container of your magic. response:	Feel the land... the wind... energy... with your flesh.
context: Nah, not yet. That ain't enough to do the job.\I gotta be able to increase my power even more!\I can't let myself lose to him...\In my case, I want to do something about my weakness,\my lack of magic power stamina!\For that, you need to build up your spiritual strength\and grow the depth of the container of your magic.\Feel the land... the wind... energy... with your flesh. response:	Then breathe, as if you're becoming one with nature.
context: I gotta be able to increase my power even more!\I can't let myself lose to him...\In my case, I want to do something about my weakness,\my lack of magic power stamina!\For that, you need to build up your spiritual strength\and grow the depth of the container of your magic.\Feel the land... the wind... energy... with your flesh.\Then breathe, as if you're becoming one with nature. response:	That's the way, Lucy-sama. Continue.
context: I can't let myself lose to him...\In my case, I want to do something about my weakness,\my lack of magic power stamina!\For that, you need to build up your spiritual strength\and grow the depth of the container of your magic.\Feel the land... the wind... energy... with your flesh.\Then breathe, as if you're becoming one with nature.\That's the way, Lucy-sama. Continue. response:	Release a little more magic power.
context: In my case, I want to do something about my weakness,\my lack of magic power stamina!\For that, you need to build up your spiritual strength\and grow the depth of the container of your magic.\Feel the land... the wind... energy... with your flesh.\Then breathe, as if you're becoming one with nature.\That's the way, Lucy-sama. Continue.\Release a little more magic power. response:	That's tough...
context: my lack of magic power stamina!\For that, you need to build up your spiritual strength\and grow the depth of the container of your magic.\Feel the land... the wind... energy... with your flesh.\Then breathe, as if you're becoming one with nature.\That's the way, Lucy-sama. Continue.\Release a little more magic power.\That's tough... response:	Layla-sama did the same kind of training to improve her Celestial Spirit Magic.
context: For that, you need to build up your spiritual strength\and grow the depth of the container of your magic.\Feel the land... the wind... energy... with your flesh.\Then breathe, as if you're becoming one with nature.\That's the way, Lucy-sama. Continue.\Release a little more magic power.\That's tough...\Layla-sama did the same kind of training to improve her Celestial Spirit Magic. response:	Hey. Have you ever heard of the One Magic?
context: and grow the depth of the container of your magic.\Feel the land... the wind... energy... with your flesh.\Then breathe, as if you're becoming one with nature.\That's the way, Lucy-sama. Continue.\Release a little more magic power.\That's tough...\Layla-sama did the same kind of training to improve her Celestial Spirit Magic.\Hey. Have you ever heard of the One Magic? response:	The magic at the beginning of all magic, yes?
context: Feel the land... the wind... energy... with your flesh.\Then breathe, as if you're becoming one with nature.\That's the way, Lucy-sama. Continue.\Release a little more magic power.\That's tough...\Layla-sama did the same kind of training to improve her Celestial Spirit Magic.\Hey. Have you ever heard of the One Magic?\The magic at the beginning of all magic, yes? response:	That's what Hades said he wanted to get.
context: Then breathe, as if you're becoming one with nature.\That's the way, Lucy-sama. Continue.\Release a little more magic power.\That's tough...\Layla-sama did the same kind of training to improve her Celestial Spirit Magic.\Hey. Have you ever heard of the One Magic?\The magic at the beginning of all magic, yes?\That's what Hades said he wanted to get. response:	I heard about it from my mother too, but it didn't sound dangerous
context: That's the way, Lucy-sama. Continue.\Release a little more magic power.\That's tough...\Layla-sama did the same kind of training to improve her Celestial Spirit Magic.\Hey. Have you ever heard of the One Magic?\The magic at the beginning of all magic, yes?\That's what Hades said he wanted to get.\I heard about it from my mother too, but it didn't sound dangerous response:	or have anything to do with Zeref or some World of Great Magic.
context: Release a little more magic power.\That's tough...\Layla-sama did the same kind of training to improve her Celestial Spirit Magic.\Hey. Have you ever heard of the One Magic?\The magic at the beginning of all magic, yes?\That's what Hades said he wanted to get.\I heard about it from my mother too, but it didn't sound dangerous\or have anything to do with Zeref or some World of Great Magic. response:	What are you trying to say?
context: That's tough...\Layla-sama did the same kind of training to improve her Celestial Spirit Magic.\Hey. Have you ever heard of the One Magic?\The magic at the beginning of all magic, yes?\That's what Hades said he wanted to get.\I heard about it from my mother too, but it didn't sound dangerous\or have anything to do with Zeref or some World of Great Magic.\What are you trying to say? response:	If the One Magic that my mother talked about is the truth,
context: Layla-sama did the same kind of training to improve her Celestial Spirit Magic.\Hey. Have you ever heard of the One Magic?\The magic at the beginning of all magic, yes?\That's what Hades said he wanted to get.\I heard about it from my mother too, but it didn't sound dangerous\or have anything to do with Zeref or some World of Great Magic.\What are you trying to say?\If the One Magic that my mother talked about is the truth, response:	Hades never could have gotten it then...
context: Hey. Have you ever heard of the One Magic?\The magic at the beginning of all magic, yes?\That's what Hades said he wanted to get.\I heard about it from my mother too, but it didn't sound dangerous\or have anything to do with Zeref or some World of Great Magic.\What are you trying to say?\If the One Magic that my mother talked about is the truth,\Hades never could have gotten it then... response:	It's something you can't even imagine...
context: The magic at the beginning of all magic, yes?\That's what Hades said he wanted to get.\I heard about it from my mother too, but it didn't sound dangerous\or have anything to do with Zeref or some World of Great Magic.\What are you trying to say?\If the One Magic that my mother talked about is the truth,\Hades never could have gotten it then...\It's something you can't even imagine... response:	At first glance, it seems easy to obtain, but it's very difficult,
context: That's what Hades said he wanted to get.\I heard about it from my mother too, but it didn't sound dangerous\or have anything to do with Zeref or some World of Great Magic.\What are you trying to say?\If the One Magic that my mother talked about is the truth,\Hades never could have gotten it then...\It's something you can't even imagine...\At first glance, it seems easy to obtain, but it's very difficult, response:	and even while it's a strong power that certainly surpasses everything else,
context: I heard about it from my mother too, but it didn't sound dangerous\or have anything to do with Zeref or some World of Great Magic.\What are you trying to say?\If the One Magic that my mother talked about is the truth,\Hades never could have gotten it then...\It's something you can't even imagine...\At first glance, it seems easy to obtain, but it's very difficult,\and even while it's a strong power that certainly surpasses everything else, response:	it's also a very weak power.
context: or have anything to do with Zeref or some World of Great Magic.\What are you trying to say?\If the One Magic that my mother talked about is the truth,\Hades never could have gotten it then...\It's something you can't even imagine...\At first glance, it seems easy to obtain, but it's very difficult,\and even while it's a strong power that certainly surpasses everything else,\it's also a very weak power. response:	My mother told me that all magic starts from love.
context: What are you trying to say?\If the One Magic that my mother talked about is the truth,\Hades never could have gotten it then...\It's something you can't even imagine...\At first glance, it seems easy to obtain, but it's very difficult,\and even while it's a strong power that certainly surpasses everything else,\it's also a very weak power.\My mother told me that all magic starts from love. response:	That's why I think One Magic is actually love.
context: If the One Magic that my mother talked about is the truth,\Hades never could have gotten it then...\It's something you can't even imagine...\At first glance, it seems easy to obtain, but it's very difficult,\and even while it's a strong power that certainly surpasses everything else,\it's also a very weak power.\My mother told me that all magic starts from love.\That's why I think One Magic is actually love. response:	That's a wonderful interpretation.
context: Hades never could have gotten it then...\It's something you can't even imagine...\At first glance, it seems easy to obtain, but it's very difficult,\and even while it's a strong power that certainly surpasses everything else,\it's also a very weak power.\My mother told me that all magic starts from love.\That's why I think One Magic is actually love.\That's a wonderful interpretation. response:	If Hades had thought the same way,
context: It's something you can't even imagine...\At first glance, it seems easy to obtain, but it's very difficult,\and even while it's a strong power that certainly surpasses everything else,\it's also a very weak power.\My mother told me that all magic starts from love.\That's why I think One Magic is actually love.\That's a wonderful interpretation.\If Hades had thought the same way, response:	maybe he wouldn't have fallen to the dark side.
context: At first glance, it seems easy to obtain, but it's very difficult,\and even while it's a strong power that certainly surpasses everything else,\it's also a very weak power.\My mother told me that all magic starts from love.\That's why I think One Magic is actually love.\That's a wonderful interpretation.\If Hades had thought the same way,\maybe he wouldn't have fallen to the dark side. response:	Stronger!
context: and even while it's a strong power that certainly surpasses everything else,\it's also a very weak power.\My mother told me that all magic starts from love.\That's why I think One Magic is actually love.\That's a wonderful interpretation.\If Hades had thought the same way,\maybe he wouldn't have fallen to the dark side.\Stronger! response:	Aye, sir!
context: it's also a very weak power.\My mother told me that all magic starts from love.\That's why I think One Magic is actually love.\That's a wonderful interpretation.\If Hades had thought the same way,\maybe he wouldn't have fallen to the dark side.\Stronger!\Aye, sir! response:	Much more stronger!
context: My mother told me that all magic starts from love.\That's why I think One Magic is actually love.\That's a wonderful interpretation.\If Hades had thought the same way,\maybe he wouldn't have fallen to the dark side.\Stronger!\Aye, sir!\Much more stronger! response:	Aye-aye, sir!
context: That's why I think One Magic is actually love.\That's a wonderful interpretation.\If Hades had thought the same way,\maybe he wouldn't have fallen to the dark side.\Stronger!\Aye, sir!\Much more stronger!\Aye-aye, sir! response:	I'm gonna shut up anyone who looks down on our guild!
context: That's a wonderful interpretation.\If Hades had thought the same way,\maybe he wouldn't have fallen to the dark side.\Stronger!\Aye, sir!\Much more stronger!\Aye-aye, sir!\I'm gonna shut up anyone who looks down on our guild! response:	Aye!
context: If Hades had thought the same way,\maybe he wouldn't have fallen to the dark side.\Stronger!\Aye, sir!\Much more stronger!\Aye-aye, sir!\I'm gonna shut up anyone who looks down on our guild!\Aye! response:	I'm gonna show'em all the power of Fairy Tail!
context: maybe he wouldn't have fallen to the dark side.\Stronger!\Aye, sir!\Much more stronger!\Aye-aye, sir!\I'm gonna shut up anyone who looks down on our guild!\Aye!\I'm gonna show'em all the power of Fairy Tail! response:	We'll show'em!
context: Stronger!\Aye, sir!\Much more stronger!\Aye-aye, sir!\I'm gonna shut up anyone who looks down on our guild!\Aye!\I'm gonna show'em all the power of Fairy Tail!\We'll show'em! response:	Look! The stars are so beautiful!
context: Aye, sir!\Much more stronger!\Aye-aye, sir!\I'm gonna shut up anyone who looks down on our guild!\Aye!\I'm gonna show'em all the power of Fairy Tail!\We'll show'em!\Look! The stars are so beautiful! response:	I wonder if everyone else is training hard, too...
context: Much more stronger!\Aye-aye, sir!\I'm gonna shut up anyone who looks down on our guild!\Aye!\I'm gonna show'em all the power of Fairy Tail!\We'll show'em!\Look! The stars are so beautiful!\I wonder if everyone else is training hard, too... response:	Maybe they're looking up at the stars right now, just like us!
context: Aye-aye, sir!\I'm gonna shut up anyone who looks down on our guild!\Aye!\I'm gonna show'em all the power of Fairy Tail!\We'll show'em!\Look! The stars are so beautiful!\I wonder if everyone else is training hard, too...\Maybe they're looking up at the stars right now, just like us! response:	I have to try harder, too!
context: I'm gonna shut up anyone who looks down on our guild!\Aye!\I'm gonna show'em all the power of Fairy Tail!\We'll show'em!\Look! The stars are so beautiful!\I wonder if everyone else is training hard, too...\Maybe they're looking up at the stars right now, just like us!\I have to try harder, too! response:	The second day of the beach training camp, three months before the Grand Magic Games.
context: Aye!\I'm gonna show'em all the power of Fairy Tail!\We'll show'em!\Look! The stars are so beautiful!\I wonder if everyone else is training hard, too...\Maybe they're looking up at the stars right now, just like us!\I have to try harder, too!\The second day of the beach training camp, three months before the Grand Magic Games. response:	Now I feel up to scratch!
context: I'm gonna show'em all the power of Fairy Tail!\We'll show'em!\Look! The stars are so beautiful!\I wonder if everyone else is training hard, too...\Maybe they're looking up at the stars right now, just like us!\I have to try harder, too!\The second day of the beach training camp, three months before the Grand Magic Games.\Now I feel up to scratch! response:	As long as we seriously train our bodies...
context: We'll show'em!\Look! The stars are so beautiful!\I wonder if everyone else is training hard, too...\Maybe they're looking up at the stars right now, just like us!\I have to try harder, too!\The second day of the beach training camp, three months before the Grand Magic Games.\Now I feel up to scratch!\As long as we seriously train our bodies... response:	It's just the second day, but already our magic power has risen a lot!
context: Look! The stars are so beautiful!\I wonder if everyone else is training hard, too...\Maybe they're looking up at the stars right now, just like us!\I have to try harder, too!\The second day of the beach training camp, three months before the Grand Magic Games.\Now I feel up to scratch!\As long as we seriously train our bodies...\It's just the second day, but already our magic power has risen a lot! response:	I'm doing the same pose as Gray-sama... It's so moving!
context: I wonder if everyone else is training hard, too...\Maybe they're looking up at the stars right now, just like us!\I have to try harder, too!\The second day of the beach training camp, three months before the Grand Magic Games.\Now I feel up to scratch!\As long as we seriously train our bodies...\It's just the second day, but already our magic power has risen a lot!\I'm doing the same pose as Gray-sama... It's so moving! response:	If we keep training like this for three months,
context: Maybe they're looking up at the stars right now, just like us!\I have to try harder, too!\The second day of the beach training camp, three months before the Grand Magic Games.\Now I feel up to scratch!\As long as we seriously train our bodies...\It's just the second day, but already our magic power has risen a lot!\I'm doing the same pose as Gray-sama... It's so moving!\If we keep training like this for three months, response:	then catching up to this age won't just be a dream after all.
context: I have to try harder, too!\The second day of the beach training camp, three months before the Grand Magic Games.\Now I feel up to scratch!\As long as we seriously train our bodies...\It's just the second day, but already our magic power has risen a lot!\I'm doing the same pose as Gray-sama... It's so moving!\If we keep training like this for three months,\then catching up to this age won't just be a dream after all. response:	Right!
context: The second day of the beach training camp, three months before the Grand Magic Games.\Now I feel up to scratch!\As long as we seriously train our bodies...\It's just the second day, but already our magic power has risen a lot!\I'm doing the same pose as Gray-sama... It's so moving!\If we keep training like this for three months,\then catching up to this age won't just be a dream after all.\Right! response:	Look at this, all you jerks from other guilds!
context: Now I feel up to scratch!\As long as we seriously train our bodies...\It's just the second day, but already our magic power has risen a lot!\I'm doing the same pose as Gray-sama... It's so moving!\If we keep training like this for three months,\then catching up to this age won't just be a dream after all.\Right!\Look at this, all you jerks from other guilds! response:	Look at what three months of fiery training does for Fairy Tail members!
context: As long as we seriously train our bodies...\It's just the second day, but already our magic power has risen a lot!\I'm doing the same pose as Gray-sama... It's so moving!\If we keep training like this for three months,\then catching up to this age won't just be a dream after all.\Right!\Look at this, all you jerks from other guilds!\Look at what three months of fiery training does for Fairy Tail members! response:	At first, I thought, Just three months?, but if we train efficiently,
context: It's just the second day, but already our magic power has risen a lot!\I'm doing the same pose as Gray-sama... It's so moving!\If we keep training like this for three months,\then catching up to this age won't just be a dream after all.\Right!\Look at this, all you jerks from other guilds!\Look at what three months of fiery training does for Fairy Tail members!\At first, I thought, Just three months?, but if we train efficiently, response:	it's more like We have three whole months?, you know?
context: I'm doing the same pose as Gray-sama... It's so moving!\If we keep training like this for three months,\then catching up to this age won't just be a dream after all.\Right!\Look at this, all you jerks from other guilds!\Look at what three months of fiery training does for Fairy Tail members!\At first, I thought, Just three months?, but if we train efficiently,\it's more like We have three whole months?, you know? response:	Aye.
context: If we keep training like this for three months,\then catching up to this age won't just be a dream after all.\Right!\Look at this, all you jerks from other guilds!\Look at what three months of fiery training does for Fairy Tail members!\At first, I thought, Just three months?, but if we train efficiently,\it's more like We have three whole months?, you know?\Aye. response:	Princess! There's an emergency.
context: then catching up to this age won't just be a dream after all.\Right!\Look at this, all you jerks from other guilds!\Look at what three months of fiery training does for Fairy Tail members!\At first, I thought, Just three months?, but if we train efficiently,\it's more like We have three whole months?, you know?\Aye.\Princess! There's an emergency. response:	Why did you have to appear from there?!
context: Right!\Look at this, all you jerks from other guilds!\Look at what three months of fiery training does for Fairy Tail members!\At first, I thought, Just three months?, but if we train efficiently,\it's more like We have three whole months?, you know?\Aye.\Princess! There's an emergency.\Why did you have to appear from there?! response:	Punishment time, is it?
context: Look at this, all you jerks from other guilds!\Look at what three months of fiery training does for Fairy Tail members!\At first, I thought, Just three months?, but if we train efficiently,\it's more like We have three whole months?, you know?\Aye.\Princess! There's an emergency.\Why did you have to appear from there?!\Punishment time, is it? response:	Virgo!
context: Look at what three months of fiery training does for Fairy Tail members!\At first, I thought, Just three months?, but if we train efficiently,\it's more like We have three whole months?, you know?\Aye.\Princess! There's an emergency.\Why did you have to appear from there?!\Punishment time, is it?\Virgo! response:	The Celestial Spirit maid!
context: At first, I thought, Just three months?, but if we train efficiently,\it's more like We have three whole months?, you know?\Aye.\Princess! There's an emergency.\Why did you have to appear from there?!\Punishment time, is it?\Virgo!\The Celestial Spirit maid! response:	Come to think of it, with Lucy in the Fairy Sphere for seven years,
