context: Then this machine was- response:	Yeah. The demon we saw 15 years ago.
context: Deucalion. That's this ship's name?\Why do you suppose such a fine ship was abandoned\without ever sending it into battle?\Reserves are still working! If we can feed it power, it'll be good to go.\Fuel level is... I'm not sure!\What kind of report is that?\There's no fuel gauge!\Oh, so that's it. response:	That's why this ship was abandoned.
context: Why do you suppose such a fine ship was abandoned\without ever sending it into battle?\Reserves are still working! If we can feed it power, it'll be good to go.\Fuel level is... I'm not sure!\What kind of report is that?\There's no fuel gauge!\Oh, so that's it.\That's why this ship was abandoned. response:	Surely you don't mean...
context: without ever sending it into battle?\Reserves are still working! If we can feed it power, it'll be good to go.\Fuel level is... I'm not sure!\What kind of report is that?\There's no fuel gauge!\Oh, so that's it.\That's why this ship was abandoned.\Surely you don't mean... response:	An Aldnoah drive.
context: Reserves are still working! If we can feed it power, it'll be good to go.\Fuel level is... I'm not sure!\What kind of report is that?\There's no fuel gauge!\Oh, so that's it.\That's why this ship was abandoned.\Surely you don't mean...\An Aldnoah drive. response:	Hey, civilians aren't allowed in here!
context: Fuel level is... I'm not sure!\What kind of report is that?\There's no fuel gauge!\Oh, so that's it.\That's why this ship was abandoned.\Surely you don't mean...\An Aldnoah drive.\Hey, civilians aren't allowed in here! response:	Please leave imme-
context: What kind of report is that?\There's no fuel gauge!\Oh, so that's it.\That's why this ship was abandoned.\Surely you don't mean...\An Aldnoah drive.\Hey, civilians aren't allowed in here!\Please leave imme- response:	My apologies.
context: There's no fuel gauge!\Oh, so that's it.\That's why this ship was abandoned.\Surely you don't mean...\An Aldnoah drive.\Hey, civilians aren't allowed in here!\Please leave imme-\My apologies. response:	Who are you?!
context: Oh, so that's it.\That's why this ship was abandoned.\Surely you don't mean...\An Aldnoah drive.\Hey, civilians aren't allowed in here!\Please leave imme-\My apologies.\Who are you?! response:	There is no cause for alarm. I am your friend.
context: That's why this ship was abandoned.\Surely you don't mean...\An Aldnoah drive.\Hey, civilians aren't allowed in here!\Please leave imme-\My apologies.\Who are you?!\There is no cause for alarm. I am your friend. response:	You're...
context: Surely you don't mean...\An Aldnoah drive.\Hey, civilians aren't allowed in here!\Please leave imme-\My apologies.\Who are you?!\There is no cause for alarm. I am your friend.\You're... response:	I command you in the name of Asseylum Vers Allusia!
context: An Aldnoah drive.\Hey, civilians aren't allowed in here!\Please leave imme-\My apologies.\Who are you?!\There is no cause for alarm. I am your friend.\You're...\I command you in the name of Asseylum Vers Allusia! response:	Aldnoah, awaken!
context: Hey, civilians aren't allowed in here!\Please leave imme-\My apologies.\Who are you?!\There is no cause for alarm. I am your friend.\You're...\I command you in the name of Asseylum Vers Allusia!\Aldnoah, awaken! response:	Well? Are we in a more talkative mood now?
context: Please leave imme-\My apologies.\Who are you?!\There is no cause for alarm. I am your friend.\You're...\I command you in the name of Asseylum Vers Allusia!\Aldnoah, awaken!\Well? Are we in a more talkative mood now? response:	What is your objective?
context: My apologies.\Who are you?!\There is no cause for alarm. I am your friend.\You're...\I command you in the name of Asseylum Vers Allusia!\Aldnoah, awaken!\Well? Are we in a more talkative mood now?\What is your objective? response:	To what end did you go to that island?
context: Who are you?!\There is no cause for alarm. I am your friend.\You're...\I command you in the name of Asseylum Vers Allusia!\Aldnoah, awaken!\Well? Are we in a more talkative mood now?\What is your objective?\To what end did you go to that island? response:	Perhaps he has had enough, Count Cruhteo.
context: There is no cause for alarm. I am your friend.\You're...\I command you in the name of Asseylum Vers Allusia!\Aldnoah, awaken!\Well? Are we in a more talkative mood now?\What is your objective?\To what end did you go to that island?\Perhaps he has had enough, Count Cruhteo. response:	We needn't show pity to a member of a lower race, Count Saazbaum.
context: You're...\I command you in the name of Asseylum Vers Allusia!\Aldnoah, awaken!\Well? Are we in a more talkative mood now?\What is your objective?\To what end did you go to that island?\Perhaps he has had enough, Count Cruhteo.\We needn't show pity to a member of a lower race, Count Saazbaum. response:	If he dies, we learn nothing.
context: I command you in the name of Asseylum Vers Allusia!\Aldnoah, awaken!\Well? Are we in a more talkative mood now?\What is your objective?\To what end did you go to that island?\Perhaps he has had enough, Count Cruhteo.\We needn't show pity to a member of a lower race, Count Saazbaum.\If he dies, we learn nothing. response:	He sought an audience with the emperor, heedless of the risk to himself.
context: Aldnoah, awaken!\Well? Are we in a more talkative mood now?\What is your objective?\To what end did you go to that island?\Perhaps he has had enough, Count Cruhteo.\We needn't show pity to a member of a lower race, Count Saazbaum.\If he dies, we learn nothing.\He sought an audience with the emperor, heedless of the risk to himself. response:	That is remarkable.
context: Well? Are we in a more talkative mood now?\What is your objective?\To what end did you go to that island?\Perhaps he has had enough, Count Cruhteo.\We needn't show pity to a member of a lower race, Count Saazbaum.\If he dies, we learn nothing.\He sought an audience with the emperor, heedless of the risk to himself.\That is remarkable. response:	I would know his intent.
context: What is your objective?\To what end did you go to that island?\Perhaps he has had enough, Count Cruhteo.\We needn't show pity to a member of a lower race, Count Saazbaum.\If he dies, we learn nothing.\He sought an audience with the emperor, heedless of the risk to himself.\That is remarkable.\I would know his intent. response:	Intent?
context: To what end did you go to that island?\Perhaps he has had enough, Count Cruhteo.\We needn't show pity to a member of a lower race, Count Saazbaum.\If he dies, we learn nothing.\He sought an audience with the emperor, heedless of the risk to himself.\That is remarkable.\I would know his intent.\Intent? response:	As if this child is capable of thought.
context: Perhaps he has had enough, Count Cruhteo.\We needn't show pity to a member of a lower race, Count Saazbaum.\If he dies, we learn nothing.\He sought an audience with the emperor, heedless of the risk to himself.\That is remarkable.\I would know his intent.\Intent?\As if this child is capable of thought. response:	Milord Cruhteo. We have located the wreckage
context: We needn't show pity to a member of a lower race, Count Saazbaum.\If he dies, we learn nothing.\He sought an audience with the emperor, heedless of the risk to himself.\That is remarkable.\I would know his intent.\Intent?\As if this child is capable of thought.\Milord Cruhteo. We have located the wreckage response:	of an Orbital Knight Kataphrakt on the island.
context: If he dies, we learn nothing.\He sought an audience with the emperor, heedless of the risk to himself.\That is remarkable.\I would know his intent.\Intent?\As if this child is capable of thought.\Milord Cruhteo. We have located the wreckage\of an Orbital Knight Kataphrakt on the island. response:	What?
context: He sought an audience with the emperor, heedless of the risk to himself.\That is remarkable.\I would know his intent.\Intent?\As if this child is capable of thought.\Milord Cruhteo. We have located the wreckage\of an Orbital Knight Kataphrakt on the island.\What? response:	We believe it to be that of Countess Femieanne's Hellas.
context: That is remarkable.\I would know his intent.\Intent?\As if this child is capable of thought.\Milord Cruhteo. We have located the wreckage\of an Orbital Knight Kataphrakt on the island.\What?\We believe it to be that of Countess Femieanne's Hellas. response:	How can that be?
context: I would know his intent.\Intent?\As if this child is capable of thought.\Milord Cruhteo. We have located the wreckage\of an Orbital Knight Kataphrakt on the island.\What?\We believe it to be that of Countess Femieanne's Hellas.\How can that be? response:	What was Countess Femieanne slain by?
context: Intent?\As if this child is capable of thought.\Milord Cruhteo. We have located the wreckage\of an Orbital Knight Kataphrakt on the island.\What?\We believe it to be that of Countess Femieanne's Hellas.\How can that be?\What was Countess Femieanne slain by? response:	A waste of time, eh?
context: As if this child is capable of thought.\Milord Cruhteo. We have located the wreckage\of an Orbital Knight Kataphrakt on the island.\What?\We believe it to be that of Countess Femieanne's Hellas.\How can that be?\What was Countess Femieanne slain by?\A waste of time, eh? response:	Abide, Count Cruhteo.
context: Milord Cruhteo. We have located the wreckage\of an Orbital Knight Kataphrakt on the island.\What?\We believe it to be that of Countess Femieanne's Hellas.\How can that be?\What was Countess Femieanne slain by?\A waste of time, eh?\Abide, Count Cruhteo. response:	Tell me now! If you do, I will put you out of your misery.
context: of an Orbital Knight Kataphrakt on the island.\What?\We believe it to be that of Countess Femieanne's Hellas.\How can that be?\What was Countess Femieanne slain by?\A waste of time, eh?\Abide, Count Cruhteo.\Tell me now! If you do, I will put you out of your misery. response:	Continue to suffer, then.
context: What?\We believe it to be that of Countess Femieanne's Hellas.\How can that be?\What was Countess Femieanne slain by?\A waste of time, eh?\Abide, Count Cruhteo.\Tell me now! If you do, I will put you out of your misery.\Continue to suffer, then. response:	So this is the bridge...
context: We believe it to be that of Countess Femieanne's Hellas.\How can that be?\What was Countess Femieanne slain by?\A waste of time, eh?\Abide, Count Cruhteo.\Tell me now! If you do, I will put you out of your misery.\Continue to suffer, then.\So this is the bridge... response:	Deucalion... A flying battleship.
context: How can that be?\What was Countess Femieanne slain by?\A waste of time, eh?\Abide, Count Cruhteo.\Tell me now! If you do, I will put you out of your misery.\Continue to suffer, then.\So this is the bridge...\Deucalion... A flying battleship. response:	Nina, what makes it fly?
context: What was Countess Femieanne slain by?\A waste of time, eh?\Abide, Count Cruhteo.\Tell me now! If you do, I will put you out of your misery.\Continue to suffer, then.\So this is the bridge...\Deucalion... A flying battleship.\Nina, what makes it fly? response:	That Martian thing, uh...
context: A waste of time, eh?\Abide, Count Cruhteo.\Tell me now! If you do, I will put you out of your misery.\Continue to suffer, then.\So this is the bridge...\Deucalion... A flying battleship.\Nina, what makes it fly?\That Martian thing, uh... response:	Aldnoah?
context: Abide, Count Cruhteo.\Tell me now! If you do, I will put you out of your misery.\Continue to suffer, then.\So this is the bridge...\Deucalion... A flying battleship.\Nina, what makes it fly?\That Martian thing, uh...\Aldnoah? response:	Yeah, that.
context: Tell me now! If you do, I will put you out of your misery.\Continue to suffer, then.\So this is the bridge...\Deucalion... A flying battleship.\Nina, what makes it fly?\That Martian thing, uh...\Aldnoah?\Yeah, that. response:	Are the helm controls like a normal ship's? Can you handle this thing?
context: Continue to suffer, then.\So this is the bridge...\Deucalion... A flying battleship.\Nina, what makes it fly?\That Martian thing, uh...\Aldnoah?\Yeah, that.\Are the helm controls like a normal ship's? Can you handle this thing? response:	The FCS has been adjusted so it feels the same when I steer.
context: So this is the bridge...\Deucalion... A flying battleship.\Nina, what makes it fly?\That Martian thing, uh...\Aldnoah?\Yeah, that.\Are the helm controls like a normal ship's? Can you handle this thing?\The FCS has been adjusted so it feels the same when I steer. response:	Should you be away from your post, Calm?
context: Deucalion... A flying battleship.\Nina, what makes it fly?\That Martian thing, uh...\Aldnoah?\Yeah, that.\Are the helm controls like a normal ship's? Can you handle this thing?\The FCS has been adjusted so it feels the same when I steer.\Should you be away from your post, Calm? response:	What's the big deal if I want to look around a bit?
context: Nina, what makes it fly?\That Martian thing, uh...\Aldnoah?\Yeah, that.\Are the helm controls like a normal ship's? Can you handle this thing?\The FCS has been adjusted so it feels the same when I steer.\Should you be away from your post, Calm?\What's the big deal if I want to look around a bit? response:	Besides, there's no bigwigs around.
context: That Martian thing, uh...\Aldnoah?\Yeah, that.\Are the helm controls like a normal ship's? Can you handle this thing?\The FCS has been adjusted so it feels the same when I steer.\Should you be away from your post, Calm?\What's the big deal if I want to look around a bit?\Besides, there's no bigwigs around. response:	Hm? Where's Inaho?
context: Aldnoah?\Yeah, that.\Are the helm controls like a normal ship's? Can you handle this thing?\The FCS has been adjusted so it feels the same when I steer.\Should you be away from your post, Calm?\What's the big deal if I want to look around a bit?\Besides, there's no bigwigs around.\Hm? Where's Inaho? response:	In the bigwig's office. With the Martians.
context: Yeah, that.\Are the helm controls like a normal ship's? Can you handle this thing?\The FCS has been adjusted so it feels the same when I steer.\Should you be away from your post, Calm?\What's the big deal if I want to look around a bit?\Besides, there's no bigwigs around.\Hm? Where's Inaho?\In the bigwig's office. With the Martians. response:	Martians...
context: Are the helm controls like a normal ship's? Can you handle this thing?\The FCS has been adjusted so it feels the same when I steer.\Should you be away from your post, Calm?\What's the big deal if I want to look around a bit?\Besides, there's no bigwigs around.\Hm? Where's Inaho?\In the bigwig's office. With the Martians.\Martians... response:	Yeah. Thanks to her, this ship's Aldnoah drive is working.
context: The FCS has been adjusted so it feels the same when I steer.\Should you be away from your post, Calm?\What's the big deal if I want to look around a bit?\Besides, there's no bigwigs around.\Hm? Where's Inaho?\In the bigwig's office. With the Martians.\Martians...\Yeah. Thanks to her, this ship's Aldnoah drive is working. response:	What?!
context: Should you be away from your post, Calm?\What's the big deal if I want to look around a bit?\Besides, there's no bigwigs around.\Hm? Where's Inaho?\In the bigwig's office. With the Martians.\Martians...\Yeah. Thanks to her, this ship's Aldnoah drive is working.\What?! response:	The Mars Knights plotted your assassination? I find that hard to believe.
context: What's the big deal if I want to look around a bit?\Besides, there's no bigwigs around.\Hm? Where's Inaho?\In the bigwig's office. With the Martians.\Martians...\Yeah. Thanks to her, this ship's Aldnoah drive is working.\What?!\The Mars Knights plotted your assassination? I find that hard to believe. response:	Capt. Magbaredge, if we disclosed this information, perhaps the Mars Knights would stop attacking.
context: Besides, there's no bigwigs around.\Hm? Where's Inaho?\In the bigwig's office. With the Martians.\Martians...\Yeah. Thanks to her, this ship's Aldnoah drive is working.\What?!\The Mars Knights plotted your assassination? I find that hard to believe.\Capt. Magbaredge, if we disclosed this information, perhaps the Mars Knights would stop attacking. response:	Our communications satellites and telecom bases have been wiped out,
context: Hm? Where's Inaho?\In the bigwig's office. With the Martians.\Martians...\Yeah. Thanks to her, this ship's Aldnoah drive is working.\What?!\The Mars Knights plotted your assassination? I find that hard to believe.\Capt. Magbaredge, if we disclosed this information, perhaps the Mars Knights would stop attacking.\Our communications satellites and telecom bases have been wiped out, response:	and long-range transmissions are impossible thanks to their jamming signal.
context: In the bigwig's office. With the Martians.\Martians...\Yeah. Thanks to her, this ship's Aldnoah drive is working.\What?!\The Mars Knights plotted your assassination? I find that hard to believe.\Capt. Magbaredge, if we disclosed this information, perhaps the Mars Knights would stop attacking.\Our communications satellites and telecom bases have been wiped out,\and long-range transmissions are impossible thanks to their jamming signal. response:	If we're going to try to get the word out that the princess is safe,
context: Martians...\Yeah. Thanks to her, this ship's Aldnoah drive is working.\What?!\The Mars Knights plotted your assassination? I find that hard to believe.\Capt. Magbaredge, if we disclosed this information, perhaps the Mars Knights would stop attacking.\Our communications satellites and telecom bases have been wiped out,\and long-range transmissions are impossible thanks to their jamming signal.\If we're going to try to get the word out that the princess is safe, response:	there's no guarantee that the proper agencies would get the message.
context: Yeah. Thanks to her, this ship's Aldnoah drive is working.\What?!\The Mars Knights plotted your assassination? I find that hard to believe.\Capt. Magbaredge, if we disclosed this information, perhaps the Mars Knights would stop attacking.\Our communications satellites and telecom bases have been wiped out,\and long-range transmissions are impossible thanks to their jamming signal.\If we're going to try to get the word out that the princess is safe,\there's no guarantee that the proper agencies would get the message. response:	You believe it would make us the target of the Mars Knights who plotted her death?
context: What?!\The Mars Knights plotted your assassination? I find that hard to believe.\Capt. Magbaredge, if we disclosed this information, perhaps the Mars Knights would stop attacking.\Our communications satellites and telecom bases have been wiped out,\and long-range transmissions are impossible thanks to their jamming signal.\If we're going to try to get the word out that the princess is safe,\there's no guarantee that the proper agencies would get the message.\You believe it would make us the target of the Mars Knights who plotted her death? response:	Our plan all along was to go to United Earth HQ in Russia to regroup, anyway.
context: The Mars Knights plotted your assassination? I find that hard to believe.\Capt. Magbaredge, if we disclosed this information, perhaps the Mars Knights would stop attacking.\Our communications satellites and telecom bases have been wiped out,\and long-range transmissions are impossible thanks to their jamming signal.\If we're going to try to get the word out that the princess is safe,\there's no guarantee that the proper agencies would get the message.\You believe it would make us the target of the Mars Knights who plotted her death?\Our plan all along was to go to United Earth HQ in Russia to regroup, anyway. response:	Very well. Until we arrive, we will see to your safety, Highness.
context: Capt. Magbaredge, if we disclosed this information, perhaps the Mars Knights would stop attacking.\Our communications satellites and telecom bases have been wiped out,\and long-range transmissions are impossible thanks to their jamming signal.\If we're going to try to get the word out that the princess is safe,\there's no guarantee that the proper agencies would get the message.\You believe it would make us the target of the Mars Knights who plotted her death?\Our plan all along was to go to United Earth HQ in Russia to regroup, anyway.\Very well. Until we arrive, we will see to your safety, Highness. response:	Thank you.
context: Our communications satellites and telecom bases have been wiped out,\and long-range transmissions are impossible thanks to their jamming signal.\If we're going to try to get the word out that the princess is safe,\there's no guarantee that the proper agencies would get the message.\You believe it would make us the target of the Mars Knights who plotted her death?\Our plan all along was to go to United Earth HQ in Russia to regroup, anyway.\Very well. Until we arrive, we will see to your safety, Highness.\Thank you. response:	Now, Kaizuka Junior.
context: and long-range transmissions are impossible thanks to their jamming signal.\If we're going to try to get the word out that the princess is safe,\there's no guarantee that the proper agencies would get the message.\You believe it would make us the target of the Mars Knights who plotted her death?\Our plan all along was to go to United Earth HQ in Russia to regroup, anyway.\Very well. Until we arrive, we will see to your safety, Highness.\Thank you.\Now, Kaizuka Junior. response:	Inaho Kaizuka, ma'am.
context: If we're going to try to get the word out that the princess is safe,\there's no guarantee that the proper agencies would get the message.\You believe it would make us the target of the Mars Knights who plotted her death?\Our plan all along was to go to United Earth HQ in Russia to regroup, anyway.\Very well. Until we arrive, we will see to your safety, Highness.\Thank you.\Now, Kaizuka Junior.\Inaho Kaizuka, ma'am. response:	And you...
context: there's no guarantee that the proper agencies would get the message.\You believe it would make us the target of the Mars Knights who plotted her death?\Our plan all along was to go to United Earth HQ in Russia to regroup, anyway.\Very well. Until we arrive, we will see to your safety, Highness.\Thank you.\Now, Kaizuka Junior.\Inaho Kaizuka, ma'am.\And you... response:	Rayet Areash.
context: You believe it would make us the target of the Mars Knights who plotted her death?\Our plan all along was to go to United Earth HQ in Russia to regroup, anyway.\Very well. Until we arrive, we will see to your safety, Highness.\Thank you.\Now, Kaizuka Junior.\Inaho Kaizuka, ma'am.\And you...\Rayet Areash. response:	You two were aware of this, yet neglected to inform me.
context: Our plan all along was to go to United Earth HQ in Russia to regroup, anyway.\Very well. Until we arrive, we will see to your safety, Highness.\Thank you.\Now, Kaizuka Junior.\Inaho Kaizuka, ma'am.\And you...\Rayet Areash.\You two were aware of this, yet neglected to inform me. response:	I'm not a soldier. I'm not obligated to report to you.
context: Very well. Until we arrive, we will see to your safety, Highness.\Thank you.\Now, Kaizuka Junior.\Inaho Kaizuka, ma'am.\And you...\Rayet Areash.\You two were aware of this, yet neglected to inform me.\I'm not a soldier. I'm not obligated to report to you. response:	And you, Junior?
context: Thank you.\Now, Kaizuka Junior.\Inaho Kaizuka, ma'am.\And you...\Rayet Areash.\You two were aware of this, yet neglected to inform me.\I'm not a soldier. I'm not obligated to report to you.\And you, Junior? response:	I didn't neglect to inform you. I deliberately didn't.
context: Now, Kaizuka Junior.\Inaho Kaizuka, ma'am.\And you...\Rayet Areash.\You two were aware of this, yet neglected to inform me.\I'm not a soldier. I'm not obligated to report to you.\And you, Junior?\I didn't neglect to inform you. I deliberately didn't. response:	Watch what you say! You're putting yourself on very thin ice.
context: Inaho Kaizuka, ma'am.\And you...\Rayet Areash.\You two were aware of this, yet neglected to inform me.\I'm not a soldier. I'm not obligated to report to you.\And you, Junior?\I didn't neglect to inform you. I deliberately didn't.\Watch what you say! You're putting yourself on very thin ice. response:	I asked him not to.
context: And you...\Rayet Areash.\You two were aware of this, yet neglected to inform me.\I'm not a soldier. I'm not obligated to report to you.\And you, Junior?\I didn't neglect to inform you. I deliberately didn't.\Watch what you say! You're putting yourself on very thin ice.\I asked him not to. response:	Someone working with the assassins might be aboard.
context: Rayet Areash.\You two were aware of this, yet neglected to inform me.\I'm not a soldier. I'm not obligated to report to you.\And you, Junior?\I didn't neglect to inform you. I deliberately didn't.\Watch what you say! You're putting yourself on very thin ice.\I asked him not to.\Someone working with the assassins might be aboard. response:	Eddelrittuo!
context: You two were aware of this, yet neglected to inform me.\I'm not a soldier. I'm not obligated to report to you.\And you, Junior?\I didn't neglect to inform you. I deliberately didn't.\Watch what you say! You're putting yourself on very thin ice.\I asked him not to.\Someone working with the assassins might be aboard.\Eddelrittuo! response:	We can't trust you Martians, either.
context: I'm not a soldier. I'm not obligated to report to you.\And you, Junior?\I didn't neglect to inform you. I deliberately didn't.\Watch what you say! You're putting yourself on very thin ice.\I asked him not to.\Someone working with the assassins might be aboard.\Eddelrittuo!\We can't trust you Martians, either. response:	A nation that latched onto an archaic feudal system
context: And you, Junior?\I didn't neglect to inform you. I deliberately didn't.\Watch what you say! You're putting yourself on very thin ice.\I asked him not to.\Someone working with the assassins might be aboard.\Eddelrittuo!\We can't trust you Martians, either.\A nation that latched onto an archaic feudal system response:	that relies on the superscience of an ancient civilization called Aldnoah.
context: I didn't neglect to inform you. I deliberately didn't.\Watch what you say! You're putting yourself on very thin ice.\I asked him not to.\Someone working with the assassins might be aboard.\Eddelrittuo!\We can't trust you Martians, either.\A nation that latched onto an archaic feudal system\that relies on the superscience of an ancient civilization called Aldnoah. response:	Commoners who are obsessed with proving themselves in battle to win social standing.
context: Watch what you say! You're putting yourself on very thin ice.\I asked him not to.\Someone working with the assassins might be aboard.\Eddelrittuo!\We can't trust you Martians, either.\A nation that latched onto an archaic feudal system\that relies on the superscience of an ancient civilization called Aldnoah.\Commoners who are obsessed with proving themselves in battle to win social standing. response:	And nobility who casually betray them and grind them into the dirt...
context: I asked him not to.\Someone working with the assassins might be aboard.\Eddelrittuo!\We can't trust you Martians, either.\A nation that latched onto an archaic feudal system\that relies on the superscience of an ancient civilization called Aldnoah.\Commoners who are obsessed with proving themselves in battle to win social standing.\And nobility who casually betray them and grind them into the dirt... response:	How can you possibly trust people like that?!
context: Someone working with the assassins might be aboard.\Eddelrittuo!\We can't trust you Martians, either.\A nation that latched onto an archaic feudal system\that relies on the superscience of an ancient civilization called Aldnoah.\Commoners who are obsessed with proving themselves in battle to win social standing.\And nobility who casually betray them and grind them into the dirt...\How can you possibly trust people like that?! response:	I don't trust them.
context: Eddelrittuo!\We can't trust you Martians, either.\A nation that latched onto an archaic feudal system\that relies on the superscience of an ancient civilization called Aldnoah.\Commoners who are obsessed with proving themselves in battle to win social standing.\And nobility who casually betray them and grind them into the dirt...\How can you possibly trust people like that?!\I don't trust them. response:	All Martians are the enemy!
context: We can't trust you Martians, either.\A nation that latched onto an archaic feudal system\that relies on the superscience of an ancient civilization called Aldnoah.\Commoners who are obsessed with proving themselves in battle to win social standing.\And nobility who casually betray them and grind them into the dirt...\How can you possibly trust people like that?!\I don't trust them.\All Martians are the enemy! response:	No matter how far science advances, these procedures always remain primitive.
context: A nation that latched onto an archaic feudal system\that relies on the superscience of an ancient civilization called Aldnoah.\Commoners who are obsessed with proving themselves in battle to win social standing.\And nobility who casually betray them and grind them into the dirt...\How can you possibly trust people like that?!\I don't trust them.\All Martians are the enemy!\No matter how far science advances, these procedures always remain primitive. response:	And at times... are all the more effective for it.
context: that relies on the superscience of an ancient civilization called Aldnoah.\Commoners who are obsessed with proving themselves in battle to win social standing.\And nobility who casually betray them and grind them into the dirt...\How can you possibly trust people like that?!\I don't trust them.\All Martians are the enemy!\No matter how far science advances, these procedures always remain primitive.\And at times... are all the more effective for it. response:	Do it.
context: Commoners who are obsessed with proving themselves in battle to win social standing.\And nobility who casually betray them and grind them into the dirt...\How can you possibly trust people like that?!\I don't trust them.\All Martians are the enemy!\No matter how far science advances, these procedures always remain primitive.\And at times... are all the more effective for it.\Do it. response:	Does it hurt?
context: And nobility who casually betray them and grind them into the dirt...\How can you possibly trust people like that?!\I don't trust them.\All Martians are the enemy!\No matter how far science advances, these procedures always remain primitive.\And at times... are all the more effective for it.\Do it.\Does it hurt? response:	Now, then...
context: How can you possibly trust people like that?!\I don't trust them.\All Martians are the enemy!\No matter how far science advances, these procedures always remain primitive.\And at times... are all the more effective for it.\Do it.\Does it hurt?\Now, then... response:	What is the matter?
context: I don't trust them.\All Martians are the enemy!\No matter how far science advances, these procedures always remain primitive.\And at times... are all the more effective for it.\Do it.\Does it hurt?\Now, then...\What is the matter? response:	Oh, has that loosened your tongue?
context: All Martians are the enemy!\No matter how far science advances, these procedures always remain primitive.\And at times... are all the more effective for it.\Do it.\Does it hurt?\Now, then...\What is the matter?\Oh, has that loosened your tongue? response:	Have you... sworn loyalty...
context: No matter how far science advances, these procedures always remain primitive.\And at times... are all the more effective for it.\Do it.\Does it hurt?\Now, then...\What is the matter?\Oh, has that loosened your tongue?\Have you... sworn loyalty... response:	Continue.
context: And at times... are all the more effective for it.\Do it.\Does it hurt?\Now, then...\What is the matter?\Oh, has that loosened your tongue?\Have you... sworn loyalty...\Continue. response:	Yes, Milord!
context: Do it.\Does it hurt?\Now, then...\What is the matter?\Oh, has that loosened your tongue?\Have you... sworn loyalty...\Continue.\Yes, Milord! response:	Impudent boy...
context: Does it hurt?\Now, then...\What is the matter?\Oh, has that loosened your tongue?\Have you... sworn loyalty...\Continue.\Yes, Milord!\Impudent boy... response:	And how are we feeling?
