context: I want to go back to that time again. response:	I want to become small again.
context: Hurry up and get up. We'll be late.\Were you watching me?\How can you sleep like that.\- I'm changing, so look away. - Okay.\It's been 4 weeks since I became small.\A lot has happened...\Here you go.\Thank you for the meal. response:	It's been a while since Grandma made a meal.
context: Were you watching me?\How can you sleep like that.\- I'm changing, so look away. - Okay.\It's been 4 weeks since I became small.\A lot has happened...\Here you go.\Thank you for the meal.\It's been a while since Grandma made a meal. response:	Yay! I can eat delicious meals again starting today.
context: How can you sleep like that.\- I'm changing, so look away. - Okay.\It's been 4 weeks since I became small.\A lot has happened...\Here you go.\Thank you for the meal.\It's been a while since Grandma made a meal.\Yay! I can eat delicious meals again starting today. response:	What do you mean by that?
context: - I'm changing, so look away. - Okay.\It's been 4 weeks since I became small.\A lot has happened...\Here you go.\Thank you for the meal.\It's been a while since Grandma made a meal.\Yay! I can eat delicious meals again starting today.\What do you mean by that? response:	I tried hard while Grandma was in the hospital.
context: It's been 4 weeks since I became small.\A lot has happened...\Here you go.\Thank you for the meal.\It's been a while since Grandma made a meal.\Yay! I can eat delicious meals again starting today.\What do you mean by that?\I tried hard while Grandma was in the hospital. response:	Lately, we have been in synch with each other.
context: A lot has happened...\Here you go.\Thank you for the meal.\It's been a while since Grandma made a meal.\Yay! I can eat delicious meals again starting today.\What do you mean by that?\I tried hard while Grandma was in the hospital.\Lately, we have been in synch with each other. response:	We came this far.
context: Here you go.\Thank you for the meal.\It's been a while since Grandma made a meal.\Yay! I can eat delicious meals again starting today.\What do you mean by that?\I tried hard while Grandma was in the hospital.\Lately, we have been in synch with each other.\We came this far. response:	Things are going really well lately
context: Thank you for the meal.\It's been a while since Grandma made a meal.\Yay! I can eat delicious meals again starting today.\What do you mean by that?\I tried hard while Grandma was in the hospital.\Lately, we have been in synch with each other.\We came this far.\Things are going really well lately response:	between us.
context: It's been a while since Grandma made a meal.\Yay! I can eat delicious meals again starting today.\What do you mean by that?\I tried hard while Grandma was in the hospital.\Lately, we have been in synch with each other.\We came this far.\Things are going really well lately\between us. response:	You couldn't cook anything unless I was beside you, right?
context: Yay! I can eat delicious meals again starting today.\What do you mean by that?\I tried hard while Grandma was in the hospital.\Lately, we have been in synch with each other.\We came this far.\Things are going really well lately\between us.\You couldn't cook anything unless I was beside you, right? response:	Well, that is true.
context: What do you mean by that?\I tried hard while Grandma was in the hospital.\Lately, we have been in synch with each other.\We came this far.\Things are going really well lately\between us.\You couldn't cook anything unless I was beside you, right?\Well, that is true. response:	It's great you admit that.
context: I tried hard while Grandma was in the hospital.\Lately, we have been in synch with each other.\We came this far.\Things are going really well lately\between us.\You couldn't cook anything unless I was beside you, right?\Well, that is true.\It's great you admit that. response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: Lately, we have been in synch with each other.\We came this far.\Things are going really well lately\between us.\You couldn't cook anything unless I was beside you, right?\Well, that is true.\It's great you admit that.\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	My Little Lover - Minami Kun No Koibito
context: We came this far.\Things are going really well lately\between us.\You couldn't cook anything unless I was beside you, right?\Well, that is true.\It's great you admit that.\Timing and Subtitles brought to you by The Little Lover Team @Viki\My Little Lover - Minami Kun No Koibito response:	N I am not good at talking in similitudesN
context: Things are going really well lately\between us.\You couldn't cook anything unless I was beside you, right?\Well, that is true.\It's great you admit that.\Timing and Subtitles brought to you by The Little Lover Team @Viki\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN response:	N But, I will tell you an amazing story N
context: between us.\You couldn't cook anything unless I was beside you, right?\Well, that is true.\It's great you admit that.\Timing and Subtitles brought to you by The Little Lover Team @Viki\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N response:	N that will fit in a pocket N
context: You couldn't cook anything unless I was beside you, right?\Well, that is true.\It's great you admit that.\Timing and Subtitles brought to you by The Little Lover Team @Viki\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N response:	N God played a trick N
context: Well, that is true.\It's great you admit that.\Timing and Subtitles brought to you by The Little Lover Team @Viki\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N response:	N And a dramatic time began N
context: It's great you admit that.\Timing and Subtitles brought to you by The Little Lover Team @Viki\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N response:	N The shape of happiness you and I imagined N
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N response:	N doesn't have a name N
context: My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N response:	N But if it is a world I create with you, it's okay N
context: N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N response:	N I will write words that won't be erased like a magic N
context: N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N response:	N and turn the page N
context: N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N response:	N It is like a sequel to the fairy tale N
context: N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N response:	N We can smile forever N
context: N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N response:	N To a place over the rainbow N
context: N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N response:	N Let's imagine N
context: N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N response:	N a story with a happy ending N
context: N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N response:	Good morning, Asuka-chan. What's the matter?
context: N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning, Asuka-chan. What's the matter? response:	Eh? Did something happen again?
context: N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning, Asuka-chan. What's the matter?\Eh? Did something happen again? response:	We're in trouble. Mom is going to ask the police to search for you, Onee-chan.
context: N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning, Asuka-chan. What's the matter?\Eh? Did something happen again?\We're in trouble. Mom is going to ask the police to search for you, Onee-chan. response:	- What? - What?
context: N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning, Asuka-chan. What's the matter?\Eh? Did something happen again?\We're in trouble. Mom is going to ask the police to search for you, Onee-chan.\- What? - What? response:	Well, asking the police to search for her...
context: N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning, Asuka-chan. What's the matter?\Eh? Did something happen again?\We're in trouble. Mom is going to ask the police to search for you, Onee-chan.\- What? - What?\Well, asking the police to search for her... response:	Don't you think you are making too big of a deal?
context: N Let's imagine N\N a story with a happy ending N\Good morning, Asuka-chan. What's the matter?\Eh? Did something happen again?\We're in trouble. Mom is going to ask the police to search for you, Onee-chan.\- What? - What?\Well, asking the police to search for her...\Don't you think you are making too big of a deal? response:	He is right. If you overdo it, Onee-chan might not feel comfortable coming back...
context: N a story with a happy ending N\Good morning, Asuka-chan. What's the matter?\Eh? Did something happen again?\We're in trouble. Mom is going to ask the police to search for you, Onee-chan.\- What? - What?\Well, asking the police to search for her...\Don't you think you are making too big of a deal?\He is right. If you overdo it, Onee-chan might not feel comfortable coming back... response:	It's been four weeks already.
context: Good morning, Asuka-chan. What's the matter?\Eh? Did something happen again?\We're in trouble. Mom is going to ask the police to search for you, Onee-chan.\- What? - What?\Well, asking the police to search for her...\Don't you think you are making too big of a deal?\He is right. If you overdo it, Onee-chan might not feel comfortable coming back...\It's been four weeks already. response:	She hasn't been home for four weeks, which is a big deal.
context: Eh? Did something happen again?\We're in trouble. Mom is going to ask the police to search for you, Onee-chan.\- What? - What?\Well, asking the police to search for her...\Don't you think you are making too big of a deal?\He is right. If you overdo it, Onee-chan might not feel comfortable coming back...\It's been four weeks already.\She hasn't been home for four weeks, which is a big deal. response:	Besides, don't you think it is strange that we can't contact her?
context: We're in trouble. Mom is going to ask the police to search for you, Onee-chan.\- What? - What?\Well, asking the police to search for her...\Don't you think you are making too big of a deal?\He is right. If you overdo it, Onee-chan might not feel comfortable coming back...\It's been four weeks already.\She hasn't been home for four weeks, which is a big deal.\Besides, don't you think it is strange that we can't contact her? response:	How can I stay calm?
context: - What? - What?\Well, asking the police to search for her...\Don't you think you are making too big of a deal?\He is right. If you overdo it, Onee-chan might not feel comfortable coming back...\It's been four weeks already.\She hasn't been home for four weeks, which is a big deal.\Besides, don't you think it is strange that we can't contact her?\How can I stay calm? response:	Yeah, I guess that is a problem.
context: Well, asking the police to search for her...\Don't you think you are making too big of a deal?\He is right. If you overdo it, Onee-chan might not feel comfortable coming back...\It's been four weeks already.\She hasn't been home for four weeks, which is a big deal.\Besides, don't you think it is strange that we can't contact her?\How can I stay calm?\Yeah, I guess that is a problem. response:	Mom...
context: Don't you think you are making too big of a deal?\He is right. If you overdo it, Onee-chan might not feel comfortable coming back...\It's been four weeks already.\She hasn't been home for four weeks, which is a big deal.\Besides, don't you think it is strange that we can't contact her?\How can I stay calm?\Yeah, I guess that is a problem.\Mom... response:	Wow, she is doing such a great job.
context: He is right. If you overdo it, Onee-chan might not feel comfortable coming back...\It's been four weeks already.\She hasn't been home for four weeks, which is a big deal.\Besides, don't you think it is strange that we can't contact her?\How can I stay calm?\Yeah, I guess that is a problem.\Mom...\Wow, she is doing such a great job. response:	What are you reading?
context: It's been four weeks already.\She hasn't been home for four weeks, which is a big deal.\Besides, don't you think it is strange that we can't contact her?\How can I stay calm?\Yeah, I guess that is a problem.\Mom...\Wow, she is doing such a great job.\What are you reading? response:	This is an online novel that Horikiri-san has been writing.
context: She hasn't been home for four weeks, which is a big deal.\Besides, don't you think it is strange that we can't contact her?\How can I stay calm?\Yeah, I guess that is a problem.\Mom...\Wow, she is doing such a great job.\What are you reading?\This is an online novel that Horikiri-san has been writing. response:	Horikiri?
context: Besides, don't you think it is strange that we can't contact her?\How can I stay calm?\Yeah, I guess that is a problem.\Mom...\Wow, she is doing such a great job.\What are you reading?\This is an online novel that Horikiri-san has been writing.\Horikiri? response:	-You mean Horikiri from 3-A class who has been missing? -Shhh...
context: How can I stay calm?\Yeah, I guess that is a problem.\Mom...\Wow, she is doing such a great job.\What are you reading?\This is an online novel that Horikiri-san has been writing.\Horikiri?\-You mean Horikiri from 3-A class who has been missing? -Shhh... response:	Horikiri. Oh, on-line novel.
context: Yeah, I guess that is a problem.\Mom...\Wow, she is doing such a great job.\What are you reading?\This is an online novel that Horikiri-san has been writing.\Horikiri?\-You mean Horikiri from 3-A class who has been missing? -Shhh...\Horikiri. Oh, on-line novel. response:	Moon?
context: Mom...\Wow, she is doing such a great job.\What are you reading?\This is an online novel that Horikiri-san has been writing.\Horikiri?\-You mean Horikiri from 3-A class who has been missing? -Shhh...\Horikiri. Oh, on-line novel.\Moon? response:	- Who? Who do you think it is? -This novel?
context: Wow, she is doing such a great job.\What are you reading?\This is an online novel that Horikiri-san has been writing.\Horikiri?\-You mean Horikiri from 3-A class who has been missing? -Shhh...\Horikiri. Oh, on-line novel.\Moon?\- Who? Who do you think it is? -This novel? response:	Minami!
context: What are you reading?\This is an online novel that Horikiri-san has been writing.\Horikiri?\-You mean Horikiri from 3-A class who has been missing? -Shhh...\Horikiri. Oh, on-line novel.\Moon?\- Who? Who do you think it is? -This novel?\Minami! response:	- Do you have a minute? -Eh?
context: This is an online novel that Horikiri-san has been writing.\Horikiri?\-You mean Horikiri from 3-A class who has been missing? -Shhh...\Horikiri. Oh, on-line novel.\Moon?\- Who? Who do you think it is? -This novel?\Minami!\- Do you have a minute? -Eh? response:	I have something to ask you.
context: Horikiri?\-You mean Horikiri from 3-A class who has been missing? -Shhh...\Horikiri. Oh, on-line novel.\Moon?\- Who? Who do you think it is? -This novel?\Minami!\- Do you have a minute? -Eh?\I have something to ask you. response:	What? This is Horikiri?
context: -You mean Horikiri from 3-A class who has been missing? -Shhh...\Horikiri. Oh, on-line novel.\Moon?\- Who? Who do you think it is? -This novel?\Minami!\- Do you have a minute? -Eh?\I have something to ask you.\What? This is Horikiri? response:	I haven't heard the name for a long time. Let me see.
context: Horikiri. Oh, on-line novel.\Moon?\- Who? Who do you think it is? -This novel?\Minami!\- Do you have a minute? -Eh?\I have something to ask you.\What? This is Horikiri?\I haven't heard the name for a long time. Let me see. response:	Chobiko in a Pocket?
context: Moon?\- Who? Who do you think it is? -This novel?\Minami!\- Do you have a minute? -Eh?\I have something to ask you.\What? This is Horikiri?\I haven't heard the name for a long time. Let me see.\Chobiko in a Pocket? response:	- What's this? - Well,
context: - Who? Who do you think it is? -This novel?\Minami!\- Do you have a minute? -Eh?\I have something to ask you.\What? This is Horikiri?\I haven't heard the name for a long time. Let me see.\Chobiko in a Pocket?\- What's this? - Well, response:	I heard she is an on-line novel writer.
context: Minami!\- Do you have a minute? -Eh?\I have something to ask you.\What? This is Horikiri?\I haven't heard the name for a long time. Let me see.\Chobiko in a Pocket?\- What's this? - Well,\I heard she is an on-line novel writer. response:	Seriously?
context: - Do you have a minute? -Eh?\I have something to ask you.\What? This is Horikiri?\I haven't heard the name for a long time. Let me see.\Chobiko in a Pocket?\- What's this? - Well,\I heard she is an on-line novel writer.\Seriously? response:	Moon Bunny Michaela is her pen name.
context: I have something to ask you.\What? This is Horikiri?\I haven't heard the name for a long time. Let me see.\Chobiko in a Pocket?\- What's this? - Well,\I heard she is an on-line novel writer.\Seriously?\Moon Bunny Michaela is her pen name. response:	- Wow! - Moon Bunny Michaela?
context: What? This is Horikiri?\I haven't heard the name for a long time. Let me see.\Chobiko in a Pocket?\- What's this? - Well,\I heard she is an on-line novel writer.\Seriously?\Moon Bunny Michaela is her pen name.\- Wow! - Moon Bunny Michaela? response:	What's this about?
context: I haven't heard the name for a long time. Let me see.\Chobiko in a Pocket?\- What's this? - Well,\I heard she is an on-line novel writer.\Seriously?\Moon Bunny Michaela is her pen name.\- Wow! - Moon Bunny Michaela?\What's this about? response:	Is it true?
context: Chobiko in a Pocket?\- What's this? - Well,\I heard she is an on-line novel writer.\Seriously?\Moon Bunny Michaela is her pen name.\- Wow! - Moon Bunny Michaela?\What's this about?\Is it true? response:	- Yeah. - Wait. Isn't she supposed to be in Tokyo for the dance workshop?
context: - What's this? - Well,\I heard she is an on-line novel writer.\Seriously?\Moon Bunny Michaela is her pen name.\- Wow! - Moon Bunny Michaela?\What's this about?\Is it true?\- Yeah. - Wait. Isn't she supposed to be in Tokyo for the dance workshop? response:	Yeah, right.
context: I heard she is an on-line novel writer.\Seriously?\Moon Bunny Michaela is her pen name.\- Wow! - Moon Bunny Michaela?\What's this about?\Is it true?\- Yeah. - Wait. Isn't she supposed to be in Tokyo for the dance workshop?\Yeah, right. response:	Horikiri-shi is in trouble.
context: Seriously?\Moon Bunny Michaela is her pen name.\- Wow! - Moon Bunny Michaela?\What's this about?\Is it true?\- Yeah. - Wait. Isn't she supposed to be in Tokyo for the dance workshop?\Yeah, right.\Horikiri-shi is in trouble. response:	Ri...Riku?
context: Moon Bunny Michaela is her pen name.\- Wow! - Moon Bunny Michaela?\What's this about?\Is it true?\- Yeah. - Wait. Isn't she supposed to be in Tokyo for the dance workshop?\Yeah, right.\Horikiri-shi is in trouble.\Ri...Riku? response:	How dare you play dumb until now.
context: - Wow! - Moon Bunny Michaela?\What's this about?\Is it true?\- Yeah. - Wait. Isn't she supposed to be in Tokyo for the dance workshop?\Yeah, right.\Horikiri-shi is in trouble.\Ri...Riku?\How dare you play dumb until now. response:	There are tons of things I want to ask you,
context: What's this about?\Is it true?\- Yeah. - Wait. Isn't she supposed to be in Tokyo for the dance workshop?\Yeah, right.\Horikiri-shi is in trouble.\Ri...Riku?\How dare you play dumb until now.\There are tons of things I want to ask you, response:	- such as your Chobiko... - Huh?
context: Is it true?\- Yeah. - Wait. Isn't she supposed to be in Tokyo for the dance workshop?\Yeah, right.\Horikiri-shi is in trouble.\Ri...Riku?\How dare you play dumb until now.\There are tons of things I want to ask you,\- such as your Chobiko... - Huh? response:	Chobiko?
context: - Yeah. - Wait. Isn't she supposed to be in Tokyo for the dance workshop?\Yeah, right.\Horikiri-shi is in trouble.\Ri...Riku?\How dare you play dumb until now.\There are tons of things I want to ask you,\- such as your Chobiko... - Huh?\Chobiko? response:	I'm talking about the figurine in your pocket.
context: Yeah, right.\Horikiri-shi is in trouble.\Ri...Riku?\How dare you play dumb until now.\There are tons of things I want to ask you,\- such as your Chobiko... - Huh?\Chobiko?\I'm talking about the figurine in your pocket. response:	What?
context: Horikiri-shi is in trouble.\Ri...Riku?\How dare you play dumb until now.\There are tons of things I want to ask you,\- such as your Chobiko... - Huh?\Chobiko?\I'm talking about the figurine in your pocket.\What? response:	You are still playing dumb?
context: Ri...Riku?\How dare you play dumb until now.\There are tons of things I want to ask you,\- such as your Chobiko... - Huh?\Chobiko?\I'm talking about the figurine in your pocket.\What?\You are still playing dumb? response:	Gosh, you are so good at acting.
context: How dare you play dumb until now.\There are tons of things I want to ask you,\- such as your Chobiko... - Huh?\Chobiko?\I'm talking about the figurine in your pocket.\What?\You are still playing dumb?\Gosh, you are so good at acting. response:	You might as well become an actor.
context: There are tons of things I want to ask you,\- such as your Chobiko... - Huh?\Chobiko?\I'm talking about the figurine in your pocket.\What?\You are still playing dumb?\Gosh, you are so good at acting.\You might as well become an actor. response:	Riku, do you know about this?
context: - such as your Chobiko... - Huh?\Chobiko?\I'm talking about the figurine in your pocket.\What?\You are still playing dumb?\Gosh, you are so good at acting.\You might as well become an actor.\Riku, do you know about this? response:	What?
context: Chobiko?\I'm talking about the figurine in your pocket.\What?\You are still playing dumb?\Gosh, you are so good at acting.\You might as well become an actor.\Riku, do you know about this?\What? response:	They say it is Chiyomi.
context: I'm talking about the figurine in your pocket.\What?\You are still playing dumb?\Gosh, you are so good at acting.\You might as well become an actor.\Riku, do you know about this?\What?\They say it is Chiyomi. response:	Moon Bunny Michaela. She writes online novels...
context: What?\You are still playing dumb?\Gosh, you are so good at acting.\You might as well become an actor.\Riku, do you know about this?\What?\They say it is Chiyomi.\Moon Bunny Michaela. She writes online novels... response:	Horikiri-san is now very famous.
context: You are still playing dumb?\Gosh, you are so good at acting.\You might as well become an actor.\Riku, do you know about this?\What?\They say it is Chiyomi.\Moon Bunny Michaela. She writes online novels...\Horikiri-san is now very famous. response:	Moon Bunny Michaela, was it?
context: Gosh, you are so good at acting.\You might as well become an actor.\Riku, do you know about this?\What?\They say it is Chiyomi.\Moon Bunny Michaela. She writes online novels...\Horikiri-san is now very famous.\Moon Bunny Michaela, was it? response:	Did you know about it?
context: You might as well become an actor.\Riku, do you know about this?\What?\They say it is Chiyomi.\Moon Bunny Michaela. She writes online novels...\Horikiri-san is now very famous.\Moon Bunny Michaela, was it?\Did you know about it? response:	No...
context: Riku, do you know about this?\What?\They say it is Chiyomi.\Moon Bunny Michaela. She writes online novels...\Horikiri-san is now very famous.\Moon Bunny Michaela, was it?\Did you know about it?\No... response:	Is that so?
context: What?\They say it is Chiyomi.\Moon Bunny Michaela. She writes online novels...\Horikiri-san is now very famous.\Moon Bunny Michaela, was it?\Did you know about it?\No...\Is that so? response:	My goodness, now he knows!
context: They say it is Chiyomi.\Moon Bunny Michaela. She writes online novels...\Horikiri-san is now very famous.\Moon Bunny Michaela, was it?\Did you know about it?\No...\Is that so?\My goodness, now he knows! response:	I will be in trouble if he reads it. What should I do?
context: Moon Bunny Michaela. She writes online novels...\Horikiri-san is now very famous.\Moon Bunny Michaela, was it?\Did you know about it?\No...\Is that so?\My goodness, now he knows!\I will be in trouble if he reads it. What should I do? response:	Wait. Minami-kun is not the type who reads something like that.
context: Horikiri-san is now very famous.\Moon Bunny Michaela, was it?\Did you know about it?\No...\Is that so?\My goodness, now he knows!\I will be in trouble if he reads it. What should I do?\Wait. Minami-kun is not the type who reads something like that. response:	Well, I guess it'll be okay.
context: Moon Bunny Michaela, was it?\Did you know about it?\No...\Is that so?\My goodness, now he knows!\I will be in trouble if he reads it. What should I do?\Wait. Minami-kun is not the type who reads something like that.\Well, I guess it'll be okay. response:	It sure is Chiyomi.
context: Did you know about it?\No...\Is that so?\My goodness, now he knows!\I will be in trouble if he reads it. What should I do?\Wait. Minami-kun is not the type who reads something like that.\Well, I guess it'll be okay.\It sure is Chiyomi. response:	This is'Chiyomi's World.'
context: No...\Is that so?\My goodness, now he knows!\I will be in trouble if he reads it. What should I do?\Wait. Minami-kun is not the type who reads something like that.\Well, I guess it'll be okay.\It sure is Chiyomi.\This is'Chiyomi's World.' response:	Then, what you are saying is
