context: Come on! Unless you want to die, get moving! response:	I told you to step forward further!
context: Besides, Vegeta is supposed to be the only remaining Saiyan.\Not including Goku or yourself.\T- then...\Come to think of it, there was that guy who said he was Goku's brother.\Our task is to go through space, searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\It could be that these guys are in league with them. response:	Though if so, I don't see Vegeta around.
context: Not including Goku or yourself.\T- then...\Come to think of it, there was that guy who said he was Goku's brother.\Our task is to go through space, searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\It could be that these guys are in league with them.\Though if so, I don't see Vegeta around. response:	Is he off somewhere else, looking for Dragon Balls?
context: T- then...\Come to think of it, there was that guy who said he was Goku's brother.\Our task is to go through space, searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\It could be that these guys are in league with them.\Though if so, I don't see Vegeta around.\Is he off somewhere else, looking for Dragon Balls? response:	My name is Freeza, and as you can see, I am gathering your so-called Dragon Balls.
context: Come to think of it, there was that guy who said he was Goku's brother.\Our task is to go through space, searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\It could be that these guys are in league with them.\Though if so, I don't see Vegeta around.\Is he off somewhere else, looking for Dragon Balls?\My name is Freeza, and as you can see, I am gathering your so-called Dragon Balls. response:	Incidentally, where are the others? According to our survey,
context: Our task is to go through space, searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\It could be that these guys are in league with them.\Though if so, I don't see Vegeta around.\Is he off somewhere else, looking for Dragon Balls?\My name is Freeza, and as you can see, I am gathering your so-called Dragon Balls.\Incidentally, where are the others? According to our survey, response:	there are supposed to be ten of you here.
context: and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\It could be that these guys are in league with them.\Though if so, I don't see Vegeta around.\Is he off somewhere else, looking for Dragon Balls?\My name is Freeza, and as you can see, I am gathering your so-called Dragon Balls.\Incidentally, where are the others? According to our survey,\there are supposed to be ten of you here. response:	You intend not to say anything, do you?
context: we sell them for a high price to aliens who are looking for a suitable planet.\It could be that these guys are in league with them.\Though if so, I don't see Vegeta around.\Is he off somewhere else, looking for Dragon Balls?\My name is Freeza, and as you can see, I am gathering your so-called Dragon Balls.\Incidentally, where are the others? According to our survey,\there are supposed to be ten of you here.\You intend not to say anything, do you? response:	I will kill you.
context: It could be that these guys are in league with them.\Though if so, I don't see Vegeta around.\Is he off somewhere else, looking for Dragon Balls?\My name is Freeza, and as you can see, I am gathering your so-called Dragon Balls.\Incidentally, where are the others? According to our survey,\there are supposed to be ten of you here.\You intend not to say anything, do you?\I will kill you. response:	6588...
context: Though if so, I don't see Vegeta around.\Is he off somewhere else, looking for Dragon Balls?\My name is Freeza, and as you can see, I am gathering your so-called Dragon Balls.\Incidentally, where are the others? According to our survey,\there are supposed to be ten of you here.\You intend not to say anything, do you?\I will kill you.\6588... response:	6590... Whew... 20-times gravity sure is tough...
context: Is he off somewhere else, looking for Dragon Balls?\My name is Freeza, and as you can see, I am gathering your so-called Dragon Balls.\Incidentally, where are the others? According to our survey,\there are supposed to be ten of you here.\You intend not to say anything, do you?\I will kill you.\6588...\6590... Whew... 20-times gravity sure is tough... response:	But I have to thoroughly retrain myself, starting from the fundamentals...
context: My name is Freeza, and as you can see, I am gathering your so-called Dragon Balls.\Incidentally, where are the others? According to our survey,\there are supposed to be ten of you here.\You intend not to say anything, do you?\I will kill you.\6588...\6590... Whew... 20-times gravity sure is tough...\But I have to thoroughly retrain myself, starting from the fundamentals... response:	Now, I shall have your answer, please.
context: Incidentally, where are the others? According to our survey,\there are supposed to be ten of you here.\You intend not to say anything, do you?\I will kill you.\6588...\6590... Whew... 20-times gravity sure is tough...\But I have to thoroughly retrain myself, starting from the fundamentals...\Now, I shall have your answer, please. response:	Not in Namekian. Speak to us in language that we can all understand.
context: there are supposed to be ten of you here.\You intend not to say anything, do you?\I will kill you.\6588...\6590... Whew... 20-times gravity sure is tough...\But I have to thoroughly retrain myself, starting from the fundamentals...\Now, I shall have your answer, please.\Not in Namekian. Speak to us in language that we can all understand. response:	We know that you are able to speak it.
context: You intend not to say anything, do you?\I will kill you.\6588...\6590... Whew... 20-times gravity sure is tough...\But I have to thoroughly retrain myself, starting from the fundamentals...\Now, I shall have your answer, please.\Not in Namekian. Speak to us in language that we can all understand.\We know that you are able to speak it. response:	T- the others are out working the fields.
context: I will kill you.\6588...\6590... Whew... 20-times gravity sure is tough...\But I have to thoroughly retrain myself, starting from the fundamentals...\Now, I shall have your answer, please.\Not in Namekian. Speak to us in language that we can all understand.\We know that you are able to speak it.\T- the others are out working the fields. response:	Only those of us who are elderly or children remain here.
context: 6588...\6590... Whew... 20-times gravity sure is tough...\But I have to thoroughly retrain myself, starting from the fundamentals...\Now, I shall have your answer, please.\Not in Namekian. Speak to us in language that we can all understand.\We know that you are able to speak it.\T- the others are out working the fields.\Only those of us who are elderly or children remain here. response:	There you go. As long as you answer me honestly like that,
context: 6590... Whew... 20-times gravity sure is tough...\But I have to thoroughly retrain myself, starting from the fundamentals...\Now, I shall have your answer, please.\Not in Namekian. Speak to us in language that we can all understand.\We know that you are able to speak it.\T- the others are out working the fields.\Only those of us who are elderly or children remain here.\There you go. As long as you answer me honestly like that, response:	I will not do anything to you.
context: But I have to thoroughly retrain myself, starting from the fundamentals...\Now, I shall have your answer, please.\Not in Namekian. Speak to us in language that we can all understand.\We know that you are able to speak it.\T- the others are out working the fields.\Only those of us who are elderly or children remain here.\There you go. As long as you answer me honestly like that,\I will not do anything to you. response:	Now then, I will continue to have you answer me, please.
context: Now, I shall have your answer, please.\Not in Namekian. Speak to us in language that we can all understand.\We know that you are able to speak it.\T- the others are out working the fields.\Only those of us who are elderly or children remain here.\There you go. As long as you answer me honestly like that,\I will not do anything to you.\Now then, I will continue to have you answer me, please. response:	Where is your Dragon Ball?
context: Not in Namekian. Speak to us in language that we can all understand.\We know that you are able to speak it.\T- the others are out working the fields.\Only those of us who are elderly or children remain here.\There you go. As long as you answer me honestly like that,\I will not do anything to you.\Now then, I will continue to have you answer me, please.\Where is your Dragon Ball? response:	I believe there is another one here.
context: We know that you are able to speak it.\T- the others are out working the fields.\Only those of us who are elderly or children remain here.\There you go. As long as you answer me honestly like that,\I will not do anything to you.\Now then, I will continue to have you answer me, please.\Where is your Dragon Ball?\I believe there is another one here. response:	I- I don't know. We don't have anything like that.
context: T- the others are out working the fields.\Only those of us who are elderly or children remain here.\There you go. As long as you answer me honestly like that,\I will not do anything to you.\Now then, I will continue to have you answer me, please.\Where is your Dragon Ball?\I believe there is another one here.\I- I don't know. We don't have anything like that. response:	Dodoria- san?
context: Only those of us who are elderly or children remain here.\There you go. As long as you answer me honestly like that,\I will not do anything to you.\Now then, I will continue to have you answer me, please.\Where is your Dragon Ball?\I believe there is another one here.\I- I don't know. We don't have anything like that.\Dodoria- san? response:	Sir?
context: There you go. As long as you answer me honestly like that,\I will not do anything to you.\Now then, I will continue to have you answer me, please.\Where is your Dragon Ball?\I believe there is another one here.\I- I don't know. We don't have anything like that.\Dodoria- san?\Sir? response:	As I recall, the second Namekian that we killed
context: I will not do anything to you.\Now then, I will continue to have you answer me, please.\Where is your Dragon Ball?\I believe there is another one here.\I- I don't know. We don't have anything like that.\Dodoria- san?\Sir?\As I recall, the second Namekian that we killed response:	said something quite interesting, yes?
context: Now then, I will continue to have you answer me, please.\Where is your Dragon Ball?\I believe there is another one here.\I- I don't know. We don't have anything like that.\Dodoria- san?\Sir?\As I recall, the second Namekian that we killed\said something quite interesting, yes? response:	Yes. We can only turn over the Dragon Balls to those who we judge to be men of valor.
context: Where is your Dragon Ball?\I believe there is another one here.\I- I don't know. We don't have anything like that.\Dodoria- san?\Sir?\As I recall, the second Namekian that we killed\said something quite interesting, yes?\Yes. We can only turn over the Dragon Balls to those who we judge to be men of valor. response:	Yes, yes. He was a very stubborn man, too.
context: I believe there is another one here.\I- I don't know. We don't have anything like that.\Dodoria- san?\Sir?\As I recall, the second Namekian that we killed\said something quite interesting, yes?\Yes. We can only turn over the Dragon Balls to those who we judge to be men of valor.\Yes, yes. He was a very stubborn man, too. response:	I simply could not get him to cooperate with me...
context: I- I don't know. We don't have anything like that.\Dodoria- san?\Sir?\As I recall, the second Namekian that we killed\said something quite interesting, yes?\Yes. We can only turn over the Dragon Balls to those who we judge to be men of valor.\Yes, yes. He was a very stubborn man, too.\I simply could not get him to cooperate with me... response:	What!?
context: Dodoria- san?\Sir?\As I recall, the second Namekian that we killed\said something quite interesting, yes?\Yes. We can only turn over the Dragon Balls to those who we judge to be men of valor.\Yes, yes. He was a very stubborn man, too.\I simply could not get him to cooperate with me...\What!? response:	Once I did, I got him to say all sorts of things.
context: Sir?\As I recall, the second Namekian that we killed\said something quite interesting, yes?\Yes. We can only turn over the Dragon Balls to those who we judge to be men of valor.\Yes, yes. He was a very stubborn man, too.\I simply could not get him to cooperate with me...\What!?\Once I did, I got him to say all sorts of things. response:	The seven Dragon Balls were created by the Grand Elder of this world.
context: As I recall, the second Namekian that we killed\said something quite interesting, yes?\Yes. We can only turn over the Dragon Balls to those who we judge to be men of valor.\Yes, yes. He was a very stubborn man, too.\I simply could not get him to cooperate with me...\What!?\Once I did, I got him to say all sorts of things.\The seven Dragon Balls were created by the Grand Elder of this world. response:	Each of them is in the custody of one of seven Elders.
context: said something quite interesting, yes?\Yes. We can only turn over the Dragon Balls to those who we judge to be men of valor.\Yes, yes. He was a very stubborn man, too.\I simply could not get him to cooperate with me...\What!?\Once I did, I got him to say all sorts of things.\The seven Dragon Balls were created by the Grand Elder of this world.\Each of them is in the custody of one of seven Elders. response:	Each one is to engage in a contest of wits, a contest of strength,
context: Yes. We can only turn over the Dragon Balls to those who we judge to be men of valor.\Yes, yes. He was a very stubborn man, too.\I simply could not get him to cooperate with me...\What!?\Once I did, I got him to say all sorts of things.\The seven Dragon Balls were created by the Grand Elder of this world.\Each of them is in the custody of one of seven Elders.\Each one is to engage in a contest of wits, a contest of strength, response:	and to ask the reason for one's wish.
context: Yes, yes. He was a very stubborn man, too.\I simply could not get him to cooperate with me...\What!?\Once I did, I got him to say all sorts of things.\The seven Dragon Balls were created by the Grand Elder of this world.\Each of them is in the custody of one of seven Elders.\Each one is to engage in a contest of wits, a contest of strength,\and to ask the reason for one's wish. response:	And once each Elder judges you to be a man of valor,
context: I simply could not get him to cooperate with me...\What!?\Once I did, I got him to say all sorts of things.\The seven Dragon Balls were created by the Grand Elder of this world.\Each of them is in the custody of one of seven Elders.\Each one is to engage in a contest of wits, a contest of strength,\and to ask the reason for one's wish.\And once each Elder judges you to be a man of valor, response:	you are at last able to obtain their Dragon Ball, or so he told me.
context: What!?\Once I did, I got him to say all sorts of things.\The seven Dragon Balls were created by the Grand Elder of this world.\Each of them is in the custody of one of seven Elders.\Each one is to engage in a contest of wits, a contest of strength,\and to ask the reason for one's wish.\And once each Elder judges you to be a man of valor,\you are at last able to obtain their Dragon Ball, or so he told me. response:	Well, I attempted to do as I was instructed,
context: Once I did, I got him to say all sorts of things.\The seven Dragon Balls were created by the Grand Elder of this world.\Each of them is in the custody of one of seven Elders.\Each one is to engage in a contest of wits, a contest of strength,\and to ask the reason for one's wish.\And once each Elder judges you to be a man of valor,\you are at last able to obtain their Dragon Ball, or so he told me.\Well, I attempted to do as I was instructed, response:	but he told me that he was absolutely unwilling to turn his over to me.
context: The seven Dragon Balls were created by the Grand Elder of this world.\Each of them is in the custody of one of seven Elders.\Each one is to engage in a contest of wits, a contest of strength,\and to ask the reason for one's wish.\And once each Elder judges you to be a man of valor,\you are at last able to obtain their Dragon Ball, or so he told me.\Well, I attempted to do as I was instructed,\but he told me that he was absolutely unwilling to turn his over to me. response:	I could not help but kill him.
context: Each of them is in the custody of one of seven Elders.\Each one is to engage in a contest of wits, a contest of strength,\and to ask the reason for one's wish.\And once each Elder judges you to be a man of valor,\you are at last able to obtain their Dragon Ball, or so he told me.\Well, I attempted to do as I was instructed,\but he told me that he was absolutely unwilling to turn his over to me.\I could not help but kill him. response:	H- how could you do that!?
context: Each one is to engage in a contest of wits, a contest of strength,\and to ask the reason for one's wish.\And once each Elder judges you to be a man of valor,\you are at last able to obtain their Dragon Ball, or so he told me.\Well, I attempted to do as I was instructed,\but he told me that he was absolutely unwilling to turn his over to me.\I could not help but kill him.\H- how could you do that!? response:	And so, it took some effort to find the first Ball.
context: and to ask the reason for one's wish.\And once each Elder judges you to be a man of valor,\you are at last able to obtain their Dragon Ball, or so he told me.\Well, I attempted to do as I was instructed,\but he told me that he was absolutely unwilling to turn his over to me.\I could not help but kill him.\H- how could you do that!?\And so, it took some effort to find the first Ball. response:	The next three were easy. Everyone was very accommodating.
context: And once each Elder judges you to be a man of valor,\you are at last able to obtain their Dragon Ball, or so he told me.\Well, I attempted to do as I was instructed,\but he told me that he was absolutely unwilling to turn his over to me.\I could not help but kill him.\H- how could you do that!?\And so, it took some effort to find the first Ball.\The next three were easy. Everyone was very accommodating. response:	I see. So that's it, huh?
context: you are at last able to obtain their Dragon Ball, or so he told me.\Well, I attempted to do as I was instructed,\but he told me that he was absolutely unwilling to turn his over to me.\I could not help but kill him.\H- how could you do that!?\And so, it took some effort to find the first Ball.\The next three were easy. Everyone was very accommodating.\I see. So that's it, huh? response:	A- accommodating, you say?
context: Well, I attempted to do as I was instructed,\but he told me that he was absolutely unwilling to turn his over to me.\I could not help but kill him.\H- how could you do that!?\And so, it took some effort to find the first Ball.\The next three were easy. Everyone was very accommodating.\I see. So that's it, huh?\A- accommodating, you say? response:	You are lying!
context: but he told me that he was absolutely unwilling to turn his over to me.\I could not help but kill him.\H- how could you do that!?\And so, it took some effort to find the first Ball.\The next three were easy. Everyone was very accommodating.\I see. So that's it, huh?\A- accommodating, you say?\You are lying! response:	T- that's right! There's no way the other Elders would obligingly
context: I could not help but kill him.\H- how could you do that!?\And so, it took some effort to find the first Ball.\The next three were easy. Everyone was very accommodating.\I see. So that's it, huh?\A- accommodating, you say?\You are lying!\T- that's right! There's no way the other Elders would obligingly response:	hand over their Dragon Balls to you!
context: H- how could you do that!?\And so, it took some effort to find the first Ball.\The next three were easy. Everyone was very accommodating.\I see. So that's it, huh?\A- accommodating, you say?\You are lying!\T- that's right! There's no way the other Elders would obligingly\hand over their Dragon Balls to you! response:	Oh, no, they became quite accommodating once we did this.
context: And so, it took some effort to find the first Ball.\The next three were easy. Everyone was very accommodating.\I see. So that's it, huh?\A- accommodating, you say?\You are lying!\T- that's right! There's no way the other Elders would obligingly\hand over their Dragon Balls to you!\Oh, no, they became quite accommodating once we did this. response:	Zarbon- san, please show them.
context: The next three were easy. Everyone was very accommodating.\I see. So that's it, huh?\A- accommodating, you say?\You are lying!\T- that's right! There's no way the other Elders would obligingly\hand over their Dragon Balls to you!\Oh, no, they became quite accommodating once we did this.\Zarbon- san, please show them. response:	Yes, sir.
context: I see. So that's it, huh?\A- accommodating, you say?\You are lying!\T- that's right! There's no way the other Elders would obligingly\hand over their Dragon Balls to you!\Oh, no, they became quite accommodating once we did this.\Zarbon- san, please show them.\Yes, sir. response:	-Why, you! -No, don't!
context: A- accommodating, you say?\You are lying!\T- that's right! There's no way the other Elders would obligingly\hand over their Dragon Balls to you!\Oh, no, they became quite accommodating once we did this.\Zarbon- san, please show them.\Yes, sir.\-Why, you! -No, don't! response:	H- how could they do that!?
context: You are lying!\T- that's right! There's no way the other Elders would obligingly\hand over their Dragon Balls to you!\Oh, no, they became quite accommodating once we did this.\Zarbon- san, please show them.\Yes, sir.\-Why, you! -No, don't!\H- how could they do that!? response:	That was awful!
context: T- that's right! There's no way the other Elders would obligingly\hand over their Dragon Balls to you!\Oh, no, they became quite accommodating once we did this.\Zarbon- san, please show them.\Yes, sir.\-Why, you! -No, don't!\H- how could they do that!?\That was awful! response:	Gohan, control your Ki, or they'll find us.
context: hand over their Dragon Balls to you!\Oh, no, they became quite accommodating once we did this.\Zarbon- san, please show them.\Yes, sir.\-Why, you! -No, don't!\H- how could they do that!?\That was awful!\Gohan, control your Ki, or they'll find us. response:	But I can't take this!
context: Oh, no, they became quite accommodating once we did this.\Zarbon- san, please show them.\Yes, sir.\-Why, you! -No, don't!\H- how could they do that!?\That was awful!\Gohan, control your Ki, or they'll find us.\But I can't take this! response:	Still, you want to bring Piccolo and everyone else back to life, right?
context: Zarbon- san, please show them.\Yes, sir.\-Why, you! -No, don't!\H- how could they do that!?\That was awful!\Gohan, control your Ki, or they'll find us.\But I can't take this!\Still, you want to bring Piccolo and everyone else back to life, right? response:	That's not the sort of opponent that we can stand up against.
context: Yes, sir.\-Why, you! -No, don't!\H- how could they do that!?\That was awful!\Gohan, control your Ki, or they'll find us.\But I can't take this!\Still, you want to bring Piccolo and everyone else back to life, right?\That's not the sort of opponent that we can stand up against. response:	If we come forward now, we'd just die for nothing.
context: -Why, you! -No, don't!\H- how could they do that!?\That was awful!\Gohan, control your Ki, or they'll find us.\But I can't take this!\Still, you want to bring Piccolo and everyone else back to life, right?\That's not the sort of opponent that we can stand up against.\If we come forward now, we'd just die for nothing. response:	Darn it!
context: H- how could they do that!?\That was awful!\Gohan, control your Ki, or they'll find us.\But I can't take this!\Still, you want to bring Piccolo and everyone else back to life, right?\That's not the sort of opponent that we can stand up against.\If we come forward now, we'd just die for nothing.\Darn it! response:	And here, after we've come all the way to Planet Namek...
context: That was awful!\Gohan, control your Ki, or they'll find us.\But I can't take this!\Still, you want to bring Piccolo and everyone else back to life, right?\That's not the sort of opponent that we can stand up against.\If we come forward now, we'd just die for nothing.\Darn it!\And here, after we've come all the way to Planet Namek... response:	How about it? Are you feeling a little more accommodating?
context: Gohan, control your Ki, or they'll find us.\But I can't take this!\Still, you want to bring Piccolo and everyone else back to life, right?\That's not the sort of opponent that we can stand up against.\If we come forward now, we'd just die for nothing.\Darn it!\And here, after we've come all the way to Planet Namek...\How about it? Are you feeling a little more accommodating? response:	What is your purpose in gathering the Dragon Balls?
context: But I can't take this!\Still, you want to bring Piccolo and everyone else back to life, right?\That's not the sort of opponent that we can stand up against.\If we come forward now, we'd just die for nothing.\Darn it!\And here, after we've come all the way to Planet Namek...\How about it? Are you feeling a little more accommodating?\What is your purpose in gathering the Dragon Balls? response:	Oh, it is just a trivial little wish. I would like to obtain eternal life.
context: Still, you want to bring Piccolo and everyone else back to life, right?\That's not the sort of opponent that we can stand up against.\If we come forward now, we'd just die for nothing.\Darn it!\And here, after we've come all the way to Planet Namek...\How about it? Are you feeling a little more accommodating?\What is your purpose in gathering the Dragon Balls?\Oh, it is just a trivial little wish. I would like to obtain eternal life. response:	What!? Then, he and Vegeta are both after eternal life?
context: That's not the sort of opponent that we can stand up against.\If we come forward now, we'd just die for nothing.\Darn it!\And here, after we've come all the way to Planet Namek...\How about it? Are you feeling a little more accommodating?\What is your purpose in gathering the Dragon Balls?\Oh, it is just a trivial little wish. I would like to obtain eternal life.\What!? Then, he and Vegeta are both after eternal life? response:	Maybe they aren't friends with Vegeta, then.
context: If we come forward now, we'd just die for nothing.\Darn it!\And here, after we've come all the way to Planet Namek...\How about it? Are you feeling a little more accommodating?\What is your purpose in gathering the Dragon Balls?\Oh, it is just a trivial little wish. I would like to obtain eternal life.\What!? Then, he and Vegeta are both after eternal life?\Maybe they aren't friends with Vegeta, then. response:	I don't know.
context: Darn it!\And here, after we've come all the way to Planet Namek...\How about it? Are you feeling a little more accommodating?\What is your purpose in gathering the Dragon Balls?\Oh, it is just a trivial little wish. I would like to obtain eternal life.\What!? Then, he and Vegeta are both after eternal life?\Maybe they aren't friends with Vegeta, then.\I don't know. response:	I would not turn over the Dragon Ball to the likes of you, even if it meant my own death!
context: And here, after we've come all the way to Planet Namek...\How about it? Are you feeling a little more accommodating?\What is your purpose in gathering the Dragon Balls?\Oh, it is just a trivial little wish. I would like to obtain eternal life.\What!? Then, he and Vegeta are both after eternal life?\Maybe they aren't friends with Vegeta, then.\I don't know.\I would not turn over the Dragon Ball to the likes of you, even if it meant my own death! response:	So you mean that you would choose death over handing it over to me?
context: How about it? Are you feeling a little more accommodating?\What is your purpose in gathering the Dragon Balls?\Oh, it is just a trivial little wish. I would like to obtain eternal life.\What!? Then, he and Vegeta are both after eternal life?\Maybe they aren't friends with Vegeta, then.\I don't know.\I would not turn over the Dragon Ball to the likes of you, even if it meant my own death!\So you mean that you would choose death over handing it over to me? response:	I see. The people of this planet do seem to be quite stubborn.
context: What is your purpose in gathering the Dragon Balls?\Oh, it is just a trivial little wish. I would like to obtain eternal life.\What!? Then, he and Vegeta are both after eternal life?\Maybe they aren't friends with Vegeta, then.\I don't know.\I would not turn over the Dragon Ball to the likes of you, even if it meant my own death!\So you mean that you would choose death over handing it over to me?\I see. The people of this planet do seem to be quite stubborn. response:	However...
context: Oh, it is just a trivial little wish. I would like to obtain eternal life.\What!? Then, he and Vegeta are both after eternal life?\Maybe they aren't friends with Vegeta, then.\I don't know.\I would not turn over the Dragon Ball to the likes of you, even if it meant my own death!\So you mean that you would choose death over handing it over to me?\I see. The people of this planet do seem to be quite stubborn.\However... response:	W- what!?
context: What!? Then, he and Vegeta are both after eternal life?\Maybe they aren't friends with Vegeta, then.\I don't know.\I would not turn over the Dragon Ball to the likes of you, even if it meant my own death!\So you mean that you would choose death over handing it over to me?\I see. The people of this planet do seem to be quite stubborn.\However...\W- what!? response:	You would even kill children!?
context: Maybe they aren't friends with Vegeta, then.\I don't know.\I would not turn over the Dragon Ball to the likes of you, even if it meant my own death!\So you mean that you would choose death over handing it over to me?\I see. The people of this planet do seem to be quite stubborn.\However...\W- what!?\You would even kill children!? response:	Oh, no! Hide!
context: I don't know.\I would not turn over the Dragon Ball to the likes of you, even if it meant my own death!\So you mean that you would choose death over handing it over to me?\I see. The people of this planet do seem to be quite stubborn.\However...\W- what!?\You would even kill children!?\Oh, no! Hide! response:	There's a strong battle power...
context: I would not turn over the Dragon Ball to the likes of you, even if it meant my own death!\So you mean that you would choose death over handing it over to me?\I see. The people of this planet do seem to be quite stubborn.\However...\W- what!?\You would even kill children!?\Oh, no! Hide!\There's a strong battle power... response:	Freeza- sama, over there.
context: So you mean that you would choose death over handing it over to me?\I see. The people of this planet do seem to be quite stubborn.\However...\W- what!?\You would even kill children!?\Oh, no! Hide!\There's a strong battle power...\Freeza- sama, over there. response:	Oh, you've come for us?
context: I see. The people of this planet do seem to be quite stubborn.\However...\W- what!?\You would even kill children!?\Oh, no! Hide!\There's a strong battle power...\Freeza- sama, over there.\Oh, you've come for us? response:	Namekians!
context: However...\W- what!?\You would even kill children!?\Oh, no! Hide!\There's a strong battle power...\Freeza- sama, over there.\Oh, you've come for us?\Namekians! response:	They've come to save them!
context: W- what!?\You would even kill children!?\Oh, no! Hide!\There's a strong battle power...\Freeza- sama, over there.\Oh, you've come for us?\Namekians!\They've come to save them! response:	Damn! Then our bad feeling turned out to be true!
context: You would even kill children!?\Oh, no! Hide!\There's a strong battle power...\Freeza- sama, over there.\Oh, you've come for us?\Namekians!\They've come to save them!\Damn! Then our bad feeling turned out to be true! response:	This is trouble. Here I was, just about to have the Dragon Ball brought out to me,
context: Oh, no! Hide!\There's a strong battle power...\Freeza- sama, over there.\Oh, you've come for us?\Namekians!\They've come to save them!\Damn! Then our bad feeling turned out to be true!\This is trouble. Here I was, just about to have the Dragon Ball brought out to me, response:	when you interrupt your work...
context: There's a strong battle power...\Freeza- sama, over there.\Oh, you've come for us?\Namekians!\They've come to save them!\Damn! Then our bad feeling turned out to be true!\This is trouble. Here I was, just about to have the Dragon Ball brought out to me,\when you interrupt your work... response:	I see now. So the rumors about someone attacking the villages
context: Freeza- sama, over there.\Oh, you've come for us?\Namekians!\They've come to save them!\Damn! Then our bad feeling turned out to be true!\This is trouble. Here I was, just about to have the Dragon Ball brought out to me,\when you interrupt your work...\I see now. So the rumors about someone attacking the villages response:	and taking the Dragon Balls are true, are they?
context: Oh, you've come for us?\Namekians!\They've come to save them!\Damn! Then our bad feeling turned out to be true!\This is trouble. Here I was, just about to have the Dragon Ball brought out to me,\when you interrupt your work...\I see now. So the rumors about someone attacking the villages\and taking the Dragon Balls are true, are they? response:	You're going to pay for this! Trample on the peace of Namek, will you!?
