context: I'm back here again... response:	Sister, Sister... It appears our guest is still half-asleep.
context: But right now, even that's a good feeling.\Sister, Sister...\Could our guest be a troubled man, deriving pleasure from torture?\Rem, Rem, our guest appears to be\a pervert who's turned on by insults.\Sorry to do that out of the blue,\but I trust you both.\Let's be friends, okay? response:	It was awfully noisy, so I came to check.
context: Sister, Sister...\Could our guest be a troubled man, deriving pleasure from torture?\Rem, Rem, our guest appears to be\a pervert who's turned on by insults.\Sorry to do that out of the blue,\but I trust you both.\Let's be friends, okay?\It was awfully noisy, so I came to check. response:	Subaru, I'm glad you seem well.
context: Could our guest be a troubled man, deriving pleasure from torture?\Rem, Rem, our guest appears to be\a pervert who's turned on by insults.\Sorry to do that out of the blue,\but I trust you both.\Let's be friends, okay?\It was awfully noisy, so I came to check.\Subaru, I'm glad you seem well. response:	A second ago, I had a lot on my mind,
context: Rem, Rem, our guest appears to be\a pervert who's turned on by insults.\Sorry to do that out of the blue,\but I trust you both.\Let's be friends, okay?\It was awfully noisy, so I came to check.\Subaru, I'm glad you seem well.\A second ago, I had a lot on my mind, response:	but seeing you blew it all away, Emilia-tan!
context: a pervert who's turned on by insults.\Sorry to do that out of the blue,\but I trust you both.\Let's be friends, okay?\It was awfully noisy, so I came to check.\Subaru, I'm glad you seem well.\A second ago, I had a lot on my mind,\but seeing you blew it all away, Emilia-tan! response:	I guess you were the wonder drug that my heart needed.
context: Sorry to do that out of the blue,\but I trust you both.\Let's be friends, okay?\It was awfully noisy, so I came to check.\Subaru, I'm glad you seem well.\A second ago, I had a lot on my mind,\but seeing you blew it all away, Emilia-tan!\I guess you were the wonder drug that my heart needed. response:	Sorry, I have no idea what you're saying.
context: but I trust you both.\Let's be friends, okay?\It was awfully noisy, so I came to check.\Subaru, I'm glad you seem well.\A second ago, I had a lot on my mind,\but seeing you blew it all away, Emilia-tan!\I guess you were the wonder drug that my heart needed.\Sorry, I have no idea what you're saying. response:	But good morning. I'm glad you're well.
context: Let's be friends, okay?\It was awfully noisy, so I came to check.\Subaru, I'm glad you seem well.\A second ago, I had a lot on my mind,\but seeing you blew it all away, Emilia-tan!\I guess you were the wonder drug that my heart needed.\Sorry, I have no idea what you're saying.\But good morning. I'm glad you're well. response:	Yeah, good morning.
context: It was awfully noisy, so I came to check.\Subaru, I'm glad you seem well.\A second ago, I had a lot on my mind,\but seeing you blew it all away, Emilia-tan!\I guess you were the wonder drug that my heart needed.\Sorry, I have no idea what you're saying.\But good morning. I'm glad you're well.\Yeah, good morning. response:	Okay, might as well get started...
context: Subaru, I'm glad you seem well.\A second ago, I had a lot on my mind,\but seeing you blew it all away, Emilia-tan!\I guess you were the wonder drug that my heart needed.\Sorry, I have no idea what you're saying.\But good morning. I'm glad you're well.\Yeah, good morning.\Okay, might as well get started... response:	Hire me to work in this mansion!
context: A second ago, I had a lot on my mind,\but seeing you blew it all away, Emilia-tan!\I guess you were the wonder drug that my heart needed.\Sorry, I have no idea what you're saying.\But good morning. I'm glad you're well.\Yeah, good morning.\Okay, might as well get started...\Hire me to work in this mansion! response:	I must clear two broad conditions,
context: but seeing you blew it all away, Emilia-tan!\I guess you were the wonder drug that my heart needed.\Sorry, I have no idea what you're saying.\But good morning. I'm glad you're well.\Yeah, good morning.\Okay, might as well get started...\Hire me to work in this mansion!\I must clear two broad conditions, response:	in order to survive a week in Roswaal's mansion.
context: I guess you were the wonder drug that my heart needed.\Sorry, I have no idea what you're saying.\But good morning. I'm glad you're well.\Yeah, good morning.\Okay, might as well get started...\Hire me to work in this mansion!\I must clear two broad conditions,\in order to survive a week in Roswaal's mansion. response:	First is to earn the trust of the staff here.
context: Sorry, I have no idea what you're saying.\But good morning. I'm glad you're well.\Yeah, good morning.\Okay, might as well get started...\Hire me to work in this mansion!\I must clear two broad conditions,\in order to survive a week in Roswaal's mansion.\First is to earn the trust of the staff here. response:	If I don't gain those girls' favor,
context: But good morning. I'm glad you're well.\Yeah, good morning.\Okay, might as well get started...\Hire me to work in this mansion!\I must clear two broad conditions,\in order to survive a week in Roswaal's mansion.\First is to earn the trust of the staff here.\If I don't gain those girls' favor, response:	they're liable to kill me, to silence me.
context: Yeah, good morning.\Okay, might as well get started...\Hire me to work in this mansion!\I must clear two broad conditions,\in order to survive a week in Roswaal's mansion.\First is to earn the trust of the staff here.\If I don't gain those girls' favor,\they're liable to kill me, to silence me. response:	That goes not only for Rem and Ram,
context: Okay, might as well get started...\Hire me to work in this mansion!\I must clear two broad conditions,\in order to survive a week in Roswaal's mansion.\First is to earn the trust of the staff here.\If I don't gain those girls' favor,\they're liable to kill me, to silence me.\That goes not only for Rem and Ram, response:	but for their master, Roswaal, as well.
context: Hire me to work in this mansion!\I must clear two broad conditions,\in order to survive a week in Roswaal's mansion.\First is to earn the trust of the staff here.\If I don't gain those girls' favor,\they're liable to kill me, to silence me.\That goes not only for Rem and Ram,\but for their master, Roswaal, as well. response:	And second is to defeat the shaman that attacks Roswaal's mansion!
context: I must clear two broad conditions,\in order to survive a week in Roswaal's mansion.\First is to earn the trust of the staff here.\If I don't gain those girls' favor,\they're liable to kill me, to silence me.\That goes not only for Rem and Ram,\but for their master, Roswaal, as well.\And second is to defeat the shaman that attacks Roswaal's mansion! response:	I'm exhausted...
context: in order to survive a week in Roswaal's mansion.\First is to earn the trust of the staff here.\If I don't gain those girls' favor,\they're liable to kill me, to silence me.\That goes not only for Rem and Ram,\but for their master, Roswaal, as well.\And second is to defeat the shaman that attacks Roswaal's mansion!\I'm exhausted... response:	You're quite the hard worker.
context: First is to earn the trust of the staff here.\If I don't gain those girls' favor,\they're liable to kill me, to silence me.\That goes not only for Rem and Ram,\but for their master, Roswaal, as well.\And second is to defeat the shaman that attacks Roswaal's mansion!\I'm exhausted...\You're quite the hard worker. response:	I'm not done yet.
context: If I don't gain those girls' favor,\they're liable to kill me, to silence me.\That goes not only for Rem and Ram,\but for their master, Roswaal, as well.\And second is to defeat the shaman that attacks Roswaal's mansion!\I'm exhausted...\You're quite the hard worker.\I'm not done yet. response:	I need to prepare dinner and clean the rooms.
context: they're liable to kill me, to silence me.\That goes not only for Rem and Ram,\but for their master, Roswaal, as well.\And second is to defeat the shaman that attacks Roswaal's mansion!\I'm exhausted...\You're quite the hard worker.\I'm not done yet.\I need to prepare dinner and clean the rooms. response:	I'll get back to work after a little break.
context: That goes not only for Rem and Ram,\but for their master, Roswaal, as well.\And second is to defeat the shaman that attacks Roswaal's mansion!\I'm exhausted...\You're quite the hard worker.\I'm not done yet.\I need to prepare dinner and clean the rooms.\I'll get back to work after a little break. response:	It's only your first day, and you're so spirited.
context: but for their master, Roswaal, as well.\And second is to defeat the shaman that attacks Roswaal's mansion!\I'm exhausted...\You're quite the hard worker.\I'm not done yet.\I need to prepare dinner and clean the rooms.\I'll get back to work after a little break.\It's only your first day, and you're so spirited. response:	Well...
context: And second is to defeat the shaman that attacks Roswaal's mansion!\I'm exhausted...\You're quite the hard worker.\I'm not done yet.\I need to prepare dinner and clean the rooms.\I'll get back to work after a little break.\It's only your first day, and you're so spirited.\Well... response:	Some important things are at stake here.
context: I'm exhausted...\You're quite the hard worker.\I'm not done yet.\I need to prepare dinner and clean the rooms.\I'll get back to work after a little break.\It's only your first day, and you're so spirited.\Well...\Some important things are at stake here. response:	By the way, what kind of magic does Emilia-tan use?
context: You're quite the hard worker.\I'm not done yet.\I need to prepare dinner and clean the rooms.\I'll get back to work after a little break.\It's only your first day, and you're so spirited.\Well...\Some important things are at stake here.\By the way, what kind of magic does Emilia-tan use? response:	Technically, Lia isn't really a magic-user.
context: I'm not done yet.\I need to prepare dinner and clean the rooms.\I'll get back to work after a little break.\It's only your first day, and you're so spirited.\Well...\Some important things are at stake here.\By the way, what kind of magic does Emilia-tan use?\Technically, Lia isn't really a magic-user. response:	That goes for her contract with me, too.
context: I need to prepare dinner and clean the rooms.\I'll get back to work after a little break.\It's only your first day, and you're so spirited.\Well...\Some important things are at stake here.\By the way, what kind of magic does Emilia-tan use?\Technically, Lia isn't really a magic-user.\That goes for her contract with me, too. response:	She uses spirit arts.
context: I'll get back to work after a little break.\It's only your first day, and you're so spirited.\Well...\Some important things are at stake here.\By the way, what kind of magic does Emilia-tan use?\Technically, Lia isn't really a magic-user.\That goes for her contract with me, too.\She uses spirit arts. response:	So those who use magic and spirit arts are different...
context: It's only your first day, and you're so spirited.\Well...\Some important things are at stake here.\By the way, what kind of magic does Emilia-tan use?\Technically, Lia isn't really a magic-user.\That goes for her contract with me, too.\She uses spirit arts.\So those who use magic and spirit arts are different... response:	Magic-users cast magic with their own mana,
context: Well...\Some important things are at stake here.\By the way, what kind of magic does Emilia-tan use?\Technically, Lia isn't really a magic-user.\That goes for her contract with me, too.\She uses spirit arts.\So those who use magic and spirit arts are different...\Magic-users cast magic with their own mana, response:	but those who use spirit arts draw from mana in the atmosphere.
context: Some important things are at stake here.\By the way, what kind of magic does Emilia-tan use?\Technically, Lia isn't really a magic-user.\That goes for her contract with me, too.\She uses spirit arts.\So those who use magic and spirit arts are different...\Magic-users cast magic with their own mana,\but those who use spirit arts draw from mana in the atmosphere. response:	And how are those two different, Sensei?
context: By the way, what kind of magic does Emilia-tan use?\Technically, Lia isn't really a magic-user.\That goes for her contract with me, too.\She uses spirit arts.\So those who use magic and spirit arts are different...\Magic-users cast magic with their own mana,\but those who use spirit arts draw from mana in the atmosphere.\And how are those two different, Sensei? response:	Basically, it depends on whether you use a gate.
context: Technically, Lia isn't really a magic-user.\That goes for her contract with me, too.\She uses spirit arts.\So those who use magic and spirit arts are different...\Magic-users cast magic with their own mana,\but those who use spirit arts draw from mana in the atmosphere.\And how are those two different, Sensei?\Basically, it depends on whether you use a gate. response:	A gate?
context: That goes for her contract with me, too.\She uses spirit arts.\So those who use magic and spirit arts are different...\Magic-users cast magic with their own mana,\but those who use spirit arts draw from mana in the atmosphere.\And how are those two different, Sensei?\Basically, it depends on whether you use a gate.\A gate? response:	Mana passes through a gate within your body.
context: She uses spirit arts.\So those who use magic and spirit arts are different...\Magic-users cast magic with their own mana,\but those who use spirit arts draw from mana in the atmosphere.\And how are those two different, Sensei?\Basically, it depends on whether you use a gate.\A gate?\Mana passes through a gate within your body. response:	Through the gate, you both draw mana in and expel it out.
context: So those who use magic and spirit arts are different...\Magic-users cast magic with their own mana,\but those who use spirit arts draw from mana in the atmosphere.\And how are those two different, Sensei?\Basically, it depends on whether you use a gate.\A gate?\Mana passes through a gate within your body.\Through the gate, you both draw mana in and expel it out. response:	I see, so it's like a spigot for MP...
context: Magic-users cast magic with their own mana,\but those who use spirit arts draw from mana in the atmosphere.\And how are those two different, Sensei?\Basically, it depends on whether you use a gate.\A gate?\Mana passes through a gate within your body.\Through the gate, you both draw mana in and expel it out.\I see, so it's like a spigot for MP... response:	You should also have one, Subaru.
context: but those who use spirit arts draw from mana in the atmosphere.\And how are those two different, Sensei?\Basically, it depends on whether you use a gate.\A gate?\Mana passes through a gate within your body.\Through the gate, you both draw mana in and expel it out.\I see, so it's like a spigot for MP...\You should also have one, Subaru. response:	R-Really? Does that mean I can use magic, too?
context: And how are those two different, Sensei?\Basically, it depends on whether you use a gate.\A gate?\Mana passes through a gate within your body.\Through the gate, you both draw mana in and expel it out.\I see, so it's like a spigot for MP...\You should also have one, Subaru.\R-Really? Does that mean I can use magic, too? response:	Want me to figure out your attribute?
context: Basically, it depends on whether you use a gate.\A gate?\Mana passes through a gate within your body.\Through the gate, you both draw mana in and expel it out.\I see, so it's like a spigot for MP...\You should also have one, Subaru.\R-Really? Does that mean I can use magic, too?\Want me to figure out your attribute? response:	Magic-users are divided into fire, water, wind, and earth attributes...
context: A gate?\Mana passes through a gate within your body.\Through the gate, you both draw mana in and expel it out.\I see, so it's like a spigot for MP...\You should also have one, Subaru.\R-Really? Does that mean I can use magic, too?\Want me to figure out your attribute?\Magic-users are divided into fire, water, wind, and earth attributes... response:	Whoa, it's totally a magic sound effect!
context: Mana passes through a gate within your body.\Through the gate, you both draw mana in and expel it out.\I see, so it's like a spigot for MP...\You should also have one, Subaru.\R-Really? Does that mean I can use magic, too?\Want me to figure out your attribute?\Magic-users are divided into fire, water, wind, and earth attributes...\Whoa, it's totally a magic sound effect! response:	I know what your attribute is.
context: Through the gate, you both draw mana in and expel it out.\I see, so it's like a spigot for MP...\You should also have one, Subaru.\R-Really? Does that mean I can use magic, too?\Want me to figure out your attribute?\Magic-users are divided into fire, water, wind, and earth attributes...\Whoa, it's totally a magic sound effect!\I know what your attribute is. response:	Yes! I've been waiting for this!
context: I see, so it's like a spigot for MP...\You should also have one, Subaru.\R-Really? Does that mean I can use magic, too?\Want me to figure out your attribute?\Magic-users are divided into fire, water, wind, and earth attributes...\Whoa, it's totally a magic sound effect!\I know what your attribute is.\Yes! I've been waiting for this! response:	Is it the burning fire of passion?
context: You should also have one, Subaru.\R-Really? Does that mean I can use magic, too?\Want me to figure out your attribute?\Magic-users are divided into fire, water, wind, and earth attributes...\Whoa, it's totally a magic sound effect!\I know what your attribute is.\Yes! I've been waiting for this!\Is it the burning fire of passion? response:	Or a relaxed, cool-guy water type?
context: R-Really? Does that mean I can use magic, too?\Want me to figure out your attribute?\Magic-users are divided into fire, water, wind, and earth attributes...\Whoa, it's totally a magic sound effect!\I know what your attribute is.\Yes! I've been waiting for this!\Is it the burning fire of passion?\Or a relaxed, cool-guy water type? response:	Or maybe a gentle wind, blowing across the plain?
context: Want me to figure out your attribute?\Magic-users are divided into fire, water, wind, and earth attributes...\Whoa, it's totally a magic sound effect!\I know what your attribute is.\Yes! I've been waiting for this!\Is it the burning fire of passion?\Or a relaxed, cool-guy water type?\Or maybe a gentle wind, blowing across the plain? response:	Or is it solid, reliable earth?
context: Magic-users are divided into fire, water, wind, and earth attributes...\Whoa, it's totally a magic sound effect!\I know what your attribute is.\Yes! I've been waiting for this!\Is it the burning fire of passion?\Or a relaxed, cool-guy water type?\Or maybe a gentle wind, blowing across the plain?\Or is it solid, reliable earth? response:	Shadow
context: Whoa, it's totally a magic sound effect!\I know what your attribute is.\Yes! I've been waiting for this!\Is it the burning fire of passion?\Or a relaxed, cool-guy water type?\Or maybe a gentle wind, blowing across the plain?\Or is it solid, reliable earth?\Shadow response:	Shadow.
context: I know what your attribute is.\Yes! I've been waiting for this!\Is it the burning fire of passion?\Or a relaxed, cool-guy water type?\Or maybe a gentle wind, blowing across the plain?\Or is it solid, reliable earth?\Shadow\Shadow. response:	All rejected?!
context: Yes! I've been waiting for this!\Is it the burning fire of passion?\Or a relaxed, cool-guy water type?\Or maybe a gentle wind, blowing across the plain?\Or is it solid, reliable earth?\Shadow\Shadow.\All rejected?! response:	Wow, shadow? That's very rare.
context: Is it the burning fire of passion?\Or a relaxed, cool-guy water type?\Or maybe a gentle wind, blowing across the plain?\Or is it solid, reliable earth?\Shadow\Shadow.\All rejected?!\Wow, shadow? That's very rare. response:	What is shadow, anyway?
context: Or a relaxed, cool-guy water type?\Or maybe a gentle wind, blowing across the plain?\Or is it solid, reliable earth?\Shadow\Shadow.\All rejected?!\Wow, shadow? That's very rare.\What is shadow, anyway? response:	Weren't there only four attributes?
context: Or maybe a gentle wind, blowing across the plain?\Or is it solid, reliable earth?\Shadow\Shadow.\All rejected?!\Wow, shadow? That's very rare.\What is shadow, anyway?\Weren't there only four attributes? response:	This is a category error!
context: Or is it solid, reliable earth?\Shadow\Shadow.\All rejected?!\Wow, shadow? That's very rare.\What is shadow, anyway?\Weren't there only four attributes?\This is a category error! response:	In addition to the four basic attributes,
context: Shadow\Shadow.\All rejected?!\Wow, shadow? That's very rare.\What is shadow, anyway?\Weren't there only four attributes?\This is a category error!\In addition to the four basic attributes, response:	there's also shadow and light.
context: Shadow.\All rejected?!\Wow, shadow? That's very rare.\What is shadow, anyway?\Weren't there only four attributes?\This is a category error!\In addition to the four basic attributes,\there's also shadow and light. response:	Is it actually some amazing ability?
context: All rejected?!\Wow, shadow? That's very rare.\What is shadow, anyway?\Weren't there only four attributes?\This is a category error!\In addition to the four basic attributes,\there's also shadow and light.\Is it actually some amazing ability? response:	Like a talent only seen once in five thousand years?
context: Wow, shadow? That's very rare.\What is shadow, anyway?\Weren't there only four attributes?\This is a category error!\In addition to the four basic attributes,\there's also shadow and light.\Is it actually some amazing ability?\Like a talent only seen once in five thousand years? response:	With shadow magic,
context: What is shadow, anyway?\Weren't there only four attributes?\This is a category error!\In addition to the four basic attributes,\there's also shadow and light.\Is it actually some amazing ability?\Like a talent only seen once in five thousand years?\With shadow magic, response:	you can obstruct an opponent's vision, block sound,
context: Weren't there only four attributes?\This is a category error!\In addition to the four basic attributes,\there's also shadow and light.\Is it actually some amazing ability?\Like a talent only seen once in five thousand years?\With shadow magic,\you can obstruct an opponent's vision, block sound, response:	slow movements, and things like that.
context: This is a category error!\In addition to the four basic attributes,\there's also shadow and light.\Is it actually some amazing ability?\Like a talent only seen once in five thousand years?\With shadow magic,\you can obstruct an opponent's vision, block sound,\slow movements, and things like that. response:	It's just debuffs?
context: In addition to the four basic attributes,\there's also shadow and light.\Is it actually some amazing ability?\Like a talent only seen once in five thousand years?\With shadow magic,\you can obstruct an opponent's vision, block sound,\slow movements, and things like that.\It's just debuffs? response:	An easy one would be something like Shamac.
context: there's also shadow and light.\Is it actually some amazing ability?\Like a talent only seen once in five thousand years?\With shadow magic,\you can obstruct an opponent's vision, block sound,\slow movements, and things like that.\It's just debuffs?\An easy one would be something like Shamac. response:	That's a blinding spell, right?
context: Is it actually some amazing ability?\Like a talent only seen once in five thousand years?\With shadow magic,\you can obstruct an opponent's vision, block sound,\slow movements, and things like that.\It's just debuffs?\An easy one would be something like Shamac.\That's a blinding spell, right? response:	Want me to show you?
context: Like a talent only seen once in five thousand years?\With shadow magic,\you can obstruct an opponent's vision, block sound,\slow movements, and things like that.\It's just debuffs?\An easy one would be something like Shamac.\That's a blinding spell, right?\Want me to show you? response:	Wait, Puck...
context: With shadow magic,\you can obstruct an opponent's vision, block sound,\slow movements, and things like that.\It's just debuffs?\An easy one would be something like Shamac.\That's a blinding spell, right?\Want me to show you?\Wait, Puck... response:	For real? Let's see, let's see!
context: you can obstruct an opponent's vision, block sound,\slow movements, and things like that.\It's just debuffs?\An easy one would be something like Shamac.\That's a blinding spell, right?\Want me to show you?\Wait, Puck...\For real? Let's see, let's see! response:	Shamac!
context: slow movements, and things like that.\It's just debuffs?\An easy one would be something like Shamac.\That's a blinding spell, right?\Want me to show you?\Wait, Puck...\For real? Let's see, let's see!\Shamac! response:	Okay, that's it.
context: It's just debuffs?\An easy one would be something like Shamac.\That's a blinding spell, right?\Want me to show you?\Wait, Puck...\For real? Let's see, let's see!\Shamac!\Okay, that's it. response:	What'd you think? That was Shamac.
context: An easy one would be something like Shamac.\That's a blinding spell, right?\Want me to show you?\Wait, Puck...\For real? Let's see, let's see!\Shamac!\Okay, that's it.\What'd you think? That was Shamac. response:	Are you all right?
context: That's a blinding spell, right?\Want me to show you?\Wait, Puck...\For real? Let's see, let's see!\Shamac!\Okay, that's it.\What'd you think? That was Shamac.\Are you all right? response:	I-I'm fine!
context: Want me to show you?\Wait, Puck...\For real? Let's see, let's see!\Shamac!\Okay, that's it.\What'd you think? That was Shamac.\Are you all right?\I-I'm fine! response:	It's not too flashy, but it seems pretty effective!
context: Wait, Puck...\For real? Let's see, let's see!\Shamac!\Okay, that's it.\What'd you think? That was Shamac.\Are you all right?\I-I'm fine!\It's not too flashy, but it seems pretty effective! response:	So I can also use this Shamac, right?
context: For real? Let's see, let's see!\Shamac!\Okay, that's it.\What'd you think? That was Shamac.\Are you all right?\I-I'm fine!\It's not too flashy, but it seems pretty effective!\So I can also use this Shamac, right? response:	Well, that depends on your training.
context: Shamac!\Okay, that's it.\What'd you think? That was Shamac.\Are you all right?\I-I'm fine!\It's not too flashy, but it seems pretty effective!\So I can also use this Shamac, right?\Well, that depends on your training. response:	Want to try the beginner's course?
context: Okay, that's it.\What'd you think? That was Shamac.\Are you all right?\I-I'm fine!\It's not too flashy, but it seems pretty effective!\So I can also use this Shamac, right?\Well, that depends on your training.\Want to try the beginner's course? response:	Please, Master!
context: What'd you think? That was Shamac.\Are you all right?\I-I'm fine!\It's not too flashy, but it seems pretty effective!\So I can also use this Shamac, right?\Well, that depends on your training.\Want to try the beginner's course?\Please, Master! response:	I'll act as a support, and use the mana inside you,
context: Are you all right?\I-I'm fine!\It's not too flashy, but it seems pretty effective!\So I can also use this Shamac, right?\Well, that depends on your training.\Want to try the beginner's course?\Please, Master!\I'll act as a support, and use the mana inside you, response:	so the magic will come from your own gate.
context: I-I'm fine!\It's not too flashy, but it seems pretty effective!\So I can also use this Shamac, right?\Well, that depends on your training.\Want to try the beginner's course?\Please, Master!\I'll act as a support, and use the mana inside you,\so the magic will come from your own gate. response:	Lia, on the off-chance that Subaru's magic goes out of control and explodes,
context: It's not too flashy, but it seems pretty effective!\So I can also use this Shamac, right?\Well, that depends on your training.\Want to try the beginner's course?\Please, Master!\I'll act as a support, and use the mana inside you,\so the magic will come from your own gate.\Lia, on the off-chance that Subaru's magic goes out of control and explodes, response:	you should step away, so your clothes don't get messy.
context: So I can also use this Shamac, right?\Well, that depends on your training.\Want to try the beginner's course?\Please, Master!\I'll act as a support, and use the mana inside you,\so the magic will come from your own gate.\Lia, on the off-chance that Subaru's magic goes out of control and explodes,\you should step away, so your clothes don't get messy. response:	That only happens if I screw up really bad, right?!
context: Well, that depends on your training.\Want to try the beginner's course?\Please, Master!\I'll act as a support, and use the mana inside you,\so the magic will come from your own gate.\Lia, on the off-chance that Subaru's magic goes out of control and explodes,\you should step away, so your clothes don't get messy.\That only happens if I screw up really bad, right?! response:	If you can make relaxed, lighthearted comments like that, you'll be fine.
context: Want to try the beginner's course?\Please, Master!\I'll act as a support, and use the mana inside you,\so the magic will come from your own gate.\Lia, on the off-chance that Subaru's magic goes out of control and explodes,\you should step away, so your clothes don't get messy.\That only happens if I screw up really bad, right?!\If you can make relaxed, lighthearted comments like that, you'll be fine. response:	Now, visualize the flow of mana through your body.
context: Please, Master!\I'll act as a support, and use the mana inside you,\so the magic will come from your own gate.\Lia, on the off-chance that Subaru's magic goes out of control and explodes,\you should step away, so your clothes don't get messy.\That only happens if I screw up really bad, right?!\If you can make relaxed, lighthearted comments like that, you'll be fine.\Now, visualize the flow of mana through your body. response:	Then expel a part of it, through your gate, out of your body.
context: I'll act as a support, and use the mana inside you,\so the magic will come from your own gate.\Lia, on the off-chance that Subaru's magic goes out of control and explodes,\you should step away, so your clothes don't get messy.\That only happens if I screw up really bad, right?!\If you can make relaxed, lighthearted comments like that, you'll be fine.\Now, visualize the flow of mana through your body.\Then expel a part of it, through your gate, out of your body. response:	Visualizing, I can do.
context: so the magic will come from your own gate.\Lia, on the off-chance that Subaru's magic goes out of control and explodes,\you should step away, so your clothes don't get messy.\That only happens if I screw up really bad, right?!\If you can make relaxed, lighthearted comments like that, you'll be fine.\Now, visualize the flow of mana through your body.\Then expel a part of it, through your gate, out of your body.\Visualizing, I can do. response:	Fantasizing is what I do best.
