context: These two chicks sure are charming response:	I'm I hallucinating?
context: My body along with her face\Does that make us prettier?\The secret to conquering girls\Is to leave an unforgettable impression\He already fainted\Sis, we can properly enjoy him\Eww,\What's that smell? response:	It really spoils my appetite
context: Does that make us prettier?\The secret to conquering girls\Is to leave an unforgettable impression\He already fainted\Sis, we can properly enjoy him\Eww,\What's that smell?\It really spoils my appetite response:	Oh gawd!
context: The secret to conquering girls\Is to leave an unforgettable impression\He already fainted\Sis, we can properly enjoy him\Eww,\What's that smell?\It really spoils my appetite\Oh gawd! response:	He's wetting himself!
context: Is to leave an unforgettable impression\He already fainted\Sis, we can properly enjoy him\Eww,\What's that smell?\It really spoils my appetite\Oh gawd!\He's wetting himself! response:	It's out of control!
context: He already fainted\Sis, we can properly enjoy him\Eww,\What's that smell?\It really spoils my appetite\Oh gawd!\He's wetting himself!\It's out of control! response:	Sigh,
context: Sis, we can properly enjoy him\Eww,\What's that smell?\It really spoils my appetite\Oh gawd!\He's wetting himself!\It's out of control!\Sigh, response:	Finding food to eat is sure difficult for monsters
context: Eww,\What's that smell?\It really spoils my appetite\Oh gawd!\He's wetting himself!\It's out of control!\Sigh,\Finding food to eat is sure difficult for monsters response:	Firstly,
context: What's that smell?\It really spoils my appetite\Oh gawd!\He's wetting himself!\It's out of control!\Sigh,\Finding food to eat is sure difficult for monsters\Firstly, response:	It's better for us if the prey has a stronger Qi3
context: It really spoils my appetite\Oh gawd!\He's wetting himself!\It's out of control!\Sigh,\Finding food to eat is sure difficult for monsters\Firstly,\It's better for us if the prey has a stronger Qi3 response:	Qi is determined by age
context: Oh gawd!\He's wetting himself!\It's out of control!\Sigh,\Finding food to eat is sure difficult for monsters\Firstly,\It's better for us if the prey has a stronger Qi3\Qi is determined by age response:	The older the prey, the weaker the Qi
context: He's wetting himself!\It's out of control!\Sigh,\Finding food to eat is sure difficult for monsters\Firstly,\It's better for us if the prey has a stronger Qi3\Qi is determined by age\The older the prey, the weaker the Qi response:	We were lucky to find one with a strong Qi
context: It's out of control!\Sigh,\Finding food to eat is sure difficult for monsters\Firstly,\It's better for us if the prey has a stronger Qi3\Qi is determined by age\The older the prey, the weaker the Qi\We were lucky to find one with a strong Qi response:	But he ended up wetting himself
context: Sigh,\Finding food to eat is sure difficult for monsters\Firstly,\It's better for us if the prey has a stronger Qi3\Qi is determined by age\The older the prey, the weaker the Qi\We were lucky to find one with a strong Qi\But he ended up wetting himself response:	I guess we'll have to test our luck elsewhere
context: Finding food to eat is sure difficult for monsters\Firstly,\It's better for us if the prey has a stronger Qi3\Qi is determined by age\The older the prey, the weaker the Qi\We were lucky to find one with a strong Qi\But he ended up wetting himself\I guess we'll have to test our luck elsewhere response:	There's someone here this late?
context: Firstly,\It's better for us if the prey has a stronger Qi3\Qi is determined by age\The older the prey, the weaker the Qi\We were lucky to find one with a strong Qi\But he ended up wetting himself\I guess we'll have to test our luck elsewhere\There's someone here this late? response:	Is that what they call a nerd?
context: It's better for us if the prey has a stronger Qi3\Qi is determined by age\The older the prey, the weaker the Qi\We were lucky to find one with a strong Qi\But he ended up wetting himself\I guess we'll have to test our luck elsewhere\There's someone here this late?\Is that what they call a nerd? response:	Nerd or dweeb
context: Qi is determined by age\The older the prey, the weaker the Qi\We were lucky to find one with a strong Qi\But he ended up wetting himself\I guess we'll have to test our luck elsewhere\There's someone here this late?\Is that what they call a nerd?\Nerd or dweeb response:	As long as we've eaten
context: The older the prey, the weaker the Qi\We were lucky to find one with a strong Qi\But he ended up wetting himself\I guess we'll have to test our luck elsewhere\There's someone here this late?\Is that what they call a nerd?\Nerd or dweeb\As long as we've eaten response:	His strong and robust Qi really is making my mouth water
context: We were lucky to find one with a strong Qi\But he ended up wetting himself\I guess we'll have to test our luck elsewhere\There's someone here this late?\Is that what they call a nerd?\Nerd or dweeb\As long as we've eaten\His strong and robust Qi really is making my mouth water response:	Dinosaur?
context: But he ended up wetting himself\I guess we'll have to test our luck elsewhere\There's someone here this late?\Is that what they call a nerd?\Nerd or dweeb\As long as we've eaten\His strong and robust Qi really is making my mouth water\Dinosaur? response:	I guess it's hard to be a nerd
context: I guess we'll have to test our luck elsewhere\There's someone here this late?\Is that what they call a nerd?\Nerd or dweeb\As long as we've eaten\His strong and robust Qi really is making my mouth water\Dinosaur?\I guess it's hard to be a nerd response:	You've even lost your identity
context: There's someone here this late?\Is that what they call a nerd?\Nerd or dweeb\As long as we've eaten\His strong and robust Qi really is making my mouth water\Dinosaur?\I guess it's hard to be a nerd\You've even lost your identity response:	Male Student,
context: Is that what they call a nerd?\Nerd or dweeb\As long as we've eaten\His strong and robust Qi really is making my mouth water\Dinosaur?\I guess it's hard to be a nerd\You've even lost your identity\Male Student, response:	Huh?
context: Nerd or dweeb\As long as we've eaten\His strong and robust Qi really is making my mouth water\Dinosaur?\I guess it's hard to be a nerd\You've even lost your identity\Male Student,\Huh? response:	How did you tell I was a man from behind?
context: As long as we've eaten\His strong and robust Qi really is making my mouth water\Dinosaur?\I guess it's hard to be a nerd\You've even lost your identity\Male Student,\Huh?\How did you tell I was a man from behind? response:	Because we specialize in eating men
context: His strong and robust Qi really is making my mouth water\Dinosaur?\I guess it's hard to be a nerd\You've even lost your identity\Male Student,\Huh?\How did you tell I was a man from behind?\Because we specialize in eating men response:	Wah! So scary!
context: Dinosaur?\I guess it's hard to be a nerd\You've even lost your identity\Male Student,\Huh?\How did you tell I was a man from behind?\Because we specialize in eating men\Wah! So scary! response:	Now that you know, just give up, and let us eat you!
context: I guess it's hard to be a nerd\You've even lost your identity\Male Student,\Huh?\How did you tell I was a man from behind?\Because we specialize in eating men\Wah! So scary!\Now that you know, just give up, and let us eat you! response:	I don't want to
context: You've even lost your identity\Male Student,\Huh?\How did you tell I was a man from behind?\Because we specialize in eating men\Wah! So scary!\Now that you know, just give up, and let us eat you!\I don't want to response:	Why, why can't we move?
context: Male Student,\Huh?\How did you tell I was a man from behind?\Because we specialize in eating men\Wah! So scary!\Now that you know, just give up, and let us eat you!\I don't want to\Why, why can't we move? response:	This, this gong4 is?
context: Huh?\How did you tell I was a man from behind?\Because we specialize in eating men\Wah! So scary!\Now that you know, just give up, and let us eat you!\I don't want to\Why, why can't we move?\This, this gong4 is? response:	You are?
context: How did you tell I was a man from behind?\Because we specialize in eating men\Wah! So scary!\Now that you know, just give up, and let us eat you!\I don't want to\Why, why can't we move?\This, this gong4 is?\You are? response:	A night-watcher5?
context: Because we specialize in eating men\Wah! So scary!\Now that you know, just give up, and let us eat you!\I don't want to\Why, why can't we move?\This, this gong4 is?\You are?\A night-watcher5? response:	The job of night-watchers is to find monsters that harm humans
context: Wah! So scary!\Now that you know, just give up, and let us eat you!\I don't want to\Why, why can't we move?\This, this gong4 is?\You are?\A night-watcher5?\The job of night-watchers is to find monsters that harm humans response:	Of course, there are times that the monster cannot be defeated
context: Now that you know, just give up, and let us eat you!\I don't want to\Why, why can't we move?\This, this gong4 is?\You are?\A night-watcher5?\The job of night-watchers is to find monsters that harm humans\Of course, there are times that the monster cannot be defeated response:	Please let us go!
context: I don't want to\Why, why can't we move?\This, this gong4 is?\You are?\A night-watcher5?\The job of night-watchers is to find monsters that harm humans\Of course, there are times that the monster cannot be defeated\Please let us go! response:	We just came her, and didn't know any better!
context: Why, why can't we move?\This, this gong4 is?\You are?\A night-watcher5?\The job of night-watchers is to find monsters that harm humans\Of course, there are times that the monster cannot be defeated\Please let us go!\We just came her, and didn't know any better! response:	No way
context: This, this gong4 is?\You are?\A night-watcher5?\The job of night-watchers is to find monsters that harm humans\Of course, there are times that the monster cannot be defeated\Please let us go!\We just came her, and didn't know any better!\No way response:	If you kill us, then our toxins6 will spread throughout the school
context: You are?\A night-watcher5?\The job of night-watchers is to find monsters that harm humans\Of course, there are times that the monster cannot be defeated\Please let us go!\We just came her, and didn't know any better!\No way\If you kill us, then our toxins6 will spread throughout the school response:	That way, more people will die
context: A night-watcher5?\The job of night-watchers is to find monsters that harm humans\Of course, there are times that the monster cannot be defeated\Please let us go!\We just came her, and didn't know any better!\No way\If you kill us, then our toxins6 will spread throughout the school\That way, more people will die response:	We know that night-watchers can't avoid this
context: The job of night-watchers is to find monsters that harm humans\Of course, there are times that the monster cannot be defeated\Please let us go!\We just came her, and didn't know any better!\No way\If you kill us, then our toxins6 will spread throughout the school\That way, more people will die\We know that night-watchers can't avoid this response:	It's true that I have no way to vanquish you
context: Of course, there are times that the monster cannot be defeated\Please let us go!\We just came her, and didn't know any better!\No way\If you kill us, then our toxins6 will spread throughout the school\That way, more people will die\We know that night-watchers can't avoid this\It's true that I have no way to vanquish you response:	But that's why I prepared a different way to deal with you guys
context: Please let us go!\We just came her, and didn't know any better!\No way\If you kill us, then our toxins6 will spread throughout the school\That way, more people will die\We know that night-watchers can't avoid this\It's true that I have no way to vanquish you\But that's why I prepared a different way to deal with you guys response:	Huh?
context: We just came her, and didn't know any better!\No way\If you kill us, then our toxins6 will spread throughout the school\That way, more people will die\We know that night-watchers can't avoid this\It's true that I have no way to vanquish you\But that's why I prepared a different way to deal with you guys\Huh? response:	The Eight Sided Demon Hunting Flag?
context: No way\If you kill us, then our toxins6 will spread throughout the school\That way, more people will die\We know that night-watchers can't avoid this\It's true that I have no way to vanquish you\But that's why I prepared a different way to deal with you guys\Huh?\The Eight Sided Demon Hunting Flag? response:	We're screwed!
context: If you kill us, then our toxins6 will spread throughout the school\That way, more people will die\We know that night-watchers can't avoid this\It's true that I have no way to vanquish you\But that's why I prepared a different way to deal with you guys\Huh?\The Eight Sided Demon Hunting Flag?\We're screwed! response:	You've waited a long time for this
context: That way, more people will die\We know that night-watchers can't avoid this\It's true that I have no way to vanquish you\But that's why I prepared a different way to deal with you guys\Huh?\The Eight Sided Demon Hunting Flag?\We're screwed!\You've waited a long time for this response:	Come out!
context: We know that night-watchers can't avoid this\It's true that I have no way to vanquish you\But that's why I prepared a different way to deal with you guys\Huh?\The Eight Sided Demon Hunting Flag?\We're screwed!\You've waited a long time for this\Come out! response:	(I can finally go pimping again!)
context: It's true that I have no way to vanquish you\But that's why I prepared a different way to deal with you guys\Huh?\The Eight Sided Demon Hunting Flag?\We're screwed!\You've waited a long time for this\Come out!\(I can finally go pimping again!) response:	(Bro, thanks for letting us out again)
context: But that's why I prepared a different way to deal with you guys\Huh?\The Eight Sided Demon Hunting Flag?\We're screwed!\You've waited a long time for this\Come out!\(I can finally go pimping again!)\(Bro, thanks for letting us out again) response:	(What beautiful ladies!)
context: Huh?\The Eight Sided Demon Hunting Flag?\We're screwed!\You've waited a long time for this\Come out!\(I can finally go pimping again!)\(Bro, thanks for letting us out again)\(What beautiful ladies!) response:	Bro, if your going to catch them
context: The Eight Sided Demon Hunting Flag?\We're screwed!\You've waited a long time for this\Come out!\(I can finally go pimping again!)\(Bro, thanks for letting us out again)\(What beautiful ladies!)\Bro, if your going to catch them response:	Then save one for breeding
context: We're screwed!\You've waited a long time for this\Come out!\(I can finally go pimping again!)\(Bro, thanks for letting us out again)\(What beautiful ladies!)\Bro, if your going to catch them\Then save one for breeding response:	Close the doors and windows
context: You've waited a long time for this\Come out!\(I can finally go pimping again!)\(Bro, thanks for letting us out again)\(What beautiful ladies!)\Bro, if your going to catch them\Then save one for breeding\Close the doors and windows response:	Don't disturb me as I cast the spell
context: Come out!\(I can finally go pimping again!)\(Bro, thanks for letting us out again)\(What beautiful ladies!)\Bro, if your going to catch them\Then save one for breeding\Close the doors and windows\Don't disturb me as I cast the spell response:	Sis, what are we going to do?
context: (I can finally go pimping again!)\(Bro, thanks for letting us out again)\(What beautiful ladies!)\Bro, if your going to catch them\Then save one for breeding\Close the doors and windows\Don't disturb me as I cast the spell\Sis, what are we going to do? response:	His familiars are going to absorb our souls
context: (Bro, thanks for letting us out again)\(What beautiful ladies!)\Bro, if your going to catch them\Then save one for breeding\Close the doors and windows\Don't disturb me as I cast the spell\Sis, what are we going to do?\His familiars are going to absorb our souls response:	We don't want to live our lives with these old pervers!
context: (What beautiful ladies!)\Bro, if your going to catch them\Then save one for breeding\Close the doors and windows\Don't disturb me as I cast the spell\Sis, what are we going to do?\His familiars are going to absorb our souls\We don't want to live our lives with these old pervers! response:	Let clouds scatter the mortal body
context: Bro, if your going to catch them\Then save one for breeding\Close the doors and windows\Don't disturb me as I cast the spell\Sis, what are we going to do?\His familiars are going to absorb our souls\We don't want to live our lives with these old pervers!\Let clouds scatter the mortal body response:	Primordial spirits I summon
context: Then save one for breeding\Close the doors and windows\Don't disturb me as I cast the spell\Sis, what are we going to do?\His familiars are going to absorb our souls\We don't want to live our lives with these old pervers!\Let clouds scatter the mortal body\Primordial spirits I summon response:	The blood of my Soul
context: Close the doors and windows\Don't disturb me as I cast the spell\Sis, what are we going to do?\His familiars are going to absorb our souls\We don't want to live our lives with these old pervers!\Let clouds scatter the mortal body\Primordial spirits I summon\The blood of my Soul response:	I command thee!
context: Don't disturb me as I cast the spell\Sis, what are we going to do?\His familiars are going to absorb our souls\We don't want to live our lives with these old pervers!\Let clouds scatter the mortal body\Primordial spirits I summon\The blood of my Soul\I command thee! response:	Didn't I tell you to close the windows?
context: Sis, what are we going to do?\His familiars are going to absorb our souls\We don't want to live our lives with these old pervers!\Let clouds scatter the mortal body\Primordial spirits I summon\The blood of my Soul\I command thee!\Didn't I tell you to close the windows? response:	Huh? Where'd my Familiars go?
context: His familiars are going to absorb our souls\We don't want to live our lives with these old pervers!\Let clouds scatter the mortal body\Primordial spirits I summon\The blood of my Soul\I command thee!\Didn't I tell you to close the windows?\Huh? Where'd my Familiars go? response:	Who dares steal my prey?
context: We don't want to live our lives with these old pervers!\Let clouds scatter the mortal body\Primordial spirits I summon\The blood of my Soul\I command thee!\Didn't I tell you to close the windows?\Huh? Where'd my Familiars go?\Who dares steal my prey? response:	NOOO!!!
context: Let clouds scatter the mortal body\Primordial spirits I summon\The blood of my Soul\I command thee!\Didn't I tell you to close the windows?\Huh? Where'd my Familiars go?\Who dares steal my prey?\NOOO!!! response:	It's that stray spirit again!
context: Primordial spirits I summon\The blood of my Soul\I command thee!\Didn't I tell you to close the windows?\Huh? Where'd my Familiars go?\Who dares steal my prey?\NOOO!!!\It's that stray spirit again! response:	I've been after these two for a couple of days
context: The blood of my Soul\I command thee!\Didn't I tell you to close the windows?\Huh? Where'd my Familiars go?\Who dares steal my prey?\NOOO!!!\It's that stray spirit again!\I've been after these two for a couple of days response:	How could I let them escape
context: I command thee!\Didn't I tell you to close the windows?\Huh? Where'd my Familiars go?\Who dares steal my prey?\NOOO!!!\It's that stray spirit again!\I've been after these two for a couple of days\How could I let them escape response:	The job of spirits is to kill monsters
context: Didn't I tell you to close the windows?\Huh? Where'd my Familiars go?\Who dares steal my prey?\NOOO!!!\It's that stray spirit again!\I've been after these two for a couple of days\How could I let them escape\The job of spirits is to kill monsters response:	None will be spared
context: Huh? Where'd my Familiars go?\Who dares steal my prey?\NOOO!!!\It's that stray spirit again!\I've been after these two for a couple of days\How could I let them escape\The job of spirits is to kill monsters\None will be spared response:	Take us with you!
context: Who dares steal my prey?\NOOO!!!\It's that stray spirit again!\I've been after these two for a couple of days\How could I let them escape\The job of spirits is to kill monsters\None will be spared\Take us with you! response:	Let go! I don't want to face a Spirit
context: NOOO!!!\It's that stray spirit again!\I've been after these two for a couple of days\How could I let them escape\The job of spirits is to kill monsters\None will be spared\Take us with you!\Let go! I don't want to face a Spirit response:	Night-watchers and stray spirits both serve to protect humanity
context: It's that stray spirit again!\I've been after these two for a couple of days\How could I let them escape\The job of spirits is to kill monsters\None will be spared\Take us with you!\Let go! I don't want to face a Spirit\Night-watchers and stray spirits both serve to protect humanity response:	They just do it differently
context: I've been after these two for a couple of days\How could I let them escape\The job of spirits is to kill monsters\None will be spared\Take us with you!\Let go! I don't want to face a Spirit\Night-watchers and stray spirits both serve to protect humanity\They just do it differently response:	You gong beaters really like to mingle with monsters
context: How could I let them escape\The job of spirits is to kill monsters\None will be spared\Take us with you!\Let go! I don't want to face a Spirit\Night-watchers and stray spirits both serve to protect humanity\They just do it differently\You gong beaters really like to mingle with monsters response:	Although we're not as extreme as you
context: The job of spirits is to kill monsters\None will be spared\Take us with you!\Let go! I don't want to face a Spirit\Night-watchers and stray spirits both serve to protect humanity\They just do it differently\You gong beaters really like to mingle with monsters\Although we're not as extreme as you response:	But,
context: None will be spared\Take us with you!\Let go! I don't want to face a Spirit\Night-watchers and stray spirits both serve to protect humanity\They just do it differently\You gong beaters really like to mingle with monsters\Although we're not as extreme as you\But, response:	Shut your mouth!
context: Take us with you!\Let go! I don't want to face a Spirit\Night-watchers and stray spirits both serve to protect humanity\They just do it differently\You gong beaters really like to mingle with monsters\Although we're not as extreme as you\But,\Shut your mouth! response:	I'll never let anyone insult the name of night-watchers!!
context: Let go! I don't want to face a Spirit\Night-watchers and stray spirits both serve to protect humanity\They just do it differently\You gong beaters really like to mingle with monsters\Although we're not as extreme as you\But,\Shut your mouth!\I'll never let anyone insult the name of night-watchers!! response:	You impure Spirit
context: Night-watchers and stray spirits both serve to protect humanity\They just do it differently\You gong beaters really like to mingle with monsters\Although we're not as extreme as you\But,\Shut your mouth!\I'll never let anyone insult the name of night-watchers!!\You impure Spirit response:	What did you say?
context: They just do it differently\You gong beaters really like to mingle with monsters\Although we're not as extreme as you\But,\Shut your mouth!\I'll never let anyone insult the name of night-watchers!!\You impure Spirit\What did you say? response:	So what? All Spirits are impure anyways
context: You gong beaters really like to mingle with monsters\Although we're not as extreme as you\But,\Shut your mouth!\I'll never let anyone insult the name of night-watchers!!\You impure Spirit\What did you say?\So what? All Spirits are impure anyways response:	You stupid gong beater!
context: Although we're not as extreme as you\But,\Shut your mouth!\I'll never let anyone insult the name of night-watchers!!\You impure Spirit\What did you say?\So what? All Spirits are impure anyways\You stupid gong beater! response:	Bro! We support you!
context: But,\Shut your mouth!\I'll never let anyone insult the name of night-watchers!!\You impure Spirit\What did you say?\So what? All Spirits are impure anyways\You stupid gong beater!\Bro! We support you! response:	Headmaster,
context: Shut your mouth!\I'll never let anyone insult the name of night-watchers!!\You impure Spirit\What did you say?\So what? All Spirits are impure anyways\You stupid gong beater!\Bro! We support you!\Headmaster, response:	The two new censors are fighting on school grounds
context: I'll never let anyone insult the name of night-watchers!!\You impure Spirit\What did you say?\So what? All Spirits are impure anyways\You stupid gong beater!\Bro! We support you!\Headmaster,\The two new censors are fighting on school grounds response:	Kekeke,
context: You impure Spirit\What did you say?\So what? All Spirits are impure anyways\You stupid gong beater!\Bro! We support you!\Headmaster,\The two new censors are fighting on school grounds\Kekeke, response:	The new students sure are lively
context: What did you say?\So what? All Spirits are impure anyways\You stupid gong beater!\Bro! We support you!\Headmaster,\The two new censors are fighting on school grounds\Kekeke,\The new students sure are lively response:	These two sprouts are pretty impressive
context: So what? All Spirits are impure anyways\You stupid gong beater!\Bro! We support you!\Headmaster,\The two new censors are fighting on school grounds\Kekeke,\The new students sure are lively\These two sprouts are pretty impressive response:	Headmaster,
context: You stupid gong beater!\Bro! We support you!\Headmaster,\The two new censors are fighting on school grounds\Kekeke,\The new students sure are lively\These two sprouts are pretty impressive\Headmaster, response:	This looks like a one sided fight
context: Bro! We support you!\Headmaster,\The two new censors are fighting on school grounds\Kekeke,\The new students sure are lively\These two sprouts are pretty impressive\Headmaster,\This looks like a one sided fight response:	Seeing the youthfulness of two students
context: Headmaster,\The two new censors are fighting on school grounds\Kekeke,\The new students sure are lively\These two sprouts are pretty impressive\Headmaster,\This looks like a one sided fight\Seeing the youthfulness of two students response:	It reminds me of an ancient poem
context: The two new censors are fighting on school grounds\Kekeke,\The new students sure are lively\These two sprouts are pretty impressive\Headmaster,\This looks like a one sided fight\Seeing the youthfulness of two students\It reminds me of an ancient poem response:	I look up
context: Kekeke,\The new students sure are lively\These two sprouts are pretty impressive\Headmaster,\This looks like a one sided fight\Seeing the youthfulness of two students\It reminds me of an ancient poem\I look up response:	The moon is in the sky
context: The new students sure are lively\These two sprouts are pretty impressive\Headmaster,\This looks like a one sided fight\Seeing the youthfulness of two students\It reminds me of an ancient poem\I look up\The moon is in the sky response:	How many dreams?
context: These two sprouts are pretty impressive\Headmaster,\This looks like a one sided fight\Seeing the youthfulness of two students\It reminds me of an ancient poem\I look up\The moon is in the sky\How many dreams? response:	Are floating in freedom
context: Headmaster,\This looks like a one sided fight\Seeing the youthfulness of two students\It reminds me of an ancient poem\I look up\The moon is in the sky\How many dreams?\Are floating in freedom response:	Dahm it,
context: This looks like a one sided fight\Seeing the youthfulness of two students\It reminds me of an ancient poem\I look up\The moon is in the sky\How many dreams?\Are floating in freedom\Dahm it, response:	I can't beat her in hand to hand combat
context: Seeing the youthfulness of two students\It reminds me of an ancient poem\I look up\The moon is in the sky\How many dreams?\Are floating in freedom\Dahm it,\I can't beat her in hand to hand combat response:	So unfaithful! They left already!
