context: This is... Lord Wales'... response:	The letter has been taken,
context: I can't stay in clothes stained from such a long journey!\So I was just changing clothes.\Oh, so there was more laundry.\Geez.\If you complain too much, you can do without food!\Yeah, yeah...\How can you go back to normal like that?\You kissed me! response:	You know...
context: So I was just changing clothes.\Oh, so there was more laundry.\Geez.\If you complain too much, you can do without food!\Yeah, yeah...\How can you go back to normal like that?\You kissed me!\You know... response:	What is it?
context: Oh, so there was more laundry.\Geez.\If you complain too much, you can do without food!\Yeah, yeah...\How can you go back to normal like that?\You kissed me!\You know...\What is it? response:	How do I put it...
context: Geez.\If you complain too much, you can do without food!\Yeah, yeah...\How can you go back to normal like that?\You kissed me!\You know...\What is it?\How do I put it... response:	Cheer up, okay?
context: If you complain too much, you can do without food!\Yeah, yeah...\How can you go back to normal like that?\You kissed me!\You know...\What is it?\How do I put it...\Cheer up, okay? response:	Well, this is about all I can say.
context: Yeah, yeah...\How can you go back to normal like that?\You kissed me!\You know...\What is it?\How do I put it...\Cheer up, okay?\Well, this is about all I can say. response:	Saito...
context: How can you go back to normal like that?\You kissed me!\You know...\What is it?\How do I put it...\Cheer up, okay?\Well, this is about all I can say.\Saito... response:	The elastic is broken.
context: You kissed me!\You know...\What is it?\How do I put it...\Cheer up, okay?\Well, this is about all I can say.\Saito...\The elastic is broken. response:	Yeah, it's broken for sure.
context: You know...\What is it?\How do I put it...\Cheer up, okay?\Well, this is about all I can say.\Saito...\The elastic is broken.\Yeah, it's broken for sure. response:	What does that mean?
context: What is it?\How do I put it...\Cheer up, okay?\Well, this is about all I can say.\Saito...\The elastic is broken.\Yeah, it's broken for sure.\What does that mean? response:	You say that, but...
context: How do I put it...\Cheer up, okay?\Well, this is about all I can say.\Saito...\The elastic is broken.\Yeah, it's broken for sure.\What does that mean?\You say that, but... response:	Oh, well.
context: Cheer up, okay?\Well, this is about all I can say.\Saito...\The elastic is broken.\Yeah, it's broken for sure.\What does that mean?\You say that, but...\Oh, well. response:	You don't suppose, back then...
context: Well, this is about all I can say.\Saito...\The elastic is broken.\Yeah, it's broken for sure.\What does that mean?\You say that, but...\Oh, well.\You don't suppose, back then... response:	Back then?
context: Saito...\The elastic is broken.\Yeah, it's broken for sure.\What does that mean?\You say that, but...\Oh, well.\You don't suppose, back then...\Back then? response:	Oh, no, nothing.
context: The elastic is broken.\Yeah, it's broken for sure.\What does that mean?\You say that, but...\Oh, well.\You don't suppose, back then...\Back then?\Oh, no, nothing. response:	I mean, it's not something I did on purpose!
context: Yeah, it's broken for sure.\What does that mean?\You say that, but...\Oh, well.\You don't suppose, back then...\Back then?\Oh, no, nothing.\I mean, it's not something I did on purpose! response:	I'm just disciplining a familiar
context: What does that mean?\You say that, but...\Oh, well.\You don't suppose, back then...\Back then?\Oh, no, nothing.\I mean, it's not something I did on purpose!\I'm just disciplining a familiar response:	that doesn't take good care of his master's belongings.
context: You say that, but...\Oh, well.\You don't suppose, back then...\Back then?\Oh, no, nothing.\I mean, it's not something I did on purpose!\I'm just disciplining a familiar\that doesn't take good care of his master's belongings. response:	I can't possibly be disciplined over a pair of panties!
context: Oh, well.\You don't suppose, back then...\Back then?\Oh, no, nothing.\I mean, it's not something I did on purpose!\I'm just disciplining a familiar\that doesn't take good care of his master's belongings.\I can't possibly be disciplined over a pair of panties! response:	It's not that I wanted to do that when I did it, either!
context: You don't suppose, back then...\Back then?\Oh, no, nothing.\I mean, it's not something I did on purpose!\I'm just disciplining a familiar\that doesn't take good care of his master's belongings.\I can't possibly be disciplined over a pair of panties!\It's not that I wanted to do that when I did it, either! response:	That's right! You're just a familiar because you can't help it,
context: Back then?\Oh, no, nothing.\I mean, it's not something I did on purpose!\I'm just disciplining a familiar\that doesn't take good care of his master's belongings.\I can't possibly be disciplined over a pair of panties!\It's not that I wanted to do that when I did it, either!\That's right! You're just a familiar because you can't help it, response:	because otherwise you can't eat!
context: Oh, no, nothing.\I mean, it's not something I did on purpose!\I'm just disciplining a familiar\that doesn't take good care of his master's belongings.\I can't possibly be disciplined over a pair of panties!\It's not that I wanted to do that when I did it, either!\That's right! You're just a familiar because you can't help it,\because otherwise you can't eat! response:	That's right! Looks like you do understand!
context: I mean, it's not something I did on purpose!\I'm just disciplining a familiar\that doesn't take good care of his master's belongings.\I can't possibly be disciplined over a pair of panties!\It's not that I wanted to do that when I did it, either!\That's right! You're just a familiar because you can't help it,\because otherwise you can't eat!\That's right! Looks like you do understand! response:	If you hate it that much, you can get out of here!
context: I'm just disciplining a familiar\that doesn't take good care of his master's belongings.\I can't possibly be disciplined over a pair of panties!\It's not that I wanted to do that when I did it, either!\That's right! You're just a familiar because you can't help it,\because otherwise you can't eat!\That's right! Looks like you do understand!\If you hate it that much, you can get out of here! response:	Oh, is that so?
context: that doesn't take good care of his master's belongings.\I can't possibly be disciplined over a pair of panties!\It's not that I wanted to do that when I did it, either!\That's right! You're just a familiar because you can't help it,\because otherwise you can't eat!\That's right! Looks like you do understand!\If you hate it that much, you can get out of here!\Oh, is that so? response:	This familiar will follow his master's orders, master!
context: I can't possibly be disciplined over a pair of panties!\It's not that I wanted to do that when I did it, either!\That's right! You're just a familiar because you can't help it,\because otherwise you can't eat!\That's right! Looks like you do understand!\If you hate it that much, you can get out of here!\Oh, is that so?\This familiar will follow his master's orders, master! response:	That hurt!
context: It's not that I wanted to do that when I did it, either!\That's right! You're just a familiar because you can't help it,\because otherwise you can't eat!\That's right! Looks like you do understand!\If you hate it that much, you can get out of here!\Oh, is that so?\This familiar will follow his master's orders, master!\That hurt! response:	Geez!
context: That's right! You're just a familiar because you can't help it,\because otherwise you can't eat!\That's right! Looks like you do understand!\If you hate it that much, you can get out of here!\Oh, is that so?\This familiar will follow his master's orders, master!\That hurt!\Geez! response:	I was looking out for her! That selfish girl!
context: because otherwise you can't eat!\That's right! Looks like you do understand!\If you hate it that much, you can get out of here!\Oh, is that so?\This familiar will follow his master's orders, master!\That hurt!\Geez!\I was looking out for her! That selfish girl! response:	Why did I do such a thing?
context: That's right! Looks like you do understand!\If you hate it that much, you can get out of here!\Oh, is that so?\This familiar will follow his master's orders, master!\That hurt!\Geez!\I was looking out for her! That selfish girl!\Why did I do such a thing? response:	Such a thing?
context: If you hate it that much, you can get out of here!\Oh, is that so?\This familiar will follow his master's orders, master!\That hurt!\Geez!\I was looking out for her! That selfish girl!\Why did I do such a thing?\Such a thing? response:	Siesta!
context: Oh, is that so?\This familiar will follow his master's orders, master!\That hurt!\Geez!\I was looking out for her! That selfish girl!\Why did I do such a thing?\Such a thing?\Siesta! response:	That outfit...
context: This familiar will follow his master's orders, master!\That hurt!\Geez!\I was looking out for her! That selfish girl!\Why did I do such a thing?\Such a thing?\Siesta!\That outfit... response:	I was granted vacation, so I'm going home for a while.
context: That hurt!\Geez!\I was looking out for her! That selfish girl!\Why did I do such a thing?\Such a thing?\Siesta!\That outfit...\I was granted vacation, so I'm going home for a while. response:	I see, going back home.
context: Geez!\I was looking out for her! That selfish girl!\Why did I do such a thing?\Such a thing?\Siesta!\That outfit...\I was granted vacation, so I'm going home for a while.\I see, going back home. response:	It's a rather small village.
context: I was looking out for her! That selfish girl!\Why did I do such a thing?\Such a thing?\Siesta!\That outfit...\I was granted vacation, so I'm going home for a while.\I see, going back home.\It's a rather small village. response:	At least, you're lucky you have a place to go back to.
context: Why did I do such a thing?\Such a thing?\Siesta!\That outfit...\I was granted vacation, so I'm going home for a while.\I see, going back home.\It's a rather small village.\At least, you're lucky you have a place to go back to. response:	Come to think of it, you said before
context: Such a thing?\Siesta!\That outfit...\I was granted vacation, so I'm going home for a while.\I see, going back home.\It's a rather small village.\At least, you're lucky you have a place to go back to.\Come to think of it, you said before response:	that your grandfather came from another world?
context: Siesta!\That outfit...\I was granted vacation, so I'm going home for a while.\I see, going back home.\It's a rather small village.\At least, you're lucky you have a place to go back to.\Come to think of it, you said before\that your grandfather came from another world? response:	Yes, that would be my great-grandfather.
context: That outfit...\I was granted vacation, so I'm going home for a while.\I see, going back home.\It's a rather small village.\At least, you're lucky you have a place to go back to.\Come to think of it, you said before\that your grandfather came from another world?\Yes, that would be my great-grandfather. response:	Can you tell me the details of that story?
context: I was granted vacation, so I'm going home for a while.\I see, going back home.\It's a rather small village.\At least, you're lucky you have a place to go back to.\Come to think of it, you said before\that your grandfather came from another world?\Yes, that would be my great-grandfather.\Can you tell me the details of that story? response:	I was on a desperate journey for the sake of our country,
context: I see, going back home.\It's a rather small village.\At least, you're lucky you have a place to go back to.\Come to think of it, you said before\that your grandfather came from another world?\Yes, that would be my great-grandfather.\Can you tell me the details of that story?\I was on a desperate journey for the sake of our country, response:	but Montmorency thinks that I went on vacation to cheat on her.
context: It's a rather small village.\At least, you're lucky you have a place to go back to.\Come to think of it, you said before\that your grandfather came from another world?\Yes, that would be my great-grandfather.\Can you tell me the details of that story?\I was on a desperate journey for the sake of our country,\but Montmorency thinks that I went on vacation to cheat on her. response:	That's all thanks to your usual everyday behavior.
context: At least, you're lucky you have a place to go back to.\Come to think of it, you said before\that your grandfather came from another world?\Yes, that would be my great-grandfather.\Can you tell me the details of that story?\I was on a desperate journey for the sake of our country,\but Montmorency thinks that I went on vacation to cheat on her.\That's all thanks to your usual everyday behavior. response:	So can you tell her...
context: Come to think of it, you said before\that your grandfather came from another world?\Yes, that would be my great-grandfather.\Can you tell me the details of that story?\I was on a desperate journey for the sake of our country,\but Montmorency thinks that I went on vacation to cheat on her.\That's all thanks to your usual everyday behavior.\So can you tell her... response:	Geez, Saito, are you cheating with a girl like that again?
context: that your grandfather came from another world?\Yes, that would be my great-grandfather.\Can you tell me the details of that story?\I was on a desperate journey for the sake of our country,\but Montmorency thinks that I went on vacation to cheat on her.\That's all thanks to your usual everyday behavior.\So can you tell her...\Geez, Saito, are you cheating with a girl like that again? response:	Kirche! My favor...
context: Yes, that would be my great-grandfather.\Can you tell me the details of that story?\I was on a desperate journey for the sake of our country,\but Montmorency thinks that I went on vacation to cheat on her.\That's all thanks to your usual everyday behavior.\So can you tell her...\Geez, Saito, are you cheating with a girl like that again?\Kirche! My favor... response:	Shut up!
context: Can you tell me the details of that story?\I was on a desperate journey for the sake of our country,\but Montmorency thinks that I went on vacation to cheat on her.\That's all thanks to your usual everyday behavior.\So can you tell her...\Geez, Saito, are you cheating with a girl like that again?\Kirche! My favor...\Shut up! response:	Two dragons?!
context: I was on a desperate journey for the sake of our country,\but Montmorency thinks that I went on vacation to cheat on her.\That's all thanks to your usual everyday behavior.\So can you tell her...\Geez, Saito, are you cheating with a girl like that again?\Kirche! My favor...\Shut up!\Two dragons?! response:	Yes.
context: but Montmorency thinks that I went on vacation to cheat on her.\That's all thanks to your usual everyday behavior.\So can you tell her...\Geez, Saito, are you cheating with a girl like that again?\Kirche! My favor...\Shut up!\Two dragons?!\Yes. response:	The first one disappeared in the solar eclipse,
context: That's all thanks to your usual everyday behavior.\So can you tell her...\Geez, Saito, are you cheating with a girl like that again?\Kirche! My favor...\Shut up!\Two dragons?!\Yes.\The first one disappeared in the solar eclipse, response:	and my great-grandfather was aboard the second dragon.
context: So can you tell her...\Geez, Saito, are you cheating with a girl like that again?\Kirche! My favor...\Shut up!\Two dragons?!\Yes.\The first one disappeared in the solar eclipse,\and my great-grandfather was aboard the second dragon. response:	One disappeared from there,
context: Geez, Saito, are you cheating with a girl like that again?\Kirche! My favor...\Shut up!\Two dragons?!\Yes.\The first one disappeared in the solar eclipse,\and my great-grandfather was aboard the second dragon.\One disappeared from there, response:	and the other fell somewhere, they say.
context: Kirche! My favor...\Shut up!\Two dragons?!\Yes.\The first one disappeared in the solar eclipse,\and my great-grandfather was aboard the second dragon.\One disappeared from there,\and the other fell somewhere, they say. response:	Seriously? And what happened to that dragon?
