context: Genshiken response:	I woke up and as usual forgot my cell and missed the Express.
context: I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo! response:	Right now, at this tempo!
context: I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo! response:	Genshiken Right now, at this tempo!
context: Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo! response:	How the wind blows...
context: Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\How the wind blows... response:	This sure is sudden.
context: Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\How the wind blows...\This sure is sudden. response:	And it's this semester.
context: Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\How the wind blows...\This sure is sudden.\And it's this semester. response:	At least wait until the end of the school year.
context: Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\How the wind blows...\This sure is sudden.\And it's this semester.\At least wait until the end of the school year. response:	You said it.
context: At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\How the wind blows...\This sure is sudden.\And it's this semester.\At least wait until the end of the school year.\You said it. response:	Notice from Club Student Council
context: Right now, at this tempo!\Genshiken Right now, at this tempo!\How the wind blows...\This sure is sudden.\And it's this semester.\At least wait until the end of the school year.\You said it.\Notice from Club Student Council response:	As a result of no evident activity it has been determined that...
context: Genshiken Right now, at this tempo!\How the wind blows...\This sure is sudden.\And it's this semester.\At least wait until the end of the school year.\You said it.\Notice from Club Student Council\As a result of no evident activity it has been determined that... response:	The Society for the Study of Modern Visual Culture
context: How the wind blows...\This sure is sudden.\And it's this semester.\At least wait until the end of the school year.\You said it.\Notice from Club Student Council\As a result of no evident activity it has been determined that...\The Society for the Study of Modern Visual Culture response:	S-She's all smiles.
context: This sure is sudden.\And it's this semester.\At least wait until the end of the school year.\You said it.\Notice from Club Student Council\As a result of no evident activity it has been determined that...\The Society for the Study of Modern Visual Culture\S-She's all smiles. response:	That's a Kohsaka-esque smile.
context: And it's this semester.\At least wait until the end of the school year.\You said it.\Notice from Club Student Council\As a result of no evident activity it has been determined that...\The Society for the Study of Modern Visual Culture\S-She's all smiles.\That's a Kohsaka-esque smile. response:	You really look happy...
context: At least wait until the end of the school year.\You said it.\Notice from Club Student Council\As a result of no evident activity it has been determined that...\The Society for the Study of Modern Visual Culture\S-She's all smiles.\That's a Kohsaka-esque smile.\You really look happy... response:	You can speak, you know...
context: You said it.\Notice from Club Student Council\As a result of no evident activity it has been determined that...\The Society for the Study of Modern Visual Culture\S-She's all smiles.\That's a Kohsaka-esque smile.\You really look happy...\You can speak, you know... response:	Oh well, what can you do when the whole club's getting closed down?
context: Notice from Club Student Council\As a result of no evident activity it has been determined that...\The Society for the Study of Modern Visual Culture\S-She's all smiles.\That's a Kohsaka-esque smile.\You really look happy...\You can speak, you know...\Oh well, what can you do when the whole club's getting closed down? response:	Right?
context: As a result of no evident activity it has been determined that...\The Society for the Study of Modern Visual Culture\S-She's all smiles.\That's a Kohsaka-esque smile.\You really look happy...\You can speak, you know...\Oh well, what can you do when the whole club's getting closed down?\Right? response:	That's true.
context: The Society for the Study of Modern Visual Culture\S-She's all smiles.\That's a Kohsaka-esque smile.\You really look happy...\You can speak, you know...\Oh well, what can you do when the whole club's getting closed down?\Right?\That's true. response:	Yeah!
context: S-She's all smiles.\That's a Kohsaka-esque smile.\You really look happy...\You can speak, you know...\Oh well, what can you do when the whole club's getting closed down?\Right?\That's true.\Yeah! response:	What do we do?
context: That's a Kohsaka-esque smile.\You really look happy...\You can speak, you know...\Oh well, what can you do when the whole club's getting closed down?\Right?\That's true.\Yeah!\What do we do? response:	What's that supposed...
context: You really look happy...\You can speak, you know...\Oh well, what can you do when the whole club's getting closed down?\Right?\That's true.\Yeah!\What do we do?\What's that supposed... response:	I guess it's legit, then?
context: You can speak, you know...\Oh well, what can you do when the whole club's getting closed down?\Right?\That's true.\Yeah!\What do we do?\What's that supposed...\I guess it's legit, then? response:	Um...
context: Oh well, what can you do when the whole club's getting closed down?\Right?\That's true.\Yeah!\What do we do?\What's that supposed...\I guess it's legit, then?\Um... response:	Isn't that what it means now that they've decided?
context: Right?\That's true.\Yeah!\What do we do?\What's that supposed...\I guess it's legit, then?\Um...\Isn't that what it means now that they've decided? response:	But I only just recently joined...
context: That's true.\Yeah!\What do we do?\What's that supposed...\I guess it's legit, then?\Um...\Isn't that what it means now that they've decided?\But I only just recently joined... response:	I guess you should've joined the Manga Club or whatever after all.
context: Yeah!\What do we do?\What's that supposed...\I guess it's legit, then?\Um...\Isn't that what it means now that they've decided?\But I only just recently joined...\I guess you should've joined the Manga Club or whatever after all. response:	Well, not that I'd really know.
context: What do we do?\What's that supposed...\I guess it's legit, then?\Um...\Isn't that what it means now that they've decided?\But I only just recently joined...\I guess you should've joined the Manga Club or whatever after all.\Well, not that I'd really know. response:	How can you say that, Saki?
context: What's that supposed...\I guess it's legit, then?\Um...\Isn't that what it means now that they've decided?\But I only just recently joined...\I guess you should've joined the Manga Club or whatever after all.\Well, not that I'd really know.\How can you say that, Saki? response:	Because I'm not a member here!
context: I guess it's legit, then?\Um...\Isn't that what it means now that they've decided?\But I only just recently joined...\I guess you should've joined the Manga Club or whatever after all.\Well, not that I'd really know.\How can you say that, Saki?\Because I'm not a member here! response:	Yet you're here all the time.
context: Um...\Isn't that what it means now that they've decided?\But I only just recently joined...\I guess you should've joined the Manga Club or whatever after all.\Well, not that I'd really know.\How can you say that, Saki?\Because I'm not a member here!\Yet you're here all the time. response:	It ain't because I wanna be.
context: Isn't that what it means now that they've decided?\But I only just recently joined...\I guess you should've joined the Manga Club or whatever after all.\Well, not that I'd really know.\How can you say that, Saki?\Because I'm not a member here!\Yet you're here all the time.\It ain't because I wanna be. response:	Even if Genshiken is dissolved, it won't solve your otaku problems...
context: But I only just recently joined...\I guess you should've joined the Manga Club or whatever after all.\Well, not that I'd really know.\How can you say that, Saki?\Because I'm not a member here!\Yet you're here all the time.\It ain't because I wanna be.\Even if Genshiken is dissolved, it won't solve your otaku problems... response:	Nothing.
context: I guess you should've joined the Manga Club or whatever after all.\Well, not that I'd really know.\How can you say that, Saki?\Because I'm not a member here!\Yet you're here all the time.\It ain't because I wanna be.\Even if Genshiken is dissolved, it won't solve your otaku problems...\Nothing. response:	I wonder why we got chosen.
context: Well, not that I'd really know.\How can you say that, Saki?\Because I'm not a member here!\Yet you're here all the time.\It ain't because I wanna be.\Even if Genshiken is dissolved, it won't solve your otaku problems...\Nothing.\I wonder why we got chosen. response:	Aren't there other clubs that don't appear to be active?
context: How can you say that, Saki?\Because I'm not a member here!\Yet you're here all the time.\It ain't because I wanna be.\Even if Genshiken is dissolved, it won't solve your otaku problems...\Nothing.\I wonder why we got chosen.\Aren't there other clubs that don't appear to be active? response:	Being chosen before Kingaiken does certainly seem a little unreasonable.
context: Because I'm not a member here!\Yet you're here all the time.\It ain't because I wanna be.\Even if Genshiken is dissolved, it won't solve your otaku problems...\Nothing.\I wonder why we got chosen.\Aren't there other clubs that don't appear to be active?\Being chosen before Kingaiken does certainly seem a little unreasonable. response:	K-Kingai?
context: Yet you're here all the time.\It ain't because I wanna be.\Even if Genshiken is dissolved, it won't solve your otaku problems...\Nothing.\I wonder why we got chosen.\Aren't there other clubs that don't appear to be active?\Being chosen before Kingaiken does certainly seem a little unreasonable.\K-Kingai? response:	The Society for the Study of the Present-day Food Service Industry.
context: It ain't because I wanna be.\Even if Genshiken is dissolved, it won't solve your otaku problems...\Nothing.\I wonder why we got chosen.\Aren't there other clubs that don't appear to be active?\Being chosen before Kingaiken does certainly seem a little unreasonable.\K-Kingai?\The Society for the Study of the Present-day Food Service Industry. response:	What's that?
context: Even if Genshiken is dissolved, it won't solve your otaku problems...\Nothing.\I wonder why we got chosen.\Aren't there other clubs that don't appear to be active?\Being chosen before Kingaiken does certainly seem a little unreasonable.\K-Kingai?\The Society for the Study of the Present-day Food Service Industry.\What's that? response:	They mainly try the food at family restaurants.
context: Nothing.\I wonder why we got chosen.\Aren't there other clubs that don't appear to be active?\Being chosen before Kingaiken does certainly seem a little unreasonable.\K-Kingai?\The Society for the Study of the Present-day Food Service Industry.\What's that?\They mainly try the food at family restaurants. response:	That's it?
context: I wonder why we got chosen.\Aren't there other clubs that don't appear to be active?\Being chosen before Kingaiken does certainly seem a little unreasonable.\K-Kingai?\The Society for the Study of the Present-day Food Service Industry.\What's that?\They mainly try the food at family restaurants.\That's it? response:	That's it.
context: Aren't there other clubs that don't appear to be active?\Being chosen before Kingaiken does certainly seem a little unreasonable.\K-Kingai?\The Society for the Study of the Present-day Food Service Industry.\What's that?\They mainly try the food at family restaurants.\That's it?\That's it. response:	And you're below them...
context: Being chosen before Kingaiken does certainly seem a little unreasonable.\K-Kingai?\The Society for the Study of the Present-day Food Service Industry.\What's that?\They mainly try the food at family restaurants.\That's it?\That's it.\And you're below them... response:	All righty.
context: K-Kingai?\The Society for the Study of the Present-day Food Service Industry.\What's that?\They mainly try the food at family restaurants.\That's it?\That's it.\And you're below them...\All righty. response:	Well, it is true that we hardly ever do anything.
context: The Society for the Study of the Present-day Food Service Industry.\What's that?\They mainly try the food at family restaurants.\That's it?\That's it.\And you're below them...\All righty.\Well, it is true that we hardly ever do anything. response:	I guess recycling 90 of what we used...
context: What's that?\They mainly try the food at family restaurants.\That's it?\That's it.\And you're below them...\All righty.\Well, it is true that we hardly ever do anything.\I guess recycling 90 of what we used... response:	Yeah, well...
context: They mainly try the food at family restaurants.\That's it?\That's it.\And you're below them...\All righty.\Well, it is true that we hardly ever do anything.\I guess recycling 90 of what we used...\Yeah, well... response:	Hmph, you guys.
context: That's it?\That's it.\And you're below them...\All righty.\Well, it is true that we hardly ever do anything.\I guess recycling 90 of what we used...\Yeah, well...\Hmph, you guys. response:	You don't have the guts to protest the council, do you?
context: That's it.\And you're below them...\All righty.\Well, it is true that we hardly ever do anything.\I guess recycling 90 of what we used...\Yeah, well...\Hmph, you guys.\You don't have the guts to protest the council, do you? response:	It looks like you're just going to give in.
context: And you're below them...\All righty.\Well, it is true that we hardly ever do anything.\I guess recycling 90 of what we used...\Yeah, well...\Hmph, you guys.\You don't have the guts to protest the council, do you?\It looks like you're just going to give in. response:	Hi there!
context: All righty.\Well, it is true that we hardly ever do anything.\I guess recycling 90 of what we used...\Yeah, well...\Hmph, you guys.\You don't have the guts to protest the council, do you?\It looks like you're just going to give in.\Hi there! response:	So Genshiken's going under?
context: Well, it is true that we hardly ever do anything.\I guess recycling 90 of what we used...\Yeah, well...\Hmph, you guys.\You don't have the guts to protest the council, do you?\It looks like you're just going to give in.\Hi there!\So Genshiken's going under? response:	I had a feeling it would happen eventually, you know.
context: I guess recycling 90 of what we used...\Yeah, well...\Hmph, you guys.\You don't have the guts to protest the council, do you?\It looks like you're just going to give in.\Hi there!\So Genshiken's going under?\I had a feeling it would happen eventually, you know. response:	I mean, it doesn't serve any purpose.
context: Yeah, well...\Hmph, you guys.\You don't have the guts to protest the council, do you?\It looks like you're just going to give in.\Hi there!\So Genshiken's going under?\I had a feeling it would happen eventually, you know.\I mean, it doesn't serve any purpose. response:	Kohsaka, once this place is gone come to the Manga Club.
context: Hmph, you guys.\You don't have the guts to protest the council, do you?\It looks like you're just going to give in.\Hi there!\So Genshiken's going under?\I had a feeling it would happen eventually, you know.\I mean, it doesn't serve any purpose.\Kohsaka, once this place is gone come to the Manga Club. response:	Our arms are open!
context: You don't have the guts to protest the council, do you?\It looks like you're just going to give in.\Hi there!\So Genshiken's going under?\I had a feeling it would happen eventually, you know.\I mean, it doesn't serve any purpose.\Kohsaka, once this place is gone come to the Manga Club.\Our arms are open! response:	Ohno, cosplay's the in thing.
context: It looks like you're just going to give in.\Hi there!\So Genshiken's going under?\I had a feeling it would happen eventually, you know.\I mean, it doesn't serve any purpose.\Kohsaka, once this place is gone come to the Manga Club.\Our arms are open!\Ohno, cosplay's the in thing. response:	We could really use you.
context: Hi there!\So Genshiken's going under?\I had a feeling it would happen eventually, you know.\I mean, it doesn't serve any purpose.\Kohsaka, once this place is gone come to the Manga Club.\Our arms are open!\Ohno, cosplay's the in thing.\We could really use you. response:	Right...
context: So Genshiken's going under?\I had a feeling it would happen eventually, you know.\I mean, it doesn't serve any purpose.\Kohsaka, once this place is gone come to the Manga Club.\Our arms are open!\Ohno, cosplay's the in thing.\We could really use you.\Right... response:	Sexual harassment.
context: I had a feeling it would happen eventually, you know.\I mean, it doesn't serve any purpose.\Kohsaka, once this place is gone come to the Manga Club.\Our arms are open!\Ohno, cosplay's the in thing.\We could really use you.\Right...\Sexual harassment. response:	We don't need Madarame and crew.
context: I mean, it doesn't serve any purpose.\Kohsaka, once this place is gone come to the Manga Club.\Our arms are open!\Ohno, cosplay's the in thing.\We could really use you.\Right...\Sexual harassment.\We don't need Madarame and crew. response:	Is that so.
context: Kohsaka, once this place is gone come to the Manga Club.\Our arms are open!\Ohno, cosplay's the in thing.\We could really use you.\Right...\Sexual harassment.\We don't need Madarame and crew.\Is that so. response:	I don't like him.
context: Our arms are open!\Ohno, cosplay's the in thing.\We could really use you.\Right...\Sexual harassment.\We don't need Madarame and crew.\Is that so.\I don't like him. response:	Nobody likes him.
context: Ohno, cosplay's the in thing.\We could really use you.\Right...\Sexual harassment.\We don't need Madarame and crew.\Is that so.\I don't like him.\Nobody likes him. response:	So that's it?
context: We could really use you.\Right...\Sexual harassment.\We don't need Madarame and crew.\Is that so.\I don't like him.\Nobody likes him.\So that's it? response:	I can't have Kohsaka joining that guy's club.
context: Right...\Sexual harassment.\We don't need Madarame and crew.\Is that so.\I don't like him.\Nobody likes him.\So that's it?\I can't have Kohsaka joining that guy's club. response:	But once this one is gone...
context: Sexual harassment.\We don't need Madarame and crew.\Is that so.\I don't like him.\Nobody likes him.\So that's it?\I can't have Kohsaka joining that guy's club.\But once this one is gone... response:	You'll join them?
context: We don't need Madarame and crew.\Is that so.\I don't like him.\Nobody likes him.\So that's it?\I can't have Kohsaka joining that guy's club.\But once this one is gone...\You'll join them? response:	It's not like you don't do anything.
context: Is that so.\I don't like him.\Nobody likes him.\So that's it?\I can't have Kohsaka joining that guy's club.\But once this one is gone...\You'll join them?\It's not like you don't do anything. response:	What about that cosplay photo session at the festival?
context: I don't like him.\Nobody likes him.\So that's it?\I can't have Kohsaka joining that guy's club.\But once this one is gone...\You'll join them?\It's not like you don't do anything.\What about that cosplay photo session at the festival? response:	But later on, the club council got mad at us for not arranging that beforehand.
context: Nobody likes him.\So that's it?\I can't have Kohsaka joining that guy's club.\But once this one is gone...\You'll join them?\It's not like you don't do anything.\What about that cosplay photo session at the festival?\But later on, the club council got mad at us for not arranging that beforehand. response:	Yeah.
context: So that's it?\I can't have Kohsaka joining that guy's club.\But once this one is gone...\You'll join them?\It's not like you don't do anything.\What about that cosplay photo session at the festival?\But later on, the club council got mad at us for not arranging that beforehand.\Yeah. response:	They were mad, all right.
context: I can't have Kohsaka joining that guy's club.\But once this one is gone...\You'll join them?\It's not like you don't do anything.\What about that cosplay photo session at the festival?\But later on, the club council got mad at us for not arranging that beforehand.\Yeah.\They were mad, all right. response:	Yeah, yeah.
context: But once this one is gone...\You'll join them?\It's not like you don't do anything.\What about that cosplay photo session at the festival?\But later on, the club council got mad at us for not arranging that beforehand.\Yeah.\They were mad, all right.\Yeah, yeah. response:	You guys all piss me off.
context: You'll join them?\It's not like you don't do anything.\What about that cosplay photo session at the festival?\But later on, the club council got mad at us for not arranging that beforehand.\Yeah.\They were mad, all right.\Yeah, yeah.\You guys all piss me off. response:	So, what's it going to be?
context: It's not like you don't do anything.\What about that cosplay photo session at the festival?\But later on, the club council got mad at us for not arranging that beforehand.\Yeah.\They were mad, all right.\Yeah, yeah.\You guys all piss me off.\So, what's it going to be? response:	Come again?
context: What about that cosplay photo session at the festival?\But later on, the club council got mad at us for not arranging that beforehand.\Yeah.\They were mad, all right.\Yeah, yeah.\You guys all piss me off.\So, what's it going to be?\Come again? response:	Are you going to let one scrap of paper and...
context: But later on, the club council got mad at us for not arranging that beforehand.\Yeah.\They were mad, all right.\Yeah, yeah.\You guys all piss me off.\So, what's it going to be?\Come again?\Are you going to let one scrap of paper and... response:	Well?
context: Yeah.\They were mad, all right.\Yeah, yeah.\You guys all piss me off.\So, what's it going to be?\Come again?\Are you going to let one scrap of paper and...\Well? response:	Hold on, didn't you want to see Genshiken fail?
context: They were mad, all right.\Yeah, yeah.\You guys all piss me off.\So, what's it going to be?\Come again?\Are you going to let one scrap of paper and...\Well?\Hold on, didn't you want to see Genshiken fail? response:	Oh yeah, I sure do.
context: Yeah, yeah.\You guys all piss me off.\So, what's it going to be?\Come again?\Are you going to let one scrap of paper and...\Well?\Hold on, didn't you want to see Genshiken fail?\Oh yeah, I sure do. response:	But, I can't stand to see it happen like this!
context: You guys all piss me off.\So, what's it going to be?\Come again?\Are you going to let one scrap of paper and...\Well?\Hold on, didn't you want to see Genshiken fail?\Oh yeah, I sure do.\But, I can't stand to see it happen like this! response:	Or to see you guys not even get mad about it...
context: So, what's it going to be?\Come again?\Are you going to let one scrap of paper and...\Well?\Hold on, didn't you want to see Genshiken fail?\Oh yeah, I sure do.\But, I can't stand to see it happen like this!\Or to see you guys not even get mad about it... response:	Ohno.
context: Come again?\Are you going to let one scrap of paper and...\Well?\Hold on, didn't you want to see Genshiken fail?\Oh yeah, I sure do.\But, I can't stand to see it happen like this!\Or to see you guys not even get mad about it...\Ohno. response:	Yes?
context: Are you going to let one scrap of paper and...\Well?\Hold on, didn't you want to see Genshiken fail?\Oh yeah, I sure do.\But, I can't stand to see it happen like this!\Or to see you guys not even get mad about it...\Ohno.\Yes? response:	Let's go.
context: Well?\Hold on, didn't you want to see Genshiken fail?\Oh yeah, I sure do.\But, I can't stand to see it happen like this!\Or to see you guys not even get mad about it...\Ohno.\Yes?\Let's go. response:	W-Where?
context: Hold on, didn't you want to see Genshiken fail?\Oh yeah, I sure do.\But, I can't stand to see it happen like this!\Or to see you guys not even get mad about it...\Ohno.\Yes?\Let's go.\W-Where? response:	The council office! Come on, stand up.
context: Oh yeah, I sure do.\But, I can't stand to see it happen like this!\Or to see you guys not even get mad about it...\Ohno.\Yes?\Let's go.\W-Where?\The council office! Come on, stand up. response:	But, right now?
context: But, I can't stand to see it happen like this!\Or to see you guys not even get mad about it...\Ohno.\Yes?\Let's go.\W-Where?\The council office! Come on, stand up.\But, right now? response:	Yes!
context: Or to see you guys not even get mad about it...\Ohno.\Yes?\Let's go.\W-Where?\The council office! Come on, stand up.\But, right now?\Yes! response:	Why me?
context: Ohno.\Yes?\Let's go.\W-Where?\The council office! Come on, stand up.\But, right now?\Yes!\Why me? response:	Sex appeal!
context: Yes?\Let's go.\W-Where?\The council office! Come on, stand up.\But, right now?\Yes!\Why me?\Sex appeal! response:	Wh-What do you think?
context: Let's go.\W-Where?\The council office! Come on, stand up.\But, right now?\Yes!\Why me?\Sex appeal!\Wh-What do you think? response:	I think she's totally lost it.
context: W-Where?\The council office! Come on, stand up.\But, right now?\Yes!\Why me?\Sex appeal!\Wh-What do you think?\I think she's totally lost it. response:	L-Looks like trouble.
context: The council office! Come on, stand up.\But, right now?\Yes!\Why me?\Sex appeal!\Wh-What do you think?\I think she's totally lost it.\L-Looks like trouble. response:	What do we do?
context: But, right now?\Yes!\Why me?\Sex appeal!\Wh-What do you think?\I think she's totally lost it.\L-Looks like trouble.\What do we do? response:	I don't know if it matters anymore...
context: Yes!\Why me?\Sex appeal!\Wh-What do you think?\I think she's totally lost it.\L-Looks like trouble.\What do we do?\I don't know if it matters anymore... response:	Club Student Council Of fice
context: Why me?\Sex appeal!\Wh-What do you think?\I think she's totally lost it.\L-Looks like trouble.\What do we do?\I don't know if it matters anymore...\Club Student Council Of fice response:	Ahh, I knew you'd come...
context: Sex appeal!\Wh-What do you think?\I think she's totally lost it.\L-Looks like trouble.\What do we do?\I don't know if it matters anymore...\Club Student Council Of fice\Ahh, I knew you'd come... response:	Stick out your chest.
context: Wh-What do you think?\I think she's totally lost it.\L-Looks like trouble.\What do we do?\I don't know if it matters anymore...\Club Student Council Of fice\Ahh, I knew you'd come...\Stick out your chest. response:	I can't.
context: I think she's totally lost it.\L-Looks like trouble.\What do we do?\I don't know if it matters anymore...\Club Student Council Of fice\Ahh, I knew you'd come...\Stick out your chest.\I can't. response:	Maybe that notice was a little abrupt...
context: L-Looks like trouble.\What do we do?\I don't know if it matters anymore...\Club Student Council Of fice\Ahh, I knew you'd come...\Stick out your chest.\I can't.\Maybe that notice was a little abrupt... response:	I'd like you to reconsider.
context: What do we do?\I don't know if it matters anymore...\Club Student Council Of fice\Ahh, I knew you'd come...\Stick out your chest.\I can't.\Maybe that notice was a little abrupt...\I'd like you to reconsider. response:	Mr. Chairman, I'll handle this.
context: I don't know if it matters anymore...\Club Student Council Of fice\Ahh, I knew you'd come...\Stick out your chest.\I can't.\Maybe that notice was a little abrupt...\I'd like you to reconsider.\Mr. Chairman, I'll handle this. response:	I'm Vice-chairman Kitagawa.
context: Club Student Council Of fice\Ahh, I knew you'd come...\Stick out your chest.\I can't.\Maybe that notice was a little abrupt...\I'd like you to reconsider.\Mr. Chairman, I'll handle this.\I'm Vice-chairman Kitagawa. response:	Let me explain the situation.
context: Ahh, I knew you'd come...\Stick out your chest.\I can't.\Maybe that notice was a little abrupt...\I'd like you to reconsider.\Mr. Chairman, I'll handle this.\I'm Vice-chairman Kitagawa.\Let me explain the situation. response:	One reason is that we are at capacity for club office space.
context: Stick out your chest.\I can't.\Maybe that notice was a little abrupt...\I'd like you to reconsider.\Mr. Chairman, I'll handle this.\I'm Vice-chairman Kitagawa.\Let me explain the situation.\One reason is that we are at capacity for club office space. response:	The applications for new clubs are listed here...
context: I can't.\Maybe that notice was a little abrupt...\I'd like you to reconsider.\Mr. Chairman, I'll handle this.\I'm Vice-chairman Kitagawa.\Let me explain the situation.\One reason is that we are at capacity for club office space.\The applications for new clubs are listed here... response:	Not every one of them is legitimate...
context: Maybe that notice was a little abrupt...\I'd like you to reconsider.\Mr. Chairman, I'll handle this.\I'm Vice-chairman Kitagawa.\Let me explain the situation.\One reason is that we are at capacity for club office space.\The applications for new clubs are listed here...\Not every one of them is legitimate... response:	Still, announcing the closure of clubs without any previous notice is...
context: I'd like you to reconsider.\Mr. Chairman, I'll handle this.\I'm Vice-chairman Kitagawa.\Let me explain the situation.\One reason is that we are at capacity for club office space.\The applications for new clubs are listed here...\Not every one of them is legitimate...\Still, announcing the closure of clubs without any previous notice is... response:	Wait.
context: Mr. Chairman, I'll handle this.\I'm Vice-chairman Kitagawa.\Let me explain the situation.\One reason is that we are at capacity for club office space.\The applications for new clubs are listed here...\Not every one of them is legitimate...\Still, announcing the closure of clubs without any previous notice is...\Wait. response:	There's one more important thing.
context: I'm Vice-chairman Kitagawa.\Let me explain the situation.\One reason is that we are at capacity for club office space.\The applications for new clubs are listed here...\Not every one of them is legitimate...\Still, announcing the closure of clubs without any previous notice is...\Wait.\There's one more important thing. response:	The number of clubs that hardly do anything is considerable.
context: Let me explain the situation.\One reason is that we are at capacity for club office space.\The applications for new clubs are listed here...\Not every one of them is legitimate...\Still, announcing the closure of clubs without any previous notice is...\Wait.\There's one more important thing.\The number of clubs that hardly do anything is considerable. response:	That itself wouldn't be so bad...
context: One reason is that we are at capacity for club office space.\The applications for new clubs are listed here...\Not every one of them is legitimate...\Still, announcing the closure of clubs without any previous notice is...\Wait.\There's one more important thing.\The number of clubs that hardly do anything is considerable.\That itself wouldn't be so bad... response:	They chat, they eat, they smoke, they drink, they nap, they store things.
context: The applications for new clubs are listed here...\Not every one of them is legitimate...\Still, announcing the closure of clubs without any previous notice is...\Wait.\There's one more important thing.\The number of clubs that hardly do anything is considerable.\That itself wouldn't be so bad...\They chat, they eat, they smoke, they drink, they nap, they store things. response:	These uses are unacceptable and they are extremely widespread!
context: Not every one of them is legitimate...\Still, announcing the closure of clubs without any previous notice is...\Wait.\There's one more important thing.\The number of clubs that hardly do anything is considerable.\That itself wouldn't be so bad...\They chat, they eat, they smoke, they drink, they nap, they store things.\These uses are unacceptable and they are extremely widespread! response:	Why do we have to provide precious office space to scum like that?
context: Still, announcing the closure of clubs without any previous notice is...\Wait.\There's one more important thing.\The number of clubs that hardly do anything is considerable.\That itself wouldn't be so bad...\They chat, they eat, they smoke, they drink, they nap, they store things.\These uses are unacceptable and they are extremely widespread!\Why do we have to provide precious office space to scum like that? response:	I don't understand it!
