context: Intro response:	The heck is this?
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	Unbelievable things might happen
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen response:	But we can overcome them all
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\But we can overcome them all response:	(For our dreams)
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\But we can overcome them all\(For our dreams) response:	Our dreams are born from nothing
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\But we can overcome them all\(For our dreams)\Our dreams are born from nothing response:	And take us (fly) to that shining sky
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\But we can overcome them all\(For our dreams)\Our dreams are born from nothing\And take us (fly) to that shining sky response:	Spread your wings
context: Unbelievable things might happen\Unbelievable things might happen\Unbelievable things might happen\But we can overcome them all\(For our dreams)\Our dreams are born from nothing\And take us (fly) to that shining sky\Spread your wings response:	Spread your wings
context: Unbelievable things might happen\Unbelievable things might happen\But we can overcome them all\(For our dreams)\Our dreams are born from nothing\And take us (fly) to that shining sky\Spread your wings\Spread your wings response:	Spread your wings
context: Unbelievable things might happen\But we can overcome them all\(For our dreams)\Our dreams are born from nothing\And take us (fly) to that shining sky\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: But we can overcome them all\(For our dreams)\Our dreams are born from nothing\And take us (fly) to that shining sky\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: (For our dreams)\Our dreams are born from nothing\And take us (fly) to that shining sky\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Our dreams are born from nothing\And take us (fly) to that shining sky\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: And take us (fly) to that shining sky\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	Spread your wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings response:	I want to spread my wings
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\I want to spread my wings response:	Now here I go, with the greatest smile on my face
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\I want to spread my wings\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\Spread your wings\I want to spread my wings\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Spread your wings\Spread your wings\Spread your wings\Spread your wings\I want to spread my wings\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Spread your wings\Spread your wings\Spread your wings\I want to spread my wings\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Spread your wings\Spread your wings\I want to spread my wings\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Spread your wings\I want to spread my wings\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: I want to spread my wings\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Let's set out to an unknown world
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world response:	(Go to another world)
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\(Go to another world) response:	We'll be the ones to choose and decide the future
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\(Go to another world)\We'll be the ones to choose and decide the future response:	Let's chase after our dreams
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\(Go to another world)\We'll be the ones to choose and decide the future\Let's chase after our dreams response:	There will be times when we cry
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\(Go to another world)\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry response:	But they will be precious memories
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\(Go to another world)\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\But they will be precious memories response:	Don't fade away
context: Now here I go, with the greatest smile on my face\Let's set out to an unknown world\(Go to another world)\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\But they will be precious memories\Don't fade away response:	I'm sure you'll be to meet your future self
context: Let's set out to an unknown world\(Go to another world)\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\But they will be precious memories\Don't fade away\I'm sure you'll be to meet your future self response:	Get out of your cage
context: (Go to another world)\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\But they will be precious memories\Don't fade away\I'm sure you'll be to meet your future self\Get out of your cage response:	O verlord at Work!
context: We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\But they will be precious memories\Don't fade away\I'm sure you'll be to meet your future self\Get out of your cage\O verlord at Work! response:	O verlord at Work!
context: Let's chase after our dreams\There will be times when we cry\But they will be precious memories\Don't fade away\I'm sure you'll be to meet your future self\Get out of your cage\O verlord at Work!\O verlord at Work! response:	Ov erlord at Work!
context: There will be times when we cry\But they will be precious memories\Don't fade away\I'm sure you'll be to meet your future self\Get out of your cage\O verlord at Work!\O verlord at Work!\Ov erlord at Work! response:	Ov erlord at Work!
context: But they will be precious memories\Don't fade away\I'm sure you'll be to meet your future self\Get out of your cage\O verlord at Work!\O verlord at Work!\Ov erlord at Work!\Ov erlord at Work! response:	Ove rlord at Work!
context: Don't fade away\I'm sure you'll be to meet your future self\Get out of your cage\O verlord at Work!\O verlord at Work!\Ov erlord at Work!\Ov erlord at Work!\Ove rlord at Work! response:	Ove rlord at Work!
context: I'm sure you'll be to meet your future self\Get out of your cage\O verlord at Work!\O verlord at Work!\Ov erlord at Work!\Ov erlord at Work!\Ove rlord at Work!\Ove rlord at Work! response:	Over lord at Work!
context: Get out of your cage\O verlord at Work!\O verlord at Work!\Ov erlord at Work!\Ov erlord at Work!\Ove rlord at Work!\Ove rlord at Work!\Over lord at Work! response:	Over lord at Work!
context: O verlord at Work!\O verlord at Work!\Ov erlord at Work!\Ov erlord at Work!\Ove rlord at Work!\Ove rlord at Work!\Over lord at Work!\Over lord at Work! response:	Overl ord at Work!
context: O verlord at Work!\Ov erlord at Work!\Ov erlord at Work!\Ove rlord at Work!\Ove rlord at Work!\Over lord at Work!\Over lord at Work!\Overl ord at Work! response:	Overl ord at Work!
context: Ov erlord at Work!\Ov erlord at Work!\Ove rlord at Work!\Ove rlord at Work!\Over lord at Work!\Over lord at Work!\Overl ord at Work!\Overl ord at Work! response:	Overl ord at Work!
context: Ov erlord at Work!\Ove rlord at Work!\Ove rlord at Work!\Over lord at Work!\Over lord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work! response:	Overl ord at Work!
context: Ove rlord at Work!\Ove rlord at Work!\Over lord at Work!\Over lord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work! response:	Overl ord at Work!
context: Ove rlord at Work!\Over lord at Work!\Over lord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work! response:	Overl ord at Work!
context: Over lord at Work!\Over lord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work! response:	Overlo rd at Work!
context: Over lord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overlo rd at Work! response:	Overlo rd at Work!
context: Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overlo rd at Work!\Overlo rd at Work! response:	Overlo rd at Work!
context: Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work! response:	Overlo rd at Work!
context: Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work! response:	Overlo rd at Work!
context: Overl ord at Work!\Overl ord at Work!\Overl ord at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work! response:	Overlo rd at Work!
context: Overl ord at Work!\Overl ord at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work!\Overlo rd at Work! response:	Overlor d at Work!
