context: Back then, I didn't know what was going on, response:	or what they had talked about.
context: Back then, I...\Hm?\Tetsuro-san!\Huh?\He's so shy.\Actually, why am I...?\I think we're far enough away now.\That girl is way too aggressive. response:	Don't tell anyone!
context: Hm?\Tetsuro-san!\Huh?\He's so shy.\Actually, why am I...?\I think we're far enough away now.\That girl is way too aggressive.\Don't tell anyone! response:	Please, don't tell anyone!
context: Tetsuro-san!\Huh?\He's so shy.\Actually, why am I...?\I think we're far enough away now.\That girl is way too aggressive.\Don't tell anyone!\Please, don't tell anyone! response:	T-Tell anyone what?
context: Huh?\He's so shy.\Actually, why am I...?\I think we're far enough away now.\That girl is way too aggressive.\Don't tell anyone!\Please, don't tell anyone!\T-Tell anyone what? response:	Tetsuro
context: He's so shy.\Actually, why am I...?\I think we're far enough away now.\That girl is way too aggressive.\Don't tell anyone!\Please, don't tell anyone!\T-Tell anyone what?\Tetsuro response:	Let's head back.
context: Actually, why am I...?\I think we're far enough away now.\That girl is way too aggressive.\Don't tell anyone!\Please, don't tell anyone!\T-Tell anyone what?\Tetsuro\Let's head back. response:	If we don't get back soon,
context: I think we're far enough away now.\That girl is way too aggressive.\Don't tell anyone!\Please, don't tell anyone!\T-Tell anyone what?\Tetsuro\Let's head back.\If we don't get back soon, response:	Remon-senpai's going to be mad.
context: That girl is way too aggressive.\Don't tell anyone!\Please, don't tell anyone!\T-Tell anyone what?\Tetsuro\Let's head back.\If we don't get back soon,\Remon-senpai's going to be mad. response:	Um, I'll...
context: Don't tell anyone!\Please, don't tell anyone!\T-Tell anyone what?\Tetsuro\Let's head back.\If we don't get back soon,\Remon-senpai's going to be mad.\Um, I'll... response:	O-Okay.
context: Please, don't tell anyone!\T-Tell anyone what?\Tetsuro\Let's head back.\If we don't get back soon,\Remon-senpai's going to be mad.\Um, I'll...\O-Okay. response:	I see. I'll head back first, then.
context: T-Tell anyone what?\Tetsuro\Let's head back.\If we don't get back soon,\Remon-senpai's going to be mad.\Um, I'll...\O-Okay.\I see. I'll head back first, then. response:	Hey, you're finally back!
context: Tetsuro\Let's head back.\If we don't get back soon,\Remon-senpai's going to be mad.\Um, I'll...\O-Okay.\I see. I'll head back first, then.\Hey, you're finally back! response:	S-Sorry.
context: Let's head back.\If we don't get back soon,\Remon-senpai's going to be mad.\Um, I'll...\O-Okay.\I see. I'll head back first, then.\Hey, you're finally back!\S-Sorry. response:	What were you two doing?
context: If we don't get back soon,\Remon-senpai's going to be mad.\Um, I'll...\O-Okay.\I see. I'll head back first, then.\Hey, you're finally back!\S-Sorry.\What were you two doing? response:	We were
context: Remon-senpai's going to be mad.\Um, I'll...\O-Okay.\I see. I'll head back first, then.\Hey, you're finally back!\S-Sorry.\What were you two doing?\We were response:	He was giving me acting tips.
context: Um, I'll...\O-Okay.\I see. I'll head back first, then.\Hey, you're finally back!\S-Sorry.\What were you two doing?\We were\He was giving me acting tips. response:	Umi-chan's such a perfectionist.
context: O-Okay.\I see. I'll head back first, then.\Hey, you're finally back!\S-Sorry.\What were you two doing?\We were\He was giving me acting tips.\Umi-chan's such a perfectionist. response:	Really?
context: I see. I'll head back first, then.\Hey, you're finally back!\S-Sorry.\What were you two doing?\We were\He was giving me acting tips.\Umi-chan's such a perfectionist.\Really? response:	Yeah, it wasn't really that big of a deal.
context: Hey, you're finally back!\S-Sorry.\What were you two doing?\We were\He was giving me acting tips.\Umi-chan's such a perfectionist.\Really?\Yeah, it wasn't really that big of a deal. response:	Anyway, where's Senpai
context: S-Sorry.\What were you two doing?\We were\He was giving me acting tips.\Umi-chan's such a perfectionist.\Really?\Yeah, it wasn't really that big of a deal.\Anyway, where's Senpai response:	Hey, there. Sorry I'm late.
context: What were you two doing?\We were\He was giving me acting tips.\Umi-chan's such a perfectionist.\Really?\Yeah, it wasn't really that big of a deal.\Anyway, where's Senpai\Hey, there. Sorry I'm late. response:	That took a while.
context: We were\He was giving me acting tips.\Umi-chan's such a perfectionist.\Really?\Yeah, it wasn't really that big of a deal.\Anyway, where's Senpai\Hey, there. Sorry I'm late.\That took a while. response:	Did something happen?
context: He was giving me acting tips.\Umi-chan's such a perfectionist.\Really?\Yeah, it wasn't really that big of a deal.\Anyway, where's Senpai\Hey, there. Sorry I'm late.\That took a while.\Did something happen? response:	N-No, nothing really.
context: Umi-chan's such a perfectionist.\Really?\Yeah, it wasn't really that big of a deal.\Anyway, where's Senpai\Hey, there. Sorry I'm late.\That took a while.\Did something happen?\N-No, nothing really. response:	Anyway, where's Ichika-senpai?
context: Really?\Yeah, it wasn't really that big of a deal.\Anyway, where's Senpai\Hey, there. Sorry I'm late.\That took a while.\Did something happen?\N-No, nothing really.\Anyway, where's Ichika-senpai? response:	I'm right here.
context: Yeah, it wasn't really that big of a deal.\Anyway, where's Senpai\Hey, there. Sorry I'm late.\That took a while.\Did something happen?\N-No, nothing really.\Anyway, where's Ichika-senpai?\I'm right here. response:	Huh? When did you come back?
context: Anyway, where's Senpai\Hey, there. Sorry I'm late.\That took a while.\Did something happen?\N-No, nothing really.\Anyway, where's Ichika-senpai?\I'm right here.\Huh? When did you come back? response:	Senpai, about what happened
context: Hey, there. Sorry I'm late.\That took a while.\Did something happen?\N-No, nothing really.\Anyway, where's Ichika-senpai?\I'm right here.\Huh? When did you come back?\Senpai, about what happened response:	Let's start filming.
context: That took a while.\Did something happen?\N-No, nothing really.\Anyway, where's Ichika-senpai?\I'm right here.\Huh? When did you come back?\Senpai, about what happened\Let's start filming. response:	And action.
context: Did something happen?\N-No, nothing really.\Anyway, where's Ichika-senpai?\I'm right here.\Huh? When did you come back?\Senpai, about what happened\Let's start filming.\And action. response:	Give yourself up!
context: N-No, nothing really.\Anyway, where's Ichika-senpai?\I'm right here.\Huh? When did you come back?\Senpai, about what happened\Let's start filming.\And action.\Give yourself up! response:	L-Listen to what I have to say.
context: Anyway, where's Ichika-senpai?\I'm right here.\Huh? When did you come back?\Senpai, about what happened\Let's start filming.\And action.\Give yourself up!\L-Listen to what I have to say. response:	You're a criminal.
context: I'm right here.\Huh? When did you come back?\Senpai, about what happened\Let's start filming.\And action.\Give yourself up!\L-Listen to what I have to say.\You're a criminal. response:	Kinoshita started crying all of a sudden.
context: Huh? When did you come back?\Senpai, about what happened\Let's start filming.\And action.\Give yourself up!\L-Listen to what I have to say.\You're a criminal.\Kinoshita started crying all of a sudden. response:	Does it have to turn out this way?
context: Senpai, about what happened\Let's start filming.\And action.\Give yourself up!\L-Listen to what I have to say.\You're a criminal.\Kinoshita started crying all of a sudden.\Does it have to turn out this way? response:	I have some money, if...
context: Let's start filming.\And action.\Give yourself up!\L-Listen to what I have to say.\You're a criminal.\Kinoshita started crying all of a sudden.\Does it have to turn out this way?\I have some money, if... response:	Then Senpai suddenly showed up.
context: And action.\Give yourself up!\L-Listen to what I have to say.\You're a criminal.\Kinoshita started crying all of a sudden.\Does it have to turn out this way?\I have some money, if...\Then Senpai suddenly showed up. response:	And I just filmed, not knowing a thing.
context: Give yourself up!\L-Listen to what I have to say.\You're a criminal.\Kinoshita started crying all of a sudden.\Does it have to turn out this way?\I have some money, if...\Then Senpai suddenly showed up.\And I just filmed, not knowing a thing. response:	In that case... Oh, a UFO!
context: L-Listen to what I have to say.\You're a criminal.\Kinoshita started crying all of a sudden.\Does it have to turn out this way?\I have some money, if...\Then Senpai suddenly showed up.\And I just filmed, not knowing a thing.\In that case... Oh, a UFO! response:	I thought things felt kind of awkward...
context: You're a criminal.\Kinoshita started crying all of a sudden.\Does it have to turn out this way?\I have some money, if...\Then Senpai suddenly showed up.\And I just filmed, not knowing a thing.\In that case... Oh, a UFO!\I thought things felt kind of awkward... response:	Huh? Where? Where is it?
context: Kinoshita started crying all of a sudden.\Does it have to turn out this way?\I have some money, if...\Then Senpai suddenly showed up.\And I just filmed, not knowing a thing.\In that case... Oh, a UFO!\I thought things felt kind of awkward...\Huh? Where? Where is it? response:	Over there!
context: Does it have to turn out this way?\I have some money, if...\Then Senpai suddenly showed up.\And I just filmed, not knowing a thing.\In that case... Oh, a UFO!\I thought things felt kind of awkward...\Huh? Where? Where is it?\Over there! response:	Huh?
context: I have some money, if...\Then Senpai suddenly showed up.\And I just filmed, not knowing a thing.\In that case... Oh, a UFO!\I thought things felt kind of awkward...\Huh? Where? Where is it?\Over there!\Huh? response:	Right there!
context: Then Senpai suddenly showed up.\And I just filmed, not knowing a thing.\In that case... Oh, a UFO!\I thought things felt kind of awkward...\Huh? Where? Where is it?\Over there!\Huh?\Right there! response:	Where?!
context: And I just filmed, not knowing a thing.\In that case... Oh, a UFO!\I thought things felt kind of awkward...\Huh? Where? Where is it?\Over there!\Huh?\Right there!\Where?! response:	It's right there! There!
context: In that case... Oh, a UFO!\I thought things felt kind of awkward...\Huh? Where? Where is it?\Over there!\Huh?\Right there!\Where?!\It's right there! There! response:	Here's my chance!
context: I thought things felt kind of awkward...\Huh? Where? Where is it?\Over there!\Huh?\Right there!\Where?!\It's right there! There!\Here's my chance! response:	Please, let me go.
context: Huh? Where? Where is it?\Over there!\Huh?\Right there!\Where?!\It's right there! There!\Here's my chance!\Please, let me go. response:	Then answer this question.
context: Over there!\Huh?\Right there!\Where?!\It's right there! There!\Here's my chance!\Please, let me go.\Then answer this question. response:	Why did you come to this planet?
context: Huh?\Right there!\Where?!\It's right there! There!\Here's my chance!\Please, let me go.\Then answer this question.\Why did you come to this planet? response:	And... And...
context: Right there!\Where?!\It's right there! There!\Here's my chance!\Please, let me go.\Then answer this question.\Why did you come to this planet?\And... And... response:	And what's your true goal.
context: Where?!\It's right there! There!\Here's my chance!\Please, let me go.\Then answer this question.\Why did you come to this planet?\And... And...\And what's your true goal. response:	Do you like Umi-chan?
context: It's right there! There!\Here's my chance!\Please, let me go.\Then answer this question.\Why did you come to this planet?\And... And...\And what's your true goal.\Do you like Umi-chan? response:	Huh?
context: Here's my chance!\Please, let me go.\Then answer this question.\Why did you come to this planet?\And... And...\And what's your true goal.\Do you like Umi-chan?\Huh? response:	Wh-What?!
context: Please, let me go.\Then answer this question.\Why did you come to this planet?\And... And...\And what's your true goal.\Do you like Umi-chan?\Huh?\Wh-What?! response:	Cut.
context: Then answer this question.\Why did you come to this planet?\And... And...\And what's your true goal.\Do you like Umi-chan?\Huh?\Wh-What?!\Cut. response:	S-Sorry.
context: Why did you come to this planet?\And... And...\And what's your true goal.\Do you like Umi-chan?\Huh?\Wh-What?!\Cut.\S-Sorry. response:	Senpai?
context: And... And...\And what's your true goal.\Do you like Umi-chan?\Huh?\Wh-What?!\Cut.\S-Sorry.\Senpai? response:	Let's shoot that scene again, from a different angle.
context: And what's your true goal.\Do you like Umi-chan?\Huh?\Wh-What?!\Cut.\S-Sorry.\Senpai?\Let's shoot that scene again, from a different angle. response:	Okay.
context: Do you like Umi-chan?\Huh?\Wh-What?!\Cut.\S-Sorry.\Senpai?\Let's shoot that scene again, from a different angle.\Okay. response:	Tanigawa, help me out.
context: Huh?\Wh-What?!\Cut.\S-Sorry.\Senpai?\Let's shoot that scene again, from a different angle.\Okay.\Tanigawa, help me out. response:	Right. Mio, we're moving stuff.
context: Wh-What?!\Cut.\S-Sorry.\Senpai?\Let's shoot that scene again, from a different angle.\Okay.\Tanigawa, help me out.\Right. Mio, we're moving stuff. response:	Did I surprise you?
context: Cut.\S-Sorry.\Senpai?\Let's shoot that scene again, from a different angle.\Okay.\Tanigawa, help me out.\Right. Mio, we're moving stuff.\Did I surprise you? response:	Okay!
context: S-Sorry.\Senpai?\Let's shoot that scene again, from a different angle.\Okay.\Tanigawa, help me out.\Right. Mio, we're moving stuff.\Did I surprise you?\Okay! response:	Remon-senpai, you help out, too.
context: Senpai?\Let's shoot that scene again, from a different angle.\Okay.\Tanigawa, help me out.\Right. Mio, we're moving stuff.\Did I surprise you?\Okay!\Remon-senpai, you help out, too. response:	What about you?
context: Let's shoot that scene again, from a different angle.\Okay.\Tanigawa, help me out.\Right. Mio, we're moving stuff.\Did I surprise you?\Okay!\Remon-senpai, you help out, too.\What about you? response:	I'm communicating with the movie gods right now.
context: Okay.\Tanigawa, help me out.\Right. Mio, we're moving stuff.\Did I surprise you?\Okay!\Remon-senpai, you help out, too.\What about you?\I'm communicating with the movie gods right now. response:	They're descending upon me now...
context: Tanigawa, help me out.\Right. Mio, we're moving stuff.\Did I surprise you?\Okay!\Remon-senpai, you help out, too.\What about you?\I'm communicating with the movie gods right now.\They're descending upon me now... response:	Kaito-kun...
context: Right. Mio, we're moving stuff.\Did I surprise you?\Okay!\Remon-senpai, you help out, too.\What about you?\I'm communicating with the movie gods right now.\They're descending upon me now...\Kaito-kun... response:	Tetsuro-san!
context: Did I surprise you?\Okay!\Remon-senpai, you help out, too.\What about you?\I'm communicating with the movie gods right now.\They're descending upon me now...\Kaito-kun...\Tetsuro-san! response:	Huh? Chiharu?
context: Okay!\Remon-senpai, you help out, too.\What about you?\I'm communicating with the movie gods right now.\They're descending upon me now...\Kaito-kun...\Tetsuro-san!\Huh? Chiharu? response:	That girl's pretty aggressive.
context: Remon-senpai, you help out, too.\What about you?\I'm communicating with the movie gods right now.\They're descending upon me now...\Kaito-kun...\Tetsuro-san!\Huh? Chiharu?\That girl's pretty aggressive. response:	Arisawa-san was her name, right?
context: What about you?\I'm communicating with the movie gods right now.\They're descending upon me now...\Kaito-kun...\Tetsuro-san!\Huh? Chiharu?\That girl's pretty aggressive.\Arisawa-san was her name, right? response:	She's cute. Tetsuro should just date her already.
context: I'm communicating with the movie gods right now.\They're descending upon me now...\Kaito-kun...\Tetsuro-san!\Huh? Chiharu?\That girl's pretty aggressive.\Arisawa-san was her name, right?\She's cute. Tetsuro should just date her already. response:	Don't say that to Tetsuro-kun.
context: They're descending upon me now...\Kaito-kun...\Tetsuro-san!\Huh? Chiharu?\That girl's pretty aggressive.\Arisawa-san was her name, right?\She's cute. Tetsuro should just date her already.\Don't say that to Tetsuro-kun. response:	Huh? Why not?
context: Kaito-kun...\Tetsuro-san!\Huh? Chiharu?\That girl's pretty aggressive.\Arisawa-san was her name, right?\She's cute. Tetsuro should just date her already.\Don't say that to Tetsuro-kun.\Huh? Why not? response:	Just because.
context: Tetsuro-san!\Huh? Chiharu?\That girl's pretty aggressive.\Arisawa-san was her name, right?\She's cute. Tetsuro should just date her already.\Don't say that to Tetsuro-kun.\Huh? Why not?\Just because. response:	Kitahara-san, could you hold up the reflective board for now?
context: Huh? Chiharu?\That girl's pretty aggressive.\Arisawa-san was her name, right?\She's cute. Tetsuro should just date her already.\Don't say that to Tetsuro-kun.\Huh? Why not?\Just because.\Kitahara-san, could you hold up the reflective board for now? response:	Sure...
context: That girl's pretty aggressive.\Arisawa-san was her name, right?\She's cute. Tetsuro should just date her already.\Don't say that to Tetsuro-kun.\Huh? Why not?\Just because.\Kitahara-san, could you hold up the reflective board for now?\Sure... response:	We're going to continue filming.
context: Arisawa-san was her name, right?\She's cute. Tetsuro should just date her already.\Don't say that to Tetsuro-kun.\Huh? Why not?\Just because.\Kitahara-san, could you hold up the reflective board for now?\Sure...\We're going to continue filming. response:	Oh, okay.
context: She's cute. Tetsuro should just date her already.\Don't say that to Tetsuro-kun.\Huh? Why not?\Just because.\Kitahara-san, could you hold up the reflective board for now?\Sure...\We're going to continue filming.\Oh, okay. response:	Umi-chan!
context: Don't say that to Tetsuro-kun.\Huh? Why not?\Just because.\Kitahara-san, could you hold up the reflective board for now?\Sure...\We're going to continue filming.\Oh, okay.\Umi-chan! response:	Make sure I'm pretty.
context: Huh? Why not?\Just because.\Kitahara-san, could you hold up the reflective board for now?\Sure...\We're going to continue filming.\Oh, okay.\Umi-chan!\Make sure I'm pretty. response:	Right.
context: Just because.\Kitahara-san, could you hold up the reflective board for now?\Sure...\We're going to continue filming.\Oh, okay.\Umi-chan!\Make sure I'm pretty.\Right. response:	Ichika, are you ready?
context: Kitahara-san, could you hold up the reflective board for now?\Sure...\We're going to continue filming.\Oh, okay.\Umi-chan!\Make sure I'm pretty.\Right.\Ichika, are you ready? response:	Y-Yeah, I'm fine.
context: Sure...\We're going to continue filming.\Oh, okay.\Umi-chan!\Make sure I'm pretty.\Right.\Ichika, are you ready?\Y-Yeah, I'm fine. response:	Tetsuro-kun...
context: We're going to continue filming.\Oh, okay.\Umi-chan!\Make sure I'm pretty.\Right.\Ichika, are you ready?\Y-Yeah, I'm fine.\Tetsuro-kun... response:	This should be far enough.
context: Oh, okay.\Umi-chan!\Make sure I'm pretty.\Right.\Ichika, are you ready?\Y-Yeah, I'm fine.\Tetsuro-kun...\This should be far enough. response:	Far enough from what?
context: Umi-chan!\Make sure I'm pretty.\Right.\Ichika, are you ready?\Y-Yeah, I'm fine.\Tetsuro-kun...\This should be far enough.\Far enough from what? response:	Tetsuro-san!
context: Make sure I'm pretty.\Right.\Ichika, are you ready?\Y-Yeah, I'm fine.\Tetsuro-kun...\This should be far enough.\Far enough from what?\Tetsuro-san! response:	Tetsuro hasn't come back yet...
context: Right.\Ichika, are you ready?\Y-Yeah, I'm fine.\Tetsuro-kun...\This should be far enough.\Far enough from what?\Tetsuro-san!\Tetsuro hasn't come back yet... response:	Mio disappeared once we finished, too.
context: Ichika, are you ready?\Y-Yeah, I'm fine.\Tetsuro-kun...\This should be far enough.\Far enough from what?\Tetsuro-san!\Tetsuro hasn't come back yet...\Mio disappeared once we finished, too. response:	Takatsuki-senpai isn't around, either.
context: Y-Yeah, I'm fine.\Tetsuro-kun...\This should be far enough.\Far enough from what?\Tetsuro-san!\Tetsuro hasn't come back yet...\Mio disappeared once we finished, too.\Takatsuki-senpai isn't around, either. response:	K-Kaito-kun, you there?
context: Tetsuro-kun...\This should be far enough.\Far enough from what?\Tetsuro-san!\Tetsuro hasn't come back yet...\Mio disappeared once we finished, too.\Takatsuki-senpai isn't around, either.\K-Kaito-kun, you there? response:	Excuse me...
context: This should be far enough.\Far enough from what?\Tetsuro-san!\Tetsuro hasn't come back yet...\Mio disappeared once we finished, too.\Takatsuki-senpai isn't around, either.\K-Kaito-kun, you there?\Excuse me... response:	Huh? He's not here.
context: Far enough from what?\Tetsuro-san!\Tetsuro hasn't come back yet...\Mio disappeared once we finished, too.\Takatsuki-senpai isn't around, either.\K-Kaito-kun, you there?\Excuse me...\Huh? He's not here. response:	Kirishima-kun left in a hurry just a minute ago.
context: Tetsuro-san!\Tetsuro hasn't come back yet...\Mio disappeared once we finished, too.\Takatsuki-senpai isn't around, either.\K-Kaito-kun, you there?\Excuse me...\Huh? He's not here.\Kirishima-kun left in a hurry just a minute ago. response:	I'm pretty sure he was off to see Kinoshita-san.
context: Tetsuro hasn't come back yet...\Mio disappeared once we finished, too.\Takatsuki-senpai isn't around, either.\K-Kaito-kun, you there?\Excuse me...\Huh? He's not here.\Kirishima-kun left in a hurry just a minute ago.\I'm pretty sure he was off to see Kinoshita-san. response:	I knew it. Kaito-kun likes Kinoshita
context: Mio disappeared once we finished, too.\Takatsuki-senpai isn't around, either.\K-Kaito-kun, you there?\Excuse me...\Huh? He's not here.\Kirishima-kun left in a hurry just a minute ago.\I'm pretty sure he was off to see Kinoshita-san.\I knew it. Kaito-kun likes Kinoshita response:	No, he doesn't.
context: Takatsuki-senpai isn't around, either.\K-Kaito-kun, you there?\Excuse me...\Huh? He's not here.\Kirishima-kun left in a hurry just a minute ago.\I'm pretty sure he was off to see Kinoshita-san.\I knew it. Kaito-kun likes Kinoshita\No, he doesn't. response:	How do you know?!
context: K-Kaito-kun, you there?\Excuse me...\Huh? He's not here.\Kirishima-kun left in a hurry just a minute ago.\I'm pretty sure he was off to see Kinoshita-san.\I knew it. Kaito-kun likes Kinoshita\No, he doesn't.\How do you know?! response:	Just by watching him, I can tell what he's feeling.
context: Excuse me...\Huh? He's not here.\Kirishima-kun left in a hurry just a minute ago.\I'm pretty sure he was off to see Kinoshita-san.\I knew it. Kaito-kun likes Kinoshita\No, he doesn't.\How do you know?!\Just by watching him, I can tell what he's feeling. response:	Just by watching him?
context: Huh? He's not here.\Kirishima-kun left in a hurry just a minute ago.\I'm pretty sure he was off to see Kinoshita-san.\I knew it. Kaito-kun likes Kinoshita\No, he doesn't.\How do you know?!\Just by watching him, I can tell what he's feeling.\Just by watching him? response:	That's right.
context: Kirishima-kun left in a hurry just a minute ago.\I'm pretty sure he was off to see Kinoshita-san.\I knew it. Kaito-kun likes Kinoshita\No, he doesn't.\How do you know?!\Just by watching him, I can tell what he's feeling.\Just by watching him?\That's right. response:	Then could you tell me...
context: I'm pretty sure he was off to see Kinoshita-san.\I knew it. Kaito-kun likes Kinoshita\No, he doesn't.\How do you know?!\Just by watching him, I can tell what he's feeling.\Just by watching him?\That's right.\Then could you tell me... response:	Tell me how he feels...
context: I knew it. Kaito-kun likes Kinoshita\No, he doesn't.\How do you know?!\Just by watching him, I can tell what he's feeling.\Just by watching him?\That's right.\Then could you tell me...\Tell me how he feels... response:	Very well.
context: No, he doesn't.\How do you know?!\Just by watching him, I can tell what he's feeling.\Just by watching him?\That's right.\Then could you tell me...\Tell me how he feels...\Very well. response:	Let's have a long chat.
context: How do you know?!\Just by watching him, I can tell what he's feeling.\Just by watching him?\That's right.\Then could you tell me...\Tell me how he feels...\Very well.\Let's have a long chat. response:	Kinoshita-sama in room 703 is currently out.
context: Just by watching him, I can tell what he's feeling.\Just by watching him?\That's right.\Then could you tell me...\Tell me how he feels...\Very well.\Let's have a long chat.\Kinoshita-sama in room 703 is currently out. response:	I-I see...
context: Just by watching him?\That's right.\Then could you tell me...\Tell me how he feels...\Very well.\Let's have a long chat.\Kinoshita-sama in room 703 is currently out.\I-I see... response:	You're Kirishima-sama, correct?
context: That's right.\Then could you tell me...\Tell me how he feels...\Very well.\Let's have a long chat.\Kinoshita-sama in room 703 is currently out.\I-I see...\You're Kirishima-sama, correct? response:	We have a message for you from Kinoshita-sama.
context: Then could you tell me...\Tell me how he feels...\Very well.\Let's have a long chat.\Kinoshita-sama in room 703 is currently out.\I-I see...\You're Kirishima-sama, correct?\We have a message for you from Kinoshita-sama. response:	Okay...
context: Tell me how he feels...\Very well.\Let's have a long chat.\Kinoshita-sama in room 703 is currently out.\I-I see...\You're Kirishima-sama, correct?\We have a message for you from Kinoshita-sama.\Okay... response:	You're late.
context: Very well.\Let's have a long chat.\Kinoshita-sama in room 703 is currently out.\I-I see...\You're Kirishima-sama, correct?\We have a message for you from Kinoshita-sama.\Okay...\You're late. response:	Wait up, Tetsuro-san!
context: Let's have a long chat.\Kinoshita-sama in room 703 is currently out.\I-I see...\You're Kirishima-sama, correct?\We have a message for you from Kinoshita-sama.\Okay...\You're late.\Wait up, Tetsuro-san! response:	How many hours is she going to keep me running?
context: Kinoshita-sama in room 703 is currently out.\I-I see...\You're Kirishima-sama, correct?\We have a message for you from Kinoshita-sama.\Okay...\You're late.\Wait up, Tetsuro-san!\How many hours is she going to keep me running? response:	Is she some superwoman or something?
context: I-I see...\You're Kirishima-sama, correct?\We have a message for you from Kinoshita-sama.\Okay...\You're late.\Wait up, Tetsuro-san!\How many hours is she going to keep me running?\Is she some superwoman or something? response:	Wait!
context: You're Kirishima-sama, correct?\We have a message for you from Kinoshita-sama.\Okay...\You're late.\Wait up, Tetsuro-san!\How many hours is she going to keep me running?\Is she some superwoman or something?\Wait! response:	Tetsuro-kun!
context: We have a message for you from Kinoshita-sama.\Okay...\You're late.\Wait up, Tetsuro-san!\How many hours is she going to keep me running?\Is she some superwoman or something?\Wait!\Tetsuro-kun! response:	Mio?
context: Okay...\You're late.\Wait up, Tetsuro-san!\How many hours is she going to keep me running?\Is she some superwoman or something?\Wait!\Tetsuro-kun!\Mio? response:	Tetsuro-san!
context: You're late.\Wait up, Tetsuro-san!\How many hours is she going to keep me running?\Is she some superwoman or something?\Wait!\Tetsuro-kun!\Mio?\Tetsuro-san! response:	Don't be so shy!
context: Wait up, Tetsuro-san!\How many hours is she going to keep me running?\Is she some superwoman or something?\Wait!\Tetsuro-kun!\Mio?\Tetsuro-san!\Don't be so shy! response:	Tetsuro-san! Where are you?
context: How many hours is she going to keep me running?\Is she some superwoman or something?\Wait!\Tetsuro-kun!\Mio?\Tetsuro-san!\Don't be so shy!\Tetsuro-san! Where are you? response:	You saved me again.
context: Is she some superwoman or something?\Wait!\Tetsuro-kun!\Mio?\Tetsuro-san!\Don't be so shy!\Tetsuro-san! Where are you?\You saved me again. response:	Thanks, Mio.
context: Wait!\Tetsuro-kun!\Mio?\Tetsuro-san!\Don't be so shy!\Tetsuro-san! Where are you?\You saved me again.\Thanks, Mio. response:	I'm just paying you back.
context: Tetsuro-kun!\Mio?\Tetsuro-san!\Don't be so shy!\Tetsuro-san! Where are you?\You saved me again.\Thanks, Mio.\I'm just paying you back. response:	You didn't say anything.
context: Mio?\Tetsuro-san!\Don't be so shy!\Tetsuro-san! Where are you?\You saved me again.\Thanks, Mio.\I'm just paying you back.\You didn't say anything. response:	About what, again?
context: Tetsuro-san!\Don't be so shy!\Tetsuro-san! Where are you?\You saved me again.\Thanks, Mio.\I'm just paying you back.\You didn't say anything.\About what, again? response:	You're really nice, Tetsuro-kun.
context: Don't be so shy!\Tetsuro-san! Where are you?\You saved me again.\Thanks, Mio.\I'm just paying you back.\You didn't say anything.\About what, again?\You're really nice, Tetsuro-kun. response:	Yeah, I guess I am.
