context: I'm heading out. response:	Ah, bocchan, good morning!
context: Well then, let's keep working...\Hiromi-san, you must be tired, right?\No, I was just spacing out a bit.\Hey! was Here, that could work too\Thanks.\Were you calling your girlfriend?\Yeah, I guess...\You're quite popular with the girls, huh? response:	Ka-chan, time for a smoke!
context: Hiromi-san, you must be tired, right?\No, I was just spacing out a bit.\Hey! was Here, that could work too\Thanks.\Were you calling your girlfriend?\Yeah, I guess...\You're quite popular with the girls, huh?\Ka-chan, time for a smoke! response:	TL Note: Ka-chan translates to mom, but he's referring to his wife.
context: No, I was just spacing out a bit.\Hey! was Here, that could work too\Thanks.\Were you calling your girlfriend?\Yeah, I guess...\You're quite popular with the girls, huh?\Ka-chan, time for a smoke!\TL Note: Ka-chan translates to mom, but he's referring to his wife. response:	Yes!
context: Hey! was Here, that could work too\Thanks.\Were you calling your girlfriend?\Yeah, I guess...\You're quite popular with the girls, huh?\Ka-chan, time for a smoke!\TL Note: Ka-chan translates to mom, but he's referring to his wife.\Yes! response:	That's not it...
context: Thanks.\Were you calling your girlfriend?\Yeah, I guess...\You're quite popular with the girls, huh?\Ka-chan, time for a smoke!\TL Note: Ka-chan translates to mom, but he's referring to his wife.\Yes!\That's not it... response:	This part is really important.
context: Were you calling your girlfriend?\Yeah, I guess...\You're quite popular with the girls, huh?\Ka-chan, time for a smoke!\TL Note: Ka-chan translates to mom, but he's referring to his wife.\Yes!\That's not it...\This part is really important. response:	These problems will show up in the test, so remember them well!
context: Yeah, I guess...\You're quite popular with the girls, huh?\Ka-chan, time for a smoke!\TL Note: Ka-chan translates to mom, but he's referring to his wife.\Yes!\That's not it...\This part is really important.\These problems will show up in the test, so remember them well! response:	Alright, now copy down this problem.
context: You're quite popular with the girls, huh?\Ka-chan, time for a smoke!\TL Note: Ka-chan translates to mom, but he's referring to his wife.\Yes!\That's not it...\This part is really important.\These problems will show up in the test, so remember them well!\Alright, now copy down this problem. response:	Making notes for Yuasa Hiromi?
context: Ka-chan, time for a smoke!\TL Note: Ka-chan translates to mom, but he's referring to his wife.\Yes!\That's not it...\This part is really important.\These problems will show up in the test, so remember them well!\Alright, now copy down this problem.\Making notes for Yuasa Hiromi? response:	What? There's nothing wrong with just taking notes, is there?
context: TL Note: Ka-chan translates to mom, but he's referring to his wife.\Yes!\That's not it...\This part is really important.\These problems will show up in the test, so remember them well!\Alright, now copy down this problem.\Making notes for Yuasa Hiromi?\What? There's nothing wrong with just taking notes, is there? response:	You've got it so good...
context: Yes!\That's not it...\This part is really important.\These problems will show up in the test, so remember them well!\Alright, now copy down this problem.\Making notes for Yuasa Hiromi?\What? There's nothing wrong with just taking notes, is there?\You've got it so good... response:	What is that supposed to mean?
context: That's not it...\This part is really important.\These problems will show up in the test, so remember them well!\Alright, now copy down this problem.\Making notes for Yuasa Hiromi?\What? There's nothing wrong with just taking notes, is there?\You've got it so good...\What is that supposed to mean? response:	Nothing.
context: This part is really important.\These problems will show up in the test, so remember them well!\Alright, now copy down this problem.\Making notes for Yuasa Hiromi?\What? There's nothing wrong with just taking notes, is there?\You've got it so good...\What is that supposed to mean?\Nothing. response:	Well then, maybe I should go see Ai-chan's cute face again.
context: These problems will show up in the test, so remember them well!\Alright, now copy down this problem.\Making notes for Yuasa Hiromi?\What? There's nothing wrong with just taking notes, is there?\You've got it so good...\What is that supposed to mean?\Nothing.\Well then, maybe I should go see Ai-chan's cute face again. response:	Go ahead, do it!
context: Alright, now copy down this problem.\Making notes for Yuasa Hiromi?\What? There's nothing wrong with just taking notes, is there?\You've got it so good...\What is that supposed to mean?\Nothing.\Well then, maybe I should go see Ai-chan's cute face again.\Go ahead, do it! response:	Well then, see ya.
context: Making notes for Yuasa Hiromi?\What? There's nothing wrong with just taking notes, is there?\You've got it so good...\What is that supposed to mean?\Nothing.\Well then, maybe I should go see Ai-chan's cute face again.\Go ahead, do it!\Well then, see ya. response:	It's being buried more and more... more... more...
context: What? There's nothing wrong with just taking notes, is there?\You've got it so good...\What is that supposed to mean?\Nothing.\Well then, maybe I should go see Ai-chan's cute face again.\Go ahead, do it!\Well then, see ya.\It's being buried more and more... more... more... response:	The love message Shinichirou gave me...
context: You've got it so good...\What is that supposed to mean?\Nothing.\Well then, maybe I should go see Ai-chan's cute face again.\Go ahead, do it!\Well then, see ya.\It's being buried more and more... more... more...\The love message Shinichirou gave me... response:	I want to see you...
context: What is that supposed to mean?\Nothing.\Well then, maybe I should go see Ai-chan's cute face again.\Go ahead, do it!\Well then, see ya.\It's being buried more and more... more... more...\The love message Shinichirou gave me...\I want to see you... response:	I want to see you!
context: Nothing.\Well then, maybe I should go see Ai-chan's cute face again.\Go ahead, do it!\Well then, see ya.\It's being buried more and more... more... more...\The love message Shinichirou gave me...\I want to see you...\I want to see you! response:	Isurugi Noe.
context: Well then, maybe I should go see Ai-chan's cute face again.\Go ahead, do it!\Well then, see ya.\It's being buried more and more... more... more...\The love message Shinichirou gave me...\I want to see you...\I want to see you!\Isurugi Noe. response:	What?
context: Go ahead, do it!\Well then, see ya.\It's being buried more and more... more... more...\The love message Shinichirou gave me...\I want to see you...\I want to see you!\Isurugi Noe.\What? response:	Why don't you curse me too?
context: Well then, see ya.\It's being buried more and more... more... more...\The love message Shinichirou gave me...\I want to see you...\I want to see you!\Isurugi Noe.\What?\Why don't you curse me too? response:	Curse me so that I will never come to like anyone.
context: It's being buried more and more... more... more...\The love message Shinichirou gave me...\I want to see you...\I want to see you!\Isurugi Noe.\What?\Why don't you curse me too?\Curse me so that I will never come to like anyone. response:	I did something horrible to Miyokichi... something really horrible.
context: The love message Shinichirou gave me...\I want to see you...\I want to see you!\Isurugi Noe.\What?\Why don't you curse me too?\Curse me so that I will never come to like anyone.\I did something horrible to Miyokichi... something really horrible. response:	Let's break up.
context: I want to see you...\I want to see you!\Isurugi Noe.\What?\Why don't you curse me too?\Curse me so that I will never come to like anyone.\I did something horrible to Miyokichi... something really horrible.\Let's break up. response:	Isn't a guy considered cool if his heart isn't affected by anyone?
context: I want to see you!\Isurugi Noe.\What?\Why don't you curse me too?\Curse me so that I will never come to like anyone.\I did something horrible to Miyokichi... something really horrible.\Let's break up.\Isn't a guy considered cool if his heart isn't affected by anyone? response:	I want to become a guy exactly like that.
context: Isurugi Noe.\What?\Why don't you curse me too?\Curse me so that I will never come to like anyone.\I did something horrible to Miyokichi... something really horrible.\Let's break up.\Isn't a guy considered cool if his heart isn't affected by anyone?\I want to become a guy exactly like that. response:	No.
context: What?\Why don't you curse me too?\Curse me so that I will never come to like anyone.\I did something horrible to Miyokichi... something really horrible.\Let's break up.\Isn't a guy considered cool if his heart isn't affected by anyone?\I want to become a guy exactly like that.\No. response:	I will never agree to that.
context: Why don't you curse me too?\Curse me so that I will never come to like anyone.\I did something horrible to Miyokichi... something really horrible.\Let's break up.\Isn't a guy considered cool if his heart isn't affected by anyone?\I want to become a guy exactly like that.\No.\I will never agree to that. response:	Miyokichi...
context: Curse me so that I will never come to like anyone.\I did something horrible to Miyokichi... something really horrible.\Let's break up.\Isn't a guy considered cool if his heart isn't affected by anyone?\I want to become a guy exactly like that.\No.\I will never agree to that.\Miyokichi... response:	I thought we needed to talk about this thoroughly again.
context: I did something horrible to Miyokichi... something really horrible.\Let's break up.\Isn't a guy considered cool if his heart isn't affected by anyone?\I want to become a guy exactly like that.\No.\I will never agree to that.\Miyokichi...\I thought we needed to talk about this thoroughly again. response:	I am fine now.
context: Let's break up.\Isn't a guy considered cool if his heart isn't affected by anyone?\I want to become a guy exactly like that.\No.\I will never agree to that.\Miyokichi...\I thought we needed to talk about this thoroughly again.\I am fine now. response:	Isurugi Noe cursed me so that I will never come to love anyone.
context: Isn't a guy considered cool if his heart isn't affected by anyone?\I want to become a guy exactly like that.\No.\I will never agree to that.\Miyokichi...\I thought we needed to talk about this thoroughly again.\I am fine now.\Isurugi Noe cursed me so that I will never come to love anyone. response:	All I want now is to see Aiko smile.
context: I want to become a guy exactly like that.\No.\I will never agree to that.\Miyokichi...\I thought we needed to talk about this thoroughly again.\I am fine now.\Isurugi Noe cursed me so that I will never come to love anyone.\All I want now is to see Aiko smile. response:	Because Aiko has the prettiest smile.
context: No.\I will never agree to that.\Miyokichi...\I thought we needed to talk about this thoroughly again.\I am fine now.\Isurugi Noe cursed me so that I will never come to love anyone.\All I want now is to see Aiko smile.\Because Aiko has the prettiest smile. response:	See ya.
context: I will never agree to that.\Miyokichi...\I thought we needed to talk about this thoroughly again.\I am fine now.\Isurugi Noe cursed me so that I will never come to love anyone.\All I want now is to see Aiko smile.\Because Aiko has the prettiest smile.\See ya. response:	I'm home.
context: Miyokichi...\I thought we needed to talk about this thoroughly again.\I am fine now.\Isurugi Noe cursed me so that I will never come to love anyone.\All I want now is to see Aiko smile.\Because Aiko has the prettiest smile.\See ya.\I'm home. response:	Today's math.
context: I thought we needed to talk about this thoroughly again.\I am fine now.\Isurugi Noe cursed me so that I will never come to love anyone.\All I want now is to see Aiko smile.\Because Aiko has the prettiest smile.\See ya.\I'm home.\Today's math. response:	I heard that it's gonna be on the test.
context: I am fine now.\Isurugi Noe cursed me so that I will never come to love anyone.\All I want now is to see Aiko smile.\Because Aiko has the prettiest smile.\See ya.\I'm home.\Today's math.\I heard that it's gonna be on the test. response:	I asked Tomoyo for the notes.
context: Isurugi Noe cursed me so that I will never come to love anyone.\All I want now is to see Aiko smile.\Because Aiko has the prettiest smile.\See ya.\I'm home.\Today's math.\I heard that it's gonna be on the test.\I asked Tomoyo for the notes. response:	I think that won't happen. Kurobe-san was sleeping like a sealed demon!
context: All I want now is to see Aiko smile.\Because Aiko has the prettiest smile.\See ya.\I'm home.\Today's math.\I heard that it's gonna be on the test.\I asked Tomoyo for the notes.\I think that won't happen. Kurobe-san was sleeping like a sealed demon! response:	Then, I'll talk to Tomoyo about your help.
context: Because Aiko has the prettiest smile.\See ya.\I'm home.\Today's math.\I heard that it's gonna be on the test.\I asked Tomoyo for the notes.\I think that won't happen. Kurobe-san was sleeping like a sealed demon!\Then, I'll talk to Tomoyo about your help. response:	She was sleeping so deeply that not even the teacher was able to wake her.
context: See ya.\I'm home.\Today's math.\I heard that it's gonna be on the test.\I asked Tomoyo for the notes.\I think that won't happen. Kurobe-san was sleeping like a sealed demon!\Then, I'll talk to Tomoyo about your help.\She was sleeping so deeply that not even the teacher was able to wake her. response:	Such bad handwriting.
context: I'm home.\Today's math.\I heard that it's gonna be on the test.\I asked Tomoyo for the notes.\I think that won't happen. Kurobe-san was sleeping like a sealed demon!\Then, I'll talk to Tomoyo about your help.\She was sleeping so deeply that not even the teacher was able to wake her.\Such bad handwriting. response:	Now, let's fly.
context: Today's math.\I heard that it's gonna be on the test.\I asked Tomoyo for the notes.\I think that won't happen. Kurobe-san was sleeping like a sealed demon!\Then, I'll talk to Tomoyo about your help.\She was sleeping so deeply that not even the teacher was able to wake her.\Such bad handwriting.\Now, let's fly. response:	Even if that's what Raigoumaru was thinking,
context: I heard that it's gonna be on the test.\I asked Tomoyo for the notes.\I think that won't happen. Kurobe-san was sleeping like a sealed demon!\Then, I'll talk to Tomoyo about your help.\She was sleeping so deeply that not even the teacher was able to wake her.\Such bad handwriting.\Now, let's fly.\Even if that's what Raigoumaru was thinking, response:	his stomach suddenly started growling.
context: I asked Tomoyo for the notes.\I think that won't happen. Kurobe-san was sleeping like a sealed demon!\Then, I'll talk to Tomoyo about your help.\She was sleeping so deeply that not even the teacher was able to wake her.\Such bad handwriting.\Now, let's fly.\Even if that's what Raigoumaru was thinking,\his stomach suddenly started growling. response:	This isn't the place where you take flight.
context: I think that won't happen. Kurobe-san was sleeping like a sealed demon!\Then, I'll talk to Tomoyo about your help.\She was sleeping so deeply that not even the teacher was able to wake her.\Such bad handwriting.\Now, let's fly.\Even if that's what Raigoumaru was thinking,\his stomach suddenly started growling.\This isn't the place where you take flight. response:	Why would Noe say that?
context: Then, I'll talk to Tomoyo about your help.\She was sleeping so deeply that not even the teacher was able to wake her.\Such bad handwriting.\Now, let's fly.\Even if that's what Raigoumaru was thinking,\his stomach suddenly started growling.\This isn't the place where you take flight.\Why would Noe say that? response:	Um... I'd like to talk to you.
context: She was sleeping so deeply that not even the teacher was able to wake her.\Such bad handwriting.\Now, let's fly.\Even if that's what Raigoumaru was thinking,\his stomach suddenly started growling.\This isn't the place where you take flight.\Why would Noe say that?\Um... I'd like to talk to you. response:	There's been a lot going on...
context: Such bad handwriting.\Now, let's fly.\Even if that's what Raigoumaru was thinking,\his stomach suddenly started growling.\This isn't the place where you take flight.\Why would Noe say that?\Um... I'd like to talk to you.\There's been a lot going on... response:	I'm sorry for the trouble my wife has caused.
context: Now, let's fly.\Even if that's what Raigoumaru was thinking,\his stomach suddenly started growling.\This isn't the place where you take flight.\Why would Noe say that?\Um... I'd like to talk to you.\There's been a lot going on...\I'm sorry for the trouble my wife has caused. response:	No, it's fine. It's already...
context: Even if that's what Raigoumaru was thinking,\his stomach suddenly started growling.\This isn't the place where you take flight.\Why would Noe say that?\Um... I'd like to talk to you.\There's been a lot going on...\I'm sorry for the trouble my wife has caused.\No, it's fine. It's already... response:	She went straight to the conclusion, thinking that with your mother, I...
context: his stomach suddenly started growling.\This isn't the place where you take flight.\Why would Noe say that?\Um... I'd like to talk to you.\There's been a lot going on...\I'm sorry for the trouble my wife has caused.\No, it's fine. It's already...\She went straight to the conclusion, thinking that with your mother, I... response:	Anyway, I understood what you wanted to say. I'll arrange it as soon as possible.
context: This isn't the place where you take flight.\Why would Noe say that?\Um... I'd like to talk to you.\There's been a lot going on...\I'm sorry for the trouble my wife has caused.\No, it's fine. It's already...\She went straight to the conclusion, thinking that with your mother, I...\Anyway, I understood what you wanted to say. I'll arrange it as soon as possible. response:	But, please don't forget this,
context: Why would Noe say that?\Um... I'd like to talk to you.\There's been a lot going on...\I'm sorry for the trouble my wife has caused.\No, it's fine. It's already...\She went straight to the conclusion, thinking that with your mother, I...\Anyway, I understood what you wanted to say. I'll arrange it as soon as possible.\But, please don't forget this, response:	Hiromi, you are part of the family.
context: Um... I'd like to talk to you.\There's been a lot going on...\I'm sorry for the trouble my wife has caused.\No, it's fine. It's already...\She went straight to the conclusion, thinking that with your mother, I...\Anyway, I understood what you wanted to say. I'll arrange it as soon as possible.\But, please don't forget this,\Hiromi, you are part of the family. response:	Right.
context: There's been a lot going on...\I'm sorry for the trouble my wife has caused.\No, it's fine. It's already...\She went straight to the conclusion, thinking that with your mother, I...\Anyway, I understood what you wanted to say. I'll arrange it as soon as possible.\But, please don't forget this,\Hiromi, you are part of the family.\Right. response:	Um...
context: I'm sorry for the trouble my wife has caused.\No, it's fine. It's already...\She went straight to the conclusion, thinking that with your mother, I...\Anyway, I understood what you wanted to say. I'll arrange it as soon as possible.\But, please don't forget this,\Hiromi, you are part of the family.\Right.\Um... response:	Do you really mean it?
context: No, it's fine. It's already...\She went straight to the conclusion, thinking that with your mother, I...\Anyway, I understood what you wanted to say. I'll arrange it as soon as possible.\But, please don't forget this,\Hiromi, you are part of the family.\Right.\Um...\Do you really mean it? response:	Thank you very much.
context: She went straight to the conclusion, thinking that with your mother, I...\Anyway, I understood what you wanted to say. I'll arrange it as soon as possible.\But, please don't forget this,\Hiromi, you are part of the family.\Right.\Um...\Do you really mean it?\Thank you very much. response:	Hey.
context: Anyway, I understood what you wanted to say. I'll arrange it as soon as possible.\But, please don't forget this,\Hiromi, you are part of the family.\Right.\Um...\Do you really mean it?\Thank you very much.\Hey. response:	You didn't pick up my calls.
context: But, please don't forget this,\Hiromi, you are part of the family.\Right.\Um...\Do you really mean it?\Thank you very much.\Hey.\You didn't pick up my calls. response:	I was suspended, after all.
context: Hiromi, you are part of the family.\Right.\Um...\Do you really mean it?\Thank you very much.\Hey.\You didn't pick up my calls.\I was suspended, after all. response:	Aren't you still suspended, though?
context: Right.\Um...\Do you really mean it?\Thank you very much.\Hey.\You didn't pick up my calls.\I was suspended, after all.\Aren't you still suspended, though? response:	I don't want to hear that from someone who's suspended and still needs to work.
context: Um...\Do you really mean it?\Thank you very much.\Hey.\You didn't pick up my calls.\I was suspended, after all.\Aren't you still suspended, though?\I don't want to hear that from someone who's suspended and still needs to work. response:	Well, whatever.
context: Do you really mean it?\Thank you very much.\Hey.\You didn't pick up my calls.\I was suspended, after all.\Aren't you still suspended, though?\I don't want to hear that from someone who's suspended and still needs to work.\Well, whatever. response:	So, what's the matter?
context: Thank you very much.\Hey.\You didn't pick up my calls.\I was suspended, after all.\Aren't you still suspended, though?\I don't want to hear that from someone who's suspended and still needs to work.\Well, whatever.\So, what's the matter? response:	Why don't we end it? This pretend dating?
context: Hey.\You didn't pick up my calls.\I was suspended, after all.\Aren't you still suspended, though?\I don't want to hear that from someone who's suspended and still needs to work.\Well, whatever.\So, what's the matter?\Why don't we end it? This pretend dating? response:	It's not that I hate you.
context: You didn't pick up my calls.\I was suspended, after all.\Aren't you still suspended, though?\I don't want to hear that from someone who's suspended and still needs to work.\Well, whatever.\So, what's the matter?\Why don't we end it? This pretend dating?\It's not that I hate you. response:	But a lot has happened, and I've done a lot of thinking.
context: I was suspended, after all.\Aren't you still suspended, though?\I don't want to hear that from someone who's suspended and still needs to work.\Well, whatever.\So, what's the matter?\Why don't we end it? This pretend dating?\It's not that I hate you.\But a lot has happened, and I've done a lot of thinking. response:	I think I want to break free from all this at once, and sort out my feelings.
context: Aren't you still suspended, though?\I don't want to hear that from someone who's suspended and still needs to work.\Well, whatever.\So, what's the matter?\Why don't we end it? This pretend dating?\It's not that I hate you.\But a lot has happened, and I've done a lot of thinking.\I think I want to break free from all this at once, and sort out my feelings. response:	Oh, I will use my work money and pay your bike...
context: I don't want to hear that from someone who's suspended and still needs to work.\Well, whatever.\So, what's the matter?\Why don't we end it? This pretend dating?\It's not that I hate you.\But a lot has happened, and I've done a lot of thinking.\I think I want to break free from all this at once, and sort out my feelings.\Oh, I will use my work money and pay your bike... response:	I've told you. Breaking up would be troublesome for me!
context: Well, whatever.\So, what's the matter?\Why don't we end it? This pretend dating?\It's not that I hate you.\But a lot has happened, and I've done a lot of thinking.\I think I want to break free from all this at once, and sort out my feelings.\Oh, I will use my work money and pay your bike...\I've told you. Breaking up would be troublesome for me! response:	Because you'd break the contract?
context: So, what's the matter?\Why don't we end it? This pretend dating?\It's not that I hate you.\But a lot has happened, and I've done a lot of thinking.\I think I want to break free from all this at once, and sort out my feelings.\Oh, I will use my work money and pay your bike...\I've told you. Breaking up would be troublesome for me!\Because you'd break the contract? response:	I got an older bike from my boss.
context: Why don't we end it? This pretend dating?\It's not that I hate you.\But a lot has happened, and I've done a lot of thinking.\I think I want to break free from all this at once, and sort out my feelings.\Oh, I will use my work money and pay your bike...\I've told you. Breaking up would be troublesome for me!\Because you'd break the contract?\I got an older bike from my boss. response:	I just need to exchange some parts and repair it, and it'll run.
context: It's not that I hate you.\But a lot has happened, and I've done a lot of thinking.\I think I want to break free from all this at once, and sort out my feelings.\Oh, I will use my work money and pay your bike...\I've told you. Breaking up would be troublesome for me!\Because you'd break the contract?\I got an older bike from my boss.\I just need to exchange some parts and repair it, and it'll run. response:	Hey...
context: But a lot has happened, and I've done a lot of thinking.\I think I want to break free from all this at once, and sort out my feelings.\Oh, I will use my work money and pay your bike...\I've told you. Breaking up would be troublesome for me!\Because you'd break the contract?\I got an older bike from my boss.\I just need to exchange some parts and repair it, and it'll run.\Hey... response:	Listen to me!
context: I think I want to break free from all this at once, and sort out my feelings.\Oh, I will use my work money and pay your bike...\I've told you. Breaking up would be troublesome for me!\Because you'd break the contract?\I got an older bike from my boss.\I just need to exchange some parts and repair it, and it'll run.\Hey...\Listen to me! response:	I can't break our agreement.
context: Oh, I will use my work money and pay your bike...\I've told you. Breaking up would be troublesome for me!\Because you'd break the contract?\I got an older bike from my boss.\I just need to exchange some parts and repair it, and it'll run.\Hey...\Listen to me!\I can't break our agreement. response:	Come on! For preventing injuries, running is the best!
context: I've told you. Breaking up would be troublesome for me!\Because you'd break the contract?\I got an older bike from my boss.\I just need to exchange some parts and repair it, and it'll run.\Hey...\Listen to me!\I can't break our agreement.\Come on! For preventing injuries, running is the best! response:	The next match against Hotarugawa...
context: Because you'd break the contract?\I got an older bike from my boss.\I just need to exchange some parts and repair it, and it'll run.\Hey...\Listen to me!\I can't break our agreement.\Come on! For preventing injuries, running is the best!\The next match against Hotarugawa... response:	We have to win!
context: I got an older bike from my boss.\I just need to exchange some parts and repair it, and it'll run.\Hey...\Listen to me!\I can't break our agreement.\Come on! For preventing injuries, running is the best!\The next match against Hotarugawa...\We have to win! response:	Yes!
context: I just need to exchange some parts and repair it, and it'll run.\Hey...\Listen to me!\I can't break our agreement.\Come on! For preventing injuries, running is the best!\The next match against Hotarugawa...\We have to win!\Yes! response:	What? You two broke up?
context: Hey...\Listen to me!\I can't break our agreement.\Come on! For preventing injuries, running is the best!\The next match against Hotarugawa...\We have to win!\Yes!\What? You two broke up? response:	Yeah.
context: Listen to me!\I can't break our agreement.\Come on! For preventing injuries, running is the best!\The next match against Hotarugawa...\We have to win!\Yes!\What? You two broke up?\Yeah. response:	I see.
context: I can't break our agreement.\Come on! For preventing injuries, running is the best!\The next match against Hotarugawa...\We have to win!\Yes!\What? You two broke up?\Yeah.\I see. response:	That's not something for you to be sad about!
context: Come on! For preventing injuries, running is the best!\The next match against Hotarugawa...\We have to win!\Yes!\What? You two broke up?\Yeah.\I see.\That's not something for you to be sad about! response:	Isurugi Noe is a pretty nice girl.
context: The next match against Hotarugawa...\We have to win!\Yes!\What? You two broke up?\Yeah.\I see.\That's not something for you to be sad about!\Isurugi Noe is a pretty nice girl. response:	Just some helpful advice.
context: We have to win!\Yes!\What? You two broke up?\Yeah.\I see.\That's not something for you to be sad about!\Isurugi Noe is a pretty nice girl.\Just some helpful advice. response:	Well then, I'm leaving.
context: Yes!\What? You two broke up?\Yeah.\I see.\That's not something for you to be sad about!\Isurugi Noe is a pretty nice girl.\Just some helpful advice.\Well then, I'm leaving. response:	What? No way!
context: What? You two broke up?\Yeah.\I see.\That's not something for you to be sad about!\Isurugi Noe is a pretty nice girl.\Just some helpful advice.\Well then, I'm leaving.\What? No way! response:	It's true! It's the first time I've heard about that!
context: Yeah.\I see.\That's not something for you to be sad about!\Isurugi Noe is a pretty nice girl.\Just some helpful advice.\Well then, I'm leaving.\What? No way!\It's true! It's the first time I've heard about that! response:	Is it because of me?
context: I see.\That's not something for you to be sad about!\Isurugi Noe is a pretty nice girl.\Just some helpful advice.\Well then, I'm leaving.\What? No way!\It's true! It's the first time I've heard about that!\Is it because of me? response:	Did you feed it those red seeds?
context: That's not something for you to be sad about!\Isurugi Noe is a pretty nice girl.\Just some helpful advice.\Well then, I'm leaving.\What? No way!\It's true! It's the first time I've heard about that!\Is it because of me?\Did you feed it those red seeds? response:	Yup.
context: Isurugi Noe is a pretty nice girl.\Just some helpful advice.\Well then, I'm leaving.\What? No way!\It's true! It's the first time I've heard about that!\Is it because of me?\Did you feed it those red seeds?\Yup. response:	What's the matter?
context: Just some helpful advice.\Well then, I'm leaving.\What? No way!\It's true! It's the first time I've heard about that!\Is it because of me?\Did you feed it those red seeds?\Yup.\What's the matter? response:	Well, a lot of things happened.
context: Well then, I'm leaving.\What? No way!\It's true! It's the first time I've heard about that!\Is it because of me?\Did you feed it those red seeds?\Yup.\What's the matter?\Well, a lot of things happened. response:	Why are you coming to me?
context: What? No way!\It's true! It's the first time I've heard about that!\Is it because of me?\Did you feed it those red seeds?\Yup.\What's the matter?\Well, a lot of things happened.\Why are you coming to me? response:	Eh?
context: It's true! It's the first time I've heard about that!\Is it because of me?\Did you feed it those red seeds?\Yup.\What's the matter?\Well, a lot of things happened.\Why are you coming to me?\Eh? response:	Nah, it's nothing.
context: Is it because of me?\Did you feed it those red seeds?\Yup.\What's the matter?\Well, a lot of things happened.\Why are you coming to me?\Eh?\Nah, it's nothing. response:	We have dance practice later, you want to come?
context: Did you feed it those red seeds?\Yup.\What's the matter?\Well, a lot of things happened.\Why are you coming to me?\Eh?\Nah, it's nothing.\We have dance practice later, you want to come? response:	Can you dance for me today?
context: Yup.\What's the matter?\Well, a lot of things happened.\Why are you coming to me?\Eh?\Nah, it's nothing.\We have dance practice later, you want to come?\Can you dance for me today? response:	Yeah, sure.
context: What's the matter?\Well, a lot of things happened.\Why are you coming to me?\Eh?\Nah, it's nothing.\We have dance practice later, you want to come?\Can you dance for me today?\Yeah, sure. response:	Granny, just one more time.
context: Well, a lot of things happened.\Why are you coming to me?\Eh?\Nah, it's nothing.\We have dance practice later, you want to come?\Can you dance for me today?\Yeah, sure.\Granny, just one more time. response:	This will be the last time I do it.
