context: The Year 1879 (What is now) Menlo Park, America response:	What's happening? The Year 1879 (What is now) Menlo Park, America
context: Mari, grab on to the ladder!\Papa!\I'll be fine! You stay still!\But Papa!\Papa!\Brother, what's happening?\I don't know.\It could be a time paradox variation. response:	What does that mean?
context: Papa!\I'll be fine! You stay still!\But Papa!\Papa!\Brother, what's happening?\I don't know.\It could be a time paradox variation.\What does that mean? response:	I don't know all the details.
context: I'll be fine! You stay still!\But Papa!\Papa!\Brother, what's happening?\I don't know.\It could be a time paradox variation.\What does that mean?\I don't know all the details. response:	It's when something causes a disturbance in space and time.
context: But Papa!\Papa!\Brother, what's happening?\I don't know.\It could be a time paradox variation.\What does that mean?\I don't know all the details.\It's when something causes a disturbance in space and time. response:	What kind of thing?!
context: Papa!\Brother, what's happening?\I don't know.\It could be a time paradox variation.\What does that mean?\I don't know all the details.\It's when something causes a disturbance in space and time.\What kind of thing?! response:	I don't know!
context: Brother, what's happening?\I don't know.\It could be a time paradox variation.\What does that mean?\I don't know all the details.\It's when something causes a disturbance in space and time.\What kind of thing?!\I don't know! response:	Mr. Mikage...
context: I don't know.\It could be a time paradox variation.\What does that mean?\I don't know all the details.\It's when something causes a disturbance in space and time.\What kind of thing?!\I don't know!\Mr. Mikage... response:	Papa!
context: It could be a time paradox variation.\What does that mean?\I don't know all the details.\It's when something causes a disturbance in space and time.\What kind of thing?!\I don't know!\Mr. Mikage...\Papa! response:	It's no use. I can't control it!
context: What does that mean?\I don't know all the details.\It's when something causes a disturbance in space and time.\What kind of thing?!\I don't know!\Mr. Mikage...\Papa!\It's no use. I can't control it! response:	You can't bring them back?!
context: I don't know all the details.\It's when something causes a disturbance in space and time.\What kind of thing?!\I don't know!\Mr. Mikage...\Papa!\It's no use. I can't control it!\You can't bring them back?! response:	What if they're dragged into that thing?
context: It's when something causes a disturbance in space and time.\What kind of thing?!\I don't know!\Mr. Mikage...\Papa!\It's no use. I can't control it!\You can't bring them back?!\What if they're dragged into that thing? response:	They could be thrown to the far edge of space-time.
context: What kind of thing?!\I don't know!\Mr. Mikage...\Papa!\It's no use. I can't control it!\You can't bring them back?!\What if they're dragged into that thing?\They could be thrown to the far edge of space-time. response:	Papa!
context: I don't know!\Mr. Mikage...\Papa!\It's no use. I can't control it!\You can't bring them back?!\What if they're dragged into that thing?\They could be thrown to the far edge of space-time.\Papa! response:	Papa!
context: Mr. Mikage...\Papa!\It's no use. I can't control it!\You can't bring them back?!\What if they're dragged into that thing?\They could be thrown to the far edge of space-time.\Papa!\Papa! response:	Mari! Can you hear me, Mari?
context: Papa!\It's no use. I can't control it!\You can't bring them back?!\What if they're dragged into that thing?\They could be thrown to the far edge of space-time.\Papa!\Papa!\Mari! Can you hear me, Mari? response:	Waka?
context: It's no use. I can't control it!\You can't bring them back?!\What if they're dragged into that thing?\They could be thrown to the far edge of space-time.\Papa!\Papa!\Mari! Can you hear me, Mari?\Waka? response:	Use the compass to get back here right now!
context: You can't bring them back?!\What if they're dragged into that thing?\They could be thrown to the far edge of space-time.\Papa!\Papa!\Mari! Can you hear me, Mari?\Waka?\Use the compass to get back here right now! response:	There's an abnormality in the system. We can't bring you back from our end.
context: What if they're dragged into that thing?\They could be thrown to the far edge of space-time.\Papa!\Papa!\Mari! Can you hear me, Mari?\Waka?\Use the compass to get back here right now!\There's an abnormality in the system. We can't bring you back from our end. response:	Is that Shun? What's going on?
context: They could be thrown to the far edge of space-time.\Papa!\Papa!\Mari! Can you hear me, Mari?\Waka?\Use the compass to get back here right now!\There's an abnormality in the system. We can't bring you back from our end.\Is that Shun? What's going on? response:	The TSS is out of control.
context: Papa!\Papa!\Mari! Can you hear me, Mari?\Waka?\Use the compass to get back here right now!\There's an abnormality in the system. We can't bring you back from our end.\Is that Shun? What's going on?\The TSS is out of control. response:	Mr. Mikage...
context: Papa!\Mari! Can you hear me, Mari?\Waka?\Use the compass to get back here right now!\There's an abnormality in the system. We can't bring you back from our end.\Is that Shun? What's going on?\The TSS is out of control.\Mr. Mikage... response:	Is there a way to get back using this?
context: Mari! Can you hear me, Mari?\Waka?\Use the compass to get back here right now!\There's an abnormality in the system. We can't bring you back from our end.\Is that Shun? What's going on?\The TSS is out of control.\Mr. Mikage...\Is there a way to get back using this? response:	Tell me!
context: Waka?\Use the compass to get back here right now!\There's an abnormality in the system. We can't bring you back from our end.\Is that Shun? What's going on?\The TSS is out of control.\Mr. Mikage...\Is there a way to get back using this?\Tell me! response:	How can we get out of here?
context: Use the compass to get back here right now!\There's an abnormality in the system. We can't bring you back from our end.\Is that Shun? What's going on?\The TSS is out of control.\Mr. Mikage...\Is there a way to get back using this?\Tell me!\How can we get out of here? response:	What?
context: There's an abnormality in the system. We can't bring you back from our end.\Is that Shun? What's going on?\The TSS is out of control.\Mr. Mikage...\Is there a way to get back using this?\Tell me!\How can we get out of here?\What? response:	Of course! This is the cause!
context: Is that Shun? What's going on?\The TSS is out of control.\Mr. Mikage...\Is there a way to get back using this?\Tell me!\How can we get out of here?\What?\Of course! This is the cause! response:	Mari!
context: The TSS is out of control.\Mr. Mikage...\Is there a way to get back using this?\Tell me!\How can we get out of here?\What?\Of course! This is the cause!\Mari! response:	You said the third armillary compass was on the floor of the laboratory?
context: Mr. Mikage...\Is there a way to get back using this?\Tell me!\How can we get out of here?\What?\Of course! This is the cause!\Mari!\You said the third armillary compass was on the floor of the laboratory? response:	Yeah!
context: Is there a way to get back using this?\Tell me!\How can we get out of here?\What?\Of course! This is the cause!\Mari!\You said the third armillary compass was on the floor of the laboratory?\Yeah! response:	There were only two armillary compasses at the start.
context: Tell me!\How can we get out of here?\What?\Of course! This is the cause!\Mari!\You said the third armillary compass was on the floor of the laboratory?\Yeah!\There were only two armillary compasses at the start. response:	You have one. And the other...
context: How can we get out of here?\What?\Of course! This is the cause!\Mari!\You said the third armillary compass was on the floor of the laboratory?\Yeah!\There were only two armillary compasses at the start.\You have one. And the other... response:	What do you mean?
context: What?\Of course! This is the cause!\Mari!\You said the third armillary compass was on the floor of the laboratory?\Yeah!\There were only two armillary compasses at the start.\You have one. And the other...\What do you mean? response:	These two armillary compasses are the same!
context: Of course! This is the cause!\Mari!\You said the third armillary compass was on the floor of the laboratory?\Yeah!\There were only two armillary compasses at the start.\You have one. And the other...\What do you mean?\These two armillary compasses are the same! response:	What do you mean?
context: Mari!\You said the third armillary compass was on the floor of the laboratory?\Yeah!\There were only two armillary compasses at the start.\You have one. And the other...\What do you mean?\These two armillary compasses are the same!\What do you mean? response:	Two copies of the same thing can't exist in the same place at the same time!
context: You said the third armillary compass was on the floor of the laboratory?\Yeah!\There were only two armillary compasses at the start.\You have one. And the other...\What do you mean?\These two armillary compasses are the same!\What do you mean?\Two copies of the same thing can't exist in the same place at the same time! response:	Oh no!
context: Yeah!\There were only two armillary compasses at the start.\You have one. And the other...\What do you mean?\These two armillary compasses are the same!\What do you mean?\Two copies of the same thing can't exist in the same place at the same time!\Oh no! response:	Shut off the power!
context: There were only two armillary compasses at the start.\You have one. And the other...\What do you mean?\These two armillary compasses are the same!\What do you mean?\Two copies of the same thing can't exist in the same place at the same time!\Oh no!\Shut off the power! response:	No!
context: You have one. And the other...\What do you mean?\These two armillary compasses are the same!\What do you mean?\Two copies of the same thing can't exist in the same place at the same time!\Oh no!\Shut off the power!\No! response:	If I did that, they'd be lost forever!
context: What do you mean?\These two armillary compasses are the same!\What do you mean?\Two copies of the same thing can't exist in the same place at the same time!\Oh no!\Shut off the power!\No!\If I did that, they'd be lost forever! response:	Just shut off the power for now.
context: These two armillary compasses are the same!\What do you mean?\Two copies of the same thing can't exist in the same place at the same time!\Oh no!\Shut off the power!\No!\If I did that, they'd be lost forever!\Just shut off the power for now. response:	We'll fix that and then restart the program!
context: What do you mean?\Two copies of the same thing can't exist in the same place at the same time!\Oh no!\Shut off the power!\No!\If I did that, they'd be lost forever!\Just shut off the power for now.\We'll fix that and then restart the program! response:	Restart it? How?!
context: Two copies of the same thing can't exist in the same place at the same time!\Oh no!\Shut off the power!\No!\If I did that, they'd be lost forever!\Just shut off the power for now.\We'll fix that and then restart the program!\Restart it? How?! response:	There's no guarantee that we'll be able to do that without a compass!
context: Oh no!\Shut off the power!\No!\If I did that, they'd be lost forever!\Just shut off the power for now.\We'll fix that and then restart the program!\Restart it? How?!\There's no guarantee that we'll be able to do that without a compass! response:	The system's going to catch fire! You just want to let that happen?!
context: Shut off the power!\No!\If I did that, they'd be lost forever!\Just shut off the power for now.\We'll fix that and then restart the program!\Restart it? How?!\There's no guarantee that we'll be able to do that without a compass!\The system's going to catch fire! You just want to let that happen?! response:	Stop it!
context: No!\If I did that, they'd be lost forever!\Just shut off the power for now.\We'll fix that and then restart the program!\Restart it? How?!\There's no guarantee that we'll be able to do that without a compass!\The system's going to catch fire! You just want to let that happen?!\Stop it! response:	What are you doing?!
context: If I did that, they'd be lost forever!\Just shut off the power for now.\We'll fix that and then restart the program!\Restart it? How?!\There's no guarantee that we'll be able to do that without a compass!\The system's going to catch fire! You just want to let that happen?!\Stop it!\What are you doing?! response:	Let me go!
context: Just shut off the power for now.\We'll fix that and then restart the program!\Restart it? How?!\There's no guarantee that we'll be able to do that without a compass!\The system's going to catch fire! You just want to let that happen?!\Stop it!\What are you doing?!\Let me go! response:	No!
context: We'll fix that and then restart the program!\Restart it? How?!\There's no guarantee that we'll be able to do that without a compass!\The system's going to catch fire! You just want to let that happen?!\Stop it!\What are you doing?!\Let me go!\No! response:	Mari! Eiji! Come back quickly!
context: Restart it? How?!\There's no guarantee that we'll be able to do that without a compass!\The system's going to catch fire! You just want to let that happen?!\Stop it!\What are you doing?!\Let me go!\No!\Mari! Eiji! Come back quickly! response:	You said this is the cause since two of it exist in the same place and time?
context: There's no guarantee that we'll be able to do that without a compass!\The system's going to catch fire! You just want to let that happen?!\Stop it!\What are you doing?!\Let me go!\No!\Mari! Eiji! Come back quickly!\You said this is the cause since two of it exist in the same place and time? response:	Then I'll return it to the 21st century.
context: The system's going to catch fire! You just want to let that happen?!\Stop it!\What are you doing?!\Let me go!\No!\Mari! Eiji! Come back quickly!\You said this is the cause since two of it exist in the same place and time?\Then I'll return it to the 21st century. response:	At this rate, you, I, and your daughter will all die!
context: Stop it!\What are you doing?!\Let me go!\No!\Mari! Eiji! Come back quickly!\You said this is the cause since two of it exist in the same place and time?\Then I'll return it to the 21st century.\At this rate, you, I, and your daughter will all die! response:	Mari! Head back before me!
context: What are you doing?!\Let me go!\No!\Mari! Eiji! Come back quickly!\You said this is the cause since two of it exist in the same place and time?\Then I'll return it to the 21st century.\At this rate, you, I, and your daughter will all die!\Mari! Head back before me! response:	What about you? I won't go without you!
context: Let me go!\No!\Mari! Eiji! Come back quickly!\You said this is the cause since two of it exist in the same place and time?\Then I'll return it to the 21st century.\At this rate, you, I, and your daughter will all die!\Mari! Head back before me!\What about you? I won't go without you! response:	Papa!
context: No!\Mari! Eiji! Come back quickly!\You said this is the cause since two of it exist in the same place and time?\Then I'll return it to the 21st century.\At this rate, you, I, and your daughter will all die!\Mari! Head back before me!\What about you? I won't go without you!\Papa! response:	Damn you!
context: Mari! Eiji! Come back quickly!\You said this is the cause since two of it exist in the same place and time?\Then I'll return it to the 21st century.\At this rate, you, I, and your daughter will all die!\Mari! Head back before me!\What about you? I won't go without you!\Papa!\Damn you! response:	Tell me!
context: You said this is the cause since two of it exist in the same place and time?\Then I'll return it to the 21st century.\At this rate, you, I, and your daughter will all die!\Mari! Head back before me!\What about you? I won't go without you!\Papa!\Damn you!\Tell me! response:	You won't do it?
context: Then I'll return it to the 21st century.\At this rate, you, I, and your daughter will all die!\Mari! Head back before me!\What about you? I won't go without you!\Papa!\Damn you!\Tell me!\You won't do it? response:	Stop it! Stop it!
context: At this rate, you, I, and your daughter will all die!\Mari! Head back before me!\What about you? I won't go without you!\Papa!\Damn you!\Tell me!\You won't do it?\Stop it! Stop it! response:	How do I get back to the 21st century?
context: Mari! Head back before me!\What about you? I won't go without you!\Papa!\Damn you!\Tell me!\You won't do it?\Stop it! Stop it!\How do I get back to the 21st century? response:	Mari, don't tell him!
context: What about you? I won't go without you!\Papa!\Damn you!\Tell me!\You won't do it?\Stop it! Stop it!\How do I get back to the 21st century?\Mari, don't tell him! response:	I see.
context: Papa!\Damn you!\Tell me!\You won't do it?\Stop it! Stop it!\How do I get back to the 21st century?\Mari, don't tell him!\I see. response:	-In that case... -Mikage... damn you!
context: Damn you!\Tell me!\You won't do it?\Stop it! Stop it!\How do I get back to the 21st century?\Mari, don't tell him!\I see.\-In that case... -Mikage... damn you! response:	The dial! Turn the dial on the bottom of the compass!
context: Tell me!\You won't do it?\Stop it! Stop it!\How do I get back to the 21st century?\Mari, don't tell him!\I see.\-In that case... -Mikage... damn you!\The dial! Turn the dial on the bottom of the compass! response:	Mari!
context: You won't do it?\Stop it! Stop it!\How do I get back to the 21st century?\Mari, don't tell him!\I see.\-In that case... -Mikage... damn you!\The dial! Turn the dial on the bottom of the compass!\Mari! response:	The dial?
context: Stop it! Stop it!\How do I get back to the 21st century?\Mari, don't tell him!\I see.\-In that case... -Mikage... damn you!\The dial! Turn the dial on the bottom of the compass!\Mari!\The dial? response:	That's how you get back!
context: How do I get back to the 21st century?\Mari, don't tell him!\I see.\-In that case... -Mikage... damn you!\The dial! Turn the dial on the bottom of the compass!\Mari!\The dial?\That's how you get back! response:	Nothing's happening!
context: Mari, don't tell him!\I see.\-In that case... -Mikage... damn you!\The dial! Turn the dial on the bottom of the compass!\Mari!\The dial?\That's how you get back!\Nothing's happening! response:	Oh no!
context: I see.\-In that case... -Mikage... damn you!\The dial! Turn the dial on the bottom of the compass!\Mari!\The dial?\That's how you get back!\Nothing's happening!\Oh no! response:	I can't get back?
context: -In that case... -Mikage... damn you!\The dial! Turn the dial on the bottom of the compass!\Mari!\The dial?\That's how you get back!\Nothing's happening!\Oh no!\I can't get back? response:	Shun, what's wrong?!
context: The dial! Turn the dial on the bottom of the compass!\Mari!\The dial?\That's how you get back!\Nothing's happening!\Oh no!\I can't get back?\Shun, what's wrong?! response:	Brother?
context: Mari!\The dial?\That's how you get back!\Nothing's happening!\Oh no!\I can't get back?\Shun, what's wrong?!\Brother? response:	The link's been severed.
context: The dial?\That's how you get back!\Nothing's happening!\Oh no!\I can't get back?\Shun, what's wrong?!\Brother?\The link's been severed. response:	I warned you!
context: That's how you get back!\Nothing's happening!\Oh no!\I can't get back?\Shun, what's wrong?!\Brother?\The link's been severed.\I warned you! response:	You mean it's broken?
context: Nothing's happening!\Oh no!\I can't get back?\Shun, what's wrong?!\Brother?\The link's been severed.\I warned you!\You mean it's broken? response:	Then... Mari and Eiji are...
context: Oh no!\I can't get back?\Shun, what's wrong?!\Brother?\The link's been severed.\I warned you!\You mean it's broken?\Then... Mari and Eiji are... response:	Mr. Mikage...
context: I can't get back?\Shun, what's wrong?!\Brother?\The link's been severed.\I warned you!\You mean it's broken?\Then... Mari and Eiji are...\Mr. Mikage... response:	They can't come back?
context: Shun, what's wrong?!\Brother?\The link's been severed.\I warned you!\You mean it's broken?\Then... Mari and Eiji are...\Mr. Mikage...\They can't come back? response:	Mari! Eiji!
context: Brother?\The link's been severed.\I warned you!\You mean it's broken?\Then... Mari and Eiji are...\Mr. Mikage...\They can't come back?\Mari! Eiji! response:	Mari!
context: The link's been severed.\I warned you!\You mean it's broken?\Then... Mari and Eiji are...\Mr. Mikage...\They can't come back?\Mari! Eiji!\Mari! response:	It's no use! I'm going to be sucked in!
context: I warned you!\You mean it's broken?\Then... Mari and Eiji are...\Mr. Mikage...\They can't come back?\Mari! Eiji!\Mari!\It's no use! I'm going to be sucked in! response:	Hayase!
context: You mean it's broken?\Then... Mari and Eiji are...\Mr. Mikage...\They can't come back?\Mari! Eiji!\Mari!\It's no use! I'm going to be sucked in!\Hayase! response:	You said the problem was having two of these in one place?
context: Then... Mari and Eiji are...\Mr. Mikage...\They can't come back?\Mari! Eiji!\Mari!\It's no use! I'm going to be sucked in!\Hayase!\You said the problem was having two of these in one place? response:	Papa!
context: Mr. Mikage...\They can't come back?\Mari! Eiji!\Mari!\It's no use! I'm going to be sucked in!\Hayase!\You said the problem was having two of these in one place?\Papa! response:	Then if one of them disappears...
context: They can't come back?\Mari! Eiji!\Mari!\It's no use! I'm going to be sucked in!\Hayase!\You said the problem was having two of these in one place?\Papa!\Then if one of them disappears... response:	You...!
context: Mari! Eiji!\Mari!\It's no use! I'm going to be sucked in!\Hayase!\You said the problem was having two of these in one place?\Papa!\Then if one of them disappears...\You...! response:	L-Let go!
context: Mari!\It's no use! I'm going to be sucked in!\Hayase!\You said the problem was having two of these in one place?\Papa!\Then if one of them disappears...\You...!\L-Let go! response:	Papa!
context: It's no use! I'm going to be sucked in!\Hayase!\You said the problem was having two of these in one place?\Papa!\Then if one of them disappears...\You...!\L-Let go!\Papa! response:	What curious weather...
context: Hayase!\You said the problem was having two of these in one place?\Papa!\Then if one of them disappears...\You...!\L-Let go!\Papa!\What curious weather... response:	I told you to focus!
context: You said the problem was having two of these in one place?\Papa!\Then if one of them disappears...\You...!\L-Let go!\Papa!\What curious weather...\I told you to focus! response:	S-Sorry.
context: Papa!\Then if one of them disappears...\You...!\L-Let go!\Papa!\What curious weather...\I told you to focus!\S-Sorry. response:	It died down.
context: Then if one of them disappears...\You...!\L-Let go!\Papa!\What curious weather...\I told you to focus!\S-Sorry.\It died down. response:	Papa!
context: You...!\L-Let go!\Papa!\What curious weather...\I told you to focus!\S-Sorry.\It died down.\Papa! response:	Are you okay?
context: L-Let go!\Papa!\What curious weather...\I told you to focus!\S-Sorry.\It died down.\Papa!\Are you okay? response:	Yeah, I think so.
context: Papa!\What curious weather...\I told you to focus!\S-Sorry.\It died down.\Papa!\Are you okay?\Yeah, I think so. response:	Ow...
context: What curious weather...\I told you to focus!\S-Sorry.\It died down.\Papa!\Are you okay?\Yeah, I think so.\Ow... response:	Is that how the armillary compass ended up on the floor in the basement?
context: I told you to focus!\S-Sorry.\It died down.\Papa!\Are you okay?\Yeah, I think so.\Ow...\Is that how the armillary compass ended up on the floor in the basement? response:	The compass that got sucked in got sent to the floor of the basement?
context: S-Sorry.\It died down.\Papa!\Are you okay?\Yeah, I think so.\Ow...\Is that how the armillary compass ended up on the floor in the basement?\The compass that got sucked in got sent to the floor of the basement? response:	Is that it?
context: It died down.\Papa!\Are you okay?\Yeah, I think so.\Ow...\Is that how the armillary compass ended up on the floor in the basement?\The compass that got sucked in got sent to the floor of the basement?\Is that it? response:	Yes, most likely.
context: Papa!\Are you okay?\Yeah, I think so.\Ow...\Is that how the armillary compass ended up on the floor in the basement?\The compass that got sucked in got sent to the floor of the basement?\Is that it?\Yes, most likely. response:	-Eiji? -What?
context: Are you okay?\Yeah, I think so.\Ow...\Is that how the armillary compass ended up on the floor in the basement?\The compass that got sucked in got sent to the floor of the basement?\Is that it?\Yes, most likely.\-Eiji? -What? response:	The system re-established the link automatically!
context: Yeah, I think so.\Ow...\Is that how the armillary compass ended up on the floor in the basement?\The compass that got sucked in got sent to the floor of the basement?\Is that it?\Yes, most likely.\-Eiji? -What?\The system re-established the link automatically! response:	An overload!
context: Ow...\Is that how the armillary compass ended up on the floor in the basement?\The compass that got sucked in got sent to the floor of the basement?\Is that it?\Yes, most likely.\-Eiji? -What?\The system re-established the link automatically!\An overload! response:	I told you to shut off the power!
context: Is that how the armillary compass ended up on the floor in the basement?\The compass that got sucked in got sent to the floor of the basement?\Is that it?\Yes, most likely.\-Eiji? -What?\The system re-established the link automatically!\An overload!\I told you to shut off the power! response:	Shun!
context: The compass that got sucked in got sent to the floor of the basement?\Is that it?\Yes, most likely.\-Eiji? -What?\The system re-established the link automatically!\An overload!\I told you to shut off the power!\Shun! response:	Idiot! We'll burn to death!
context: Is that it?\Yes, most likely.\-Eiji? -What?\The system re-established the link automatically!\An overload!\I told you to shut off the power!\Shun!\Idiot! We'll burn to death! response:	This is ridiculous! Burn to death here if you like.
context: Yes, most likely.\-Eiji? -What?\The system re-established the link automatically!\An overload!\I told you to shut off the power!\Shun!\Idiot! We'll burn to death!\This is ridiculous! Burn to death here if you like. response:	I'm out of here!
context: -Eiji? -What?\The system re-established the link automatically!\An overload!\I told you to shut off the power!\Shun!\Idiot! We'll burn to death!\This is ridiculous! Burn to death here if you like.\I'm out of here! response:	Ms. Kuroki, let's run away!
context: The system re-established the link automatically!\An overload!\I told you to shut off the power!\Shun!\Idiot! We'll burn to death!\This is ridiculous! Burn to death here if you like.\I'm out of here!\Ms. Kuroki, let's run away! response:	I can't abandon Mr. Mikage!
context: An overload!\I told you to shut off the power!\Shun!\Idiot! We'll burn to death!\This is ridiculous! Burn to death here if you like.\I'm out of here!\Ms. Kuroki, let's run away!\I can't abandon Mr. Mikage! response:	B-But...
context: I told you to shut off the power!\Shun!\Idiot! We'll burn to death!\This is ridiculous! Burn to death here if you like.\I'm out of here!\Ms. Kuroki, let's run away!\I can't abandon Mr. Mikage!\B-But... response:	H-Hey! You two!
context: Shun!\Idiot! We'll burn to death!\This is ridiculous! Burn to death here if you like.\I'm out of here!\Ms. Kuroki, let's run away!\I can't abandon Mr. Mikage!\B-But...\H-Hey! You two! response:	Wait!
context: Idiot! We'll burn to death!\This is ridiculous! Burn to death here if you like.\I'm out of here!\Ms. Kuroki, let's run away!\I can't abandon Mr. Mikage!\B-But...\H-Hey! You two!\Wait! response:	Shun, Waka, you run, too.
context: This is ridiculous! Burn to death here if you like.\I'm out of here!\Ms. Kuroki, let's run away!\I can't abandon Mr. Mikage!\B-But...\H-Hey! You two!\Wait!\Shun, Waka, you run, too. response:	No.
context: I'm out of here!\Ms. Kuroki, let's run away!\I can't abandon Mr. Mikage!\B-But...\H-Hey! You two!\Wait!\Shun, Waka, you run, too.\No. response:	You've done enough, right?
context: Ms. Kuroki, let's run away!\I can't abandon Mr. Mikage!\B-But...\H-Hey! You two!\Wait!\Shun, Waka, you run, too.\No.\You've done enough, right? response:	Untie us already!
context: I can't abandon Mr. Mikage!\B-But...\H-Hey! You two!\Wait!\Shun, Waka, you run, too.\No.\You've done enough, right?\Untie us already! response:	Can you stand, Papa?
context: B-But...\H-Hey! You two!\Wait!\Shun, Waka, you run, too.\No.\You've done enough, right?\Untie us already!\Can you stand, Papa? response:	Yes.
context: H-Hey! You two!\Wait!\Shun, Waka, you run, too.\No.\You've done enough, right?\Untie us already!\Can you stand, Papa?\Yes. response:	Hand it over...
context: Wait!\Shun, Waka, you run, too.\No.\You've done enough, right?\Untie us already!\Can you stand, Papa?\Yes.\Hand it over... response:	The compass.
context: Shun, Waka, you run, too.\No.\You've done enough, right?\Untie us already!\Can you stand, Papa?\Yes.\Hand it over...\The compass. response:	Hand it over.
context: No.\You've done enough, right?\Untie us already!\Can you stand, Papa?\Yes.\Hand it over...\The compass.\Hand it over. response:	Turning the dial won't get you back.
context: You've done enough, right?\Untie us already!\Can you stand, Papa?\Yes.\Hand it over...\The compass.\Hand it over.\Turning the dial won't get you back. response:	We don't know that yet.
