context: Redraw? response:	After what Eiji said about the name, we can't make it into a manuscript.
context: I've been thinking I need to try to aim higher.\Hang on a minute, I'll write down my ideas in note form.\I'm not sure if the stuff is good enough to get serialized,\but we don't have the luxury of holding back here.\Yeah!\You guys sure are idiots.\Yeah, we're still at the dreaming idiot right now.\What's that? response:	What's this crap about a tie for 1st?
context: Hang on a minute, I'll write down my ideas in note form.\I'm not sure if the stuff is good enough to get serialized,\but we don't have the luxury of holding back here.\Yeah!\You guys sure are idiots.\Yeah, we're still at the dreaming idiot right now.\What's that?\What's this crap about a tie for 1st? response:	I've got to make it even more intense, more overwhelming!
context: I'm not sure if the stuff is good enough to get serialized,\but we don't have the luxury of holding back here.\Yeah!\You guys sure are idiots.\Yeah, we're still at the dreaming idiot right now.\What's that?\What's this crap about a tie for 1st?\I've got to make it even more intense, more overwhelming! response:	The kind of shounen manga that nobody reading it could have any complaints about!
context: but we don't have the luxury of holding back here.\Yeah!\You guys sure are idiots.\Yeah, we're still at the dreaming idiot right now.\What's that?\What's this crap about a tie for 1st?\I've got to make it even more intense, more overwhelming!\The kind of shounen manga that nobody reading it could have any complaints about! response:	Geez... he's redrawing his name for the Golden Future Cup.
context: Yeah!\You guys sure are idiots.\Yeah, we're still at the dreaming idiot right now.\What's that?\What's this crap about a tie for 1st?\I've got to make it even more intense, more overwhelming!\The kind of shounen manga that nobody reading it could have any complaints about!\Geez... he's redrawing his name for the Golden Future Cup. response:	I'm in charge of the artwork, so I need to accept the name Aoki-san gives me to make our final work.
context: You guys sure are idiots.\Yeah, we're still at the dreaming idiot right now.\What's that?\What's this crap about a tie for 1st?\I've got to make it even more intense, more overwhelming!\The kind of shounen manga that nobody reading it could have any complaints about!\Geez... he's redrawing his name for the Golden Future Cup.\I'm in charge of the artwork, so I need to accept the name Aoki-san gives me to make our final work. response:	She asked me to wait for her to finish the under-sketch on our way home yesterday,
context: Yeah, we're still at the dreaming idiot right now.\What's that?\What's this crap about a tie for 1st?\I've got to make it even more intense, more overwhelming!\The kind of shounen manga that nobody reading it could have any complaints about!\Geez... he's redrawing his name for the Golden Future Cup.\I'm in charge of the artwork, so I need to accept the name Aoki-san gives me to make our final work.\She asked me to wait for her to finish the under-sketch on our way home yesterday, response:	and it's Aoki-san's name, too...
context: What's that?\What's this crap about a tie for 1st?\I've got to make it even more intense, more overwhelming!\The kind of shounen manga that nobody reading it could have any complaints about!\Geez... he's redrawing his name for the Golden Future Cup.\I'm in charge of the artwork, so I need to accept the name Aoki-san gives me to make our final work.\She asked me to wait for her to finish the under-sketch on our way home yesterday,\and it's Aoki-san's name, too... response:	So that means all I can do is try to improve the quality of the final artwork.
context: What's this crap about a tie for 1st?\I've got to make it even more intense, more overwhelming!\The kind of shounen manga that nobody reading it could have any complaints about!\Geez... he's redrawing his name for the Golden Future Cup.\I'm in charge of the artwork, so I need to accept the name Aoki-san gives me to make our final work.\She asked me to wait for her to finish the under-sketch on our way home yesterday,\and it's Aoki-san's name, too...\So that means all I can do is try to improve the quality of the final artwork. response:	Yes! Crow!
context: I've got to make it even more intense, more overwhelming!\The kind of shounen manga that nobody reading it could have any complaints about!\Geez... he's redrawing his name for the Golden Future Cup.\I'm in charge of the artwork, so I need to accept the name Aoki-san gives me to make our final work.\She asked me to wait for her to finish the under-sketch on our way home yesterday,\and it's Aoki-san's name, too...\So that means all I can do is try to improve the quality of the final artwork.\Yes! Crow! response:	I will...
context: The kind of shounen manga that nobody reading it could have any complaints about!\Geez... he's redrawing his name for the Golden Future Cup.\I'm in charge of the artwork, so I need to accept the name Aoki-san gives me to make our final work.\She asked me to wait for her to finish the under-sketch on our way home yesterday,\and it's Aoki-san's name, too...\So that means all I can do is try to improve the quality of the final artwork.\Yes! Crow!\I will... response:	definitely...
context: Geez... he's redrawing his name for the Golden Future Cup.\I'm in charge of the artwork, so I need to accept the name Aoki-san gives me to make our final work.\She asked me to wait for her to finish the under-sketch on our way home yesterday,\and it's Aoki-san's name, too...\So that means all I can do is try to improve the quality of the final artwork.\Yes! Crow!\I will...\definitely... response:	win the Golden Future Cup!
context: I'm in charge of the artwork, so I need to accept the name Aoki-san gives me to make our final work.\She asked me to wait for her to finish the under-sketch on our way home yesterday,\and it's Aoki-san's name, too...\So that means all I can do is try to improve the quality of the final artwork.\Yes! Crow!\I will...\definitely...\win the Golden Future Cup! response:	That's because it's shounen manga!
context: She asked me to wait for her to finish the under-sketch on our way home yesterday,\and it's Aoki-san's name, too...\So that means all I can do is try to improve the quality of the final artwork.\Yes! Crow!\I will...\definitely...\win the Golden Future Cup!\That's because it's shounen manga! response:	KOOGY-san, is your manga manuscript coming along okay?
context: and it's Aoki-san's name, too...\So that means all I can do is try to improve the quality of the final artwork.\Yes! Crow!\I will...\definitely...\win the Golden Future Cup!\That's because it's shounen manga!\KOOGY-san, is your manga manuscript coming along okay? response:	It's not important how it's going. It's already complete in my mind.
context: So that means all I can do is try to improve the quality of the final artwork.\Yes! Crow!\I will...\definitely...\win the Golden Future Cup!\That's because it's shounen manga!\KOOGY-san, is your manga manuscript coming along okay?\It's not important how it's going. It's already complete in my mind. response:	All that's left is to put it on paper so everyone can see it.
context: Yes! Crow!\I will...\definitely...\win the Golden Future Cup!\That's because it's shounen manga!\KOOGY-san, is your manga manuscript coming along okay?\It's not important how it's going. It's already complete in my mind.\All that's left is to put it on paper so everyone can see it. response:	This is your second work after the Tezuka Award, correct?
context: I will...\definitely...\win the Golden Future Cup!\That's because it's shounen manga!\KOOGY-san, is your manga manuscript coming along okay?\It's not important how it's going. It's already complete in my mind.\All that's left is to put it on paper so everyone can see it.\This is your second work after the Tezuka Award, correct? response:	Do you have confidence that you'll win the Golden Future Cup?
context: definitely...\win the Golden Future Cup!\That's because it's shounen manga!\KOOGY-san, is your manga manuscript coming along okay?\It's not important how it's going. It's already complete in my mind.\All that's left is to put it on paper so everyone can see it.\This is your second work after the Tezuka Award, correct?\Do you have confidence that you'll win the Golden Future Cup? response:	Far more than competing with anyone, what's important to me is being able to express my world to others.
context: win the Golden Future Cup!\That's because it's shounen manga!\KOOGY-san, is your manga manuscript coming along okay?\It's not important how it's going. It's already complete in my mind.\All that's left is to put it on paper so everyone can see it.\This is your second work after the Tezuka Award, correct?\Do you have confidence that you'll win the Golden Future Cup?\Far more than competing with anyone, what's important to me is being able to express my world to others. response:	After achieving success in things like music, drama, and fashion design,
context: That's because it's shounen manga!\KOOGY-san, is your manga manuscript coming along okay?\It's not important how it's going. It's already complete in my mind.\All that's left is to put it on paper so everyone can see it.\This is your second work after the Tezuka Award, correct?\Do you have confidence that you'll win the Golden Future Cup?\Far more than competing with anyone, what's important to me is being able to express my world to others.\After achieving success in things like music, drama, and fashion design, response:	I thought I'd try to start a revolution in the manga world.
context: KOOGY-san, is your manga manuscript coming along okay?\It's not important how it's going. It's already complete in my mind.\All that's left is to put it on paper so everyone can see it.\This is your second work after the Tezuka Award, correct?\Do you have confidence that you'll win the Golden Future Cup?\Far more than competing with anyone, what's important to me is being able to express my world to others.\After achieving success in things like music, drama, and fashion design,\I thought I'd try to start a revolution in the manga world. response:	So you're saying you're not concerned with winning or losing?
context: It's not important how it's going. It's already complete in my mind.\All that's left is to put it on paper so everyone can see it.\This is your second work after the Tezuka Award, correct?\Do you have confidence that you'll win the Golden Future Cup?\Far more than competing with anyone, what's important to me is being able to express my world to others.\After achieving success in things like music, drama, and fashion design,\I thought I'd try to start a revolution in the manga world.\So you're saying you're not concerned with winning or losing? response:	I wouldn't go that far.
context: All that's left is to put it on paper so everyone can see it.\This is your second work after the Tezuka Award, correct?\Do you have confidence that you'll win the Golden Future Cup?\Far more than competing with anyone, what's important to me is being able to express my world to others.\After achieving success in things like music, drama, and fashion design,\I thought I'd try to start a revolution in the manga world.\So you're saying you're not concerned with winning or losing?\I wouldn't go that far. response:	The one who gets 1st in the Golden Future Cup gets close to serialization all at once, right?
context: This is your second work after the Tezuka Award, correct?\Do you have confidence that you'll win the Golden Future Cup?\Far more than competing with anyone, what's important to me is being able to express my world to others.\After achieving success in things like music, drama, and fashion design,\I thought I'd try to start a revolution in the manga world.\So you're saying you're not concerned with winning or losing?\I wouldn't go that far.\The one who gets 1st in the Golden Future Cup gets close to serialization all at once, right? response:	And that way, I would be able let even more people know about the the KOOGY world.
context: Do you have confidence that you'll win the Golden Future Cup?\Far more than competing with anyone, what's important to me is being able to express my world to others.\After achieving success in things like music, drama, and fashion design,\I thought I'd try to start a revolution in the manga world.\So you're saying you're not concerned with winning or losing?\I wouldn't go that far.\The one who gets 1st in the Golden Future Cup gets close to serialization all at once, right?\And that way, I would be able let even more people know about the the KOOGY world. response:	Everyone, I hope you'll support me.
context: Far more than competing with anyone, what's important to me is being able to express my world to others.\After achieving success in things like music, drama, and fashion design,\I thought I'd try to start a revolution in the manga world.\So you're saying you're not concerned with winning or losing?\I wouldn't go that far.\The one who gets 1st in the Golden Future Cup gets close to serialization all at once, right?\And that way, I would be able let even more people know about the the KOOGY world.\Everyone, I hope you'll support me. response:	Just as I thought.
context: After achieving success in things like music, drama, and fashion design,\I thought I'd try to start a revolution in the manga world.\So you're saying you're not concerned with winning or losing?\I wouldn't go that far.\The one who gets 1st in the Golden Future Cup gets close to serialization all at once, right?\And that way, I would be able let even more people know about the the KOOGY world.\Everyone, I hope you'll support me.\Just as I thought. response:	I edited the composition of the second half a bit.
context: I thought I'd try to start a revolution in the manga world.\So you're saying you're not concerned with winning or losing?\I wouldn't go that far.\The one who gets 1st in the Golden Future Cup gets close to serialization all at once, right?\And that way, I would be able let even more people know about the the KOOGY world.\Everyone, I hope you'll support me.\Just as I thought.\I edited the composition of the second half a bit. response:	I went through your checks as well, Nakai-san.
context: So you're saying you're not concerned with winning or losing?\I wouldn't go that far.\The one who gets 1st in the Golden Future Cup gets close to serialization all at once, right?\And that way, I would be able let even more people know about the the KOOGY world.\Everyone, I hope you'll support me.\Just as I thought.\I edited the composition of the second half a bit.\I went through your checks as well, Nakai-san. response:	Yeah, this is good!
context: I wouldn't go that far.\The one who gets 1st in the Golden Future Cup gets close to serialization all at once, right?\And that way, I would be able let even more people know about the the KOOGY world.\Everyone, I hope you'll support me.\Just as I thought.\I edited the composition of the second half a bit.\I went through your checks as well, Nakai-san.\Yeah, this is good! response:	It's much easier to read than before!
context: The one who gets 1st in the Golden Future Cup gets close to serialization all at once, right?\And that way, I would be able let even more people know about the the KOOGY world.\Everyone, I hope you'll support me.\Just as I thought.\I edited the composition of the second half a bit.\I went through your checks as well, Nakai-san.\Yeah, this is good!\It's much easier to read than before! response:	And it's altogether more interesting!
context: And that way, I would be able let even more people know about the the KOOGY world.\Everyone, I hope you'll support me.\Just as I thought.\I edited the composition of the second half a bit.\I went through your checks as well, Nakai-san.\Yeah, this is good!\It's much easier to read than before!\And it's altogether more interesting! response:	With the added action scenes, it's more shounen manga-ish.
context: Everyone, I hope you'll support me.\Just as I thought.\I edited the composition of the second half a bit.\I went through your checks as well, Nakai-san.\Yeah, this is good!\It's much easier to read than before!\And it's altogether more interesting!\With the added action scenes, it's more shounen manga-ish. response:	Now I just need to get the look of your world 100 percent right!
context: Just as I thought.\I edited the composition of the second half a bit.\I went through your checks as well, Nakai-san.\Yeah, this is good!\It's much easier to read than before!\And it's altogether more interesting!\With the added action scenes, it's more shounen manga-ish.\Now I just need to get the look of your world 100 percent right! response:	No, if I can express it even better than that, I have no doubt we'll win the Golden Future Cup!
context: I edited the composition of the second half a bit.\I went through your checks as well, Nakai-san.\Yeah, this is good!\It's much easier to read than before!\And it's altogether more interesting!\With the added action scenes, it's more shounen manga-ish.\Now I just need to get the look of your world 100 percent right!\No, if I can express it even better than that, I have no doubt we'll win the Golden Future Cup! response:	Then the two of us will get serialized!
context: I went through your checks as well, Nakai-san.\Yeah, this is good!\It's much easier to read than before!\And it's altogether more interesting!\With the added action scenes, it's more shounen manga-ish.\Now I just need to get the look of your world 100 percent right!\No, if I can express it even better than that, I have no doubt we'll win the Golden Future Cup!\Then the two of us will get serialized! response:	Of course.
context: Yeah, this is good!\It's much easier to read than before!\And it's altogether more interesting!\With the added action scenes, it's more shounen manga-ish.\Now I just need to get the look of your world 100 percent right!\No, if I can express it even better than that, I have no doubt we'll win the Golden Future Cup!\Then the two of us will get serialized!\Of course. response:	Where's Moritaka?
context: It's much easier to read than before!\And it's altogether more interesting!\With the added action scenes, it's more shounen manga-ish.\Now I just need to get the look of your world 100 percent right!\No, if I can express it even better than that, I have no doubt we'll win the Golden Future Cup!\Then the two of us will get serialized!\Of course.\Where's Moritaka? response:	Still sleeping, of course.
context: And it's altogether more interesting!\With the added action scenes, it's more shounen manga-ish.\Now I just need to get the look of your world 100 percent right!\No, if I can express it even better than that, I have no doubt we'll win the Golden Future Cup!\Then the two of us will get serialized!\Of course.\Where's Moritaka?\Still sleeping, of course. response:	He was late yesterday too.
context: With the added action scenes, it's more shounen manga-ish.\Now I just need to get the look of your world 100 percent right!\No, if I can express it even better than that, I have no doubt we'll win the Golden Future Cup!\Then the two of us will get serialized!\Of course.\Where's Moritaka?\Still sleeping, of course.\He was late yesterday too. response:	Is that so?
context: Now I just need to get the look of your world 100 percent right!\No, if I can express it even better than that, I have no doubt we'll win the Golden Future Cup!\Then the two of us will get serialized!\Of course.\Where's Moritaka?\Still sleeping, of course.\He was late yesterday too.\Is that so? response:	Okay, I'm going.
context: No, if I can express it even better than that, I have no doubt we'll win the Golden Future Cup!\Then the two of us will get serialized!\Of course.\Where's Moritaka?\Still sleeping, of course.\He was late yesterday too.\Is that so?\Okay, I'm going. response:	I don't think I'll be back until the manuscript is done.
context: Then the two of us will get serialized!\Of course.\Where's Moritaka?\Still sleeping, of course.\He was late yesterday too.\Is that so?\Okay, I'm going.\I don't think I'll be back until the manuscript is done. response:	Not until it's done? How long will that be?
context: Of course.\Where's Moritaka?\Still sleeping, of course.\He was late yesterday too.\Is that so?\Okay, I'm going.\I don't think I'll be back until the manuscript is done.\Not until it's done? How long will that be? response:	The deadline is August 2nd.
context: Where's Moritaka?\Still sleeping, of course.\He was late yesterday too.\Is that so?\Okay, I'm going.\I don't think I'll be back until the manuscript is done.\Not until it's done? How long will that be?\The deadline is August 2nd. response:	I should've known you'd be all about this once summer vacation started.
context: Still sleeping, of course.\He was late yesterday too.\Is that so?\Okay, I'm going.\I don't think I'll be back until the manuscript is done.\Not until it's done? How long will that be?\The deadline is August 2nd.\I should've known you'd be all about this once summer vacation started. response:	Make sure to eat properly.
context: He was late yesterday too.\Is that so?\Okay, I'm going.\I don't think I'll be back until the manuscript is done.\Not until it's done? How long will that be?\The deadline is August 2nd.\I should've known you'd be all about this once summer vacation started.\Make sure to eat properly. response:	And please make sure not to push yourself too far.
context: Is that so?\Okay, I'm going.\I don't think I'll be back until the manuscript is done.\Not until it's done? How long will that be?\The deadline is August 2nd.\I should've known you'd be all about this once summer vacation started.\Make sure to eat properly.\And please make sure not to push yourself too far. response:	I know, I know.
context: Okay, I'm going.\I don't think I'll be back until the manuscript is done.\Not until it's done? How long will that be?\The deadline is August 2nd.\I should've known you'd be all about this once summer vacation started.\Make sure to eat properly.\And please make sure not to push yourself too far.\I know, I know. response:	Bye.
context: I don't think I'll be back until the manuscript is done.\Not until it's done? How long will that be?\The deadline is August 2nd.\I should've known you'd be all about this once summer vacation started.\Make sure to eat properly.\And please make sure not to push yourself too far.\I know, I know.\Bye. response:	Moritaka.
context: Not until it's done? How long will that be?\The deadline is August 2nd.\I should've known you'd be all about this once summer vacation started.\Make sure to eat properly.\And please make sure not to push yourself too far.\I know, I know.\Bye.\Moritaka. response:	What is it, Grandpa?
context: The deadline is August 2nd.\I should've known you'd be all about this once summer vacation started.\Make sure to eat properly.\And please make sure not to push yourself too far.\I know, I know.\Bye.\Moritaka.\What is it, Grandpa? response:	Working until you've done something you're happy with is good,
context: I should've known you'd be all about this once summer vacation started.\Make sure to eat properly.\And please make sure not to push yourself too far.\I know, I know.\Bye.\Moritaka.\What is it, Grandpa?\Working until you've done something you're happy with is good, response:	because it's something you chose yourself.
context: Make sure to eat properly.\And please make sure not to push yourself too far.\I know, I know.\Bye.\Moritaka.\What is it, Grandpa?\Working until you've done something you're happy with is good,\because it's something you chose yourself. response:	But don't forget those around you who are giving you their support, okay?
context: And please make sure not to push yourself too far.\I know, I know.\Bye.\Moritaka.\What is it, Grandpa?\Working until you've done something you're happy with is good,\because it's something you chose yourself.\But don't forget those around you who are giving you their support, okay? response:	Mm, got it.
context: I know, I know.\Bye.\Moritaka.\What is it, Grandpa?\Working until you've done something you're happy with is good,\because it's something you chose yourself.\But don't forget those around you who are giving you their support, okay?\Mm, got it. response:	I'm heading out!
context: Bye.\Moritaka.\What is it, Grandpa?\Working until you've done something you're happy with is good,\because it's something you chose yourself.\But don't forget those around you who are giving you their support, okay?\Mm, got it.\I'm heading out! response:	Dad, please don't stir him up too much.
context: Moritaka.\What is it, Grandpa?\Working until you've done something you're happy with is good,\because it's something you chose yourself.\But don't forget those around you who are giving you their support, okay?\Mm, got it.\I'm heading out!\Dad, please don't stir him up too much. response:	He's still a child.
context: What is it, Grandpa?\Working until you've done something you're happy with is good,\because it's something you chose yourself.\But don't forget those around you who are giving you their support, okay?\Mm, got it.\I'm heading out!\Dad, please don't stir him up too much.\He's still a child. response:	Kayoko-san, with manga, if you don't draw well, you get left behind.
context: Working until you've done something you're happy with is good,\because it's something you chose yourself.\But don't forget those around you who are giving you their support, okay?\Mm, got it.\I'm heading out!\Dad, please don't stir him up too much.\He's still a child.\Kayoko-san, with manga, if you don't draw well, you get left behind. response:	Dad, have you been sneaking alcohol again?
context: because it's something you chose yourself.\But don't forget those around you who are giving you their support, okay?\Mm, got it.\I'm heading out!\Dad, please don't stir him up too much.\He's still a child.\Kayoko-san, with manga, if you don't draw well, you get left behind.\Dad, have you been sneaking alcohol again? response:	Ah?
context: But don't forget those around you who are giving you their support, okay?\Mm, got it.\I'm heading out!\Dad, please don't stir him up too much.\He's still a child.\Kayoko-san, with manga, if you don't draw well, you get left behind.\Dad, have you been sneaking alcohol again?\Ah? response:	Man, I'm stuffed.
context: Mm, got it.\I'm heading out!\Dad, please don't stir him up too much.\He's still a child.\Kayoko-san, with manga, if you don't draw well, you get left behind.\Dad, have you been sneaking alcohol again?\Ah?\Man, I'm stuffed. response:	Thanks for the meal.
