context: What?! Really?! response:	We have just received information
context: But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Grandpa Goes Crazy, Rei's in Jeopardy\Oh, what a beautiful moon! response:	On a night like this,
context: I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Grandpa Goes Crazy, Rei's in Jeopardy\Oh, what a beautiful moon!\On a night like this, response:	some moon-gazing dumplings and a cup of sake would be great.
context: before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Grandpa Goes Crazy, Rei's in Jeopardy\Oh, what a beautiful moon!\On a night like this,\some moon-gazing dumplings and a cup of sake would be great. response:	Who are you?!
context: but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Grandpa Goes Crazy, Rei's in Jeopardy\Oh, what a beautiful moon!\On a night like this,\some moon-gazing dumplings and a cup of sake would be great.\Who are you?! response:	Zoi!
context: Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Grandpa Goes Crazy, Rei's in Jeopardy\Oh, what a beautiful moon!\On a night like this,\some moon-gazing dumplings and a cup of sake would be great.\Who are you?!\Zoi! response:	An evil aura...
context: so it'll work out somehow.\Grandpa Goes Crazy, Rei's in Jeopardy\Oh, what a beautiful moon!\On a night like this,\some moon-gazing dumplings and a cup of sake would be great.\Who are you?!\Zoi!\An evil aura... response:	So, this old man is one of the Seven Monsters, just as I thought.
context: Grandpa Goes Crazy, Rei's in Jeopardy\Oh, what a beautiful moon!\On a night like this,\some moon-gazing dumplings and a cup of sake would be great.\Who are you?!\Zoi!\An evil aura...\So, this old man is one of the Seven Monsters, just as I thought. response:	Be patient, I will take the rainbow crystal out of your body soon.
context: Oh, what a beautiful moon!\On a night like this,\some moon-gazing dumplings and a cup of sake would be great.\Who are you?!\Zoi!\An evil aura...\So, this old man is one of the Seven Monsters, just as I thought.\Be patient, I will take the rainbow crystal out of your body soon. response:	Damn evil spirit!
context: On a night like this,\some moon-gazing dumplings and a cup of sake would be great.\Who are you?!\Zoi!\An evil aura...\So, this old man is one of the Seven Monsters, just as I thought.\Be patient, I will take the rainbow crystal out of your body soon.\Damn evil spirit! response:	Now, it is time to come back to life, monster Jijii!
context: some moon-gazing dumplings and a cup of sake would be great.\Who are you?!\Zoi!\An evil aura...\So, this old man is one of the Seven Monsters, just as I thought.\Be patient, I will take the rainbow crystal out of your body soon.\Damn evil spirit!\Now, it is time to come back to life, monster Jijii! response:	You!
context: Who are you?!\Zoi!\An evil aura...\So, this old man is one of the Seven Monsters, just as I thought.\Be patient, I will take the rainbow crystal out of your body soon.\Damn evil spirit!\Now, it is time to come back to life, monster Jijii!\You! response:	I thought you were just a decrepit old man,
context: Zoi!\An evil aura...\So, this old man is one of the Seven Monsters, just as I thought.\Be patient, I will take the rainbow crystal out of your body soon.\Damn evil spirit!\Now, it is time to come back to life, monster Jijii!\You!\I thought you were just a decrepit old man, response:	but that wasn't bad!
context: An evil aura...\So, this old man is one of the Seven Monsters, just as I thought.\Be patient, I will take the rainbow crystal out of your body soon.\Damn evil spirit!\Now, it is time to come back to life, monster Jijii!\You!\I thought you were just a decrepit old man,\but that wasn't bad! response:	Zoi!
context: So, this old man is one of the Seven Monsters, just as I thought.\Be patient, I will take the rainbow crystal out of your body soon.\Damn evil spirit!\Now, it is time to come back to life, monster Jijii!\You!\I thought you were just a decrepit old man,\but that wasn't bad!\Zoi! response:	What?! Hey, stop it! I'm not raw garbage!
context: Be patient, I will take the rainbow crystal out of your body soon.\Damn evil spirit!\Now, it is time to come back to life, monster Jijii!\You!\I thought you were just a decrepit old man,\but that wasn't bad!\Zoi!\What?! Hey, stop it! I'm not raw garbage! response:	Grandpa!
context: Damn evil spirit!\Now, it is time to come back to life, monster Jijii!\You!\I thought you were just a decrepit old man,\but that wasn't bad!\Zoi!\What?! Hey, stop it! I'm not raw garbage!\Grandpa! response:	Phobos?! Deimos?!
context: Now, it is time to come back to life, monster Jijii!\You!\I thought you were just a decrepit old man,\but that wasn't bad!\Zoi!\What?! Hey, stop it! I'm not raw garbage!\Grandpa!\Phobos?! Deimos?! response:	Are you okay? What in the world happened?
context: You!\I thought you were just a decrepit old man,\but that wasn't bad!\Zoi!\What?! Hey, stop it! I'm not raw garbage!\Grandpa!\Phobos?! Deimos?!\Are you okay? What in the world happened? response:	What the heck? Talk about noisy.
context: I thought you were just a decrepit old man,\but that wasn't bad!\Zoi!\What?! Hey, stop it! I'm not raw garbage!\Grandpa!\Phobos?! Deimos?!\Are you okay? What in the world happened?\What the heck? Talk about noisy. response:	Who are you?!
context: but that wasn't bad!\Zoi!\What?! Hey, stop it! I'm not raw garbage!\Grandpa!\Phobos?! Deimos?!\Are you okay? What in the world happened?\What the heck? Talk about noisy.\Who are you?! response:	My... My name is Yuichiro Kumada!
context: Zoi!\What?! Hey, stop it! I'm not raw garbage!\Grandpa!\Phobos?! Deimos?!\Are you okay? What in the world happened?\What the heck? Talk about noisy.\Who are you?!\My... My name is Yuichiro Kumada! response:	Please, make me your apprentice!
context: What?! Hey, stop it! I'm not raw garbage!\Grandpa!\Phobos?! Deimos?!\Are you okay? What in the world happened?\What the heck? Talk about noisy.\Who are you?!\My... My name is Yuichiro Kumada!\Please, make me your apprentice! response:	What?
context: Grandpa!\Phobos?! Deimos?!\Are you okay? What in the world happened?\What the heck? Talk about noisy.\Who are you?!\My... My name is Yuichiro Kumada!\Please, make me your apprentice!\What? response:	Inside this old man's body,
context: Phobos?! Deimos?!\Are you okay? What in the world happened?\What the heck? Talk about noisy.\Who are you?!\My... My name is Yuichiro Kumada!\Please, make me your apprentice!\What?\Inside this old man's body, response:	the rainbow crystal has begun to awaken.
context: Are you okay? What in the world happened?\What the heck? Talk about noisy.\Who are you?!\My... My name is Yuichiro Kumada!\Please, make me your apprentice!\What?\Inside this old man's body,\the rainbow crystal has begun to awaken. response:	Just you wait,
context: What the heck? Talk about noisy.\Who are you?!\My... My name is Yuichiro Kumada!\Please, make me your apprentice!\What?\Inside this old man's body,\the rainbow crystal has begun to awaken.\Just you wait, response:	I will make sure to take the rainbow crystal soon.
context: Who are you?!\My... My name is Yuichiro Kumada!\Please, make me your apprentice!\What?\Inside this old man's body,\the rainbow crystal has begun to awaken.\Just you wait,\I will make sure to take the rainbow crystal soon. response:	Hikawa Shrine
context: My... My name is Yuichiro Kumada!\Please, make me your apprentice!\What?\Inside this old man's body,\the rainbow crystal has begun to awaken.\Just you wait,\I will make sure to take the rainbow crystal soon.\Hikawa Shrine response:	Hikawa Shrine What? Your Grandpa's acting weird?
context: Please, make me your apprentice!\What?\Inside this old man's body,\the rainbow crystal has begun to awaken.\Just you wait,\I will make sure to take the rainbow crystal soon.\Hikawa Shrine\Hikawa Shrine What? Your Grandpa's acting weird? response:	Hikawa Shrine Yeah.
context: What?\Inside this old man's body,\the rainbow crystal has begun to awaken.\Just you wait,\I will make sure to take the rainbow crystal soon.\Hikawa Shrine\Hikawa Shrine What? Your Grandpa's acting weird?\Hikawa Shrine Yeah. response:	Yeah.
context: Inside this old man's body,\the rainbow crystal has begun to awaken.\Just you wait,\I will make sure to take the rainbow crystal soon.\Hikawa Shrine\Hikawa Shrine What? Your Grandpa's acting weird?\Hikawa Shrine Yeah.\Yeah. response:	Yuichiro, follow me!
context: the rainbow crystal has begun to awaken.\Just you wait,\I will make sure to take the rainbow crystal soon.\Hikawa Shrine\Hikawa Shrine What? Your Grandpa's acting weird?\Hikawa Shrine Yeah.\Yeah.\Yuichiro, follow me! response:	What?! Do I have to do something like this?!
context: Just you wait,\I will make sure to take the rainbow crystal soon.\Hikawa Shrine\Hikawa Shrine What? Your Grandpa's acting weird?\Hikawa Shrine Yeah.\Yeah.\Yuichiro, follow me!\What?! Do I have to do something like this?! response:	Yes, Sir!
context: I will make sure to take the rainbow crystal soon.\Hikawa Shrine\Hikawa Shrine What? Your Grandpa's acting weird?\Hikawa Shrine Yeah.\Yeah.\Yuichiro, follow me!\What?! Do I have to do something like this?!\Yes, Sir! response:	Okay, then!
context: Hikawa Shrine\Hikawa Shrine What? Your Grandpa's acting weird?\Hikawa Shrine Yeah.\Yeah.\Yuichiro, follow me!\What?! Do I have to do something like this?!\Yes, Sir!\Okay, then! response:	Is this how I should be spending my youth?
context: Hikawa Shrine What? Your Grandpa's acting weird?\Hikawa Shrine Yeah.\Yeah.\Yuichiro, follow me!\What?! Do I have to do something like this?!\Yes, Sir!\Okay, then!\Is this how I should be spending my youth? response:	I'm out.
context: Hikawa Shrine Yeah.\Yeah.\Yuichiro, follow me!\What?! Do I have to do something like this?!\Yes, Sir!\Okay, then!\Is this how I should be spending my youth?\I'm out. response:	Oh!
context: Yeah.\Yuichiro, follow me!\What?! Do I have to do something like this?!\Yes, Sir!\Okay, then!\Is this how I should be spending my youth?\I'm out.\Oh! response:	Come on, wake up!
context: Yuichiro, follow me!\What?! Do I have to do something like this?!\Yes, Sir!\Okay, then!\Is this how I should be spending my youth?\I'm out.\Oh!\Come on, wake up! response:	Grandpa, what's going on?!
context: What?! Do I have to do something like this?!\Yes, Sir!\Okay, then!\Is this how I should be spending my youth?\I'm out.\Oh!\Come on, wake up!\Grandpa, what's going on?! response:	Grandpa, you look cute in that!
context: Yes, Sir!\Okay, then!\Is this how I should be spending my youth?\I'm out.\Oh!\Come on, wake up!\Grandpa, what's going on?!\Grandpa, you look cute in that! response:	Stop it!
context: Okay, then!\Is this how I should be spending my youth?\I'm out.\Oh!\Come on, wake up!\Grandpa, what's going on?!\Grandpa, you look cute in that!\Stop it! response:	You stupid, clumsy slowpoke! You're a disgrace to this shrine!
context: Is this how I should be spending my youth?\I'm out.\Oh!\Come on, wake up!\Grandpa, what's going on?!\Grandpa, you look cute in that!\Stop it!\You stupid, clumsy slowpoke! You're a disgrace to this shrine! response:	Who is he?
context: I'm out.\Oh!\Come on, wake up!\Grandpa, what's going on?!\Grandpa, you look cute in that!\Stop it!\You stupid, clumsy slowpoke! You're a disgrace to this shrine!\Who is he? response:	He is Yuichiro Kumada. He became an apprentice to Grandpa.
context: Oh!\Come on, wake up!\Grandpa, what's going on?!\Grandpa, you look cute in that!\Stop it!\You stupid, clumsy slowpoke! You're a disgrace to this shrine!\Who is he?\He is Yuichiro Kumada. He became an apprentice to Grandpa. response:	Oh, wow.
context: Come on, wake up!\Grandpa, what's going on?!\Grandpa, you look cute in that!\Stop it!\You stupid, clumsy slowpoke! You're a disgrace to this shrine!\Who is he?\He is Yuichiro Kumada. He became an apprentice to Grandpa.\Oh, wow. response:	Yuichiro, are you okay?
context: Grandpa, what's going on?!\Grandpa, you look cute in that!\Stop it!\You stupid, clumsy slowpoke! You're a disgrace to this shrine!\Who is he?\He is Yuichiro Kumada. He became an apprentice to Grandpa.\Oh, wow.\Yuichiro, are you okay? response:	Oh...
context: Grandpa, you look cute in that!\Stop it!\You stupid, clumsy slowpoke! You're a disgrace to this shrine!\Who is he?\He is Yuichiro Kumada. He became an apprentice to Grandpa.\Oh, wow.\Yuichiro, are you okay?\Oh... response:	Miss Rei, you look wonderful in a uniform, too.
context: Stop it!\You stupid, clumsy slowpoke! You're a disgrace to this shrine!\Who is he?\He is Yuichiro Kumada. He became an apprentice to Grandpa.\Oh, wow.\Yuichiro, are you okay?\Oh...\Miss Rei, you look wonderful in a uniform, too. response:	Did you hit your head or something? How could you, Grandpa?!
context: You stupid, clumsy slowpoke! You're a disgrace to this shrine!\Who is he?\He is Yuichiro Kumada. He became an apprentice to Grandpa.\Oh, wow.\Yuichiro, are you okay?\Oh...\Miss Rei, you look wonderful in a uniform, too.\Did you hit your head or something? How could you, Grandpa?! response:	Shut up! Training to become a Shinto priest is tough!
context: Who is he?\He is Yuichiro Kumada. He became an apprentice to Grandpa.\Oh, wow.\Yuichiro, are you okay?\Oh...\Miss Rei, you look wonderful in a uniform, too.\Did you hit your head or something? How could you, Grandpa?!\Shut up! Training to become a Shinto priest is tough! response:	You can't do it with a soft attitude!
context: He is Yuichiro Kumada. He became an apprentice to Grandpa.\Oh, wow.\Yuichiro, are you okay?\Oh...\Miss Rei, you look wonderful in a uniform, too.\Did you hit your head or something? How could you, Grandpa?!\Shut up! Training to become a Shinto priest is tough!\You can't do it with a soft attitude! response:	Training is all about mental strength!
context: Oh, wow.\Yuichiro, are you okay?\Oh...\Miss Rei, you look wonderful in a uniform, too.\Did you hit your head or something? How could you, Grandpa?!\Shut up! Training to become a Shinto priest is tough!\You can't do it with a soft attitude!\Training is all about mental strength! response:	What am I to do?!
context: Yuichiro, are you okay?\Oh...\Miss Rei, you look wonderful in a uniform, too.\Did you hit your head or something? How could you, Grandpa?!\Shut up! Training to become a Shinto priest is tough!\You can't do it with a soft attitude!\Training is all about mental strength!\What am I to do?! response:	The only person who'll take over the shrine is you,
context: Oh...\Miss Rei, you look wonderful in a uniform, too.\Did you hit your head or something? How could you, Grandpa?!\Shut up! Training to become a Shinto priest is tough!\You can't do it with a soft attitude!\Training is all about mental strength!\What am I to do?!\The only person who'll take over the shrine is you, response:	my granddaughter! I am so alone!
context: Miss Rei, you look wonderful in a uniform, too.\Did you hit your head or something? How could you, Grandpa?!\Shut up! Training to become a Shinto priest is tough!\You can't do it with a soft attitude!\Training is all about mental strength!\What am I to do?!\The only person who'll take over the shrine is you,\my granddaughter! I am so alone! response:	See? He's become emotionally unstable these days.
context: Did you hit your head or something? How could you, Grandpa?!\Shut up! Training to become a Shinto priest is tough!\You can't do it with a soft attitude!\Training is all about mental strength!\What am I to do?!\The only person who'll take over the shrine is you,\my granddaughter! I am so alone!\See? He's become emotionally unstable these days. response:	It's weird!
context: Shut up! Training to become a Shinto priest is tough!\You can't do it with a soft attitude!\Training is all about mental strength!\What am I to do?!\The only person who'll take over the shrine is you,\my granddaughter! I am so alone!\See? He's become emotionally unstable these days.\It's weird! response:	No, it is not weird!
context: You can't do it with a soft attitude!\Training is all about mental strength!\What am I to do?!\The only person who'll take over the shrine is you,\my granddaughter! I am so alone!\See? He's become emotionally unstable these days.\It's weird!\No, it is not weird! response:	It is only natural that the training is tough!
context: Training is all about mental strength!\What am I to do?!\The only person who'll take over the shrine is you,\my granddaughter! I am so alone!\See? He's become emotionally unstable these days.\It's weird!\No, it is not weird!\It is only natural that the training is tough! response:	I will do it! I will endure any kind of training!
context: What am I to do?!\The only person who'll take over the shrine is you,\my granddaughter! I am so alone!\See? He's become emotionally unstable these days.\It's weird!\No, it is not weird!\It is only natural that the training is tough!\I will do it! I will endure any kind of training! response:	All right! You totally fell for it!
context: The only person who'll take over the shrine is you,\my granddaughter! I am so alone!\See? He's become emotionally unstable these days.\It's weird!\No, it is not weird!\It is only natural that the training is tough!\I will do it! I will endure any kind of training!\All right! You totally fell for it! response:	Grandpa!
context: my granddaughter! I am so alone!\See? He's become emotionally unstable these days.\It's weird!\No, it is not weird!\It is only natural that the training is tough!\I will do it! I will endure any kind of training!\All right! You totally fell for it!\Grandpa! response:	Usagi!
context: See? He's become emotionally unstable these days.\It's weird!\No, it is not weird!\It is only natural that the training is tough!\I will do it! I will endure any kind of training!\All right! You totally fell for it!\Grandpa!\Usagi! response:	Wasn't that fun?!
context: It's weird!\No, it is not weird!\It is only natural that the training is tough!\I will do it! I will endure any kind of training!\All right! You totally fell for it!\Grandpa!\Usagi!\Wasn't that fun?! response:	Yeah, I love this kind of stuff!
context: No, it is not weird!\It is only natural that the training is tough!\I will do it! I will endure any kind of training!\All right! You totally fell for it!\Grandpa!\Usagi!\Wasn't that fun?!\Yeah, I love this kind of stuff! response:	You're the only one who understands my jokes!
context: It is only natural that the training is tough!\I will do it! I will endure any kind of training!\All right! You totally fell for it!\Grandpa!\Usagi!\Wasn't that fun?!\Yeah, I love this kind of stuff!\You're the only one who understands my jokes! response:	Grandpa! Enough is enough!
context: I will do it! I will endure any kind of training!\All right! You totally fell for it!\Grandpa!\Usagi!\Wasn't that fun?!\Yeah, I love this kind of stuff!\You're the only one who understands my jokes!\Grandpa! Enough is enough! response:	Excuse me, but if you're concerned about me...
context: All right! You totally fell for it!\Grandpa!\Usagi!\Wasn't that fun?!\Yeah, I love this kind of stuff!\You're the only one who understands my jokes!\Grandpa! Enough is enough!\Excuse me, but if you're concerned about me... response:	You be quiet!
context: Grandpa!\Usagi!\Wasn't that fun?!\Yeah, I love this kind of stuff!\You're the only one who understands my jokes!\Grandpa! Enough is enough!\Excuse me, but if you're concerned about me...\You be quiet! response:	But...
context: Usagi!\Wasn't that fun?!\Yeah, I love this kind of stuff!\You're the only one who understands my jokes!\Grandpa! Enough is enough!\Excuse me, but if you're concerned about me...\You be quiet!\But... response:	Shut up! But...
context: Wasn't that fun?!\Yeah, I love this kind of stuff!\You're the only one who understands my jokes!\Grandpa! Enough is enough!\Excuse me, but if you're concerned about me...\You be quiet!\But...\Shut up! But... response:	Shut up! Yes, Ma'am!
context: Yeah, I love this kind of stuff!\You're the only one who understands my jokes!\Grandpa! Enough is enough!\Excuse me, but if you're concerned about me...\You be quiet!\But...\Shut up! But...\Shut up! Yes, Ma'am! response:	Yes, Ma'am!
context: You're the only one who understands my jokes!\Grandpa! Enough is enough!\Excuse me, but if you're concerned about me...\You be quiet!\But...\Shut up! But...\Shut up! Yes, Ma'am!\Yes, Ma'am! response:	If you keep doing these stupid things,
context: Grandpa! Enough is enough!\Excuse me, but if you're concerned about me...\You be quiet!\But...\Shut up! But...\Shut up! Yes, Ma'am!\Yes, Ma'am!\If you keep doing these stupid things, response:	everyone's trust in our miracle-working shrine will be destroyed!
context: Excuse me, but if you're concerned about me...\You be quiet!\But...\Shut up! But...\Shut up! Yes, Ma'am!\Yes, Ma'am!\If you keep doing these stupid things,\everyone's trust in our miracle-working shrine will be destroyed! response:	Now, now, you shouldn't be so uptight all the time.
context: You be quiet!\But...\Shut up! But...\Shut up! Yes, Ma'am!\Yes, Ma'am!\If you keep doing these stupid things,\everyone's trust in our miracle-working shrine will be destroyed!\Now, now, you shouldn't be so uptight all the time. response:	You have to have a little sense of fun!
context: But...\Shut up! But...\Shut up! Yes, Ma'am!\Yes, Ma'am!\If you keep doing these stupid things,\everyone's trust in our miracle-working shrine will be destroyed!\Now, now, you shouldn't be so uptight all the time.\You have to have a little sense of fun! response:	That's right!
context: Shut up! But...\Shut up! Yes, Ma'am!\Yes, Ma'am!\If you keep doing these stupid things,\everyone's trust in our miracle-working shrine will be destroyed!\Now, now, you shouldn't be so uptight all the time.\You have to have a little sense of fun!\That's right! response:	Usagi, this is our shrine's problem.
context: Shut up! Yes, Ma'am!\Yes, Ma'am!\If you keep doing these stupid things,\everyone's trust in our miracle-working shrine will be destroyed!\Now, now, you shouldn't be so uptight all the time.\You have to have a little sense of fun!\That's right!\Usagi, this is our shrine's problem. response:	So, keep your nose out of it.
context: Yes, Ma'am!\If you keep doing these stupid things,\everyone's trust in our miracle-working shrine will be destroyed!\Now, now, you shouldn't be so uptight all the time.\You have to have a little sense of fun!\That's right!\Usagi, this is our shrine's problem.\So, keep your nose out of it. response:	Rei's being mean to me!
context: If you keep doing these stupid things,\everyone's trust in our miracle-working shrine will be destroyed!\Now, now, you shouldn't be so uptight all the time.\You have to have a little sense of fun!\That's right!\Usagi, this is our shrine's problem.\So, keep your nose out of it.\Rei's being mean to me! response:	Usagi, don't cry over such a little thing.
context: everyone's trust in our miracle-working shrine will be destroyed!\Now, now, you shouldn't be so uptight all the time.\You have to have a little sense of fun!\That's right!\Usagi, this is our shrine's problem.\So, keep your nose out of it.\Rei's being mean to me!\Usagi, don't cry over such a little thing. response:	But... But...
context: Now, now, you shouldn't be so uptight all the time.\You have to have a little sense of fun!\That's right!\Usagi, this is our shrine's problem.\So, keep your nose out of it.\Rei's being mean to me!\Usagi, don't cry over such a little thing.\But... But... response:	And you, too, Rei. You didn't have to shove Usagi like that.
context: You have to have a little sense of fun!\That's right!\Usagi, this is our shrine's problem.\So, keep your nose out of it.\Rei's being mean to me!\Usagi, don't cry over such a little thing.\But... But...\And you, too, Rei. You didn't have to shove Usagi like that. response:	Rei, you meanie!
context: That's right!\Usagi, this is our shrine's problem.\So, keep your nose out of it.\Rei's being mean to me!\Usagi, don't cry over such a little thing.\But... But...\And you, too, Rei. You didn't have to shove Usagi like that.\Rei, you meanie! response:	Rei! Honestly! If this is how everyone's going to be,
