context: Ladies and gentlemen, good evening. response:	A rage that is only permitted by youth.
context: There is no longer anything of Edmond himself left within it.\I will show you proof that Edmond, the man you once loved, is now dead.\Edmond...\It's done!\I'm cutting it pretty close...\I wrote a message in a birthday card for him,\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you. response:	He should just be a man and give it to him himself...
context: I will show you proof that Edmond, the man you once loved, is now dead.\Edmond...\It's done!\I'm cutting it pretty close...\I wrote a message in a birthday card for him,\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\He should just be a man and give it to him himself... response:	I don't believe it... It can't be!
context: Edmond...\It's done!\I'm cutting it pretty close...\I wrote a message in a birthday card for him,\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\He should just be a man and give it to him himself...\I don't believe it... It can't be! response:	Not so fast, Madame!
context: It's done!\I'm cutting it pretty close...\I wrote a message in a birthday card for him,\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\He should just be a man and give it to him himself...\I don't believe it... It can't be!\Not so fast, Madame! response:	This can't be... He's only a...
context: I'm cutting it pretty close...\I wrote a message in a birthday card for him,\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\He should just be a man and give it to him himself...\I don't believe it... It can't be!\Not so fast, Madame!\This can't be... He's only a... response:	Edmond!
context: I wrote a message in a birthday card for him,\Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\He should just be a man and give it to him himself...\I don't believe it... It can't be!\Not so fast, Madame!\This can't be... He's only a...\Edmond! response:	I'm sorry, Madame, but I can't let you do that.
context: Anyway, give it to Albert after I leave tomorrow.\Please? I'm begging you.\He should just be a man and give it to him himself...\I don't believe it... It can't be!\Not so fast, Madame!\This can't be... He's only a...\Edmond!\I'm sorry, Madame, but I can't let you do that. response:	Please, let me go! I have a duty to keep that boy safe!
context: Please? I'm begging you.\He should just be a man and give it to him himself...\I don't believe it... It can't be!\Not so fast, Madame!\This can't be... He's only a...\Edmond!\I'm sorry, Madame, but I can't let you do that.\Please, let me go! I have a duty to keep that boy safe! response:	Please understand, this is a duel.
context: He should just be a man and give it to him himself...\I don't believe it... It can't be!\Not so fast, Madame!\This can't be... He's only a...\Edmond!\I'm sorry, Madame, but I can't let you do that.\Please, let me go! I have a duty to keep that boy safe!\Please understand, this is a duel. response:	A formal duel, in which Monsieur Albert challenged the Count.
context: I don't believe it... It can't be!\Not so fast, Madame!\This can't be... He's only a...\Edmond!\I'm sorry, Madame, but I can't let you do that.\Please, let me go! I have a duty to keep that boy safe!\Please understand, this is a duel.\A formal duel, in which Monsieur Albert challenged the Count. response:	Albert is... Albert is still a child! Call it off!
context: Not so fast, Madame!\This can't be... He's only a...\Edmond!\I'm sorry, Madame, but I can't let you do that.\Please, let me go! I have a duty to keep that boy safe!\Please understand, this is a duel.\A formal duel, in which Monsieur Albert challenged the Count.\Albert is... Albert is still a child! Call it off! response:	No, Madame. Monsieur Albert holds the rank of viscount.
context: This can't be... He's only a...\Edmond!\I'm sorry, Madame, but I can't let you do that.\Please, let me go! I have a duty to keep that boy safe!\Please understand, this is a duel.\A formal duel, in which Monsieur Albert challenged the Count.\Albert is... Albert is still a child! Call it off!\No, Madame. Monsieur Albert holds the rank of viscount. response:	In the eyes of the law, this duel is completely legitimate.
context: Edmond!\I'm sorry, Madame, but I can't let you do that.\Please, let me go! I have a duty to keep that boy safe!\Please understand, this is a duel.\A formal duel, in which Monsieur Albert challenged the Count.\Albert is... Albert is still a child! Call it off!\No, Madame. Monsieur Albert holds the rank of viscount.\In the eyes of the law, this duel is completely legitimate. response:	Edmond!
context: I'm sorry, Madame, but I can't let you do that.\Please, let me go! I have a duty to keep that boy safe!\Please understand, this is a duel.\A formal duel, in which Monsieur Albert challenged the Count.\Albert is... Albert is still a child! Call it off!\No, Madame. Monsieur Albert holds the rank of viscount.\In the eyes of the law, this duel is completely legitimate.\Edmond! response:	Please, stop!
context: Please, let me go! I have a duty to keep that boy safe!\Please understand, this is a duel.\A formal duel, in which Monsieur Albert challenged the Count.\Albert is... Albert is still a child! Call it off!\No, Madame. Monsieur Albert holds the rank of viscount.\In the eyes of the law, this duel is completely legitimate.\Edmond!\Please, stop! response:	Your feelings...
context: Please understand, this is a duel.\A formal duel, in which Monsieur Albert challenged the Count.\Albert is... Albert is still a child! Call it off!\No, Madame. Monsieur Albert holds the rank of viscount.\In the eyes of the law, this duel is completely legitimate.\Edmond!\Please, stop!\Your feelings... response:	Your pain...
context: A formal duel, in which Monsieur Albert challenged the Count.\Albert is... Albert is still a child! Call it off!\No, Madame. Monsieur Albert holds the rank of viscount.\In the eyes of the law, this duel is completely legitimate.\Edmond!\Please, stop!\Your feelings...\Your pain... response:	Your loneliness...
context: Albert is... Albert is still a child! Call it off!\No, Madame. Monsieur Albert holds the rank of viscount.\In the eyes of the law, this duel is completely legitimate.\Edmond!\Please, stop!\Your feelings...\Your pain...\Your loneliness... response:	I'll... I'll bear the brunt of all of it!
context: No, Madame. Monsieur Albert holds the rank of viscount.\In the eyes of the law, this duel is completely legitimate.\Edmond!\Please, stop!\Your feelings...\Your pain...\Your loneliness...\I'll... I'll bear the brunt of all of it! response:	Stop!
context: In the eyes of the law, this duel is completely legitimate.\Edmond!\Please, stop!\Your feelings...\Your pain...\Your loneliness...\I'll... I'll bear the brunt of all of it!\Stop! response:	STOP!
context: Edmond!\Please, stop!\Your feelings...\Your pain...\Your loneliness...\I'll... I'll bear the brunt of all of it!\Stop!\STOP! response:	Countess Morcerf! Watch closely!
context: Please, stop!\Your feelings...\Your pain...\Your loneliness...\I'll... I'll bear the brunt of all of it!\Stop!\STOP!\Countess Morcerf! Watch closely! response:	Watch as I prove to you that Edmond Dantes is dead!
context: Your feelings...\Your pain...\Your loneliness...\I'll... I'll bear the brunt of all of it!\Stop!\STOP!\Countess Morcerf! Watch closely!\Watch as I prove to you that Edmond Dantes is dead! response:	Please, stop...
context: Your pain...\Your loneliness...\I'll... I'll bear the brunt of all of it!\Stop!\STOP!\Countess Morcerf! Watch closely!\Watch as I prove to you that Edmond Dantes is dead!\Please, stop... response:	Please!
context: Your loneliness...\I'll... I'll bear the brunt of all of it!\Stop!\STOP!\Countess Morcerf! Watch closely!\Watch as I prove to you that Edmond Dantes is dead!\Please, stop...\Please! response:	STOP!
context: I'll... I'll bear the brunt of all of it!\Stop!\STOP!\Countess Morcerf! Watch closely!\Watch as I prove to you that Edmond Dantes is dead!\Please, stop...\Please!\STOP! response:	Oh, crap!
context: Stop!\STOP!\Countess Morcerf! Watch closely!\Watch as I prove to you that Edmond Dantes is dead!\Please, stop...\Please!\STOP!\Oh, crap! response:	Why didn't you wake me up?!
context: STOP!\Countess Morcerf! Watch closely!\Watch as I prove to you that Edmond Dantes is dead!\Please, stop...\Please!\STOP!\Oh, crap!\Why didn't you wake me up?! response:	Franz!
context: Countess Morcerf! Watch closely!\Watch as I prove to you that Edmond Dantes is dead!\Please, stop...\Please!\STOP!\Oh, crap!\Why didn't you wake me up?!\Franz! response:	Fran...
context: Watch as I prove to you that Edmond Dantes is dead!\Please, stop...\Please!\STOP!\Oh, crap!\Why didn't you wake me up?!\Franz!\Fran... response:	He wouldn't...!
context: Please, stop...\Please!\STOP!\Oh, crap!\Why didn't you wake me up?!\Franz!\Fran...\He wouldn't...! response:	This is what I've been waiting for...
context: Please!\STOP!\Oh, crap!\Why didn't you wake me up?!\Franz!\Fran...\He wouldn't...!\This is what I've been waiting for... response:	To become Gankutsuou is to lose your humanity.
context: STOP!\Oh, crap!\Why didn't you wake me up?!\Franz!\Fran...\He wouldn't...!\This is what I've been waiting for...\To become Gankutsuou is to lose your humanity. response:	As the composition of his entire body is being replaced with crystal,
context: Oh, crap!\Why didn't you wake me up?!\Franz!\Fran...\He wouldn't...!\This is what I've been waiting for...\To become Gankutsuou is to lose your humanity.\As the composition of his entire body is being replaced with crystal, response:	The instant he is released from his suffering, he will also lose his emotions.
context: Why didn't you wake me up?!\Franz!\Fran...\He wouldn't...!\This is what I've been waiting for...\To become Gankutsuou is to lose your humanity.\As the composition of his entire body is being replaced with crystal,\The instant he is released from his suffering, he will also lose his emotions. response:	Anger... sadness... hatred...
context: Franz!\Fran...\He wouldn't...!\This is what I've been waiting for...\To become Gankutsuou is to lose your humanity.\As the composition of his entire body is being replaced with crystal,\The instant he is released from his suffering, he will also lose his emotions.\Anger... sadness... hatred... response:	He will lose them all.
context: Fran...\He wouldn't...!\This is what I've been waiting for...\To become Gankutsuou is to lose your humanity.\As the composition of his entire body is being replaced with crystal,\The instant he is released from his suffering, he will also lose his emotions.\Anger... sadness... hatred...\He will lose them all. response:	That is what he fears above all else.
context: He wouldn't...!\This is what I've been waiting for...\To become Gankutsuou is to lose your humanity.\As the composition of his entire body is being replaced with crystal,\The instant he is released from his suffering, he will also lose his emotions.\Anger... sadness... hatred...\He will lose them all.\That is what he fears above all else. response:	That is why his heart is the last part of him.
context: This is what I've been waiting for...\To become Gankutsuou is to lose your humanity.\As the composition of his entire body is being replaced with crystal,\The instant he is released from his suffering, he will also lose his emotions.\Anger... sadness... hatred...\He will lose them all.\That is what he fears above all else.\That is why his heart is the last part of him. response:	If he still retains even fragments of human emotion,
context: To become Gankutsuou is to lose your humanity.\As the composition of his entire body is being replaced with crystal,\The instant he is released from his suffering, he will also lose his emotions.\Anger... sadness... hatred...\He will lose them all.\That is what he fears above all else.\That is why his heart is the last part of him.\If he still retains even fragments of human emotion, response:	Gankutsuou, come closer...
context: As the composition of his entire body is being replaced with crystal,\The instant he is released from his suffering, he will also lose his emotions.\Anger... sadness... hatred...\He will lose them all.\That is what he fears above all else.\That is why his heart is the last part of him.\If he still retains even fragments of human emotion,\Gankutsuou, come closer... response:	That's right... Come straight at me.
context: The instant he is released from his suffering, he will also lose his emotions.\Anger... sadness... hatred...\He will lose them all.\That is what he fears above all else.\That is why his heart is the last part of him.\If he still retains even fragments of human emotion,\Gankutsuou, come closer...\That's right... Come straight at me. response:	Franz...
context: Anger... sadness... hatred...\He will lose them all.\That is what he fears above all else.\That is why his heart is the last part of him.\If he still retains even fragments of human emotion,\Gankutsuou, come closer...\That's right... Come straight at me.\Franz... response:	Franz!
context: He will lose them all.\That is what he fears above all else.\That is why his heart is the last part of him.\If he still retains even fragments of human emotion,\Gankutsuou, come closer...\That's right... Come straight at me.\Franz...\Franz! response:	I will now prove who the victor is...
context: That is what he fears above all else.\That is why his heart is the last part of him.\If he still retains even fragments of human emotion,\Gankutsuou, come closer...\That's right... Come straight at me.\Franz...\Franz!\I will now prove who the victor is... response:	Right here and now!
context: That is why his heart is the last part of him.\If he still retains even fragments of human emotion,\Gankutsuou, come closer...\That's right... Come straight at me.\Franz...\Franz!\I will now prove who the victor is...\Right here and now! response:	You were cursed since birth,
context: If he still retains even fragments of human emotion,\Gankutsuou, come closer...\That's right... Come straight at me.\Franz...\Franz!\I will now prove who the victor is...\Right here and now!\You were cursed since birth, response:	You, who have walked in the sunlight your entire life, could not possibly know...
context: Gankutsuou, come closer...\That's right... Come straight at me.\Franz...\Franz!\I will now prove who the victor is...\Right here and now!\You were cursed since birth,\You, who have walked in the sunlight your entire life, could not possibly know... response:	Fate has now come full circle, and the curse is about to reach its fruition!
context: That's right... Come straight at me.\Franz...\Franz!\I will now prove who the victor is...\Right here and now!\You were cursed since birth,\You, who have walked in the sunlight your entire life, could not possibly know...\Fate has now come full circle, and the curse is about to reach its fruition! response:	Curse your fate, and your parents, as you die by my sword!
context: Franz...\Franz!\I will now prove who the victor is...\Right here and now!\You were cursed since birth,\You, who have walked in the sunlight your entire life, could not possibly know...\Fate has now come full circle, and the curse is about to reach its fruition!\Curse your fate, and your parents, as you die by my sword! response:	Don't do it!
context: Franz!\I will now prove who the victor is...\Right here and now!\You were cursed since birth,\You, who have walked in the sunlight your entire life, could not possibly know...\Fate has now come full circle, and the curse is about to reach its fruition!\Curse your fate, and your parents, as you die by my sword!\Don't do it! response:	Don't do it!
context: I will now prove who the victor is...\Right here and now!\You were cursed since birth,\You, who have walked in the sunlight your entire life, could not possibly know...\Fate has now come full circle, and the curse is about to reach its fruition!\Curse your fate, and your parents, as you die by my sword!\Don't do it!\Don't do it! response:	FRANZ!
context: Right here and now!\You were cursed since birth,\You, who have walked in the sunlight your entire life, could not possibly know...\Fate has now come full circle, and the curse is about to reach its fruition!\Curse your fate, and your parents, as you die by my sword!\Don't do it!\Don't do it!\FRANZ! response:	I sure hope he likes it...
context: You were cursed since birth,\You, who have walked in the sunlight your entire life, could not possibly know...\Fate has now come full circle, and the curse is about to reach its fruition!\Curse your fate, and your parents, as you die by my sword!\Don't do it!\Don't do it!\FRANZ!\I sure hope he likes it... response:	Albert...
context: You, who have walked in the sunlight your entire life, could not possibly know...\Fate has now come full circle, and the curse is about to reach its fruition!\Curse your fate, and your parents, as you die by my sword!\Don't do it!\Don't do it!\FRANZ!\I sure hope he likes it...\Albert... response:	The... The doctor's gonna be here soon, so hang in there...
context: Fate has now come full circle, and the curse is about to reach its fruition!\Curse your fate, and your parents, as you die by my sword!\Don't do it!\Don't do it!\FRANZ!\I sure hope he likes it...\Albert...\The... The doctor's gonna be here soon, so hang in there... response:	Boy, you were out cold last night...
context: Curse your fate, and your parents, as you die by my sword!\Don't do it!\Don't do it!\FRANZ!\I sure hope he likes it...\Albert...\The... The doctor's gonna be here soon, so hang in there...\Boy, you were out cold last night... response:	Those pills worked pretty good, didn't they?
context: Don't do it!\Don't do it!\FRANZ!\I sure hope he likes it...\Albert...\The... The doctor's gonna be here soon, so hang in there...\Boy, you were out cold last night...\Those pills worked pretty good, didn't they? response:	Why? Why did you do it?
context: Don't do it!\FRANZ!\I sure hope he likes it...\Albert...\The... The doctor's gonna be here soon, so hang in there...\Boy, you were out cold last night...\Those pills worked pretty good, didn't they?\Why? Why did you do it? response:	I'm sorry... that things turned out this way...
context: FRANZ!\I sure hope he likes it...\Albert...\The... The doctor's gonna be here soon, so hang in there...\Boy, you were out cold last night...\Those pills worked pretty good, didn't they?\Why? Why did you do it?\I'm sorry... that things turned out this way... response:	But you taught me how to handle a sword, so I put up a pretty good fight...
context: I sure hope he likes it...\Albert...\The... The doctor's gonna be here soon, so hang in there...\Boy, you were out cold last night...\Those pills worked pretty good, didn't they?\Why? Why did you do it?\I'm sorry... that things turned out this way...\But you taught me how to handle a sword, so I put up a pretty good fight... response:	That's enough!
context: Albert...\The... The doctor's gonna be here soon, so hang in there...\Boy, you were out cold last night...\Those pills worked pretty good, didn't they?\Why? Why did you do it?\I'm sorry... that things turned out this way...\But you taught me how to handle a sword, so I put up a pretty good fight...\That's enough! response:	Don't... Don't try to talk.
context: The... The doctor's gonna be here soon, so hang in there...\Boy, you were out cold last night...\Those pills worked pretty good, didn't they?\Why? Why did you do it?\I'm sorry... that things turned out this way...\But you taught me how to handle a sword, so I put up a pretty good fight...\That's enough!\Don't... Don't try to talk. response:	Idiot... You think you can boss me around?
context: Boy, you were out cold last night...\Those pills worked pretty good, didn't they?\Why? Why did you do it?\I'm sorry... that things turned out this way...\But you taught me how to handle a sword, so I put up a pretty good fight...\That's enough!\Don't... Don't try to talk.\Idiot... You think you can boss me around? response:	Franz!
context: Those pills worked pretty good, didn't they?\Why? Why did you do it?\I'm sorry... that things turned out this way...\But you taught me how to handle a sword, so I put up a pretty good fight...\That's enough!\Don't... Don't try to talk.\Idiot... You think you can boss me around?\Franz! response:	Franz!
context: Why? Why did you do it?\I'm sorry... that things turned out this way...\But you taught me how to handle a sword, so I put up a pretty good fight...\That's enough!\Don't... Don't try to talk.\Idiot... You think you can boss me around?\Franz!\Franz! response:	Albert...
context: I'm sorry... that things turned out this way...\But you taught me how to handle a sword, so I put up a pretty good fight...\That's enough!\Don't... Don't try to talk.\Idiot... You think you can boss me around?\Franz!\Franz!\Albert... response:	I had a dream last night...
context: But you taught me how to handle a sword, so I put up a pretty good fight...\That's enough!\Don't... Don't try to talk.\Idiot... You think you can boss me around?\Franz!\Franz!\Albert...\I had a dream last night... response:	Maybe it was last year... Or was it the year before last?
context: That's enough!\Don't... Don't try to talk.\Idiot... You think you can boss me around?\Franz!\Franz!\Albert...\I had a dream last night...\Maybe it was last year... Or was it the year before last? response:	The two of us and Eugenie went to Normandy together, remember?
context: Don't... Don't try to talk.\Idiot... You think you can boss me around?\Franz!\Franz!\Albert...\I had a dream last night...\Maybe it was last year... Or was it the year before last?\The two of us and Eugenie went to Normandy together, remember? response:	No, or was it in the south of France?
context: Idiot... You think you can boss me around?\Franz!\Franz!\Albert...\I had a dream last night...\Maybe it was last year... Or was it the year before last?\The two of us and Eugenie went to Normandy together, remember?\No, or was it in the south of France? response:	The three of us sprawled out on the beach,
context: Franz!\Franz!\Albert...\I had a dream last night...\Maybe it was last year... Or was it the year before last?\The two of us and Eugenie went to Normandy together, remember?\No, or was it in the south of France?\The three of us sprawled out on the beach, response:	It was so windy that when we tried to eat a piece of cheese, it tasted like sand...
context: Franz!\Albert...\I had a dream last night...\Maybe it was last year... Or was it the year before last?\The two of us and Eugenie went to Normandy together, remember?\No, or was it in the south of France?\The three of us sprawled out on the beach,\It was so windy that when we tried to eat a piece of cheese, it tasted like sand... response:	And Eugenie's favorite hat blew away... She was really depressed about it, remember?
context: Albert...\I had a dream last night...\Maybe it was last year... Or was it the year before last?\The two of us and Eugenie went to Normandy together, remember?\No, or was it in the south of France?\The three of us sprawled out on the beach,\It was so windy that when we tried to eat a piece of cheese, it tasted like sand...\And Eugenie's favorite hat blew away... She was really depressed about it, remember? response:	Happy birthday...
context: I had a dream last night...\Maybe it was last year... Or was it the year before last?\The two of us and Eugenie went to Normandy together, remember?\No, or was it in the south of France?\The three of us sprawled out on the beach,\It was so windy that when we tried to eat a piece of cheese, it tasted like sand...\And Eugenie's favorite hat blew away... She was really depressed about it, remember?\Happy birthday... response:	Congratulations on turning sixteen...
context: Maybe it was last year... Or was it the year before last?\The two of us and Eugenie went to Normandy together, remember?\No, or was it in the south of France?\The three of us sprawled out on the beach,\It was so windy that when we tried to eat a piece of cheese, it tasted like sand...\And Eugenie's favorite hat blew away... She was really depressed about it, remember?\Happy birthday...\Congratulations on turning sixteen... response:	Franz, hang on a little longer...
context: The two of us and Eugenie went to Normandy together, remember?\No, or was it in the south of France?\The three of us sprawled out on the beach,\It was so windy that when we tried to eat a piece of cheese, it tasted like sand...\And Eugenie's favorite hat blew away... She was really depressed about it, remember?\Happy birthday...\Congratulations on turning sixteen...\Franz, hang on a little longer... response:	The doctor's gonna be here any minute now, okay?
context: No, or was it in the south of France?\The three of us sprawled out on the beach,\It was so windy that when we tried to eat a piece of cheese, it tasted like sand...\And Eugenie's favorite hat blew away... She was really depressed about it, remember?\Happy birthday...\Congratulations on turning sixteen...\Franz, hang on a little longer...\The doctor's gonna be here any minute now, okay? response:	You're gonna be okay. You're gonna be okay, so hang on.
context: The three of us sprawled out on the beach,\It was so windy that when we tried to eat a piece of cheese, it tasted like sand...\And Eugenie's favorite hat blew away... She was really depressed about it, remember?\Happy birthday...\Congratulations on turning sixteen...\Franz, hang on a little longer...\The doctor's gonna be here any minute now, okay?\You're gonna be okay. You're gonna be okay, so hang on. response:	Say, Franz?
context: It was so windy that when we tried to eat a piece of cheese, it tasted like sand...\And Eugenie's favorite hat blew away... She was really depressed about it, remember?\Happy birthday...\Congratulations on turning sixteen...\Franz, hang on a little longer...\The doctor's gonna be here any minute now, okay?\You're gonna be okay. You're gonna be okay, so hang on.\Say, Franz? response:	It's nice and warm out here, isn't it?
context: And Eugenie's favorite hat blew away... She was really depressed about it, remember?\Happy birthday...\Congratulations on turning sixteen...\Franz, hang on a little longer...\The doctor's gonna be here any minute now, okay?\You're gonna be okay. You're gonna be okay, so hang on.\Say, Franz?\It's nice and warm out here, isn't it? response:	Franz?
context: Happy birthday...\Congratulations on turning sixteen...\Franz, hang on a little longer...\The doctor's gonna be here any minute now, okay?\You're gonna be okay. You're gonna be okay, so hang on.\Say, Franz?\It's nice and warm out here, isn't it?\Franz? response:	FRANZ!
context: Congratulations on turning sixteen...\Franz, hang on a little longer...\The doctor's gonna be here any minute now, okay?\You're gonna be okay. You're gonna be okay, so hang on.\Say, Franz?\It's nice and warm out here, isn't it?\Franz?\FRANZ! response:	Alone, I walk through the darkness of the night...
context: Franz, hang on a little longer...\The doctor's gonna be here any minute now, okay?\You're gonna be okay. You're gonna be okay, so hang on.\Say, Franz?\It's nice and warm out here, isn't it?\Franz?\FRANZ!\Alone, I walk through the darkness of the night... response:	Act 19: Even if I Should Stop Being Me
context: The doctor's gonna be here any minute now, okay?\You're gonna be okay. You're gonna be okay, so hang on.\Say, Franz?\It's nice and warm out here, isn't it?\Franz?\FRANZ!\Alone, I walk through the darkness of the night...\Act 19: Even if I Should Stop Being Me response:	Bide your time, and hold out hope!
