context: Hold your breath response:	Deadly Night awaits us
context: Is giving Shibusen this Demon Tool really the right thing to do?\If honorable father is planning to use it to perform evil deeds...\then when that time comes...\Hey, hey, Kid!\What?\That. I wonder what it is.\Huh?\Fools! response:	Bravery or Bloodshed: Decisive Battle, Mifune vs. Black Star?
context: If honorable father is planning to use it to perform evil deeds...\then when that time comes...\Hey, hey, Kid!\What?\That. I wonder what it is.\Huh?\Fools!\Bravery or Bloodshed: Decisive Battle, Mifune vs. Black Star? response:	Fools!
context: then when that time comes...\Hey, hey, Kid!\What?\That. I wonder what it is.\Huh?\Fools!\Bravery or Bloodshed: Decisive Battle, Mifune vs. Black Star?\Fools! response:	Azusa, what's the situation out there?
context: Hey, hey, Kid!\What?\That. I wonder what it is.\Huh?\Fools!\Bravery or Bloodshed: Decisive Battle, Mifune vs. Black Star?\Fools!\Azusa, what's the situation out there? response:	I can't say that it looks good.
context: What?\That. I wonder what it is.\Huh?\Fools!\Bravery or Bloodshed: Decisive Battle, Mifune vs. Black Star?\Fools!\Azusa, what's the situation out there?\I can't say that it looks good. response:	Although our forces in the front line are advancing,
context: That. I wonder what it is.\Huh?\Fools!\Bravery or Bloodshed: Decisive Battle, Mifune vs. Black Star?\Fools!\Azusa, what's the situation out there?\I can't say that it looks good.\Although our forces in the front line are advancing, response:	they're still a long way from infiltrating the castle.
context: Huh?\Fools!\Bravery or Bloodshed: Decisive Battle, Mifune vs. Black Star?\Fools!\Azusa, what's the situation out there?\I can't say that it looks good.\Although our forces in the front line are advancing,\they're still a long way from infiltrating the castle. response:	Fools!
context: Fools!\Bravery or Bloodshed: Decisive Battle, Mifune vs. Black Star?\Fools!\Azusa, what's the situation out there?\I can't say that it looks good.\Although our forces in the front line are advancing,\they're still a long way from infiltrating the castle.\Fools! response:	What about the situation at the relay stations?
context: Bravery or Bloodshed: Decisive Battle, Mifune vs. Black Star?\Fools!\Azusa, what's the situation out there?\I can't say that it looks good.\Although our forces in the front line are advancing,\they're still a long way from infiltrating the castle.\Fools!\What about the situation at the relay stations? response:	Yes.
context: Fools!\Azusa, what's the situation out there?\I can't say that it looks good.\Although our forces in the front line are advancing,\they're still a long way from infiltrating the castle.\Fools!\What about the situation at the relay stations?\Yes. response:	Among the six relay stations,
context: Azusa, what's the situation out there?\I can't say that it looks good.\Although our forces in the front line are advancing,\they're still a long way from infiltrating the castle.\Fools!\What about the situation at the relay stations?\Yes.\Among the six relay stations, response:	we've succeeded in suppressing enemy forces and destroying the relay stations in Oceania, Europe and the Middle East.
context: I can't say that it looks good.\Although our forces in the front line are advancing,\they're still a long way from infiltrating the castle.\Fools!\What about the situation at the relay stations?\Yes.\Among the six relay stations,\we've succeeded in suppressing enemy forces and destroying the relay stations in Oceania, Europe and the Middle East. response:	But the battle is on-going at the remaining three relay stations.
context: Although our forces in the front line are advancing,\they're still a long way from infiltrating the castle.\Fools!\What about the situation at the relay stations?\Yes.\Among the six relay stations,\we've succeeded in suppressing enemy forces and destroying the relay stations in Oceania, Europe and the Middle East.\But the battle is on-going at the remaining three relay stations. response:	Fools!
context: they're still a long way from infiltrating the castle.\Fools!\What about the situation at the relay stations?\Yes.\Among the six relay stations,\we've succeeded in suppressing enemy forces and destroying the relay stations in Oceania, Europe and the Middle East.\But the battle is on-going at the remaining three relay stations.\Fools! response:	Destroying those relay stations would only delay the spread of insanity.
context: Fools!\What about the situation at the relay stations?\Yes.\Among the six relay stations,\we've succeeded in suppressing enemy forces and destroying the relay stations in Oceania, Europe and the Middle East.\But the battle is on-going at the remaining three relay stations.\Fools!\Destroying those relay stations would only delay the spread of insanity. response:	I'm afraid so.
context: What about the situation at the relay stations?\Yes.\Among the six relay stations,\we've succeeded in suppressing enemy forces and destroying the relay stations in Oceania, Europe and the Middle East.\But the battle is on-going at the remaining three relay stations.\Fools!\Destroying those relay stations would only delay the spread of insanity.\I'm afraid so. response:	Unless we defeat the Kishin, the situation will not become better.
context: Yes.\Among the six relay stations,\we've succeeded in suppressing enemy forces and destroying the relay stations in Oceania, Europe and the Middle East.\But the battle is on-going at the remaining three relay stations.\Fools!\Destroying those relay stations would only delay the spread of insanity.\I'm afraid so.\Unless we defeat the Kishin, the situation will not become better. response:	Fools!
context: Among the six relay stations,\we've succeeded in suppressing enemy forces and destroying the relay stations in Oceania, Europe and the Middle East.\But the battle is on-going at the remaining three relay stations.\Fools!\Destroying those relay stations would only delay the spread of insanity.\I'm afraid so.\Unless we defeat the Kishin, the situation will not become better.\Fools! response:	Shinigami-sama.
context: we've succeeded in suppressing enemy forces and destroying the relay stations in Oceania, Europe and the Middle East.\But the battle is on-going at the remaining three relay stations.\Fools!\Destroying those relay stations would only delay the spread of insanity.\I'm afraid so.\Unless we defeat the Kishin, the situation will not become better.\Fools!\Shinigami-sama. response:	Hmmm?
context: But the battle is on-going at the remaining three relay stations.\Fools!\Destroying those relay stations would only delay the spread of insanity.\I'm afraid so.\Unless we defeat the Kishin, the situation will not become better.\Fools!\Shinigami-sama.\Hmmm? response:	Fools!
context: Fools!\Destroying those relay stations would only delay the spread of insanity.\I'm afraid so.\Unless we defeat the Kishin, the situation will not become better.\Fools!\Shinigami-sama.\Hmmm?\Fools! response:	Death the Kid has returned.
context: Destroying those relay stations would only delay the spread of insanity.\I'm afraid so.\Unless we defeat the Kishin, the situation will not become better.\Fools!\Shinigami-sama.\Hmmm?\Fools!\Death the Kid has returned. response:	What about the Demon Tool?
context: I'm afraid so.\Unless we defeat the Kishin, the situation will not become better.\Fools!\Shinigami-sama.\Hmmm?\Fools!\Death the Kid has returned.\What about the Demon Tool? response:	It would seem that he has succeeded in retrieving the tool.
context: Unless we defeat the Kishin, the situation will not become better.\Fools!\Shinigami-sama.\Hmmm?\Fools!\Death the Kid has returned.\What about the Demon Tool?\It would seem that he has succeeded in retrieving the tool. response:	I see.
context: Fools!\Shinigami-sama.\Hmmm?\Fools!\Death the Kid has returned.\What about the Demon Tool?\It would seem that he has succeeded in retrieving the tool.\I see. response:	If that's the case...
context: Shinigami-sama.\Hmmm?\Fools!\Death the Kid has returned.\What about the Demon Tool?\It would seem that he has succeeded in retrieving the tool.\I see.\If that's the case... response:	tell him to go to BJ and wait for us there.
context: Hmmm?\Fools!\Death the Kid has returned.\What about the Demon Tool?\It would seem that he has succeeded in retrieving the tool.\I see.\If that's the case...\tell him to go to BJ and wait for us there. response:	Hey Kid, isn't this place...
context: Fools!\Death the Kid has returned.\What about the Demon Tool?\It would seem that he has succeeded in retrieving the tool.\I see.\If that's the case...\tell him to go to BJ and wait for us there.\Hey Kid, isn't this place... response:	I know,
context: Death the Kid has returned.\What about the Demon Tool?\It would seem that he has succeeded in retrieving the tool.\I see.\If that's the case...\tell him to go to BJ and wait for us there.\Hey Kid, isn't this place...\I know, response:	this is the room of that fox.
context: What about the Demon Tool?\It would seem that he has succeeded in retrieving the tool.\I see.\If that's the case...\tell him to go to BJ and wait for us there.\Hey Kid, isn't this place...\I know,\this is the room of that fox. response:	This Demon Tool, and Shibusen's inconsistent movements as of late...
context: It would seem that he has succeeded in retrieving the tool.\I see.\If that's the case...\tell him to go to BJ and wait for us there.\Hey Kid, isn't this place...\I know,\this is the room of that fox.\This Demon Tool, and Shibusen's inconsistent movements as of late... response:	What on earth could they be hiding?
context: I see.\If that's the case...\tell him to go to BJ and wait for us there.\Hey Kid, isn't this place...\I know,\this is the room of that fox.\This Demon Tool, and Shibusen's inconsistent movements as of late...\What on earth could they be hiding? response:	Everything... lies beyond this door.
context: If that's the case...\tell him to go to BJ and wait for us there.\Hey Kid, isn't this place...\I know,\this is the room of that fox.\This Demon Tool, and Shibusen's inconsistent movements as of late...\What on earth could they be hiding?\Everything... lies beyond this door. response:	I thought I had seen at least some potential in you...
context: tell him to go to BJ and wait for us there.\Hey Kid, isn't this place...\I know,\this is the room of that fox.\This Demon Tool, and Shibusen's inconsistent movements as of late...\What on earth could they be hiding?\Everything... lies beyond this door.\I thought I had seen at least some potential in you... response:	but it seems I've overestimated you.
context: Hey Kid, isn't this place...\I know,\this is the room of that fox.\This Demon Tool, and Shibusen's inconsistent movements as of late...\What on earth could they be hiding?\Everything... lies beyond this door.\I thought I had seen at least some potential in you...\but it seems I've overestimated you. response:	What an arrogant fool!
context: I know,\this is the room of that fox.\This Demon Tool, and Shibusen's inconsistent movements as of late...\What on earth could they be hiding?\Everything... lies beyond this door.\I thought I had seen at least some potential in you...\but it seems I've overestimated you.\What an arrogant fool! response:	Stop talking like you're better than me!
context: this is the room of that fox.\This Demon Tool, and Shibusen's inconsistent movements as of late...\What on earth could they be hiding?\Everything... lies beyond this door.\I thought I had seen at least some potential in you...\but it seems I've overestimated you.\What an arrogant fool!\Stop talking like you're better than me! response:	Tsubaki, Ninja Blade mode!
context: This Demon Tool, and Shibusen's inconsistent movements as of late...\What on earth could they be hiding?\Everything... lies beyond this door.\I thought I had seen at least some potential in you...\but it seems I've overestimated you.\What an arrogant fool!\Stop talking like you're better than me!\Tsubaki, Ninja Blade mode! response:	On it!
context: What on earth could they be hiding?\Everything... lies beyond this door.\I thought I had seen at least some potential in you...\but it seems I've overestimated you.\What an arrogant fool!\Stop talking like you're better than me!\Tsubaki, Ninja Blade mode!\On it! response:	Let's go!
context: Everything... lies beyond this door.\I thought I had seen at least some potential in you...\but it seems I've overestimated you.\What an arrogant fool!\Stop talking like you're better than me!\Tsubaki, Ninja Blade mode!\On it!\Let's go! response:	Speed Star!
context: I thought I had seen at least some potential in you...\but it seems I've overestimated you.\What an arrogant fool!\Stop talking like you're better than me!\Tsubaki, Ninja Blade mode!\On it!\Let's go!\Speed Star! response:	I'm here!
context: but it seems I've overestimated you.\What an arrogant fool!\Stop talking like you're better than me!\Tsubaki, Ninja Blade mode!\On it!\Let's go!\Speed Star!\I'm here! response:	He's fast!
context: What an arrogant fool!\Stop talking like you're better than me!\Tsubaki, Ninja Blade mode!\On it!\Let's go!\Speed Star!\I'm here!\He's fast! response:	So the rate of your Soul Resonance has increased.
context: Stop talking like you're better than me!\Tsubaki, Ninja Blade mode!\On it!\Let's go!\Speed Star!\I'm here!\He's fast!\So the rate of your Soul Resonance has increased. response:	My blade and your speed...
context: Tsubaki, Ninja Blade mode!\On it!\Let's go!\Speed Star!\I'm here!\He's fast!\So the rate of your Soul Resonance has increased.\My blade and your speed... response:	we'll see which is faster.
context: On it!\Let's go!\Speed Star!\I'm here!\He's fast!\So the rate of your Soul Resonance has increased.\My blade and your speed...\we'll see which is faster. response:	Infinite One Sword Style.
context: Let's go!\Speed Star!\I'm here!\He's fast!\So the rate of your Soul Resonance has increased.\My blade and your speed...\we'll see which is faster.\Infinite One Sword Style. response:	He's coming.
context: Speed Star!\I'm here!\He's fast!\So the rate of your Soul Resonance has increased.\My blade and your speed...\we'll see which is faster.\Infinite One Sword Style.\He's coming. response:	You're a fake.
context: I'm here!\He's fast!\So the rate of your Soul Resonance has increased.\My blade and your speed...\we'll see which is faster.\Infinite One Sword Style.\He's coming.\You're a fake. response:	The real one...
context: He's fast!\So the rate of your Soul Resonance has increased.\My blade and your speed...\we'll see which is faster.\Infinite One Sword Style.\He's coming.\You're a fake.\The real one... response:	is up there!
context: So the rate of your Soul Resonance has increased.\My blade and your speed...\we'll see which is faster.\Infinite One Sword Style.\He's coming.\You're a fake.\The real one...\is up there! response:	Huh?! Shit!
context: My blade and your speed...\we'll see which is faster.\Infinite One Sword Style.\He's coming.\You're a fake.\The real one...\is up there!\Huh?! Shit! response:	Steel Fangs: Vertical Alignment!
context: we'll see which is faster.\Infinite One Sword Style.\He's coming.\You're a fake.\The real one...\is up there!\Huh?! Shit!\Steel Fangs: Vertical Alignment! response:	First strike!
context: Infinite One Sword Style.\He's coming.\You're a fake.\The real one...\is up there!\Huh?! Shit!\Steel Fangs: Vertical Alignment!\First strike! response:	Second strike!
context: He's coming.\You're a fake.\The real one...\is up there!\Huh?! Shit!\Steel Fangs: Vertical Alignment!\First strike!\Second strike! response:	Third strike!
context: You're a fake.\The real one...\is up there!\Huh?! Shit!\Steel Fangs: Vertical Alignment!\First strike!\Second strike!\Third strike! response:	Black Star!
context: The real one...\is up there!\Huh?! Shit!\Steel Fangs: Vertical Alignment!\First strike!\Second strike!\Third strike!\Black Star! response:	This kind of wound, I wouldn't even call it a scratch.
context: is up there!\Huh?! Shit!\Steel Fangs: Vertical Alignment!\First strike!\Second strike!\Third strike!\Black Star!\This kind of wound, I wouldn't even call it a scratch. response:	You have good eyes.
context: Huh?! Shit!\Steel Fangs: Vertical Alignment!\First strike!\Second strike!\Third strike!\Black Star!\This kind of wound, I wouldn't even call it a scratch.\You have good eyes. response:	You managed to dodge them the second before they stabbed you.
context: Steel Fangs: Vertical Alignment!\First strike!\Second strike!\Third strike!\Black Star!\This kind of wound, I wouldn't even call it a scratch.\You have good eyes.\You managed to dodge them the second before they stabbed you. response:	As I expected...
context: First strike!\Second strike!\Third strike!\Black Star!\This kind of wound, I wouldn't even call it a scratch.\You have good eyes.\You managed to dodge them the second before they stabbed you.\As I expected... response:	I can't beat him without using the Fey Blade.
context: Second strike!\Third strike!\Black Star!\This kind of wound, I wouldn't even call it a scratch.\You have good eyes.\You managed to dodge them the second before they stabbed you.\As I expected...\I can't beat him without using the Fey Blade. response:	You've done a really good job.
context: Third strike!\Black Star!\This kind of wound, I wouldn't even call it a scratch.\You have good eyes.\You managed to dodge them the second before they stabbed you.\As I expected...\I can't beat him without using the Fey Blade.\You've done a really good job. response:	What you did really helped us out!
context: Black Star!\This kind of wound, I wouldn't even call it a scratch.\You have good eyes.\You managed to dodge them the second before they stabbed you.\As I expected...\I can't beat him without using the Fey Blade.\You've done a really good job.\What you did really helped us out! response:	The Demon Tool, if you would.
context: This kind of wound, I wouldn't even call it a scratch.\You have good eyes.\You managed to dodge them the second before they stabbed you.\As I expected...\I can't beat him without using the Fey Blade.\You've done a really good job.\What you did really helped us out!\The Demon Tool, if you would. response:	It's right here.
context: You have good eyes.\You managed to dodge them the second before they stabbed you.\As I expected...\I can't beat him without using the Fey Blade.\You've done a really good job.\What you did really helped us out!\The Demon Tool, if you would.\It's right here. response:	Before that,
context: You managed to dodge them the second before they stabbed you.\As I expected...\I can't beat him without using the Fey Blade.\You've done a really good job.\What you did really helped us out!\The Demon Tool, if you would.\It's right here.\Before that, response:	I'd like you to tell me everything.
context: As I expected...\I can't beat him without using the Fey Blade.\You've done a really good job.\What you did really helped us out!\The Demon Tool, if you would.\It's right here.\Before that,\I'd like you to tell me everything. response:	About what this Demon Tool is,
context: I can't beat him without using the Fey Blade.\You've done a really good job.\What you did really helped us out!\The Demon Tool, if you would.\It's right here.\Before that,\I'd like you to tell me everything.\About what this Demon Tool is, response:	and what you are trying to achieve by using it.
context: You've done a really good job.\What you did really helped us out!\The Demon Tool, if you would.\It's right here.\Before that,\I'd like you to tell me everything.\About what this Demon Tool is,\and what you are trying to achieve by using it. response:	Uh, okay.
context: What you did really helped us out!\The Demon Tool, if you would.\It's right here.\Before that,\I'd like you to tell me everything.\About what this Demon Tool is,\and what you are trying to achieve by using it.\Uh, okay. response:	Eh?
context: The Demon Tool, if you would.\It's right here.\Before that,\I'd like you to tell me everything.\About what this Demon Tool is,\and what you are trying to achieve by using it.\Uh, okay.\Eh? response:	But what about all those suspicious movements?
context: It's right here.\Before that,\I'd like you to tell me everything.\About what this Demon Tool is,\and what you are trying to achieve by using it.\Uh, okay.\Eh?\But what about all those suspicious movements? response:	And even when I asked, you'd find a way to avoid answering it.
context: Before that,\I'd like you to tell me everything.\About what this Demon Tool is,\and what you are trying to achieve by using it.\Uh, okay.\Eh?\But what about all those suspicious movements?\And even when I asked, you'd find a way to avoid answering it. response:	Now you're saying that it's okay to let me now just like tha-
context: I'd like you to tell me everything.\About what this Demon Tool is,\and what you are trying to achieve by using it.\Uh, okay.\Eh?\But what about all those suspicious movements?\And even when I asked, you'd find a way to avoid answering it.\Now you're saying that it's okay to let me now just like tha- response:	Sorry about that.
context: About what this Demon Tool is,\and what you are trying to achieve by using it.\Uh, okay.\Eh?\But what about all those suspicious movements?\And even when I asked, you'd find a way to avoid answering it.\Now you're saying that it's okay to let me now just like tha-\Sorry about that. response:	We couldn't afford to let just anyone know what we were planning.
context: and what you are trying to achieve by using it.\Uh, okay.\Eh?\But what about all those suspicious movements?\And even when I asked, you'd find a way to avoid answering it.\Now you're saying that it's okay to let me now just like tha-\Sorry about that.\We couldn't afford to let just anyone know what we were planning. response:	It's a top secret operation.
context: Uh, okay.\Eh?\But what about all those suspicious movements?\And even when I asked, you'd find a way to avoid answering it.\Now you're saying that it's okay to let me now just like tha-\Sorry about that.\We couldn't afford to let just anyone know what we were planning.\It's a top secret operation. response:	More importantly, we can't let those who take side with the Kishin know about it.
context: Eh?\But what about all those suspicious movements?\And even when I asked, you'd find a way to avoid answering it.\Now you're saying that it's okay to let me now just like tha-\Sorry about that.\We couldn't afford to let just anyone know what we were planning.\It's a top secret operation.\More importantly, we can't let those who take side with the Kishin know about it. response:	What? You're telling me that we were suspecting too much from the very beginning?
context: But what about all those suspicious movements?\And even when I asked, you'd find a way to avoid answering it.\Now you're saying that it's okay to let me now just like tha-\Sorry about that.\We couldn't afford to let just anyone know what we were planning.\It's a top secret operation.\More importantly, we can't let those who take side with the Kishin know about it.\What? You're telling me that we were suspecting too much from the very beginning? response:	That's stupid!
context: And even when I asked, you'd find a way to avoid answering it.\Now you're saying that it's okay to let me now just like tha-\Sorry about that.\We couldn't afford to let just anyone know what we were planning.\It's a top secret operation.\More importantly, we can't let those who take side with the Kishin know about it.\What? You're telling me that we were suspecting too much from the very beginning?\That's stupid! response:	But now that we have this Demon Tool in our hands,
