context: I haven't smelled tatami mats in a long time. response:	I haven't smelled tatami mats in a long time.
context: I'm just suffering without being able to actually die.\Not to mention, now that I've wedged myself this deep,\I can't get out on my own.\I think I might die.\I see...\But it's a way to commit suicide,\so you should be able to kill yourself if you stay that way, I think?\I like suicide, response:	but I don't like suffering or pain!
context: Not to mention, now that I've wedged myself this deep,\I can't get out on my own.\I think I might die.\I see...\But it's a way to commit suicide,\so you should be able to kill yourself if you stay that way, I think?\I like suicide,\but I don't like suffering or pain! response:	Why would I?!
context: I can't get out on my own.\I think I might die.\I see...\But it's a way to commit suicide,\so you should be able to kill yourself if you stay that way, I think?\I like suicide,\but I don't like suffering or pain!\Why would I?! response:	Also, I only learned this after the fact,
context: I think I might die.\I see...\But it's a way to commit suicide,\so you should be able to kill yourself if you stay that way, I think?\I like suicide,\but I don't like suffering or pain!\Why would I?!\Also, I only learned this after the fact, response:	I see.
context: I see...\But it's a way to commit suicide,\so you should be able to kill yourself if you stay that way, I think?\I like suicide,\but I don't like suffering or pain!\Why would I?!\Also, I only learned this after the fact,\I see. response:	but it wasn't a suicide method...
context: But it's a way to commit suicide,\so you should be able to kill yourself if you stay that way, I think?\I like suicide,\but I don't like suffering or pain!\Why would I?!\Also, I only learned this after the fact,\I see.\but it wasn't a suicide method... response:	It was a torture method!
context: so you should be able to kill yourself if you stay that way, I think?\I like suicide,\but I don't like suffering or pain!\Why would I?!\Also, I only learned this after the fact,\I see.\but it wasn't a suicide method...\It was a torture method! response:	There.
context: I like suicide,\but I don't like suffering or pain!\Why would I?!\Also, I only learned this after the fact,\I see.\but it wasn't a suicide method...\It was a torture method!\There. response:	My name is Nakajima Atsushi.
context: but I don't like suffering or pain!\Why would I?!\Also, I only learned this after the fact,\I see.\but it wasn't a suicide method...\It was a torture method!\There.\My name is Nakajima Atsushi. response:	Just the other day,
context: Why would I?!\Also, I only learned this after the fact,\I see.\but it wasn't a suicide method...\It was a torture method!\There.\My name is Nakajima Atsushi.\Just the other day, response:	I turned into a tiger and went on a blind rampage and this man, Dazai-san, helped me.
context: Also, I only learned this after the fact,\I see.\but it wasn't a suicide method...\It was a torture method!\There.\My name is Nakajima Atsushi.\Just the other day,\I turned into a tiger and went on a blind rampage and this man, Dazai-san, helped me. response:	While Dazai-san is this kind of person,
context: I see.\but it wasn't a suicide method...\It was a torture method!\There.\My name is Nakajima Atsushi.\Just the other day,\I turned into a tiger and went on a blind rampage and this man, Dazai-san, helped me.\While Dazai-san is this kind of person, response:	those people with supernatural powers
context: but it wasn't a suicide method...\It was a torture method!\There.\My name is Nakajima Atsushi.\Just the other day,\I turned into a tiger and went on a blind rampage and this man, Dazai-san, helped me.\While Dazai-san is this kind of person,\those people with supernatural powers response:	all belonged to the Armed Detective Agency.
context: It was a torture method!\There.\My name is Nakajima Atsushi.\Just the other day,\I turned into a tiger and went on a blind rampage and this man, Dazai-san, helped me.\While Dazai-san is this kind of person,\those people with supernatural powers\all belonged to the Armed Detective Agency. response:	Nakajima Atsushi!
context: There.\My name is Nakajima Atsushi.\Just the other day,\I turned into a tiger and went on a blind rampage and this man, Dazai-san, helped me.\While Dazai-san is this kind of person,\those people with supernatural powers\all belonged to the Armed Detective Agency.\Nakajima Atsushi! response:	You'll become one of us.
context: My name is Nakajima Atsushi.\Just the other day,\I turned into a tiger and went on a blind rampage and this man, Dazai-san, helped me.\While Dazai-san is this kind of person,\those people with supernatural powers\all belonged to the Armed Detective Agency.\Nakajima Atsushi!\You'll become one of us. response:	From this day forth, you'll be a member of the Armed Detective Agency.
context: Just the other day,\I turned into a tiger and went on a blind rampage and this man, Dazai-san, helped me.\While Dazai-san is this kind of person,\those people with supernatural powers\all belonged to the Armed Detective Agency.\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency. response:	That was painful.
context: I turned into a tiger and went on a blind rampage and this man, Dazai-san, helped me.\While Dazai-san is this kind of person,\those people with supernatural powers\all belonged to the Armed Detective Agency.\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\That was painful. response:	I owe you one, Atsushi-kun.
context: While Dazai-san is this kind of person,\those people with supernatural powers\all belonged to the Armed Detective Agency.\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\That was painful.\I owe you one, Atsushi-kun. response:	Without you, I would've snapped in two at the waist.
context: those people with supernatural powers\all belonged to the Armed Detective Agency.\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\That was painful.\I owe you one, Atsushi-kun.\Without you, I would've snapped in two at the waist. response:	Didn't you ask your other coworkers for help?
context: all belonged to the Armed Detective Agency.\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\That was painful.\I owe you one, Atsushi-kun.\Without you, I would've snapped in two at the waist.\Didn't you ask your other coworkers for help? response:	I called them, sure.
context: Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\That was painful.\I owe you one, Atsushi-kun.\Without you, I would've snapped in two at the waist.\Didn't you ask your other coworkers for help?\I called them, sure. response:	I told them I was on death's door.
context: You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\That was painful.\I owe you one, Atsushi-kun.\Without you, I would've snapped in two at the waist.\Didn't you ask your other coworkers for help?\I called them, sure.\I told them I was on death's door. response:	But then everyone was all like, Congratulations.
context: From this day forth, you'll be a member of the Armed Detective Agency.\That was painful.\I owe you one, Atsushi-kun.\Without you, I would've snapped in two at the waist.\Didn't you ask your other coworkers for help?\I called them, sure.\I told them I was on death's door.\But then everyone was all like, Congratulations. response:	How's that make you feel?
context: That was painful.\I owe you one, Atsushi-kun.\Without you, I would've snapped in two at the waist.\Didn't you ask your other coworkers for help?\I called them, sure.\I told them I was on death's door.\But then everyone was all like, Congratulations.\How's that make you feel? response:	I'm not surprised.
context: I owe you one, Atsushi-kun.\Without you, I would've snapped in two at the waist.\Didn't you ask your other coworkers for help?\I called them, sure.\I told them I was on death's door.\But then everyone was all like, Congratulations.\How's that make you feel?\I'm not surprised. response:	Jeez.
context: Without you, I would've snapped in two at the waist.\Didn't you ask your other coworkers for help?\I called them, sure.\I told them I was on death's door.\But then everyone was all like, Congratulations.\How's that make you feel?\I'm not surprised.\Jeez. response:	Anyone gifted with supernatural powers has something wrong with them inside...
context: Didn't you ask your other coworkers for help?\I called them, sure.\I told them I was on death's door.\But then everyone was all like, Congratulations.\How's that make you feel?\I'm not surprised.\Jeez.\Anyone gifted with supernatural powers has something wrong with them inside... response:	Gifted, huh?
context: I called them, sure.\I told them I was on death's door.\But then everyone was all like, Congratulations.\How's that make you feel?\I'm not surprised.\Jeez.\Anyone gifted with supernatural powers has something wrong with them inside...\Gifted, huh? response:	Dazai-san.
context: I told them I was on death's door.\But then everyone was all like, Congratulations.\How's that make you feel?\I'm not surprised.\Jeez.\Anyone gifted with supernatural powers has something wrong with them inside...\Gifted, huh?\Dazai-san. response:	Everyone at the Armed Detective Agency... the private investigators, that is...
context: But then everyone was all like, Congratulations.\How's that make you feel?\I'm not surprised.\Jeez.\Anyone gifted with supernatural powers has something wrong with them inside...\Gifted, huh?\Dazai-san.\Everyone at the Armed Detective Agency... the private investigators, that is... response:	They're gifted, right?
context: How's that make you feel?\I'm not surprised.\Jeez.\Anyone gifted with supernatural powers has something wrong with them inside...\Gifted, huh?\Dazai-san.\Everyone at the Armed Detective Agency... the private investigators, that is...\They're gifted, right? response:	Right, they're an armed force
context: I'm not surprised.\Jeez.\Anyone gifted with supernatural powers has something wrong with them inside...\Gifted, huh?\Dazai-san.\Everyone at the Armed Detective Agency... the private investigators, that is...\They're gifted, right?\Right, they're an armed force response:	taking on antagonists the police don't stand a chance against.
context: Jeez.\Anyone gifted with supernatural powers has something wrong with them inside...\Gifted, huh?\Dazai-san.\Everyone at the Armed Detective Agency... the private investigators, that is...\They're gifted, right?\Right, they're an armed force\taking on antagonists the police don't stand a chance against. response:	I don't stand a chance at joining the agency, then.
context: Anyone gifted with supernatural powers has something wrong with them inside...\Gifted, huh?\Dazai-san.\Everyone at the Armed Detective Agency... the private investigators, that is...\They're gifted, right?\Right, they're an armed force\taking on antagonists the police don't stand a chance against.\I don't stand a chance at joining the agency, then. response:	You're gifted just fine.
context: Gifted, huh?\Dazai-san.\Everyone at the Armed Detective Agency... the private investigators, that is...\They're gifted, right?\Right, they're an armed force\taking on antagonists the police don't stand a chance against.\I don't stand a chance at joining the agency, then.\You're gifted just fine. response:	It's true that I have the supernatural ability to turn into a tiger,
context: Dazai-san.\Everyone at the Armed Detective Agency... the private investigators, that is...\They're gifted, right?\Right, they're an armed force\taking on antagonists the police don't stand a chance against.\I don't stand a chance at joining the agency, then.\You're gifted just fine.\It's true that I have the supernatural ability to turn into a tiger, response:	but I have absolutely no control over it.
context: Everyone at the Armed Detective Agency... the private investigators, that is...\They're gifted, right?\Right, they're an armed force\taking on antagonists the police don't stand a chance against.\I don't stand a chance at joining the agency, then.\You're gifted just fine.\It's true that I have the supernatural ability to turn into a tiger,\but I have absolutely no control over it. response:	I just transform unaware.
context: They're gifted, right?\Right, they're an armed force\taking on antagonists the police don't stand a chance against.\I don't stand a chance at joining the agency, then.\You're gifted just fine.\It's true that I have the supernatural ability to turn into a tiger,\but I have absolutely no control over it.\I just transform unaware. response:	I can't will myself to transform into a tiger.
context: Right, they're an armed force\taking on antagonists the police don't stand a chance against.\I don't stand a chance at joining the agency, then.\You're gifted just fine.\It's true that I have the supernatural ability to turn into a tiger,\but I have absolutely no control over it.\I just transform unaware.\I can't will myself to transform into a tiger. response:	So I don't think I'll be of any use, even if I join.
context: taking on antagonists the police don't stand a chance against.\I don't stand a chance at joining the agency, then.\You're gifted just fine.\It's true that I have the supernatural ability to turn into a tiger,\but I have absolutely no control over it.\I just transform unaware.\I can't will myself to transform into a tiger.\So I don't think I'll be of any use, even if I join. response:	I really appreciate the offer, though.
context: I don't stand a chance at joining the agency, then.\You're gifted just fine.\It's true that I have the supernatural ability to turn into a tiger,\but I have absolutely no control over it.\I just transform unaware.\I can't will myself to transform into a tiger.\So I don't think I'll be of any use, even if I join.\I really appreciate the offer, though. response:	I'm sorry.
context: You're gifted just fine.\It's true that I have the supernatural ability to turn into a tiger,\but I have absolutely no control over it.\I just transform unaware.\I can't will myself to transform into a tiger.\So I don't think I'll be of any use, even if I join.\I really appreciate the offer, though.\I'm sorry. response:	What's your plan, then?
context: It's true that I have the supernatural ability to turn into a tiger,\but I have absolutely no control over it.\I just transform unaware.\I can't will myself to transform into a tiger.\So I don't think I'll be of any use, even if I join.\I really appreciate the offer, though.\I'm sorry.\What's your plan, then? response:	I think I'll look for a job I can actually handle,
context: but I have absolutely no control over it.\I just transform unaware.\I can't will myself to transform into a tiger.\So I don't think I'll be of any use, even if I join.\I really appreciate the offer, though.\I'm sorry.\What's your plan, then?\I think I'll look for a job I can actually handle, response:	though I don't think it'll be easy to find.
context: I just transform unaware.\I can't will myself to transform into a tiger.\So I don't think I'll be of any use, even if I join.\I really appreciate the offer, though.\I'm sorry.\What's your plan, then?\I think I'll look for a job I can actually handle,\though I don't think it'll be easy to find. response:	I have an idea for a potential job.
context: I can't will myself to transform into a tiger.\So I don't think I'll be of any use, even if I join.\I really appreciate the offer, though.\I'm sorry.\What's your plan, then?\I think I'll look for a job I can actually handle,\though I don't think it'll be easy to find.\I have an idea for a potential job. response:	I can help you get it, if you'd like.
context: So I don't think I'll be of any use, even if I join.\I really appreciate the offer, though.\I'm sorry.\What's your plan, then?\I think I'll look for a job I can actually handle,\though I don't think it'll be easy to find.\I have an idea for a potential job.\I can help you get it, if you'd like. response:	Really?
context: I really appreciate the offer, though.\I'm sorry.\What's your plan, then?\I think I'll look for a job I can actually handle,\though I don't think it'll be easy to find.\I have an idea for a potential job.\I can help you get it, if you'd like.\Really? response:	A Certain Bomb
context: I'm sorry.\What's your plan, then?\I think I'll look for a job I can actually handle,\though I don't think it'll be easy to find.\I have an idea for a potential job.\I can help you get it, if you'd like.\Really?\A Certain Bomb response:	Thank you so much!
context: What's your plan, then?\I think I'll look for a job I can actually handle,\though I don't think it'll be easy to find.\I have an idea for a potential job.\I can help you get it, if you'd like.\Really?\A Certain Bomb\Thank you so much! response:	We're going to meet the guarantor who'll introduce you to the job.
context: I think I'll look for a job I can actually handle,\though I don't think it'll be easy to find.\I have an idea for a potential job.\I can help you get it, if you'd like.\Really?\A Certain Bomb\Thank you so much!\We're going to meet the guarantor who'll introduce you to the job. response:	I'm sure he'll like you.
context: though I don't think it'll be easy to find.\I have an idea for a potential job.\I can help you get it, if you'd like.\Really?\A Certain Bomb\Thank you so much!\We're going to meet the guarantor who'll introduce you to the job.\I'm sure he'll like you. response:	What's the job?
context: I have an idea for a potential job.\I can help you get it, if you'd like.\Really?\A Certain Bomb\Thank you so much!\We're going to meet the guarantor who'll introduce you to the job.\I'm sure he'll like you.\What's the job? response:	No point spoiling the fun.
context: I can help you get it, if you'd like.\Really?\A Certain Bomb\Thank you so much!\We're going to meet the guarantor who'll introduce you to the job.\I'm sure he'll like you.\What's the job?\No point spoiling the fun. response:	Well, there may be a test of sorts.
context: Really?\A Certain Bomb\Thank you so much!\We're going to meet the guarantor who'll introduce you to the job.\I'm sure he'll like you.\What's the job?\No point spoiling the fun.\Well, there may be a test of sorts. response:	Huh?
context: A Certain Bomb\Thank you so much!\We're going to meet the guarantor who'll introduce you to the job.\I'm sure he'll like you.\What's the job?\No point spoiling the fun.\Well, there may be a test of sorts.\Huh? response:	A test?
context: Thank you so much!\We're going to meet the guarantor who'll introduce you to the job.\I'm sure he'll like you.\What's the job?\No point spoiling the fun.\Well, there may be a test of sorts.\Huh?\A test? response:	Atsushi-kun, can you write?
context: We're going to meet the guarantor who'll introduce you to the job.\I'm sure he'll like you.\What's the job?\No point spoiling the fun.\Well, there may be a test of sorts.\Huh?\A test?\Atsushi-kun, can you write? response:	I do know how to read and write.
context: I'm sure he'll like you.\What's the job?\No point spoiling the fun.\Well, there may be a test of sorts.\Huh?\A test?\Atsushi-kun, can you write?\I do know how to read and write. response:	Then you'll be fine.
context: What's the job?\No point spoiling the fun.\Well, there may be a test of sorts.\Huh?\A test?\Atsushi-kun, can you write?\I do know how to read and write.\Then you'll be fine. response:	You'll be just fine, I'm sure.
context: No point spoiling the fun.\Well, there may be a test of sorts.\Huh?\A test?\Atsushi-kun, can you write?\I do know how to read and write.\Then you'll be fine.\You'll be just fine, I'm sure. response:	I guarantee it.
context: Well, there may be a test of sorts.\Huh?\A test?\Atsushi-kun, can you write?\I do know how to read and write.\Then you'll be fine.\You'll be just fine, I'm sure.\I guarantee it. response:	Thank you!
context: Huh?\A test?\Atsushi-kun, can you write?\I do know how to read and write.\Then you'll be fine.\You'll be just fine, I'm sure.\I guarantee it.\Thank you! response:	You'd better thank me!
context: A test?\Atsushi-kun, can you write?\I do know how to read and write.\Then you'll be fine.\You'll be just fine, I'm sure.\I guarantee it.\Thank you!\You'd better thank me! response:	Just leave it to me, and everything will be fine!
context: Atsushi-kun, can you write?\I do know how to read and write.\Then you'll be fine.\You'll be just fine, I'm sure.\I guarantee it.\Thank you!\You'd better thank me!\Just leave it to me, and everything will be fine! response:	After all, I am Dazai...
context: I do know how to read and write.\Then you'll be fine.\You'll be just fine, I'm sure.\I guarantee it.\Thank you!\You'd better thank me!\Just leave it to me, and everything will be fine!\After all, I am Dazai... response:	The one and only whom the agency trusts
