context: The salinity in the Narunami area around noon is expected to be 57 per mill. response:	Around 6PM, it will rise to 60 per mill.
context: I wonder if the Sea God is mad...\Huh?\Hii-kun?\Dad better not be drinking a lot and skipping meals just because I'm not there.\Actually, what's he doing about food?\Good morning, Hikari.\Hey.\Mornin'. Whatcha doin'? response:	I was trying to figure out where to fix it first.
context: Huh?\Hii-kun?\Dad better not be drinking a lot and skipping meals just because I'm not there.\Actually, what's he doing about food?\Good morning, Hikari.\Hey.\Mornin'. Whatcha doin'?\I was trying to figure out where to fix it first. response:	What are you guys doing here so early?
context: Hii-kun?\Dad better not be drinking a lot and skipping meals just because I'm not there.\Actually, what's he doing about food?\Good morning, Hikari.\Hey.\Mornin'. Whatcha doin'?\I was trying to figure out where to fix it first.\What are you guys doing here so early? response:	Well, we were sort of thrown out.
context: Dad better not be drinking a lot and skipping meals just because I'm not there.\Actually, what's he doing about food?\Good morning, Hikari.\Hey.\Mornin'. Whatcha doin'?\I was trying to figure out where to fix it first.\What are you guys doing here so early?\Well, we were sort of thrown out. response:	We were told that adults had an important meeting to go to,
context: Actually, what's he doing about food?\Good morning, Hikari.\Hey.\Mornin'. Whatcha doin'?\I was trying to figure out where to fix it first.\What are you guys doing here so early?\Well, we were sort of thrown out.\We were told that adults had an important meeting to go to, response:	so we should head to school early.
context: Good morning, Hikari.\Hey.\Mornin'. Whatcha doin'?\I was trying to figure out where to fix it first.\What are you guys doing here so early?\Well, we were sort of thrown out.\We were told that adults had an important meeting to go to,\so we should head to school early. response:	What's that all about?
context: Hey.\Mornin'. Whatcha doin'?\I was trying to figure out where to fix it first.\What are you guys doing here so early?\Well, we were sort of thrown out.\We were told that adults had an important meeting to go to,\so we should head to school early.\What's that all about? response:	I wonder if it has to do with the saltflake snow falling on the surface.
context: Mornin'. Whatcha doin'?\I was trying to figure out where to fix it first.\What are you guys doing here so early?\Well, we were sort of thrown out.\We were told that adults had an important meeting to go to,\so we should head to school early.\What's that all about?\I wonder if it has to do with the saltflake snow falling on the surface. response:	Adults are always like that.
context: I was trying to figure out where to fix it first.\What are you guys doing here so early?\Well, we were sort of thrown out.\We were told that adults had an important meeting to go to,\so we should head to school early.\What's that all about?\I wonder if it has to do with the saltflake snow falling on the surface.\Adults are always like that. response:	They think it's okay to keep everything a secret from kids.
context: What are you guys doing here so early?\Well, we were sort of thrown out.\We were told that adults had an important meeting to go to,\so we should head to school early.\What's that all about?\I wonder if it has to do with the saltflake snow falling on the surface.\Adults are always like that.\They think it's okay to keep everything a secret from kids. response:	Ojoshi-sama's right here.
context: Well, we were sort of thrown out.\We were told that adults had an important meeting to go to,\so we should head to school early.\What's that all about?\I wonder if it has to do with the saltflake snow falling on the surface.\Adults are always like that.\They think it's okay to keep everything a secret from kids.\Ojoshi-sama's right here. response:	We'll be doing the Ofunehiki!
context: We were told that adults had an important meeting to go to,\so we should head to school early.\What's that all about?\I wonder if it has to do with the saltflake snow falling on the surface.\Adults are always like that.\They think it's okay to keep everything a secret from kids.\Ojoshi-sama's right here.\We'll be doing the Ofunehiki! response:	We really want to do this to the end.
context: so we should head to school early.\What's that all about?\I wonder if it has to do with the saltflake snow falling on the surface.\Adults are always like that.\They think it's okay to keep everything a secret from kids.\Ojoshi-sama's right here.\We'll be doing the Ofunehiki!\We really want to do this to the end. response:	Let's do the Ofunehiki
context: What's that all about?\I wonder if it has to do with the saltflake snow falling on the surface.\Adults are always like that.\They think it's okay to keep everything a secret from kids.\Ojoshi-sama's right here.\We'll be doing the Ofunehiki!\We really want to do this to the end.\Let's do the Ofunehiki response:	With just us.
context: I wonder if it has to do with the saltflake snow falling on the surface.\Adults are always like that.\They think it's okay to keep everything a secret from kids.\Ojoshi-sama's right here.\We'll be doing the Ofunehiki!\We really want to do this to the end.\Let's do the Ofunehiki\With just us. response:	Well, we might as well finish.
context: Adults are always like that.\They think it's okay to keep everything a secret from kids.\Ojoshi-sama's right here.\We'll be doing the Ofunehiki!\We really want to do this to the end.\Let's do the Ofunehiki\With just us.\Well, we might as well finish. response:	And we feel bad for Ojoshi-sama.
context: They think it's okay to keep everything a secret from kids.\Ojoshi-sama's right here.\We'll be doing the Ofunehiki!\We really want to do this to the end.\Let's do the Ofunehiki\With just us.\Well, we might as well finish.\And we feel bad for Ojoshi-sama. response:	I'll ask my Gramps for a boat to use.
context: Ojoshi-sama's right here.\We'll be doing the Ofunehiki!\We really want to do this to the end.\Let's do the Ofunehiki\With just us.\Well, we might as well finish.\And we feel bad for Ojoshi-sama.\I'll ask my Gramps for a boat to use. response:	There you have it.
context: We'll be doing the Ofunehiki!\We really want to do this to the end.\Let's do the Ofunehiki\With just us.\Well, we might as well finish.\And we feel bad for Ojoshi-sama.\I'll ask my Gramps for a boat to use.\There you have it. response:	We can do this, right, Sensei?
context: We really want to do this to the end.\Let's do the Ofunehiki\With just us.\Well, we might as well finish.\And we feel bad for Ojoshi-sama.\I'll ask my Gramps for a boat to use.\There you have it.\We can do this, right, Sensei? response:	You guys...
context: Let's do the Ofunehiki\With just us.\Well, we might as well finish.\And we feel bad for Ojoshi-sama.\I'll ask my Gramps for a boat to use.\There you have it.\We can do this, right, Sensei?\You guys... response:	Yes, let's do it!
context: With just us.\Well, we might as well finish.\And we feel bad for Ojoshi-sama.\I'll ask my Gramps for a boat to use.\There you have it.\We can do this, right, Sensei?\You guys...\Yes, let's do it! response:	Let's all make sure it's a success no matter what!
context: Well, we might as well finish.\And we feel bad for Ojoshi-sama.\I'll ask my Gramps for a boat to use.\There you have it.\We can do this, right, Sensei?\You guys...\Yes, let's do it!\Let's all make sure it's a success no matter what! response:	Once we're done, I'll definitely treat you guys to ramen this time!
context: And we feel bad for Ojoshi-sama.\I'll ask my Gramps for a boat to use.\There you have it.\We can do this, right, Sensei?\You guys...\Yes, let's do it!\Let's all make sure it's a success no matter what!\Once we're done, I'll definitely treat you guys to ramen this time! response:	Gramps said we could use this.
context: I'll ask my Gramps for a boat to use.\There you have it.\We can do this, right, Sensei?\You guys...\Yes, let's do it!\Let's all make sure it's a success no matter what!\Once we're done, I'll definitely treat you guys to ramen this time!\Gramps said we could use this. response:	Wow!
context: There you have it.\We can do this, right, Sensei?\You guys...\Yes, let's do it!\Let's all make sure it's a success no matter what!\Once we're done, I'll definitely treat you guys to ramen this time!\Gramps said we could use this.\Wow! response:	But it's smaller than I thought.
context: We can do this, right, Sensei?\You guys...\Yes, let's do it!\Let's all make sure it's a success no matter what!\Once we're done, I'll definitely treat you guys to ramen this time!\Gramps said we could use this.\Wow!\But it's smaller than I thought. response:	Let's repaint it.
context: You guys...\Yes, let's do it!\Let's all make sure it's a success no matter what!\Once we're done, I'll definitely treat you guys to ramen this time!\Gramps said we could use this.\Wow!\But it's smaller than I thought.\Let's repaint it. response:	We should probably reinforce it first.
context: Yes, let's do it!\Let's all make sure it's a success no matter what!\Once we're done, I'll definitely treat you guys to ramen this time!\Gramps said we could use this.\Wow!\But it's smaller than I thought.\Let's repaint it.\We should probably reinforce it first. response:	Thank you very much.
context: Let's all make sure it's a success no matter what!\Once we're done, I'll definitely treat you guys to ramen this time!\Gramps said we could use this.\Wow!\But it's smaller than I thought.\Let's repaint it.\We should probably reinforce it first.\Thank you very much. response:	Thank you very much!
context: Once we're done, I'll definitely treat you guys to ramen this time!\Gramps said we could use this.\Wow!\But it's smaller than I thought.\Let's repaint it.\We should probably reinforce it first.\Thank you very much.\Thank you very much! response:	Thank you very much!
context: Gramps said we could use this.\Wow!\But it's smaller than I thought.\Let's repaint it.\We should probably reinforce it first.\Thank you very much.\Thank you very much!\Thank you very much! response:	It's not a problem.
context: Wow!\But it's smaller than I thought.\Let's repaint it.\We should probably reinforce it first.\Thank you very much.\Thank you very much!\Thank you very much!\It's not a problem. response:	You're putting too much into it.
context: But it's smaller than I thought.\Let's repaint it.\We should probably reinforce it first.\Thank you very much.\Thank you very much!\Thank you very much!\It's not a problem.\You're putting too much into it. response:	Huh?
context: Let's repaint it.\We should probably reinforce it first.\Thank you very much.\Thank you very much!\Thank you very much!\It's not a problem.\You're putting too much into it.\Huh? response:	Why?
context: We should probably reinforce it first.\Thank you very much.\Thank you very much!\Thank you very much!\It's not a problem.\You're putting too much into it.\Huh?\Why? response:	You're gonna get hurt like that.
context: Thank you very much.\Thank you very much!\Thank you very much!\It's not a problem.\You're putting too much into it.\Huh?\Why?\You're gonna get hurt like that. response:	Hii-kun...
context: Thank you very much!\Thank you very much!\It's not a problem.\You're putting too much into it.\Huh?\Why?\You're gonna get hurt like that.\Hii-kun... response:	That's more like it.
context: Thank you very much!\It's not a problem.\You're putting too much into it.\Huh?\Why?\You're gonna get hurt like that.\Hii-kun...\That's more like it. response:	I think we're all getting hungry.
context: It's not a problem.\You're putting too much into it.\Huh?\Why?\You're gonna get hurt like that.\Hii-kun...\That's more like it.\I think we're all getting hungry. response:	Oh!
context: You're putting too much into it.\Huh?\Why?\You're gonna get hurt like that.\Hii-kun...\That's more like it.\I think we're all getting hungry.\Oh! response:	Then I'll go make us something!
context: Huh?\Why?\You're gonna get hurt like that.\Hii-kun...\That's more like it.\I think we're all getting hungry.\Oh!\Then I'll go make us something! response:	I'll go get some things from Saya Mart!
context: Why?\You're gonna get hurt like that.\Hii-kun...\That's more like it.\I think we're all getting hungry.\Oh!\Then I'll go make us something!\I'll go get some things from Saya Mart! response:	You better not be doing this just so you can have a snack.
context: You're gonna get hurt like that.\Hii-kun...\That's more like it.\I think we're all getting hungry.\Oh!\Then I'll go make us something!\I'll go get some things from Saya Mart!\You better not be doing this just so you can have a snack. response:	That's not it!
context: Hii-kun...\That's more like it.\I think we're all getting hungry.\Oh!\Then I'll go make us something!\I'll go get some things from Saya Mart!\You better not be doing this just so you can have a snack.\That's not it! response:	I'm going to support her.
context: That's more like it.\I think we're all getting hungry.\Oh!\Then I'll go make us something!\I'll go get some things from Saya Mart!\You better not be doing this just so you can have a snack.\That's not it!\I'm going to support her. response:	You're just gonna get fat!
context: I think we're all getting hungry.\Oh!\Then I'll go make us something!\I'll go get some things from Saya Mart!\You better not be doing this just so you can have a snack.\That's not it!\I'm going to support her.\You're just gonna get fat! response:	Hikari's trying really hard...
context: Oh!\Then I'll go make us something!\I'll go get some things from Saya Mart!\You better not be doing this just so you can have a snack.\That's not it!\I'm going to support her.\You're just gonna get fat!\Hikari's trying really hard... response:	Don't say that!
context: Then I'll go make us something!\I'll go get some things from Saya Mart!\You better not be doing this just so you can have a snack.\That's not it!\I'm going to support her.\You're just gonna get fat!\Hikari's trying really hard...\Don't say that! response:	I'm just kidding.
context: I'll go get some things from Saya Mart!\You better not be doing this just so you can have a snack.\That's not it!\I'm going to support her.\You're just gonna get fat!\Hikari's trying really hard...\Don't say that!\I'm just kidding. response:	It's heavy...
context: You better not be doing this just so you can have a snack.\That's not it!\I'm going to support her.\You're just gonna get fat!\Hikari's trying really hard...\Don't say that!\I'm just kidding.\It's heavy... response:	Oh, I'll help.
context: That's not it!\I'm going to support her.\You're just gonna get fat!\Hikari's trying really hard...\Don't say that!\I'm just kidding.\It's heavy...\Oh, I'll help. response:	You're a lifesaver!
context: I'm going to support her.\You're just gonna get fat!\Hikari's trying really hard...\Don't say that!\I'm just kidding.\It's heavy...\Oh, I'll help.\You're a lifesaver! response:	You guys came!
context: You're just gonna get fat!\Hikari's trying really hard...\Don't say that!\I'm just kidding.\It's heavy...\Oh, I'll help.\You're a lifesaver!\You guys came! response:	Yeah!
context: Hikari's trying really hard...\Don't say that!\I'm just kidding.\It's heavy...\Oh, I'll help.\You're a lifesaver!\You guys came!\Yeah! response:	Well, then...
context: Don't say that!\I'm just kidding.\It's heavy...\Oh, I'll help.\You're a lifesaver!\You guys came!\Yeah!\Well, then... response:	This is my awesome creation.
context: I'm just kidding.\It's heavy...\Oh, I'll help.\You're a lifesaver!\You guys came!\Yeah!\Well, then...\This is my awesome creation. response:	Don't drop it.
context: It's heavy...\Oh, I'll help.\You're a lifesaver!\You guys came!\Yeah!\Well, then...\This is my awesome creation.\Don't drop it. response:	That's the hip microwave! Leave it to us!
context: Oh, I'll help.\You're a lifesaver!\You guys came!\Yeah!\Well, then...\This is my awesome creation.\Don't drop it.\That's the hip microwave! Leave it to us! response:	Why are there shumai?
context: You're a lifesaver!\You guys came!\Yeah!\Well, then...\This is my awesome creation.\Don't drop it.\That's the hip microwave! Leave it to us!\Why are there shumai? response:	I wonder what'd be good...
context: You guys came!\Yeah!\Well, then...\This is my awesome creation.\Don't drop it.\That's the hip microwave! Leave it to us!\Why are there shumai?\I wonder what'd be good... response:	Oh, Manaka-chan?
context: Yeah!\Well, then...\This is my awesome creation.\Don't drop it.\That's the hip microwave! Leave it to us!\Why are there shumai?\I wonder what'd be good...\Oh, Manaka-chan? response:	Oh! Akari-san!
context: Well, then...\This is my awesome creation.\Don't drop it.\That's the hip microwave! Leave it to us!\Why are there shumai?\I wonder what'd be good...\Oh, Manaka-chan?\Oh! Akari-san! response:	Something that'll keep you warm is probably best.
context: This is my awesome creation.\Don't drop it.\That's the hip microwave! Leave it to us!\Why are there shumai?\I wonder what'd be good...\Oh, Manaka-chan?\Oh! Akari-san!\Something that'll keep you warm is probably best. response:	This summer's a bit chilly.
context: Don't drop it.\That's the hip microwave! Leave it to us!\Why are there shumai?\I wonder what'd be good...\Oh, Manaka-chan?\Oh! Akari-san!\Something that'll keep you warm is probably best.\This summer's a bit chilly. response:	Something warm and from the sea...
