context: There were many sheep in the grassland. response:	They had white hair,
context: And run faster.\They jumped over the fence.\Faster and faster.\The girl followed the little sheep\like she was dreaming.\She ran faster and faster.\One sheep, two sheep'\three sheep' response:	And finally
context: They jumped over the fence.\Faster and faster.\The girl followed the little sheep\like she was dreaming.\She ran faster and faster.\One sheep, two sheep'\three sheep'\And finally response:	when the girl came very near to the sheep,
context: Faster and faster.\The girl followed the little sheep\like she was dreaming.\She ran faster and faster.\One sheep, two sheep'\three sheep'\And finally\when the girl came very near to the sheep, response:	she fell down'
context: The girl followed the little sheep\like she was dreaming.\She ran faster and faster.\One sheep, two sheep'\three sheep'\And finally\when the girl came very near to the sheep,\she fell down' response:	Li-kun'
context: like she was dreaming.\She ran faster and faster.\One sheep, two sheep'\three sheep'\And finally\when the girl came very near to the sheep,\she fell down'\Li-kun' response:	What's the matter, Kinomoto-san, Li-kun?
context: She ran faster and faster.\One sheep, two sheep'\three sheep'\And finally\when the girl came very near to the sheep,\she fell down'\Li-kun'\What's the matter, Kinomoto-san, Li-kun? response:	Excuse me.
context: One sheep, two sheep'\three sheep'\And finally\when the girl came very near to the sheep,\she fell down'\Li-kun'\What's the matter, Kinomoto-san, Li-kun?\Excuse me. response:	What? A gigantic teddy bear?
context: three sheep'\And finally\when the girl came very near to the sheep,\she fell down'\Li-kun'\What's the matter, Kinomoto-san, Li-kun?\Excuse me.\What? A gigantic teddy bear? response:	Yes, somehow, Clow's aura made the teddy bear grow huge.
context: And finally\when the girl came very near to the sheep,\she fell down'\Li-kun'\What's the matter, Kinomoto-san, Li-kun?\Excuse me.\What? A gigantic teddy bear?\Yes, somehow, Clow's aura made the teddy bear grow huge. response:	It was really pretty scary.
context: when the girl came very near to the sheep,\she fell down'\Li-kun'\What's the matter, Kinomoto-san, Li-kun?\Excuse me.\What? A gigantic teddy bear?\Yes, somehow, Clow's aura made the teddy bear grow huge.\It was really pretty scary. response:	Why did that happen?
context: she fell down'\Li-kun'\What's the matter, Kinomoto-san, Li-kun?\Excuse me.\What? A gigantic teddy bear?\Yes, somehow, Clow's aura made the teddy bear grow huge.\It was really pretty scary.\Why did that happen? response:	Sorry, but it really had nothing to do with me.
context: Li-kun'\What's the matter, Kinomoto-san, Li-kun?\Excuse me.\What? A gigantic teddy bear?\Yes, somehow, Clow's aura made the teddy bear grow huge.\It was really pretty scary.\Why did that happen?\Sorry, but it really had nothing to do with me. response:	Next time, be more alert!
context: What's the matter, Kinomoto-san, Li-kun?\Excuse me.\What? A gigantic teddy bear?\Yes, somehow, Clow's aura made the teddy bear grow huge.\It was really pretty scary.\Why did that happen?\Sorry, but it really had nothing to do with me.\Next time, be more alert! response:	Okay. I promise.
context: Excuse me.\What? A gigantic teddy bear?\Yes, somehow, Clow's aura made the teddy bear grow huge.\It was really pretty scary.\Why did that happen?\Sorry, but it really had nothing to do with me.\Next time, be more alert!\Okay. I promise. response:	Here you go!
context: What? A gigantic teddy bear?\Yes, somehow, Clow's aura made the teddy bear grow huge.\It was really pretty scary.\Why did that happen?\Sorry, but it really had nothing to do with me.\Next time, be more alert!\Okay. I promise.\Here you go! response:	These are newly introduced by my mom's company.
context: Yes, somehow, Clow's aura made the teddy bear grow huge.\It was really pretty scary.\Why did that happen?\Sorry, but it really had nothing to do with me.\Next time, be more alert!\Okay. I promise.\Here you go!\These are newly introduced by my mom's company. response:	Please accept them.
context: It was really pretty scary.\Why did that happen?\Sorry, but it really had nothing to do with me.\Next time, be more alert!\Okay. I promise.\Here you go!\These are newly introduced by my mom's company.\Please accept them. response:	Here's one for Sakura
context: Why did that happen?\Sorry, but it really had nothing to do with me.\Next time, be more alert!\Okay. I promise.\Here you go!\These are newly introduced by my mom's company.\Please accept them.\Here's one for Sakura response:	and one for Kero.
context: Sorry, but it really had nothing to do with me.\Next time, be more alert!\Okay. I promise.\Here you go!\These are newly introduced by my mom's company.\Please accept them.\Here's one for Sakura\and one for Kero. response:	Thanks.
context: Next time, be more alert!\Okay. I promise.\Here you go!\These are newly introduced by my mom's company.\Please accept them.\Here's one for Sakura\and one for Kero.\Thanks. response:	And here's one for Li.
context: Okay. I promise.\Here you go!\These are newly introduced by my mom's company.\Please accept them.\Here's one for Sakura\and one for Kero.\Thanks.\And here's one for Li. response:	Thanks.
context: Here you go!\These are newly introduced by my mom's company.\Please accept them.\Here's one for Sakura\and one for Kero.\Thanks.\And here's one for Li.\Thanks. response:	Ah!
context: These are newly introduced by my mom's company.\Please accept them.\Here's one for Sakura\and one for Kero.\Thanks.\And here's one for Li.\Thanks.\Ah! response:	I can use this to contact you later.
context: Please accept them.\Here's one for Sakura\and one for Kero.\Thanks.\And here's one for Li.\Thanks.\Ah!\I can use this to contact you later. response:	I feel sleppy'
context: Here's one for Sakura\and one for Kero.\Thanks.\And here's one for Li.\Thanks.\Ah!\I can use this to contact you later.\I feel sleppy' response:	I've been feeling sleepy a lot lately.
context: and one for Kero.\Thanks.\And here's one for Li.\Thanks.\Ah!\I can use this to contact you later.\I feel sleppy'\I've been feeling sleepy a lot lately. response:	It can't be helped.
context: Thanks.\And here's one for Li.\Thanks.\Ah!\I can use this to contact you later.\I feel sleppy'\I've been feeling sleepy a lot lately.\It can't be helped. response:	The conversion of Clow cards must have been tough on you.
context: And here's one for Li.\Thanks.\Ah!\I can use this to contact you later.\I feel sleppy'\I've been feeling sleepy a lot lately.\It can't be helped.\The conversion of Clow cards must have been tough on you. response:	And Kero, too.
context: Thanks.\Ah!\I can use this to contact you later.\I feel sleppy'\I've been feeling sleepy a lot lately.\It can't be helped.\The conversion of Clow cards must have been tough on you.\And Kero, too. response:	Sakura Cards.
context: Ah!\I can use this to contact you later.\I feel sleppy'\I've been feeling sleepy a lot lately.\It can't be helped.\The conversion of Clow cards must have been tough on you.\And Kero, too.\Sakura Cards. response:	By the way!
context: I can use this to contact you later.\I feel sleppy'\I've been feeling sleepy a lot lately.\It can't be helped.\The conversion of Clow cards must have been tough on you.\And Kero, too.\Sakura Cards.\By the way! response:	After the conversion, the magic of the Clow cards
context: I feel sleppy'\I've been feeling sleepy a lot lately.\It can't be helped.\The conversion of Clow cards must have been tough on you.\And Kero, too.\Sakura Cards.\By the way!\After the conversion, the magic of the Clow cards response:	will be completely yours, right?
context: I've been feeling sleepy a lot lately.\It can't be helped.\The conversion of Clow cards must have been tough on you.\And Kero, too.\Sakura Cards.\By the way!\After the conversion, the magic of the Clow cards\will be completely yours, right? response:	Looks like that'
context: It can't be helped.\The conversion of Clow cards must have been tough on you.\And Kero, too.\Sakura Cards.\By the way!\After the conversion, the magic of the Clow cards\will be completely yours, right?\Looks like that' response:	That's
context: The conversion of Clow cards must have been tough on you.\And Kero, too.\Sakura Cards.\By the way!\After the conversion, the magic of the Clow cards\will be completely yours, right?\Looks like that'\That's response:	why those new Sakura card
context: And Kero, too.\Sakura Cards.\By the way!\After the conversion, the magic of the Clow cards\will be completely yours, right?\Looks like that'\That's\why those new Sakura card response:	deserve their own characteristic pose!
context: Sakura Cards.\By the way!\After the conversion, the magic of the Clow cards\will be completely yours, right?\Looks like that'\That's\why those new Sakura card\deserve their own characteristic pose! response:	Characteristic' Pose'?
context: By the way!\After the conversion, the magic of the Clow cards\will be completely yours, right?\Looks like that'\That's\why those new Sakura card\deserve their own characteristic pose!\Characteristic' Pose'? response:	Certainly! Certainly!
context: After the conversion, the magic of the Clow cards\will be completely yours, right?\Looks like that'\That's\why those new Sakura card\deserve their own characteristic pose!\Characteristic' Pose'?\Certainly! Certainly! response:	I really feel that you should
context: will be completely yours, right?\Looks like that'\That's\why those new Sakura card\deserve their own characteristic pose!\Characteristic' Pose'?\Certainly! Certainly!\I really feel that you should response:	create one as soon as possible
context: Looks like that'\That's\why those new Sakura card\deserve their own characteristic pose!\Characteristic' Pose'?\Certainly! Certainly!\I really feel that you should\create one as soon as possible response:	For Sakura, so cute,
context: That's\why those new Sakura card\deserve their own characteristic pose!\Characteristic' Pose'?\Certainly! Certainly!\I really feel that you should\create one as soon as possible\For Sakura, so cute, response:	so beautiful, so elegant.
context: why those new Sakura card\deserve their own characteristic pose!\Characteristic' Pose'?\Certainly! Certainly!\I really feel that you should\create one as soon as possible\For Sakura, so cute,\so beautiful, so elegant. response:	This should come ever so naturally!
context: deserve their own characteristic pose!\Characteristic' Pose'?\Certainly! Certainly!\I really feel that you should\create one as soon as possible\For Sakura, so cute,\so beautiful, so elegant.\This should come ever so naturally! response:	Come!
context: Characteristic' Pose'?\Certainly! Certainly!\I really feel that you should\create one as soon as possible\For Sakura, so cute,\so beautiful, so elegant.\This should come ever so naturally!\Come! response:	Let's practice!
context: Certainly! Certainly!\I really feel that you should\create one as soon as possible\For Sakura, so cute,\so beautiful, so elegant.\This should come ever so naturally!\Come!\Let's practice! response:	All in all,
context: I really feel that you should\create one as soon as possible\For Sakura, so cute,\so beautiful, so elegant.\This should come ever so naturally!\Come!\Let's practice!\All in all, response:	it's been pretty tough on you, hasn't it, Sakura?
context: create one as soon as possible\For Sakura, so cute,\so beautiful, so elegant.\This should come ever so naturally!\Come!\Let's practice!\All in all,\it's been pretty tough on you, hasn't it, Sakura? response:	But
context: For Sakura, so cute,\so beautiful, so elegant.\This should come ever so naturally!\Come!\Let's practice!\All in all,\it's been pretty tough on you, hasn't it, Sakura?\But response:	it's also been pretty rough on him over there.
context: so beautiful, so elegant.\This should come ever so naturally!\Come!\Let's practice!\All in all,\it's been pretty tough on you, hasn't it, Sakura?\But\it's also been pretty rough on him over there. response:	Somehow'
context: This should come ever so naturally!\Come!\Let's practice!\All in all,\it's been pretty tough on you, hasn't it, Sakura?\But\it's also been pretty rough on him over there.\Somehow' response:	I can't seem to eat enough these days'
context: Come!\Let's practice!\All in all,\it's been pretty tough on you, hasn't it, Sakura?\But\it's also been pretty rough on him over there.\Somehow'\I can't seem to eat enough these days' response:	As of late'
context: Let's practice!\All in all,\it's been pretty tough on you, hasn't it, Sakura?\But\it's also been pretty rough on him over there.\Somehow'\I can't seem to eat enough these days'\As of late' response:	I have been strangely tired' and'
context: All in all,\it's been pretty tough on you, hasn't it, Sakura?\But\it's also been pretty rough on him over there.\Somehow'\I can't seem to eat enough these days'\As of late'\I have been strangely tired' and' response:	Sleepy'
context: it's been pretty tough on you, hasn't it, Sakura?\But\it's also been pretty rough on him over there.\Somehow'\I can't seem to eat enough these days'\As of late'\I have been strangely tired' and'\Sleepy' response:	Yuki'
context: But\it's also been pretty rough on him over there.\Somehow'\I can't seem to eat enough these days'\As of late'\I have been strangely tired' and'\Sleepy'\Yuki' response:	Huh? Touya!
context: it's also been pretty rough on him over there.\Somehow'\I can't seem to eat enough these days'\As of late'\I have been strangely tired' and'\Sleepy'\Yuki'\Huh? Touya! response:	So your soccer meeting's ended?
context: Somehow'\I can't seem to eat enough these days'\As of late'\I have been strangely tired' and'\Sleepy'\Yuki'\Huh? Touya!\So your soccer meeting's ended? response:	Touya'
context: I can't seem to eat enough these days'\As of late'\I have been strangely tired' and'\Sleepy'\Yuki'\Huh? Touya!\So your soccer meeting's ended?\Touya' response:	Yes.
context: As of late'\I have been strangely tired' and'\Sleepy'\Yuki'\Huh? Touya!\So your soccer meeting's ended?\Touya'\Yes. response:	Ah!
context: I have been strangely tired' and'\Sleepy'\Yuki'\Huh? Touya!\So your soccer meeting's ended?\Touya'\Yes.\Ah! response:	Sorry!
context: Sleepy'\Yuki'\Huh? Touya!\So your soccer meeting's ended?\Touya'\Yes.\Ah!\Sorry! response:	What?
context: Yuki'\Huh? Touya!\So your soccer meeting's ended?\Touya'\Yes.\Ah!\Sorry!\What? response:	Yuki,
context: Huh? Touya!\So your soccer meeting's ended?\Touya'\Yes.\Ah!\Sorry!\What?\Yuki, response:	Well, you know, you are well-liked and popular'
context: So your soccer meeting's ended?\Touya'\Yes.\Ah!\Sorry!\What?\Yuki,\Well, you know, you are well-liked and popular' response:	'even if you don't know you're popular.
context: Touya'\Yes.\Ah!\Sorry!\What?\Yuki,\Well, you know, you are well-liked and popular'\'even if you don't know you're popular. response:	I'
context: Yes.\Ah!\Sorry!\What?\Yuki,\Well, you know, you are well-liked and popular'\'even if you don't know you're popular.\I' response:	If you don't need me'
context: Ah!\Sorry!\What?\Yuki,\Well, you know, you are well-liked and popular'\'even if you don't know you're popular.\I'\If you don't need me' response:	then you will become'
context: Sorry!\What?\Yuki,\Well, you know, you are well-liked and popular'\'even if you don't know you're popular.\I'\If you don't need me'\then you will become' response:	Why should I not need you?
context: What?\Yuki,\Well, you know, you are well-liked and popular'\'even if you don't know you're popular.\I'\If you don't need me'\then you will become'\Why should I not need you? response:	You know what I mean, dumbass!
context: Yuki,\Well, you know, you are well-liked and popular'\'even if you don't know you're popular.\I'\If you don't need me'\then you will become'\Why should I not need you?\You know what I mean, dumbass! response:	I' I'
context: Well, you know, you are well-liked and popular'\'even if you don't know you're popular.\I'\If you don't need me'\then you will become'\Why should I not need you?\You know what I mean, dumbass!\I' I' response:	I what?
context: 'even if you don't know you're popular.\I'\If you don't need me'\then you will become'\Why should I not need you?\You know what I mean, dumbass!\I' I'\I what? response:	I'm sleeping.
context: I'\If you don't need me'\then you will become'\Why should I not need you?\You know what I mean, dumbass!\I' I'\I what?\I'm sleeping. response:	I heard your voice, Touya.
context: If you don't need me'\then you will become'\Why should I not need you?\You know what I mean, dumbass!\I' I'\I what?\I'm sleeping.\I heard your voice, Touya. response:	Ar, Touya,
context: then you will become'\Why should I not need you?\You know what I mean, dumbass!\I' I'\I what?\I'm sleeping.\I heard your voice, Touya.\Ar, Touya, response:	the teacher was calling for you earlier.
context: Why should I not need you?\You know what I mean, dumbass!\I' I'\I what?\I'm sleeping.\I heard your voice, Touya.\Ar, Touya,\the teacher was calling for you earlier. response:	So hurry up, will you
context: You know what I mean, dumbass!\I' I'\I what?\I'm sleeping.\I heard your voice, Touya.\Ar, Touya,\the teacher was calling for you earlier.\So hurry up, will you response:	Akizuki'
context: I' I'\I what?\I'm sleeping.\I heard your voice, Touya.\Ar, Touya,\the teacher was calling for you earlier.\So hurry up, will you\Akizuki' response:	Nakuru!
context: I what?\I'm sleeping.\I heard your voice, Touya.\Ar, Touya,\the teacher was calling for you earlier.\So hurry up, will you\Akizuki'\Nakuru! response:	You turned up here deliberately, didn't you?
context: I'm sleeping.\I heard your voice, Touya.\Ar, Touya,\the teacher was calling for you earlier.\So hurry up, will you\Akizuki'\Nakuru!\You turned up here deliberately, didn't you? response:	And what's wrong with that?
context: I heard your voice, Touya.\Ar, Touya,\the teacher was calling for you earlier.\So hurry up, will you\Akizuki'\Nakuru!\You turned up here deliberately, didn't you?\And what's wrong with that? response:	Later.
context: Ar, Touya,\the teacher was calling for you earlier.\So hurry up, will you\Akizuki'\Nakuru!\You turned up here deliberately, didn't you?\And what's wrong with that?\Later. response:	See you in class!
context: the teacher was calling for you earlier.\So hurry up, will you\Akizuki'\Nakuru!\You turned up here deliberately, didn't you?\And what's wrong with that?\Later.\See you in class! response:	Just as I though, he knew what I was thinking all along.
context: So hurry up, will you\Akizuki'\Nakuru!\You turned up here deliberately, didn't you?\And what's wrong with that?\Later.\See you in class!\Just as I though, he knew what I was thinking all along. response:	He's pretty sharp.
context: Akizuki'\Nakuru!\You turned up here deliberately, didn't you?\And what's wrong with that?\Later.\See you in class!\Just as I though, he knew what I was thinking all along.\He's pretty sharp. response:	You may not realize it, but you do sleep a lot.
context: Nakuru!\You turned up here deliberately, didn't you?\And what's wrong with that?\Later.\See you in class!\Just as I though, he knew what I was thinking all along.\He's pretty sharp.\You may not realize it, but you do sleep a lot. response:	So, don't interfere, ok?
context: You turned up here deliberately, didn't you?\And what's wrong with that?\Later.\See you in class!\Just as I though, he knew what I was thinking all along.\He's pretty sharp.\You may not realize it, but you do sleep a lot.\So, don't interfere, ok? response:	'and we practice
context: And what's wrong with that?\Later.\See you in class!\Just as I though, he knew what I was thinking all along.\He's pretty sharp.\You may not realize it, but you do sleep a lot.\So, don't interfere, ok?\'and we practice response:	my new pose all the way'
context: Later.\See you in class!\Just as I though, he knew what I was thinking all along.\He's pretty sharp.\You may not realize it, but you do sleep a lot.\So, don't interfere, ok?\'and we practice\my new pose all the way' response:	And?
context: See you in class!\Just as I though, he knew what I was thinking all along.\He's pretty sharp.\You may not realize it, but you do sleep a lot.\So, don't interfere, ok?\'and we practice\my new pose all the way'\And? response:	How's the pose coming along?
context: Just as I though, he knew what I was thinking all along.\He's pretty sharp.\You may not realize it, but you do sleep a lot.\So, don't interfere, ok?\'and we practice\my new pose all the way'\And?\How's the pose coming along? response:	Is that a good pose?
context: He's pretty sharp.\You may not realize it, but you do sleep a lot.\So, don't interfere, ok?\'and we practice\my new pose all the way'\And?\How's the pose coming along?\Is that a good pose? response:	I'm not sure, but'
context: You may not realize it, but you do sleep a lot.\So, don't interfere, ok?\'and we practice\my new pose all the way'\And?\How's the pose coming along?\Is that a good pose?\I'm not sure, but' response:	Tomoyo is really enthusiastic, isn't she?
context: So, don't interfere, ok?\'and we practice\my new pose all the way'\And?\How's the pose coming along?\Is that a good pose?\I'm not sure, but'\Tomoyo is really enthusiastic, isn't she? response:	But,
context: 'and we practice\my new pose all the way'\And?\How's the pose coming along?\Is that a good pose?\I'm not sure, but'\Tomoyo is really enthusiastic, isn't she?\But, response:	why do I have to convert the Clow Cards?
context: my new pose all the way'\And?\How's the pose coming along?\Is that a good pose?\I'm not sure, but'\Tomoyo is really enthusiastic, isn't she?\But,\why do I have to convert the Clow Cards? response:	And what does this piece
context: And?\How's the pose coming along?\Is that a good pose?\I'm not sure, but'\Tomoyo is really enthusiastic, isn't she?\But,\why do I have to convert the Clow Cards?\And what does this piece response:	of paper have to do with all of this
context: How's the pose coming along?\Is that a good pose?\I'm not sure, but'\Tomoyo is really enthusiastic, isn't she?\But,\why do I have to convert the Clow Cards?\And what does this piece\of paper have to do with all of this response:	Let me see'!
context: Is that a good pose?\I'm not sure, but'\Tomoyo is really enthusiastic, isn't she?\But,\why do I have to convert the Clow Cards?\And what does this piece\of paper have to do with all of this\Let me see'! response:	This'
context: I'm not sure, but'\Tomoyo is really enthusiastic, isn't she?\But,\why do I have to convert the Clow Cards?\And what does this piece\of paper have to do with all of this\Let me see'!\This' response:	My opponent is a magic user, too, right?
context: Tomoyo is really enthusiastic, isn't she?\But,\why do I have to convert the Clow Cards?\And what does this piece\of paper have to do with all of this\Let me see'!\This'\My opponent is a magic user, too, right? response:	Well' Well'
context: But,\why do I have to convert the Clow Cards?\And what does this piece\of paper have to do with all of this\Let me see'!\This'\My opponent is a magic user, too, right?\Well' Well' response:	What's wrong, Sakura?
context: why do I have to convert the Clow Cards?\And what does this piece\of paper have to do with all of this\Let me see'!\This'\My opponent is a magic user, too, right?\Well' Well'\What's wrong, Sakura? response:	So what if it's
context: And what does this piece\of paper have to do with all of this\Let me see'!\This'\My opponent is a magic user, too, right?\Well' Well'\What's wrong, Sakura?\So what if it's response:	another magic users
context: of paper have to do with all of this\Let me see'!\This'\My opponent is a magic user, too, right?\Well' Well'\What's wrong, Sakura?\So what if it's\another magic users response:	Watch me trash them all the same!
context: Let me see'!\This'\My opponent is a magic user, too, right?\Well' Well'\What's wrong, Sakura?\So what if it's\another magic users\Watch me trash them all the same! response:	Cheer up, will you?!
context: This'\My opponent is a magic user, too, right?\Well' Well'\What's wrong, Sakura?\So what if it's\another magic users\Watch me trash them all the same!\Cheer up, will you?! response:	Yeah, I should!
context: My opponent is a magic user, too, right?\Well' Well'\What's wrong, Sakura?\So what if it's\another magic users\Watch me trash them all the same!\Cheer up, will you?!\Yeah, I should! response:	Coming!
context: Well' Well'\What's wrong, Sakura?\So what if it's\another magic users\Watch me trash them all the same!\Cheer up, will you?!\Yeah, I should!\Coming! response:	Good evening, Sakura.
context: What's wrong, Sakura?\So what if it's\another magic users\Watch me trash them all the same!\Cheer up, will you?!\Yeah, I should!\Coming!\Good evening, Sakura. response:	Yukito!
context: So what if it's\another magic users\Watch me trash them all the same!\Cheer up, will you?!\Yeah, I should!\Coming!\Good evening, Sakura.\Yukito! response:	Please come in!
context: another magic users\Watch me trash them all the same!\Cheer up, will you?!\Yeah, I should!\Coming!\Good evening, Sakura.\Yukito!\Please come in! response:	Actually, I just came today to deliver this.
context: Watch me trash them all the same!\Cheer up, will you?!\Yeah, I should!\Coming!\Good evening, Sakura.\Yukito!\Please come in!\Actually, I just came today to deliver this. response:	Here' Touya forget to take it with him.
context: Cheer up, will you?!\Yeah, I should!\Coming!\Good evening, Sakura.\Yukito!\Please come in!\Actually, I just came today to deliver this.\Here' Touya forget to take it with him. response:	Can you pass it to him?
context: Yeah, I should!\Coming!\Good evening, Sakura.\Yukito!\Please come in!\Actually, I just came today to deliver this.\Here' Touya forget to take it with him.\Can you pass it to him? response:	Sure.
context: Coming!\Good evening, Sakura.\Yukito!\Please come in!\Actually, I just came today to deliver this.\Here' Touya forget to take it with him.\Can you pass it to him?\Sure. response:	I can see Yukito one more time.
context: Good evening, Sakura.\Yukito!\Please come in!\Actually, I just came today to deliver this.\Here' Touya forget to take it with him.\Can you pass it to him?\Sure.\I can see Yukito one more time. response:	Don't behave like that, okay?
context: Yukito!\Please come in!\Actually, I just came today to deliver this.\Here' Touya forget to take it with him.\Can you pass it to him?\Sure.\I can see Yukito one more time.\Don't behave like that, okay? response:	Y' yes.
context: Please come in!\Actually, I just came today to deliver this.\Here' Touya forget to take it with him.\Can you pass it to him?\Sure.\I can see Yukito one more time.\Don't behave like that, okay?\Y' yes. response:	If this goes on'
context: Actually, I just came today to deliver this.\Here' Touya forget to take it with him.\Can you pass it to him?\Sure.\I can see Yukito one more time.\Don't behave like that, okay?\Y' yes.\If this goes on' response:	he can't return to his original form.
context: Here' Touya forget to take it with him.\Can you pass it to him?\Sure.\I can see Yukito one more time.\Don't behave like that, okay?\Y' yes.\If this goes on'\he can't return to his original form. response:	That's because Yue depends on Sakura's magical power.
context: Can you pass it to him?\Sure.\I can see Yukito one more time.\Don't behave like that, okay?\Y' yes.\If this goes on'\he can't return to his original form.\That's because Yue depends on Sakura's magical power. response:	Yukito faints frequently and his vonacious appetite is useless.
context: Sure.\I can see Yukito one more time.\Don't behave like that, okay?\Y' yes.\If this goes on'\he can't return to his original form.\That's because Yue depends on Sakura's magical power.\Yukito faints frequently and his vonacious appetite is useless. response:	All these new things'
context: I can see Yukito one more time.\Don't behave like that, okay?\Y' yes.\If this goes on'\he can't return to his original form.\That's because Yue depends on Sakura's magical power.\Yukito faints frequently and his vonacious appetite is useless.\All these new things' response:	These new cards
context: Don't behave like that, okay?\Y' yes.\If this goes on'\he can't return to his original form.\That's because Yue depends on Sakura's magical power.\Yukito faints frequently and his vonacious appetite is useless.\All these new things'\These new cards response:	who give their all for her
context: Y' yes.\If this goes on'\he can't return to his original form.\That's because Yue depends on Sakura's magical power.\Yukito faints frequently and his vonacious appetite is useless.\All these new things'\These new cards\who give their all for her response:	My symbol is the Sun
context: If this goes on'\he can't return to his original form.\That's because Yue depends on Sakura's magical power.\Yukito faints frequently and his vonacious appetite is useless.\All these new things'\These new cards\who give their all for her\My symbol is the Sun response:	and my powers are self-sufficient.
context: he can't return to his original form.\That's because Yue depends on Sakura's magical power.\Yukito faints frequently and his vonacious appetite is useless.\All these new things'\These new cards\who give their all for her\My symbol is the Sun\and my powers are self-sufficient. response:	But'
context: That's because Yue depends on Sakura's magical power.\Yukito faints frequently and his vonacious appetite is useless.\All these new things'\These new cards\who give their all for her\My symbol is the Sun\and my powers are self-sufficient.\But' response:	Its light fills me with strength.
context: Yukito faints frequently and his vonacious appetite is useless.\All these new things'\These new cards\who give their all for her\My symbol is the Sun\and my powers are self-sufficient.\But'\Its light fills me with strength. response:	So I'm not dependent on anyone's power.
context: All these new things'\These new cards\who give their all for her\My symbol is the Sun\and my powers are self-sufficient.\But'\Its light fills me with strength.\So I'm not dependent on anyone's power. response:	At this rate,
context: These new cards\who give their all for her\My symbol is the Sun\and my powers are self-sufficient.\But'\Its light fills me with strength.\So I'm not dependent on anyone's power.\At this rate, response:	I will fade away.
context: who give their all for her\My symbol is the Sun\and my powers are self-sufficient.\But'\Its light fills me with strength.\So I'm not dependent on anyone's power.\At this rate,\I will fade away. response:	and Yukito
context: My symbol is the Sun\and my powers are self-sufficient.\But'\Its light fills me with strength.\So I'm not dependent on anyone's power.\At this rate,\I will fade away.\and Yukito response:	will vanish along with you.
context: and my powers are self-sufficient.\But'\Its light fills me with strength.\So I'm not dependent on anyone's power.\At this rate,\I will fade away.\and Yukito\will vanish along with you. response:	Sakura will be really sad.
context: But'\Its light fills me with strength.\So I'm not dependent on anyone's power.\At this rate,\I will fade away.\and Yukito\will vanish along with you.\Sakura will be really sad. response:	In the last incident,
