context: My left arm! response:	I still have it?
context: Because we're involved in Emilia's royal selection, like at the loot house?\But even if I know that,\I have no proof to explain it or any way to avoid it.\Worse yet, I didn't see the attacker's face, or their prey.\My death was totally in vain.\You're irritating me to death.\Either stop it or be blown away.\Oh, sorry... response:	But somehow, walking in circles also turns the gears in my head.
context: But even if I know that,\I have no proof to explain it or any way to avoid it.\Worse yet, I didn't see the attacker's face, or their prey.\My death was totally in vain.\You're irritating me to death.\Either stop it or be blown away.\Oh, sorry...\But somehow, walking in circles also turns the gears in my head. response:	Cut me some slack, huh?
context: I have no proof to explain it or any way to avoid it.\Worse yet, I didn't see the attacker's face, or their prey.\My death was totally in vain.\You're irritating me to death.\Either stop it or be blown away.\Oh, sorry...\But somehow, walking in circles also turns the gears in my head.\Cut me some slack, huh? response:	We're tight, aren't we?
context: Worse yet, I didn't see the attacker's face, or their prey.\My death was totally in vain.\You're irritating me to death.\Either stop it or be blown away.\Oh, sorry...\But somehow, walking in circles also turns the gears in my head.\Cut me some slack, huh?\We're tight, aren't we? response:	Exactly what sort of relationship do you think we have, I suppose?
context: My death was totally in vain.\You're irritating me to death.\Either stop it or be blown away.\Oh, sorry...\But somehow, walking in circles also turns the gears in my head.\Cut me some slack, huh?\We're tight, aren't we?\Exactly what sort of relationship do you think we have, I suppose? response:	We've only met twice.
context: You're irritating me to death.\Either stop it or be blown away.\Oh, sorry...\But somehow, walking in circles also turns the gears in my head.\Cut me some slack, huh?\We're tight, aren't we?\Exactly what sort of relationship do you think we have, I suppose?\We've only met twice. response:	Well, I won't make trouble for you.
context: Either stop it or be blown away.\Oh, sorry...\But somehow, walking in circles also turns the gears in my head.\Cut me some slack, huh?\We're tight, aren't we?\Exactly what sort of relationship do you think we have, I suppose?\We've only met twice.\Well, I won't make trouble for you. response:	Serve some tea or something, and let me relax.
context: Oh, sorry...\But somehow, walking in circles also turns the gears in my head.\Cut me some slack, huh?\We're tight, aren't we?\Exactly what sort of relationship do you think we have, I suppose?\We've only met twice.\Well, I won't make trouble for you.\Serve some tea or something, and let me relax. response:	As if I'll serve you anything, I suppose.
context: But somehow, walking in circles also turns the gears in my head.\Cut me some slack, huh?\We're tight, aren't we?\Exactly what sort of relationship do you think we have, I suppose?\We've only met twice.\Well, I won't make trouble for you.\Serve some tea or something, and let me relax.\As if I'll serve you anything, I suppose. response:	Ugh, you're irritating me!
context: Cut me some slack, huh?\We're tight, aren't we?\Exactly what sort of relationship do you think we have, I suppose?\We've only met twice.\Well, I won't make trouble for you.\Serve some tea or something, and let me relax.\As if I'll serve you anything, I suppose.\Ugh, you're irritating me! response:	What's that book you're reading?
context: We're tight, aren't we?\Exactly what sort of relationship do you think we have, I suppose?\We've only met twice.\Well, I won't make trouble for you.\Serve some tea or something, and let me relax.\As if I'll serve you anything, I suppose.\Ugh, you're irritating me!\What's that book you're reading? response:	It explains how to get rid of bugs that have gotten into my room, I suppose.
context: Exactly what sort of relationship do you think we have, I suppose?\We've only met twice.\Well, I won't make trouble for you.\Serve some tea or something, and let me relax.\As if I'll serve you anything, I suppose.\Ugh, you're irritating me!\What's that book you're reading?\It explains how to get rid of bugs that have gotten into my room, I suppose. response:	You've got bugs in the library? That sucks.
context: We've only met twice.\Well, I won't make trouble for you.\Serve some tea or something, and let me relax.\As if I'll serve you anything, I suppose.\Ugh, you're irritating me!\What's that book you're reading?\It explains how to get rid of bugs that have gotten into my room, I suppose.\You've got bugs in the library? That sucks. response:	What kind of bugs?
context: Well, I won't make trouble for you.\Serve some tea or something, and let me relax.\As if I'll serve you anything, I suppose.\Ugh, you're irritating me!\What's that book you're reading?\It explains how to get rid of bugs that have gotten into my room, I suppose.\You've got bugs in the library? That sucks.\What kind of bugs? response:	It's time for you to leave!
context: Serve some tea or something, and let me relax.\As if I'll serve you anything, I suppose.\Ugh, you're irritating me!\What's that book you're reading?\It explains how to get rid of bugs that have gotten into my room, I suppose.\You've got bugs in the library? That sucks.\What kind of bugs?\It's time for you to leave! response:	Your hands have stopped shaking,
context: As if I'll serve you anything, I suppose.\Ugh, you're irritating me!\What's that book you're reading?\It explains how to get rid of bugs that have gotten into my room, I suppose.\You've got bugs in the library? That sucks.\What kind of bugs?\It's time for you to leave!\Your hands have stopped shaking, response:	so you can mask your fear now, I suppose.
context: Ugh, you're irritating me!\What's that book you're reading?\It explains how to get rid of bugs that have gotten into my room, I suppose.\You've got bugs in the library? That sucks.\What kind of bugs?\It's time for you to leave!\Your hands have stopped shaking,\so you can mask your fear now, I suppose. response:	You could tell?
context: What's that book you're reading?\It explains how to get rid of bugs that have gotten into my room, I suppose.\You've got bugs in the library? That sucks.\What kind of bugs?\It's time for you to leave!\Your hands have stopped shaking,\so you can mask your fear now, I suppose.\You could tell? response:	You were trying to hide it, I suppose.
context: It explains how to get rid of bugs that have gotten into my room, I suppose.\You've got bugs in the library? That sucks.\What kind of bugs?\It's time for you to leave!\Your hands have stopped shaking,\so you can mask your fear now, I suppose.\You could tell?\You were trying to hide it, I suppose. response:	It's quite vexing to be treated as a mere convenience.
context: You've got bugs in the library? That sucks.\What kind of bugs?\It's time for you to leave!\Your hands have stopped shaking,\so you can mask your fear now, I suppose.\You could tell?\You were trying to hide it, I suppose.\It's quite vexing to be treated as a mere convenience. response:	You're not nice at all...
context: What kind of bugs?\It's time for you to leave!\Your hands have stopped shaking,\so you can mask your fear now, I suppose.\You could tell?\You were trying to hide it, I suppose.\It's quite vexing to be treated as a mere convenience.\You're not nice at all... response:	Thanks for the help, though.
context: It's time for you to leave!\Your hands have stopped shaking,\so you can mask your fear now, I suppose.\You could tell?\You were trying to hide it, I suppose.\It's quite vexing to be treated as a mere convenience.\You're not nice at all...\Thanks for the help, though. response:	I'll be counting on you again.
context: Your hands have stopped shaking,\so you can mask your fear now, I suppose.\You could tell?\You were trying to hide it, I suppose.\It's quite vexing to be treated as a mere convenience.\You're not nice at all...\Thanks for the help, though.\I'll be counting on you again. response:	I don't want to be counted on, I suppose.
context: so you can mask your fear now, I suppose.\You could tell?\You were trying to hide it, I suppose.\It's quite vexing to be treated as a mere convenience.\You're not nice at all...\Thanks for the help, though.\I'll be counting on you again.\I don't want to be counted on, I suppose. response:	So don't come in here again!
context: You could tell?\You were trying to hide it, I suppose.\It's quite vexing to be treated as a mere convenience.\You're not nice at all...\Thanks for the help, though.\I'll be counting on you again.\I don't want to be counted on, I suppose.\So don't come in here again! response:	Shoo, shoo.
context: You were trying to hide it, I suppose.\It's quite vexing to be treated as a mere convenience.\You're not nice at all...\Thanks for the help, though.\I'll be counting on you again.\I don't want to be counted on, I suppose.\So don't come in here again!\Shoo, shoo. response:	Shoo, shoo?
context: It's quite vexing to be treated as a mere convenience.\You're not nice at all...\Thanks for the help, though.\I'll be counting on you again.\I don't want to be counted on, I suppose.\So don't come in here again!\Shoo, shoo.\Shoo, shoo? response:	Wait! When you said bugs, you meant me?
context: You're not nice at all...\Thanks for the help, though.\I'll be counting on you again.\I don't want to be counted on, I suppose.\So don't come in here again!\Shoo, shoo.\Shoo, shoo?\Wait! When you said bugs, you meant me? response:	Just get out of here this instant!
context: Thanks for the help, though.\I'll be counting on you again.\I don't want to be counted on, I suppose.\So don't come in here again!\Shoo, shoo.\Shoo, shoo?\Wait! When you said bugs, you meant me?\Just get out of here this instant! response:	I-If not for the flower bed, that would have been instant death...
context: I'll be counting on you again.\I don't want to be counted on, I suppose.\So don't come in here again!\Shoo, shoo.\Shoo, shoo?\Wait! When you said bugs, you meant me?\Just get out of here this instant!\I-If not for the flower bed, that would have been instant death... response:	Um...
context: I don't want to be counted on, I suppose.\So don't come in here again!\Shoo, shoo.\Shoo, shoo?\Wait! When you said bugs, you meant me?\Just get out of here this instant!\I-If not for the flower bed, that would have been instant death...\Um... response:	Can I ask if you're all right?
context: So don't come in here again!\Shoo, shoo.\Shoo, shoo?\Wait! When you said bugs, you meant me?\Just get out of here this instant!\I-If not for the flower bed, that would have been instant death...\Um...\Can I ask if you're all right? response:	Emilia-tan, your kindness is the one thing that can heal me.
context: Shoo, shoo.\Shoo, shoo?\Wait! When you said bugs, you meant me?\Just get out of here this instant!\I-If not for the flower bed, that would have been instant death...\Um...\Can I ask if you're all right?\Emilia-tan, your kindness is the one thing that can heal me. response:	You know, Rem just spread manure in that flower bed yesterday.
context: Shoo, shoo?\Wait! When you said bugs, you meant me?\Just get out of here this instant!\I-If not for the flower bed, that would have been instant death...\Um...\Can I ask if you're all right?\Emilia-tan, your kindness is the one thing that can heal me.\You know, Rem just spread manure in that flower bed yesterday. response:	Argh!
context: Wait! When you said bugs, you meant me?\Just get out of here this instant!\I-If not for the flower bed, that would have been instant death...\Um...\Can I ask if you're all right?\Emilia-tan, your kindness is the one thing that can heal me.\You know, Rem just spread manure in that flower bed yesterday.\Argh! response:	Three-second rule! That didn't count... That didn't count, right?
context: Just get out of here this instant!\I-If not for the flower bed, that would have been instant death...\Um...\Can I ask if you're all right?\Emilia-tan, your kindness is the one thing that can heal me.\You know, Rem just spread manure in that flower bed yesterday.\Argh!\Three-second rule! That didn't count... That didn't count, right? response:	In fact, they say this kind of thing is actually lucky.
context: I-If not for the flower bed, that would have been instant death...\Um...\Can I ask if you're all right?\Emilia-tan, your kindness is the one thing that can heal me.\You know, Rem just spread manure in that flower bed yesterday.\Argh!\Three-second rule! That didn't count... That didn't count, right?\In fact, they say this kind of thing is actually lucky. response:	Emilia-tan is already shifting into consolation mode...
context: Um...\Can I ask if you're all right?\Emilia-tan, your kindness is the one thing that can heal me.\You know, Rem just spread manure in that flower bed yesterday.\Argh!\Three-second rule! That didn't count... That didn't count, right?\In fact, they say this kind of thing is actually lucky.\Emilia-tan is already shifting into consolation mode... response:	Puck, wake up.
context: Can I ask if you're all right?\Emilia-tan, your kindness is the one thing that can heal me.\You know, Rem just spread manure in that flower bed yesterday.\Argh!\Three-second rule! That didn't count... That didn't count, right?\In fact, they say this kind of thing is actually lucky.\Emilia-tan is already shifting into consolation mode...\Puck, wake up. response:	Morning, Lia...
context: Emilia-tan, your kindness is the one thing that can heal me.\You know, Rem just spread manure in that flower bed yesterday.\Argh!\Three-second rule! That didn't count... That didn't count, right?\In fact, they say this kind of thing is actually lucky.\Emilia-tan is already shifting into consolation mode...\Puck, wake up.\Morning, Lia... response:	Morning, Puck.
context: You know, Rem just spread manure in that flower bed yesterday.\Argh!\Three-second rule! That didn't count... That didn't count, right?\In fact, they say this kind of thing is actually lucky.\Emilia-tan is already shifting into consolation mode...\Puck, wake up.\Morning, Lia...\Morning, Puck. response:	Sorry to ask after you just woke up, but could you wash Subaru off?
context: Argh!\Three-second rule! That didn't count... That didn't count, right?\In fact, they say this kind of thing is actually lucky.\Emilia-tan is already shifting into consolation mode...\Puck, wake up.\Morning, Lia...\Morning, Puck.\Sorry to ask after you just woke up, but could you wash Subaru off? response:	Subaru?
context: Three-second rule! That didn't count... That didn't count, right?\In fact, they say this kind of thing is actually lucky.\Emilia-tan is already shifting into consolation mode...\Puck, wake up.\Morning, Lia...\Morning, Puck.\Sorry to ask after you just woke up, but could you wash Subaru off?\Subaru? response:	Okay, I'll wash you off.
context: In fact, they say this kind of thing is actually lucky.\Emilia-tan is already shifting into consolation mode...\Puck, wake up.\Morning, Lia...\Morning, Puck.\Sorry to ask after you just woke up, but could you wash Subaru off?\Subaru?\Okay, I'll wash you off. response:	Here!
context: Emilia-tan is already shifting into consolation mode...\Puck, wake up.\Morning, Lia...\Morning, Puck.\Sorry to ask after you just woke up, but could you wash Subaru off?\Subaru?\Okay, I'll wash you off.\Here! response:	There, all clean.
context: Puck, wake up.\Morning, Lia...\Morning, Puck.\Sorry to ask after you just woke up, but could you wash Subaru off?\Subaru?\Okay, I'll wash you off.\Here!\There, all clean. response:	Isn't that nice?
context: Morning, Lia...\Morning, Puck.\Sorry to ask after you just woke up, but could you wash Subaru off?\Subaru?\Okay, I'll wash you off.\Here!\There, all clean.\Isn't that nice? response:	I thought I was a goner...
context: Morning, Puck.\Sorry to ask after you just woke up, but could you wash Subaru off?\Subaru?\Okay, I'll wash you off.\Here!\There, all clean.\Isn't that nice?\I thought I was a goner... response:	Wasn't there another way to do that?
context: Sorry to ask after you just woke up, but could you wash Subaru off?\Subaru?\Okay, I'll wash you off.\Here!\There, all clean.\Isn't that nice?\I thought I was a goner...\Wasn't there another way to do that? response:	You enjoyed that, didn't you?
context: Subaru?\Okay, I'll wash you off.\Here!\There, all clean.\Isn't that nice?\I thought I was a goner...\Wasn't there another way to do that?\You enjoyed that, didn't you? response:	That isn't true at all... Hmph.
context: Okay, I'll wash you off.\Here!\There, all clean.\Isn't that nice?\I thought I was a goner...\Wasn't there another way to do that?\You enjoyed that, didn't you?\That isn't true at all... Hmph. response:	Punch-backs!
context: Here!\There, all clean.\Isn't that nice?\I thought I was a goner...\Wasn't there another way to do that?\You enjoyed that, didn't you?\That isn't true at all... Hmph.\Punch-backs! response:	Now, you've done it!
context: There, all clean.\Isn't that nice?\I thought I was a goner...\Wasn't there another way to do that?\You enjoyed that, didn't you?\That isn't true at all... Hmph.\Punch-backs!\Now, you've done it! response:	Like that? It's my lethal move, Make the Cat Cry Ha Ha...
context: Isn't that nice?\I thought I was a goner...\Wasn't there another way to do that?\You enjoyed that, didn't you?\That isn't true at all... Hmph.\Punch-backs!\Now, you've done it!\Like that? It's my lethal move, Make the Cat Cry Ha Ha... response:	Cut it out!
context: I thought I was a goner...\Wasn't there another way to do that?\You enjoyed that, didn't you?\That isn't true at all... Hmph.\Punch-backs!\Now, you've done it!\Like that? It's my lethal move, Make the Cat Cry Ha Ha...\Cut it out! response:	Tail punch!
context: Wasn't there another way to do that?\You enjoyed that, didn't you?\That isn't true at all... Hmph.\Punch-backs!\Now, you've done it!\Like that? It's my lethal move, Make the Cat Cry Ha Ha...\Cut it out!\Tail punch! response:	You
context: You enjoyed that, didn't you?\That isn't true at all... Hmph.\Punch-backs!\Now, you've done it!\Like that? It's my lethal move, Make the Cat Cry Ha Ha...\Cut it out!\Tail punch!\You response:	And I'll finish you with my paw-pad grind!
context: That isn't true at all... Hmph.\Punch-backs!\Now, you've done it!\Like that? It's my lethal move, Make the Cat Cry Ha Ha...\Cut it out!\Tail punch!\You\And I'll finish you with my paw-pad grind! response:	Grind, grind, grind, grind...
context: Punch-backs!\Now, you've done it!\Like that? It's my lethal move, Make the Cat Cry Ha Ha...\Cut it out!\Tail punch!\You\And I'll finish you with my paw-pad grind!\Grind, grind, grind, grind... response:	Oh, gosh... Sorry, I can't...
context: Now, you've done it!\Like that? It's my lethal move, Make the Cat Cry Ha Ha...\Cut it out!\Tail punch!\You\And I'll finish you with my paw-pad grind!\Grind, grind, grind, grind...\Oh, gosh... Sorry, I can't... response:	What are you two doing?
context: Like that? It's my lethal move, Make the Cat Cry Ha Ha...\Cut it out!\Tail punch!\You\And I'll finish you with my paw-pad grind!\Grind, grind, grind, grind...\Oh, gosh... Sorry, I can't...\What are you two doing? response:	Oh, my stomach... I'm dying...
context: Cut it out!\Tail punch!\You\And I'll finish you with my paw-pad grind!\Grind, grind, grind, grind...\Oh, gosh... Sorry, I can't...\What are you two doing?\Oh, my stomach... I'm dying... response:	Well, now that I've rebounded from my initial bad impression...
context: Tail punch!\You\And I'll finish you with my paw-pad grind!\Grind, grind, grind, grind...\Oh, gosh... Sorry, I can't...\What are you two doing?\Oh, my stomach... I'm dying...\Well, now that I've rebounded from my initial bad impression... response:	Thanks for your assistance, Father!
context: You\And I'll finish you with my paw-pad grind!\Grind, grind, grind, grind...\Oh, gosh... Sorry, I can't...\What are you two doing?\Oh, my stomach... I'm dying...\Well, now that I've rebounded from my initial bad impression...\Thanks for your assistance, Father! response:	Who are you calling Father?
context: And I'll finish you with my paw-pad grind!\Grind, grind, grind, grind...\Oh, gosh... Sorry, I can't...\What are you two doing?\Oh, my stomach... I'm dying...\Well, now that I've rebounded from my initial bad impression...\Thanks for your assistance, Father!\Who are you calling Father? response:	I won't give you my daughter that easily.
context: Grind, grind, grind, grind...\Oh, gosh... Sorry, I can't...\What are you two doing?\Oh, my stomach... I'm dying...\Well, now that I've rebounded from my initial bad impression...\Thanks for your assistance, Father!\Who are you calling Father?\I won't give you my daughter that easily. response:	Please stop. You're both too funny...
context: Oh, gosh... Sorry, I can't...\What are you two doing?\Oh, my stomach... I'm dying...\Well, now that I've rebounded from my initial bad impression...\Thanks for your assistance, Father!\Who are you calling Father?\I won't give you my daughter that easily.\Please stop. You're both too funny... response:	Nothing beats your smile, Lia.
context: What are you two doing?\Oh, my stomach... I'm dying...\Well, now that I've rebounded from my initial bad impression...\Thanks for your assistance, Father!\Who are you calling Father?\I won't give you my daughter that easily.\Please stop. You're both too funny...\Nothing beats your smile, Lia. response:	You agree, too. Right, Subaru?
context: Oh, my stomach... I'm dying...\Well, now that I've rebounded from my initial bad impression...\Thanks for your assistance, Father!\Who are you calling Father?\I won't give you my daughter that easily.\Please stop. You're both too funny...\Nothing beats your smile, Lia.\You agree, too. Right, Subaru? response:	I totally do.
context: Well, now that I've rebounded from my initial bad impression...\Thanks for your assistance, Father!\Who are you calling Father?\I won't give you my daughter that easily.\Please stop. You're both too funny...\Nothing beats your smile, Lia.\You agree, too. Right, Subaru?\I totally do. response:	To me, Emilia-tan's smile is the first shining star in the night sky!
context: Thanks for your assistance, Father!\Who are you calling Father?\I won't give you my daughter that easily.\Please stop. You're both too funny...\Nothing beats your smile, Lia.\You agree, too. Right, Subaru?\I totally do.\To me, Emilia-tan's smile is the first shining star in the night sky! response:	Not you, too, Subaru.
context: Who are you calling Father?\I won't give you my daughter that easily.\Please stop. You're both too funny...\Nothing beats your smile, Lia.\You agree, too. Right, Subaru?\I totally do.\To me, Emilia-tan's smile is the first shining star in the night sky!\Not you, too, Subaru. response:	Also, what does tan mean? Where'd it come from?
context: I won't give you my daughter that easily.\Please stop. You're both too funny...\Nothing beats your smile, Lia.\You agree, too. Right, Subaru?\I totally do.\To me, Emilia-tan's smile is the first shining star in the night sky!\Not you, too, Subaru.\Also, what does tan mean? Where'd it come from? response:	It's what they call a pet name.
context: Please stop. You're both too funny...\Nothing beats your smile, Lia.\You agree, too. Right, Subaru?\I totally do.\To me, Emilia-tan's smile is the first shining star in the night sky!\Not you, too, Subaru.\Also, what does tan mean? Where'd it come from?\It's what they call a pet name. response:	Just like when Puck calls you Lia.
context: Nothing beats your smile, Lia.\You agree, too. Right, Subaru?\I totally do.\To me, Emilia-tan's smile is the first shining star in the night sky!\Not you, too, Subaru.\Also, what does tan mean? Where'd it come from?\It's what they call a pet name.\Just like when Puck calls you Lia. response:	It's an expression of affection that shows people's closeness.
context: You agree, too. Right, Subaru?\I totally do.\To me, Emilia-tan's smile is the first shining star in the night sky!\Not you, too, Subaru.\Also, what does tan mean? Where'd it come from?\It's what they call a pet name.\Just like when Puck calls you Lia.\It's an expression of affection that shows people's closeness. response:	I don't remember getting so close to you...
context: I totally do.\To me, Emilia-tan's smile is the first shining star in the night sky!\Not you, too, Subaru.\Also, what does tan mean? Where'd it come from?\It's what they call a pet name.\Just like when Puck calls you Lia.\It's an expression of affection that shows people's closeness.\I don't remember getting so close to you... response:	That somewhat hurts, but I won't lose heart!
context: To me, Emilia-tan's smile is the first shining star in the night sky!\Not you, too, Subaru.\Also, what does tan mean? Where'd it come from?\It's what they call a pet name.\Just like when Puck calls you Lia.\It's an expression of affection that shows people's closeness.\I don't remember getting so close to you...\That somewhat hurts, but I won't lose heart! response:	Think of it as an advance on our relationship.
context: Not you, too, Subaru.\Also, what does tan mean? Where'd it come from?\It's what they call a pet name.\Just like when Puck calls you Lia.\It's an expression of affection that shows people's closeness.\I don't remember getting so close to you...\That somewhat hurts, but I won't lose heart!\Think of it as an advance on our relationship. response:	It means I want us to get close enough to call each other by pet names.
context: Also, what does tan mean? Where'd it come from?\It's what they call a pet name.\Just like when Puck calls you Lia.\It's an expression of affection that shows people's closeness.\I don't remember getting so close to you...\That somewhat hurts, but I won't lose heart!\Think of it as an advance on our relationship.\It means I want us to get close enough to call each other by pet names. response:	Okay?
context: It's what they call a pet name.\Just like when Puck calls you Lia.\It's an expression of affection that shows people's closeness.\I don't remember getting so close to you...\That somewhat hurts, but I won't lose heart!\Think of it as an advance on our relationship.\It means I want us to get close enough to call each other by pet names.\Okay? response:	All right, I'll accept that.
context: Just like when Puck calls you Lia.\It's an expression of affection that shows people's closeness.\I don't remember getting so close to you...\That somewhat hurts, but I won't lose heart!\Think of it as an advance on our relationship.\It means I want us to get close enough to call each other by pet names.\Okay?\All right, I'll accept that. response:	No... Don't look at me.
context: It's an expression of affection that shows people's closeness.\I don't remember getting so close to you...\That somewhat hurts, but I won't lose heart!\Think of it as an advance on our relationship.\It means I want us to get close enough to call each other by pet names.\Okay?\All right, I'll accept that.\No... Don't look at me. response:	I expected her to cringe, but I got a positive response.
context: I don't remember getting so close to you...\That somewhat hurts, but I won't lose heart!\Think of it as an advance on our relationship.\It means I want us to get close enough to call each other by pet names.\Okay?\All right, I'll accept that.\No... Don't look at me.\I expected her to cringe, but I got a positive response. response:	What could this mean, Commentator Puck-san?
context: That somewhat hurts, but I won't lose heart!\Think of it as an advance on our relationship.\It means I want us to get close enough to call each other by pet names.\Okay?\All right, I'll accept that.\No... Don't look at me.\I expected her to cringe, but I got a positive response.\What could this mean, Commentator Puck-san? response:	She doesn't have many friends,
context: Think of it as an advance on our relationship.\It means I want us to get close enough to call each other by pet names.\Okay?\All right, I'll accept that.\No... Don't look at me.\I expected her to cringe, but I got a positive response.\What could this mean, Commentator Puck-san?\She doesn't have many friends, response:	so she craves things like nicknames.
context: It means I want us to get close enough to call each other by pet names.\Okay?\All right, I'll accept that.\No... Don't look at me.\I expected her to cringe, but I got a positive response.\What could this mean, Commentator Puck-san?\She doesn't have many friends,\so she craves things like nicknames. response:	She's easy to please.
context: Okay?\All right, I'll accept that.\No... Don't look at me.\I expected her to cringe, but I got a positive response.\What could this mean, Commentator Puck-san?\She doesn't have many friends,\so she craves things like nicknames.\She's easy to please. response:	My main heroine is easy to please, huh?!
context: All right, I'll accept that.\No... Don't look at me.\I expected her to cringe, but I got a positive response.\What could this mean, Commentator Puck-san?\She doesn't have many friends,\so she craves things like nicknames.\She's easy to please.\My main heroine is easy to please, huh?! response:	Sister, Sister... It's only been a short time,
context: No... Don't look at me.\I expected her to cringe, but I got a positive response.\What could this mean, Commentator Puck-san?\She doesn't have many friends,\so she craves things like nicknames.\She's easy to please.\My main heroine is easy to please, huh?!\Sister, Sister... It's only been a short time, response:	and now our guest looks like a drowned rat.
context: I expected her to cringe, but I got a positive response.\What could this mean, Commentator Puck-san?\She doesn't have many friends,\so she craves things like nicknames.\She's easy to please.\My main heroine is easy to please, huh?!\Sister, Sister... It's only been a short time,\and now our guest looks like a drowned rat. response:	Rem, Rem. In just a short time,
