context: In my opinion response:	Bai Qian does not take this marriage arrangement seriously either.
context: I think the two of you are both stating very reasonable points.\- Your Highness. - Your Highness.\Greetings, Heavenly Lord.\Rise.\Yes.\Zhe Yan, Fox King, this is my grandson, Ye Hua.\Greetings to the two of you.\Are you related to Mo Yuan? response:	I am not related to him.
context: - Your Highness. - Your Highness.\Greetings, Heavenly Lord.\Rise.\Yes.\Zhe Yan, Fox King, this is my grandson, Ye Hua.\Greetings to the two of you.\Are you related to Mo Yuan?\I am not related to him. response:	Heavenly Lord, do you not think your grandson and the high god, Mo Yuan
context: Greetings, Heavenly Lord.\Rise.\Yes.\Zhe Yan, Fox King, this is my grandson, Ye Hua.\Greetings to the two of you.\Are you related to Mo Yuan?\I am not related to him.\Heavenly Lord, do you not think your grandson and the high god, Mo Yuan response:	look exactly alike?
context: Rise.\Yes.\Zhe Yan, Fox King, this is my grandson, Ye Hua.\Greetings to the two of you.\Are you related to Mo Yuan?\I am not related to him.\Heavenly Lord, do you not think your grandson and the high god, Mo Yuan\look exactly alike? response:	I was once perplexed by this very question.
context: Yes.\Zhe Yan, Fox King, this is my grandson, Ye Hua.\Greetings to the two of you.\Are you related to Mo Yuan?\I am not related to him.\Heavenly Lord, do you not think your grandson and the high god, Mo Yuan\look exactly alike?\I was once perplexed by this very question. response:	I even once thought this.
context: Zhe Yan, Fox King, this is my grandson, Ye Hua.\Greetings to the two of you.\Are you related to Mo Yuan?\I am not related to him.\Heavenly Lord, do you not think your grandson and the high god, Mo Yuan\look exactly alike?\I was once perplexed by this very question.\I even once thought this. response:	Mo Yuan's soul has been scattered for 70,000 years
context: Greetings to the two of you.\Are you related to Mo Yuan?\I am not related to him.\Heavenly Lord, do you not think your grandson and the high god, Mo Yuan\look exactly alike?\I was once perplexed by this very question.\I even once thought this.\Mo Yuan's soul has been scattered for 70,000 years response:	but perhaps he held on to one last piece of his soul
context: Are you related to Mo Yuan?\I am not related to him.\Heavenly Lord, do you not think your grandson and the high god, Mo Yuan\look exactly alike?\I was once perplexed by this very question.\I even once thought this.\Mo Yuan's soul has been scattered for 70,000 years\but perhaps he held on to one last piece of his soul response:	and after 20,000 years of rest
context: I am not related to him.\Heavenly Lord, do you not think your grandson and the high god, Mo Yuan\look exactly alike?\I was once perplexed by this very question.\I even once thought this.\Mo Yuan's soul has been scattered for 70,000 years\but perhaps he held on to one last piece of his soul\and after 20,000 years of rest response:	he borrowed Ye Hua's identity to make his return.
context: Heavenly Lord, do you not think your grandson and the high god, Mo Yuan\look exactly alike?\I was once perplexed by this very question.\I even once thought this.\Mo Yuan's soul has been scattered for 70,000 years\but perhaps he held on to one last piece of his soul\and after 20,000 years of rest\he borrowed Ye Hua's identity to make his return. response:	Borrow His Highness's identity?
context: look exactly alike?\I was once perplexed by this very question.\I even once thought this.\Mo Yuan's soul has been scattered for 70,000 years\but perhaps he held on to one last piece of his soul\and after 20,000 years of rest\he borrowed Ye Hua's identity to make his return.\Borrow His Highness's identity? response:	He wouldn't.
context: I was once perplexed by this very question.\I even once thought this.\Mo Yuan's soul has been scattered for 70,000 years\but perhaps he held on to one last piece of his soul\and after 20,000 years of rest\he borrowed Ye Hua's identity to make his return.\Borrow His Highness's identity?\He wouldn't. response:	If Mo Yuan still had one last piece of his soul
context: I even once thought this.\Mo Yuan's soul has been scattered for 70,000 years\but perhaps he held on to one last piece of his soul\and after 20,000 years of rest\he borrowed Ye Hua's identity to make his return.\Borrow His Highness's identity?\He wouldn't.\If Mo Yuan still had one last piece of his soul response:	he absolutely would not head for anywhere else.
context: Mo Yuan's soul has been scattered for 70,000 years\but perhaps he held on to one last piece of his soul\and after 20,000 years of rest\he borrowed Ye Hua's identity to make his return.\Borrow His Highness's identity?\He wouldn't.\If Mo Yuan still had one last piece of his soul\he absolutely would not head for anywhere else. response:	He would definitely return to Kunlun Mountain.
context: but perhaps he held on to one last piece of his soul\and after 20,000 years of rest\he borrowed Ye Hua's identity to make his return.\Borrow His Highness's identity?\He wouldn't.\If Mo Yuan still had one last piece of his soul\he absolutely would not head for anywhere else.\He would definitely return to Kunlun Mountain. response:	This was only my speculation in the beginning.
context: and after 20,000 years of rest\he borrowed Ye Hua's identity to make his return.\Borrow His Highness's identity?\He wouldn't.\If Mo Yuan still had one last piece of his soul\he absolutely would not head for anywhere else.\He would definitely return to Kunlun Mountain.\This was only my speculation in the beginning. response:	Later on, I set my mind at ease.
context: he borrowed Ye Hua's identity to make his return.\Borrow His Highness's identity?\He wouldn't.\If Mo Yuan still had one last piece of his soul\he absolutely would not head for anywhere else.\He would definitely return to Kunlun Mountain.\This was only my speculation in the beginning.\Later on, I set my mind at ease. response:	Mo Yuan ascended to high immortal when he was 25,000 years old.
context: Borrow His Highness's identity?\He wouldn't.\If Mo Yuan still had one last piece of his soul\he absolutely would not head for anywhere else.\He would definitely return to Kunlun Mountain.\This was only my speculation in the beginning.\Later on, I set my mind at ease.\Mo Yuan ascended to high immortal when he was 25,000 years old. response:	My grandson ascended when he was only 20,000 years old.
context: He wouldn't.\If Mo Yuan still had one last piece of his soul\he absolutely would not head for anywhere else.\He would definitely return to Kunlun Mountain.\This was only my speculation in the beginning.\Later on, I set my mind at ease.\Mo Yuan ascended to high immortal when he was 25,000 years old.\My grandson ascended when he was only 20,000 years old. response:	This child...
context: If Mo Yuan still had one last piece of his soul\he absolutely would not head for anywhere else.\He would definitely return to Kunlun Mountain.\This was only my speculation in the beginning.\Later on, I set my mind at ease.\Mo Yuan ascended to high immortal when he was 25,000 years old.\My grandson ascended when he was only 20,000 years old.\This child... response:	just wanted to prove he is not Mo Yuan.
context: he absolutely would not head for anywhere else.\He would definitely return to Kunlun Mountain.\This was only my speculation in the beginning.\Later on, I set my mind at ease.\Mo Yuan ascended to high immortal when he was 25,000 years old.\My grandson ascended when he was only 20,000 years old.\This child...\just wanted to prove he is not Mo Yuan. response:	Ascended to high immortal when he was just 20,000 years old?
context: He would definitely return to Kunlun Mountain.\This was only my speculation in the beginning.\Later on, I set my mind at ease.\Mo Yuan ascended to high immortal when he was 25,000 years old.\My grandson ascended when he was only 20,000 years old.\This child...\just wanted to prove he is not Mo Yuan.\Ascended to high immortal when he was just 20,000 years old? response:	The younger generation will surpass us in time.
context: This was only my speculation in the beginning.\Later on, I set my mind at ease.\Mo Yuan ascended to high immortal when he was 25,000 years old.\My grandson ascended when he was only 20,000 years old.\This child...\just wanted to prove he is not Mo Yuan.\Ascended to high immortal when he was just 20,000 years old?\The younger generation will surpass us in time. response:	He is indeed remarkable.
context: Later on, I set my mind at ease.\Mo Yuan ascended to high immortal when he was 25,000 years old.\My grandson ascended when he was only 20,000 years old.\This child...\just wanted to prove he is not Mo Yuan.\Ascended to high immortal when he was just 20,000 years old?\The younger generation will surpass us in time.\He is indeed remarkable. response:	Does Your Highness have a wife?
context: Mo Yuan ascended to high immortal when he was 25,000 years old.\My grandson ascended when he was only 20,000 years old.\This child...\just wanted to prove he is not Mo Yuan.\Ascended to high immortal when he was just 20,000 years old?\The younger generation will surpass us in time.\He is indeed remarkable.\Does Your Highness have a wife? response:	His Majesty has yet to bestow marriage.
context: My grandson ascended when he was only 20,000 years old.\This child...\just wanted to prove he is not Mo Yuan.\Ascended to high immortal when he was just 20,000 years old?\The younger generation will surpass us in time.\He is indeed remarkable.\Does Your Highness have a wife?\His Majesty has yet to bestow marriage. response:	Good, good.
context: This child...\just wanted to prove he is not Mo Yuan.\Ascended to high immortal when he was just 20,000 years old?\The younger generation will surpass us in time.\He is indeed remarkable.\Does Your Highness have a wife?\His Majesty has yet to bestow marriage.\Good, good. response:	- Your Highness. - Your Highness.
context: just wanted to prove he is not Mo Yuan.\Ascended to high immortal when he was just 20,000 years old?\The younger generation will surpass us in time.\He is indeed remarkable.\Does Your Highness have a wife?\His Majesty has yet to bestow marriage.\Good, good.\- Your Highness. - Your Highness. response:	Have many guests arrived at the palace hall today?
context: Ascended to high immortal when he was just 20,000 years old?\The younger generation will surpass us in time.\He is indeed remarkable.\Does Your Highness have a wife?\His Majesty has yet to bestow marriage.\Good, good.\- Your Highness. - Your Highness.\Have many guests arrived at the palace hall today? response:	Aside from Dong Hua Dijun who doesn't like crowds, everyone is present.
context: The younger generation will surpass us in time.\He is indeed remarkable.\Does Your Highness have a wife?\His Majesty has yet to bestow marriage.\Good, good.\- Your Highness. - Your Highness.\Have many guests arrived at the palace hall today?\Aside from Dong Hua Dijun who doesn't like crowds, everyone is present. response:	- You may go. - Yes.
context: He is indeed remarkable.\Does Your Highness have a wife?\His Majesty has yet to bestow marriage.\Good, good.\- Your Highness. - Your Highness.\Have many guests arrived at the palace hall today?\Aside from Dong Hua Dijun who doesn't like crowds, everyone is present.\- You may go. - Yes. response:	Are you afraid?
context: Does Your Highness have a wife?\His Majesty has yet to bestow marriage.\Good, good.\- Your Highness. - Your Highness.\Have many guests arrived at the palace hall today?\Aside from Dong Hua Dijun who doesn't like crowds, everyone is present.\- You may go. - Yes.\Are you afraid? response:	I am not afraid.
context: His Majesty has yet to bestow marriage.\Good, good.\- Your Highness. - Your Highness.\Have many guests arrived at the palace hall today?\Aside from Dong Hua Dijun who doesn't like crowds, everyone is present.\- You may go. - Yes.\Are you afraid?\I am not afraid. response:	All the gods are present today.
context: Good, good.\- Your Highness. - Your Highness.\Have many guests arrived at the palace hall today?\Aside from Dong Hua Dijun who doesn't like crowds, everyone is present.\- You may go. - Yes.\Are you afraid?\I am not afraid.\All the gods are present today. response:	If I take this chance to beg Father for mercy
context: - Your Highness. - Your Highness.\Have many guests arrived at the palace hall today?\Aside from Dong Hua Dijun who doesn't like crowds, everyone is present.\- You may go. - Yes.\Are you afraid?\I am not afraid.\All the gods are present today.\If I take this chance to beg Father for mercy response:	perhaps we may have hope.
context: Have many guests arrived at the palace hall today?\Aside from Dong Hua Dijun who doesn't like crowds, everyone is present.\- You may go. - Yes.\Are you afraid?\I am not afraid.\All the gods are present today.\If I take this chance to beg Father for mercy\perhaps we may have hope. response:	If he insists on taking your life, I will follow you.
context: Aside from Dong Hua Dijun who doesn't like crowds, everyone is present.\- You may go. - Yes.\Are you afraid?\I am not afraid.\All the gods are present today.\If I take this chance to beg Father for mercy\perhaps we may have hope.\If he insists on taking your life, I will follow you. response:	Your Highness.
context: - You may go. - Yes.\Are you afraid?\I am not afraid.\All the gods are present today.\If I take this chance to beg Father for mercy\perhaps we may have hope.\If he insists on taking your life, I will follow you.\Your Highness. response:	I gave the local earth deity at Ruoshui a token.
context: Are you afraid?\I am not afraid.\All the gods are present today.\If I take this chance to beg Father for mercy\perhaps we may have hope.\If he insists on taking your life, I will follow you.\Your Highness.\I gave the local earth deity at Ruoshui a token. response:	If Qing Cang shows any activity in the next few days
context: I am not afraid.\All the gods are present today.\If I take this chance to beg Father for mercy\perhaps we may have hope.\If he insists on taking your life, I will follow you.\Your Highness.\I gave the local earth deity at Ruoshui a token.\If Qing Cang shows any activity in the next few days response:	I will personally take a look.
context: All the gods are present today.\If I take this chance to beg Father for mercy\perhaps we may have hope.\If he insists on taking your life, I will follow you.\Your Highness.\I gave the local earth deity at Ruoshui a token.\If Qing Cang shows any activity in the next few days\I will personally take a look. response:	Should this be reported to Heavenly Lord first?
context: If I take this chance to beg Father for mercy\perhaps we may have hope.\If he insists on taking your life, I will follow you.\Your Highness.\I gave the local earth deity at Ruoshui a token.\If Qing Cang shows any activity in the next few days\I will personally take a look.\Should this be reported to Heavenly Lord first? response:	Let's wait.
context: perhaps we may have hope.\If he insists on taking your life, I will follow you.\Your Highness.\I gave the local earth deity at Ruoshui a token.\If Qing Cang shows any activity in the next few days\I will personally take a look.\Should this be reported to Heavenly Lord first?\Let's wait. response:	Zhe Yan, Fox King.
context: If he insists on taking your life, I will follow you.\Your Highness.\I gave the local earth deity at Ruoshui a token.\If Qing Cang shows any activity in the next few days\I will personally take a look.\Should this be reported to Heavenly Lord first?\Let's wait.\Zhe Yan, Fox King. response:	Stop.
context: Your Highness.\I gave the local earth deity at Ruoshui a token.\If Qing Cang shows any activity in the next few days\I will personally take a look.\Should this be reported to Heavenly Lord first?\Let's wait.\Zhe Yan, Fox King.\Stop. response:	Leave us.
context: I gave the local earth deity at Ruoshui a token.\If Qing Cang shows any activity in the next few days\I will personally take a look.\Should this be reported to Heavenly Lord first?\Let's wait.\Zhe Yan, Fox King.\Stop.\Leave us. response:	- Yes. - Yes.
context: If Qing Cang shows any activity in the next few days\I will personally take a look.\Should this be reported to Heavenly Lord first?\Let's wait.\Zhe Yan, Fox King.\Stop.\Leave us.\- Yes. - Yes. response:	How clever.
context: I will personally take a look.\Should this be reported to Heavenly Lord first?\Let's wait.\Zhe Yan, Fox King.\Stop.\Leave us.\- Yes. - Yes.\How clever. response:	He chose a moment when so many are present to beg for forgiveness.
context: Should this be reported to Heavenly Lord first?\Let's wait.\Zhe Yan, Fox King.\Stop.\Leave us.\- Yes. - Yes.\How clever.\He chose a moment when so many are present to beg for forgiveness. response:	I said this was a bad idea.
context: Let's wait.\Zhe Yan, Fox King.\Stop.\Leave us.\- Yes. - Yes.\How clever.\He chose a moment when so many are present to beg for forgiveness.\I said this was a bad idea. response:	You said just play along, voice my agreement
context: Zhe Yan, Fox King.\Stop.\Leave us.\- Yes. - Yes.\How clever.\He chose a moment when so many are present to beg for forgiveness.\I said this was a bad idea.\You said just play along, voice my agreement response:	and the marriage agreement would be broken off in a respectful manner?
context: Stop.\Leave us.\- Yes. - Yes.\How clever.\He chose a moment when so many are present to beg for forgiveness.\I said this was a bad idea.\You said just play along, voice my agreement\and the marriage agreement would be broken off in a respectful manner? response:	Now look at this. It'll be done in front of all these gods.
context: Leave us.\- Yes. - Yes.\How clever.\He chose a moment when so many are present to beg for forgiveness.\I said this was a bad idea.\You said just play along, voice my agreement\and the marriage agreement would be broken off in a respectful manner?\Now look at this. It'll be done in front of all these gods. response:	Won't Bai Qian lose even more dignity now?
context: - Yes. - Yes.\How clever.\He chose a moment when so many are present to beg for forgiveness.\I said this was a bad idea.\You said just play along, voice my agreement\and the marriage agreement would be broken off in a respectful manner?\Now look at this. It'll be done in front of all these gods.\Won't Bai Qian lose even more dignity now? response:	You can't blame me.
context: How clever.\He chose a moment when so many are present to beg for forgiveness.\I said this was a bad idea.\You said just play along, voice my agreement\and the marriage agreement would be broken off in a respectful manner?\Now look at this. It'll be done in front of all these gods.\Won't Bai Qian lose even more dignity now?\You can't blame me. response:	How was I to know this Second Prince would have such a courageous spirit?
context: He chose a moment when so many are present to beg for forgiveness.\I said this was a bad idea.\You said just play along, voice my agreement\and the marriage agreement would be broken off in a respectful manner?\Now look at this. It'll be done in front of all these gods.\Won't Bai Qian lose even more dignity now?\You can't blame me.\How was I to know this Second Prince would have such a courageous spirit? response:	Sang Ji, how brazen you are.
context: I said this was a bad idea.\You said just play along, voice my agreement\and the marriage agreement would be broken off in a respectful manner?\Now look at this. It'll be done in front of all these gods.\Won't Bai Qian lose even more dignity now?\You can't blame me.\How was I to know this Second Prince would have such a courageous spirit?\Sang Ji, how brazen you are. response:	You even dared to disregard my ban on entering Evil Sealing Pagoda!
context: You said just play along, voice my agreement\and the marriage agreement would be broken off in a respectful manner?\Now look at this. It'll be done in front of all these gods.\Won't Bai Qian lose even more dignity now?\You can't blame me.\How was I to know this Second Prince would have such a courageous spirit?\Sang Ji, how brazen you are.\You even dared to disregard my ban on entering Evil Sealing Pagoda! response:	Father, I beseech you to grant me my wish.
context: and the marriage agreement would be broken off in a respectful manner?\Now look at this. It'll be done in front of all these gods.\Won't Bai Qian lose even more dignity now?\You can't blame me.\How was I to know this Second Prince would have such a courageous spirit?\Sang Ji, how brazen you are.\You even dared to disregard my ban on entering Evil Sealing Pagoda!\Father, I beseech you to grant me my wish. response:	Shao Xing does not have much power.
context: Now look at this. It'll be done in front of all these gods.\Won't Bai Qian lose even more dignity now?\You can't blame me.\How was I to know this Second Prince would have such a courageous spirit?\Sang Ji, how brazen you are.\You even dared to disregard my ban on entering Evil Sealing Pagoda!\Father, I beseech you to grant me my wish.\Shao Xing does not have much power. response:	If I did not save her
context: Won't Bai Qian lose even more dignity now?\You can't blame me.\How was I to know this Second Prince would have such a courageous spirit?\Sang Ji, how brazen you are.\You even dared to disregard my ban on entering Evil Sealing Pagoda!\Father, I beseech you to grant me my wish.\Shao Xing does not have much power.\If I did not save her response:	I'm afraid she would not have survived the night.
context: You can't blame me.\How was I to know this Second Prince would have such a courageous spirit?\Sang Ji, how brazen you are.\You even dared to disregard my ban on entering Evil Sealing Pagoda!\Father, I beseech you to grant me my wish.\Shao Xing does not have much power.\If I did not save her\I'm afraid she would not have survived the night. response:	She would have died in Evil Sealing Pagoda.
context: How was I to know this Second Prince would have such a courageous spirit?\Sang Ji, how brazen you are.\You even dared to disregard my ban on entering Evil Sealing Pagoda!\Father, I beseech you to grant me my wish.\Shao Xing does not have much power.\If I did not save her\I'm afraid she would not have survived the night.\She would have died in Evil Sealing Pagoda. response:	You care so much about her fate.
context: Sang Ji, how brazen you are.\You even dared to disregard my ban on entering Evil Sealing Pagoda!\Father, I beseech you to grant me my wish.\Shao Xing does not have much power.\If I did not save her\I'm afraid she would not have survived the night.\She would have died in Evil Sealing Pagoda.\You care so much about her fate. response:	You would even go so far as to die with her?
context: You even dared to disregard my ban on entering Evil Sealing Pagoda!\Father, I beseech you to grant me my wish.\Shao Xing does not have much power.\If I did not save her\I'm afraid she would not have survived the night.\She would have died in Evil Sealing Pagoda.\You care so much about her fate.\You would even go so far as to die with her? response:	Yes.
context: Father, I beseech you to grant me my wish.\Shao Xing does not have much power.\If I did not save her\I'm afraid she would not have survived the night.\She would have died in Evil Sealing Pagoda.\You care so much about her fate.\You would even go so far as to die with her?\Yes. response:	I am willing to... die with Shao Xing.
context: Shao Xing does not have much power.\If I did not save her\I'm afraid she would not have survived the night.\She would have died in Evil Sealing Pagoda.\You care so much about her fate.\You would even go so far as to die with her?\Yes.\I am willing to... die with Shao Xing. response:	Very well.
context: If I did not save her\I'm afraid she would not have survived the night.\She would have died in Evil Sealing Pagoda.\You care so much about her fate.\You would even go so far as to die with her?\Yes.\I am willing to... die with Shao Xing.\Very well. response:	I will grant you your wish.
context: I'm afraid she would not have survived the night.\She would have died in Evil Sealing Pagoda.\You care so much about her fate.\You would even go so far as to die with her?\Yes.\I am willing to... die with Shao Xing.\Very well.\I will grant you your wish. response:	Today, in front of these two high gods
context: She would have died in Evil Sealing Pagoda.\You care so much about her fate.\You would even go so far as to die with her?\Yes.\I am willing to... die with Shao Xing.\Very well.\I will grant you your wish.\Today, in front of these two high gods response:	you and this snake shall apologize for your offenses with your deaths.
context: You care so much about her fate.\You would even go so far as to die with her?\Yes.\I am willing to... die with Shao Xing.\Very well.\I will grant you your wish.\Today, in front of these two high gods\you and this snake shall apologize for your offenses with your deaths. response:	Shao Xing.
context: You would even go so far as to die with her?\Yes.\I am willing to... die with Shao Xing.\Very well.\I will grant you your wish.\Today, in front of these two high gods\you and this snake shall apologize for your offenses with your deaths.\Shao Xing. response:	We may have only been together for three months
context: Yes.\I am willing to... die with Shao Xing.\Very well.\I will grant you your wish.\Today, in front of these two high gods\you and this snake shall apologize for your offenses with your deaths.\Shao Xing.\We may have only been together for three months response:	but our time together surpasses
context: I am willing to... die with Shao Xing.\Very well.\I will grant you your wish.\Today, in front of these two high gods\you and this snake shall apologize for your offenses with your deaths.\Shao Xing.\We may have only been together for three months\but our time together surpasses response:	the hundreds of millennia I lived before I met you.
context: Very well.\I will grant you your wish.\Today, in front of these two high gods\you and this snake shall apologize for your offenses with your deaths.\Shao Xing.\We may have only been together for three months\but our time together surpasses\the hundreds of millennia I lived before I met you. response:	Today... you will die first.
context: I will grant you your wish.\Today, in front of these two high gods\you and this snake shall apologize for your offenses with your deaths.\Shao Xing.\We may have only been together for three months\but our time together surpasses\the hundreds of millennia I lived before I met you.\Today... you will die first. response:	I will follow soon after.
context: Today, in front of these two high gods\you and this snake shall apologize for your offenses with your deaths.\Shao Xing.\We may have only been together for three months\but our time together surpasses\the hundreds of millennia I lived before I met you.\Today... you will die first.\I will follow soon after. response:	Your Highness.
context: you and this snake shall apologize for your offenses with your deaths.\Shao Xing.\We may have only been together for three months\but our time together surpasses\the hundreds of millennia I lived before I met you.\Today... you will die first.\I will follow soon after.\Your Highness. response:	am willing to...
context: Shao Xing.\We may have only been together for three months\but our time together surpasses\the hundreds of millennia I lived before I met you.\Today... you will die first.\I will follow soon after.\Your Highness.\am willing to... response:	die with you.
context: We may have only been together for three months\but our time together surpasses\the hundreds of millennia I lived before I met you.\Today... you will die first.\I will follow soon after.\Your Highness.\am willing to...\die with you. response:	Fox King.
context: but our time together surpasses\the hundreds of millennia I lived before I met you.\Today... you will die first.\I will follow soon after.\Your Highness.\am willing to...\die with you.\Fox King. response:	Look at how in love these two are.
context: the hundreds of millennia I lived before I met you.\Today... you will die first.\I will follow soon after.\Your Highness.\am willing to...\die with you.\Fox King.\Look at how in love these two are. response:	It isn't as if they committed some heinous crime.
context: Today... you will die first.\I will follow soon after.\Your Highness.\am willing to...\die with you.\Fox King.\Look at how in love these two are.\It isn't as if they committed some heinous crime. response:	Why don't you hurry and decide if you want the marriage canceled
context: I will follow soon after.\Your Highness.\am willing to...\die with you.\Fox King.\Look at how in love these two are.\It isn't as if they committed some heinous crime.\Why don't you hurry and decide if you want the marriage canceled response:	and put this matter to rest?
context: Your Highness.\am willing to...\die with you.\Fox King.\Look at how in love these two are.\It isn't as if they committed some heinous crime.\Why don't you hurry and decide if you want the marriage canceled\and put this matter to rest? response:	Since Zhe Yan pleas for leniency on Second Prince's behalf-
context: am willing to...\die with you.\Fox King.\Look at how in love these two are.\It isn't as if they committed some heinous crime.\Why don't you hurry and decide if you want the marriage canceled\and put this matter to rest?\Since Zhe Yan pleas for leniency on Second Prince's behalf- response:	You must not.
context: die with you.\Fox King.\Look at how in love these two are.\It isn't as if they committed some heinous crime.\Why don't you hurry and decide if you want the marriage canceled\and put this matter to rest?\Since Zhe Yan pleas for leniency on Second Prince's behalf-\You must not. response:	The Celestial Tribe is in the wrong.
