context: What's happened so far! response:	I've been thinking, and well, I thought maybe I could do the play after all...
context: The Week of September is almost over.\Each group has decided on what they're doing. *Next, about printing the programs, there will be more meetings and discussions.*\Next week...next week is going to be hell.\Everyone's going to begin preparations,\so things are going to get nightmarishly busy again.\Now, onto the next topic.\That meeting dragged on.\Huh? They're not here. response:	Hey! Yukinon!
context: Each group has decided on what they're doing. *Next, about printing the programs, there will be more meetings and discussions.*\Next week...next week is going to be hell.\Everyone's going to begin preparations,\so things are going to get nightmarishly busy again.\Now, onto the next topic.\That meeting dragged on.\Huh? They're not here.\Hey! Yukinon! response:	We saw you running down the hall
context: Next week...next week is going to be hell.\Everyone's going to begin preparations,\so things are going to get nightmarishly busy again.\Now, onto the next topic.\That meeting dragged on.\Huh? They're not here.\Hey! Yukinon!\We saw you running down the hall response:	We're in a fix, All the classes have started to fill up with plywood and cardboard boxes.
context: Everyone's going to begin preparations,\so things are going to get nightmarishly busy again.\Now, onto the next topic.\That meeting dragged on.\Huh? They're not here.\Hey! Yukinon!\We saw you running down the hall\We're in a fix, All the classes have started to fill up with plywood and cardboard boxes. response:	So there isn't a classroom we could use.
context: so things are going to get nightmarishly busy again.\Now, onto the next topic.\That meeting dragged on.\Huh? They're not here.\Hey! Yukinon!\We saw you running down the hall\We're in a fix, All the classes have started to fill up with plywood and cardboard boxes.\So there isn't a classroom we could use. response:	Not even the library or the science room?
context: Now, onto the next topic.\That meeting dragged on.\Huh? They're not here.\Hey! Yukinon!\We saw you running down the hall\We're in a fix, All the classes have started to fill up with plywood and cardboard boxes.\So there isn't a classroom we could use.\Not even the library or the science room? response:	No good. We went everywhere,
context: That meeting dragged on.\Huh? They're not here.\Hey! Yukinon!\We saw you running down the hall\We're in a fix, All the classes have started to fill up with plywood and cardboard boxes.\So there isn't a classroom we could use.\Not even the library or the science room?\No good. We went everywhere, response:	but they've all been taken over already.
context: Huh? They're not here.\Hey! Yukinon!\We saw you running down the hall\We're in a fix, All the classes have started to fill up with plywood and cardboard boxes.\So there isn't a classroom we could use.\Not even the library or the science room?\No good. We went everywhere,\but they've all been taken over already. response:	I told you so.
context: Hey! Yukinon!\We saw you running down the hall\We're in a fix, All the classes have started to fill up with plywood and cardboard boxes.\So there isn't a classroom we could use.\Not even the library or the science room?\No good. We went everywhere,\but they've all been taken over already.\I told you so. response:	It's unreasonable to start a play
context: We saw you running down the hall\We're in a fix, All the classes have started to fill up with plywood and cardboard boxes.\So there isn't a classroom we could use.\Not even the library or the science room?\No good. We went everywhere,\but they've all been taken over already.\I told you so.\It's unreasonable to start a play response:	What should we do?
context: We're in a fix, All the classes have started to fill up with plywood and cardboard boxes.\So there isn't a classroom we could use.\Not even the library or the science room?\No good. We went everywhere,\but they've all been taken over already.\I told you so.\It's unreasonable to start a play\What should we do? response:	Hey, listen when I'm talking to you!
context: So there isn't a classroom we could use.\Not even the library or the science room?\No good. We went everywhere,\but they've all been taken over already.\I told you so.\It's unreasonable to start a play\What should we do?\Hey, listen when I'm talking to you! response:	Huh? Kawashima-sensei's beckoning to us.
context: Not even the library or the science room?\No good. We went everywhere,\but they've all been taken over already.\I told you so.\It's unreasonable to start a play\What should we do?\Hey, listen when I'm talking to you!\Huh? Kawashima-sensei's beckoning to us. response:	What, no vacant classrooms?
context: No good. We went everywhere,\but they've all been taken over already.\I told you so.\It's unreasonable to start a play\What should we do?\Hey, listen when I'm talking to you!\Huh? Kawashima-sensei's beckoning to us.\What, no vacant classrooms? response:	Well then, use the student guidance room.
context: but they've all been taken over already.\I told you so.\It's unreasonable to start a play\What should we do?\Hey, listen when I'm talking to you!\Huh? Kawashima-sensei's beckoning to us.\What, no vacant classrooms?\Well then, use the student guidance room. response:	We won't be needing it for a while anyway.
context: I told you so.\It's unreasonable to start a play\What should we do?\Hey, listen when I'm talking to you!\Huh? Kawashima-sensei's beckoning to us.\What, no vacant classrooms?\Well then, use the student guidance room.\We won't be needing it for a while anyway. response:	Power!
context: It's unreasonable to start a play\What should we do?\Hey, listen when I'm talking to you!\Huh? Kawashima-sensei's beckoning to us.\What, no vacant classrooms?\Well then, use the student guidance room.\We won't be needing it for a while anyway.\Power! response:	Did you write down what preparations we need to do between now and the performance?
context: What should we do?\Hey, listen when I'm talking to you!\Huh? Kawashima-sensei's beckoning to us.\What, no vacant classrooms?\Well then, use the student guidance room.\We won't be needing it for a while anyway.\Power!\Did you write down what preparations we need to do between now and the performance? response:	Yeah, how's this?
context: Hey, listen when I'm talking to you!\Huh? Kawashima-sensei's beckoning to us.\What, no vacant classrooms?\Well then, use the student guidance room.\We won't be needing it for a while anyway.\Power!\Did you write down what preparations we need to do between now and the performance?\Yeah, how's this? response:	Let's see?
context: Huh? Kawashima-sensei's beckoning to us.\What, no vacant classrooms?\Well then, use the student guidance room.\We won't be needing it for a while anyway.\Power!\Did you write down what preparations we need to do between now and the performance?\Yeah, how's this?\Let's see? response:	Reading through the script, rehearsal, dress rehearsal,
context: What, no vacant classrooms?\Well then, use the student guidance room.\We won't be needing it for a while anyway.\Power!\Did you write down what preparations we need to do between now and the performance?\Yeah, how's this?\Let's see?\Reading through the script, rehearsal, dress rehearsal, response:	deciding on the look for the costumes, the scene, the set and props...
context: Well then, use the student guidance room.\We won't be needing it for a while anyway.\Power!\Did you write down what preparations we need to do between now and the performance?\Yeah, how's this?\Let's see?\Reading through the script, rehearsal, dress rehearsal,\deciding on the look for the costumes, the scene, the set and props... response:	Oh, we'd have to actually measure the size of the stage in the gym before we make the set or we'll screw up.
context: We won't be needing it for a while anyway.\Power!\Did you write down what preparations we need to do between now and the performance?\Yeah, how's this?\Let's see?\Reading through the script, rehearsal, dress rehearsal,\deciding on the look for the costumes, the scene, the set and props...\Oh, we'd have to actually measure the size of the stage in the gym before we make the set or we'll screw up. response:	We'll check the lighting and sound setup then.
context: Power!\Did you write down what preparations we need to do between now and the performance?\Yeah, how's this?\Let's see?\Reading through the script, rehearsal, dress rehearsal,\deciding on the look for the costumes, the scene, the set and props...\Oh, we'd have to actually measure the size of the stage in the gym before we make the set or we'll screw up.\We'll check the lighting and sound setup then. response:	Deciding on the details for BGM, sound effects, and lighting...
context: Did you write down what preparations we need to do between now and the performance?\Yeah, how's this?\Let's see?\Reading through the script, rehearsal, dress rehearsal,\deciding on the look for the costumes, the scene, the set and props...\Oh, we'd have to actually measure the size of the stage in the gym before we make the set or we'll screw up.\We'll check the lighting and sound setup then.\Deciding on the details for BGM, sound effects, and lighting... response:	We can think about these while we're reading our lines, so they can wait.
context: Yeah, how's this?\Let's see?\Reading through the script, rehearsal, dress rehearsal,\deciding on the look for the costumes, the scene, the set and props...\Oh, we'd have to actually measure the size of the stage in the gym before we make the set or we'll screw up.\We'll check the lighting and sound setup then.\Deciding on the details for BGM, sound effects, and lighting...\We can think about these while we're reading our lines, so they can wait. response:	It's too bad that tomorrow's a Sunday.
context: Let's see?\Reading through the script, rehearsal, dress rehearsal,\deciding on the look for the costumes, the scene, the set and props...\Oh, we'd have to actually measure the size of the stage in the gym before we make the set or we'll screw up.\We'll check the lighting and sound setup then.\Deciding on the details for BGM, sound effects, and lighting...\We can think about these while we're reading our lines, so they can wait.\It's too bad that tomorrow's a Sunday. response:	Let's decide on the outline today and go shopping for things tomorrow afternoon. Okay?
context: Reading through the script, rehearsal, dress rehearsal,\deciding on the look for the costumes, the scene, the set and props...\Oh, we'd have to actually measure the size of the stage in the gym before we make the set or we'll screw up.\We'll check the lighting and sound setup then.\Deciding on the details for BGM, sound effects, and lighting...\We can think about these while we're reading our lines, so they can wait.\It's too bad that tomorrow's a Sunday.\Let's decide on the outline today and go shopping for things tomorrow afternoon. Okay? response:	O-okay!
context: deciding on the look for the costumes, the scene, the set and props...\Oh, we'd have to actually measure the size of the stage in the gym before we make the set or we'll screw up.\We'll check the lighting and sound setup then.\Deciding on the details for BGM, sound effects, and lighting...\We can think about these while we're reading our lines, so they can wait.\It's too bad that tomorrow's a Sunday.\Let's decide on the outline today and go shopping for things tomorrow afternoon. Okay?\O-okay! response:	Yukinon really does the work of ten people by herself.
context: Oh, we'd have to actually measure the size of the stage in the gym before we make the set or we'll screw up.\We'll check the lighting and sound setup then.\Deciding on the details for BGM, sound effects, and lighting...\We can think about these while we're reading our lines, so they can wait.\It's too bad that tomorrow's a Sunday.\Let's decide on the outline today and go shopping for things tomorrow afternoon. Okay?\O-okay!\Yukinon really does the work of ten people by herself. response:	Let's finalize the schedule first.
context: We'll check the lighting and sound setup then.\Deciding on the details for BGM, sound effects, and lighting...\We can think about these while we're reading our lines, so they can wait.\It's too bad that tomorrow's a Sunday.\Let's decide on the outline today and go shopping for things tomorrow afternoon. Okay?\O-okay!\Yukinon really does the work of ten people by herself.\Let's finalize the schedule first. response:	How much time we're going to spend on what.
context: Deciding on the details for BGM, sound effects, and lighting...\We can think about these while we're reading our lines, so they can wait.\It's too bad that tomorrow's a Sunday.\Let's decide on the outline today and go shopping for things tomorrow afternoon. Okay?\O-okay!\Yukinon really does the work of ten people by herself.\Let's finalize the schedule first.\How much time we're going to spend on what. response:	We can't afford to waste any time.
context: We can think about these while we're reading our lines, so they can wait.\It's too bad that tomorrow's a Sunday.\Let's decide on the outline today and go shopping for things tomorrow afternoon. Okay?\O-okay!\Yukinon really does the work of ten people by herself.\Let's finalize the schedule first.\How much time we're going to spend on what.\We can't afford to waste any time. response:	I keep telling you,
context: It's too bad that tomorrow's a Sunday.\Let's decide on the outline today and go shopping for things tomorrow afternoon. Okay?\O-okay!\Yukinon really does the work of ten people by herself.\Let's finalize the schedule first.\How much time we're going to spend on what.\We can't afford to waste any time.\I keep telling you, response:	what can we do in only one we-
context: Let's decide on the outline today and go shopping for things tomorrow afternoon. Okay?\O-okay!\Yukinon really does the work of ten people by herself.\Let's finalize the schedule first.\How much time we're going to spend on what.\We can't afford to waste any time.\I keep telling you,\what can we do in only one we- response:	Have you come up with the set designs?
context: O-okay!\Yukinon really does the work of ten people by herself.\Let's finalize the schedule first.\How much time we're going to spend on what.\We can't afford to waste any time.\I keep telling you,\what can we do in only one we-\Have you come up with the set designs? response:	Yes we have!
context: Yukinon really does the work of ten people by herself.\Let's finalize the schedule first.\How much time we're going to spend on what.\We can't afford to waste any time.\I keep telling you,\what can we do in only one we-\Have you come up with the set designs?\Yes we have! response:	And we can't get anywhere without the actors knowing their lines,
context: Let's finalize the schedule first.\How much time we're going to spend on what.\We can't afford to waste any time.\I keep telling you,\what can we do in only one we-\Have you come up with the set designs?\Yes we have!\And we can't get anywhere without the actors knowing their lines, response:	so be sure to have everything perfectly memorized by Monday.
context: How much time we're going to spend on what.\We can't afford to waste any time.\I keep telling you,\what can we do in only one we-\Have you come up with the set designs?\Yes we have!\And we can't get anywhere without the actors knowing their lines,\so be sure to have everything perfectly memorized by Monday. response:	WHAT?!
context: We can't afford to waste any time.\I keep telling you,\what can we do in only one we-\Have you come up with the set designs?\Yes we have!\And we can't get anywhere without the actors knowing their lines,\so be sure to have everything perfectly memorized by Monday.\WHAT?! response:	I could do it.
context: I keep telling you,\what can we do in only one we-\Have you come up with the set designs?\Yes we have!\And we can't get anywhere without the actors knowing their lines,\so be sure to have everything perfectly memorized by Monday.\WHAT?!\I could do it. response:	What, you can't even do that?
context: what can we do in only one we-\Have you come up with the set designs?\Yes we have!\And we can't get anywhere without the actors knowing their lines,\so be sure to have everything perfectly memorized by Monday.\WHAT?!\I could do it.\What, you can't even do that? response:	Yes I can!
context: Have you come up with the set designs?\Yes we have!\And we can't get anywhere without the actors knowing their lines,\so be sure to have everything perfectly memorized by Monday.\WHAT?!\I could do it.\What, you can't even do that?\Yes I can! response:	So this is the stage layout?
context: Yes we have!\And we can't get anywhere without the actors knowing their lines,\so be sure to have everything perfectly memorized by Monday.\WHAT?!\I could do it.\What, you can't even do that?\Yes I can!\So this is the stage layout? response:	We came up with it.
context: And we can't get anywhere without the actors knowing their lines,\so be sure to have everything perfectly memorized by Monday.\WHAT?!\I could do it.\What, you can't even do that?\Yes I can!\So this is the stage layout?\We came up with it. response:	Neat! So this is what it's like.
context: so be sure to have everything perfectly memorized by Monday.\WHAT?!\I could do it.\What, you can't even do that?\Yes I can!\So this is the stage layout?\We came up with it.\Neat! So this is what it's like. response:	Wow, I can just see it happening.
context: WHAT?!\I could do it.\What, you can't even do that?\Yes I can!\So this is the stage layout?\We came up with it.\Neat! So this is what it's like.\Wow, I can just see it happening. response:	Oh yeah, what are we going to do about the giant monitor?
context: I could do it.\What, you can't even do that?\Yes I can!\So this is the stage layout?\We came up with it.\Neat! So this is what it's like.\Wow, I can just see it happening.\Oh yeah, what are we going to do about the giant monitor? response:	It's key to the story...
context: What, you can't even do that?\Yes I can!\So this is the stage layout?\We came up with it.\Neat! So this is what it's like.\Wow, I can just see it happening.\Oh yeah, what are we going to do about the giant monitor?\It's key to the story... response:	That's taken care of.
context: Yes I can!\So this is the stage layout?\We came up with it.\Neat! So this is what it's like.\Wow, I can just see it happening.\Oh yeah, what are we going to do about the giant monitor?\It's key to the story...\That's taken care of. response:	My brother works for an AV company, and when I showed...
context: So this is the stage layout?\We came up with it.\Neat! So this is what it's like.\Wow, I can just see it happening.\Oh yeah, what are we going to do about the giant monitor?\It's key to the story...\That's taken care of.\My brother works for an AV company, and when I showed... response:	Huh? What's wrong?
context: We came up with it.\Neat! So this is what it's like.\Wow, I can just see it happening.\Oh yeah, what are we going to do about the giant monitor?\It's key to the story...\That's taken care of.\My brother works for an AV company, and when I showed...\Huh? What's wrong? response:	You bastard!
context: Neat! So this is what it's like.\Wow, I can just see it happening.\Oh yeah, what are we going to do about the giant monitor?\It's key to the story...\That's taken care of.\My brother works for an AV company, and when I showed...\Huh? What's wrong?\You bastard! response:	Ow!
context: Wow, I can just see it happening.\Oh yeah, what are we going to do about the giant monitor?\It's key to the story...\That's taken care of.\My brother works for an AV company, and when I showed...\Huh? What's wrong?\You bastard!\Ow! response:	What the hell do you think you're doing?! This is your project!
context: Oh yeah, what are we going to do about the giant monitor?\It's key to the story...\That's taken care of.\My brother works for an AV company, and when I showed...\Huh? What's wrong?\You bastard!\Ow!\What the hell do you think you're doing?! This is your project! response:	Are you trying to ruin it yourself?!
context: It's key to the story...\That's taken care of.\My brother works for an AV company, and when I showed...\Huh? What's wrong?\You bastard!\Ow!\What the hell do you think you're doing?! This is your project!\Are you trying to ruin it yourself?! response:	You want all of us to spend the day of the Culture Fair suspended at home?! I told you to quit!
context: That's taken care of.\My brother works for an AV company, and when I showed...\Huh? What's wrong?\You bastard!\Ow!\What the hell do you think you're doing?! This is your project!\Are you trying to ruin it yourself?!\You want all of us to spend the day of the Culture Fair suspended at home?! I told you to quit! response:	Huh? When did I?
context: My brother works for an AV company, and when I showed...\Huh? What's wrong?\You bastard!\Ow!\What the hell do you think you're doing?! This is your project!\Are you trying to ruin it yourself?!\You want all of us to spend the day of the Culture Fair suspended at home?! I told you to quit!\Huh? When did I? response:	How's it going? I'd called you over because I was going to offer some sweets.
context: Huh? What's wrong?\You bastard!\Ow!\What the hell do you think you're doing?! This is your project!\Are you trying to ruin it yourself?!\You want all of us to spend the day of the Culture Fair suspended at home?! I told you to quit!\Huh? When did I?\How's it going? I'd called you over because I was going to offer some sweets. response:	We're finally done... It's dark already.
context: You bastard!\Ow!\What the hell do you think you're doing?! This is your project!\Are you trying to ruin it yourself?!\You want all of us to spend the day of the Culture Fair suspended at home?! I told you to quit!\Huh? When did I?\How's it going? I'd called you over because I was going to offer some sweets.\We're finally done... It's dark already. response:	Okay, tomorrow at 12:30 in front of the station.
context: Ow!\What the hell do you think you're doing?! This is your project!\Are you trying to ruin it yourself?!\You want all of us to spend the day of the Culture Fair suspended at home?! I told you to quit!\Huh? When did I?\How's it going? I'd called you over because I was going to offer some sweets.\We're finally done... It's dark already.\Okay, tomorrow at 12:30 in front of the station. response:	Good work, everyone.
context: What the hell do you think you're doing?! This is your project!\Are you trying to ruin it yourself?!\You want all of us to spend the day of the Culture Fair suspended at home?! I told you to quit!\Huh? When did I?\How's it going? I'd called you over because I was going to offer some sweets.\We're finally done... It's dark already.\Okay, tomorrow at 12:30 in front of the station.\Good work, everyone. response:	What's the matter, Yukinon?
context: Are you trying to ruin it yourself?!\You want all of us to spend the day of the Culture Fair suspended at home?! I told you to quit!\Huh? When did I?\How's it going? I'd called you over because I was going to offer some sweets.\We're finally done... It's dark already.\Okay, tomorrow at 12:30 in front of the station.\Good work, everyone.\What's the matter, Yukinon? response:	The lights are still on in the stadium.
context: You want all of us to spend the day of the Culture Fair suspended at home?! I told you to quit!\Huh? When did I?\How's it going? I'd called you over because I was going to offer some sweets.\We're finally done... It's dark already.\Okay, tomorrow at 12:30 in front of the station.\Good work, everyone.\What's the matter, Yukinon?\The lights are still on in the stadium. response:	Arima might be there so...
context: Huh? When did I?\How's it going? I'd called you over because I was going to offer some sweets.\We're finally done... It's dark already.\Okay, tomorrow at 12:30 in front of the station.\Good work, everyone.\What's the matter, Yukinon?\The lights are still on in the stadium.\Arima might be there so... response:	How about you?
context: How's it going? I'd called you over because I was going to offer some sweets.\We're finally done... It's dark already.\Okay, tomorrow at 12:30 in front of the station.\Good work, everyone.\What's the matter, Yukinon?\The lights are still on in the stadium.\Arima might be there so...\How about you? response:	I'll pass.
context: We're finally done... It's dark already.\Okay, tomorrow at 12:30 in front of the station.\Good work, everyone.\What's the matter, Yukinon?\The lights are still on in the stadium.\Arima might be there so...\How about you?\I'll pass. response:	Souichirou-kun gets really scary if I'm around in a situation like that.
context: Okay, tomorrow at 12:30 in front of the station.\Good work, everyone.\What's the matter, Yukinon?\The lights are still on in the stadium.\Arima might be there so...\How about you?\I'll pass.\Souichirou-kun gets really scary if I'm around in a situation like that. response:	You go ahead.
context: Good work, everyone.\What's the matter, Yukinon?\The lights are still on in the stadium.\Arima might be there so...\How about you?\I'll pass.\Souichirou-kun gets really scary if I'm around in a situation like that.\You go ahead. response:	Shall we go get something to eat at a family restaurant?
context: What's the matter, Yukinon?\The lights are still on in the stadium.\Arima might be there so...\How about you?\I'll pass.\Souichirou-kun gets really scary if I'm around in a situation like that.\You go ahead.\Shall we go get something to eat at a family restaurant? response:	Let's go!
context: The lights are still on in the stadium.\Arima might be there so...\How about you?\I'll pass.\Souichirou-kun gets really scary if I'm around in a situation like that.\You go ahead.\Shall we go get something to eat at a family restaurant?\Let's go! response:	Okay, I'll go for a little bit.
context: Arima might be there so...\How about you?\I'll pass.\Souichirou-kun gets really scary if I'm around in a situation like that.\You go ahead.\Shall we go get something to eat at a family restaurant?\Let's go!\Okay, I'll go for a little bit. response:	Bye Yukinon!
context: How about you?\I'll pass.\Souichirou-kun gets really scary if I'm around in a situation like that.\You go ahead.\Shall we go get something to eat at a family restaurant?\Let's go!\Okay, I'll go for a little bit.\Bye Yukinon! response:	See you later.
context: I'll pass.\Souichirou-kun gets really scary if I'm around in a situation like that.\You go ahead.\Shall we go get something to eat at a family restaurant?\Let's go!\Okay, I'll go for a little bit.\Bye Yukinon!\See you later. response:	Bye!
context: Souichirou-kun gets really scary if I'm around in a situation like that.\You go ahead.\Shall we go get something to eat at a family restaurant?\Let's go!\Okay, I'll go for a little bit.\Bye Yukinon!\See you later.\Bye! response:	Wait, I'm coming too!
context: You go ahead.\Shall we go get something to eat at a family restaurant?\Let's go!\Okay, I'll go for a little bit.\Bye Yukinon!\See you later.\Bye!\Wait, I'm coming too! response:	I've never seen Arima doing kendo.
context: Shall we go get something to eat at a family restaurant?\Let's go!\Okay, I'll go for a little bit.\Bye Yukinon!\See you later.\Bye!\Wait, I'm coming too!\I've never seen Arima doing kendo. response:	What a waste.
context: Let's go!\Okay, I'll go for a little bit.\Bye Yukinon!\See you later.\Bye!\Wait, I'm coming too!\I've never seen Arima doing kendo.\What a waste. response:	This is exciting!
context: Okay, I'll go for a little bit.\Bye Yukinon!\See you later.\Bye!\Wait, I'm coming too!\I've never seen Arima doing kendo.\What a waste.\This is exciting! response:	Waiting for my boyfriend, winner of the Interhigh, to finish practice...
context: Bye Yukinon!\See you later.\Bye!\Wait, I'm coming too!\I've never seen Arima doing kendo.\What a waste.\This is exciting!\Waiting for my boyfriend, winner of the Interhigh, to finish practice... response:	It's so luxurious!
context: See you later.\Bye!\Wait, I'm coming too!\I've never seen Arima doing kendo.\What a waste.\This is exciting!\Waiting for my boyfriend, winner of the Interhigh, to finish practice...\It's so luxurious! response:	That's all for today!
context: Bye!\Wait, I'm coming too!\I've never seen Arima doing kendo.\What a waste.\This is exciting!\Waiting for my boyfriend, winner of the Interhigh, to finish practice...\It's so luxurious!\That's all for today! response:	Oops, he saw me.
context: Wait, I'm coming too!\I've never seen Arima doing kendo.\What a waste.\This is exciting!\Waiting for my boyfriend, winner of the Interhigh, to finish practice...\It's so luxurious!\That's all for today!\Oops, he saw me. response:	Thanks you for your help!
context: I've never seen Arima doing kendo.\What a waste.\This is exciting!\Waiting for my boyfriend, winner of the Interhigh, to finish practice...\It's so luxurious!\That's all for today!\Oops, he saw me.\Thanks you for your help! response:	What's up?
context: What a waste.\This is exciting!\Waiting for my boyfriend, winner of the Interhigh, to finish practice...\It's so luxurious!\That's all for today!\Oops, he saw me.\Thanks you for your help!\What's up? response:	The discussion for the play ran late,
context: This is exciting!\Waiting for my boyfriend, winner of the Interhigh, to finish practice...\It's so luxurious!\That's all for today!\Oops, he saw me.\Thanks you for your help!\What's up?\The discussion for the play ran late, response:	so I was watching.
context: Waiting for my boyfriend, winner of the Interhigh, to finish practice...\It's so luxurious!\That's all for today!\Oops, he saw me.\Thanks you for your help!\What's up?\The discussion for the play ran late,\so I was watching. response:	This was the first time I've watched you do kendo!
context: It's so luxurious!\That's all for today!\Oops, he saw me.\Thanks you for your help!\What's up?\The discussion for the play ran late,\so I was watching.\This was the first time I've watched you do kendo! response:	You were so cool!
context: That's all for today!\Oops, he saw me.\Thanks you for your help!\What's up?\The discussion for the play ran late,\so I was watching.\This was the first time I've watched you do kendo!\You were so cool! response:	It was really exciting.
context: Oops, he saw me.\Thanks you for your help!\What's up?\The discussion for the play ran late,\so I was watching.\This was the first time I've watched you do kendo!\You were so cool!\It was really exciting. response:	I should have done this sooner. Can I come again?
context: Thanks you for your help!\What's up?\The discussion for the play ran late,\so I was watching.\This was the first time I've watched you do kendo!\You were so cool!\It was really exciting.\I should have done this sooner. Can I come again? response:	Peeyew!
context: What's up?\The discussion for the play ran late,\so I was watching.\This was the first time I've watched you do kendo!\You were so cool!\It was really exciting.\I should have done this sooner. Can I come again?\Peeyew! response:	Ohmigod Arima,
context: The discussion for the play ran late,\so I was watching.\This was the first time I've watched you do kendo!\You were so cool!\It was really exciting.\I should have done this sooner. Can I come again?\Peeyew!\Ohmigod Arima, response:	you reek of sweaty armor!
context: so I was watching.\This was the first time I've watched you do kendo!\You were so cool!\It was really exciting.\I should have done this sooner. Can I come again?\Peeyew!\Ohmigod Arima,\you reek of sweaty armor! response:	I mean, just smelling like sweat is one thing, but!
context: This was the first time I've watched you do kendo!\You were so cool!\It was really exciting.\I should have done this sooner. Can I come again?\Peeyew!\Ohmigod Arima,\you reek of sweaty armor!\I mean, just smelling like sweat is one thing, but! response:	Get away! Don't touch me! I can't believe you!
context: You were so cool!\It was really exciting.\I should have done this sooner. Can I come again?\Peeyew!\Ohmigod Arima,\you reek of sweaty armor!\I mean, just smelling like sweat is one thing, but!\Get away! Don't touch me! I can't believe you! response:	What is that rotten stench?! How can you stand to wear that?!
context: It was really exciting.\I should have done this sooner. Can I come again?\Peeyew!\Ohmigod Arima,\you reek of sweaty armor!\I mean, just smelling like sweat is one thing, but!\Get away! Don't touch me! I can't believe you!\What is that rotten stench?! How can you stand to wear that?! response:	Stay away! There's no way I'd ever do kendo!
context: I should have done this sooner. Can I come again?\Peeyew!\Ohmigod Arima,\you reek of sweaty armor!\I mean, just smelling like sweat is one thing, but!\Get away! Don't touch me! I can't believe you!\What is that rotten stench?! How can you stand to wear that?!\Stay away! There's no way I'd ever do kendo! response:	Ow! Who would poke their girlfriend?
