context: The Second Plate response:	Episode 9
context: Honored guests, the time for the Autumn Elections Finals to begin is almost here!\Please look up at the ceiling!\Wow!\The ceiling's splitting open!\Soon.\This is Gatten Hall as it truly is.\The cooking time in the finals will span approximately two hours.\This is the time it takes from the moment the moon appears in full, response:	traverses across the skies,
context: Please look up at the ceiling!\Wow!\The ceiling's splitting open!\Soon.\This is Gatten Hall as it truly is.\The cooking time in the finals will span approximately two hours.\This is the time it takes from the moment the moon appears in full,\traverses across the skies, response:	and becomes hidden once more.
context: Wow!\The ceiling's splitting open!\Soon.\This is Gatten Hall as it truly is.\The cooking time in the finals will span approximately two hours.\This is the time it takes from the moment the moon appears in full,\traverses across the skies,\and becomes hidden once more. response:	Though it's the same every year,
context: The ceiling's splitting open!\Soon.\This is Gatten Hall as it truly is.\The cooking time in the finals will span approximately two hours.\This is the time it takes from the moment the moon appears in full,\traverses across the skies,\and becomes hidden once more.\Though it's the same every year, response:	it's still quite the spectacle.
context: Soon.\This is Gatten Hall as it truly is.\The cooking time in the finals will span approximately two hours.\This is the time it takes from the moment the moon appears in full,\traverses across the skies,\and becomes hidden once more.\Though it's the same every year,\it's still quite the spectacle. response:	I fondly remember those days...
context: This is Gatten Hall as it truly is.\The cooking time in the finals will span approximately two hours.\This is the time it takes from the moment the moon appears in full,\traverses across the skies,\and becomes hidden once more.\Though it's the same every year,\it's still quite the spectacle.\I fondly remember those days... response:	That night when I fought in the Autumn Election finals...
context: The cooking time in the finals will span approximately two hours.\This is the time it takes from the moment the moon appears in full,\traverses across the skies,\and becomes hidden once more.\Though it's the same every year,\it's still quite the spectacle.\I fondly remember those days...\That night when I fought in the Autumn Election finals... response:	All the chefs who have ever stood on this stage
context: This is the time it takes from the moment the moon appears in full,\traverses across the skies,\and becomes hidden once more.\Though it's the same every year,\it's still quite the spectacle.\I fondly remember those days...\That night when I fought in the Autumn Election finals...\All the chefs who have ever stood on this stage response:	has seen the same moon.
context: traverses across the skies,\and becomes hidden once more.\Though it's the same every year,\it's still quite the spectacle.\I fondly remember those days...\That night when I fought in the Autumn Election finals...\All the chefs who have ever stood on this stage\has seen the same moon. response:	Don't lose to anyone else until you lose to me again next time!
context: and becomes hidden once more.\Though it's the same every year,\it's still quite the spectacle.\I fondly remember those days...\That night when I fought in the Autumn Election finals...\All the chefs who have ever stood on this stage\has seen the same moon.\Don't lose to anyone else until you lose to me again next time! response:	I'm gonna gun for the top seat among Totsuki's first-years!
context: Though it's the same every year,\it's still quite the spectacle.\I fondly remember those days...\That night when I fought in the Autumn Election finals...\All the chefs who have ever stood on this stage\has seen the same moon.\Don't lose to anyone else until you lose to me again next time!\I'm gonna gun for the top seat among Totsuki's first-years! response:	Ready!
context: it's still quite the spectacle.\I fondly remember those days...\That night when I fought in the Autumn Election finals...\All the chefs who have ever stood on this stage\has seen the same moon.\Don't lose to anyone else until you lose to me again next time!\I'm gonna gun for the top seat among Totsuki's first-years!\Ready! response:	Let the cooking...
context: I fondly remember those days...\That night when I fought in the Autumn Election finals...\All the chefs who have ever stood on this stage\has seen the same moon.\Don't lose to anyone else until you lose to me again next time!\I'm gonna gun for the top seat among Totsuki's first-years!\Ready!\Let the cooking... response:	A Sword That Signals Autumn
context: That night when I fought in the Autumn Election finals...\All the chefs who have ever stood on this stage\has seen the same moon.\Don't lose to anyone else until you lose to me again next time!\I'm gonna gun for the top seat among Totsuki's first-years!\Ready!\Let the cooking...\A Sword That Signals Autumn response:	None of the candidates have touched their Pacific saury.
context: All the chefs who have ever stood on this stage\has seen the same moon.\Don't lose to anyone else until you lose to me again next time!\I'm gonna gun for the top seat among Totsuki's first-years!\Ready!\Let the cooking...\A Sword That Signals Autumn\None of the candidates have touched their Pacific saury. response:	They'll start by prepping their other ingredients. Typical, I suppose.
context: has seen the same moon.\Don't lose to anyone else until you lose to me again next time!\I'm gonna gun for the top seat among Totsuki's first-years!\Ready!\Let the cooking...\A Sword That Signals Autumn\None of the candidates have touched their Pacific saury.\They'll start by prepping their other ingredients. Typical, I suppose. response:	Working the fish more than necessary will negatively impact its freshness.
context: Don't lose to anyone else until you lose to me again next time!\I'm gonna gun for the top seat among Totsuki's first-years!\Ready!\Let the cooking...\A Sword That Signals Autumn\None of the candidates have touched their Pacific saury.\They'll start by prepping their other ingredients. Typical, I suppose.\Working the fish more than necessary will negatively impact its freshness. response:	They have to maintain the fish's freshness as much as possible.
context: I'm gonna gun for the top seat among Totsuki's first-years!\Ready!\Let the cooking...\A Sword That Signals Autumn\None of the candidates have touched their Pacific saury.\They'll start by prepping their other ingredients. Typical, I suppose.\Working the fish more than necessary will negatively impact its freshness.\They have to maintain the fish's freshness as much as possible. response:	I'm becoming excited, yes.
context: Ready!\Let the cooking...\A Sword That Signals Autumn\None of the candidates have touched their Pacific saury.\They'll start by prepping their other ingredients. Typical, I suppose.\Working the fish more than necessary will negatively impact its freshness.\They have to maintain the fish's freshness as much as possible.\I'm becoming excited, yes. response:	Watching young men... this is sight for sore eyes.
context: Let the cooking...\A Sword That Signals Autumn\None of the candidates have touched their Pacific saury.\They'll start by prepping their other ingredients. Typical, I suppose.\Working the fish more than necessary will negatively impact its freshness.\They have to maintain the fish's freshness as much as possible.\I'm becoming excited, yes.\Watching young men... this is sight for sore eyes. response:	Oh, Mother, you're being rather inappropriate.
context: A Sword That Signals Autumn\None of the candidates have touched their Pacific saury.\They'll start by prepping their other ingredients. Typical, I suppose.\Working the fish more than necessary will negatively impact its freshness.\They have to maintain the fish's freshness as much as possible.\I'm becoming excited, yes.\Watching young men... this is sight for sore eyes.\Oh, Mother, you're being rather inappropriate. response:	And your vocabulary is skewed, as usual.
context: None of the candidates have touched their Pacific saury.\They'll start by prepping their other ingredients. Typical, I suppose.\Working the fish more than necessary will negatively impact its freshness.\They have to maintain the fish's freshness as much as possible.\I'm becoming excited, yes.\Watching young men... this is sight for sore eyes.\Oh, Mother, you're being rather inappropriate.\And your vocabulary is skewed, as usual. response:	Alice!
context: They'll start by prepping their other ingredients. Typical, I suppose.\Working the fish more than necessary will negatively impact its freshness.\They have to maintain the fish's freshness as much as possible.\I'm becoming excited, yes.\Watching young men... this is sight for sore eyes.\Oh, Mother, you're being rather inappropriate.\And your vocabulary is skewed, as usual.\Alice! response:	Go back to your seat in the audience!
context: Working the fish more than necessary will negatively impact its freshness.\They have to maintain the fish's freshness as much as possible.\I'm becoming excited, yes.\Watching young men... this is sight for sore eyes.\Oh, Mother, you're being rather inappropriate.\And your vocabulary is skewed, as usual.\Alice!\Go back to your seat in the audience! response:	Erina, you should come over here, too!
context: They have to maintain the fish's freshness as much as possible.\I'm becoming excited, yes.\Watching young men... this is sight for sore eyes.\Oh, Mother, you're being rather inappropriate.\And your vocabulary is skewed, as usual.\Alice!\Go back to your seat in the audience!\Erina, you should come over here, too! response:	She can, can't she, Grandfather?
context: I'm becoming excited, yes.\Watching young men... this is sight for sore eyes.\Oh, Mother, you're being rather inappropriate.\And your vocabulary is skewed, as usual.\Alice!\Go back to your seat in the audience!\Erina, you should come over here, too!\She can, can't she, Grandfather? response:	Yes. It doesn't matter.
context: Watching young men... this is sight for sore eyes.\Oh, Mother, you're being rather inappropriate.\And your vocabulary is skewed, as usual.\Alice!\Go back to your seat in the audience!\Erina, you should come over here, too!\She can, can't she, Grandfather?\Yes. It doesn't matter. response:	See, Erina?
context: Oh, Mother, you're being rather inappropriate.\And your vocabulary is skewed, as usual.\Alice!\Go back to your seat in the audience!\Erina, you should come over here, too!\She can, can't she, Grandfather?\Yes. It doesn't matter.\See, Erina? response:	What a fun family, Nakiri-kun.
context: And your vocabulary is skewed, as usual.\Alice!\Go back to your seat in the audience!\Erina, you should come over here, too!\She can, can't she, Grandfather?\Yes. It doesn't matter.\See, Erina?\What a fun family, Nakiri-kun. response:	Oh?
context: Alice!\Go back to your seat in the audience!\Erina, you should come over here, too!\She can, can't she, Grandfather?\Yes. It doesn't matter.\See, Erina?\What a fun family, Nakiri-kun.\Oh? response:	Yukihira seems to be handling his Pacific saury.
context: Go back to your seat in the audience!\Erina, you should come over here, too!\She can, can't she, Grandfather?\Yes. It doesn't matter.\See, Erina?\What a fun family, Nakiri-kun.\Oh?\Yukihira seems to be handling his Pacific saury. response:	Maybe the aging was a success?
context: Erina, you should come over here, too!\She can, can't she, Grandfather?\Yes. It doesn't matter.\See, Erina?\What a fun family, Nakiri-kun.\Oh?\Yukihira seems to be handling his Pacific saury.\Maybe the aging was a success? response:	Yeah. What kind of dish will he make with it?
context: She can, can't she, Grandfather?\Yes. It doesn't matter.\See, Erina?\What a fun family, Nakiri-kun.\Oh?\Yukihira seems to be handling his Pacific saury.\Maybe the aging was a success?\Yeah. What kind of dish will he make with it? response:	Kurokiba Ryo. Hayama Akira.
context: Yes. It doesn't matter.\See, Erina?\What a fun family, Nakiri-kun.\Oh?\Yukihira seems to be handling his Pacific saury.\Maybe the aging was a success?\Yeah. What kind of dish will he make with it?\Kurokiba Ryo. Hayama Akira. response:	Can you win against those two monsters, Yukihira?
context: See, Erina?\What a fun family, Nakiri-kun.\Oh?\Yukihira seems to be handling his Pacific saury.\Maybe the aging was a success?\Yeah. What kind of dish will he make with it?\Kurokiba Ryo. Hayama Akira.\Can you win against those two monsters, Yukihira? response:	Ah!
context: What a fun family, Nakiri-kun.\Oh?\Yukihira seems to be handling his Pacific saury.\Maybe the aging was a success?\Yeah. What kind of dish will he make with it?\Kurokiba Ryo. Hayama Akira.\Can you win against those two monsters, Yukihira?\Ah! response:	So many different seafood ingredients on the young Kurokiba's prep surface!
context: Oh?\Yukihira seems to be handling his Pacific saury.\Maybe the aging was a success?\Yeah. What kind of dish will he make with it?\Kurokiba Ryo. Hayama Akira.\Can you win against those two monsters, Yukihira?\Ah!\So many different seafood ingredients on the young Kurokiba's prep surface! response:	I also see ripe tomatoes and olive oil.
context: Yukihira seems to be handling his Pacific saury.\Maybe the aging was a success?\Yeah. What kind of dish will he make with it?\Kurokiba Ryo. Hayama Akira.\Can you win against those two monsters, Yukihira?\Ah!\So many different seafood ingredients on the young Kurokiba's prep surface!\I also see ripe tomatoes and olive oil. response:	He probably intends to make acqua pazza.
context: Maybe the aging was a success?\Yeah. What kind of dish will he make with it?\Kurokiba Ryo. Hayama Akira.\Can you win against those two monsters, Yukihira?\Ah!\So many different seafood ingredients on the young Kurokiba's prep surface!\I also see ripe tomatoes and olive oil.\He probably intends to make acqua pazza. response:	Acqua pazzaa regional dish from Southern Italy.
context: Yeah. What kind of dish will he make with it?\Kurokiba Ryo. Hayama Akira.\Can you win against those two monsters, Yukihira?\Ah!\So many different seafood ingredients on the young Kurokiba's prep surface!\I also see ripe tomatoes and olive oil.\He probably intends to make acqua pazza.\Acqua pazzaa regional dish from Southern Italy. response:	With fish as the main ingredient, many other ingredients are simmered into a stew.
context: Kurokiba Ryo. Hayama Akira.\Can you win against those two monsters, Yukihira?\Ah!\So many different seafood ingredients on the young Kurokiba's prep surface!\I also see ripe tomatoes and olive oil.\He probably intends to make acqua pazza.\Acqua pazzaa regional dish from Southern Italy.\With fish as the main ingredient, many other ingredients are simmered into a stew. response:	It's a simple yet dynamic dish.
context: Can you win against those two monsters, Yukihira?\Ah!\So many different seafood ingredients on the young Kurokiba's prep surface!\I also see ripe tomatoes and olive oil.\He probably intends to make acqua pazza.\Acqua pazzaa regional dish from Southern Italy.\With fish as the main ingredient, many other ingredients are simmered into a stew.\It's a simple yet dynamic dish. response:	It's traditional to use olive oil, tomatoes, and shellfish.
context: Ah!\So many different seafood ingredients on the young Kurokiba's prep surface!\I also see ripe tomatoes and olive oil.\He probably intends to make acqua pazza.\Acqua pazzaa regional dish from Southern Italy.\With fish as the main ingredient, many other ingredients are simmered into a stew.\It's a simple yet dynamic dish.\It's traditional to use olive oil, tomatoes, and shellfish. response:	It's also notable that the dish doesn't use much in the way of seasoning.
context: So many different seafood ingredients on the young Kurokiba's prep surface!\I also see ripe tomatoes and olive oil.\He probably intends to make acqua pazza.\Acqua pazzaa regional dish from Southern Italy.\With fish as the main ingredient, many other ingredients are simmered into a stew.\It's a simple yet dynamic dish.\It's traditional to use olive oil, tomatoes, and shellfish.\It's also notable that the dish doesn't use much in the way of seasoning. response:	Because of its simplicity, the quality of its ingredients comes to the fore.
context: I also see ripe tomatoes and olive oil.\He probably intends to make acqua pazza.\Acqua pazzaa regional dish from Southern Italy.\With fish as the main ingredient, many other ingredients are simmered into a stew.\It's a simple yet dynamic dish.\It's traditional to use olive oil, tomatoes, and shellfish.\It's also notable that the dish doesn't use much in the way of seasoning.\Because of its simplicity, the quality of its ingredients comes to the fore. response:	It's a great dish to showcase his ability to judge his ingredients.
context: He probably intends to make acqua pazza.\Acqua pazzaa regional dish from Southern Italy.\With fish as the main ingredient, many other ingredients are simmered into a stew.\It's a simple yet dynamic dish.\It's traditional to use olive oil, tomatoes, and shellfish.\It's also notable that the dish doesn't use much in the way of seasoning.\Because of its simplicity, the quality of its ingredients comes to the fore.\It's a great dish to showcase his ability to judge his ingredients. response:	But each and every ingredient is strong enough to be the main player.
context: Acqua pazzaa regional dish from Southern Italy.\With fish as the main ingredient, many other ingredients are simmered into a stew.\It's a simple yet dynamic dish.\It's traditional to use olive oil, tomatoes, and shellfish.\It's also notable that the dish doesn't use much in the way of seasoning.\Because of its simplicity, the quality of its ingredients comes to the fore.\It's a great dish to showcase his ability to judge his ingredients.\But each and every ingredient is strong enough to be the main player. response:	Wouldn't blindly boiling them down together
context: With fish as the main ingredient, many other ingredients are simmered into a stew.\It's a simple yet dynamic dish.\It's traditional to use olive oil, tomatoes, and shellfish.\It's also notable that the dish doesn't use much in the way of seasoning.\Because of its simplicity, the quality of its ingredients comes to the fore.\It's a great dish to showcase his ability to judge his ingredients.\But each and every ingredient is strong enough to be the main player.\Wouldn't blindly boiling them down together response:	actually eclipse the Pacific saury's strengths?
context: It's a simple yet dynamic dish.\It's traditional to use olive oil, tomatoes, and shellfish.\It's also notable that the dish doesn't use much in the way of seasoning.\Because of its simplicity, the quality of its ingredients comes to the fore.\It's a great dish to showcase his ability to judge his ingredients.\But each and every ingredient is strong enough to be the main player.\Wouldn't blindly boiling them down together\actually eclipse the Pacific saury's strengths? response:	True, and the Pacific saury's in season, too...
context: It's traditional to use olive oil, tomatoes, and shellfish.\It's also notable that the dish doesn't use much in the way of seasoning.\Because of its simplicity, the quality of its ingredients comes to the fore.\It's a great dish to showcase his ability to judge his ingredients.\But each and every ingredient is strong enough to be the main player.\Wouldn't blindly boiling them down together\actually eclipse the Pacific saury's strengths?\True, and the Pacific saury's in season, too... response:	In season!
context: It's also notable that the dish doesn't use much in the way of seasoning.\Because of its simplicity, the quality of its ingredients comes to the fore.\It's a great dish to showcase his ability to judge his ingredients.\But each and every ingredient is strong enough to be the main player.\Wouldn't blindly boiling them down together\actually eclipse the Pacific saury's strengths?\True, and the Pacific saury's in season, too...\In season! response:	That's it.
context: Because of its simplicity, the quality of its ingredients comes to the fore.\It's a great dish to showcase his ability to judge his ingredients.\But each and every ingredient is strong enough to be the main player.\Wouldn't blindly boiling them down together\actually eclipse the Pacific saury's strengths?\True, and the Pacific saury's in season, too...\In season!\That's it. response:	Because it's in season, the Pacific saury won't be eclipsed.
context: It's a great dish to showcase his ability to judge his ingredients.\But each and every ingredient is strong enough to be the main player.\Wouldn't blindly boiling them down together\actually eclipse the Pacific saury's strengths?\True, and the Pacific saury's in season, too...\In season!\That's it.\Because it's in season, the Pacific saury won't be eclipsed. response:	Rather, it has the potential to become a solid foundation for the entire dish.
context: But each and every ingredient is strong enough to be the main player.\Wouldn't blindly boiling them down together\actually eclipse the Pacific saury's strengths?\True, and the Pacific saury's in season, too...\In season!\That's it.\Because it's in season, the Pacific saury won't be eclipsed.\Rather, it has the potential to become a solid foundation for the entire dish. response:	He was able to select that dish precisely because
context: Wouldn't blindly boiling them down together\actually eclipse the Pacific saury's strengths?\True, and the Pacific saury's in season, too...\In season!\That's it.\Because it's in season, the Pacific saury won't be eclipsed.\Rather, it has the potential to become a solid foundation for the entire dish.\He was able to select that dish precisely because response:	he has such confidence in his ability to judge ingredients.
context: actually eclipse the Pacific saury's strengths?\True, and the Pacific saury's in season, too...\In season!\That's it.\Because it's in season, the Pacific saury won't be eclipsed.\Rather, it has the potential to become a solid foundation for the entire dish.\He was able to select that dish precisely because\he has such confidence in his ability to judge ingredients. response:	Above all, he's very calm.
context: True, and the Pacific saury's in season, too...\In season!\That's it.\Because it's in season, the Pacific saury won't be eclipsed.\Rather, it has the potential to become a solid foundation for the entire dish.\He was able to select that dish precisely because\he has such confidence in his ability to judge ingredients.\Above all, he's very calm. response:	I don't sense any nerves or eagerness toward the match in him.
context: In season!\That's it.\Because it's in season, the Pacific saury won't be eclipsed.\Rather, it has the potential to become a solid foundation for the entire dish.\He was able to select that dish precisely because\he has such confidence in his ability to judge ingredients.\Above all, he's very calm.\I don't sense any nerves or eagerness toward the match in him. response:	Very impressive.
context: That's it.\Because it's in season, the Pacific saury won't be eclipsed.\Rather, it has the potential to become a solid foundation for the entire dish.\He was able to select that dish precisely because\he has such confidence in his ability to judge ingredients.\Above all, he's very calm.\I don't sense any nerves or eagerness toward the match in him.\Very impressive. response:	Of course you wouldn't, Chef Dojima.
context: Because it's in season, the Pacific saury won't be eclipsed.\Rather, it has the potential to become a solid foundation for the entire dish.\He was able to select that dish precisely because\he has such confidence in his ability to judge ingredients.\Above all, he's very calm.\I don't sense any nerves or eagerness toward the match in him.\Very impressive.\Of course you wouldn't, Chef Dojima. response:	Ryo-kun has faced me in cooking battles for a very long time now!
context: Rather, it has the potential to become a solid foundation for the entire dish.\He was able to select that dish precisely because\he has such confidence in his ability to judge ingredients.\Above all, he's very calm.\I don't sense any nerves or eagerness toward the match in him.\Very impressive.\Of course you wouldn't, Chef Dojima.\Ryo-kun has faced me in cooking battles for a very long time now! response:	Very nostalgic.
context: He was able to select that dish precisely because\he has such confidence in his ability to judge ingredients.\Above all, he's very calm.\I don't sense any nerves or eagerness toward the match in him.\Very impressive.\Of course you wouldn't, Chef Dojima.\Ryo-kun has faced me in cooking battles for a very long time now!\Very nostalgic. response:	You were both so young. Very cute, it was.
context: he has such confidence in his ability to judge ingredients.\Above all, he's very calm.\I don't sense any nerves or eagerness toward the match in him.\Very impressive.\Of course you wouldn't, Chef Dojima.\Ryo-kun has faced me in cooking battles for a very long time now!\Very nostalgic.\You were both so young. Very cute, it was. response:	You knew him back when he was still in Scandinavia, Leonora-obasama.
context: Above all, he's very calm.\I don't sense any nerves or eagerness toward the match in him.\Very impressive.\Of course you wouldn't, Chef Dojima.\Ryo-kun has faced me in cooking battles for a very long time now!\Very nostalgic.\You were both so young. Very cute, it was.\You knew him back when he was still in Scandinavia, Leonora-obasama. response:	Obaa-sama?!
context: I don't sense any nerves or eagerness toward the match in him.\Very impressive.\Of course you wouldn't, Chef Dojima.\Ryo-kun has faced me in cooking battles for a very long time now!\Very nostalgic.\You were both so young. Very cute, it was.\You knew him back when he was still in Scandinavia, Leonora-obasama.\Obaa-sama?! response:	How rude!
context: Very impressive.\Of course you wouldn't, Chef Dojima.\Ryo-kun has faced me in cooking battles for a very long time now!\Very nostalgic.\You were both so young. Very cute, it was.\You knew him back when he was still in Scandinavia, Leonora-obasama.\Obaa-sama?!\How rude! response:	Showing off your youth! Selfish, Erina-chan!
context: Of course you wouldn't, Chef Dojima.\Ryo-kun has faced me in cooking battles for a very long time now!\Very nostalgic.\You were both so young. Very cute, it was.\You knew him back when he was still in Scandinavia, Leonora-obasama.\Obaa-sama?!\How rude!\Showing off your youth! Selfish, Erina-chan! response:	That's not what I said!
context: Ryo-kun has faced me in cooking battles for a very long time now!\Very nostalgic.\You were both so young. Very cute, it was.\You knew him back when he was still in Scandinavia, Leonora-obasama.\Obaa-sama?!\How rude!\Showing off your youth! Selfish, Erina-chan!\That's not what I said! response:	Oba-sama and Obaa-sama are two different words!
context: Very nostalgic.\You were both so young. Very cute, it was.\You knew him back when he was still in Scandinavia, Leonora-obasama.\Obaa-sama?!\How rude!\Showing off your youth! Selfish, Erina-chan!\That's not what I said!\Oba-sama and Obaa-sama are two different words! response:	So this is the boy, Alice?
context: You were both so young. Very cute, it was.\You knew him back when he was still in Scandinavia, Leonora-obasama.\Obaa-sama?!\How rude!\Showing off your youth! Selfish, Erina-chan!\That's not what I said!\Oba-sama and Obaa-sama are two different words!\So this is the boy, Alice? response:	Yes, Mother!
context: You knew him back when he was still in Scandinavia, Leonora-obasama.\Obaa-sama?!\How rude!\Showing off your youth! Selfish, Erina-chan!\That's not what I said!\Oba-sama and Obaa-sama are two different words!\So this is the boy, Alice?\Yes, Mother! response:	I want to make him my aide!
context: Obaa-sama?!\How rude!\Showing off your youth! Selfish, Erina-chan!\That's not what I said!\Oba-sama and Obaa-sama are two different words!\So this is the boy, Alice?\Yes, Mother!\I want to make him my aide! response:	Let go.
context: How rude!\Showing off your youth! Selfish, Erina-chan!\That's not what I said!\Oba-sama and Obaa-sama are two different words!\So this is the boy, Alice?\Yes, Mother!\I want to make him my aide!\Let go. response:	I'm prepping.
context: Showing off your youth! Selfish, Erina-chan!\That's not what I said!\Oba-sama and Obaa-sama are two different words!\So this is the boy, Alice?\Yes, Mother!\I want to make him my aide!\Let go.\I'm prepping. response:	Erina has a secretary now!
context: That's not what I said!\Oba-sama and Obaa-sama are two different words!\So this is the boy, Alice?\Yes, Mother!\I want to make him my aide!\Let go.\I'm prepping.\Erina has a secretary now! response:	I want an aide around my own age, too!
context: Oba-sama and Obaa-sama are two different words!\So this is the boy, Alice?\Yes, Mother!\I want to make him my aide!\Let go.\I'm prepping.\Erina has a secretary now!\I want an aide around my own age, too! response:	Well, we should ask your father.
context: So this is the boy, Alice?\Yes, Mother!\I want to make him my aide!\Let go.\I'm prepping.\Erina has a secretary now!\I want an aide around my own age, too!\Well, we should ask your father. response:	Don't act like I'm not even here!
context: Yes, Mother!\I want to make him my aide!\Let go.\I'm prepping.\Erina has a secretary now!\I want an aide around my own age, too!\Well, we should ask your father.\Don't act like I'm not even here! response:	I'm already the head chef of this restaurant!
