context: Hey. response:	How's it going?
context: So what if you get humiliated, or if they all laugh at you?\It's not like they're going to abandon you.\After all, you're not Beethoven.\And of course, you're not Chopin, either.\I know that.\Oh? Well, then...\Who are you?\And where are you? response:	All right... Are you ready to go on your journey?
context: It's not like they're going to abandon you.\After all, you're not Beethoven.\And of course, you're not Chopin, either.\I know that.\Oh? Well, then...\Who are you?\And where are you?\All right... Are you ready to go on your journey? response:	Go for it, Watari!
context: After all, you're not Beethoven.\And of course, you're not Chopin, either.\I know that.\Oh? Well, then...\Who are you?\And where are you?\All right... Are you ready to go on your journey?\Go for it, Watari! response:	Cover him!
context: And of course, you're not Chopin, either.\I know that.\Oh? Well, then...\Who are you?\And where are you?\All right... Are you ready to go on your journey?\Go for it, Watari!\Cover him! response:	Here he comes from the right!
context: I know that.\Oh? Well, then...\Who are you?\And where are you?\All right... Are you ready to go on your journey?\Go for it, Watari!\Cover him!\Here he comes from the right! response:	They switched.
context: Oh? Well, then...\Who are you?\And where are you?\All right... Are you ready to go on your journey?\Go for it, Watari!\Cover him!\Here he comes from the right!\They switched. response:	Go!
context: Who are you?\And where are you?\All right... Are you ready to go on your journey?\Go for it, Watari!\Cover him!\Here he comes from the right!\They switched.\Go! response:	All right!
context: And where are you?\All right... Are you ready to go on your journey?\Go for it, Watari!\Cover him!\Here he comes from the right!\They switched.\Go!\All right! response:	Daito Middle Sumiya Middle
context: All right... Are you ready to go on your journey?\Go for it, Watari!\Cover him!\Here he comes from the right!\They switched.\Go!\All right!\Daito Middle Sumiya Middle response:	That whistle...
context: Go for it, Watari!\Cover him!\Here he comes from the right!\They switched.\Go!\All right!\Daito Middle Sumiya Middle\That whistle... response:	So Watari ended up losing, too...
context: Cover him!\Here he comes from the right!\They switched.\Go!\All right!\Daito Middle Sumiya Middle\That whistle...\So Watari ended up losing, too... response:	Too bad.
context: Here he comes from the right!\They switched.\Go!\All right!\Daito Middle Sumiya Middle\That whistle...\So Watari ended up losing, too...\Too bad. response:	Hey, don't cry. We gave it our best shot, didn't we?
context: They switched.\Go!\All right!\Daito Middle Sumiya Middle\That whistle...\So Watari ended up losing, too...\Too bad.\Hey, don't cry. We gave it our best shot, didn't we? response:	Come on, we gotta go shake hands.
context: Go!\All right!\Daito Middle Sumiya Middle\That whistle...\So Watari ended up losing, too...\Too bad.\Hey, don't cry. We gave it our best shot, didn't we?\Come on, we gotta go shake hands. response:	Watari!
context: All right!\Daito Middle Sumiya Middle\That whistle...\So Watari ended up losing, too...\Too bad.\Hey, don't cry. We gave it our best shot, didn't we?\Come on, we gotta go shake hands.\Watari! response:	Thanks for rooting for us.
context: Daito Middle Sumiya Middle\That whistle...\So Watari ended up losing, too...\Too bad.\Hey, don't cry. We gave it our best shot, didn't we?\Come on, we gotta go shake hands.\Watari!\Thanks for rooting for us. response:	You were really cool.
context: That whistle...\So Watari ended up losing, too...\Too bad.\Hey, don't cry. We gave it our best shot, didn't we?\Come on, we gotta go shake hands.\Watari!\Thanks for rooting for us.\You were really cool. response:	Well, I missed my chance at becoming a star. So the rest is up to you!
context: So Watari ended up losing, too...\Too bad.\Hey, don't cry. We gave it our best shot, didn't we?\Come on, we gotta go shake hands.\Watari!\Thanks for rooting for us.\You were really cool.\Well, I missed my chance at becoming a star. So the rest is up to you! response:	Let's play again in high school, okay?
context: Too bad.\Hey, don't cry. We gave it our best shot, didn't we?\Come on, we gotta go shake hands.\Watari!\Thanks for rooting for us.\You were really cool.\Well, I missed my chance at becoming a star. So the rest is up to you!\Let's play again in high school, okay? response:	Watari!
context: Hey, don't cry. We gave it our best shot, didn't we?\Come on, we gotta go shake hands.\Watari!\Thanks for rooting for us.\You were really cool.\Well, I missed my chance at becoming a star. So the rest is up to you!\Let's play again in high school, okay?\Watari! response:	Seriously, you were cool.
context: Come on, we gotta go shake hands.\Watari!\Thanks for rooting for us.\You were really cool.\Well, I missed my chance at becoming a star. So the rest is up to you!\Let's play again in high school, okay?\Watari!\Seriously, you were cool. response:	So I'll have to wait till high school to become a star, huh?
context: Watari!\Thanks for rooting for us.\You were really cool.\Well, I missed my chance at becoming a star. So the rest is up to you!\Let's play again in high school, okay?\Watari!\Seriously, you were cool.\So I'll have to wait till high school to become a star, huh? response:	Dammit!
context: Thanks for rooting for us.\You were really cool.\Well, I missed my chance at becoming a star. So the rest is up to you!\Let's play again in high school, okay?\Watari!\Seriously, you were cool.\So I'll have to wait till high school to become a star, huh?\Dammit! response:	Dammit! Dammit! No way am I gonna lose next time, all right?
context: You were really cool.\Well, I missed my chance at becoming a star. So the rest is up to you!\Let's play again in high school, okay?\Watari!\Seriously, you were cool.\So I'll have to wait till high school to become a star, huh?\Dammit!\Dammit! Dammit! No way am I gonna lose next time, all right? response:	Watari and Tsubaki... their last junior high tournaments have ended.
context: Well, I missed my chance at becoming a star. So the rest is up to you!\Let's play again in high school, okay?\Watari!\Seriously, you were cool.\So I'll have to wait till high school to become a star, huh?\Dammit!\Dammit! Dammit! No way am I gonna lose next time, all right?\Watari and Tsubaki... their last junior high tournaments have ended. response:	Maihou Competition
context: Let's play again in high school, okay?\Watari!\Seriously, you were cool.\So I'll have to wait till high school to become a star, huh?\Dammit!\Dammit! Dammit! No way am I gonna lose next time, all right?\Watari and Tsubaki... their last junior high tournaments have ended.\Maihou Competition response:	I'm at the point where I can play my selection by heart.
context: Watari!\Seriously, you were cool.\So I'll have to wait till high school to become a star, huh?\Dammit!\Dammit! Dammit! No way am I gonna lose next time, all right?\Watari and Tsubaki... their last junior high tournaments have ended.\Maihou Competition\I'm at the point where I can play my selection by heart. response:	But...
context: Seriously, you were cool.\So I'll have to wait till high school to become a star, huh?\Dammit!\Dammit! Dammit! No way am I gonna lose next time, all right?\Watari and Tsubaki... their last junior high tournaments have ended.\Maihou Competition\I'm at the point where I can play my selection by heart.\But... response:	Arima! We're in class here! Dial it down!
context: So I'll have to wait till high school to become a star, huh?\Dammit!\Dammit! Dammit! No way am I gonna lose next time, all right?\Watari and Tsubaki... their last junior high tournaments have ended.\Maihou Competition\I'm at the point where I can play my selection by heart.\But...\Arima! We're in class here! Dial it down! response:	Three more laps!
context: Dammit!\Dammit! Dammit! No way am I gonna lose next time, all right?\Watari and Tsubaki... their last junior high tournaments have ended.\Maihou Competition\I'm at the point where I can play my selection by heart.\But...\Arima! We're in class here! Dial it down!\Three more laps! response:	Watari and Tsubaki both sparkled. And so did you...
context: Dammit! Dammit! No way am I gonna lose next time, all right?\Watari and Tsubaki... their last junior high tournaments have ended.\Maihou Competition\I'm at the point where I can play my selection by heart.\But...\Arima! We're in class here! Dial it down!\Three more laps!\Watari and Tsubaki both sparkled. And so did you... response:	You were there... so commanding.
context: Watari and Tsubaki... their last junior high tournaments have ended.\Maihou Competition\I'm at the point where I can play my selection by heart.\But...\Arima! We're in class here! Dial it down!\Three more laps!\Watari and Tsubaki both sparkled. And so did you...\You were there... so commanding. response:	Do I have a deep understanding?
context: Maihou Competition\I'm at the point where I can play my selection by heart.\But...\Arima! We're in class here! Dial it down!\Three more laps!\Watari and Tsubaki both sparkled. And so did you...\You were there... so commanding.\Do I have a deep understanding? response:	Have I made Chopin my own?
context: I'm at the point where I can play my selection by heart.\But...\Arima! We're in class here! Dial it down!\Three more laps!\Watari and Tsubaki both sparkled. And so did you...\You were there... so commanding.\Do I have a deep understanding?\Have I made Chopin my own? response:	Somewhere in this music that follows these notes...
context: But...\Arima! We're in class here! Dial it down!\Three more laps!\Watari and Tsubaki both sparkled. And so did you...\You were there... so commanding.\Do I have a deep understanding?\Have I made Chopin my own?\Somewhere in this music that follows these notes... response:	Where exactly are you in all this?
context: Arima! We're in class here! Dial it down!\Three more laps!\Watari and Tsubaki both sparkled. And so did you...\You were there... so commanding.\Do I have a deep understanding?\Have I made Chopin my own?\Somewhere in this music that follows these notes...\Where exactly are you in all this? response:	Arima!
context: Three more laps!\Watari and Tsubaki both sparkled. And so did you...\You were there... so commanding.\Do I have a deep understanding?\Have I made Chopin my own?\Somewhere in this music that follows these notes...\Where exactly are you in all this?\Arima! response:	I don't know.
context: Watari and Tsubaki both sparkled. And so did you...\You were there... so commanding.\Do I have a deep understanding?\Have I made Chopin my own?\Somewhere in this music that follows these notes...\Where exactly are you in all this?\Arima!\I don't know. response:	Somebody get him some water!
context: You were there... so commanding.\Do I have a deep understanding?\Have I made Chopin my own?\Somewhere in this music that follows these notes...\Where exactly are you in all this?\Arima!\I don't know.\Somebody get him some water! response:	Go get the nurse.
context: Do I have a deep understanding?\Have I made Chopin my own?\Somewhere in this music that follows these notes...\Where exactly are you in all this?\Arima!\I don't know.\Somebody get him some water!\Go get the nurse. response:	I don't know.
context: Have I made Chopin my own?\Somewhere in this music that follows these notes...\Where exactly are you in all this?\Arima!\I don't know.\Somebody get him some water!\Go get the nurse.\I don't know. response:	I don't know.
context: Somewhere in this music that follows these notes...\Where exactly are you in all this?\Arima!\I don't know.\Somebody get him some water!\Go get the nurse.\I don't know.\I don't know. response:	Friend A!
context: Where exactly are you in all this?\Arima!\I don't know.\Somebody get him some water!\Go get the nurse.\I don't know.\I don't know.\Friend A! response:	Yes?
context: Arima!\I don't know.\Somebody get him some water!\Go get the nurse.\I don't know.\I don't know.\Friend A!\Yes? response:	*Munch Munch*
context: I don't know.\Somebody get him some water!\Go get the nurse.\I don't know.\I don't know.\Friend A!\Yes?\*Munch Munch* response:	Yeees?
context: Somebody get him some water!\Go get the nurse.\I don't know.\I don't know.\Friend A!\Yes?\*Munch Munch*\Yeees? response:	I don't believe you!
context: Go get the nurse.\I don't know.\I don't know.\Friend A!\Yes?\*Munch Munch*\Yeees?\I don't believe you! response:	Skipping meals... passing out! Your body is an important asset!
context: I don't know.\I don't know.\Friend A!\Yes?\*Munch Munch*\Yeees?\I don't believe you!\Skipping meals... passing out! Your body is an important asset! response:	What was I supposed to do? I was totally immersed, you know.
context: I don't know.\Friend A!\Yes?\*Munch Munch*\Yeees?\I don't believe you!\Skipping meals... passing out! Your body is an important asset!\What was I supposed to do? I was totally immersed, you know. response:	I felt better after I ate the egg sandwiches Tsubaki gave me.
context: Friend A!\Yes?\*Munch Munch*\Yeees?\I don't believe you!\Skipping meals... passing out! Your body is an important asset!\What was I supposed to do? I was totally immersed, you know.\I felt better after I ate the egg sandwiches Tsubaki gave me. response:	Five packs of them.
context: Yes?\*Munch Munch*\Yeees?\I don't believe you!\Skipping meals... passing out! Your body is an important asset!\What was I supposed to do? I was totally immersed, you know.\I felt better after I ate the egg sandwiches Tsubaki gave me.\Five packs of them. response:	Five?
context: *Munch Munch*\Yeees?\I don't believe you!\Skipping meals... passing out! Your body is an important asset!\What was I supposed to do? I was totally immersed, you know.\I felt better after I ate the egg sandwiches Tsubaki gave me.\Five packs of them.\Five? response:	Hey, kitty!
context: Yeees?\I don't believe you!\Skipping meals... passing out! Your body is an important asset!\What was I supposed to do? I was totally immersed, you know.\I felt better after I ate the egg sandwiches Tsubaki gave me.\Five packs of them.\Five?\Hey, kitty! response:	Where are you?
context: I don't believe you!\Skipping meals... passing out! Your body is an important asset!\What was I supposed to do? I was totally immersed, you know.\I felt better after I ate the egg sandwiches Tsubaki gave me.\Five packs of them.\Five?\Hey, kitty!\Where are you? response:	Are you all right? There's a park over there, so...
context: Skipping meals... passing out! Your body is an important asset!\What was I supposed to do? I was totally immersed, you know.\I felt better after I ate the egg sandwiches Tsubaki gave me.\Five packs of them.\Five?\Hey, kitty!\Where are you?\Are you all right? There's a park over there, so... response:	When I was a kid,
context: What was I supposed to do? I was totally immersed, you know.\I felt better after I ate the egg sandwiches Tsubaki gave me.\Five packs of them.\Five?\Hey, kitty!\Where are you?\Are you all right? There's a park over there, so...\When I was a kid, response:	I had a black cat.
context: I felt better after I ate the egg sandwiches Tsubaki gave me.\Five packs of them.\Five?\Hey, kitty!\Where are you?\Are you all right? There's a park over there, so...\When I was a kid,\I had a black cat. response:	She would eat my candy whenever I wasn't looking,
context: Five packs of them.\Five?\Hey, kitty!\Where are you?\Are you all right? There's a park over there, so...\When I was a kid,\I had a black cat.\She would eat my candy whenever I wasn't looking, response:	so I named her Chelsea.
context: Five?\Hey, kitty!\Where are you?\Are you all right? There's a park over there, so...\When I was a kid,\I had a black cat.\She would eat my candy whenever I wasn't looking,\so I named her Chelsea. response:	I was fooling around with Chelsea like always. I guess I was over-attentive.
context: Hey, kitty!\Where are you?\Are you all right? There's a park over there, so...\When I was a kid,\I had a black cat.\She would eat my candy whenever I wasn't looking,\so I named her Chelsea.\I was fooling around with Chelsea like always. I guess I was over-attentive. response:	One day, she scratched my hand.
context: Where are you?\Are you all right? There's a park over there, so...\When I was a kid,\I had a black cat.\She would eat my candy whenever I wasn't looking,\so I named her Chelsea.\I was fooling around with Chelsea like always. I guess I was over-attentive.\One day, she scratched my hand. response:	My hand was bright red. The blood was gushing, and wouldn't stop... I panicked.
context: Are you all right? There's a park over there, so...\When I was a kid,\I had a black cat.\She would eat my candy whenever I wasn't looking,\so I named her Chelsea.\I was fooling around with Chelsea like always. I guess I was over-attentive.\One day, she scratched my hand.\My hand was bright red. The blood was gushing, and wouldn't stop... I panicked. response:	The next day, my mother took her somewhere and abandoned her.
context: When I was a kid,\I had a black cat.\She would eat my candy whenever I wasn't looking,\so I named her Chelsea.\I was fooling around with Chelsea like always. I guess I was over-attentive.\One day, she scratched my hand.\My hand was bright red. The blood was gushing, and wouldn't stop... I panicked.\The next day, my mother took her somewhere and abandoned her. response:	I'm doing this for you.
context: I had a black cat.\She would eat my candy whenever I wasn't looking,\so I named her Chelsea.\I was fooling around with Chelsea like always. I guess I was over-attentive.\One day, she scratched my hand.\My hand was bright red. The blood was gushing, and wouldn't stop... I panicked.\The next day, my mother took her somewhere and abandoned her.\I'm doing this for you. response:	The scars Chelsea left me remind me of my mother.
context: She would eat my candy whenever I wasn't looking,\so I named her Chelsea.\I was fooling around with Chelsea like always. I guess I was over-attentive.\One day, she scratched my hand.\My hand was bright red. The blood was gushing, and wouldn't stop... I panicked.\The next day, my mother took her somewhere and abandoned her.\I'm doing this for you.\The scars Chelsea left me remind me of my mother. response:	Who knew one of my few memories would be something like this?
context: so I named her Chelsea.\I was fooling around with Chelsea like always. I guess I was over-attentive.\One day, she scratched my hand.\My hand was bright red. The blood was gushing, and wouldn't stop... I panicked.\The next day, my mother took her somewhere and abandoned her.\I'm doing this for you.\The scars Chelsea left me remind me of my mother.\Who knew one of my few memories would be something like this? response:	I just stared at my mother's back without a word as she took Chelsea away.
context: I was fooling around with Chelsea like always. I guess I was over-attentive.\One day, she scratched my hand.\My hand was bright red. The blood was gushing, and wouldn't stop... I panicked.\The next day, my mother took her somewhere and abandoned her.\I'm doing this for you.\The scars Chelsea left me remind me of my mother.\Who knew one of my few memories would be something like this?\I just stared at my mother's back without a word as she took Chelsea away. response:	Stop it! or Wait a minute...
context: One day, she scratched my hand.\My hand was bright red. The blood was gushing, and wouldn't stop... I panicked.\The next day, my mother took her somewhere and abandoned her.\I'm doing this for you.\The scars Chelsea left me remind me of my mother.\Who knew one of my few memories would be something like this?\I just stared at my mother's back without a word as she took Chelsea away.\Stop it! or Wait a minute... response:	If I'd say something like that, things might have been different.
context: My hand was bright red. The blood was gushing, and wouldn't stop... I panicked.\The next day, my mother took her somewhere and abandoned her.\I'm doing this for you.\The scars Chelsea left me remind me of my mother.\Who knew one of my few memories would be something like this?\I just stared at my mother's back without a word as she took Chelsea away.\Stop it! or Wait a minute...\If I'd say something like that, things might have been different. response:	Ever since that day, I've been in my mom's shadow.
context: The next day, my mother took her somewhere and abandoned her.\I'm doing this for you.\The scars Chelsea left me remind me of my mother.\Who knew one of my few memories would be something like this?\I just stared at my mother's back without a word as she took Chelsea away.\Stop it! or Wait a minute...\If I'd say something like that, things might have been different.\Ever since that day, I've been in my mom's shadow. response:	You like egg sandwiches.
context: I'm doing this for you.\The scars Chelsea left me remind me of my mother.\Who knew one of my few memories would be something like this?\I just stared at my mother's back without a word as she took Chelsea away.\Stop it! or Wait a minute...\If I'd say something like that, things might have been different.\Ever since that day, I've been in my mom's shadow.\You like egg sandwiches. response:	You also like Moo Moo Brand milk. Unexpectedly, you have a sweet tooth, too.
context: The scars Chelsea left me remind me of my mother.\Who knew one of my few memories would be something like this?\I just stared at my mother's back without a word as she took Chelsea away.\Stop it! or Wait a minute...\If I'd say something like that, things might have been different.\Ever since that day, I've been in my mom's shadow.\You like egg sandwiches.\You also like Moo Moo Brand milk. Unexpectedly, you have a sweet tooth, too. response:	You're not good at sports.
context: Who knew one of my few memories would be something like this?\I just stared at my mother's back without a word as she took Chelsea away.\Stop it! or Wait a minute...\If I'd say something like that, things might have been different.\Ever since that day, I've been in my mom's shadow.\You like egg sandwiches.\You also like Moo Moo Brand milk. Unexpectedly, you have a sweet tooth, too.\You're not good at sports. response:	You're no match for Tsubaki-chan,
context: I just stared at my mother's back without a word as she took Chelsea away.\Stop it! or Wait a minute...\If I'd say something like that, things might have been different.\Ever since that day, I've been in my mom's shadow.\You like egg sandwiches.\You also like Moo Moo Brand milk. Unexpectedly, you have a sweet tooth, too.\You're not good at sports.\You're no match for Tsubaki-chan, response:	and you're a little bit jealous of that chick-magnet, Watari.
context: Stop it! or Wait a minute...\If I'd say something like that, things might have been different.\Ever since that day, I've been in my mom's shadow.\You like egg sandwiches.\You also like Moo Moo Brand milk. Unexpectedly, you have a sweet tooth, too.\You're not good at sports.\You're no match for Tsubaki-chan,\and you're a little bit jealous of that chick-magnet, Watari. response:	You're not in your mother's shadow at all.
context: If I'd say something like that, things might have been different.\Ever since that day, I've been in my mom's shadow.\You like egg sandwiches.\You also like Moo Moo Brand milk. Unexpectedly, you have a sweet tooth, too.\You're not good at sports.\You're no match for Tsubaki-chan,\and you're a little bit jealous of that chick-magnet, Watari.\You're not in your mother's shadow at all. response:	You're you. To be like you... - it's not so ambiguous as that.
context: Ever since that day, I've been in my mom's shadow.\You like egg sandwiches.\You also like Moo Moo Brand milk. Unexpectedly, you have a sweet tooth, too.\You're not good at sports.\You're no match for Tsubaki-chan,\and you're a little bit jealous of that chick-magnet, Watari.\You're not in your mother's shadow at all.\You're you. To be like you... - it's not so ambiguous as that. response:	No matter what you do, no matter how you change, it doesn't mean a thing.
context: You like egg sandwiches.\You also like Moo Moo Brand milk. Unexpectedly, you have a sweet tooth, too.\You're not good at sports.\You're no match for Tsubaki-chan,\and you're a little bit jealous of that chick-magnet, Watari.\You're not in your mother's shadow at all.\You're you. To be like you... - it's not so ambiguous as that.\No matter what you do, no matter how you change, it doesn't mean a thing. response:	You're just you, no matter what.
context: You also like Moo Moo Brand milk. Unexpectedly, you have a sweet tooth, too.\You're not good at sports.\You're no match for Tsubaki-chan,\and you're a little bit jealous of that chick-magnet, Watari.\You're not in your mother's shadow at all.\You're you. To be like you... - it's not so ambiguous as that.\No matter what you do, no matter how you change, it doesn't mean a thing.\You're just you, no matter what. response:	You and I weren't born in Europe, and we don't have weird haircuts.
context: You're not good at sports.\You're no match for Tsubaki-chan,\and you're a little bit jealous of that chick-magnet, Watari.\You're not in your mother's shadow at all.\You're you. To be like you... - it's not so ambiguous as that.\No matter what you do, no matter how you change, it doesn't mean a thing.\You're just you, no matter what.\You and I weren't born in Europe, and we don't have weird haircuts. response:	We're not Chopin, after all.
context: You're no match for Tsubaki-chan,\and you're a little bit jealous of that chick-magnet, Watari.\You're not in your mother's shadow at all.\You're you. To be like you... - it's not so ambiguous as that.\No matter what you do, no matter how you change, it doesn't mean a thing.\You're just you, no matter what.\You and I weren't born in Europe, and we don't have weird haircuts.\We're not Chopin, after all. response:	Just play with sincerity, give the performance of your life with everything you've got.
context: and you're a little bit jealous of that chick-magnet, Watari.\You're not in your mother's shadow at all.\You're you. To be like you... - it's not so ambiguous as that.\No matter what you do, no matter how you change, it doesn't mean a thing.\You're just you, no matter what.\You and I weren't born in Europe, and we don't have weird haircuts.\We're not Chopin, after all.\Just play with sincerity, give the performance of your life with everything you've got. response:	You really have a way with words sometimes.
context: You're not in your mother's shadow at all.\You're you. To be like you... - it's not so ambiguous as that.\No matter what you do, no matter how you change, it doesn't mean a thing.\You're just you, no matter what.\You and I weren't born in Europe, and we don't have weird haircuts.\We're not Chopin, after all.\Just play with sincerity, give the performance of your life with everything you've got.\You really have a way with words sometimes. response:	What was that? Sometimes? Listen, I'm encouraging you here!
context: You're you. To be like you... - it's not so ambiguous as that.\No matter what you do, no matter how you change, it doesn't mean a thing.\You're just you, no matter what.\You and I weren't born in Europe, and we don't have weird haircuts.\We're not Chopin, after all.\Just play with sincerity, give the performance of your life with everything you've got.\You really have a way with words sometimes.\What was that? Sometimes? Listen, I'm encouraging you here! response:	With sincerity...
context: No matter what you do, no matter how you change, it doesn't mean a thing.\You're just you, no matter what.\You and I weren't born in Europe, and we don't have weird haircuts.\We're not Chopin, after all.\Just play with sincerity, give the performance of your life with everything you've got.\You really have a way with words sometimes.\What was that? Sometimes? Listen, I'm encouraging you here!\With sincerity... response:	When you're depressed, it always helps to lean your head on your arms.
context: You're just you, no matter what.\You and I weren't born in Europe, and we don't have weird haircuts.\We're not Chopin, after all.\Just play with sincerity, give the performance of your life with everything you've got.\You really have a way with words sometimes.\What was that? Sometimes? Listen, I'm encouraging you here!\With sincerity...\When you're depressed, it always helps to lean your head on your arms. response:	Arms like to feel useful.
context: You and I weren't born in Europe, and we don't have weird haircuts.\We're not Chopin, after all.\Just play with sincerity, give the performance of your life with everything you've got.\You really have a way with words sometimes.\What was that? Sometimes? Listen, I'm encouraging you here!\With sincerity...\When you're depressed, it always helps to lean your head on your arms.\Arms like to feel useful. response:	Who said that?
context: We're not Chopin, after all.\Just play with sincerity, give the performance of your life with everything you've got.\You really have a way with words sometimes.\What was that? Sometimes? Listen, I'm encouraging you here!\With sincerity...\When you're depressed, it always helps to lean your head on your arms.\Arms like to feel useful.\Who said that? response:	Charlie Brown.
context: Just play with sincerity, give the performance of your life with everything you've got.\You really have a way with words sometimes.\What was that? Sometimes? Listen, I'm encouraging you here!\With sincerity...\When you're depressed, it always helps to lean your head on your arms.\Arms like to feel useful.\Who said that?\Charlie Brown. response:	Those are big, knobby hands. They're the hands of a pianist...
context: You really have a way with words sometimes.\What was that? Sometimes? Listen, I'm encouraging you here!\With sincerity...\When you're depressed, it always helps to lean your head on your arms.\Arms like to feel useful.\Who said that?\Charlie Brown.\Those are big, knobby hands. They're the hands of a pianist... response:	See? Just as I thought.
context: What was that? Sometimes? Listen, I'm encouraging you here!\With sincerity...\When you're depressed, it always helps to lean your head on your arms.\Arms like to feel useful.\Who said that?\Charlie Brown.\Those are big, knobby hands. They're the hands of a pianist...\See? Just as I thought. response:	Your hands are happy to be touching mine.
context: With sincerity...\When you're depressed, it always helps to lean your head on your arms.\Arms like to feel useful.\Who said that?\Charlie Brown.\Those are big, knobby hands. They're the hands of a pianist...\See? Just as I thought.\Your hands are happy to be touching mine. response:	They're beside themselves, itching to play the piano!
context: When you're depressed, it always helps to lean your head on your arms.\Arms like to feel useful.\Who said that?\Charlie Brown.\Those are big, knobby hands. They're the hands of a pianist...\See? Just as I thought.\Your hands are happy to be touching mine.\They're beside themselves, itching to play the piano! response:	After struggling, losing my way, and suffering...
context: Arms like to feel useful.\Who said that?\Charlie Brown.\Those are big, knobby hands. They're the hands of a pianist...\See? Just as I thought.\Your hands are happy to be touching mine.\They're beside themselves, itching to play the piano!\After struggling, losing my way, and suffering... response:	The answer I arrived at was so laughably simple...
context: Who said that?\Charlie Brown.\Those are big, knobby hands. They're the hands of a pianist...\See? Just as I thought.\Your hands are happy to be touching mine.\They're beside themselves, itching to play the piano!\After struggling, losing my way, and suffering...\The answer I arrived at was so laughably simple... response:	Hey there. How's it going?
context: Charlie Brown.\Those are big, knobby hands. They're the hands of a pianist...\See? Just as I thought.\Your hands are happy to be touching mine.\They're beside themselves, itching to play the piano!\After struggling, losing my way, and suffering...\The answer I arrived at was so laughably simple...\Hey there. How's it going? response:	So-so, I guess.
context: Those are big, knobby hands. They're the hands of a pianist...\See? Just as I thought.\Your hands are happy to be touching mine.\They're beside themselves, itching to play the piano!\After struggling, losing my way, and suffering...\The answer I arrived at was so laughably simple...\Hey there. How's it going?\So-so, I guess. response:	The competition's tomorrow, right? You still can't hear the notes, can you?
context: See? Just as I thought.\Your hands are happy to be touching mine.\They're beside themselves, itching to play the piano!\After struggling, losing my way, and suffering...\The answer I arrived at was so laughably simple...\Hey there. How's it going?\So-so, I guess.\The competition's tomorrow, right? You still can't hear the notes, can you? response:	Will you be okay?
context: Your hands are happy to be touching mine.\They're beside themselves, itching to play the piano!\After struggling, losing my way, and suffering...\The answer I arrived at was so laughably simple...\Hey there. How's it going?\So-so, I guess.\The competition's tomorrow, right? You still can't hear the notes, can you?\Will you be okay? response:	I don't know.
context: They're beside themselves, itching to play the piano!\After struggling, losing my way, and suffering...\The answer I arrived at was so laughably simple...\Hey there. How's it going?\So-so, I guess.\The competition's tomorrow, right? You still can't hear the notes, can you?\Will you be okay?\I don't know. response:	But see, there's this girl, and she seriously believes in the power of music.
context: After struggling, losing my way, and suffering...\The answer I arrived at was so laughably simple...\Hey there. How's it going?\So-so, I guess.\The competition's tomorrow, right? You still can't hear the notes, can you?\Will you be okay?\I don't know.\But see, there's this girl, and she seriously believes in the power of music. response:	I mean, like crazy.
context: The answer I arrived at was so laughably simple...\Hey there. How's it going?\So-so, I guess.\The competition's tomorrow, right? You still can't hear the notes, can you?\Will you be okay?\I don't know.\But see, there's this girl, and she seriously believes in the power of music.\I mean, like crazy. response:	So I think I'll try believing in it, too.
context: Hey there. How's it going?\So-so, I guess.\The competition's tomorrow, right? You still can't hear the notes, can you?\Will you be okay?\I don't know.\But see, there's this girl, and she seriously believes in the power of music.\I mean, like crazy.\So I think I'll try believing in it, too. response:	That's not really an answer.
