context: Sakura. response:	Sakura.
context: Card Captor Sakura.\I keep saying,\it's impossible for me.\You're too modest.\You see,\You've already got back the Fly card.\Look. Look.\And it was terrible. response:	Breakfast is ready.
context: I keep saying,\it's impossible for me.\You're too modest.\You see,\You've already got back the Fly card.\Look. Look.\And it was terrible.\Breakfast is ready. response:	Good morning, brother.
context: it's impossible for me.\You're too modest.\You see,\You've already got back the Fly card.\Look. Look.\And it was terrible.\Breakfast is ready.\Good morning, brother. response:	She came down after only being called once.
context: You're too modest.\You see,\You've already got back the Fly card.\Look. Look.\And it was terrible.\Breakfast is ready.\Good morning, brother.\She came down after only being called once. response:	I wonder if it's going to rain today.
context: You see,\You've already got back the Fly card.\Look. Look.\And it was terrible.\Breakfast is ready.\Good morning, brother.\She came down after only being called once.\I wonder if it's going to rain today. response:	There was somebody to wake me up today.
context: You've already got back the Fly card.\Look. Look.\And it was terrible.\Breakfast is ready.\Good morning, brother.\She came down after only being called once.\I wonder if it's going to rain today.\There was somebody to wake me up today. response:	Huh?
context: Look. Look.\And it was terrible.\Breakfast is ready.\Good morning, brother.\She came down after only being called once.\I wonder if it's going to rain today.\There was somebody to wake me up today.\Huh? response:	The alarm clock'
context: And it was terrible.\Breakfast is ready.\Good morning, brother.\She came down after only being called once.\I wonder if it's going to rain today.\There was somebody to wake me up today.\Huh?\The alarm clock' response:	Good morning, mom.
context: Breakfast is ready.\Good morning, brother.\She came down after only being called once.\I wonder if it's going to rain today.\There was somebody to wake me up today.\Huh?\The alarm clock'\Good morning, mom. response:	Good morning.
context: Good morning, brother.\She came down after only being called once.\I wonder if it's going to rain today.\There was somebody to wake me up today.\Huh?\The alarm clock'\Good morning, mom.\Good morning. response:	Good morning, dad.
context: She came down after only being called once.\I wonder if it's going to rain today.\There was somebody to wake me up today.\Huh?\The alarm clock'\Good morning, mom.\Good morning.\Good morning, dad. response:	Good morning.
context: I wonder if it's going to rain today.\There was somebody to wake me up today.\Huh?\The alarm clock'\Good morning, mom.\Good morning.\Good morning, dad.\Good morning. response:	It looks good today.
context: There was somebody to wake me up today.\Huh?\The alarm clock'\Good morning, mom.\Good morning.\Good morning, dad.\Good morning.\It looks good today. response:	Well, better than the monster's I suppose.
context: Huh?\The alarm clock'\Good morning, mom.\Good morning.\Good morning, dad.\Good morning.\It looks good today.\Well, better than the monster's I suppose. response:	Well dad, let's eat.
context: The alarm clock'\Good morning, mom.\Good morning.\Good morning, dad.\Good morning.\It looks good today.\Well, better than the monster's I suppose.\Well dad, let's eat. response:	Thanks for breakfast.
context: Good morning, mom.\Good morning.\Good morning, dad.\Good morning.\It looks good today.\Well, better than the monster's I suppose.\Well dad, let's eat.\Thanks for breakfast. response:	You really are early today.
context: Good morning.\Good morning, dad.\Good morning.\It looks good today.\Well, better than the monster's I suppose.\Well dad, let's eat.\Thanks for breakfast.\You really are early today. response:	I have morning cleaning duty,
context: Good morning, dad.\Good morning.\It looks good today.\Well, better than the monster's I suppose.\Well dad, let's eat.\Thanks for breakfast.\You really are early today.\I have morning cleaning duty, response:	Monster.
context: Good morning.\It looks good today.\Well, better than the monster's I suppose.\Well dad, let's eat.\Thanks for breakfast.\You really are early today.\I have morning cleaning duty,\Monster. response:	Here, a present.
context: It looks good today.\Well, better than the monster's I suppose.\Well dad, let's eat.\Thanks for breakfast.\You really are early today.\I have morning cleaning duty,\Monster.\Here, a present. response:	Well, I'm leaving.
context: Well, better than the monster's I suppose.\Well dad, let's eat.\Thanks for breakfast.\You really are early today.\I have morning cleaning duty,\Monster.\Here, a present.\Well, I'm leaving. response:	Modern children sure are busy.
context: Well dad, let's eat.\Thanks for breakfast.\You really are early today.\I have morning cleaning duty,\Monster.\Here, a present.\Well, I'm leaving.\Modern children sure are busy. response:	My dad and brother have school too,
context: Thanks for breakfast.\You really are early today.\I have morning cleaning duty,\Monster.\Here, a present.\Well, I'm leaving.\Modern children sure are busy.\My dad and brother have school too, response:	so if you wait a little you can turn on the TV.
context: You really are early today.\I have morning cleaning duty,\Monster.\Here, a present.\Well, I'm leaving.\Modern children sure are busy.\My dad and brother have school too,\so if you wait a little you can turn on the TV. response:	Your dad is still a student?
context: I have morning cleaning duty,\Monster.\Here, a present.\Well, I'm leaving.\Modern children sure are busy.\My dad and brother have school too,\so if you wait a little you can turn on the TV.\Your dad is still a student? response:	He is a college professor.
context: Monster.\Here, a present.\Well, I'm leaving.\Modern children sure are busy.\My dad and brother have school too,\so if you wait a little you can turn on the TV.\Your dad is still a student?\He is a college professor. response:	Don't leave the room while anybody else is home.
context: Here, a present.\Well, I'm leaving.\Modern children sure are busy.\My dad and brother have school too,\so if you wait a little you can turn on the TV.\Your dad is still a student?\He is a college professor.\Don't leave the room while anybody else is home. response:	Everybody would be shocked.
context: Well, I'm leaving.\Modern children sure are busy.\My dad and brother have school too,\so if you wait a little you can turn on the TV.\Your dad is still a student?\He is a college professor.\Don't leave the room while anybody else is home.\Everybody would be shocked. response:	Fine.
context: Modern children sure are busy.\My dad and brother have school too,\so if you wait a little you can turn on the TV.\Your dad is still a student?\He is a college professor.\Don't leave the room while anybody else is home.\Everybody would be shocked.\Fine. response:	Ah!
context: My dad and brother have school too,\so if you wait a little you can turn on the TV.\Your dad is still a student?\He is a college professor.\Don't leave the room while anybody else is home.\Everybody would be shocked.\Fine.\Ah! response:	It's already this late?
context: so if you wait a little you can turn on the TV.\Your dad is still a student?\He is a college professor.\Don't leave the room while anybody else is home.\Everybody would be shocked.\Fine.\Ah!\It's already this late? response:	I gotta hurry!
context: Your dad is still a student?\He is a college professor.\Don't leave the room while anybody else is home.\Everybody would be shocked.\Fine.\Ah!\It's already this late?\I gotta hurry! response:	I'm leaving!
context: He is a college professor.\Don't leave the room while anybody else is home.\Everybody would be shocked.\Fine.\Ah!\It's already this late?\I gotta hurry!\I'm leaving! response:	I'll take a little detour.
context: Don't leave the room while anybody else is home.\Everybody would be shocked.\Fine.\Ah!\It's already this late?\I gotta hurry!\I'm leaving!\I'll take a little detour. response:	I came to Yukito's place.
context: Everybody would be shocked.\Fine.\Ah!\It's already this late?\I gotta hurry!\I'm leaving!\I'll take a little detour.\I came to Yukito's place. response:	Yukito isn't here.
context: Fine.\Ah!\It's already this late?\I gotta hurry!\I'm leaving!\I'll take a little detour.\I came to Yukito's place.\Yukito isn't here. response:	What?
context: Ah!\It's already this late?\I gotta hurry!\I'm leaving!\I'll take a little detour.\I came to Yukito's place.\Yukito isn't here.\What? response:	You were here?
context: It's already this late?\I gotta hurry!\I'm leaving!\I'll take a little detour.\I came to Yukito's place.\Yukito isn't here.\What?\You were here? response:	Good morning, Sakura-chan.
context: I gotta hurry!\I'm leaving!\I'll take a little detour.\I came to Yukito's place.\Yukito isn't here.\What?\You were here?\Good morning, Sakura-chan. response:	Good morning.
context: I'm leaving!\I'll take a little detour.\I came to Yukito's place.\Yukito isn't here.\What?\You were here?\Good morning, Sakura-chan.\Good morning. response:	You're early.
context: I'll take a little detour.\I came to Yukito's place.\Yukito isn't here.\What?\You were here?\Good morning, Sakura-chan.\Good morning.\You're early. response:	I have cleaning duty.
context: I came to Yukito's place.\Yukito isn't here.\What?\You were here?\Good morning, Sakura-chan.\Good morning.\You're early.\I have cleaning duty. response:	How commendable.
context: Yukito isn't here.\What?\You were here?\Good morning, Sakura-chan.\Good morning.\You're early.\I have cleaning duty.\How commendable. response:	Oh yeah.
context: What?\You were here?\Good morning, Sakura-chan.\Good morning.\You're early.\I have cleaning duty.\How commendable.\Oh yeah. response:	Want to decorate your classroom?
context: You were here?\Good morning, Sakura-chan.\Good morning.\You're early.\I have cleaning duty.\How commendable.\Oh yeah.\Want to decorate your classroom? response:	Is it OK?
context: Good morning, Sakura-chan.\Good morning.\You're early.\I have cleaning duty.\How commendable.\Oh yeah.\Want to decorate your classroom?\Is it OK? response:	Yeah.
context: Good morning.\You're early.\I have cleaning duty.\How commendable.\Oh yeah.\Want to decorate your classroom?\Is it OK?\Yeah. response:	Thank you.
context: You're early.\I have cleaning duty.\How commendable.\Oh yeah.\Want to decorate your classroom?\Is it OK?\Yeah.\Thank you. response:	Take care.
context: I have cleaning duty.\How commendable.\Oh yeah.\Want to decorate your classroom?\Is it OK?\Yeah.\Thank you.\Take care. response:	Thank you so much!
context: How commendable.\Oh yeah.\Want to decorate your classroom?\Is it OK?\Yeah.\Thank you.\Take care.\Thank you so much! response:	I'm going.
context: Oh yeah.\Want to decorate your classroom?\Is it OK?\Yeah.\Thank you.\Take care.\Thank you so much!\I'm going. response:	Today is a good day.
context: Want to decorate your classroom?\Is it OK?\Yeah.\Thank you.\Take care.\Thank you so much!\I'm going.\Today is a good day. response:	Yay! I'm first!
context: Is it OK?\Yeah.\Thank you.\Take care.\Thank you so much!\I'm going.\Today is a good day.\Yay! I'm first! response:	You're early, Sakura-chan.
context: Yeah.\Thank you.\Take care.\Thank you so much!\I'm going.\Today is a good day.\Yay! I'm first!\You're early, Sakura-chan. response:	Good morning, you're early too.
context: Thank you.\Take care.\Thank you so much!\I'm going.\Today is a good day.\Yay! I'm first!\You're early, Sakura-chan.\Good morning, you're early too. response:	Good morning.
context: Take care.\Thank you so much!\I'm going.\Today is a good day.\Yay! I'm first!\You're early, Sakura-chan.\Good morning, you're early too.\Good morning. response:	Did you have some sort of duty too?
context: Thank you so much!\I'm going.\Today is a good day.\Yay! I'm first!\You're early, Sakura-chan.\Good morning, you're early too.\Good morning.\Did you have some sort of duty too? response:	No,
context: I'm going.\Today is a good day.\Yay! I'm first!\You're early, Sakura-chan.\Good morning, you're early too.\Good morning.\Did you have some sort of duty too?\No, response:	I had something I wanted to show you.
context: Today is a good day.\Yay! I'm first!\You're early, Sakura-chan.\Good morning, you're early too.\Good morning.\Did you have some sort of duty too?\No,\I had something I wanted to show you. response:	A video?
context: Yay! I'm first!\You're early, Sakura-chan.\Good morning, you're early too.\Good morning.\Did you have some sort of duty too?\No,\I had something I wanted to show you.\A video? response:	Last night I filmed something very interesting.
context: You're early, Sakura-chan.\Good morning, you're early too.\Good morning.\Did you have some sort of duty too?\No,\I had something I wanted to show you.\A video?\Last night I filmed something very interesting. response:	Ah?
context: Good morning, you're early too.\Good morning.\Did you have some sort of duty too?\No,\I had something I wanted to show you.\A video?\Last night I filmed something very interesting.\Ah? response:	What was that?
context: Good morning.\Did you have some sort of duty too?\No,\I had something I wanted to show you.\A video?\Last night I filmed something very interesting.\Ah?\What was that? response:	This is a close up.
context: Did you have some sort of duty too?\No,\I had something I wanted to show you.\A video?\Last night I filmed something very interesting.\Ah?\What was that?\This is a close up. response:	Huh?!
context: No,\I had something I wanted to show you.\A video?\Last night I filmed something very interesting.\Ah?\What was that?\This is a close up.\Huh?! response:	What's wrong Sakura?
context: I had something I wanted to show you.\A video?\Last night I filmed something very interesting.\Ah?\What was that?\This is a close up.\Huh?!\What's wrong Sakura? response:	Is it a Clow Card?
context: A video?\Last night I filmed something very interesting.\Ah?\What was that?\This is a close up.\Huh?!\What's wrong Sakura?\Is it a Clow Card? response:	Where? I'll fight you so come on!
context: Last night I filmed something very interesting.\Ah?\What was that?\This is a close up.\Huh?!\What's wrong Sakura?\Is it a Clow Card?\Where? I'll fight you so come on! response:	Uh, oh.
context: Ah?\What was that?\This is a close up.\Huh?!\What's wrong Sakura?\Is it a Clow Card?\Where? I'll fight you so come on!\Uh, oh. response:	My, he looks the same.
context: What was that?\This is a close up.\Huh?!\What's wrong Sakura?\Is it a Clow Card?\Where? I'll fight you so come on!\Uh, oh.\My, he looks the same. response:	It was stuffy in there.
context: This is a close up.\Huh?!\What's wrong Sakura?\Is it a Clow Card?\Where? I'll fight you so come on!\Uh, oh.\My, he looks the same.\It was stuffy in there. response:	Why did you come with me?
context: Huh?!\What's wrong Sakura?\Is it a Clow Card?\Where? I'll fight you so come on!\Uh, oh.\My, he looks the same.\It was stuffy in there.\Why did you come with me? response:	I thought I would check out the daily life of the Card Captor.
context: What's wrong Sakura?\Is it a Clow Card?\Where? I'll fight you so come on!\Uh, oh.\My, he looks the same.\It was stuffy in there.\Why did you come with me?\I thought I would check out the daily life of the Card Captor. response:	May we please be introduced.
context: Is it a Clow Card?\Where? I'll fight you so come on!\Uh, oh.\My, he looks the same.\It was stuffy in there.\Why did you come with me?\I thought I would check out the daily life of the Card Captor.\May we please be introduced. response:	He says his name is Cerberus.
context: Where? I'll fight you so come on!\Uh, oh.\My, he looks the same.\It was stuffy in there.\Why did you come with me?\I thought I would check out the daily life of the Card Captor.\May we please be introduced.\He says his name is Cerberus. response:	He doesn't seem to match the name.
context: Uh, oh.\My, he looks the same.\It was stuffy in there.\Why did you come with me?\I thought I would check out the daily life of the Card Captor.\May we please be introduced.\He says his name is Cerberus.\He doesn't seem to match the name. response:	He seems more of a Kero-chan.
context: My, he looks the same.\It was stuffy in there.\Why did you come with me?\I thought I would check out the daily life of the Card Captor.\May we please be introduced.\He says his name is Cerberus.\He doesn't seem to match the name.\He seems more of a Kero-chan. response:	Really.
context: It was stuffy in there.\Why did you come with me?\I thought I would check out the daily life of the Card Captor.\May we please be introduced.\He says his name is Cerberus.\He doesn't seem to match the name.\He seems more of a Kero-chan.\Really. response:	Don't call me like a frog!
context: Why did you come with me?\I thought I would check out the daily life of the Card Captor.\May we please be introduced.\He says his name is Cerberus.\He doesn't seem to match the name.\He seems more of a Kero-chan.\Really.\Don't call me like a frog! response:	I am the beast of the seal who protects the Clow Cards,
context: I thought I would check out the daily life of the Card Captor.\May we please be introduced.\He says his name is Cerberus.\He doesn't seem to match the name.\He seems more of a Kero-chan.\Really.\Don't call me like a frog!\I am the beast of the seal who protects the Clow Cards, response:	Cerberus
context: May we please be introduced.\He says his name is Cerberus.\He doesn't seem to match the name.\He seems more of a Kero-chan.\Really.\Don't call me like a frog!\I am the beast of the seal who protects the Clow Cards,\Cerberus response:	Clow Cards?
context: He says his name is Cerberus.\He doesn't seem to match the name.\He seems more of a Kero-chan.\Really.\Don't call me like a frog!\I am the beast of the seal who protects the Clow Cards,\Cerberus\Clow Cards? response:	Here I go.
context: He doesn't seem to match the name.\He seems more of a Kero-chan.\Really.\Don't call me like a frog!\I am the beast of the seal who protects the Clow Cards,\Cerberus\Clow Cards?\Here I go. response:	Here.
context: He seems more of a Kero-chan.\Really.\Don't call me like a frog!\I am the beast of the seal who protects the Clow Cards,\Cerberus\Clow Cards?\Here I go.\Here. response:	And therefore Sakura became Card Captor Sakura.
context: Really.\Don't call me like a frog!\I am the beast of the seal who protects the Clow Cards,\Cerberus\Clow Cards?\Here I go.\Here.\And therefore Sakura became Card Captor Sakura. response:	How wonderful.
context: Don't call me like a frog!\I am the beast of the seal who protects the Clow Cards,\Cerberus\Clow Cards?\Here I go.\Here.\And therefore Sakura became Card Captor Sakura.\How wonderful. response:	The Card Captor protecting the city
context: I am the beast of the seal who protects the Clow Cards,\Cerberus\Clow Cards?\Here I go.\Here.\And therefore Sakura became Card Captor Sakura.\How wonderful.\The Card Captor protecting the city response:	From the chaos of the Clow Cards.
context: Cerberus\Clow Cards?\Here I go.\Here.\And therefore Sakura became Card Captor Sakura.\How wonderful.\The Card Captor protecting the city\From the chaos of the Clow Cards. response:	How cool!
context: Clow Cards?\Here I go.\Here.\And therefore Sakura became Card Captor Sakura.\How wonderful.\The Card Captor protecting the city\From the chaos of the Clow Cards.\How cool! response:	Something so difficult is impossible for me.
context: Here I go.\Here.\And therefore Sakura became Card Captor Sakura.\How wonderful.\The Card Captor protecting the city\From the chaos of the Clow Cards.\How cool!\Something so difficult is impossible for me. response:	No, Sakura-chan can do it.
context: Here.\And therefore Sakura became Card Captor Sakura.\How wonderful.\The Card Captor protecting the city\From the chaos of the Clow Cards.\How cool!\Something so difficult is impossible for me.\No, Sakura-chan can do it. response:	Can I please
context: And therefore Sakura became Card Captor Sakura.\How wonderful.\The Card Captor protecting the city\From the chaos of the Clow Cards.\How cool!\Something so difficult is impossible for me.\No, Sakura-chan can do it.\Can I please response:	see you use magic?
context: How wonderful.\The Card Captor protecting the city\From the chaos of the Clow Cards.\How cool!\Something so difficult is impossible for me.\No, Sakura-chan can do it.\Can I please\see you use magic? response:	Yeah, yeah. Go ahead.
context: The Card Captor protecting the city\From the chaos of the Clow Cards.\How cool!\Something so difficult is impossible for me.\No, Sakura-chan can do it.\Can I please\see you use magic?\Yeah, yeah. Go ahead. response:	But'
context: From the chaos of the Clow Cards.\How cool!\Something so difficult is impossible for me.\No, Sakura-chan can do it.\Can I please\see you use magic?\Yeah, yeah. Go ahead.\But' response:	I don't mind. I don't mind.
context: How cool!\Something so difficult is impossible for me.\No, Sakura-chan can do it.\Can I please\see you use magic?\Yeah, yeah. Go ahead.\But'\I don't mind. I don't mind. response:	Nobody is looking, so go for it.
context: Something so difficult is impossible for me.\No, Sakura-chan can do it.\Can I please\see you use magic?\Yeah, yeah. Go ahead.\But'\I don't mind. I don't mind.\Nobody is looking, so go for it. response:	Key which hides the power of darkness.
context: No, Sakura-chan can do it.\Can I please\see you use magic?\Yeah, yeah. Go ahead.\But'\I don't mind. I don't mind.\Nobody is looking, so go for it.\Key which hides the power of darkness. response:	Show your true form before me.
context: Can I please\see you use magic?\Yeah, yeah. Go ahead.\But'\I don't mind. I don't mind.\Nobody is looking, so go for it.\Key which hides the power of darkness.\Show your true form before me. response:	Under the contract, I Sakura command you.
context: see you use magic?\Yeah, yeah. Go ahead.\But'\I don't mind. I don't mind.\Nobody is looking, so go for it.\Key which hides the power of darkness.\Show your true form before me.\Under the contract, I Sakura command you. response:	Release.
context: Yeah, yeah. Go ahead.\But'\I don't mind. I don't mind.\Nobody is looking, so go for it.\Key which hides the power of darkness.\Show your true form before me.\Under the contract, I Sakura command you.\Release. response:	You can use magic with this rod right?
context: But'\I don't mind. I don't mind.\Nobody is looking, so go for it.\Key which hides the power of darkness.\Show your true form before me.\Under the contract, I Sakura command you.\Release.\You can use magic with this rod right? response:	But I need a card.
context: I don't mind. I don't mind.\Nobody is looking, so go for it.\Key which hides the power of darkness.\Show your true form before me.\Under the contract, I Sakura command you.\Release.\You can use magic with this rod right?\But I need a card. response:	Here you go.
context: Nobody is looking, so go for it.\Key which hides the power of darkness.\Show your true form before me.\Under the contract, I Sakura command you.\Release.\You can use magic with this rod right?\But I need a card.\Here you go. response:	When did you get that out?
context: Key which hides the power of darkness.\Show your true form before me.\Under the contract, I Sakura command you.\Release.\You can use magic with this rod right?\But I need a card.\Here you go.\When did you get that out? response:	So, do you have a special pose?
context: Show your true form before me.\Under the contract, I Sakura command you.\Release.\You can use magic with this rod right?\But I need a card.\Here you go.\When did you get that out?\So, do you have a special pose? response:	Why?
context: Under the contract, I Sakura command you.\Release.\You can use magic with this rod right?\But I need a card.\Here you go.\When did you get that out?\So, do you have a special pose?\Why? response:	A special pose and magical phrases
context: Release.\You can use magic with this rod right?\But I need a card.\Here you go.\When did you get that out?\So, do you have a special pose?\Why?\A special pose and magical phrases response:	are the key to a magical girl.
context: You can use magic with this rod right?\But I need a card.\Here you go.\When did you get that out?\So, do you have a special pose?\Why?\A special pose and magical phrases\are the key to a magical girl. response:	Bye!
context: But I need a card.\Here you go.\When did you get that out?\So, do you have a special pose?\Why?\A special pose and magical phrases\are the key to a magical girl.\Bye! response:	Goodbye!
context: Here you go.\When did you get that out?\So, do you have a special pose?\Why?\A special pose and magical phrases\are the key to a magical girl.\Bye!\Goodbye! response:	Bye!
context: When did you get that out?\So, do you have a special pose?\Why?\A special pose and magical phrases\are the key to a magical girl.\Bye!\Goodbye!\Bye! response:	Good morning.
context: So, do you have a special pose?\Why?\A special pose and magical phrases\are the key to a magical girl.\Bye!\Goodbye!\Bye!\Good morning. response:	Good morning.
context: Why?\A special pose and magical phrases\are the key to a magical girl.\Bye!\Goodbye!\Bye!\Good morning.\Good morning. response:	Good morning.
context: A special pose and magical phrases\are the key to a magical girl.\Bye!\Goodbye!\Bye!\Good morning.\Good morning.\Good morning. response:	Good morning'
context: are the key to a magical girl.\Bye!\Goodbye!\Bye!\Good morning.\Good morning.\Good morning.\Good morning' response:	What's going on?
context: Bye!\Goodbye!\Bye!\Good morning.\Good morning.\Good morning.\Good morning'\What's going on? response:	Sakura-chan.
context: Goodbye!\Bye!\Good morning.\Good morning.\Good morning.\Good morning'\What's going on?\Sakura-chan. response:	Look at that.
context: Bye!\Good morning.\Good morning.\Good morning.\Good morning'\What's going on?\Sakura-chan.\Look at that. response:	Oh!
context: Good morning.\Good morning.\Good morning.\Good morning'\What's going on?\Sakura-chan.\Look at that.\Oh! response:	What is this?
context: Good morning.\Good morning.\Good morning'\What's going on?\Sakura-chan.\Look at that.\Oh!\What is this? response:	I don't know. It was like this when we got here this morning.
context: Good morning.\Good morning'\What's going on?\Sakura-chan.\Look at that.\Oh!\What is this?\I don't know. It was like this when we got here this morning. response:	Huh?
context: Good morning'\What's going on?\Sakura-chan.\Look at that.\Oh!\What is this?\I don't know. It was like this when we got here this morning.\Huh? response:	I wonder who did this prank?
context: What's going on?\Sakura-chan.\Look at that.\Oh!\What is this?\I don't know. It was like this when we got here this morning.\Huh?\I wonder who did this prank? response:	But I suppose we have to clean it up now.
context: Sakura-chan.\Look at that.\Oh!\What is this?\I don't know. It was like this when we got here this morning.\Huh?\I wonder who did this prank?\But I suppose we have to clean it up now. response:	Uh, oh'
context: Look at that.\Oh!\What is this?\I don't know. It was like this when we got here this morning.\Huh?\I wonder who did this prank?\But I suppose we have to clean it up now.\Uh, oh' response:	Good morning, Tomoyo-chan.
context: Oh!\What is this?\I don't know. It was like this when we got here this morning.\Huh?\I wonder who did this prank?\But I suppose we have to clean it up now.\Uh, oh'\Good morning, Tomoyo-chan. response:	Good morning.
context: What is this?\I don't know. It was like this when we got here this morning.\Huh?\I wonder who did this prank?\But I suppose we have to clean it up now.\Uh, oh'\Good morning, Tomoyo-chan.\Good morning. response:	This looks pretty bad.
context: I don't know. It was like this when we got here this morning.\Huh?\I wonder who did this prank?\But I suppose we have to clean it up now.\Uh, oh'\Good morning, Tomoyo-chan.\Good morning.\This looks pretty bad. response:	What could do this?
context: Huh?\I wonder who did this prank?\But I suppose we have to clean it up now.\Uh, oh'\Good morning, Tomoyo-chan.\Good morning.\This looks pretty bad.\What could do this? response:	Could it be that this is the work of a Clow Card?
